,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2006-12,77.00M,,,,-24.00M,117.00M,-9.00M,108.00M,108.00M,38.00M,,,,16.00M,39.00M,12.00M,-1.00M,-31.00M,,11.00M,30.00M,252.00M,,2006-12,-114.00M,91.00M,-23.00M,0.00,,,,2006-12,,,-182.00M,14.00M,-3.00M,11.00M,,,-77.00M,-248.00M,2006-12,140.00M,-18.00M,-3.00M,,2006-12,14.00M,,,-3.00M,,,2006-12,,
2006-09,88.00M,,,,-29.00M,117.00M,9.00M,126.00M,126.00M,46.00M,,,,7.00M,-45.00M,21.00M,3.00M,-17.00M,,19.00M,-19.00M,237.00M,,2006-09,-187.00M,91.00M,-96.00M,0.00,,,,2006-09,,,-207.00M,1.00M,0.00,1.00M,,,3.00M,-203.00M,2006-09,208.00M,-68.00M,,,2006-09,1.00M,,,0.00,,,2006-09,,
2006-06,59.00M,,,,-25.00M,114.00M,9.00M,123.00M,123.00M,32.00M,,,,12.00M,-55.00M,15.00M,-5.00M,-47.00M,,40.00M,-52.00M,143.00M,,2006-06,-390.00M,87.00M,-303.00M,-16.00M,,,,2006-06,,,-7.00M,63.00M,-1.00M,62.00M,,,,55.00M,2006-06,331.00M,-124.00M,1.00M,,2006-06,63.00M,,,-1.00M,,,2006-06,,
2006-03,25.00M,,,,-24.00M,110.00M,1.00M,111.00M,111.00M,14.00M,,,,-3.00M,71.00M,-32.00M,8.00M,104.00M,,-53.00M,98.00M,226.00M,,2006-03,-260.00M,83.00M,-177.00M,-23.00M,,,,2006-03,,,-8.00M,,,,,,,-8.00M,2006-03,316.00M,16.00M,-1.00M,,2006-03,,,,,,,2006-03,,
2005-12,64.00M,,,,-20.00M,88.00M,2.00M,90.00M,90.00M,30.00M,,,,19.00M,19.00M,-6.00M,0.00,-21.00M,,39.00M,31.00M,205.00M,,2005-12,-65.00M,85.00M,20.00M,-37.00M,,,,2005-12,,,-7.00M,1.00M,-6.00M,-5.00M,,,-1.00M,-13.00M,2005-12,151.00M,160.00M,5.00M,,2005-12,1.00M,,,-6.00M,,,2005-12,,
2005-09,76.00M,,,,-17.00M,115.00M,1.00M,116.00M,116.00M,49.00M,,,,-19.00M,-67.00M,19.00M,8.00M,-93.00M,,34.00M,-99.00M,106.00M,,2005-09,-220.00M,56.00M,-164.00M,-3.00M,,,,2005-09,,,-7.00M,-1.00M,-2.00M,-3.00M,,,-33.00M,-43.00M,2005-09,254.00M,-104.00M,1.00M,,2005-09,-1.00M,,,-2.00M,,,2005-09,,
2005-06,50.00M,,,,-23.00M,111.00M,4.00M,115.00M,115.00M,32.00M,,,,19.00M,-75.00M,-34.00M,-12.00M,80.00M,,37.00M,-4.00M,189.00M,,2005-06,-351.00M,94.00M,-257.00M,,,,,2005-06,,,-19.00M,1.00M,,1.00M,,,-1.00M,-19.00M,2005-06,342.00M,-87.00M,-1.00M,,2005-06,1.00M,,,,,,2005-06,,
2005-03,12.00M,,,,-23.00M,110.00M,1.00M,111.00M,111.00M,6.00M,,,,,47.00M,-26.00M,6.00M,39.00M,,-43.00M,23.00M,129.00M,,2005-03,-165.00M,80.00M,-85.00M,,,,,2005-03,,,-6.00M,1.00M,,1.00M,,,,-5.00M,2005-03,303.00M,39.00M,,,2005-03,1.00M,,,,,,2005-03,,
2004-12,30.00M,,,,-313.00M,119.00M,4.00M,123.00M,123.00M,10.00M,,,,,58.00M,-10.00M,-9.00M,-49.00M,,21.00M,11.00M,180.00M,,2004-12,-128.00M,92.00M,-36.00M,-41.00M,,,,2004-12,,,21.00M,2.00M,-1.00M,1.00M,,,0.00,22.00M,2004-12,149.00M,148.00M,6.00M,,2004-12,2.00M,,,-1.00M,,,2004-12,,
2004-09,-46.00M,,,,122.00M,111.00M,5.00M,116.00M,116.00M,29.00M,,,,,-63.00M,-2.00M,20.00M,10.00M,,14.00M,-21.00M,200.00M,,2004-09,-161.00M,57.00M,-104.00M,0.00,,,,2004-09,,,-5.00M,0.00,1.00M,1.00M,,,-16.00M,-20.00M,2004-09,72.00M,76.00M,1.00M,,2004-09,0.00,,,1.00M,,,2004-09,,
2004-06,40.00M,,,,-7.00M,108.00M,3.00M,111.00M,111.00M,25.00M,,,,,-41.00M,0.00,0.00,12.00M,,9.00M,-20.00M,149.00M,,2004-06,-186.00M,70.00M,-116.00M,0.00,,,,2004-06,,,-82.00M,1.00M,-5.00M,-4.00M,,,-1.00M,-87.00M,2004-06,127.00M,-54.00M,-1.00M,,2004-06,1.00M,,,-5.00M,,,2004-06,,
2004-03,-108.00M,,,,118.00M,107.00M,10.00M,117.00M,117.00M,-72.00M,,,,,56.00M,-7.00M,23.00M,89.00M,,-20.00M,141.00M,196.00M,,2004-03,-174.00M,65.00M,-109.00M,-61.00M,,,,2004-03,,,52.00M,3.00M,,3.00M,,,-34.00M,21.00M,2004-03,79.00M,47.00M,1.00M,,2004-03,3.00M,,,,,,2004-03,,
2003-12,-300.55M,,,,297.31M,102.60M,2.098M,104.70M,104.70M,-71.92M,,,,,37.18M,5.659M,3.515M,-61.06M,,-35.30M,-50.01M,-20.47M,,2003-12,-373.92M,112.02M,-261.90M,5.001M,,67.46M,,2003-12,,,215.98M,0.763M,,-2.237M,,,14.34M,228.08M,2003-12,76.35M,18.18M,-15.29M,,2003-12,0.763M,,,,,,2003-12,,
2003-09,31.88M,,,,-15.67M,103.38M,14.49M,117.88M,117.88M,21.14M,,,,,-46.77M,0.71M,0.206M,-5.43M,,42.38M,-8.901M,146.33M,,2003-09,-52.92M,44.39M,-8.526M,-5.001M,,-55.10M,,2003-09,,,-25.31M,0.237M,,0.237M,,,-6.821M,-31.90M,2003-09,30.40M,45.81M,0.139M,,2003-09,0.237M,,,,,,2003-09,,
2003-06,19.60M,,,,-13.81M,197.01M,9.409M,111.23M,111.23M,9.613M,,,,,-66.34M,0.652M,0.721M,25.88M,,8.104M,-30.99M,95.65M,,2003-06,-184.62M,41.51M,-143.11M,4.162M,,1.061M,,2003-06,,,40.87M,,,,3.681M,,-6.927M,37.62M,2003-06,32.93M,-4.618M,2.093M,,2003-06,,,,,,,2003-06,,
2003-03,-4.932M,,,,-11.82M,,,95.19M,95.19M,-4.833M,,,,,43.93M,-9.021M,-6.442M,-15.38M,,-2.188M,10.90M,84.50M,,2003-03,-109.54M,35.08M,-74.46M,-4.162M,,-13.42M,,2003-03,,,16.46M,,,,-3.681M,,-0.59M,12.19M,2003-03,19.23M,4.635M,9.062M,,2003-03,,,,,,,2003-03,,
2002-12,-217.13M,,,,219.56M,99.48M,2.516M,102.00M,102.00M,-56.46M,,,,,85.94M,-0.099M,13.90M,-62.70M,,33.95M,70.99M,120.95M,,2002-12,-214.70M,89.82M,-124.88M,158.26M,,4.018M,,2002-12,,,-133.56M,0.245M,-38.27M,-38.03M,,,14.53M,-157.06M,2002-12,23.93M,1.291M,-5.891M,,2002-12,0.245M,,,-38.27M,,,2002-12,,
2002-09,32.45M,,,,-13.11M,285.52M,8.484M,111.98M,111.98M,22.67M,,,,,-42.06M,13.23M,8.199M,16.84M,,30.38M,26.58M,180.58M,,2002-09,-170.50M,39.41M,-131.09M,-2.953M,,6.357M,,2002-09,,,-55.79M,-0.004M,-26.73M,-26.73M,47.50M,,-14.01M,-49.02M,2002-09,23.95M,3.871M,-3.897M,,2002-09,-0.004M,,,-26.73M,,,2002-09,,
2002-06,59.43M,,,,-18.79M,-91.93M,-2.793M,87.29M,87.29M,27.68M,,,,,-77.30M,-5.911M,-2.845M,62.20M,,4.119M,-19.74M,135.87M,,2002-06,-232.45M,54.64M,-177.80M,-111.64M,,14.18M,,2002-06,,,130.46M,5.211M,22.37M,27.58M,-47.50M,,11.34M,121.89M,2002-06,31.25M,-17.51M,10.21M,,2002-06,5.211M,,,22.37M,,,2002-06,,
2002-03,-280.76M,,,,274.34M,91.93M,2.793M,94.73M,94.73M,4.121M,,,,,29.42M,-7.22M,-8.255M,-14.33M,,-51.44M,-51.83M,40.60M,,2002-03,-91.36M,39.13M,-52.22M,-48.67M,,-28.55M,,2002-03,,,68.89M,58.55M,-22.37M,36.17M,,,-11.87M,93.20M,2002-03,27.33M,4.35M,-0.426M,,2002-03,58.55M,,,-22.37M,,,2002-03,,
2001-12,32.17M,,,,-14.42M,107.58M,2.501M,110.08M,110.08M,45.96M,,,,,91.44M,47.19M,39.44M,-48.73M,,-41.29M,88.05M,261.84M,,2001-12,-60.05M,39.42M,-20.63M,-57.32M,,45.67M,,2001-12,,,-255.22M,1.639M,0.00,1.639M,,,27.95M,-225.63M,2001-12,30.52M,3.916M,-7.106M,,2001-12,1.639M,,,0.00,,,2001-12,,
2001-09,62.05M,,,,-14.08M,320.15M,3.675M,110.84M,110.84M,37.30M,,,,,-45.70M,20.54M,19.37M,-61.55M,,7.644M,-59.69M,136.42M,,2001-09,-102.56M,35.44M,-67.12M,39.94M,,-47.77M,,2001-09,,,-61.30M,0.622M,0.00,0.622M,,,-0.828M,-61.51M,2001-09,36.14M,-0.036M,-5.583M,,2001-09,0.622M,,,0.00,,,2001-09,,
2001-06,9.559M,,,,15.16M,,,112.14M,112.14M,15.32M,,,,,-70.32M,13.26M,-11.34M,106.15M,,50.02M,87.77M,239.95M,,2001-06,-221.36M,33.12M,-188.24M,-12.25M,,,,2001-06,,,-22.64M,7.984M,-24.76M,-16.77M,28.05M,,-26.74M,-38.10M,2001-06,26.20M,1.368M,8.565M,,2001-06,7.984M,,,-24.76M,,,2001-06,,
2001-03,7.471M,,,,-16.05M,,,100.84M,100.84M,2.105M,,,,,49.47M,6.096M,-39.32M,-54.58M,,2.471M,-35.87M,58.50M,,2001-03,-113.35M,39.12M,-74.23M,-27.70M,,,,2001-03,,,75.51M,0.172M,,0.172M,-28.05M,,-0.381M,47.25M,2001-03,34.38M,3.831M,-12.01M,,2001-03,0.172M,,,,,,2001-03,,
2000-12,36.37M,,,,-38.34M,,,105.28M,105.28M,24.86M,,,,,77.22M,57.26M,,-33.83M,19.67M,-28.42M,91.91M,220.08M,,2000-12,-168.72M,111.95M,-56.78M,-347.34M,304.23M,-4.646M,,2000-12,,,-98.13M,0.152M,0.00,0.152M,,,-7.546M,-105.52M,2000-12,31.72M,10.04M,-7.368M,,2000-12,0.152M,,,0.00,,,2000-12,,
2000-09,75.39M,,,,-41.24M,,,109.39M,109.39M,69.85M,,,,,-36.63M,26.06M,,-119.55M,-48.08M,-5.383M,-183.58M,29.81M,,2000-09,-210.19M,99.81M,-110.39M,,-304.23M,258.18M,,2000-09,,,274.52M,0.083M,0.00,0.083M,,,-149.21M,125.39M,2000-09,33.19M,-1.239M,-0.238M,,2000-09,0.083M,,,0.00,,,2000-09,,
2000-06,47.20M,,,,-34.76M,,,106.24M,106.24M,11.48M,,,,,-82.31M,-2.829M,,77.97M,15.51M,30.76M,39.10M,169.26M,,2000-06,-359.19M,84.84M,-274.35M,128.65M,,-265.75M,,2000-06,,,141.88M,0.001M,-30.95M,-30.95M,,,128.44M,239.37M,2000-06,34.90M,-2.822M,1.112M,,2000-06,0.001M,,,-30.95M,,,2000-06,,
2000-03,17.41M,,,,-29.25M,,,93.52M,93.52M,3.088M,,,,,50.33M,-10.79M,,59.32M,-16.94M,-73.12M,8.792M,93.57M,,2000-03,-223.87M,70.33M,-153.54M,-128.65M,,-8.329M,,2000-03,,,196.80M,0.095M,,0.095M,,,11.91M,208.81M,2000-03,23.81M,11.86M,-0.77M,,2000-03,0.095M,,,,,,2000-03,,
1999-12,44.37M,,,,-33.54M,,,96.41M,96.41M,-2.48M,,,,,23.08M,16.66M,,-111.95M,55.10M,-38.64M,-48.49M,56.26M,,1999-12,722.04M,82.40M,804.44M,,,-1.116M,,1999-12,,,109.52M,-0.51M,,-0.51M,,,11.30M,120.31M,1999-12,31.10M,-7.897M,,,1999-12,-0.51M,,,,,,1999-12,,
1999-09,56.20M,,,,-30.00M,,,94.60M,94.60M,25.50M,,,,,-54.60M,14.70M,,78.50M,-8.00M,14.70M,45.30M,191.60M,,1999-09,-532.70M,72.60M,-460.10M,,,-4.40M,,1999-09,,,137.50M,153.30M,,153.30M,,,-6.60M,284.20M,1999-09,19.80M,11.30M,,,1999-09,153.30M,,,,,,1999-09,,
1999-06,25.90M,,,,-22.20M,,,80.30M,80.30M,11.70M,,,,0.10M,-47.20M,-16.00M,,29.40M,-31.60M,46.70M,-18.70M,77.10M,,1999-06,-746.30M,51.30M,-695.00M,,,-1.50M,,1999-06,,,511.30M,17.50M,,17.50M,,,-0.40M,528.40M,1999-06,110.80M,-91.00M,,,1999-06,17.50M,,,,,,1999-06,,
1999-03,16.20M,,,,-15.10M,,,72.20M,72.20M,7.10M,,,,-0.10M,-15.00M,-21.90M,,68.50M,-15.50M,,16.10M,96.40M,,1999-03,-284.80M,35.90M,-248.90M,,,-1.20M,,1999-03,,,-103.80M,352.20M,,352.20M,,,-4.30M,244.10M,1999-03,20.40M,90.40M,,,1999-03,352.20M,,,,,,1999-03,,
1998-12,18.30M,,,,-23.90M,,,68.10M,68.10M,26.90M,,,,0.20M,6.30M,3.00M,,-28.90M,-13.80M,-48.20M,-81.60M,8.00M,,1998-12,761.90M,130.20M,892.10M,,,-70.70M,,1998-12,,,53.90M,-299.40M,,-299.40M,3.50M,,323.30M,81.30M,1998-12,0.00,-1.10M,,,1998-12,-299.40M,,,,,,1998-12,,
1998-09,-10.50M,,,,8.70M,,,64.70M,64.70M,-7.90M,,,,-0.10M,-38.40M,-6.40M,,40.30M,13.40M,55.80M,64.70M,119.60M,,1998-09,-651.40M,-43.20M,-694.60M,,,72.20M,,1998-09,,,217.10M,299.90M,,299.90M,-3.50M,,-17.30M,496.20M,1998-09,0.00,-6.60M,,,1998-09,299.90M,,,,,,1998-09,,
1998-06,20.30M,,,,-16.30M,,,44.70M,44.70M,7.20M,,,,0.20M,-21.20M,-0.70M,,18.00M,1.40M,-0.30M,-2.80M,53.30M,,1998-06,-421.10M,27.20M,-393.90M,,,-4.80M,,1998-06,,,320.30M,0.40M,,0.40M,0.10M,,-8.70M,312.10M,1998-06,0.00,-33.30M,,,1998-06,0.40M,,,,,,1998-06,,
