,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2006-03,331.00M,331.00M,494.00M,494.00M,211.00M,143.00M,,,1.179B,,,,2.369B,762.00M,,3.131B,-309.00M,2.822B,1.328B,32.00M,1.36B,,4.182B,5.361B,,2006-03,318.00M,,318.00M,390.00M,,,,,,,,708.00M,3.128B,,3.128B,274.00M,274.00M,,,,,3.402B,4.11B,,2006-03,1.00M,,,,52.00M,1.251B,,
2005-12,316.00M,316.00M,511.00M,511.00M,155.00M,72.00M,196.00M,154.00M,1.404B,0.00,62.00M,216.00M,3.619B,,,3.897B,-1.272B,2.625B,,1.361B,1.361B,80.00M,4.066B,5.47B,,2005-12,223.00M,,223.00M,268.00M,,27.00M,,27.00M,,,23.00M,541.00M,3.125B,,3.125B,458.00M,458.00M,,,,117.00M,3.70B,4.241B,,2005-12,1.00M,,,,38.00M,1.229B,,
2005-09,151.00M,151.00M,584.00M,584.00M,180.00M,158.00M,,,1.073B,,,,,,,3.065B,-284.00M,2.781B,,1.334B,1.334B,,4.115B,5.188B,,2005-09,243.00M,,243.00M,367.00M,,,,,,,,610.00M,3.158B,,3.158B,239.00M,239.00M,,,,,3.397B,4.007B,,2005-09,1.00M,,,,35.00M,1.181B,,
2005-06,254.00M,254.00M,517.00M,517.00M,178.00M,120.00M,,,1.069B,,,,,,,2.982B,-284.00M,2.698B,,1.326B,1.326B,,4.024B,5.093B,,2005-06,336.00M,,336.00M,304.00M,,,,,,,,640.00M,3.176B,,3.176B,187.00M,187.00M,,,,,3.363B,4.003B,,2005-06,1.00M,,,,17.00M,1.09B,,
2005-03,342.00M,342.00M,443.00M,443.00M,149.00M,116.00M,,,1.05B,,,,,,,2.807B,-284.00M,2.523B,,1.328B,1.328B,,3.851B,4.901B,,2005-03,256.00M,,256.00M,302.00M,,,,,,,,558.00M,3.143B,,3.143B,158.00M,158.00M,,,,,3.301B,3.859B,,2005-03,1.00M,,,,21.00M,1.042B,,
2004-12,303.00M,303.00M,490.00M,490.00M,119.00M,120.00M,,,1.032B,0.00,58.00M,190.00M,433.00M,,,681.00M,-284.00M,397.00M,,1.33B,1.33B,2.123B,3.85B,4.882B,,2004-12,217.00M,,217.00M,323.00M,,,,,,,,540.00M,3.167B,,3.167B,149.00M,149.00M,,,,,3.316B,3.856B,,2004-12,1.00M,,,,18.00M,1.026B,,
2004-09,149.17M,149.17M,547.45M,547.45M,123.24M,114.52M,,,934.37M,,,,,,,2.820B,-233.12M,2.587B,,1.328B,1.328B,,3.914B,4.849B,,2004-09,262.13M,,262.13M,,,,,,,,,262.13M,3.143B,,3.143B,139.00M,139.00M,,,,279.08M,3.561B,3.823B,,2004-09,0.784M,,0.005M,,4.532M,1.026B,,
2004-06,72.38M,72.38M,495.06M,495.06M,119.62M,125.37M,,,812.43M,,,,,,,2.790B,-233.12M,2.557B,,1.464B,1.464B,,4.021B,4.833B,,2004-06,252.55M,,252.55M,,,,,,,,,252.55M,3.090B,,3.090B,119.68M,119.68M,,,,295.63M,3.505B,3.758B,,2004-06,0.782M,,0.005M,,-4.449M,1.076B,,
2004-03,127.14M,127.14M,448.44M,448.44M,114.14M,118.20M,,,807.93M,,,,,,,2.744B,-233.12M,2.511B,,1.468B,1.468B,,3.978B,4.786B,,2004-03,239.99M,,239.99M,,,,,,,,,239.99M,3.006B,,3.006B,98.07M,98.07M,,,,255.22M,3.359B,3.599B,,2004-03,0.00,,,,23.89M,1.187B,,
2003-12,79.00M,79.00M,483.00M,483.00M,106.00M,118.00M,,,786.00M,0.00,49.00M,179.00M,412.00M,,,640.00M,-233.00M,407.00M,,1.439B,1.439B,2.062B,3.908B,4.694B,,2003-12,151.00M,,151.00M,272.00M,,,,,,,,423.00M,3.039B,,3.039B,163.00M,163.00M,,,,,3.202B,3.625B,,2003-12,1.00M,,,,-4.00M,1.069B,,
2003-09,76.35M,76.35M,535.38M,535.38M,111.42M,150.71M,,,873.85M,,,,,,,3.326B,-1.021B,2.305B,,1.732B,1.732B,,4.037B,4.911B,,2003-09,212.10M,,212.10M,,,,,,,,,212.10M,2.556B,,2.556B,265.14M,265.14M,,,221.55M,226.58M,3.269B,3.481B,,2003-09,0.774M,,0.005M,,-15.93M,1.430B,,
2003-06,30.40M,30.40M,488.61M,488.61M,110.49M,154.11M,,,783.61M,,,,1.899B,1.440B,,3.339B,-1.021B,2.318B,,1.732B,1.732B,,4.050B,4.834B,,2003-06,217.53M,,217.53M,,,,,,,,,217.53M,2.586B,,2.586B,230.37M,230.37M,,,226.55M,181.11M,3.224B,3.442B,,2003-06,0.774M,,0.005M,,-33.40M,1.392B,,
2003-03,32.93M,32.93M,422.27M,422.27M,107.78M,150.94M,,,713.91M,,,,,,,3.277B,-1.021B,2.256B,,1.722B,1.722B,,3.978B,4.692B,,2003-03,191.66M,,191.66M,,,,,,,,,191.66M,2.534B,,2.534B,220.75M,220.75M,,,226.55M,179.18M,3.160B,3.352B,,2003-03,0.776M,,0.005M,,-66.16M,1.340B,,
2002-12,19.00M,19.00M,466.00M,466.00M,92.00M,131.00M,,1.00M,709.00M,0.00,47.00M,95.00M,3.08B,70.00M,,3.292B,-1.021B,2.271B,,1.711B,1.711B,,3.982B,4.691B,,2002-12,207.00M,,207.00M,,,,,,,,,207.00M,2.513B,,2.513B,226.00M,226.00M,,,227.00M,186.00M,3.152B,3.359B,,2002-12,1.00M,,,,-80.00M,1.332B,,
2002-09,23.93M,23.93M,541.54M,541.54M,93.19M,146.18M,,,804.84M,,,,,,,2.441B,-106.21M,2.335B,,1.963B,1.963B,,4.298B,5.103B,,2002-09,269.49M,,269.49M,,,,,,,,,269.49M,2.607B,,2.607B,278.33M,278.33M,,,283.25M,161.88M,3.331B,3.600B,,2002-09,0.77M,,0.005M,,-86.07M,1.503B,,
2002-06,23.95M,23.95M,499.48M,499.48M,107.07M,151.97M,,,782.47M,,,,,,,2.362B,-106.21M,2.256B,,1.973B,1.973B,,4.228B,5.011B,,2002-06,252.66M,,252.66M,,,,,,,,,252.66M,2.653B,,2.653B,255.66M,255.66M,,,,146.15M,3.055B,3.308B,,2002-06,0.00,,,,-20.22M,1.703B,,
2002-03,31.25M,31.25M,422.18M,422.18M,103.89M,163.14M,,,720.46M,,,,,,,2.222B,-106.21M,2.115B,,1.890B,1.890B,,4.005B,4.726B,,2002-03,190.45M,,190.45M,,,,,,,,,190.45M,2.518B,,2.518B,228.79M,228.79M,,,,145.53M,2.893B,3.083B,,2002-03,0.00,,,-29.39M,-29.39M,1.643B,,
2001-12,27.33M,27.33M,450.27M,450.27M,85.76M,124.40M,,,687.76M,,,,,,,2.237B,-106.21M,2.130B,,2.208B,2.208B,,4.338B,5.026B,,2001-12,204.77M,,204.77M,,,,,,,,,204.77M,2.460B,,2.460B,297.02M,297.02M,,,,166.15M,2.923B,3.127B,,2001-12,0.00,,,-30.13M,-30.13M,1.898B,,
2001-09,30.52M,30.52M,539.31M,539.31M,105.06M,171.86M,,,846.75M,,,,,,,2.351B,-106.21M,2.245B,,2.216B,2.216B,,4.461B,5.308B,,2001-09,253.81M,,253.81M,,,,,,,,,253.81M,2.698B,,2.698B,267.40M,267.40M,,,300.00M,191.94M,3.458B,3.712B,,2001-09,0.738M,,0.005M,,-80.77M,1.597B,,
2001-06,36.14M,36.14M,490.56M,490.56M,114.57M,183.88M,,,825.14M,,,,,,,2.386B,-106.21M,2.280B,,2.210B,2.210B,,4.490B,5.315B,,2001-06,312.01M,,312.01M,,,,,,,,,312.01M,2.760B,,2.760B,230.11M,230.11M,,,300.00M,172.01M,3.462B,3.774B,,2001-06,0.737M,,0.005M,,-73.98M,1.541B,,
2001-03,26.20M,26.20M,420.58M,420.58M,127.83M,167.81M,,,742.42M,,,,,,,2.219B,-106.21M,2.113B,,2.222B,2.222B,,4.335B,5.078B,,2001-03,205.86M,,205.86M,,,,,,,,,205.86M,2.751B,,2.751B,214.78M,214.78M,,,,109.89M,3.076B,3.282B,,2001-03,0.00,,,,-18.96M,1.796B,,
2000-12,34.38M,34.38M,469.59M,469.59M,133.38M,104.49M,,,741.85M,,,,,,,2.226B,-106.21M,2.120B,,2.227B,2.227B,,4.347B,5.089B,,2000-12,260.16M,,260.16M,,,,,,,,,260.16M,2.675B,,2.675B,206.24M,206.24M,,,,119.17M,3.001B,3.261B,,2000-12,0.00,,,-6.947M,-6.947M,1.828B,,
2000-09,31.72M,31.72M,,549.80M,142.08M,,,145.66M,869.26M,,,,,,,2.822B,-621.08M,2.201B,,2.195B,2.195B,,4.396B,5.265B,,2000-09,281.35M,,281.35M,,,,,,,,,281.35M,2.801B,,2.801B,163.52M,163.52M,,300.00M,,211.96M,3.177B,3.458B,,2000-09,0.708M,,0.005M,,0.421M,1.507B,,
2000-06,33.19M,33.19M,,498.89M,156.26M,,,92.81M,781.15M,,,,,,,2.751B,-585.82M,2.165B,,2.135B,2.135B,,4.299B,5.081B,,2000-06,395.24M,,395.24M,,,,,,,,,395.24M,2.614B,,2.614B,93.67M,93.67M,,300.00M,,246.40M,2.954B,3.349B,,2000-06,0.708M,,0.005M,,0.659M,1.432B,,
2000-03,34.90M,34.90M,,403.05M,145.80M,,,100.50M,684.25M,,,,,,,2.623B,-556.23M,2.066B,,2.014B,2.014B,,4.080B,4.764B,,2000-03,313.20M,,313.20M,,,,,,,,,313.20M,2.490B,,2.490B,81.85M,81.85M,,300.00M,,165.40M,2.737B,3.050B,,2000-03,0.726M,,0.005M,,-0.453M,1.414B,,
1999-12,23.80M,23.80M,,435.00M,129.50M,,,81.50M,669.80M,,,,,,,2.480B,-515.00M,1.965B,,1.863B,1.863B,-0.10M,3.828B,4.498B,,1999-12,242.90M,,242.90M,,,,,,,,,242.90M,2.266B,,2.266B,81.20M,81.20M,,300.00M,,210.00M,2.557B,2.800B,,1999-12,0.70M,,,,0.30M,1.398B,,
1999-09,31.10M,31.10M,,455.80M,160.30M,,,132.70M,779.90M,,,,,,,2.595B,-536.80M,2.058B,,1.688B,1.688B,,3.746B,4.526B,,1999-09,353.50M,,353.50M,,,,,,,,,353.50M,2.215B,,2.215B,89.10M,89.10M,,300.00M,,215.60M,2.519B,2.873B,,1999-09,0.70M,,,,-0.10M,1.353B,,
1999-06,19.80M,19.80M,,355.60M,149.30M,,,114.40M,639.10M,,,,,,,2.358B,-486.80M,1.871B,,1.382B,1.382B,0.10M,3.253B,3.892B,,1999-06,249.20M,,249.20M,,,,,,,,,249.20M,1.948B,,1.948B,63.70M,63.70M,,300.00M,,189.50M,2.201B,2.450B,,1999-06,,,,,,1.142B,,
1999-03,110.80M,110.80M,,260.40M,98.80M,,,98.20M,568.20M,,,,,,,1.892B,-451.70M,1.440B,,1.045B,1.045B,,2.485B,3.054B,,1999-03,197.60M,,197.60M,,,,,,,,,197.60M,1.260B,,1.260B,50.80M,50.80M,,300.00M,,129.60M,1.441B,1.638B,,1999-03,,,,,,1.115B,,
1998-12,20.40M,20.40M,,233.30M,71.00M,,,59.40M,384.10M,,,,,,,1.737B,-408.90M,1.328B,,922.10M,922.10M,,2.251B,2.635B,,1998-12,121.90M,,121.90M,,,,,,,,,121.90M,1.315B,,1.315B,43.60M,43.60M,,300.00M,,128.40M,1.487B,1.608B,,1998-12,,,,,,726.20M,,
1998-09,21.80M,21.80M,,232.40M,74.90M,,,36.70M,365.80M,,,,,,,1.801B,-428.70M,1.372B,,819.10M,819.10M,,2.191B,2.557B,,1998-09,137.30M,,137.30M,,,,,,,,155.40M,292.70M,1.236B,,1.236B,20.80M,20.80M,,300.00M,,,1.256B,1.549B,,1998-09,,,,,,708.00M,,
1998-06,5.50M,5.50M,,67.20M,33.30M,,,22.90M,128.90M,,,,,,,47.50M,-15.20M,32.30M,,429.00M,429.00M,299.00M,760.30M,889.20M,,1998-06,55.90M,,55.90M,,,,,,,,,55.90M,389.20M,,389.20M,2.40M,2.40M,,,,23.30M,414.90M,470.80M,,1998-06,,,,,,418.40M,,
