,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-09,707.78M,707.78M,357.21M,350.57M,267.61M,,,3.381M,,,,,267.61M,82.95M,,,,3.381M,,84.14M,30.13M,54.01M,,,54.01M,51.84M,102.01M,19.06M,82.95M,,0.55,0.00,,0.5280,0.55,,0.54,0.00,,0.5185,0.54,,98.70M,100.78M,0.05,,,
2003-06,477.73M,477.73M,228.98M,248.75M,243.23M,,,4.238M,,,,,243.23M,5.526M,,,,4.238M,,6.846M,1.791M,5.055M,,,5.055M,1.926M,26.97M,21.44M,5.526M,,0.05,0.00,,0.0182,0.05,,0.05,0.00,,0.0186,0.05,,98.38M,99.54M,0.05,,,
2003-03,692.33M,692.33M,346.51M,345.82M,222.82M,,,-4.482M,,,,,222.82M,123.00M,,,,-4.482M,,115.31M,42.09M,73.22M,,,73.22M,76.07M,138.63M,15.63M,123.00M,,0.74,0.00,,0.7689,0.74,,0.74,0.00,,0.7688,0.74,,98.45M,98.95M,,,,
2002-12,639.17M,639.17M,331.26M,307.91M,230.39M,,,-6.738M,,,,,230.39M,77.52M,,,,-6.738M,,67.42M,24.61M,42.81M,,,42.81M,47.09M,98.42M,20.90M,77.52M,,0.44,0.00,,0.4835,0.44,,0.43,0.00,,0.4731,0.43,,98.41M,99.31M,,,,
2002-09,640.84M,640.84M,319.57M,321.27M,236.62M,,,-0.22M,,,,,236.62M,84.65M,,,,-0.22M,,81.49M,29.74M,51.74M,,,51.74M,51.88M,108.30M,23.65M,84.65M,,0.53,0.00,,0.5314,0.53,,0.52,0.00,,0.5214,0.52,,98.30M,99.32M,,,,
2002-06,467.00M,467.00M,234.40M,232.60M,214.92M,,,-3.531M,,,,,214.92M,17.69M,,,,-3.531M,,10.17M,3.713M,6.46M,,,6.46M,8.702M,36.15M,18.46M,17.69M,,0.07,0.00,,0.0928,0.07,,0.07,0.00,,0.0926,0.07,,98.16M,99.33M,,,,
2002-03,633.09M,633.09M,321.30M,311.79M,216.75M,,,-14.38M,,,,,216.75M,95.04M,,,,-14.38M,,76.84M,28.81M,48.02M,,,48.02M,57.01M,115.73M,20.68M,95.04M,,0.49,0.00,,0.5819,0.49,,0.49,0.00,,0.5810,0.49,,97.83M,98.79M,,,,
2001-12,617.10M,617.10M,330.09M,287.01M,212.56M,,,3.036M,,,,,212.56M,74.45M,,,,3.036M,,72.98M,27.37M,45.61M,,,45.61M,43.72M,92.94M,18.50M,74.45M,,0.47,0.00,,0.4505,0.47,,0.46,0.00,,0.4407,0.46,,97.51M,98.50M,,,,
2001-09,595.70M,595.70M,310.06M,285.64M,199.51M,,,-5.664M,,,,,199.51M,86.13M,,,,-5.664M,,75.69M,27.88M,47.81M,,,47.81M,51.39M,109.95M,23.81M,86.13M,,0.49,0.00,,0.5267,0.49,,0.49,0.00,,0.5263,0.49,,97.44M,98.48M,,,,
2001-06,517.83M,517.83M,255.47M,262.36M,208.77M,,,2.827M,,,,,208.77M,53.59M,,,,2.827M,,50.49M,19.44M,31.05M,,,31.05M,29.31M,74.51M,20.92M,53.59M,,0.32,0.00,,0.3021,0.32,,0.3153,0.00,,0.2976,0.3153,,97.11M,98.49M,,,,
2001-03,538.52M,538.52M,275.67M,262.85M,189.08M,,,10.86M,,,,,189.08M,73.76M,,,,10.86M,,78.51M,31.01M,47.50M,,,47.50M,40.92M,92.28M,18.52M,73.76M,,0.47,0.00,,0.4021,0.47,,0.46,0.00,,0.3930,0.46,,96.76M,98.05M,,,,
2000-12,613.74M,613.74M,316.22M,297.52M,208.17M,,,,,,,,208.17M,89.35M,,,,,,83.64M,33.04M,50.60M,,,50.60M,50.60M,108.29M,18.94M,89.35M,,0.52,0.00,,0.52,0.52,,0.52,0.00,,0.52,0.52,,96.53M,97.35M,,,,
2000-09,586.22M,586.22M,336.08M,250.13M,218.62M,,,-128.57M,,,,128.57M,347.19M,-97.06M,,,,-128.57M,,-103.84M,-41.02M,-62.82M,,,-62.82M,14.96M,-76.24M,20.82M,-97.06M,,-0.65,0.00,,0.1543,-0.65,,-0.65,0.00,,0.1498,-0.65,,96.71M,97.26M,,,,
2000-06,487.30M,487.30M,234.75M,252.55M,206.40M,,,,,,,,206.40M,46.15M,,,,,,39.64M,15.66M,23.98M,,,23.98M,23.98M,66.47M,20.33M,46.15M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,97.09M,97.35M,,,,
2000-03,472.63M,472.63M,292.79M,179.84M,168.13M,,,,,,,,115.03M,64.81M,,,,,,53.59M,21.82M,31.76M,0.033M,,31.80M,31.76M,77.99M,13.18M,64.81M,,0.32,0.00,0.00,0.32,0.32,,0.32,0.00,0.0002,0.32,0.32,,98.24M,98.24M,,,,
1999-12,508.80M,508.80M,249.90M,258.90M,181.70M,,,1.50M,,,,,202.50M,56.40M,,,,1.50M,,54.50M,22.20M,32.30M,,,32.30M,31.40M,77.20M,20.80M,56.40M,,0.33,0.00,,0.3209,0.33,,0.3265,0.00,,0.3174,0.3265,,98.81M,98.94M,,,,
1999-09,541.80M,541.80M,253.60M,288.20M,172.30M,,,2.00M,,,,,193.20M,95.00M,,,,2.00M,,93.40M,38.10M,55.30M,,,55.30M,54.10M,115.90M,20.90M,95.00M,,0.56,0.00,,0.5478,0.56,,0.56,0.00,,0.5478,0.56,,98.75M,98.75M,,,,
1999-06,432.35M,432.35M,206.00M,226.35M,167.10M,,,2.10M,,,,,178.50M,47.85M,,,,2.10M,,47.40M,19.30M,28.10M,-4.00M,,24.10M,26.84M,59.25M,11.40M,47.85M,,0.28,-0.04,0.00,0.2675,0.24,,0.28,-0.04,-0.0398,0.2675,0.24,,100.42M,100.42M,,,,
1999-03,248.85M,456.86M,233.57M,223.29M,151.33M,,,138.35M,,,,,118.03M,105.26M,,,,138.35M,,-12.57M,-5.124M,-7.45M,,,-7.45M,-90.46M,118.37M,13.11M,105.26M,,-0.07,0.00,,-0.9063,-0.07,,-0.07,0.00,,-0.9010,-0.07,,99.25M,99.89M,,,,
1998-12,444.60M,444.60M,229.50M,215.10M,163.00M,,,2.90M,,,,,174.20M,40.90M,,,,2.90M,,42.80M,17.40M,25.40M,,,25.40M,23.66M,52.10M,11.20M,40.90M,,0.25,0.00,,0.2329,0.25,,0.25,0.00,,0.2329,0.25,,101.60M,101.60M,,,,
1998-09,471.00M,471.00M,229.80M,241.20M,148.80M,,,3.80M,,,,,160.10M,81.10M,,,,3.80M,,84.20M,34.30M,49.90M,,,49.90M,47.62M,92.40M,11.30M,81.10M,,0.50,0.00,,0.4772,0.50,,0.50,0.00,,0.4772,0.50,,99.80M,99.80M,,,,
1998-06,354.40M,354.40M,165.40M,189.00M,145.00M,,,4.30M,,,,,155.80M,33.20M,,,,4.30M,,38.30M,15.60M,22.70M,,,22.70M,20.12M,44.00M,10.80M,33.20M,,0.23,0.00,,0.2039,0.23,,0.23,0.00,,0.2039,0.23,,98.70M,98.70M,,,,
1998-03,356.14M,356.14M,181.89M,174.25M,130.60M,,,,,,,,138.00M,36.25M,,,,,,47.80M,19.12M,28.67M,,,28.67M,28.67M,43.65M,7.402M,36.25M,,0.29,0.00,,0.29,0.29,,0.29,0.00,,0.29,0.29,,100.41M,100.41M,,,,
1997-12,405.70M,405.70M,206.50M,199.20M,142.40M,,,0.40M,,,,,149.90M,49.30M,,,,0.40M,,49.70M,20.40M,29.30M,,,29.30M,29.06M,56.80M,7.50M,49.30M,,0.29,0.00,,0.2876,0.29,,0.29,0.00,,0.2876,0.29,,101.03M,101.03M,,,,
1997-09,421.10M,421.10M,208.50M,212.60M,132.40M,,,2.50M,,,,,139.00M,73.60M,,,,2.50M,,76.10M,31.20M,44.90M,,,44.90M,43.40M,80.20M,6.60M,73.60M,,0.45,0.00,,0.4350,0.45,,0.45,0.00,,0.4350,0.45,,99.78M,99.78M,,,,
1997-06,287.90M,287.90M,136.60M,151.30M,116.70M,,,,,,,,122.60M,28.70M,,,,,,25.90M,-18.70M,44.60M,,,44.60M,44.60M,34.60M,5.90M,28.70M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,100.27M,100.27M,,,,
