,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2011-02,1.977B,1.977B,1.478B,498.40M,,194.80M,194.80M,,,-24.00M,275.30M,223.10M,-24.00M,,-24.00M,199.10M,47.40M,151.70M,-0.50M,151.20M,151.70M,303.60M,80.50M,223.10M,,1.11,0.00,1.11,1.11,,1.08,0.00,1.08,1.08,,136.40M,140.00M,0.32,,AOR,
2010-11,1.726B,1.726B,1.342B,384.70M,,,180.00M,,,-23.50M,258.00M,126.70M,-23.50M,,-23.50M,103.20M,27.40M,75.80M,-1.30M,74.50M,75.80M,204.70M,77.20M,126.70M,,0.55,-0.01,0.55,0.54,,0.54,-0.01,0.54,0.53,,137.60M,141.20M,0.32,,AOR,
2010-08,1.807B,1.807B,1.365B,441.30M,,,180.90M,,,-24.60M,257.60M,183.70M,-24.60M,,-24.60M,159.10M,45.80M,113.30M,-0.20M,113.10M,113.30M,261.20M,77.50M,183.70M,,0.82,0.00,0.82,0.82,,0.80,0.00,0.80,0.80,,138.60M,141.70M,0.32,,AOR,Restated
2010-05,1.864B,1.864B,1.426B,438.20M,,,173.80M,,,-24.90M,249.90M,188.30M,-24.90M,,-24.90M,157.20M,41.20M,116.00M,-0.40M,115.60M,116.00M,259.50M,76.10M,183.40M,,0.83,-0.01,0.83,0.82,,0.81,-0.01,0.81,0.80,,140.20M,144.20M,0.25,,AOR,Restated
2010-02,1.874B,1.874B,1.430B,443.80M,,,169.50M,,,-20.80M,247.60M,196.20M,-20.80M,,-20.80M,175.40M,40.60M,134.80M,-0.50M,134.30M,134.80M,274.30M,76.50M,196.20M,,0.97,-0.01,0.97,0.96,,0.95,-0.01,0.95,0.94,,139.30M,142.30M,0.25,,AOR,Restated
2009-11,1.641B,1.641B,1.292B,348.90M,,,169.90M,,,-24.50M,243.70M,105.20M,-24.50M,,-24.50M,80.70M,19.50M,61.20M,-0.90M,60.30M,61.20M,179.90M,74.70M,105.20M,,0.44,-0.01,0.44,0.43,,0.43,-0.01,0.43,0.43,,139.00M,141.70M,0.25,,AOR,Restated
2009-08,1.734B,1.734B,1.336B,398.30M,,,171.40M,,,-23.70M,244.30M,154.00M,-23.70M,,-23.70M,130.30M,35.30M,95.00M,-0.70M,94.30M,95.00M,227.60M,73.60M,154.00M,,0.68,0.00,0.68,0.68,,0.67,0.00,0.67,0.67,,138.70M,141.30M,0.25,,AOR,Restated
2009-05,1.976B,1.976B,1.508B,467.10M,,,188.70M,,,-26.70M,261.30M,205.80M,-26.70M,,-26.70M,167.10M,44.40M,122.70M,0.30M,123.00M,122.70M,267.30M,72.60M,194.70M,,0.90,0.00,0.90,0.90,,0.87,0.00,0.87,0.87,,137.40M,140.70M,0.20,,AOR,Restated
2009-02,1.799B,1.799B,1.394B,404.90M,,,159.70M,,,-25.50M,230.90M,174.00M,-25.50M,,-25.50M,148.50M,40.40M,108.10M,-0.60M,107.50M,108.10M,245.20M,71.20M,174.00M,,0.79,0.00,0.79,0.79,,0.78,0.00,0.78,0.78,,136.10M,138.60M,0.20,,,Restated
2008-11,1.669B,1.669B,1.341B,327.60M,,,146.70M,,,-27.80M,217.30M,110.30M,-27.80M,,-27.80M,82.50M,24.00M,58.50M,1.20M,59.70M,58.50M,180.90M,70.50M,110.30M,,0.43,0.01,0.43,0.44,,0.42,0.01,0.42,0.43,,137.00M,139.40M,0.20,,,Restated
2008-08,1.774B,1.774B,1.393B,381.10M,,,170.50M,,,-27.40M,239.30M,141.80M,-27.40M,,-27.40M,114.40M,32.00M,82.40M,-0.30M,82.10M,82.40M,210.60M,68.80M,141.80M,,0.59,0.00,0.59,0.59,,0.58,0.00,0.58,0.58,,139.00M,142.80M,0.20,,,Restated
