,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-11,43.50M,,,-0.60M,60.30M,0.20M,60.50M,60.50M,-2.90M,,,,,21.80M,-17.70M,-51.30M,1.80M,36.60M,,-31.70M,14.20M,-48.10M,-2.70M,71.50M,,-114.70M,0.40M,-114.30M,-1.20B,,2.80M,-1.309B,,,,1.223B,39.50M,-36.80M,2.70M,,-25.40M,19.20M,1.220B,,47.30M,-18.00M,29.30M,,39.50M,,,-36.80M,,,,,
2007-08,105.90M,,,1.40M,50.60M,0.40M,51.00M,51.00M,-21.00M,,,,,10.10M,14.60M,-16.80M,-0.70M,32.20M,,-7.90M,-8.40M,13.00M,-1.90M,158.50M,,-86.70M,0.20M,-86.50M,,,-5.50M,-92.30M,,,,-31.90M,10.00M,-7.60M,2.40M,,-25.40M,5.80M,-49.10M,,30.20M,17.10M,47.30M,,10.00M,,,-7.60M,,,,,
2007-05,-55.20M,,,3.30M,30.20M,0.30M,30.50M,30.50M,-5.00M,,,,,-14.60M,0.70M,69.50M,-2.20M,-31.30M,,-34.10M,6.10M,8.70M,212.30M,180.00M,,-74.90M,1.20M,-73.70M,,,-2.50M,-82.30M,,,,-57.30M,9.80M,-46.10M,-36.30M,,-32.20M,4.50M,-121.30M,,53.80M,-23.60M,30.20M,,9.80M,,,-46.10M,,,,,
2007-02,106.40M,,,8.90M,70.50M,0.50M,71.00M,71.00M,-10.00M,,,,,19.20M,-6.90M,1.70M,0.80M,3.60M,,98.40M,-0.70M,96.90M,-17.40M,275.00M,,-92.30M,7.20M,-85.10M,,,1.10M,-80.10M,,,,-21.30M,9.50M,-174.90M,-165.40M,,0.00,7.20M,-179.50M,,38.40M,15.40M,53.80M,,9.50M,,,-174.90M,,,,,
2006-11,61.70M,,,-4.90M,49.80M,0.50M,50.30M,50.30M,-5.10M,,,,,17.30M,-7.90M,-75.30M,3.80M,20.50M,,-28.90M,-0.30M,-88.10M,6.70M,37.90M,,-85.60M,36.90M,-48.70M,,,-1.20M,-50.70M,,,,60.90M,26.90M,-67.00M,-40.10M,,-33.50M,18.40M,5.70M,,45.50M,-7.10M,38.40M,,26.90M,,,-67.00M,,,,,
2006-08,88.50M,,,2.30M,49.90M,0.40M,50.30M,50.30M,-7.00M,,,,,3.40M,8.20M,-10.10M,-8.00M,-16.40M,,-6.60M,-1.80M,-34.70M,10.70M,113.50M,,-92.40M,12.60M,-79.80M,,,0.40M,-82.50M,,,,35.10M,10.40M,-83.20M,-72.80M,,,9.90M,-27.80M,,42.30M,3.20M,45.50M,,10.40M,,,-83.20M,,,,,
2006-05,92.31M,,,-74.27M,32.02M,-4.728M,27.29M,27.29M,-11.87M,,,,,46.50M,-0.70M,37.00M,-2.10M,29.40M,,56.03M,-30.88M,88.75M,,200.22M,,-34.43M,6.557M,-27.87M,,,0.527M,-93.64M,,,,0.031M,7.205M,-95.28M,-88.08M,,-29.35M,,-117.39M,,53.12M,-10.82M,42.30M,,7.205M,,,-95.28M,,,,,
2006-02,105.32M,,,74.39M,56.08M,5.927M,62.01M,62.01M,-5.13M,,,,,-25.65M,1.636M,11.91M,3.787M,-18.57M,,32.16M,27.86M,58.78M,,269.73M,,-72.90M,7.789M,-65.11M,,10.00M,0.095M,-55.02M,,,,-106.00M,22.52M,-150.65M,-128.12M,,0.00,,-234.12M,,72.54M,-19.41M,53.12M,,22.52M,,,-150.65M,,,,,
2005-11,55.06M,,,-5.023M,54.76M,0.909M,55.67M,55.67M,-3.92M,,,,,12.90M,1.923M,-21.64M,3.283M,-19.22M,,-39.94M,2.961M,-72.63M,,42.05M,,-85.07M,6.254M,-78.82M,,90.00M,-3.446M,7.737M,,,,-149.01M,13.01M,-55.13M,-42.12M,,-29.85M,-0.988M,-221.97M,,244.72M,-172.18M,72.54M,,13.01M,,,-55.13M,,,,,
2005-08,85.51M,,,6.596M,54.14M,0.892M,55.03M,55.03M,-9.78M,,,,,12.75M,-3.559M,9.727M,-7.07M,37.79M,,15.45M,2.553M,54.89M,,205.01M,,-81.10M,,-81.10M,,-100.00M,-2.576M,-183.68M,,,,293.68M,19.06M,-133.14M,-114.08M,,,0.988M,180.59M,,42.80M,201.92M,244.72M,,19.06M,,,-133.14M,,,,,
2005-05,83.99M,,,34.50M,54.56M,2.898M,57.46M,57.46M,-7.678M,,,,,-0.102M,,,,,,50.61M,-25.03M,-4.509M,,163.66M,,-98.58M,10.56M,-88.02M,,,-1.203M,-89.22M,,,,0.00,25.47M,-138.64M,-113.17M,,-6.254M,,-119.42M,,87.78M,-44.98M,42.80M,,25.47M,,,-138.64M,,,,,
2005-02,92.63M,,,13.60M,52.72M,2.944M,55.66M,55.66M,-6.815M,,,,,1.878M,,,,,,5.885M,29.99M,35.87M,,192.84M,,-83.88M,2.263M,-81.62M,,,1.522M,-80.09M,,,,0.00,18.92M,-104.31M,-85.39M,,0.00,,-85.39M,,60.43M,27.35M,87.78M,,18.92M,,,-104.31M,,,,,
2004-11,42.98M,,,9.098M,53.18M,2.648M,55.82M,55.82M,-6.503M,,,,,0.556M,,,,,14.89M,2.009M,-4.959M,11.94M,,113.89M,,-84.12M,4.02M,-80.10M,,,-1.931M,-82.03M,,,,-17.05M,20.80M,-6.78M,14.02M,,-6.251M,-0.75M,-10.03M,,38.60M,21.83M,60.43M,,20.80M,,,-6.78M,,,,,
2004-08,71.01M,,,6.93M,52.76M,2.551M,55.31M,55.31M,-3.726M,,,,,-2.332M,,,,,-14.89M,0.552M,,-14.34M,,112.86M,,-62.66M,1.184M,-61.48M,,,-0.319M,-61.80M,,,,2.55M,9.515M,-61.96M,-52.45M,,,0.75M,-49.15M,,36.69M,1.909M,38.60M,,9.515M,,,-61.96M,,,,,
2004-05,52.68M,,,49.55M,54.22M,1.75M,55.97M,55.97M,7.995M,,,,,-0.057M,,,,,,27.22M,4.80M,5.389M,,171.53M,,-82.50M,5.316M,-77.18M,,,-1.226M,-78.41M,,,,-0.10M,9.776M,-103.56M,-93.78M,,-6.409M,,-100.29M,,43.87M,-7.176M,36.69M,,9.776M,,,-103.56M,,,,,
2004-02,77.09M,,,-0.051M,52.18M,2.496M,54.68M,54.68M,4.057M,,,,,0.895M,,,,,,0.812M,90.73M,91.54M,,228.20M,,-81.63M,5.443M,-76.19M,,,-1.261M,-77.45M,,,,-56.30M,9.778M,-88.17M,-78.39M,,0.00,,-134.69M,,27.81M,16.06M,43.87M,,9.778M,,,-88.17M,,,,,
2003-11,28.81M,,,10.90M,52.05M,1.509M,53.56M,53.56M,1.329M,,,,,-0.602M,,,,,-22.32M,0.412M,-95.53M,-117.44M,,-23.45M,,-103.52M,2.54M,-100.98M,,,-2.228M,-103.21M,,,,70.90M,9.773M,-16.16M,-6.382M,,-6.575M,,57.94M,,96.52M,-68.72M,27.81M,,9.773M,,,-16.16M,,,,,
2003-08,68.59M,,,1.348M,51.55M,1.844M,53.40M,53.40M,3.307M,,,,,-0.236M,,,,,22.32M,0.394M,,22.72M,,149.13M,,-86.67M,2.898M,-83.78M,,,-0.413M,-84.19M,,,,,10.53M,-27.58M,-17.05M,,,,-17.05M,,48.63M,47.89M,96.52M,,10.53M,,,-27.58M,,,,,
2003-05,54.83M,,,-7.622M,52.02M,1.581M,53.60M,53.60M,11.94M,,,,,,0.066M,-1.231M,-8.523M,15.93M,,29.91M,-28.78M,7.367M,,120.11M,,-102.60M,4.123M,-98.48M,,0.00,10.56M,-87.91M,,,,4.075M,4.837M,-106.38M,-101.54M,,-6.706M,-4.075M,-108.24M,,124.68M,-76.05M,48.63M,,4.837M,,,-106.38M,,,,,
2003-02,61.79M,,,10.67M,48.13M,1.776M,49.91M,49.91M,7.543M,,,,,-0.555M,3.326M,59.40M,0.821M,-5.561M,,30.71M,28.78M,117.48M,,246.83M,,-108.51M,1.013M,-107.50M,,0.00,-13.97M,-121.47M,,,,-4.075M,13.30M,-34.87M,-21.56M,,0.00,4.075M,-21.56M,,20.88M,103.80M,124.68M,,13.30M,,,-34.87M,,,,,
2002-11,37.48M,,,6.02M,45.93M,1.769M,47.70M,47.70M,10.71M,,,,,0.849M,-5.062M,-51.22M,-0.85M,-15.56M,,-32.10M,,-104.79M,,-2.036M,,-101.92M,2.055M,-99.86M,,10.00M,-0.449M,-90.31M,,,,,8.945M,-26.00M,-17.05M,,-6.795M,,-23.85M,,137.08M,-116.20M,20.88M,,8.945M,,,-26.00M,,,,,
2002-08,71.89M,,,7.399M,45.14M,1.775M,46.92M,46.92M,1.835M,,,,,-0.294M,1.736M,-8.177M,0.029M,21.12M,,1.283M,,15.99M,,143.73M,,-110.24M,0.45M,-109.80M,,,-10.24M,-120.04M,,,,,6.58M,-46.07M,-39.49M,,,,-39.49M,,152.88M,-15.80M,137.08M,,6.58M,,,-46.07M,,,,,
2002-05,72.95M,,,3.359M,43.39M,2.17M,45.56M,45.56M,9.392M,,,,,,0.396M,57.01M,0.124M,-14.33M,,1.156M,,44.36M,,175.62M,,-94.62M,3.877M,-90.74M,,,-6.415M,-107.06M,,,,83.03M,6.114M,-37.75M,-31.63M,,-4.588M,0.359M,47.17M,,37.14M,115.73M,152.88M,,6.114M,,,-37.75M,,,,,
2002-02,66.22M,,,7.016M,41.86M,1.771M,43.64M,43.64M,10.95M,,,,,2.408M,-4.906M,-2.631M,-0.372M,42.01M,,84.09M,,118.19M,,248.42M,,-91.09M,4.355M,-86.74M,,,-5.131M,-91.87M,,,,-49.34M,13.88M,-108.96M,-95.08M,,0.00,5.01M,-139.41M,,20.00M,17.14M,37.14M,,13.88M,,,-108.96M,,,,,
2001-11,36.46M,,,5.704M,41.06M,1.743M,42.80M,42.80M,1.341M,,,,,-2.601M,-0.504M,-55.12M,1.776M,-38.64M,,-30.09M,,-122.58M,,-38.87M,,-72.50M,2.14M,-70.36M,,,-6.604M,-76.96M,,,,107.00M,8.355M,-10.67M,-2.315M,,-4.637M,0.00,100.05M,,35.78M,-15.78M,20.00M,,8.355M,,,-10.67M,,,,,
2001-08,62.16M,,,8.464M,39.51M,1.894M,41.40M,41.40M,1.113M,,,,,0.193M,8.795M,-23.24M,0.459M,14.17M,,9.455M,,9.633M,,122.96M,,-60.19M,0.369M,-59.82M,,,-38.09M,-97.91M,,,,-12.01M,12.17M,-51.20M,-39.03M,,,-0.054M,-51.09M,,61.81M,-26.03M,35.78M,,12.17M,,,-51.20M,,,,,
2001-05,61.01M,,,-10.11M,,,40.19M,40.19M,12.00M,,,,,15.26M,2.235M,61.92M,,12.65M,-2.072M,-3.374M,-0.642M,70.43M,,188.77M,,-110.42M,1.569M,-108.86M,,,-3.53M,-112.39M,,,,1.888M,10.20M,-51.28M,-41.08M,,-4.692M,0.018M,-43.87M,,29.30M,32.52M,61.81M,,10.20M,,,-51.28M,,,,,
2001-02,49.53M,,,3.026M,,,38.88M,38.88M,0.91M,,,,,0.049M,0.109M,0.125M,,-0.004M,1.734M,59.76M,0.042M,61.77M,,154.16M,,-86.52M,3.11M,-83.41M,,,-4.521M,-87.93M,,,,-8.975M,4.827M,-42.01M,-37.18M,,0.00,1.474M,-44.68M,,7.753M,21.54M,29.30M,,4.827M,,,-42.01M,,,,,
2000-11,29.54M,,,6.076M,,,37.56M,37.56M,0.10M,,,,,-0.036M,-7.252M,-68.29M,,3.722M,0.338M,-19.50M,-5.291M,-96.27M,,-23.03M,,-75.97M,4.238M,-71.73M,,,-0.247M,-71.98M,,,,80.59M,15.71M,-25.80M,-10.09M,,-4.766M,4.646M,70.38M,,32.38M,-24.63M,7.753M,,15.71M,,,-25.80M,,,,,
2000-08,56.92M,,,2.568M,,,37.27M,37.27M,-1.257M,,,,,,,,,,,-0.081M,5.249M,5.168M,,100.67M,,-82.22M,4.575M,-77.65M,,,-2.432M,-80.08M,,,,37.29M,5.965M,-57.42M,-51.46M,,,-0.147M,-14.31M,,26.10M,6.279M,32.38M,,5.965M,,,-57.42M,,,,,
2000-05,58.00M,,,1.583M,,,35.96M,35.96M,11.51M,,,,,-5.437M,9.00M,60.70M,,20.10M,3.30M,-22.87M,,72.70M,,174.32M,,-76.55M,4.298M,-72.25M,,,1.88M,-70.37M,,,,-45.09M,2.058M,-53.80M,-51.75M,,-4.934M,3.557M,-98.21M,,20.30M,5.742M,26.10M,,2.058M,,,-53.80M,,,,,
2000-02,46.90M,,,0.50M,,,34.50M,34.50M,2.50M,,,,,-0.20M,-24.70M,10.40M,,4.20M,6.70M,49.20M,,45.80M,,130.00M,,-85.50M,4.00M,-81.50M,,,-3.30M,-84.80M,,,,14.20M,3.20M,-64.80M,-61.60M,,0.00,2.70M,-44.70M,,19.90M,0.50M,20.30M,,3.20M,,,-64.80M,,,,,
1999-11,24.50M,,,0.30M,,,33.10M,33.10M,5.50M,,,,,-0.10M,18.00M,-22.70M,,-35.80M,-7.80M,-17.60M,,-65.90M,,-2.60M,,-66.30M,5.60M,-60.70M,,,-1.10M,-61.80M,,,,109.50M,3.20M,-56.10M,-52.90M,,-5.20M,2.50M,53.90M,,30.30M,-10.50M,19.90M,,3.20M,,,-56.10M,,,,,
1999-08,47.30M,,,0.30M,,,32.80M,32.80M,5.10M,,,,,0.40M,-2.30M,-48.40M,,11.50M,-2.20M,-9.10M,,-50.50M,,35.40M,,-40.60M,7.10M,-33.50M,,,0.70M,-32.80M,,,,2.90M,7.30M,-27.40M,-20.10M,,,4.00M,-13.20M,,41.00M,-10.60M,30.30M,,7.30M,,,-27.40M,,,,,
1999-05,51.00M,,,-2.00M,,,33.10M,33.10M,-0.30M,,,,,-8.50M,0.30M,-31.50M,,-5.00M,68.50M,-9.40M,,22.90M,,96.20M,,-39.30M,8.60M,-30.70M,,,-7.20M,-37.90M,,,,19.30M,4.00M,-73.80M,-69.80M,,-5.40M,-1.70M,-57.60M,,0.00,0.70M,41.00M,,4.00M,,,-73.80M,,,,,
1999-02,38.40M,,,0.50M,,,32.60M,32.60M,1.80M,,,,,0.30M,-1.40M,-13.80M,,16.20M,1.20M,26.40M,,28.60M,,102.20M,,-28.90M,7.80M,-21.10M,,,-2.00M,-23.10M,,,,3.80M,9.80M,-67.00M,-57.20M,,0.00,1.60M,-51.80M,,13.10M,27.30M,0.00,,9.80M,,,-67.00M,,,,,
1998-11,15.90M,,,0.60M,,,32.50M,32.50M,8.00M,,,,,0.40M,-3.10M,8.10M,,17.30M,0.80M,-21.30M,,1.80M,,59.20M,,-31.10M,8.90M,-22.20M,,,-1.00M,-23.20M,,,,-19.30M,4.00M,-34.10M,-30.10M,,-5.50M,4.00M,-50.90M,,28.00M,-14.90M,13.10M,,4.00M,,,-34.10M,,,,,
1998-08,35.20M,,,-0.90M,,,32.00M,32.00M,4.50M,,,,,-0.50M,4.20M,37.20M,,-28.50M,0.40M,7.00M,,20.30M,,90.60M,,-24.40M,12.80M,-11.60M,,,-0.70M,-12.30M,,,,-45.60M,10.70M,-52.60M,-41.90M,,,3.60M,-83.90M,,33.50M,-5.60M,28.00M,,10.70M,,,-52.60M,,,,,
1998-05,40.00M,,,-1.70M,,,33.20M,33.20M,-7.80M,,,,,3.50M,11.00M,44.00M,,-25.90M,-20.90M,-16.00M,,-7.80M,,59.40M,,-25.00M,4.40M,-20.60M,,,-1.60M,-22.20M,,,,44.00M,5.80M,-83.80M,-78.00M,,-5.70M,0.40M,-39.30M,,0.00,-2.10M,33.50M,,5.80M,,,-83.80M,,,,,
1998-02,29.80M,,,0.00,,,33.00M,33.00M,0.80M,,,,,0.10M,-7.80M,6.60M,,6.70M,6.80M,22.70M,,35.00M,,98.70M,,-31.10M,11.00M,-20.10M,,,-0.30M,-20.40M,,,,-29.70M,4.00M,-40.20M,-36.20M,,0.00,1.10M,-64.80M,,0.00,13.50M,0.00,,4.00M,,,-40.20M,,,,,
1997-11,7.50M,,,1.70M,,,32.40M,32.40M,5.80M,,,,,0.20M,-3.30M,-60.60M,,7.80M,-4.90M,-4.40M,,-65.40M,,-17.80M,,-27.50M,4.20M,-23.30M,,,-1.30M,-24.60M,,,,62.60M,2.10M,-24.90M,-22.80M,,-6.00M,0.40M,34.20M,,0.00,-8.20M,0.00,,2.10M,,,-24.90M,,,,,
1997-08,24.40M,,,,,,32.40M,32.40M,1.20M,,,,,-0.10M,0.10M,10.00M,,11.40M,12.20M,4.20M,,37.90M,,95.80M,,-28.60M,4.90M,-23.70M,,,-2.70M,-26.40M,,,,-45.20M,0.40M,-21.80M,-21.40M,,,2.00M,-64.60M,,25.50M,4.80M,0.00,,0.40M,,,-21.80M,,,,,
1997-05,-116.00M,,,233.00M,,,32.70M,32.70M,-64.70M,,,,,-4.50M,14.30M,15.20M,,-39.40M,-7.30M,-3.60M,,-20.80M,,59.70M,,-33.80M,10.40M,-23.40M,,,1.90M,-21.50M,,,,-34.50M,0.20M,-0.10M,0.10M,,-6.10M,-1.00M,-41.50M,,0.00,-3.30M,0.00,,0.20M,,,-0.10M,,,,,
1997-02,15.70M,,,-3.00M,,,36.10M,36.10M,4.60M,,,,,4.30M,-1.80M,-7.50M,,22.80M,4.80M,10.40M,,28.70M,,86.40M,,-42.50M,10.90M,-31.60M,,,-1.20M,-32.80M,,,,-12.00M,0.40M,-34.80M,-34.40M,,0.00,1.00M,-45.40M,,0.00,8.20M,0.00,,0.40M,,,-34.80M,,,,,
1996-11,-11.20M,,,2.10M,,,36.90M,36.90M,5.70M,,,,,-1.80M,-4.10M,-19.20M,,1.50M,-11.90M,-17.30M,,-51.00M,,-19.30M,,-44.40M,10.70M,-33.70M,,,0.70M,-33.00M,,,,53.30M,0.10M,-6.30M,-6.20M,,-6.30M,0.50M,41.30M,,0.00,-11.00M,0.00,,0.10M,,,-6.30M,,,,,
1996-08,20.50M,,,0.90M,,,35.00M,35.00M,2.30M,,,,,2.00M,,,,,,1.70M,,1.70M,,62.40M,,-39.00M,2.00M,-37.00M,,,-0.20M,-37.20M,,,,-22.20M,0.80M,-2.90M,-2.10M,,,0.30M,-24.00M,,30.30M,1.20M,0.00,,0.80M,,,-2.90M,,,,,
1996-05,34.50M,,,-3.00M,,,35.70M,35.70M,-5.20M,,,,,-1.40M,10.10M,25.40M,,-27.90M,-2.10M,1.10M,,6.60M,,67.20M,,-65.70M,2.90M,-62.80M,,,-1.00M,-63.80M,,,,23.90M,2.10M,,-22.90M,,-6.30M,1.70M,-3.60M,,0.00,-0.20M,30.30M,,2.10M,,,,,,,,
1996-02,35.60M,,,73.90M,,,32.40M,32.40M,-2.60M,,,,,-73.60M,-7.90M,25.20M,,27.50M,6.50M,26.40M,,77.70M,,143.40M,,-62.30M,11.20M,-51.10M,,,2.20M,-48.90M,,,,-55.60M,2.10M,,2.10M,,0.00,-27.60M,-81.10M,,0.00,13.40M,0.00,,2.10M,,,,,,,,
1995-11,16.40M,,,-72.40M,,,33.00M,33.00M,8.10M,,,,,74.20M,-1.20M,-6.80M,,-28.80M,5.90M,-31.20M,,-62.10M,,-2.80M,,-46.50M,-1.00M,-47.50M,,,-0.60M,-48.10M,,,,31.70M,2.70M,,2.70M,,-6.30M,,28.10M,,0.00,-22.80M,0.00,,2.70M,,,,,,,,
1995-08,-12.10M,,,76.60M,,,35.40M,35.40M,-3.80M,,,,,0.80M,-0.40M,-1.60M,,-9.30M,-3.40M,4.00M,,-10.70M,,86.20M,,-39.40M,3.20M,-36.20M,,,-2.50M,-38.70M,,,,-28.10M,0.40M,,0.40M,,,,-27.70M,,20.10M,19.80M,0.00,,0.40M,,,,,,,,
