,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-08,47.30M,,47.30M,31.30M,,31.30M,226.50M,34.10M,72.60M,140.80M,552.60M,0.00,3.998B,,,,,3.998B,-1.777B,2.221B,,,,,5.20M,152.70M,2.379B,2.932B,,210.20M,,210.20M,181.40M,391.60M,,,179.50M,,179.50M,93.40M,93.40M,330.60M,995.10M,491.00M,,491.00M,,,255.60M,746.60M,1.742B,,0.00,1.900B,1.927B,2.583B,,,-53.60M,1.190B,,,
2007-05,30.20M,,30.20M,46.40M,,46.40M,209.60M,33.50M,81.70M,144.00M,545.40M,0.00,595.80M,2.300B,996.50M,,69.40M,3.961B,-1.777B,2.184B,,,,,,151.00M,2.335B,2.881B,,178.00M,,178.00M,227.80M,405.80M,,,211.40M,,211.40M,109.90M,109.90M,347.30M,1.074B,491.60M,,491.60M,25.80M,25.80M,194.50M,711.90M,1.786B,,0.00,1.820B,1.904B,2.576B,-4.30M,-49.40M,-53.70M,1.094B,,,
2007-02,53.80M,,53.80M,43.70M,,43.70M,282.40M,33.00M,75.10M,,488.00M,,,,,,,4.266B,-1.783B,2.484B,,,,,,187.60M,2.671B,3.159B,,220.90M,,220.90M,237.90M,458.80M,,,271.30M,,271.30M,138.80M,138.80M,308.90M,1.178B,492.30M,,492.30M,75.60M,75.60M,180.10M,748.00M,1.926B,,0.00,1.908B,1.883B,2.532B,,,-25.60M,1.234B,,,
2006-11,38.40M,,38.40M,36.83M,,36.83M,284.09M,34.50M,72.86M,,466.68M,,,,,,,4.258B,-1.783B,2.476B,,,,,,187.79M,2.664B,3.130B,,214.89M,,214.89M,210.60M,425.48M,,,289.98M,,289.98M,91.45M,91.45M,286.61M,1.094B,493.17M,,493.17M,82.27M,82.27M,182.48M,757.93M,1.851B,,0.00,1.801B,1.864B,2.358B,,,-28.40M,1.279B,,,
2006-08,45.55M,,45.55M,61.84M,,61.84M,208.65M,38.37M,71.89M,,426.30M,,,,,,,4.232B,-1.783B,2.449B,,,,,,184.55M,2.634B,3.060B,,195.71M,,195.71M,241.04M,436.75M,,,229.97M,,229.97M,86.05M,86.05M,283.77M,1.037B,493.86M,,493.86M,86.70M,86.70M,178.49M,759.05M,1.796B,,0.00,1.773B,1.813B,2.294B,,,-28.43M,1.265B,,,
2006-05,42.33M,,42.33M,37.11M,,37.11M,198.72M,29.89M,69.55M,,377.61M,0.00,603.20M,2.472B,1.052B,,100.93M,4.229B,-1.783B,2.446B,,,,,,186.53M,2.633B,3.010B,,213.24M,,213.24M,234.82M,448.06M,,,193.95M,,193.95M,100.76M,100.76M,283.31M,1.026B,494.65M,,494.65M,90.57M,90.57M,169.10M,754.33M,1.780B,,0.00,1.685B,1.806B,2.211B,,,-50.12M,1.230B,,,
2006-02,53.12M,,53.12M,39.24M,,39.24M,245.25M,30.25M,66.34M,,434.20M,,,,,,,4.074B,-1.665B,2.409B,,,,,,187.31M,2.596B,3.030B,,222.54M,,222.54M,213.18M,435.72M,,,44.00M,,44.00M,120.46M,120.46M,268.46M,868.64M,645.12M,,645.12M,99.05M,99.05M,167.69M,911.87M,1.781B,,1.796B,1.622B,,2.117B,,,-50.97M,1.250B,,,
2005-11,72.54M,10.00M,82.54M,38.07M,,38.07M,247.35M,31.72M,63.61M,,463.29M,,,,,,,4.070B,-1.665B,2.405B,,,,,,187.27M,2.592B,3.056B,,209.77M,,209.77M,188.19M,397.96M,,,149.99M,,149.99M,81.09M,81.09M,259.52M,888.55M,645.83M,,645.83M,103.82M,103.82M,162.52M,912.17M,1.801B,,1.759B,1.516B,,1.969B,,,-51.68M,1.255B,,,
2005-08,244.72M,100.00M,344.72M,40.07M,,40.07M,225.72M,35.71M,65.15M,,711.37M,,,,,,,4.046B,-1.665B,2.381B,,,,,,183.58M,2.565B,3.276B,,228.99M,,228.99M,237.20M,466.19M,,,299.97M,,299.97M,76.56M,76.56M,257.66M,1.100B,646.93M,,646.93M,109.07M,109.07M,158.12M,914.12M,2.015B,,1.743B,1.491B,,1.916B,,,-56.68M,1.261B,,,
2005-05,42.80M,,42.80M,36.51M,,36.51M,235.44M,28.93M,63.58M,,407.27M,0.00,565.96M,2.306B,1.036B,,107.75M,4.016B,-1.665B,2.351B,,55.74M,55.74M,,,123.32M,2.531B,2.938B,,191.20M,,191.20M,210.83M,402.03M,,,299.93M,,299.93M,88.47M,88.47M,254.18M,1.045B,350.32M,,350.32M,114.85M,114.85M,154.98M,620.14M,1.665B,,0.00,1.406B,1.703B,1.785B,,,-51.24M,1.273B,,,
2005-02,87.78M,,87.78M,47.61M,,47.61M,271.09M,29.04M,60.69M,0.599M,496.81M,,,,,,,3.847B,-1.529B,2.318B,,,,,,180.67M,2.499B,2.996B,,186.48M,,186.48M,233.64M,420.12M,,,299.89M,,299.89M,103.44M,103.44M,263.63M,1.087B,351.41M,,351.41M,120.12M,120.12M,149.51M,621.04M,1.708B,,1.662B,1.328B,,1.650B,,,-52.00M,1.288B,,,
2004-11,60.43M,,60.43M,30.90M,,30.90M,236.44M,22.67M,60.34M,0.889M,411.67M,,,,,,,3.821B,-1.529B,2.292B,,,,,,184.18M,2.476B,2.888B,,162.14M,,162.14M,220.18M,382.32M,,,149.93M,,149.93M,71.15M,71.15M,246.49M,849.90M,502.57M,,502.57M,126.23M,126.23M,142.49M,771.30M,1.621B,,1.633B,1.235B,,1.548B,,,-53.54M,1.267B,,,
2004-08,38.60M,,38.60M,25.52M,,25.52M,217.99M,27.80M,56.74M,,366.66M,,,,,,,3.790B,-1.529B,2.262B,,,,,,181.12M,2.443B,2.809B,,164.70M,,164.70M,207.79M,372.49M,,,17.80M,,17.80M,65.09M,65.09M,233.40M,688.78M,652.67M,,652.67M,173.53M,173.53M,22.08M,848.28M,1.537B,,1.606B,1.270B,,1.545B,,,-58.35M,1.272B,,,
2004-05,36.69M,,36.69M,30.26M,,30.26M,198.78M,25.32M,55.26M,,346.31M,0.00,545.19M,2.138B,1.008B,,87.66M,3.779B,-1.529B,2.251B,,,,,,183.42M,2.434B,2.780B,,174.62M,,174.62M,190.52M,365.14M,,,14.50M,,14.50M,75.51M,75.51M,228.32M,683.48M,653.35M,,653.35M,132.69M,132.69M,135.54M,921.58M,1.605B,,1.584B,1.128B,,1.484B,,,-52.71M,1.175B,,,
2004-02,43.87M,,43.87M,35.18M,,35.18M,262.76M,21.95M,58.16M,0.71M,422.63M,,,,,,,3.629B,-1.365B,2.264B,,,,,,185.66M,2.450B,2.872B,,188.13M,,188.13M,196.19M,384.32M,,,14.60M,,14.60M,91.68M,91.68M,250.20M,740.80M,654.31M,,654.31M,170.00M,170.00M,21.57M,845.88M,1.587B,,1.572B,1.151B,,1.382B,,,-55.54M,1.286B,,,
2003-11,27.81M,,27.81M,25.67M,,25.67M,257.00M,24.74M,53.97M,,389.18M,0.00,3.604B,,,,,3.604B,-1.365B,2.240B,,,,,,183.90M,2.423B,2.813B,,167.54M,,167.54M,168.76M,336.29M,,,70.90M,,70.90M,64.89M,64.89M,222.46M,694.54M,655.07M,,655.07M,160.98M,160.98M,20.69M,836.74M,1.531B,,1.560B,1.073B,,1.295B,,,-56.22M,1.281B,,,
2003-08,96.52M,,96.52M,41.74M,,41.74M,173.74M,32.66M,51.19M,,395.85M,,,,,,,3.556B,-1.365B,2.191B,,,,,,181.93M,2.373B,2.769B,,195.99M,,195.99M,200.63M,396.62M,,,,,,66.69M,66.69M,218.92M,682.23M,656.87M,,656.87M,155.83M,155.83M,20.30M,833.01M,1.515B,,1.548B,1.048B,,1.281B,,,-61.20M,1.254B,,,
2003-05,48.63M,,48.63M,29.02M,,29.02M,173.64M,25.13M,49.21M,,325.63M,0.00,505.44M,1.899B,922.59M,,195.08M,3.522B,-1.365B,2.157B,,,,,,181.87M,2.339B,2.665B,,175.99M,,175.99M,189.02M,365.01M,,,,,,72.70M,72.70M,202.20M,639.91M,658.09M,,658.09M,150.54M,150.54M,19.91M,828.53M,1.468B,,1.526B,979.44M,,1.254B,,,-54.92M,1.196B,,,
2003-02,124.68M,,124.68M,29.83M,,29.83M,213.86M,17.01M,49.87M,9.613M,444.86M,,,,,,,3.319B,-1.218B,2.101B,,,,,,172.40M,2.273B,2.718B,,189.22M,,189.22M,173.97M,363.20M,,,,,,,,302.81M,666.00M,658.65M,,658.65M,135.54M,135.54M,19.53M,813.72M,1.480B,,1.521B,925.04M,,1.149B,,,-58.73M,1.239B,,,
2002-11,20.88M,,20.88M,32.42M,,32.42M,231.81M,17.42M,46.97M,10.09M,359.59M,,,,,,,3.258B,-1.218B,2.040B,,,,,,162.55M,2.203B,2.562B,,165.62M,,165.62M,157.16M,322.78M,,,,,,,,247.20M,569.98M,659.66M,,659.66M,125.09M,125.09M,19.06M,803.81M,1.374B,,1.502B,863.25M,,1.115B,,,-62.05M,1.188B,,,
2002-08,137.08M,9.994M,147.07M,27.35M,,27.35M,180.59M,16.57M,53.92M,10.69M,436.19M,,,,,,,3.203B,-1.218B,1.985B,,,,,,164.59M,2.150B,2.586B,,181.18M,,181.18M,193.01M,374.19M,,,,,,,,242.55M,616.74M,661.10M,,661.10M,121.34M,121.34M,19.21M,801.65M,1.418B,,1.489B,832.57M,,1.090B,,,-64.26M,1.167B,,,
2002-05,152.88M,9.904M,162.78M,29.09M,,29.09M,172.41M,23.08M,52.13M,10.05M,449.53M,0.00,464.89M,1.720B,830.40M,,123.99M,3.139B,-1.218B,1.921B,,,,,,159.44M,2.080B,2.530B,,160.06M,,160.06M,186.91M,346.98M,,,,,,,,254.04M,601.01M,662.51M,,662.51M,117.71M,117.71M,19.63M,799.84M,1.401B,,1.474B,760.68M,,1.045B,,,-60.95M,1.129B,,,
2002-02,37.14M,,37.14M,29.48M,,29.48M,229.43M,16.73M,50.54M,10.58M,373.90M,,,,,,,2.968B,-1.098B,1.871B,,,,,,153.20M,2.024B,2.398B,,174.39M,,174.39M,,174.39M,,,65.34M,,65.34M,,,433.62M,673.35M,513.05M,,513.05M,106.73M,106.73M,19.78M,639.56M,1.313B,,1.463B,692.32M,,1.008B,,,-62.91M,1.085B,,,
2001-11,20.00M,,20.00M,24.58M,,24.58M,226.80M,16.36M,48.50M,10.49M,346.72M,,,,,,,2.922B,-1.098B,1.825B,,,,,,150.19M,1.975B,2.322B,,132.38M,,132.38M,132.14M,264.52M,,,109.64M,,109.64M,,,217.83M,591.99M,514.28M,,514.28M,93.74M,93.74M,19.85M,627.86M,1.220B,,1.440B,626.10M,,899.99M,,,-64.72M,1.102B,,,
2001-08,35.78M,,35.78M,24.08M,,24.08M,171.67M,18.13M,48.48M,12.98M,311.12M,,,,,,,2.894B,-1.098B,1.796B,,,,,,147.68M,1.944B,2.255B,,171.03M,,171.03M,165.69M,336.72M,,,2.64M,,2.64M,,,218.44M,557.79M,515.96M,,515.96M,92.38M,92.38M,19.98M,628.31M,1.186B,,1.429B,594.28M,,890.40M,,,-63.99M,1.069B,,,
2001-05,61.81M,,61.81M,32.87M,,32.87M,148.43M,26.94M,48.00M,10.09M,328.14M,0.00,426.17M,1.562B,759.81M,,128.98M,2.877B,-1.098B,1.780B,,,,,,108.88M,1.888B,2.217B,,156.86M,,156.86M,157.72M,314.57M,2.647M,12.00M,14.65M,,14.65M,,,225.04M,554.26M,517.93M,,517.93M,90.78M,90.78M,20.25M,628.96M,1.183B,,1.406B,532.12M,,840.25M,,,-64.35M,1.033B,,,
2001-02,29.30M,,29.30M,,,35.10M,208.04M,,,76.60M,349.05M,,,,,,,2.721B,-1.011B,1.710B,,,,,,107.98M,1.818B,2.167B,,144.20M,,144.20M,,144.20M,,,84.51M,,84.51M,,,377.61M,606.33M,446.12M,,446.12M,80.27M,80.27M,20.44M,546.84M,1.153B,,1.391B,475.80M,,789.33M,,,-63.83M,1.014B,,,
2000-11,7.753M,,7.753M,,,35.21M,207.85M,,,80.63M,331.44M,,,,,,,2.674B,-1.011B,1.662B,,,,,,104.45M,1.767B,2.098B,,144.21M,,144.21M,,144.21M,,,91.81M,,91.81M,,,317.22M,553.25M,447.74M,,447.74M,79.79M,79.79M,20.85M,548.38M,1.102B,,1.385B,426.28M,,747.87M,,,-66.71M,996.64M,,,
2000-08,32.38M,,32.38M,,,27.41M,176.07M,,,80.88M,316.73M,,,,,,,2.660B,-1.034B,1.626B,,,,,,103.98M,1.730B,2.046B,,164.90M,,164.90M,,164.90M,,,154.81M,,154.81M,,,353.58M,673.30M,301.15M,,301.15M,78.87M,78.87M,20.81M,400.83M,1.074B,,1.363B,401.50M,,722.71M,,,-69.28M,972.21M,,,
2000-05,26.10M,,26.10M,27.96M,,27.96M,142.19M,,,94.21M,290.46M,,,,,,,2.590B,-1.011B,1.579B,,,,,,102.42M,1.681B,1.971B,,140.49M,,140.49M,,140.49M,,,117.51M,,117.51M,,,348.89M,606.89M,304.07M,,304.07M,79.10M,79.10M,20.89M,404.07M,1.011B,,1.352B,344.58M,,666.84M,,,-68.98M,960.47M,,,
2000-02,20.30M,,20.30M,,,29.30M,204.80M,,,95.80M,350.20M,,,,,,,2.547B,-1.008B,1.539B,,,,,,103.60M,1.643B,1.993B,,124.60M,,124.60M,,124.60M,,,157.40M,,157.40M,,,353.30M,635.30M,309.30M,,309.30M,72.00M,72.00M,21.20M,402.50M,1.038B,,1.349B,291.40M,,613.60M,-11.80M,-60.10M,-71.90M,955.20M,,,
1999-11,19.90M,,19.90M,,,4.60M,215.30M,,,111.10M,350.90M,,,,,,,2.460B,-968.30M,1.491B,,,,,,102.80M,1.594B,1.945B,,120.40M,,120.40M,,120.40M,,,141.10M,,141.10M,,,310.40M,571.90M,311.40M,,311.40M,74.60M,74.60M,21.10M,407.10M,979.00M,,1.345B,244.50M,,549.30M,-12.00M,-62.10M,-74.10M,966.10M,,,
1999-08,30.30M,,30.30M,,,22.50M,192.50M,,,112.90M,358.20M,,,,,,,2.418B,-948.90M,1.469B,,,,,,102.50M,1.571B,1.929B,,156.20M,,156.20M,,156.20M,,,27.00M,,27.00M,,,343.20M,526.40M,313.50M,,313.50M,72.40M,72.40M,21.30M,407.20M,933.60M,,0.00,225.30M,1.341B,493.90M,-12.50M,-64.60M,-77.10M,995.70M,,,
1999-05,40.96M,,40.96M,,,20.26M,140.70M,,,122.41M,324.32M,,,,,,,2.406B,-944.70M,1.462B,,,,,,104.42M,1.566B,1.890B,,144.70M,,144.70M,,144.70M,,,25.90M,,25.90M,,,348.20M,518.80M,314.10M,,314.10M,72.10M,72.10M,21.24M,407.44M,926.25M,,1.329B,178.00M,,466.90M,-12.10M,-63.80M,-75.90M,964.00M,,,
1999-02,40.30M,,40.30M,,,27.60M,150.90M,,,123.40M,342.20M,,,,,,,2.395B,-926.70M,1.468B,,,,,,98.00M,1.566B,1.908B,,137.90M,,137.90M,,137.90M,,,15.00M,,15.00M,,,361.60M,514.50M,309.70M,,309.70M,80.50M,80.50M,19.20M,409.40M,923.90M,,,132.20M,,,,,,984.40M,,,
1998-11,13.10M,,13.10M,,,26.20M,137.10M,,,127.40M,303.80M,,,,,,,2.390B,-911.00M,1.479B,,,,,,96.90M,1.576B,1.879B,,121.80M,,121.80M,,121.80M,,,10.50M,,10.50M,,,336.70M,469.00M,310.40M,,310.40M,80.50M,80.50M,19.10M,410.00M,879.00M,,,93.90M,,,,,,1.000B,,,
1998-08,28.00M,,28.00M,,,23.10M,145.20M,,,143.60M,339.90M,,,,,,,2.374B,-894.00M,1.480B,,,,,,96.80M,1.576B,1.916B,,104.40M,,104.40M,,104.40M,,,29.50M,,29.50M,,,356.50M,490.40M,310.60M,,310.60M,81.30M,81.30M,18.80M,410.70M,901.10M,,,83.50M,,,,,,1.015B,,,
1998-05,33.50M,,33.50M,,,27.30M,182.40M,,,154.30M,397.50M,,,,,,,2.368B,-878.10M,1.490B,,,,,,96.90M,1.587B,1.985B,,132.90M,,132.90M,,132.90M,,,75.10M,,75.10M,,,350.70M,558.70M,310.60M,,310.60M,77.10M,77.10M,18.50M,406.20M,964.90M,,,48.30M,,,,,,1.020B,,,
1998-02,35.70M,,35.70M,,,27.40M,176.30M,,,148.10M,387.50M,,,,,,,2.370B,-869.70M,1.501B,,,,,,95.10M,1.596B,1.983B,,139.00M,,139.00M,,139.00M,,,33.50M,,33.50M,,,347.30M,519.80M,310.90M,,310.90M,73.70M,73.70M,19.10M,403.70M,923.50M,,,14.00M,,,,,,1.060B,,,
1997-11,22.10M,,22.10M,,,19.50M,182.80M,,,158.30M,382.70M,,,,,,,2.374B,-870.90M,1.503B,,,,,,95.50M,1.599B,1.982B,,132.20M,,132.20M,,132.20M,,,62.30M,,62.30M,,,322.00M,516.50M,311.40M,,311.40M,69.60M,69.60M,19.00M,400.00M,916.50M,,,-15.80M,,,,,,1.065B,,,
1997-08,30.40M,,30.40M,,,16.20M,122.30M,,,151.70M,320.60M,,,,,,,2.388B,-870.90M,1.518B,,,,,,95.00M,1.613B,1.933B,,124.50M,,124.50M,,124.50M,,,,,,,,328.20M,452.70M,311.40M,,311.40M,64.40M,64.40M,18.70M,394.50M,847.20M,,,-17.30M,,,,,,1.086B,,,
1997-05,25.50M,,25.50M,,,16.30M,132.20M,,,163.40M,337.40M,,,,,,,2.391B,-857.30M,1.533B,,,,,,93.00M,1.626B,1.964B,,113.10M,,113.10M,,113.10M,,,43.40M,,43.40M,,,324.10M,480.60M,313.20M,,313.20M,70.10M,70.10M,18.60M,401.90M,882.50M,,,-41.70M,,,,,,1.081B,,,
1997-02,28.80M,,28.80M,,,30.70M,147.40M,,,117.50M,324.40M,,,,,,,2.430B,-749.30M,1.680B,,,,,,94.30M,1.775B,2.099B,,152.50M,,152.50M,,152.50M,,,79.30M,,79.30M,,,231.50M,463.30M,313.80M,,313.80M,101.40M,101.40M,18.50M,433.70M,897.00M,,,80.50M,,,,,,1.202B,,,
1996-11,20.60M,,20.60M,,,28.90M,139.90M,,,126.90M,316.30M,,,,,,,2.442B,-749.30M,1.692B,,,,,,95.30M,1.788B,2.104B,,129.70M,,129.70M,,129.70M,,,90.30M,,90.30M,,,228.20M,448.20M,314.70M,,314.70M,101.70M,101.70M,18.50M,434.90M,883.10M,,,64.70M,,,,,,1.221B,,,
1996-08,31.60M,,31.60M,,,29.40M,119.50M,,,113.10M,293.60M,,,,,,,2.407B,-706.60M,1.701B,,,,,,96.80M,1.798B,2.091B,,139.20M,,139.20M,,139.20M,,,33.80M,,33.80M,,,237.10M,410.10M,318.10M,,318.10M,102.00M,102.00M,18.70M,438.80M,848.90M,,,82.20M,,,,,,1.242B,,,
1996-05,30.30M,,30.30M,24.80M,,24.80M,120.70M,,,112.20M,288.00M,,,,,,,2.410B,-706.60M,1.703B,,,,,,97.60M,1.800B,2.088B,,128.20M,,128.20M,,128.20M,,,72.70M,,72.70M,,,244.40M,445.30M,301.20M,,301.20M,101.10M,101.10M,18.30M,420.60M,865.90M,,,61.70M,,,,,,1.223B,,,
1996-02,30.60M,,30.60M,,,34.90M,146.20M,,,118.10M,329.80M,,,,,,,2.278B,-616.10M,1.662B,,,,,,97.50M,1.759B,2.089B,,156.10M,,156.10M,,156.10M,,,48.70M,,48.70M,,,243.30M,448.10M,302.10M,,302.10M,103.80M,103.80M,18.80M,424.70M,872.80M,,,33.50M,,,,,,1.216B,,,
1995-11,17.00M,,17.00M,,,26.90M,171.40M,,,126.00M,341.30M,,,,,,,2.294B,-616.10M,1.678B,,,,,,70.50M,1.748B,2.090B,,128.60M,,128.60M,,128.60M,,,100.80M,,100.80M,,,257.90M,487.30M,303.70M,,303.70M,103.20M,103.20M,17.60M,424.50M,911.80M,,,-2.10M,,,,,,1.178B,,,
1995-08,39.90M,,39.90M,,,25.80M,164.50M,,,103.70M,333.90M,,,,,,,2.286B,-616.10M,1.669B,,,,,,70.10M,1.740B,2.073B,,157.40M,,157.40M,,157.40M,,,69.10M,,69.10M,,,263.30M,489.80M,303.70M,,303.70M,99.20M,99.20M,16.60M,419.50M,909.30M,,,-12.10M,,,,,,1.164B,,,
1995-05,20.10M,,20.10M,25.30M,,25.30M,163.00M,,,99.20M,307.60M,,,,,,,2.354B,-616.10M,1.738B,,,,,,67.80M,1.806B,2.113B,,166.70M,,166.70M,,166.70M,,,98.10M,,98.10M,,,252.40M,517.20M,303.80M,,303.80M,102.00M,102.00M,16.40M,422.20M,939.40M,,,-69.20M,,,,,,1.174B,,,
