,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2008-03,103.10M,,,,11.80M,11.80M,,,84.90M,84.90M,-5.50M,,,7.70M,-3.60M,1.60M,-29.90M,-15.40M,,27.10M,-39.80M,,-63.00M,,137.00M,,2008-03,-92.20M,0.70M,-16.00M,-21.00M,,-309.60M,,2008-03,284.10M,,284.10M,,-18.60M,-18.60M,-32.00M,15.80M,3.20M,252.50M,,137.40M,79.90M,2.20M,219.50M,,2008-03,,-0.70M,-18.60M,,2008-03,,Restated
2007-12,113.40M,,,,,-5.80M,,,76.20M,76.20M,8.00M,,,,,5.60M,50.40M,1.50M,,9.20M,,-4.60M,56.50M,,253.90M,,2007-12,-102.60M,0.90M,-101.70M,,,-360.40M,,2007-12,,,129.60M,33.70M,-6.90M,26.80M,,,7.80M,136.00M,,106.80M,29.50M,1.10M,137.40M,,2007-12,33.70M,,-6.90M,,2007-12,,
2007-09,114.00M,,,,,2.30M,,,73.20M,73.20M,-1.70M,,,,,3.10M,-30.70M,3.30M,,-15.80M,,88.70M,45.50M,,236.40M,,2007-09,-109.90M,0.90M,-109.00M,,,-136.30M,,2007-09,,,-34.00M,20.70M,-28.20M,-7.50M,,,4.20M,-65.50M,,72.20M,34.60M,0.00,106.80M,,2007-09,20.70M,,-28.20M,,2007-09,,
2007-06,110.30M,,,,,-0.80M,,,72.30M,72.30M,-7.50M,,,,,5.10M,-34.70M,-21.40M,,16.70M,,81.30M,41.90M,,221.30M,,2007-06,-79.50M,2.60M,-76.90M,,,-89.90M,,2007-06,,,57.50M,15.90M,-163.40M,-147.50M,,,4.60M,-114.10M,,54.20M,17.30M,0.70M,72.20M,,2007-06,15.90M,,-163.40M,,2007-06,,
2007-03,89.50M,,,,,0.20M,,,70.20M,70.20M,3.70M,,,,,3.50M,-19.40M,-2.70M,,-20.10M,,-38.90M,-81.10M,,86.00M,,2007-03,-69.50M,3.00M,-66.50M,,,-77.10M,,2007-03,,,-267.40M,26.40M,-172.90M,-146.50M,,,4.00M,-438.80M,,484.00M,-429.90M,0.10M,54.20M,,2007-03,26.40M,,-172.90M,,2007-03,,
2006-12,87.20M,,,,,1.30M,,,66.70M,66.70M,-19.30M,,,,,7.90M,14.40M,-3.20M,,16.50M,,51.90M,79.60M,,223.40M,,2006-12,-86.20M,6.20M,-80.00M,0.10M,,-81.00M,,2006-12,,,321.10M,19.20M,-32.00M,-12.80M,,,3.10M,286.20M,,54.20M,428.60M,1.20M,484.00M,,2006-12,19.20M,,-32.00M,,2006-12,,
2006-09,110.34M,,,,,0.407M,-117.19M,-16.14M,68.57M,68.57M,-2.132M,,,,,1.91M,-22.63M,-3.95M,,31.59M,,43.96M,48.97M,,228.06M,,2006-09,-84.60M,3.285M,-81.31M,-0.063M,,-138.97M,,2006-09,,,-82.87M,22.93M,-60.57M,-37.64M,,,4.858M,-140.78M,,105.88M,-51.68M,-0.026M,54.20M,,2006-09,22.93M,,-60.57M,,2006-09,,
2006-06,93.16M,,,,,0.993M,117.19M,16.14M,67.93M,67.93M,5.332M,,,,,4.59M,-39.57M,2.75M,,0.409M,,41.34M,4.928M,,176.94M,,2006-06,-87.30M,9.115M,-78.19M,-0.037M,,-82.43M,,2006-06,,,61.67M,16.87M,-109.13M,-92.26M,,,3.642M,-52.32M,,62.90M,42.18M,0.826M,105.88M,,2006-06,16.87M,,-109.13M,,2006-06,,
2006-03,77.90M,,,,,-1.00M,,,65.40M,65.40M,-2.70M,,,,,2.10M,-19.00M,-13.60M,,-4.00M,,-105.90M,-142.50M,,-0.80M,,2006-03,-62.90M,7.00M,-55.90M,125.10M,,68.40M,,2006-03,,,-37.70M,28.90M,-81.10M,-52.20M,,,5.90M,-109.50M,,104.40M,-41.90M,0.40M,62.90M,,2006-03,28.90M,,-81.10M,,2006-03,,
2005-12,70.72M,,,,,-1.802M,-168.86M,-25.77M,62.27M,62.27M,-11.20M,,,,,10.68M,42.00M,7.753M,,17.92M,,-29.91M,37.77M,,168.43M,,2005-12,-80.78M,13.82M,-66.96M,,,-190.90M,,2005-12,,,57.18M,11.48M,-86.67M,-75.18M,,,2.503M,-37.89M,,165.31M,-60.36M,-0.52M,104.40M,,2005-12,11.48M,,-86.67M,,2005-12,,
2005-09,97.96M,,,,,0.377M,56.34M,8.153M,64.49M,64.49M,2.077M,,,,,6.869M,-32.55M,0.207M,,13.89M,,41.87M,23.42M,,195.19M,,2005-09,-65.38M,4.035M,-61.34M,,,-60.90M,,2005-09,,,-61.19M,9.935M,-7.626M,2.309M,,,2.357M,-78.91M,,110.02M,55.38M,-0.094M,165.31M,,2005-09,9.935M,,-7.626M,,2005-09,,
2005-06,81.40M,,,,,-2.309M,56.57M,8.625M,65.20M,65.20M,-1.791M,,,,,9.854M,-28.69M,2.355M,,-0.366M,,40.92M,14.22M,,166.57M,,2005-06,-75.38M,2.309M,-73.08M,,2.706M,-76.49M,,2005-06,,,-45.04M,-1.207M,-0.438M,-1.645M,,,6.84M,-62.28M,,83.45M,27.80M,-1.223M,110.02M,,2005-06,-1.207M,,-0.438M,,2005-06,,
2005-03,69.43M,,,,,2.834M,55.95M,8.988M,64.94M,64.94M,-2.085M,,,,,,-25.56M,-7.715M,,-12.45M,,-29.49M,-75.21M,,59.91M,,2005-03,-58.16M,1.034M,-57.12M,,-2.706M,-80.81M,,2005-03,,,144.75M,29.49M,-118.57M,-89.08M,,,,33.08M,,71.23M,12.18M,0.037M,83.45M,,2005-03,29.49M,,-118.57M,,2005-03,,
2004-12,43.45M,,,,,-3.679M,-159.98M,-25.22M,61.76M,61.76M,14.48M,,,,,,41.93M,3.623M,,7.51M,0.628M,,3.422M,,154.13M,,2004-12,-96.98M,2.897M,-94.08M,,3.501M,-86.47M,,2004-12,,,-32.25M,32.01M,-61.12M,-29.12M,,,11.32M,-70.69M,,72.10M,-3.033M,2.167M,71.23M,,2004-12,32.01M,,-61.12M,,2004-12,,
2004-09,94.95M,,,,,0.922M,53.67M,8.839M,62.51M,62.51M,-0.07M,,,,,,-59.62M,-4.693M,,25.02M,4.885M,,25.34M,,183.65M,,2004-09,-59.41M,5.994M,-53.42M,,-1.39M,-56.40M,,2004-09,,,-17.02M,4.901M,-62.96M,-58.05M,,,-0.77M,-96.44M,,41.25M,30.82M,0.036M,72.10M,,2004-09,4.901M,,-62.96M,,2004-09,,
2004-06,78.29M,,,,,0.052M,53.00M,8.402M,61.40M,61.40M,-1.892M,,,,,,-25.18M,0.759M,,5.179M,13.63M,,4.731M,,142.59M,,2004-06,-60.71M,5.753M,-54.96M,,-1.41M,-67.05M,,2004-06,,,-64.72M,11.42M,-6.46M,4.959M,,,0.243M,-80.11M,,46.32M,-4.573M,-0.503M,41.25M,,2004-06,11.42M,,-6.46M,,2004-06,,
2004-03,66.01M,,,,,3.889M,53.31M,7.977M,61.29M,61.29M,1.822M,,,,,,-4.341M,-5.17M,,-2.863M,-19.15M,,-42.46M,,90.54M,,2004-03,-68.45M,3.729M,-64.72M,,-0.701M,-183.68M,,2004-03,,,97.22M,11.66M,-34.88M,-23.21M,,,-0.037M,53.37M,,85.63M,-39.76M,0.457M,46.32M,,2004-03,11.66M,,-34.88M,,2004-03,,
2003-12,67.44M,,,,,1.628M,49.40M,6.753M,56.15M,56.15M,40.40M,,,,,-1.063M,53.77M,5.779M,,-7.407M,-57.24M,,-34.23M,,130.32M,,2003-12,-63.39M,5.069M,-58.32M,,5.912M,-64.20M,,2003-12,,,-8.428M,7.09M,-28.20M,-21.11M,,,-0.184M,-48.49M,,66.96M,17.63M,1.038M,85.63M,,2003-12,7.09M,,-28.20M,,2003-12,,
2003-09,87.44M,,,,,-10.21M,51.63M,8.106M,59.74M,59.74M,2.579M,,,,,1.063M,-24.52M,4.691M,,-7.966M,16.21M,,37.80M,,178.41M,,2003-09,-51.04M,19.38M,-31.66M,,-4.187M,-36.84M,,2003-09,,,-20.63M,5.071M,-69.42M,-64.34M,,,-0.049M,-103.92M,,30.57M,37.65M,-1.259M,66.96M,,2003-09,5.071M,,-69.42M,,2003-09,,
2003-06,67.16M,,,,,0.275M,45.42M,5.84M,51.26M,51.26M,1.193M,,,,,,-21.98M,-0.779M,,7.62M,19.11M,,35.25M,,155.13M,,2003-06,-41.20M,-2.244M,-43.45M,,-1.103M,-46.84M,,2003-06,,,-73.04M,82.37M,-120.52M,-38.16M,,,0.038M,-130.06M,,56.55M,-21.77M,-4.211M,30.57M,,2003-06,82.37M,,-120.52M,,2003-06,,
2003-03,55.32M,,,,,0.721M,55.06M,7.445M,62.50M,62.50M,-1.718M,,,,,,-12.82M,-12.59M,,-5.576M,-17.30M,,-51.49M,,65.34M,,2003-03,-56.40M,13.43M,-42.97M,,-0.622M,-69.20M,,2003-03,,,0.375M,32.08M,-9.008M,23.08M,,,-0.118M,4.496M,,49.20M,0.636M,6.713M,56.55M,,2003-03,32.08M,,-9.008M,,2003-03,,
2002-12,51.11M,,,,,4.457M,55.18M,7.669M,62.84M,62.84M,53.13M,,,,,,30.61M,1.758M,,-2.96M,-110.60M,,-114.29M,,55.37M,,2002-12,-67.30M,0.93M,-66.37M,,2.15M,-109.93M,,2002-12,,,5.037M,22.53M,0.11M,22.64M,,,-1.746M,8.46M,,95.46M,-46.10M,-0.156M,49.20M,,2002-12,22.53M,,0.11M,,2002-12,,
2002-09,72.08M,,,,,0.093M,46.71M,7.572M,54.28M,54.28M,-0.701M,,,,,,-4.665M,-3.286M,,1.03M,-9.614M,,21.99M,,147.74M,,2002-09,-46.97M,-0.318M,-47.28M,,-0.599M,-47.22M,,2002-09,,,-32.69M,23.00M,-6.892M,16.10M,,,-22.64M,-56.68M,,50.79M,43.85M,0.823M,95.46M,,2002-09,23.00M,,-6.892M,,2002-09,,
2002-06,49.54M,,,,,3.938M,45.13M,6.802M,51.93M,51.93M,-1.848M,,,,,,2.414M,-0.093M,,-4.997M,1.092M,,29.83M,,133.39M,,2002-06,-52.41M,4.781M,-47.63M,,-0.776M,-50.76M,,2002-06,,,-47.26M,,-1.348M,-1.348M,,,5.662M,-60.35M,,30.23M,22.29M,-1.728M,50.79M,,2002-06,,,-1.348M,,2002-06,,
2002-03,37.04M,,,,,3.529M,47.83M,6.545M,54.37M,54.37M,-0.654M,,,,,,-28.28M,-1.946M,,-1.933M,-22.81M,,-7.459M,,86.83M,,2002-03,-46.08M,1.395M,-44.69M,,-0.775M,-65.38M,,2002-03,,,-34.14M,,-0.764M,-0.764M,,,16.98M,-35.18M,,41.79M,-13.74M,2.175M,30.23M,,2002-03,,,-0.764M,,2002-03,,
2001-12,38.30M,,,,,4.705M,30.56M,10.30M,40.86M,40.86M,-5.159M,,,,,-0.001M,80.06M,-1.622M,,-5.215M,-0.656M,,50.13M,,128.83M,,2001-12,-39.40M,1.133M,-38.27M,,0.405M,-495.27M,,2001-12,,,333.80M,-17.25M,-0.312M,-17.56M,,,18.38M,317.99M,,89.84M,-48.45M,0.396M,41.79M,,2001-12,-17.25M,,-0.312M,,2001-12,,
2001-09,57.26M,,,,,-5.556M,33.01M,8.059M,41.07M,41.07M,2.454M,,,,,0.001M,-18.68M,1.371M,,6.983M,-12.14M,,11.98M,,107.21M,,2001-09,-37.52M,0.69M,-36.84M,,-0.407M,-41.90M,,2001-09,,,-0.964M,6.093M,-17.46M,-11.36M,,,,-28.90M,,53.14M,36.41M,0.291M,89.84M,,2001-09,6.093M,,-17.46M,,2001-09,,
2001-06,48.19M,,,,,9.566M,32.23M,8.721M,40.96M,40.96M,0.05M,,,,,,-8.10M,-0.711M,-0.007M,6.014M,-13.25M,,-24.37M,,74.39M,,2001-06,-44.85M,0.754M,-44.09M,,0.002M,-44.44M,,2001-06,,,-0.696M,11.15M,-4.182M,6.972M,,,-4.964M,-15.29M,,38.69M,14.66M,-0.205M,53.14M,,2001-06,11.15M,,-4.182M,,2001-06,,
2001-03,44.41M,,,,,-2.559M,32.22M,7.888M,40.10M,40.10M,-0.295M,,,,,,-32.71M,-7.052M,0.007M,-15.23M,,,-27.62M,,54.05M,,2001-03,-36.16M,0.45M,-35.71M,,,-43.10M,,2001-03,,,5.607M,,-10.21M,-10.21M,,,4.964M,-16.29M,,43.96M,-5.343M,0.066M,38.69M,,2001-03,,,-10.21M,,2001-03,,
2000-12,54.77M,,,,,-26.75M,,,38.53M,38.53M,-7.015M,,,,,,20.67M,-9.158M,,4.47M,-8.395M,,19.92M,,79.44M,,2000-12,-39.81M,36.70M,-3.104M,,,-19.20M,,2000-12,,,-13.73M,,-43.22M,-43.22M,,,13.45M,-58.64M,,45.08M,1.604M,-2.714M,43.96M,,2000-12,,,-43.22M,,2000-12,,
2000-09,60.34M,,,,,-4.89M,,,37.44M,37.44M,-2.16M,,,,,,-29.02M,-8.711M,,10.06M,4.824M,,9.181M,,99.91M,,2000-09,-38.49M,0.209M,-38.28M,,0.062M,-66.02M,,2000-09,,,44.14M,,-55.25M,-55.25M,,,6.621M,-19.90M,,30.13M,13.98M,0.965M,45.08M,,2000-09,,,-55.25M,,2000-09,,
2000-06,48.41M,,,,,9.246M,,,36.07M,36.07M,-2.242M,,,,,,-14.76M,-0.959M,,9.681M,-1.465M,,-2.579M,,88.91M,,2000-06,-38.79M,0.472M,-38.32M,,-0.062M,-44.75M,,2000-06,,,51.48M,,-79.74M,-79.74M,,,7.113M,-36.71M,,22.76M,7.448M,-0.08M,30.13M,,2000-06,,,-79.74M,,2000-06,,
2000-03,42.61M,,,,,-2.829M,,,36.40M,36.40M,-0.187M,,,,,,-7.521M,-3.757M,,-7.59M,-2.296M,,-28.77M,,47.23M,,2000-03,-32.92M,0.512M,-32.41M,,,-72.74M,,2000-03,,,20.41M,,-8.306M,-8.306M,,,3.435M,0.014M,,47.75M,-25.50M,0.512M,22.76M,,2000-03,,,-8.306M,,2000-03,,
1999-12,42.40M,,,,,-6.10M,,,33.60M,33.60M,-2.90M,,,,,-0.20M,38.50M,-5.90M,,-13.80M,-2.40M,,27.70M,,94.50M,,1999-12,-49.40M,6.80M,-42.60M,,-1.30M,-43.90M,,1999-12,,,-6.20M,,-10.70M,-10.70M,,,1.40M,-29.00M,,26.50M,21.60M,-0.30M,47.70M,,1999-12,,,-10.70M,,1999-12,,
1999-09,55.00M,,,,,-2.90M,,,35.30M,35.30M,-0.30M,,,,,0.20M,-36.00M,1.80M,,7.00M,-8.90M,,9.90M,,97.20M,,1999-09,-39.10M,1.40M,-37.70M,,0.10M,-37.60M,,1999-09,,,-40.30M,,-10.30M,-10.30M,,,1.30M,-62.90M,,29.90M,-3.30M,-0.20M,26.50M,,1999-09,,,-10.30M,,1999-09,,
1999-06,43.40M,,,,,11.60M,,,32.90M,32.90M,0.90M,,,,,-0.10M,-14.40M,-4.60M,,5.60M,-9.50M,,-32.10M,,56.60M,,1999-06,-39.60M,9.50M,-30.10M,,0.00,-30.10M,,1999-06,,,-1.40M,,-11.70M,-11.70M,,,4.30M,-22.40M,,25.40M,4.10M,0.40M,29.90M,,1999-06,,,-11.70M,,1999-06,,
1999-03,35.00M,,,,,0.60M,,,32.70M,32.70M,-1.60M,,,,,,-32.70M,-0.20M,,-3.30M,-3.00M,,-21.50M,,45.20M,,1999-03,-63.50M,0.70M,-62.80M,,-0.10M,-62.90M,,1999-03,,,32.30M,,-9.70M,-9.70M,,,6.20M,15.20M,,28.40M,-2.50M,-0.50M,25.40M,,1999-03,,,-9.70M,,1999-03,,
1998-12,39.20M,,,,,-3.70M,,,32.60M,32.60M,-1.50M,,,,,-0.10M,17.10M,-4.70M,,5.40M,-0.70M,,8.80M,-8.70M,66.60M,,1998-12,-50.50M,5.30M,-45.20M,,-0.10M,-45.30M,,1998-12,,,-14.00M,,-8.50M,-8.50M,,,-1.60M,-36.40M,,42.40M,-15.10M,1.00M,28.50M,,1998-12,,,-8.50M,,1998-12,,
1998-09,47.00M,,,,,-2.00M,,,30.90M,30.90M,-0.20M,,,,,-0.10M,-12.00M,-6.40M,,0.80M,-2.60M,,22.70M,0.00,98.30M,,1998-09,-69.10M,14.40M,-54.70M,-5.00M,32.70M,-27.00M,,1998-09,,,-28.60M,,-18.20M,-18.20M,,,4.00M,-55.00M,,0.00,16.30M,-1.10M,42.40M,,1998-09,,,-18.20M,,1998-09,,
1998-06,37.70M,,,,,2.50M,,,29.70M,29.70M,-0.90M,,,,,0.00,-4.20M,3.80M,,-0.40M,0.00,,-7.70M,-30.20M,31.10M,,1998-06,-15.40M,0.70M,-14.70M,5.00M,-27.70M,-37.40M,,1998-06,,,34.80M,,-7.30M,-7.30M,,,0.40M,15.70M,,0.00,9.40M,-0.70M,0.00,,1998-06,,,-7.30M,,1998-06,,
