,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2012-09,1.223B,11.79M,1.235B,45.04M,282.21M,681.68M,1.009B,,32.25M,,2.276B,0.00,273.92M,,,13.17B,937.48M,14.38B,-2.843B,11.53B,664.69M,,534.90M,,12.87B,15.14B,,193.49M,93.46M,286.95M,98.60M,385.55M,0.00,0.00,0.00,,385.55M,8.651B,,8.651B,566.30M,110.88M,309.00M,9.071B,9.456B,,1.509M,-59.62M,5.195B,2.722M,,-14.38M,5.119B,,AOR,Restated
2012-06,1.672B,11.04M,1.683B,45.34M,282.42M,559.65M,984.44M,0.00,31.38M,,2.699B,0.00,270.17M,,,13.14B,732.73M,14.15B,-2.781B,11.37B,670.65M,,504.48M,,12.58B,15.28B,,163.50M,93.35M,256.85M,61.95M,318.80M,0.00,0.00,0.00,,318.80M,8.896B,,8.896B,571.68M,51.54M,308.35M,9.256B,9.575B,,1.507M,-34.46M,5.185B,2.722M,,-14.98M,5.134B,,AOR,Restated
2012-03,591.20M,11.19M,602.39M,69.64M,281.18M,541.15M,985.73M,0.00,30.70M,,1.619B,0.00,268.03M,,,12.94B,870.01M,14.08B,-2.723B,11.35B,667.38M,,500.96M,,12.59B,14.21B,,165.44M,92.62M,258.06M,98.00M,356.05M,0.00,0.00,0.00,,356.05M,7.961B,,7.961B,556.66M,51.54M,324.83M,8.337B,8.693B,,1.494M,-70.61M,5.051B,2.722M,,-15.56M,4.963B,,AOR,Restated
2011-12,1.823B,,1.823B,79.84M,280.44M,525.19M,972.81M,75.46M,40.33M,,2.912B,,,,,,,,,,679.27M,,445.40M,,11.87B,14.78B,,155.14M,91.90M,247.04M,69.10M,316.14M,0.00,0.00,0.00,,316.14M,8.704B,,8.704B,547.52M,55.65M,293.52M,9.053B,9.369B,,1.481M,-53.08M,4.936B,2.722M,,-16.14M,4.866B,,AOR,Restated
2011-09,1.063B,9.312M,1.072B,47.55M,276.38M,84.78M,408.71M,,36.76M,,1.518B,0.00,266.83M,,,12.03B,899.30M,13.20B,-2.559B,10.64B,770.47M,,441.70M,508.84M,12.46B,13.98B,,172.93M,83.58M,256.51M,89.56M,346.07M,0.00,0.00,0.00,,346.07M,7.950B,,7.950B,558.62M,55.65M,244.56M,8.251B,8.597B,,1.476M,-72.94M,4.916B,2.722M,,-16.72M,4.826B,,AOR,Restated
2011-06,780.58M,9.975M,790.56M,126.15M,276.38M,491.88M,892.61M,0.00,302.44M,,1.986B,0.00,284.12M,,,11.79B,982.32M,13.05B,-2.468B,10.58B,772.50M,,449.01M,,11.90B,13.88B,,173.26M,83.37M,256.63M,62.05M,318.67M,0.00,0.00,0.00,,318.67M,7.942B,,7.942B,578.63M,55.65M,231.70M,8.229B,8.548B,,1.464M,-69.54M,4.846B,2.722M,,-17.29M,4.758B,,AOR,Restated
2011-03,747.30M,9.80M,757.10M,56.53M,270.00M,463.12M,863.14M,0.00,305.69M,,1.926B,0.00,759.79M,,,11.57B,681.34M,13.01B,-2.411B,10.60B,762.52M,,449.08M,,11.91B,13.84B,,171.62M,83.02M,254.64M,88.07M,342.71M,,,,,342.71M,7.937B,,7.937B,593.42M,55.65M,210.39M,8.203B,8.546B,,1.451M,-56.48M,4.772B,2.722M,,-17.87M,4.696B,,AOR,Restated
2010-12,478.95M,8.732M,487.68M,62.89M,,442.68M,842.50M,0.00,308.03M,,1.638B,0.00,2.974B,7.603B,24.04M,1.090B,1.073B,12.76B,-2.324B,10.44B,767.25M,,436.02M,,11.71B,13.35B,,161.59M,81.03M,242.62M,62.33M,304.95M,0.00,0.00,0.00,,304.95M,7.786B,,7.786B,591.55M,55.65M,237.47M,8.079B,8.384B,,1.402M,-24.76M,4.417B,2.722M,,-18.44M,4.373B,,AOR,Restated
2010-09,1.270B,7.911M,1.278B,113.66M,270.00M,421.01M,804.66M,,300.77M,,2.383B,0.00,754.12M,,,10.02B,1.004B,11.77B,-2.243B,9.530B,792.43M,,300.88M,,10.67B,13.05B,,199.53M,81.07M,280.60M,84.69M,365.29M,,,,,365.29M,7.445B,,7.445B,616.18M,55.65M,104.91M,7.605B,7.971B,,1.401M,58.05M,4.425B,2.722M,,-19.53M,4.462B,,AOR,Restated
2010-06,1.703B,7.026M,1.710B,98.60M,270.00M,,368.60M,,25.38M,401.05M,2.506B,0.00,732.01M,,,9.984B,632.73M,11.35B,-2.173B,9.176B,794.65M,,289.39M,,10.28B,12.79B,,177.00M,80.86M,257.86M,80.52M,338.39M,,,,95.42M,433.81M,7.229B,,7.229B,625.56M,55.65M,,7.285B,7.719B,,1.393M,70.43M,4.394B,2.722M,,-20.16M,4.443B,,AOR,Restated
2010-03,1.220B,7.592M,1.228B,102.08M,270.00M,,372.08M,,20.85M,376.94M,1.998B,0.00,730.20M,,,9.823B,662.81M,11.22B,-2.103B,9.113B,798.16M,,291.56M,,10.25B,12.25B,,189.63M,80.76M,270.39M,69.17M,339.56M,,,,115.76M,455.31M,6.675B,,6.675B,628.24M,55.65M,,6.731B,7.186B,,1.39M,78.64M,4.381B,2.722M,,-21.14M,4.437B,,AOR,Restated
2009-12,1.449B,9.946M,1.459B,93.24M,270.00M,363.12M,726.36M,,21.87M,,2.207B,0.00,2.702B,6.888B,23.68M,922.22M,563.64M,11.10B,-2.034B,9.066B,763.64M,,294.40M,,10.14B,12.35B,,220.09M,80.54M,300.62M,76.06M,376.68M,0.00,0.00,0.00,,376.68M,6.720B,,6.720B,623.06M,55.65M,127.54M,6.903B,7.280B,,1.389M,95.43M,4.374B,2.722M,,-21.78M,4.446B,,AOR,Restated
2009-09,782.11M,10.44M,792.54M,71.84M,270.00M,,341.84M,,20.68M,353.71M,1.509B,0.00,241.62M,,,9.769B,976.76M,10.99B,-1.967B,9.020B,772.17M,,288.64M,,10.12B,11.63B,,229.18M,80.46M,309.64M,49.54M,359.18M,,,,131.19M,490.37M,6.009B,,6.009B,626.18M,55.65M,,6.065B,6.555B,,1.387M,111.46M,4.363B,2.722M,,-22.41M,4.451B,,AOR,Restated
2009-06,819.24M,11.17M,830.42M,78.50M,270.00M,,348.50M,,22.29M,340.12M,1.541B,0.00,240.38M,,,9.687B,934.40M,10.86B,-1.902B,8.960B,772.32M,,283.83M,,10.04B,11.58B,,223.91M,80.48M,304.38M,66.46M,370.85M,,,,126.56M,497.41M,5.958B,,5.958B,625.85M,55.65M,,6.013B,6.511B,,1.385M,115.03M,4.359B,2.722M,,-28.46M,4.444B,,AOR,Restated
2009-03,143.79M,9.408M,153.20M,69.12M,270.00M,,339.12M,,19.42M,331.24M,842.97M,0.00,239.76M,,,9.577B,916.22M,10.73B,-1.835B,8.898B,781.34M,,301.89M,,10.03B,10.87B,,200.27M,97.55M,297.82M,50.33M,348.14M,,,,133.66M,481.81M,6.113B,,6.113B,574.51M,55.65M,,6.168B,6.650B,,1.213M,117.08M,3.561B,2.722M,,-29.20M,3.647B,,AOR,Restated
2008-12,241.51M,11.59M,253.10M,68.74M,270.00M,,338.74M,,21.97M,,613.81M,0.00,2.205B,6.699B,22.93M,862.32M,835.98M,10.63B,-1.769B,8.856B,782.76M,,325.37M,316.71M,10.30B,10.92B,,171.79M,97.16M,268.95M,67.13M,336.08M,100.00M,100.00M,100.00M,,436.08M,5.993B,,5.993B,570.11M,55.65M,173.75M,6.222B,6.658B,,1.212M,154.95M,3.560B,2.722M,,-24.29M,3.689B,,AOR,Restated
2008-09,55.60M,16.16M,71.76M,57.55M,270.00M,,327.55M,,34.31M,316.41M,750.03M,0.00,253.89M,,,9.435B,813.40M,10.50B,-1.711B,8.791B,973.40M,,314.56M,,10.12B,10.87B,,164.99M,96.49M,261.48M,48.70M,310.18M,,,,167.65M,477.83M,6.111B,,6.111B,639.17M,,,6.111B,6.589B,,1.199M,366.48M,3.317B,2.722M,,-37.44M,3.645B,,AOR,Restated
2008-06,112.11M,20.37M,132.48M,42.12M,270.00M,,312.12M,,59.64M,326.15M,830.39M,0.00,253.31M,,,9.278B,735.37M,10.27B,-1.647B,8.619B,606.70M,,305.29M,,9.558B,10.39B,,183.19M,96.45M,279.64M,55.98M,335.62M,,,,187.10M,522.73M,5.504B,,5.504B,663.31M,,,5.504B,6.027B,,1.198M,399.50M,3.342B,2.722M,,-41.87M,3.698B,,AOR,Restated
2008-03,852.28M,176.35M,1.029B,-65.42M,100.00M,,34.58M,,57.64M,202.43M,1.323B,0.00,266.56M,,,9.232B,619.16M,10.12B,-1.590B,8.528B,176.35M,,294.00M,-23.40M,9.026B,10.35B,,128.77M,105.15M,233.92M,47.36M,281.27M,,,,221.43M,502.71M,4.233B,,4.233B,654.51M,,640.67M,4.873B,6.031B,,1.197M,401.41M,3.318B,2.722M,,-53.09M,3.664B,,AOR,Restated
2007-12,1.507B,22.58M,1.530B,58.07M,0.00,,58.07M,,186.84M,,1.774B,0.00,2.097B,6.440B,20.47M,992.05M,700.76M,10.25B,-1.532B,8.718B,81.67M,,287.20M,300.59M,9.418B,11.19B,,145.69M,944.87M,1.091B,54.49M,1.145B,0.00,0.00,0.00,,1.145B,5.492B,,5.492B,,653.89M,232.70M,6.379B,7.524B,,1.195M,394.32M,3.305B,2.722M,,-29.19M,3.669B,,AOR,Restated
2007-09,1.894B,102.49M,1.997B,,,,43.20M,,17.84M,196.59M,2.254B,0.00,212.80M,,,8.962B,629.14M,9.804B,-1.488B,8.316B,102.49M,,257.47M,,8.731B,10.99B,,37.56M,96.15M,133.71M,46.67M,180.38M,,,,294.47M,474.85M,4.116B,,4.116B,753.62M,,539.45M,4.656B,5.884B,,1.193M,1.066B,3.290B,2.722M,,-6.342M,4.348B,,AOR,Restated
