,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2012-06,,,,,,,,,,,,,3.942B,,-2.371B,12.00M,-2.359B,1.00M,3.137B,-312.00M,467.00M,,864.00M,-10.00M,854.00M,,,,,,,,-242.00M,-18.00M,594.00M,,17.38B,5.003B,-197.00M,22.18B,,,2.884B,-2.02B,,,AOR,Restated
2012-03,,,,,,,,,,,,,2.499B,,-2.298B,8.00M,-2.29B,56.00M,1.155B,-213.00M,-1.292B,,337.00M,-146.00M,191.00M,,,,,,,,-217.00M,-2.00M,-28.00M,,16.07B,1.179B,128.00M,17.38B,,,2.394B,-2.057B,,,AOR,Restated
2011-12,,,,,,,,,,,,,1.442B,,-2.437B,8.00M,-2.429B,-17.00M,-3.52B,-270.00M,-6.236B,,581.00M,-38.00M,543.00M,,100.00M,100.00M,,,,,-267.00M,-78.00M,298.00M,,20.60B,-4.496B,-37.00M,16.07B,,,1.985B,-1.404B,100.00M,,AOR,Restated
2011-09,,,,,,,,,,,,,2.037B,,-1.741B,12.00M,-1.729B,15.00M,157.00M,240.00M,-1.317B,,-311.00M,-47.00M,-358.00M,,0.00,0.00,,,,,-214.00M,-4.00M,-576.00M,,21.00B,144.00M,-537.00M,20.60B,,,1.904B,-2.215B,0.00,,AOR,Restated
2011-06,,,,,,,,,,,,,5.064B,,-1.266B,11.00M,-1.255B,-34.00M,-4.054B,117.00M,-5.226B,,-131.00M,97.00M,-34.00M,0.00,0.00,0.00,,,,,-214.00M,-39.00M,-287.00M,,21.31B,-449.00M,138.00M,21.00B,,0.00,3.004B,-3.135B,0.00,,AOR,Restated
2011-03,,,,,,,,,,,,,-377.00M,,-1.642B,16.00M,-1.626B,4.804B,-3.204B,65.00M,39.00M,,427.00M,119.00M,546.00M,0.00,-100.00M,-100.00M,,,,,-221.00M,-18.00M,207.00M,,21.26B,-131.00M,183.00M,21.31B,,0.00,2.141B,-1.714B,-100.00M,,AOR,Restated
2010-12,,,,,,,,,,,,,-1.539B,,-1.101B,9.00M,-1.092B,-2.554B,1.274B,-541.00M,-2.913B,,-3.073B,-1.014B,-4.087B,,-1.456B,3.401B,,,,,-964.00M,,-1.821B,,27.47B,-6.273B,63.00M,21.26B,,,1.234B,-4.307B,-1.456B,,AOR,Restated
2010-09,,,,,,,,,,,,,2.624B,,-1.261B,39.00M,-1.222B,46.00M,-2.054B,966.00M,-2.264B,,-95.00M,140.00M,45.00M,,0.00,0.00,,,,,-203.00M,,-158.00M,,26.77B,202.00M,491.00M,27.47B,,,218.00M,-313.00M,0.00,,AOR,Restated
2010-06,,,,,,,,,,,,,3.845B,,-1.011B,164.00M,-1.687B,-1.00M,-4.624B,11.43B,5.959B,,-5.702B,-143.00M,-5.845B,,-6.00M,-6.00M,,,,,-202.00M,,-6.053B,,23.31B,3.751B,-308.00M,26.77B,,,296.00M,-5.998B,-6.00M,,AOR,Restated
2010-03,,,,,,,,,,,,,1.85B,,-840.00M,134.00M,134.00M,-153.00M,-12.00M,1.322B,451.00M,,-1.455B,-80.00M,-1.535B,,0.00,0.00,,,,,-203.00M,,-1.738B,,23.05B,563.00M,-303.00M,23.31B,,,138.00M,-1.593B,0.00,,AOR,Restated
2009-12,,,,,,,,,,,,,-1.895B,,-981.00M,-1.548B,-1.548B,,1.00B,6.158B,2.502B,,-9.461B,-62.00M,-9.523B,,,,,,,41.00M,-56.00M,6.555B,-3.024B,,25.09B,-2.417B,118.00M,41.69B,,,1.071B,-10.59B,,,AOR,Restated
2009-09,,,,,,,,,,,,,-258.00M,,-1.264B,1.653B,1.653B,,-65.00M,-18.28B,-17.95B,,27.96B,-1.621B,26.34B,,,,,,,-41.00M,-41.00M,-425.00M,25.87B,,17.37B,7.664B,335.00M,25.09B,,,28.76B,-2.42B,,,,
2009-06,,,,,,,,,,,,,-5.696B,,-1.568B,-295.00M,-295.00M,,-23.00M,672.00M,-1.214B,,20.02B,-163.00M,19.86B,,,,,,,0.00,0.00,-7.451B,12.41B,,11.45B,5.501B,421.00M,17.37B,,,19.93B,-64.00M,,,,
2009-03,,,,,,,,,,,,,-9.39B,,-1.566B,295.00M,295.00M,,-878.00M,-166.00M,-2.315B,,10.25B,-870.00M,9.377B,,,,,,,0.00,0.00,-63.00M,9.314B,,14.05B,-2.391B,-214.00M,11.45B,,,10.35B,-969.00M,,,AOR,
