,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-06,,19.70B,6.258B,25.96B,21.98B,21.98B,6.326B,,8.451B,14.78B,1.067B,9.771B,4.191B,77.74B,25.35B,,,2.575B,,,27.93B,,27.93B,1.993B,6.598B,8.591B,7.463B,11.45B,26.61B,3.324B,85.36B,163.11B,,26.82B,26.82B,23.24B,50.06B,9.961B,9.961B,,9.961B,,,,60.02B,16.79B,,16.79B,,,,,33.83B,630.00M,,13.47B,64.08B,124.11B,,10.40B,12.19B,23.82B,10.39B,-8.04B,38.37B,,AOR,Restated
2013-03,,20.64B,6.56B,27.20B,16.84B,16.84B,6.923B,,8.277B,15.20B,713.00M,9.336B,3.273B,72.57B,24.89B,,,2.039B,,,26.93B,,26.93B,1.968B,6.997B,8.965B,7.47B,7.169B,27.67B,3.00B,81.20B,153.78B,,27.12B,27.12B,22.45B,49.57B,6.972B,6.972B,,6.972B,,,,56.54B,11.45B,,11.45B,,,,,34.02B,748.00M,,13.43B,58.90B,115.44B,,10.40B,11.02B,23.78B,10.39B,-7.611B,37.59B,,AOR,Restated
2012-12,,18.42B,8.988B,27.41B,14.44B,14.44B,6.56B,,8.154B,14.71B,686.00M,9.429B,3.318B,70.00B,0.00,2.107B,4.601B,14.63B,7.306B,3.018B,31.66B,-5.817B,25.84B,1.973B,6.809B,8.782B,6.883B,6.954B,27.92B,3.04B,79.43B,149.42B,,25.17B,25.17B,21.98B,47.15B,5.518B,5.518B,,5.518B,1.326B,1.326B,,53.99B,10.53B,,10.53B,,1.169B,1.169B,9.123B,37.61B,756.00M,,,58.43B,112.42B,,10.40B,10.06B,23.83B,10.39B,-8.052B,36.24B,,AOR,Restated
2012-09,,23.32B,10.41B,33.73B,17.06B,16.76B,7.241B,,8.431B,15.67B,863.00M,2.11B,2.972B,72.11B,,,,,,,,,26.58B,28.41B,8.904B,37.31B,7.519B,6.855B,2.778B,2.307B,83.35B,155.46B,,26.31B,26.31B,25.03B,51.34B,6.278B,6.278B,,6.278B,,,,57.62B,10.38B,,10.38B,12.76B,,12.76B,,32.07B,970.00M,,,55.20B,112.83B,,10.41B,11.53B,26.44B,10.39B,-6.724B,41.66B,,AOR,Restated
2012-06,,22.18B,11.38B,33.56B,18.28B,14.60B,7.112B,,8.321B,15.43B,734.00M,2.087B,3.819B,70.23B,,,,,,,,,25.03B,28.40B,9.192B,37.60B,7.058B,6.552B,3.151B,2.37B,81.75B,151.99B,,26.42B,26.42B,25.13B,51.56B,,5.092B,,5.092B,,,,56.65B,9.701B,,9.701B,12.74B,,12.74B,,31.29B,910.00M,,,53.73B,110.38B,,10.41B,9.889B,26.40B,10.39B,-5.995B,40.70B,,AOR,Restated
2012-03,,17.38B,14.69B,32.06B,16.19B,15.80B,6.745B,,9.099B,15.84B,924.00M,1.985B,2.60B,69.22B,,,,,,,,,24.28B,28.43B,9.687B,38.12B,6.793B,6.162B,3.411B,2.217B,80.98B,150.19B,,27.58B,27.58B,23.65B,51.23B,,5.35B,,5.35B,,,,56.58B,8.874B,,8.874B,12.75B,,12.75B,,31.85B,884.00M,,,53.48B,110.05B,,10.41B,8.283B,26.33B,10.39B,-5.768B,39.26B,,AOR,Restated
2011-12,,16.07B,16.15B,32.22B,13.22B,13.22B,6.486B,,7.838B,14.32B,1.005B,527.00M,3.633B,64.92B,0.00,2.502B,4.701B,11.53B,6.673B,3.07B,28.48B,-4.686B,23.79B,29.02B,10.01B,39.03B,6.79B,5.911B,512.00M,3.644B,79.68B,144.60B,,24.55B,24.55B,21.74B,46.29B,5.349B,5.349B,139.00M,5.488B,1.137B,1.137B,312.00M,53.23B,6.514B,853.00M,7.367B,,1.30B,1.30B,8.088B,34.96B,871.00M,666.00M,,52.39B,105.61B,,10.41B,7.183B,26.39B,10.39B,-5.861B,38.12B,,AOR,Restated
2011-09,,20.30B,11.68B,31.98B,10.84B,10.51B,6.744B,,8.476B,15.22B,,2.834B,3.467B,64.01B,,,,,,,,,21.56B,29.88B,10.50B,40.38B,7.534B,8.918B,3.969B,2.129B,84.49B,148.50B,,25.65B,25.65B,24.56B,50.20B,,1.543B,,1.543B,,,,51.75B,10.12B,,10.12B,12.68B,,12.68B,,27.53B,872.00M,,801.00M,51.13B,102.88B,,10.41B,6.595B,26.33B,10.39B,1.412B,44.74B,,AOR,Restated
2011-06,,20.47B,12.30B,32.77B,12.15B,11.79B,6.328B,,7.777B,14.10B,,3.141B,4.18B,65.98B,,,,,,,,,20.99B,30.05B,11.08B,41.13B,7.16B,8.587B,4.323B,2.243B,84.43B,150.42B,,25.41B,25.41B,26.41B,51.82B,,2.027B,,2.027B,,,,53.85B,9.994B,,9.994B,12.89B,,12.89B,,30.77B,914.00M,,886.00M,54.54B,108.38B,,10.41B,4.729B,24.41B,10.39B,1.571B,41.12B,,AOR,Restated
2011-03,,20.98B,8.618B,29.59B,13.33B,12.99B,6.367B,,7.624B,13.99B,,3.276B,3.099B,62.95B,,,,,,,,,19.94B,30.02B,11.49B,41.50B,6.937B,8.276B,4.249B,1.986B,82.90B,145.85B,,24.74B,24.74B,25.20B,49.94B,,1.743B,,1.743B,,,,51.68B,10.74B,,10.74B,12.85B,,12.85B,,31.06B,888.00M,,430.00M,55.08B,106.76B,,10.41B,1.951B,24.35B,10.39B,1.494B,38.20B,,AOR,Restated
2010-12,,21.06B,5.555B,26.62B,8.699B,8.699B,,5.487B,6.638B,12.12B,1.24B,1.805B,2.568B,53.05B,5.171B,2.536B,4.324B,8.727B,,1.754B,22.51B,-3.277B,19.24B,31.78B,11.88B,43.66B,8.529B,8.197B,308.00M,5.916B,85.84B,138.90B,,21.50B,21.50B,23.42B,44.92B,,1.616B,,1.616B,,,,47.16B,9.142B,,9.142B,13.02B,,13.02B,,31.19B,979.00M,0.00,1.231B,54.58B,101.74B,,10.41B,266.00M,24.26B,10.39B,1.251B,36.18B,,AOR,Restated
