,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-12,4.138B,4.138B,2.114B,2.024B,955.00M,273.00M,,,,,,1.228B,796.00M,,,,,,786.00M,255.00M,576.00M,,-20.00M,511.00M,511.00M,1.061B,226.00M,835.00M,,0.655,0.00,0.655,0.655,,0.65,0.00,0.65,0.65,,780.60M,791.60M,0.31,,,Restated
2002-09,4.143B,4.143B,2.115B,2.028B,913.00M,264.00M,,,,,,1.177B,851.00M,,,,,,841.00M,274.00M,545.00M,,-22.00M,545.00M,545.00M,1.083B,232.00M,851.00M,,0.70,0.00,0.70,0.70,,0.69,0.00,0.69,0.69,,779.60M,790.00M,0.31,,,
2002-06,4.161B,4.161B,2.231B,1.93B,975.00M,269.00M,,,,,,1.244B,686.00M,,,,,,675.00M,210.00M,466.00M,,1.00M,466.00M,466.00M,932.00M,246.00M,686.00M,,0.595,0.00,0.595,0.595,,0.59,0.00,0.59,0.59,,780.00M,792.20M,0.31,,,
2002-03,3.89B,3.89B,2.036B,1.854B,877.00M,264.00M,,,,,,1.141B,713.00M,,,,,,703.00M,227.00M,452.00M,,-24.00M,452.00M,452.00M,963.00M,250.00M,713.00M,,0.58,0.00,0.58,0.58,,0.57,0.00,0.57,0.57,,779.80M,790.40M,0.31,,,
2001-12,3.856B,3.856B,2.131B,1.725B,969.00M,262.00M,,,,,,1.231B,494.00M,,,,,,566.00M,175.00M,435.00M,,-10.00M,381.00M,381.00M,910.00M,291.00M,619.00M,,0.485,0.00,0.485,0.485,,0.48,0.00,0.48,0.48,,782.60M,793.60M,0.30,,,Restated
2001-09,3.961B,3.961B,2.156B,1.805B,924.00M,261.00M,,,,,,1.185B,620.00M,,,,,,599.00M,195.00M,394.00M,,-10.00M,394.00M,394.00M,915.00M,295.00M,620.00M,,0.50,0.00,0.50,0.50,,0.495,0.00,0.495,0.495,,787.00M,796.80M,0.30,,,
2001-06,4.079B,4.079B,2.266B,1.813B,1.196B,283.00M,,,,,,1.479B,334.00M,,,,,,310.00M,94.00M,202.00M,,-14.00M,202.00M,202.00M,590.00M,256.00M,334.00M,,0.255,0.00,0.255,0.255,,0.25,0.00,0.25,0.25,,791.80M,804.40M,0.30,,,
2001-03,4.17B,4.17B,2.196B,1.974B,959.00M,278.00M,,,,,,1.237B,737.00M,,,,,,711.00M,238.00M,453.00M,,-20.00M,453.00M,453.00M,984.00M,247.00M,737.00M,,0.57,0.00,0.57,0.57,,0.565,0.00,0.565,0.565,,792.60M,804.80M,0.30,,,
2000-12,4.196B,4.196B,1.663B,2.533B,801.00M,,16.00M,,,,-16.00M,1.886B,647.00M,,,,16.00M,,628.00M,204.00M,401.00M,,-23.00M,326.00M,390.20M,935.00M,288.00M,647.00M,,0.51,-0.095,0.4963,0.415,,0.50,-0.095,0.4865,0.405,,789.00M,799.20M,0.29,,,
2000-09,4.252B,4.252B,2.479B,1.773B,1.073B,,119.00M,,,,-119.00M,954.00M,819.00M,,,,119.00M,,794.00M,274.00M,499.00M,,-21.00M,499.00M,421.07M,1.099B,280.00M,819.00M,,0.63,0.00,0.5314,0.63,,0.625,0.00,0.5273,0.625,,790.20M,798.00M,0.29,,,
2000-06,4.224B,4.224B,2.379B,1.845B,1.068B,,,,,,,1.068B,777.00M,,,,,,757.00M,265.00M,470.00M,,-22.00M,470.00M,470.00M,1.006B,229.00M,777.00M,,0.595,0.00,0.595,0.595,,0.59,0.00,0.59,0.59,,791.20M,798.40M,0.29,,,
2000-03,4.075B,4.075B,2.091B,1.984B,956.00M,263.00M,50.00M,,,,-50.00M,1.169B,815.00M,,,,50.00M,,795.00M,282.00M,487.00M,,-26.00M,487.00M,454.74M,1.043B,228.00M,815.00M,,0.61,0.00,0.5694,0.61,,0.605,0.00,0.5649,0.605,,795.40M,803.80M,0.29,,,
1999-12,4.112B,4.112B,1.523B,2.589B,793.00M,,2.00M,,,,-73.00M,1.776B,813.00M,,,,2.00M,,785.00M,256.00M,444.00M,,-27.00M,444.00M,442.65M,1.044B,231.00M,813.00M,,0.55,0.00,0.5483,0.55,,0.55,0.00,0.5483,0.55,,805.09M,813.00M,0.28,,,
1999-09,3.997B,3.997B,2.253B,1.744B,979.00M,,-4.00M,,,,30.00M,1.009B,735.00M,,,,-4.00M,,719.00M,260.00M,459.00M,,-23.00M,459.00M,461.55M,955.00M,220.00M,735.00M,,0.57,0.00,0.5732,0.57,,0.565,0.00,0.5681,0.565,,804.20M,813.60M,0.28,,,
1999-06,3.863B,3.863B,2.188B,1.675B,975.00M,,104.00M,,,,-104.00M,871.00M,804.00M,,,,104.00M,,785.00M,291.00M,476.00M,,-18.00M,476.00M,410.55M,1.03B,226.00M,804.00M,,0.59,0.00,0.5088,0.59,,0.585,0.00,0.5047,0.585,,806.40M,814.80M,0.28,,,
1999-03,3.776B,3.776B,2.162B,1.614B,965.00M,,,,,,,965.00M,649.00M,,,,,,626.00M,225.00M,384.00M,,-17.00M,384.00M,384.00M,872.00M,223.00M,649.00M,,0.475,0.00,0.475,0.475,,0.475,0.00,0.475,0.475,,804.60M,811.80M,0.28,,,
1998-12,3.858B,3.858B,1.572B,2.286B,715.00M,,-132.00M,,,,,1.743B,543.00M,,,,-132.00M,,397.00M,133.00M,249.00M,,-15.00M,211.00M,336.78M,765.00M,222.00M,543.00M,,0.31,0.00,0.4353,0.31,,0.305,0.00,0.4281,0.305,,700.72M,712.78M,0.275,,,
1998-09,3.766B,3.766B,2.19B,1.576B,947.00M,,-322.00M,,,,,947.00M,629.00M,,,,-322.00M,,281.00M,96.00M,178.00M,,-7.00M,178.00M,389.99M,846.00M,217.00M,629.00M,,0.22,0.00,0.4832,0.22,,0.22,0.00,0.4806,0.22,,805.40M,813.40M,0.275,,,
1998-06,3.77B,3.77B,2.162B,1.608B,967.00M,,,,,,,967.00M,641.00M,,,,,,617.00M,219.00M,386.00M,,-12.00M,386.00M,386.00M,855.00M,214.00M,641.00M,,0.475,0.00,0.475,0.475,,0.47,0.00,0.47,0.47,,808.60M,820.00M,0.275,,,
1998-03,3.70B,3.70B,2.096B,1.604B,924.00M,,,,,,,924.00M,680.00M,,,,,,657.00M,237.00M,400.00M,,-20.00M,400.00M,400.00M,893.00M,213.00M,680.00M,,0.495,0.00,0.495,0.495,,0.49,0.00,0.49,0.49,,808.80M,820.00M,0.275,,,
1997-12,3.713B,3.713B,2.162B,1.551B,954.00M,,0.00,,,,,954.00M,597.00M,,,,0.00,,589.00M,206.00M,366.00M,,-17.00M,366.00M,366.00M,813.00M,216.00M,597.00M,,0.455,0.00,0.455,0.455,,0.445,0.00,0.445,0.445,,813.36M,828.17M,0.265,,,
1997-09,3.826B,3.826B,2.173B,1.653B,952.00M,,803.00M,,,,,952.00M,701.00M,,,,803.00M,,1.494B,549.00M,927.00M,,-18.00M,927.00M,419.08M,921.00M,220.00M,701.00M,,1.125,0.00,0.5094,1.125,,1.105,0.00,0.4992,1.105,,825.08M,838.43M,0.265,,,
1997-06,3.817B,3.817B,2.156B,1.661B,972.00M,,,,,,,972.00M,689.00M,,,,,,680.00M,242.00M,418.00M,,-20.00M,418.00M,418.00M,906.00M,217.00M,689.00M,,0.505,0.00,0.505,0.505,,0.495,0.00,0.495,0.495,,831.09M,843.88M,0.265,,,
1997-03,3.714B,3.714B,2.089B,1.625B,937.00M,,,,,,,937.00M,688.00M,,,,,,677.00M,244.00M,410.00M,,-23.00M,410.00M,410.00M,905.00M,217.00M,688.00M,,0.495,0.00,0.495,0.495,,0.485,0.00,0.485,0.485,,833.21M,846.15M,0.265,,,
1996-12,3.623B,3.623B,2.054B,1.569B,940.00M,,,,,,,940.00M,629.00M,,,,,,591.00M,216.00M,375.00M,,-26.00M,385.00M,375.00M,853.00M,224.00M,629.00M,,0.45,0.01,0.45,0.46,,0.45,0.01,0.45,0.46,,834.52M,852.46M,0.245,,,
1996-09,3.623B,3.623B,2.069B,1.554B,916.00M,,,,,,,916.00M,638.00M,,,,,,619.00M,221.00M,398.00M,,-14.00M,398.00M,398.00M,857.00M,219.00M,638.00M,,0.475,0.00,0.475,0.475,,0.465,0.00,0.465,0.465,,836.66M,852.09M,0.245,,,
1996-06,3.522B,3.522B,1.986B,1.536B,908.00M,,,,,,,908.00M,628.00M,,,,,,612.00M,231.00M,381.00M,,-19.00M,381.00M,381.00M,851.00M,223.00M,628.00M,,0.455,0.00,0.455,0.455,,0.45,0.00,0.45,0.45,,837.72M,851.15M,0.235,,,
1996-03,3.468B,3.468B,1.99B,1.478B,882.00M,,,,,,,882.00M,596.00M,,,,,,580.00M,218.00M,362.00M,,-18.00M,362.00M,362.00M,813.00M,217.00M,596.00M,,0.435,0.00,0.435,0.435,,0.425,0.00,0.425,0.425,,837.09M,849.26M,0.235,,,
1995-12,3.305B,3.305B,1.943B,1.362B,836.00M,,,,,,,836.00M,526.00M,,,,,,415.00M,149.00M,266.00M,-363.00M,-18.00M,-97.00M,266.00M,748.00M,222.00M,526.00M,,0.315,-0.435,0.315,-0.12,,0.315,-0.435,0.315,-0.12,,838.71M,847.82M,0.235,,,
1995-09,3.37B,3.37B,1.942B,1.428B,855.00M,,,,,,,855.00M,573.00M,,,,,,536.00M,197.00M,339.00M,5.00M,-16.00M,344.00M,339.00M,784.00M,211.00M,573.00M,,0.405,0.005,0.405,0.41,,0.40,0.005,0.40,0.405,,839.85M,847.66M,0.235,,,
1995-06,3.424B,3.424B,1.949B,1.475B,889.00M,,,,,,,889.00M,586.00M,,,,,,563.00M,217.00M,346.00M,7.00M,-22.00M,353.00M,346.00M,803.00M,217.00M,586.00M,,0.41,0.01,0.41,0.42,,0.41,0.01,0.41,0.42,,840.35M,850.23M,0.235,,,
1995-03,3.361B,3.361B,1.886B,1.475B,860.00M,,,,,,,860.00M,615.00M,,,,,,577.00M,222.00M,355.00M,21.00M,-21.00M,376.00M,355.00M,824.00M,209.00M,615.00M,,0.425,0.025,0.425,0.45,,0.415,0.025,0.415,0.44,,839.62M,849.67M,0.235,,,
1994-12,924.00M,924.00M,132.00M,792.00M,390.00M,,0.00,,,,,390.00M,402.00M,,,,0.00,,367.00M,150.00M,217.00M,,-29.00M,332.00M,217.00M,472.00M,70.00M,402.00M,,0.255,0.14,0.255,0.395,,0.255,0.14,0.255,0.395,,841.17M,856.49M,0.22,,,
1994-09,3.82B,3.82B,2.282B,1.538B,964.00M,,,,,,,964.00M,574.00M,,,,,,540.00M,199.00M,341.00M,,-13.00M,341.00M,341.00M,841.00M,267.00M,574.00M,,0.405,0.00,0.405,0.405,,0.395,0.00,0.395,0.395,,842.73M,851.61M,0.22,,,
1994-06,3.772B,3.772B,2.247B,1.525B,955.00M,,,,,,,955.00M,570.00M,,,,,,544.00M,201.00M,343.00M,,-16.00M,343.00M,343.00M,840.00M,270.00M,570.00M,,0.405,0.00,0.405,0.405,,0.405,0.00,0.405,0.405,,845.90M,851.28M,0.22,,,
1994-03,3.632B,3.632B,2.168B,1.464B,915.00M,,-35.00M,,,,,915.00M,549.00M,,,,-35.00M,,487.00M,181.00M,306.00M,,-15.00M,306.00M,327.99M,814.00M,265.00M,549.00M,,0.36,0.00,0.3858,0.36,,0.355,0.00,0.3806,0.355,,853.44M,860.65M,0.22,,,
1993-12,515.00M,515.00M,705.00M,-190.00M,294.00M,,,,,,,-485.00M,295.00M,,,,,,277.00M,121.00M,156.00M,,-20.00M,286.00M,156.00M,368.00M,73.00M,295.00M,,0.33,0.00,0.33,0.33,,0.33,0.00,0.33,0.33,,869.07M,869.07M,0.2075,,,
1993-09,3.481B,3.481B,1.905B,1.576B,859.00M,,60.00M,,,,,1.121B,455.00M,,,,60.00M,,496.00M,180.00M,316.00M,,-8.00M,316.00M,277.77M,717.00M,262.00M,455.00M,,0.37,0.00,0.3252,0.37,,0.37,0.00,0.3252,0.37,,854.05M,854.05M,0.2075,,,
1993-06,3.54B,3.54B,1.867B,1.673B,893.00M,,21.00M,,,,,1.157B,516.00M,,,,21.00M,,515.00M,184.00M,331.00M,,-7.00M,331.00M,317.50M,780.00M,264.00M,516.00M,,0.38,0.00,0.3645,0.38,,0.38,0.00,0.3645,0.38,,871.05M,871.05M,0.2075,,,
1993-03,3.517B,3.517B,1.859B,1.658B,875.00M,,9.00M,,,,,1.128B,530.00M,,,,9.00M,,518.00M,188.00M,330.00M,,-10.00M,330.00M,324.27M,783.00M,253.00M,530.00M,,0.38,0.00,0.3734,0.38,,0.38,0.00,0.3734,0.38,,868.42M,868.42M,0.2075,,,
1992-12,3.373B,3.373B,1.703B,1.67B,887.00M,,8.00M,,,,,1.215B,455.00M,,,,8.00M,,446.00M,158.00M,288.00M,,-3.00M,287.70M,282.83M,783.00M,328.00M,455.00M,,0.33,-0.005,0.3242,0.325,,0.33,-0.005,0.3242,0.325,,884.33M,884.33M,0.20,,,
1992-09,3.60B,3.60B,1.90B,1.70B,909.00M,,16.00M,,,,,1.168B,532.00M,,,,16.00M,,522.00M,184.00M,338.00M,,-6.00M,338.00M,327.64M,791.00M,259.00M,532.00M,,0.385,0.00,0.3732,0.385,,0.385,0.00,0.3732,0.385,,877.92M,877.92M,0.20,,,
1992-06,3.504B,3.504B,1.843B,1.661B,875.00M,,-4.00M,,,,,1.127B,534.00M,,,,-4.00M,,500.00M,178.00M,322.00M,,-7.00M,322.00M,324.58M,786.00M,252.00M,534.00M,,0.37,0.00,0.3730,0.37,,0.37,0.00,0.3730,0.37,,870.27M,870.27M,0.20,,,
1992-03,3.406B,3.406B,1.813B,1.593B,872.00M,,9.00M,,,,,1.12B,473.00M,,,,9.00M,,455.00M,167.00M,288.00M,,-8.00M,288.00M,282.30M,721.00M,248.00M,473.00M,,0.33,0.00,0.3235,0.33,,0.33,0.00,0.3235,0.33,,872.73M,872.73M,0.20,,,
1991-12,3.224B,3.224B,1.709B,1.515B,817.00M,,2.00M,,,,,1.085B,430.00M,,,,2.00M,,408.00M,149.00M,259.00M,,-6.00M,259.00M,257.73M,698.00M,268.00M,430.00M,,0.295,0.00,0.2936,0.295,,0.295,0.00,0.2936,0.295,,877.91M,877.91M,0.195,,,
1991-09,3.378B,3.378B,1.823B,1.555B,827.00M,,9.00M,,,,,1.06B,495.00M,,,,9.00M,,475.00M,179.00M,296.00M,,-7.00M,296.00M,290.39M,728.00M,233.00M,495.00M,,0.34,0.00,0.3336,0.34,,0.34,0.00,0.3336,0.34,,870.59M,870.59M,0.195,,,
1991-06,3.349B,3.349B,1.754B,1.595B,835.00M,,-5.00M,,,,,1.071B,524.00M,,,,-5.00M,,480.00M,181.00M,299.00M,,-10.00M,299.00M,302.11M,760.00M,236.00M,524.00M,,0.34,0.00,0.3435,0.34,,0.34,0.00,0.3435,0.34,,879.41M,879.41M,0.195,,,
1991-03,3.389B,3.389B,1.803B,1.586B,844.00M,,9.00M,,,,,1.076B,510.00M,,,,9.00M,,482.00M,182.00M,300.00M,,-9.00M,300.00M,294.40M,742.00M,232.00M,510.00M,,0.345,0.00,0.3386,0.345,,0.345,0.00,0.3386,0.345,,869.57M,869.57M,0.195,,,
1990-12,3.28B,3.28B,1.839B,1.441B,818.00M,,35.00M,,,,,983.00M,458.00M,,,,35.00M,,463.00M,168.00M,295.00M,,-6.00M,295.00M,272.70M,623.00M,165.00M,458.00M,,0.335,0.00,0.3097,0.335,,0.335,0.00,0.3097,0.335,,880.99M,880.99M,0.1825,,,
1990-09,3.343B,3.343B,1.752B,1.591B,809.00M,,2.00M,,,,,1.022B,569.00M,,,,2.00M,,542.00M,206.00M,336.00M,,-7.00M,336.00M,334.76M,782.00M,213.00M,569.00M,,0.38,0.00,0.3786,0.38,,0.38,0.00,0.3786,0.38,,884.21M,884.21M,0.1825,,,
1990-06,3.234B,3.234B,1.657B,1.577B,784.00M,,5.00M,,,,,992.00M,585.00M,,,,5.00M,,554.00M,212.00M,342.00M,,-8.00M,342.00M,338.91M,793.00M,208.00M,585.00M,,0.385,0.00,0.3815,0.385,,0.385,0.00,0.3815,0.385,,888.31M,888.31M,0.1825,,,
1990-03,3.164B,3.164B,1.627B,1.537B,763.00M,,,,,,,958.00M,579.00M,,,,,,547.00M,212.00M,335.00M,,-8.00M,335.00M,335.00M,774.00M,195.00M,579.00M,,0.38,0.00,0.38,0.38,,0.38,0.00,0.38,0.38,,881.58M,881.58M,0.1825,,,
1989-12,2.954B,2.954B,1.602B,1.352B,719.00M,,-1.00M,,,,,857.00M,495.00M,,,,-1.00M,,472.00M,180.00M,292.00M,,-7.00M,292.00M,292.62M,633.00M,138.00M,495.00M,,0.325,0.00,0.3257,0.325,,0.325,0.00,0.3257,0.325,,897.54M,897.54M,0.1625,,,
1989-09,2.994B,2.994B,1.552B,1.442B,722.00M,,9.00M,,,,,909.00M,533.00M,,,,9.00M,,514.00M,207.00M,307.00M,,-5.00M,307.00M,301.60M,720.00M,187.00M,533.00M,,0.345,0.00,0.3389,0.345,,0.345,0.00,0.3389,0.345,,889.86M,889.86M,0.1625,,,
1989-06,3.025B,3.025B,,,,,,,,,,,3.025B,,,,,,,,327.00M,,,327.00M,,3.025B,,3.025B,,0.375,0.00,0.375,0.375,,0.375,0.00,0.375,0.375,,897.33M,897.33M,0.1625,,,
1989-03,3.017B,3.017B,,,,,,,,,,,3.017B,,,,,,,,318.00M,,,318.00M,,3.017B,,3.017B,,0.36,0.00,0.36,0.36,,0.36,0.00,0.36,0.36,,897.33M,897.33M,0.1625,,,
1988-12,2.579B,2.579B,,,,,,,,,,,-6.119B,,,,,,,,272.00M,,,272.00M,,-6.119B,,-6.119B,,,,,,,,,,,,897.33M,897.33M,0.1325,,,
1988-09,2.689B,2.689B,,,,,,,,,,,2.689B,,,,,,,,296.00M,,,296.00M,,2.689B,,2.689B,,0.325,0.00,0.325,0.325,,0.325,0.00,0.325,0.325,,909.43M,909.43M,0.1325,,,
1988-06,2.711B,2.711B,,,,,,,,,,,2.711B,,,,,,,,309.00M,,,309.00M,,2.711B,,2.711B,,0.34,0.00,0.34,0.34,,0.34,0.00,0.34,0.34,,910.89M,910.89M,0.1325,,,
1988-03,2.602B,2.602B,,,,,,,,,,,2.602B,,,,,,,,277.00M,,,277.00M,,2.602B,,2.602B,,0.305,0.00,0.305,0.305,,0.305,0.00,0.305,0.305,,909.95M,909.95M,0.1325,,,
1987-12,2.375B,2.375B,,,,,,,,,,,-5.476B,,,,,,,,216.00M,,,216.00M,,-5.476B,,-5.476B,,,,,,,,,,,,909.97M,909.97M,0.1163,,,
1987-09,2.466B,2.466B,,,,,,,,,,,2.466B,,,,,,,,249.00M,,,249.00M,,2.466B,,2.466B,,0.275,0.00,0.275,0.275,,0.275,0.00,0.275,0.275,,916.30M,916.30M,0.1163,,,
1987-06,2.381B,2.381B,,,,,,,,,,,2.381B,,,,,,,,240.00M,,,240.00M,,2.381B,,2.381B,,0.265,0.00,0.265,0.265,,0.265,0.00,0.265,0.265,,916.00M,916.00M,0.1163,,,
1987-03,2.207B,2.207B,,,,,,,,,,,2.207B,,,,,,,,213.00M,,,213.00M,,2.207B,,2.207B,,0.235,0.00,0.235,0.235,,0.235,0.00,0.235,0.235,,913.86M,913.86M,0.1163,,,
1986-12,2.112B,2.112B,,,,,,,,,,,-5.08B,,,,,,,,185.00M,,,185.00M,,-5.08B,,-5.08B,,,,,,,,,,,,914.13M,914.13M,0.1125,,,
1986-09,2.236B,2.236B,,,,,,,,,,,2.236B,,,,,,,,215.00M,,,215.00M,,2.236B,,2.236B,,0.235,0.00,0.235,0.235,,0.235,0.00,0.235,0.235,,918.36M,918.36M,0.1125,,,
1986-06,2.185B,2.185B,,,,,,,,,,,2.185B,,,,,,,,198.00M,,,198.00M,,2.185B,,2.185B,,0.215,0.00,0.215,0.215,,0.215,0.00,0.215,0.215,,920.31M,920.31M,0.1125,,,
1986-03,2.069B,2.069B,,,,,,,,,,,2.069B,,,,,,,,181.00M,,,181.00M,,2.069B,,2.069B,,0.20,0.00,0.20,0.20,,0.20,0.00,0.20,0.20,,915.14M,915.14M,0.1125,,,
1985-12,1.963B,1.963B,,,,,,,,,,,-4.733B,,,,,,,,148.00M,,,148.00M,,-4.733B,,-4.733B,,,,,,,,,,,,916.58M,916.58M,,,,
1985-09,2.023B,2.023B,,,,,,,,,,,2.023B,,,,,,,,173.00M,,,173.00M,,2.023B,,2.023B,,0.19,0.00,0.19,0.19,,0.19,0.00,0.19,0.19,,914.88M,914.88M,,,,
1985-06,1.954B,1.954B,,,,,,,,,,,1.954B,,,,,,,,168.00M,,,168.00M,,1.954B,,1.954B,,0.185,0.00,0.185,0.185,,0.185,0.00,0.185,0.185,,918.42M,918.42M,,,,
1985-03,1.906B,1.906B,,,,,,,,,,,1.906B,,,,,,,,164.00M,,,164.00M,,1.906B,,1.906B,,0.18,0.00,0.18,0.18,,0.18,0.00,0.18,0.18,,935.10M,935.10M,,,,
1984-12,1.88B,1.88B,,,,,,,,,,,-4.539B,,,,,,,,167.00M,,,167.00M,,-4.539B,,-4.539B,,,,,,,,,,,,930.38M,930.38M,,,,
1984-09,1.991B,1.991B,,,,,,,,,,,1.991B,,,,,,,,198.00M,,,198.00M,,1.991B,,1.991B,,0.215,0.00,0.215,0.215,,0.215,0.00,0.215,0.215,,936.16M,936.16M,,,,
1984-06,1.959B,1.959B,,,,,,,,,,,1.959B,,,,,,,,193.00M,,,193.00M,,1.959B,,1.959B,,0.205,0.00,0.205,0.205,,0.205,0.00,0.205,0.205,,936.46M,936.46M,,,,
1984-03,1.875B,1.875B,,,,,,,,,,,1.875B,,,,,,,,175.00M,,,175.00M,,1.875B,,1.875B,,0.19,0.00,0.19,0.19,,0.19,0.00,0.19,0.19,,937.88M,937.88M,,,,
