,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1996-12,583.00M,161.00M,744.00M,2.504B,,2.504B,478.00M,591.00M,1.195B,,2.264B,,,161.00M,813.00M,6.486B,0.00,299.00M,2.885B,8.449B,,417.00M,,12.05B,-7.206B,4.844B,,,,,,132.00M,1.902B,6.878B,13.36B,,895.00M,,,895.00M,,895.00M,,,,1.117B,,1.117B,,11.00M,11.00M,1.766B,3.789B,851.00M,,851.00M,97.00M,,97.00M,,373.00M,1.97B,2.918B,6.707B,,296.00M,8.756B,,2.193B,-178.00M,-397.00M,-575.00M,6.284B,,,
1996-09,584.00M,201.00M,785.00M,2.741B,,2.741B,471.00M,610.00M,1.175B,,2.256B,,,,1.262B,7.044B,,,,,,,,11.87B,-7.12B,4.753B,,,,,,,1.892B,6.645B,13.69B,,971.00M,,,971.00M,,971.00M,,,,1.305B,,1.305B,,,,2.075B,4.351B,691.00M,,691.00M,,,,,,2.352B,3.043B,7.394B,,296.00M,8.62B,,2.097B,-142.00M,-382.00M,-524.00M,6.295B,,,
1996-06,633.00M,184.00M,817.00M,2.613B,,2.613B,477.00M,552.00M,1.107B,,2.136B,,,,1.076B,6.642B,,,,,,,,11.41B,-6.794B,4.614B,,,,,,,1.955B,6.569B,13.21B,,828.00M,,,828.00M,,828.00M,,,,1.118B,,1.118B,,,,2.034B,3.98B,681.00M,,681.00M,,,,,,2.455B,3.136B,7.116B,,296.00M,8.37B,,2.021B,-154.00M,-396.00M,-550.00M,6.095B,,,
1996-03,527.00M,187.00M,714.00M,2.539B,,2.539B,479.00M,558.00M,1.10B,,2.137B,,,,1.062B,6.452B,,,,,,,,11.34B,-6.714B,4.625B,,,,,,,3.046B,7.671B,14.12B,,813.00M,,,813.00M,,813.00M,,,,932.00M,,932.00M,,,,2.119B,3.864B,984.00M,,984.00M,,,,,,2.302B,3.286B,7.15B,,296.00M,9.294B,,2.055B,-151.00M,-411.00M,-562.00M,6.973B,,,
1995-12,485.00M,287.00M,772.00M,2.398B,,2.398B,477.00M,565.00M,1.164B,,2.206B,,,307.00M,712.00M,6.395B,0.00,296.00M,2.814B,7.673B,,451.00M,,11.23B,-6.596B,4.638B,,,,,,105.00M,3.045B,7.788B,14.18B,,762.00M,,,762.00M,,762.00M,,,,822.00M,,822.00M,,10.00M,10.00M,2.13B,3.724B,1.203B,,1.203B,90.00M,,90.00M,,483.00M,1.799B,3.092B,6.816B,,296.00M,9.164B,,2.053B,-86.00M,-437.00M,-523.00M,6.884B,,,
1995-09,344.00M,204.00M,548.00M,3.189B,,3.189B,672.00M,734.00M,,1.588B,2.994B,,,,882.00M,7.613B,,,,,,,,13.29B,-8.019B,5.275B,,,,,,,1.637B,6.912B,14.52B,,913.00M,,,913.00M,,913.00M,,,,842.00M,,842.00M,,,,2.071B,3.826B,1.213B,,1.213B,,,,,,2.218B,3.431B,7.257B,,296.00M,9.472B,,1.982B,-79.00M,-439.00M,-518.00M,7.268B,,,
1995-06,397.00M,192.00M,589.00M,3.237B,,3.237B,675.00M,729.00M,1.65B,,3.054B,,,,903.00M,7.783B,,,,,,,,13.29B,-7.963B,5.33B,,,,,,,1.638B,6.968B,14.75B,,936.00M,,,936.00M,,936.00M,,,,850.00M,,850.00M,,,,2.121B,3.907B,1.231B,,1.231B,,,,,,2.319B,3.55B,7.457B,,296.00M,9.337B,,1.953B,57.00M,-443.00M,-386.00M,7.294B,,,
1995-03,355.00M,191.00M,546.00M,3.153B,,3.153B,640.00M,684.00M,1.616B,,2.94B,,,,797.00M,7.436B,,,,,,,,12.99B,-7.752B,5.237B,,,,,,,1.53B,6.767B,14.20B,,938.00M,,,938.00M,,938.00M,,,,730.00M,,730.00M,,,,1.941B,3.609B,1.213B,,1.213B,,,,,,2.255B,3.468B,7.077B,,296.00M,9.199B,,1.964B,43.00M,-448.00M,-405.00M,7.126B,,,
1994-12,297.00M,194.00M,491.00M,2.328B,,2.328B,474.00M,583.00M,1.081B,,2.138B,,,177.00M,474.00M,5.608B,0.00,284.00M,2.595B,7.065B,,358.00M,,10.30B,-5.94B,4.362B,,,,,,124.00M,2.974B,7.46B,13.07B,,820.00M,,,820.00M,,820.00M,,,,917.00M,,917.00M,,10.00M,10.00M,1.509B,3.256B,1.031B,,1.031B,97.00M,,97.00M,,460.00M,1.49B,2.618B,5.874B,,296.00M,9.039B,,1.975B,-163.00M,-463.00M,-626.00M,6.734B,,,
1994-09,304.00M,183.00M,487.00M,2.986B,,2.986B,474.00M,672.00M,1.502B,,2.648B,,,,742.00M,6.863B,,,,,,,,12.42B,-7.401B,5.017B,,,,,,,1.443B,6.46B,13.32B,,884.00M,,,884.00M,,884.00M,,,,936.00M,,936.00M,,,,1.746B,3.566B,939.00M,,939.00M,,,,,,2.158B,3.097B,6.663B,,296.00M,8.887B,,1.94B,-112.00M,-471.00M,-583.00M,6.66B,,,
1994-06,309.00M,170.00M,479.00M,2.976B,,2.976B,545.00M,653.00M,1.38B,,2.578B,,,,769.00M,6.802B,,,,,,,,12.16B,-7.197B,4.961B,,,,,,,1.401B,6.362B,13.16B,,905.00M,,,905.00M,,905.00M,,,,852.00M,,852.00M,,,,1.655B,3.412B,951.00M,,951.00M,,,,,,2.233B,3.184B,6.596B,,296.00M,8.746B,,1.833B,-164.00M,-477.00M,-641.00M,6.568B,,,
1994-03,390.00M,356.00M,746.00M,2.795B,,2.795B,572.00M,635.00M,1.269B,,2.476B,,,,746.00M,6.763B,,,,,,,,11.80B,-6.913B,4.888B,,,,,,,1.373B,6.261B,13.02B,,882.00M,,,882.00M,,882.00M,,,,1.138B,,1.138B,,,,1.641B,3.661B,811.00M,,811.00M,,,,,,2.168B,2.979B,6.64B,,296.00M,8.602B,,1.784B,-251.00M,-479.00M,-730.00M,6.384B,,,
1993-12,274.00M,382.00M,656.00M,2.61B,,2.61B,551.00M,604.00M,1.246B,,2.401B,,,293.00M,403.00M,6.363B,0.00,258.00M,2.572B,8.305B,,353.00M,,11.49B,-6.658B,4.83B,,,,,,146.00M,858.00M,5.834B,12.20B,,878.00M,,,878.00M,,878.00M,,,,697.00M,,697.00M,,6.00M,6.00M,1.701B,3.282B,796.00M,,796.00M,92.00M,,92.00M,,376.00M,1.139B,2.027B,5.309B,,296.00M,8.50B,,1.474B,-331.00M,-479.00M,-810.00M,6.512B,,,
1993-09,318.00M,,318.00M,,,3.034B,,,,,2.37B,,,,723.00M,6.445B,,,,,,,,11.47B,-6.622B,4.846B,,,,,,,938.00M,5.784B,12.23B,,762.00M,,,762.00M,,762.00M,,,,796.00M,,796.00M,,,,1.846B,3.404B,682.00M,,682.00M,,,,,,1.543B,2.225B,5.629B,,,8.395B,,,,,,6.60B,,,
1993-06,329.00M,,329.00M,,,2.986B,,,,,2.352B,,,,715.00M,6.382B,,,,,,,,11.22B,-6.41B,4.813B,,,,,,,950.00M,5.763B,12.14B,,749.00M,,,749.00M,,749.00M,,,,829.00M,,829.00M,,,,1.787B,3.365B,679.00M,,679.00M,,,,,,1.511B,2.19B,5.555B,,,8.268B,,,,,,6.59B,,,
1993-03,309.00M,,309.00M,,,2.639B,,,,,2.295B,,,,1.025B,6.268B,,,,,,,,11.07B,-6.257B,4.814B,,,,,,,955.00M,5.769B,12.04B,,719.00M,,,719.00M,,719.00M,,,,657.00M,,657.00M,,,,1.843B,3.219B,635.00M,,635.00M,,,,,,1.473B,2.108B,5.327B,,,8.139B,,,,,,6.71B,,,
1992-12,382.00M,,382.00M,,,2.394B,,,,,2.315B,,,,1.118B,6.209B,,,,,,,,10.83B,-6.036B,4.792B,,,,,,,954.00M,5.746B,11.96B,,836.00M,,,836.00M,,836.00M,,,,739.00M,,739.00M,,,,1.666B,3.241B,687.00M,,687.00M,,,,,,1.428B,2.115B,5.356B,,,8.012B,,,,,,6.599B,,,
1992-09,264.00M,,264.00M,,,2.763B,,,,,2.363B,,,,732.00M,6.122B,,,,,,,,11.04B,-6.106B,4.939B,,,,,,,860.00M,5.799B,11.92B,,758.00M,,,758.00M,,758.00M,,,,791.00M,,791.00M,,,,1.899B,3.448B,722.00M,,722.00M,,,,,,876.00M,1.598B,5.046B,,,7.917B,,,,,,6.875B,,,
1992-06,238.00M,,238.00M,,,2.634B,,,,,2.233B,,,,722.00M,5.827B,,,,,,,,10.54B,-5.767B,4.771B,,,,,,,821.00M,5.592B,11.42B,,650.00M,,,650.00M,,650.00M,,,,799.00M,,799.00M,,,,1.797B,3.246B,861.00M,,861.00M,,,,,,809.00M,1.67B,4.916B,,,7.769B,,,,,,6.503B,,,
1992-03,231.00M,,231.00M,,,2.547B,,,,,2.311B,,,,759.00M,5.848B,,,,,,,,10.41B,-5.645B,4.761B,,,,,,,841.00M,5.602B,11.45B,,728.00M,,,728.00M,,728.00M,,,,869.00M,,869.00M,,,,1.755B,3.352B,851.00M,,851.00M,,,,,,815.00M,1.666B,5.018B,,,7.634B,,,,,,6.432B,,,
1991-12,258.00M,,258.00M,,,2.362B,,,,,2.292B,,,,673.00M,5.585B,,,,,,,,10.08B,-5.414B,4.666B,,,,,,,832.00M,5.498B,11.08B,,809.00M,,,809.00M,,809.00M,,,,709.00M,,709.00M,,,,1.718B,3.236B,764.00M,,764.00M,38.00M,,38.00M,,,752.00M,1.554B,4.79B,,,7.536B,,,,,,6.293B,,,
1991-09,255.00M,,255.00M,,,2.473B,,,,,2.249B,,,,763.00M,5.74B,,,,,,,,9.83B,-5.333B,4.497B,,,,,,,857.00M,5.354B,11.09B,,693.00M,,,693.00M,,693.00M,,,,907.00M,,907.00M,,,,1.709B,3.309B,852.00M,,852.00M,,,,,,790.00M,1.642B,4.951B,,,7.456B,,,,,,6.143B,,,
1991-06,176.00M,,176.00M,,,2.481B,,,,,2.255B,,,,709.00M,5.621B,,,,,,,,9.658B,-5.191B,4.467B,,,,,,,884.00M,5.351B,10.97B,,692.00M,,,692.00M,,692.00M,,,,824.00M,,824.00M,,,,1.646B,3.162B,879.00M,,879.00M,,,,,,813.00M,1.692B,4.854B,,,7.338B,,,,,,6.118B,,,
1991-03,197.00M,,197.00M,,,2.544B,,,,,2.38B,,,,735.00M,5.856B,,,,,,,,9.712B,-5.195B,4.517B,,,,,,,925.00M,5.442B,11.30B,,749.00M,,,749.00M,,749.00M,,,,841.00M,,841.00M,,,,1.779B,3.369B,841.00M,,841.00M,,,,,,871.00M,1.712B,5.081B,,,7.224B,,,,,,6.217B,,,
1990-12,294.00M,,294.00M,,,2.367B,,,,,2.355B,,,,713.00M,5.729B,,,,,,,,9.383B,-4.994B,4.389B,,,,,,,961.00M,5.35B,11.08B,,811.00M,,,811.00M,,811.00M,,,,736.00M,,736.00M,,,,1.792B,3.339B,760.00M,,760.00M,160.00M,,160.00M,,252.00M,458.00M,1.378B,4.717B,,,7.106B,,,,,,6.11B,,,
1990-09,311.00M,,311.00M,,,2.494B,,,,,2.249B,,,,743.00M,5.797B,,,,,,,,8.954B,-4.839B,4.115B,,,,,,,893.00M,5.008B,10.80B,,770.00M,,,770.00M,,770.00M,,,,779.00M,,779.00M,,,,1.699B,3.248B,795.00M,,795.00M,,,,,,849.00M,1.644B,4.892B,,,6.98B,,,,,,5.913B,,,
1990-06,277.00M,,277.00M,,,2.385B,,,,,2.157B,,,,703.00M,5.522B,,,,,,,,8.499B,-4.576B,3.923B,,,,,,,832.00M,4.755B,10.28B,,760.00M,,,760.00M,,760.00M,,,,546.00M,,546.00M,,,,1.586B,2.892B,805.00M,,805.00M,,,,,,820.00M,1.625B,4.517B,,,6.823B,,,,,,5.76B,,,
1990-03,590.00M,,590.00M,,,2.272B,,,,,2.187B,,,,648.00M,5.697B,,,,,,,,8.265B,-4.441B,3.824B,,,,,,,746.00M,4.57B,10.27B,,832.00M,,,832.00M,,832.00M,,,,458.00M,,458.00M,,,,1.612B,2.902B,900.00M,,900.00M,,,,,,830.00M,1.73B,4.632B,,,6.655B,,,,,,5.635B,,,
1989-12,448.00M,,448.00M,,,2.075B,,,,,2.12B,,,,739.00M,5.382B,,,,,,,,7.938B,-4.231B,3.707B,,,,,,,687.00M,4.394B,9.776B,,724.00M,,,724.00M,,724.00M,,,,1.36B,,1.36B,,,,637.00M,2.721B,885.00M,,885.00M,200.00M,,200.00M,,,592.00M,1.677B,4.398B,,,6.492B,,,,,,5.378B,,,
1989-09,369.00M,,369.00M,,,2.221B,,,,,2.069B,,,,717.00M,5.376B,,,,,,,,7.776B,-4.209B,3.567B,,,,,,,734.00M,4.301B,9.677B,,702.00M,,,702.00M,,702.00M,,,,292.00M,,292.00M,,,,1.551B,2.545B,962.00M,,962.00M,,,,,,817.00M,1.779B,4.324B,,,6.356B,,,,,,5.353B,,,
1988-12,897.00M,,897.00M,,,1.727B,,,,,1.831B,,,,286.00M,4.741B,,,,,,,,6.665B,-3.592B,3.073B,,,,,,,1.108B,4.181B,8.922B,,,,,,,,,,,347.00M,,347.00M,,,,2.024B,2.371B,406.00M,,406.00M,264.00M,,264.00M,,,367.00M,1.037B,3.408B,,,5.841B,,,,,,5.514B,,,
1987-12,594.00M,,594.00M,,,1.615B,,,,,1.77B,,,,250.00M,4.229B,,,,,,,,6.119B,-3.188B,2.931B,,,,,,,871.00M,3.802B,8.031B,,,,,,,,,,,264.00M,,264.00M,,,,1.667B,1.931B,435.00M,,435.00M,312.00M,,312.00M,,,293.00M,1.04B,2.971B,,,5.195B,,,,,,5.06B,,,
1986-12,545.00M,,545.00M,,,1.442B,,,,,1.654B,,,,320.00M,3.961B,,,,,,,,5.478B,-2.724B,2.754B,,,,,,,633.00M,3.387B,7.348B,,,,,,,,,,,411.00M,,411.00M,,,,1.412B,1.823B,436.00M,,436.00M,386.00M,,386.00M,,,240.00M,1.062B,2.885B,,,4.734B,,,,,,4.463B,,,
1985-12,192.00M,,192.00M,,,1.344B,,,,,1.622B,,,,315.00M,3.473B,,,,,,,,4.969B,-2.375B,2.594B,,,,,,,526.00M,3.12B,6.593B,,,,,,,,,,,459.00M,,459.00M,,,,1.12B,1.579B,431.00M,,431.00M,364.00M,,364.00M,,,211.00M,1.006B,2.585B,,,4.389B,,,,,,4.008B,,,
1984-12,182.00M,,182.00M,,,1.349B,,,,,1.61B,,,,261.00M,3.402B,,,,,,,,4.463B,-2.112B,2.351B,,,,,,,341.00M,2.692B,6.094B,,,,,,,,,,,413.00M,,413.00M,,,,1.035B,1.448B,330.00M,,330.00M,338.00M,,338.00M,,,164.00M,832.00M,2.28B,,,4.139B,,,,,,3.814B,,,
