,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-10,257.95M,257.95M,217.03M,40.92M,5.43M,1.522M,,,,,11.86M,29.06M,,,,4.27M,,33.07M,12.85M,20.22M,,,,20.22M,19.29M,29.06M,,2001-10,0.1625,0.00,0.1625,,2001-10,0.1588,0.00,0.1588,,2001-10,0.0125,,2001-10,,
2001-07,264.84M,264.84M,121.50M,143.34M,106.05M,,,,,,38.16M,105.18M,,,,3.544M,,32.75M,13.14M,19.61M,,,,19.61M,19.61M,105.18M,,2001-07,0.1594,0.00,0.1594,,2001-07,0.1531,0.00,0.1531,,2001-07,0.0125,,2001-07,,
2001-04,268.19M,268.19M,221.84M,46.35M,5.32M,,,,,24.60M,36.56M,9.789M,,,,0.936M,,34.58M,13.70M,20.89M,,,,20.89M,20.89M,9.789M,,2001-04,0.1725,0.00,0.1725,,2001-04,0.17,0.00,0.17,,2001-04,0.0112,,2001-04,,
2001-01,283.14M,283.14M,251.17M,31.97M,5.19M,0.908M,,,,,11.60M,20.38M,,,,0.908M,,20.76M,8.223M,12.54M,,,,12.54M,11.99M,20.38M,,2001-01,0.1038,0.00,0.1038,,2001-01,0.1038,0.00,0.1038,,2001-01,0.0112,,2001-01,,
2000-10,325.96M,325.96M,278.85M,47.11M,6.973M,1.067M,,,,,13.52M,33.59M,,,,1.067M,,33.79M,13.38M,20.41M,,,,20.41M,19.77M,33.59M,,2000-10,0.1688,0.00,0.1688,,2000-10,0.1688,0.00,0.1688,,2000-10,0.0112,,2000-10,,
2000-07,289.95M,289.95M,176.29M,113.66M,93.00M,-3.875M,,,,,100.51M,13.14M,,,,-3.875M,,7.948M,2.997M,4.951M,,,,4.951M,7.365M,13.14M,,2000-07,0.0394,0.00,0.0394,,2000-07,0.0394,0.00,0.0394,,2000-07,0.0106,,2000-07,,
2000-04,256.94M,256.94M,229.85M,27.09M,6.12M,0.32M,,,,,12.73M,14.36M,,,,0.32M,,13.44M,5.274M,8.171M,,,,8.171M,7.977M,14.36M,,2000-04,0.0625,0.00,0.0625,,2000-04,0.0625,0.00,0.0625,,2000-04,0.0106,,2000-04,,
2000-01,218.40M,218.40M,212.90M,5.50M,5.30M,-0.10M,,,,,12.30M,-6.80M,,,,-0.10M,,-8.10M,-3.20M,-4.90M,,,,-4.90M,-4.840M,-6.80M,,2000-01,-0.0369,0.00,-0.0369,,2000-01,-0.0369,0.00,-0.0369,,2000-01,0.0106,,2000-01,,
1999-10,200.60M,200.60M,160.10M,40.50M,28.10M,0.60M,,,,,34.50M,6.00M,,,,0.60M,,5.30M,2.10M,3.20M,,,,3.20M,2.838M,6.00M,,1999-10,0.0244,0.00,0.0244,,1999-10,0.0244,0.00,0.0244,,1999-10,0.0106,,1999-10,,
1999-07,190.90M,190.90M,79.60M,111.30M,86.10M,0.50M,,,,,92.80M,18.50M,,,,0.50M,,17.10M,6.80M,10.30M,,,,10.30M,9.999M,18.50M,,1999-07,0.0794,0.00,0.0794,,1999-07,0.0794,0.00,0.0794,,1999-07,0.01,,1999-07,,
1999-04,143.40M,143.40M,119.10M,24.30M,6.50M,6.00M,,,,,13.50M,10.80M,,,,6.00M,,14.70M,5.90M,8.80M,,,,8.80M,5.20M,10.80M,,1999-04,0.0656,0.00,0.0656,,1999-04,0.0656,0.00,0.0656,,1999-04,0.01,,1999-04,,
1999-01,120.70M,120.70M,105.50M,15.20M,5.90M,-3.60M,,,,,12.50M,2.70M,,,,-3.60M,,-3.00M,-1.20M,-1.80M,,,,-1.80M,0.36M,2.70M,,1999-01,-0.0138,0.00,-0.0138,,1999-01,-0.0138,0.00,-0.0138,,1999-01,0.01,,1999-01,,
1998-10,143.00M,143.00M,106.00M,37.00M,25.20M,0.40M,,,,,31.20M,5.80M,,,,0.40M,,4.30M,1.70M,2.60M,,,,2.60M,2.358M,5.80M,,1998-10,0.02,0.00,0.02,,1998-10,0.02,0.00,0.02,,1998-10,0.01,,1998-10,,
1998-07,150.40M,150.40M,48.90M,101.50M,79.70M,-1.30M,,,,,86.20M,15.30M,,,,-1.30M,,12.60M,4.60M,8.00M,,,,8.00M,8.825M,15.30M,,1998-07,0.0612,0.00,0.0612,,1998-07,0.0612,0.00,0.0612,,1998-07,0.0094,,1998-07,,
1998-04,134.20M,134.20M,116.20M,18.00M,3.70M,-0.40M,,,,,10.40M,7.60M,,,,-0.40M,,5.30M,2.30M,3.00M,,,,3.00M,3.24M,7.60M,,1998-04,0.0225,0.00,0.0225,,1998-04,0.0225,0.00,0.0225,,1998-04,0.0094,,1998-04,,
