,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2009-03,-39.37M,29.85M,0.976M,5.737M,36.56M,81.54M,140.57M,222.11M,222.11M,-41.00M,11.64M,6.829M,340.99M,194.36M,-15.72M,-278.75M,,,9.359M,250.24M,,,2009-03,-63.94M,5.117M,-58.82M,-66.06M,-10.92M,-0.489M,-136.28M,2009-03,1.538B,-1.342B,196.12M,5.383M,,5.383M,,-154.73M,0.003M,46.78M,,742.95M,357.50M,20.65M,1.121B,2009-03,5.383M,2.158B,-1.962B,,74.20M,24.18M,2009-03,AOR,Restated
2008-12,233.77M,43.52M,4.245M,-17.02M,83.89M,83.02M,51.48M,134.49M,134.49M,-125.04M,41.69M,-28.98M,368.70M,34.26M,-37.95M,-177.61M,,-46.40M,108.61M,249.62M,,,2008-12,-88.02M,7.938M,-80.08M,-223.05M,-11.08M,13.86M,-300.35M,2008-12,-42.76M,1.510B,195.00M,10.86M,-399.01M,-388.16M,,-158.46M,0.029M,-351.59M,,867.62M,-62.50M,-62.16M,742.95M,2008-12,10.86M,1.629B,-161.42M,-399.01M,619.88M,157.18M,2008-12,,Restated
2008-09,453.52M,0.097M,0.484M,19.65M,-32.91M,94.82M,87.19M,182.01M,182.01M,52.15M,-21.83M,45.08M,108.03M,-32.80M,-22.42M,-46.41M,,46.40M,-42.05M,10.74M,,,2008-09,-89.31M,4.865M,-84.44M,-540.69M,6.473M,-5.53M,-624.19M,2008-09,3.738M,-539.31M,737.04M,10.14M,-406.01M,-395.87M,,-145.42M,0.561M,196.31M,,640.17M,260.88M,-33.44M,867.62M,2008-09,10.14M,-539.75M,4.17M,-406.01M,-308.19M,-40.90M,2008-09,,
2008-06,528.09M,-0.097M,-0.484M,-19.65M,-13.41M,99.20M,44.62M,143.82M,143.82M,-16.60M,21.83M,-12.34M,-193.91M,-33.44M,2.44M,29.80M,,-79.46M,73.29M,-201.29M,,,2008-06,-95.98M,4.295M,-91.69M,-437.42M,8.116M,2.437M,-518.55M,2008-06,-3.738M,539.31M,110.42M,17.64M,-200.00M,-182.36M,,-146.38M,1.616M,-216.70M,,927.44M,-285.15M,-2.118M,640.17M,2008-06,17.64M,539.75M,-4.17M,-200.00M,308.19M,40.90M,2008-06,,Restated
2008-03,303.62M,,,,-6.822M,90.58M,141.01M,231.58M,231.58M,-8.311M,,14.38M,-19.34M,-65.34M,-18.21M,-18.77M,,79.46M,1.674M,-40.53M,,,2008-03,-89.00M,6.295M,-82.71M,-239.77M,3.84M,-1.586M,-320.22M,2008-03,,,425.16M,17.55M,-385.57M,-368.02M,,-148.43M,1.797M,-89.50M,,827.52M,84.20M,15.71M,927.44M,2008-03,17.55M,,,-385.57M,,,2008-03,,
2007-12,470.73M,,,,-2.743M,99.96M,41.98M,141.95M,141.95M,-8.26M,,11.14M,64.70M,50.87M,5.165M,11.44M,,-2.83M,51.24M,180.58M,,,2007-12,-98.73M,7.36M,-91.37M,-193.14M,19.87M,4.195M,-260.44M,2007-12,,,591.63M,16.81M,-758.85M,-742.04M,,-152.31M,-37.70M,-340.42M,,602.10M,192.55M,32.87M,827.52M,2007-12,16.81M,,,-758.85M,,,2007-12,,
2007-09,491.09M,,,,-16.56M,88.94M,39.10M,128.04M,128.04M,31.46M,,9.575M,70.48M,17.36M,20.42M,-39.14M,,39.00M,-15.28M,92.83M,,,2007-09,-80.30M,5.749M,-74.55M,-184.50M,25.24M,-6.791M,-240.60M,2007-09,,,182.83M,22.76M,-519.04M,-496.28M,,-115.87M,44.02M,-385.30M,,481.51M,110.54M,10.06M,602.10M,2007-09,22.76M,,,-519.04M,,,2007-09,,
2007-06,505.61M,,,,-47.32M,89.80M,39.78M,129.58M,129.58M,3.938M,,12.66M,-132.11M,-5.69M,18.93M,-18.61M,,-159.88M,224.53M,-72.83M,,,2007-06,-89.04M,3.988M,-85.05M,-97.32M,10.44M,-0.159M,-172.08M,2007-06,,,-86.29M,26.10M,-260.00M,-233.90M,,-116.91M,-36.10M,-473.21M,,574.58M,-113.66M,20.59M,481.51M,2007-06,26.10M,,,-260.00M,,,2007-06,,
2007-03,402.44M,,,,-15.32M,85.00M,40.18M,125.18M,125.18M,-32.66M,,-0.05M,-60.04M,-67.08M,-60.19M,8.491M,,121.41M,0.653M,-56.76M,,,2007-03,-85.29M,4.724M,-80.57M,-177.34M,6.89M,0.091M,-250.93M,2007-03,,,89.22M,51.00M,-219.87M,-168.87M,,-117.34M,5.991M,-191.00M,,590.21M,-19.11M,3.479M,574.58M,2007-03,51.00M,,,-219.87M,,,2007-03,,
2006-12,439.27M,,,,-33.29M,87.32M,38.67M,125.99M,125.99M,71.48M,,8.055M,30.13M,42.37M,-23.08M,10.00M,,-40.52M,113.02M,131.93M,,,2006-12,-78.22M,3.219M,-75.00M,-610.10M,315.56M,-6.249M,-375.79M,2006-12,,,-89.54M,12.55M,-198.89M,-186.34M,,-119.00M,-4.164M,-399.04M,,617.91M,-31.40M,3.696M,590.21M,2006-12,12.55M,,,-198.89M,,,2006-12,,
2006-09,446.09M,,,,-27.12M,81.18M,25.24M,106.42M,106.42M,51.88M,,5.963M,71.52M,-11.73M,-50.71M,-41.47M,,188.82M,-170.05M,-13.62M,,,2006-09,-77.80M,3.865M,-73.93M,-459.72M,11.72M,5.959M,-515.98M,2006-09,,,431.89M,3.41M,-247.98M,-244.58M,,-93.66M,6.698M,100.35M,,459.19M,153.98M,4.748M,617.91M,2006-09,3.41M,,,-247.98M,,,2006-09,,
2006-06,465.85M,,,,-31.65M,77.09M,24.66M,101.75M,101.75M,41.30M,,19.39M,-86.18M,-44.80M,-19.98M,25.46M,,-109.31M,-0.238M,-235.04M,,,2006-06,-76.68M,3.293M,-73.38M,-82.10M,4.53M,1.719M,-149.24M,2006-06,,,-139.94M,21.00M,,21.00M,,-93.56M,10.55M,-201.95M,,454.47M,10.42M,-5.702M,459.19M,2006-06,21.00M,,,,,,2006-06,,
2006-03,366.53M,,,,-2.185M,73.77M,35.97M,109.74M,109.74M,2.341M,,10.61M,-61.05M,-46.05M,29.84M,16.95M,,-37.68M,2.342M,-95.66M,,,2006-03,-68.32M,3.813M,-64.51M,-186.47M,10.21M,7.359M,-233.41M,2006-03,,,-23.97M,42.01M,,42.01M,,-92.62M,,-74.58M,,370.42M,83.39M,0.661M,454.47M,2006-03,42.01M,,,,,,2006-03,,
2005-12,400.58M,,,,-19.18M,73.79M,26.87M,100.66M,100.66M,-48.09M,,1.283M,74.40M,47.19M,-28.09M,19.51M,,-59.59M,,53.42M,,,2005-12,-77.08M,8.561M,-68.52M,-312.71M,144.90M,-0.402M,-236.73M,2005-12,,,-131.57M,6.245M,0.00,6.245M,,-92.38M,,-224.83M,,351.34M,27.11M,-8.034M,370.42M,2005-12,6.245M,,,0.00,,,2005-12,,
2005-09,408.20M,,,,-32.70M,78.21M,15.77M,93.98M,93.98M,59.47M,,-1.283M,-12.67M,65.73M,-54.53M,-24.63M,,60.02M,,33.92M,,,2005-09,-71.32M,9.001M,-62.32M,-112.59M,0.551M,-10.12M,-184.48M,2005-09,,,-318.67M,3.315M,-469.11M,-465.80M,,-79.91M,,-864.38M,,858.68M,-487.26M,-20.07M,351.34M,2005-09,3.315M,,,-469.11M,,,2005-09,,
2005-06,373.78M,,,,8.742M,74.59M,15.21M,89.81M,89.81M,-29.93M,,-0.001M,-69.60M,49.01M,20.44M,-22.70M,,78.76M,,55.92M,,,2005-06,-80.68M,4.534M,-76.15M,-11.79M,9.671M,-1.052M,-79.32M,2005-06,,,-87.38M,2.669M,-382.95M,-380.28M,,-81.15M,,-548.81M,,1.053B,-129.80M,-64.46M,858.68M,2005-06,2.669M,,,-382.95M,,,2005-06,,
2005-03,312.31M,,,,-0.882M,72.64M,25.99M,98.63M,98.63M,88.30M,,0.001M,-51.04M,-57.52M,-20.10M,-11.40M,,-55.35M,,-195.40M,,,2005-03,-64.03M,11.76M,-52.26M,-188.35M,-55.28M,7.016M,-288.88M,2005-03,,,630.75M,12.33M,-189.73M,-177.40M,,-81.65M,,371.70M,,667.39M,385.77M,-0.222M,1.053B,2005-03,12.33M,,,-189.73M,,,2005-03,,
2004-12,358.10M,,,,-27.23M,77.97M,19.47M,97.44M,97.44M,202.52M,,3.929M,43.25M,-75.51M,-40.82M,23.96M,,-202.81M,-0.035M,-251.96M,0.171M,,2004-12,-84.70M,12.77M,-71.93M,-148.92M,-0.639M,-9.355M,-230.84M,2004-12,,,100.61M,10.08M,-527.68M,-517.60M,,-83.03M,,-500.03M,,930.28M,-347.91M,85.01M,667.39M,2004-12,10.08M,,,-527.68M,,,2004-12,,
2004-09,330.05M,,,,-30.78M,71.63M,18.69M,90.33M,90.33M,-53.09M,,6.006M,4.951M,-40.77M,-14.42M,-15.06M,,175.52M,-0.005M,110.20M,-0.171M,,2004-09,-68.09M,9.299M,-58.79M,-62.07M,11.85M,5.299M,-103.70M,2004-09,,,38.43M,18.50M,-943.01M,-924.51M,,-73.57M,,-959.65M,,1.537B,-610.81M,3.889M,930.28M,2004-09,18.50M,,,-943.01M,,,2004-09,,
2004-06,360.35M,,,,-52.77M,73.56M,24.45M,98.02M,98.02M,7.571M,,-0.059M,-79.51M,-32.59M,-10.11M,9.569M,,76.31M,0.04M,-36.29M,,,2004-06,-69.26M,2.53M,-66.73M,-193.10M,5.591M,-1.238M,-255.48M,2004-06,,,5.157M,35.97M,-259.11M,-223.14M,,-74.03M,,-292.01M,,1.729B,-170.67M,-21.18M,1.537B,2004-06,35.97M,,,-259.11M,,,2004-06,,
2004-03,290.20M,,,,-25.84M,70.99M,29.02M,100.01M,100.01M,-13.78M,,0.059M,-97.56M,-28.18M,-58.18M,13.49M,,139.49M,,-30.94M,,,2004-03,-60.51M,5.276M,-55.24M,-183.69M,4.167M,13.47M,-221.30M,2004-03,,,-16.70M,14.55M,,14.55M,,-73.95M,,-76.10M,,1.684B,22.30M,22.27M,1.729B,2004-03,14.55M,,,,,,2004-03,,
2003-12,283.30M,,,,-19.79M,-208.26M,-18.98M,79.32M,79.32M,196.54M,,7.135M,60.69M,26.50M,-129.03M,29.41M,-3.80M,-80.79M,,-66.28M,,,2003-12,-75.36M,16.26M,-59.10M,-55.64M,-4.582M,2.90M,-116.42M,2003-12,,,-34.17M,18.14M,,18.14M,,-73.76M,-0.66M,-90.45M,,1.373B,273.33M,38.31M,1.684B,2003-12,18.14M,,,,,,2003-12,,
2003-09,268.90M,,,,-31.85M,208.26M,18.98M,74.40M,74.40M,-1.668M,,28.58M,-10.26M,46.30M,-42.48M,-14.01M,0.59M,76.53M,,56.67M,,,2003-09,-60.82M,24.53M,-36.29M,-73.82M,-51.33M,-0.108M,-161.55M,2003-09,,,-22.43M,13.15M,,13.15M,,-70.59M,0.941M,-78.93M,,1.234B,154.56M,-15.78M,1.373B,2003-09,13.15M,,,,,,2003-09,,
2003-06,276.10M,,,,-39.79M,-67.88M,-9.31M,75.66M,75.66M,13.94M,,0.023M,-74.68M,41.45M,-18.76M,-16.13M,0.403M,18.11M,,-49.61M,,,2003-06,-65.96M,7.35M,-58.62M,-59.45M,-4.338M,-0.913M,-123.32M,2003-06,,,-6.484M,6.468M,,6.468M,,-70.54M,-0.727M,-71.28M,,1.126B,81.73M,26.79M,1.234B,2003-06,6.468M,,,,,,2003-06,,
2003-03,195.38M,,,,-8.23M,67.88M,9.31M,77.18M,77.18M,-4.853M,,0.039M,2.003M,-6.07M,3.564M,-9.372M,2.807M,-35.28M,,-42.34M,,,2003-03,-56.17M,2.772M,-53.40M,-14.81M,-13.47M,-0.885M,-82.57M,2003-03,,,-32.68M,2.597M,,2.597M,,-70.51M,0.458M,-100.14M,,1.058B,34.46M,33.40M,1.126B,2003-03,2.597M,,,,,,2003-03,,
2002-12,222.99M,,,,-19.12M,,,77.65M,77.65M,-46.71M,,-0.03M,88.62M,29.49M,12.88M,-6.369M,-15.02M,0.225M,,109.83M,,,2002-12,-78.88M,216.42M,137.54M,-82.52M,22.79M,0.421M,78.23M,2002-12,,,-19.96M,3.493M,,3.493M,,-70.48M,1.356M,-85.59M,,720.42M,337.25M,0.015M,1.058B,2002-12,3.493M,,,,,,2002-12,,
2002-09,245.54M,,,,-17.81M,,,77.03M,77.03M,19.27M,,0.074M,37.58M,-15.79M,-9.338M,1.247M,-4.477M,46.64M,,55.86M,,,2002-09,-59.84M,10.68M,-49.16M,-13.73M,7.855M,1.091M,-53.95M,2002-09,,,-58.83M,1.413M,,1.413M,,-67.40M,1.293M,-123.53M,,485.34M,202.48M,32.60M,720.42M,2002-09,1.413M,,,,,,2002-09,,
2002-06,267.51M,,,,-21.50M,,,74.71M,74.71M,-21.16M,,-3.353M,-62.19M,33.37M,0.067M,-7.131M,10.20M,10.79M,-0.024M,-14.92M,,,2002-06,-68.66M,8.786M,-59.87M,-56.64M,-47.13M,0.402M,-163.24M,2002-06,,,116.17M,8.478M,,8.478M,,-67.35M,0.594M,57.89M,,281.03M,175.94M,28.37M,485.34M,2002-06,8.478M,,,,,,2002-06,,
2002-03,-23.44M,,,,204.72M,,,76.36M,76.36M,-11.87M,,3.353M,-55.95M,24.77M,7.373M,26.71M,10.73M,20.13M,0.024M,33.78M,,,2002-03,-64.05M,4.397M,-59.65M,-35.35M,-100.47M,1.165M,-194.30M,2002-03,,,-40.87M,31.00M,,31.00M,,-67.08M,-0.453M,-77.41M,,282.22M,11.18M,-12.37M,281.03M,2002-03,31.00M,,,,,,2002-03,,
2001-12,191.07M,,,,8.291M,,,78.01M,78.01M,54.41M,,-26.39M,97.03M,71.63M,-19.66M,-20.46M,,-45.30M,,119.29M,,,2001-12,-55.90M,-6.258M,-62.15M,-20.86M,121.65M,16.23M,54.86M,2001-12,,,-309.19M,-46.65M,,-46.65M,,-67.00M,-0.134M,-422.98M,,229.31M,56.55M,-3.643M,282.22M,2001-12,-46.65M,,,,,,2001-12,,
2001-09,199.06M,,,,-45.73M,,,101.74M,101.74M,3.292M,,29.68M,60.62M,43.98M,-9.016M,-27.99M,,49.60M,,117.19M,,,2001-09,-60.27M,14.78M,-45.48M,-226.85M,-34.09M,-9.619M,-316.04M,2001-09,,,13.95M,1.446M,,1.446M,,-60.90M,-0.356M,-45.86M,,176.93M,43.34M,9.047M,229.31M,2001-09,1.446M,,,,,,2001-09,,
2001-06,232.78M,,,,-10.16M,,,104.52M,104.52M,-19.27M,,-3.269M,-14.17M,36.72M,3.026M,-26.00M,,-20.42M,,-20.84M,,,2001-06,-68.11M,0.705M,-67.40M,-256.30M,11.05M,10.33M,-302.32M,2001-06,,,96.39M,18.06M,,18.06M,,-60.75M,1.704M,55.40M,,149.49M,36.84M,-9.402M,176.93M,2001-06,18.06M,,,,,,2001-06,,
2001-03,182.76M,,,,-22.69M,,,102.04M,102.04M,0.178M,,-0.009M,13.32M,6.178M,6.895M,-31.31M,,-20.00M,,-24.91M,,,2001-03,-72.29M,10.77M,-61.52M,-52.19M,14.58M,0.666M,-98.47M,2001-03,,,-110.11M,27.15M,,27.15M,,-60.49M,0.116M,-143.34M,,151.30M,-4.446M,2.643M,149.49M,2001-03,27.15M,,,,,,2001-03,,
2000-12,201.49M,,,,-23.81M,,,128.06M,128.06M,-14.47M,,-0.34M,73.00M,22.11M,,-12.74M,-11.67M,-10.01M,,60.69M,,,2000-12,-78.39M,-0.564M,-78.95M,-265.26M,18.68M,-0.119M,-325.65M,2000-12,,,-94.81M,8.175M,,8.175M,,-60.40M,-0.314M,-147.34M,,267.59M,-121.37M,5.073M,151.30M,2000-12,8.175M,,,,,,2000-12,,
2000-09,264.08M,,,,-23.38M,,,97.15M,97.15M,2.828M,,3.871M,20.64M,-11.85M,,-27.20M,-14.27M,-6.948M,,-39.63M,,,2000-09,-80.88M,15.44M,-65.44M,-207.52M,16.76M,-4.102M,-260.31M,2000-09,,,64.80M,4.227M,,4.227M,,-54.31M,-0.829M,13.89M,,212.15M,58.50M,-3.062M,267.59M,2000-09,4.227M,,,,,,2000-09,,
2000-06,273.27M,,,,-17.65M,,,98.98M,98.98M,-8.559M,,-3.692M,-45.24M,12.80M,,-6.278M,-21.08M,-32.59M,,-92.39M,,,2000-06,-82.75M,17.99M,-64.76M,-243.00M,15.17M,0.719M,-291.87M,2000-06,,,79.75M,6.395M,,6.395M,,-54.20M,-0.898M,31.04M,,247.90M,-10.86M,-24.89M,212.15M,2000-06,6.395M,,,,,,2000-06,,
2000-03,219.13M,,,,-22.06M,,,89.19M,89.19M,-0.908M,,,5.987M,-19.11M,,-27.75M,-3.647M,-24.94M,,-69.46M,,,2000-03,-71.89M,4.608M,-67.29M,-83.06M,11.44M,5.372M,-133.53M,2000-03,,,-11.47M,6.612M,,6.612M,,-54.10M,1.548M,-57.41M,,232.95M,24.95M,-10.00M,247.90M,2000-03,6.612M,,,,,,2000-03,,
1999-12,180.00M,,,,-18.50M,,,84.20M,84.20M,104.40M,,-0.60M,-28.40M,6.10M,,14.60M,14.10M,-52.70M,,-46.30M,,,1999-12,-898.00M,3.50M,-894.50M,577.70M,143.20M,42.60M,-131.00M,1999-12,,,-22.50M,4.40M,0.00,4.40M,,-51.90M,-25.20M,-95.20M,,153.50M,77.00M,2.30M,232.90M,1999-12,4.40M,,,0.00,,,1999-12,,
1999-09,232.95M,,,,-20.85M,,,88.26M,88.26M,-4.08M,,0.275M,-23.85M,-0.881M,,-14.21M,-2.097M,53.78M,,12.74M,,,1999-09,250.00M,3.433M,253.43M,-418.93M,-45.74M,0.944M,-210.30M,1999-09,,,-18.32M,6.209M,-4.825M,1.384M,,-44.31M,-1.464M,-62.71M,,117.25M,36.28M,0.09M,153.50M,1999-09,6.209M,,,-4.825M,,,1999-09,,
1999-06,239.72M,,,,-30.08M,,,87.44M,87.44M,-2.145M,,3.173M,-46.19M,12.86M,,10.18M,-23.70M,-53.82M,,-100.67M,,,1999-06,-421.79M,24.37M,-397.42M,-19.60M,19.24M,-8.524M,-406.31M,1999-06,,,123.98M,6.859M,-12.95M,-6.09M,,-43.68M,6.895M,81.10M,,251.29M,-127.77M,-6.265M,117.25M,1999-06,6.859M,,,-12.95M,,,1999-06,,
1999-03,188.43M,,,,-31.17M,,,83.40M,83.40M,7.125M,,-3.648M,-6.664M,-10.68M,,-6.163M,-20.41M,26.45M,,-17.46M,,,1999-03,-71.71M,3.699M,-68.01M,-139.17M,16.31M,10.08M,-180.79M,1999-03,,,162.64M,4.432M,-27.23M,-22.79M,,-43.71M,4.269M,100.41M,,109.53M,146.29M,-4.525M,251.29M,1999-03,4.432M,,,-27.23M,,,1999-03,,
1998-12,321.20M,,,,7.70M,,,137.40M,137.40M,38.40M,,-38.70M,-8.20M,-13.40M,,-37.70M,-8.60M,-6.20M,,-74.10M,,,1998-12,-489.80M,15.20M,-474.60M,,-24.50M,28.70M,-470.40M,1998-12,,,140.60M,13.40M,,-31.90M,,-61.00M,-0.60M,47.10M,,0.00,-31.40M,6.10M,109.50M,1998-12,13.40M,,,,,,1998-12,,
1998-09,163.90M,,,,-57.70M,,,51.80M,51.80M,19.90M,,37.90M,25.40M,19.70M,,-26.90M,5.40M,-17.80M,,5.80M,,,1998-09,-413.50M,16.40M,-397.10M,,10.10M,0.30M,-386.70M,1998-09,,,196.20M,0.60M,,0.60M,,-30.00M,2.20M,169.00M,,0.00,3.90M,-4.10M,0.00,1998-09,0.60M,,,,,,1998-09,,
1998-06,175.90M,,,,-10.30M,,,53.90M,53.90M,3.20M,,0.00,-16.80M,3.70M,,-11.60M,-17.80M,-65.60M,,-108.10M,,,1998-06,-282.90M,10.60M,-272.30M,,12.40M,77.10M,-182.80M,1998-06,,,-2.50M,2.20M,,2.20M,,-29.90M,-1.70M,-31.90M,,0.00,-100.10M,1.90M,0.00,1998-06,2.20M,,,,,,1998-06,,
