,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-12,87.20M,,87.20M,128.60M,,128.60M,50.00M,18.80M,46.90M,115.70M,5.10M,29.60M,366.20M,0.0,9.50M,220.70M,592.80M,,142.00M,965.00M,-434.00M,531.00M,105.30M,50.00M,155.30M,33.60M,63.70M,18.90M,802.50M,1.169B,67.60M,,9.70M,77.30M,42.30M,119.60M,3.90M,,3.90M,,3.90M,,0.90M,0.90M,34.70M,159.10M,382.10M,,382.10M,20.40M,20.40M,86.00M,,34.00M,522.50M,681.60M,8.60M,517.30M,69.30M,63.20M,,,-44.90M,487.10M
2008-09,102.50M,6.00M,108.50M,140.60M,,140.60M,55.00M,19.60M,50.10M,124.70M,5.40M,31.30M,410.50M,,,,,,,960.00M,-441.40M,518.60M,103.80M,50.90M,154.70M,,60.10M,66.10M,799.50M,1.21B,61.70M,,,61.70M,48.20M,109.90M,0.50M,,0.50M,,0.50M,,2.60M,2.60M,52.50M,165.50M,382.00M,,382.00M,45.60M,45.60M,,5.40M,78.90M,506.50M,672.00M,8.60M,504.50M,66.00M,63.60M,,,17.10M,532.60M
2008-06,102.30M,9.70M,112.00M,159.20M,,159.20M,52.40M,20.50M,54.40M,127.30M,5.90M,39.00M,443.40M,,,,,,,975.00M,-453.00M,522.00M,107.50M,52.10M,159.60M,,59.10M,69.30M,810.00M,1.253B,69.80M,,,69.80M,44.20M,114.00M,0.50M,,0.50M,,0.50M,,2.40M,2.40M,61.60M,178.50M,397.70M,,397.70M,47.20M,47.20M,,5.20M,78.20M,523.10M,701.60M,8.60M,496.00M,64.60M,67.20M,,,44.60M,546.60M
2008-03,93.60M,12.90M,106.50M,151.90M,,151.90M,48.70M,19.90M,50.70M,119.30M,6.10M,36.00M,419.80M,,,,,,,945.10M,-439.10M,506.00M,107.50M,52.50M,160.00M,,58.90M,66.10M,791.00M,1.211B,57.90M,,,57.90M,39.90M,97.80M,0.50M,,0.50M,,0.50M,,2.40M,2.40M,55.00M,155.70M,417.00M,,417.00M,46.20M,46.20M,,5.00M,76.90M,540.10M,695.80M,8.60M,471.90M,63.50M,69.50M,4.30M,31.20M,35.50M,510.00M
2007-12,108.40M,21.00M,129.40M,136.10M,,136.10M,50.20M,16.50M,45.10M,111.80M,5.30M,29.70M,412.30M,0.0,12.60M,215.10M,572.50M,,97.50M,897.70M,-416.00M,481.70M,109.20M,55.00M,164.20M,31.70M,61.00M,21.70M,773.30M,1.186B,80.40M,,27.50M,107.90M,38.10M,146.00M,0.50M,,0.50M,,0.50M,,2.50M,2.50M,33.90M,182.90M,394.60M,,394.60M,46.60M,46.60M,40.10M,5.60M,30.50M,511.80M,694.70M,8.60M,450.30M,64.30M,71.50M,,,33.60M,485.30M
2007-09,151.40M,,151.40M,136.80M,,136.80M,54.80M,17.70M,47.20M,119.70M,5.80M,22.90M,436.60M,,,,,,,837.10M,-408.60M,428.50M,107.30M,67.60M,174.90M,,53.80M,61.50M,718.70M,1.155B,51.80M,,,51.80M,43.40M,95.20M,0.50M,,0.50M,,0.50M,,2.20M,2.20M,64.30M,162.20M,393.10M,,393.10M,44.50M,44.50M,,5.20M,68.60M,506.20M,668.40M,8.60M,448.80M,62.30M,61.50M,,,23.50M,481.70M
2007-06,177.30M,,177.30M,136.70M,,136.70M,49.30M,18.40M,44.00M,111.70M,5.60M,21.00M,452.30M,,,,,,,807.20M,-398.70M,408.50M,103.80M,67.90M,171.70M,,47.20M,63.00M,690.40M,1.143B,53.50M,,,53.50M,34.90M,88.40M,0.50M,,0.50M,,0.50M,,2.20M,2.20M,58.00M,149.10M,384.20M,,384.20M,43.00M,43.00M,,4.90M,67.30M,494.50M,643.60M,8.60M,445.50M,57.60M,34.40M,,,16.90M,494.20M
2007-03,156.60M,,156.60M,143.30M,,143.30M,44.00M,17.10M,46.60M,107.70M,5.60M,19.00M,432.20M,,,,,,,781.10M,-385.90M,395.20M,103.50M,69.20M,172.70M,,46.30M,59.80M,674.00M,1.106B,59.50M,,,59.50M,30.60M,90.10M,0.50M,,0.50M,,0.50M,,2.20M,2.20M,60.50M,153.30M,376.60M,,376.60M,43.50M,43.50M,,4.90M,68.40M,488.50M,641.80M,8.60M,419.50M,54.70M,34.20M,,,10.90M,459.50M
2006-12,47.10M,,47.10M,109.50M,1.00M,110.50M,40.70M,13.40M,43.40M,97.50M,5.30M,21.30M,281.70M,0.0,8.10M,180.60M,442.90M,69.20M,56.60M,757.40M,-372.70M,384.70M,102.80M,66.30M,169.10M,,29.80M,52.90M,636.50M,918.20M,61.20M,,,61.20M,35.30M,96.50M,0.50M,,0.50M,,0.50M,,2.70M,2.70M,57.20M,156.90M,235.80M,,235.80M,43.50M,43.50M,,4.80M,62.70M,342.00M,498.90M,8.60M,375.70M,52.80M,33.20M,,,10.60M,414.50M
2006-09,44.80M,,44.80M,120.20M,1.70M,121.90M,39.90M,14.60M,39.90M,94.40M,3.00M,21.70M,285.80M,,,,,,,706.60M,-358.20M,348.40M,101.00M,67.60M,168.60M,,8.60M,83.60M,609.20M,895.00M,47.50M,,,47.50M,34.40M,81.90M,0.50M,,0.50M,,0.50M,,8.20M,8.20M,67.90M,158.50M,240.60M,,240.60M,30.60M,30.60M,,4.60M,57.20M,328.40M,486.90M,8.60M,365.00M,40.00M,33.10M,,,23.00M,403.50M
2006-06,46.10M,,46.10M,124.30M,,124.30M,35.50M,13.30M,38.40M,87.20M,2.60M,23.00M,283.20M,,,,,,,684.80M,-345.80M,339.00M,92.30M,68.00M,160.30M,,8.40M,92.70M,600.40M,883.60M,51.50M,,,51.50M,,51.50M,0.60M,,0.60M,,0.60M,,8.20M,8.20M,86.30M,146.60M,259.30M,,259.30M,31.10M,31.10M,,4.30M,53.80M,344.20M,490.80M,8.60M,355.90M,39.40M,34.90M,,,19.50M,388.50M
2006-03,31.30M,,31.30M,124.20M,,124.20M,38.20M,12.70M,35.40M,86.30M,2.40M,19.00M,263.20M,,,,,,,662.30M,-331.80M,330.50M,89.90M,68.50M,158.40M,,8.50M,90.90M,588.30M,851.50M,47.40M,,,47.40M,24.80M,72.20M,0.40M,,0.40M,,0.40M,,8.20M,8.20M,52.60M,133.40M,270.60M,,270.60M,29.90M,29.90M,,4.10M,51.70M,352.20M,485.60M,0.00,339.00M,46.40M,36.70M,,,13.10M,361.80M
2005-12,48.80M,,48.80M,107.40M,3.10M,110.50M,26.30M,10.30M,34.50M,71.10M,2.40M,14.30M,247.10M,0.0,6.50M,168.50M,377.10M,31.40M,63.70M,647.20M,-319.20M,328.00M,89.50M,69.70M,159.20M,,8.30M,90.90M,586.40M,833.50M,45.80M,,,45.80M,72.90M,118.70M,0.30M,,0.30M,,0.30M,,8.30M,8.30M,1.00M,128.30M,280.70M,,280.70M,31.90M,31.90M,,4.10M,48.60M,361.20M,489.50M,8.60M,325.00M,39.30M,41.90M,,,8.90M,339.90M
2005-09,20.90M,,20.90M,104.80M,,104.80M,25.00M,10.90M,28.80M,64.70M,7.60M,19.80M,217.80M,,,,,,,634.80M,-312.60M,322.20M,,162.80M,162.80M,,9.00M,87.70M,581.70M,799.50M,35.40M,,,35.40M,77.30M,112.70M,0.40M,,0.40M,,0.40M,,9.50M,9.50M,,122.60M,260.20M,,260.20M,39.30M,39.30M,,4.50M,47.50M,347.00M,469.60M,8.60M,310.60M,37.10M,42.60M,,,11.70M,325.40M
2005-06,61.50M,,61.50M,103.30M,,103.30M,25.20M,11.50M,27.90M,64.60M,7.10M,19.20M,255.70M,,,,,,,623.80M,-305.30M,318.50M,,107.60M,107.60M,,18.40M,97.60M,542.10M,797.80M,34.40M,,,34.40M,40.40M,74.80M,0.70M,,0.70M,,0.70M,,8.10M,8.10M,29.60M,113.20M,277.30M,,277.30M,45.70M,45.70M,,,46.20M,369.20M,482.40M,8.60M,306.60M,32.10M,44.90M,,,13.00M,315.40M
2005-03,54.00M,,54.00M,84.30M,,84.30M,22.20M,12.00M,28.30M,62.50M,7.10M,15.10M,223.00M,,,,,,,594.60M,-317.10M,277.50M,,45.40M,45.40M,,18.80M,85.30M,427.00M,650.00M,23.40M,,,23.40M,66.90M,90.30M,,,,,,,8.00M,8.00M,0.70M,99.00M,152.70M,,152.70M,44.80M,44.80M,,,45.80M,243.30M,342.30M,,300.80M,,,,,6.90M,307.70M
2004-12,68.80M,,68.80M,72.90M,,72.90M,18.30M,9.60M,28.80M,56.70M,8.20M,19.90M,226.50M,0.0,4.50M,158.40M,354.50M,65.00M,22.70M,605.10M,-321.30M,283.80M,,44.10M,44.10M,,8.40M,86.40M,422.70M,649.20M,29.30M,,,29.30M,68.60M,97.90M,10.00M,,10.00M,,10.00M,,7.90M,7.90M,0.70M,116.50M,150.80M,,150.80M,35.50M,35.50M,,,45.30M,231.60M,348.10M,8.60M,287.50M,24.50M,55.90M,,,36.40M,301.10M
2004-09,63.30M,,63.30M,78.80M,,78.80M,,,,57.90M,6.10M,12.80M,218.90M,,,,,,,592.30M,-322.50M,269.80M,,47.70M,47.70M,,20.80M,79.00M,417.30M,636.20M,26.20M,,,26.20M,25.40M,51.60M,0.30M,,0.30M,,0.30M,,16.60M,16.60M,38.80M,107.30M,162.40M,,162.40M,45.40M,45.40M,,,40.20M,248.00M,355.30M,8.60M,290.50M,27.10M,57.30M,,,12.00M,280.90M
2004-06,52.90M,,52.90M,81.00M,,81.00M,18.40M,10.60M,26.50M,55.50M,6.00M,13.10M,208.50M,,,,,,,577.70M,-316.30M,261.40M,,47.50M,47.50M,,20.70M,80.20M,409.80M,618.30M,24.50M,,,24.50M,62.20M,86.70M,4.80M,,4.80M,,4.80M,,16.60M,16.60M,,108.10M,153.20M,,153.20M,45.40M,45.40M,,,39.30M,237.90M,346.00M,4.30M,289.50M,31.40M,58.80M,,,5.90M,272.30M
2004-03,40.60M,83.70M,124.30M,,,,18.70M,10.70M,22.80M,52.20M,6.00M,12.30M,194.80M,,,,,,,572.70M,-313.00M,259.70M,,48.20M,48.20M,,20.70M,81.40M,410.00M,604.80M,26.60M,,,26.60M,63.00M,89.60M,3.60M,,3.60M,,3.60M,,16.60M,16.60M,,109.80M,148.60M,,148.60M,45.10M,45.10M,,,38.20M,231.90M,341.70M,4.30M,285.00M,29.60M,71.40M,,,15.60M,263.10M
2003-12,37.80M,,37.80M,72.30M,42.20M,114.50M,17.30M,8.60M,21.70M,47.60M,6.10M,10.70M,216.70M,0.0,3.40M,124.20M,383.90M,,40.20M,551.70M,-300.60M,251.10M,,40.90M,40.90M,,20.50M,94.40M,406.90M,623.60M,28.60M,,,28.60M,63.10M,91.70M,8.00M,,8.00M,,8.00M,,16.60M,16.60M,2.60M,118.90M,167.00M,,167.00M,44.80M,44.80M,,,35.30M,247.10M,366.00M,4.30M,281.20M,30.10M,76.90M,,,18.90M,257.60M
2003-09,54.50M,,54.50M,76.30M,,76.30M,17.00M,10.30M,18.60M,45.90M,5.20M,11.50M,193.40M,,,,,,,524.40M,-291.50M,232.90M,,47.40M,47.40M,,21.90M,80.00M,382.20M,575.60M,25.10M,,,25.10M,60.50M,85.60M,4.60M,11.60M,16.20M,,16.20M,,2.40M,2.40M,,104.20M,162.70M,,162.70M,49.40M,49.40M,,,33.70M,245.80M,350.00M,4.30M,267.20M,30.50M,79.30M,,,2.90M,225.60M
2003-06,44.30M,,44.30M,80.90M,,80.90M,16.90M,10.10M,18.00M,45.00M,5.30M,13.80M,189.30M,,,,,,,516.60M,-294.50M,222.10M,,40.10M,40.10M,,21.40M,94.50M,378.10M,567.40M,21.90M,,,21.90M,59.30M,81.20M,3.70M,11.80M,15.50M,,15.50M,,2.40M,2.40M,,99.10M,164.10M,,164.10M,49.70M,49.70M,,,32.80M,246.60M,345.70M,4.30M,266.10M,30.90M,81.10M,,,1.50M,221.70M
2003-03,37.10M,,37.10M,72.60M,,72.60M,14.90M,8.70M,18.80M,42.40M,5.10M,15.30M,172.50M,,,,,,,497.70M,-284.00M,213.70M,,38.20M,38.20M,,20.60M,96.90M,369.40M,541.90M,21.60M,,,21.60M,55.80M,77.40M,1.50M,11.40M,12.90M,,12.90M,,2.40M,2.40M,,92.70M,160.70M,,160.70M,48.90M,48.90M,,,32.60M,242.20M,334.90M,4.30M,262.10M,30.90M,81.50M,,,-8.80M,207.00M
2002-12,33.20M,,33.20M,66.60M,,66.60M,15.00M,7.40M,18.90M,41.30M,5.20M,15.50M,161.80M,0.0,3.00M,120.10M,358.80M,,17.70M,499.60M,-276.30M,223.30M,,44.50M,44.50M,,19.90M,80.10M,367.80M,529.60M,19.20M,,,19.20M,50.80M,70.00M,4.10M,11.70M,15.80M,,15.80M,,2.40M,2.40M,,88.20M,159.20M,,159.20M,48.50M,48.50M,,,32.20M,239.90M,328.10M,4.30M,261.20M,30.90M,81.50M,,,-13.40M,201.50M
2002-09,35.70M,,35.70M,63.20M,,63.20M,14.70M,7.40M,18.30M,40.40M,2.70M,12.70M,154.70M,,,,,,,490.00M,-272.70M,217.30M,,42.80M,42.80M,,19.40M,82.20M,361.70M,516.40M,19.70M,,,19.70M,47.80M,67.50M,5.60M,0.50M,6.10M,,6.10M,,1.50M,1.50M,,75.10M,172.00M,,172.00M,47.90M,47.90M,,,27.70M,247.60M,322.70M,4.30M,260.60M,31.20M,82.10M,,,-20.30M,193.70M
2002-06,28.00M,,28.00M,70.70M,,70.70M,13.40M,7.60M,19.40M,40.40M,2.40M,12.00M,153.50M,,,,,,,491.80M,-269.30M,222.50M,,43.40M,43.40M,,23.00M,82.70M,371.60M,525.10M,20.40M,,,20.40M,48.30M,68.70M,6.70M,6.60M,13.30M,,13.30M,,1.50M,1.50M,,83.50M,172.00M,,172.00M,47.70M,47.70M,,,28.10M,247.80M,331.30M,4.30M,259.90M,31.20M,82.10M,,,-19.50M,193.80M
2002-03,28.90M,,28.90M,70.90M,,70.90M,12.10M,7.50M,16.90M,36.50M,2.30M,13.80M,152.40M,,,,,,,465.80M,-254.20M,211.60M,,32.10M,32.10M,,22.10M,88.50M,354.30M,506.70M,22.00M,,,22.00M,25.90M,47.90M,3.70M,11.30M,15.00M,,15.00M,,1.50M,1.50M,19.30M,83.70M,171.40M,,171.40M,46.80M,46.80M,,,28.20M,246.40M,330.10M,4.30M,257.30M,31.20M,83.30M,,,-32.90M,176.60M
2001-12,42.10M,,42.10M,61.80M,,61.80M,12.30M,6.30M,15.70M,34.30M,2.40M,17.90M,158.50M,0.0,2.70M,105.90M,328.00M,,22.90M,459.50M,-249.20M,210.30M,,32.60M,32.60M,,,109.90M,352.80M,511.30M,22.60M,,,22.60M,23.60M,46.20M,4.40M,4.30M,8.70M,,8.70M,,1.60M,1.60M,18.80M,75.30M,184.30M,,184.30M,46.80M,46.80M,,,28.10M,259.20M,334.50M,4.30M,254.00M,31.60M,85.70M,,,-27.40M,176.80M
2001-09,41.60M,,41.60M,75.00M,,75.00M,16.50M,10.40M,15.50M,42.40M,8.80M,15.40M,183.20M,,,,,,,531.00M,-289.60M,241.40M,,50.00M,50.00M,,,101.90M,393.30M,576.50M,24.00M,,,24.00M,52.20M,76.20M,24.00M,0.50M,24.50M,,24.50M,,,,,100.70M,195.40M,,195.40M,51.00M,51.00M,,1.00M,24.30M,270.70M,371.40M,0.00,,,-204.10M,,,,204.10M
2001-06,39.30M,,39.30M,69.70M,,69.70M,15.00M,10.20M,16.10M,41.30M,8.20M,14.10M,172.60M,,,,,,,515.40M,-281.30M,234.10M,,48.60M,48.60M,,17.70M,82.60M,383.00M,555.60M,26.20M,,,26.20M,49.60M,75.80M,14.40M,0.50M,14.90M,,14.90M,,,,,90.70M,195.10M,,195.10M,50.70M,50.70M,,1.00M,24.10M,269.90M,360.60M,,,,,,,,194.00M
2001-03,37.80M,,37.80M,,,70.70M,,,,43.10M,,22.20M,173.80M,,,,,,,517.90M,-284.20M,233.70M,,49.80M,49.80M,,,99.00M,382.50M,556.30M,25.40M,,,25.40M,,25.40M,,,13.90M,,13.90M,,,,47.50M,86.80M,195.20M,,195.20M,50.70M,50.70M,,0.90M,25.00M,270.90M,357.70M,,,,,,,,197.70M
2000-12,42.70M,,42.70M,53.70M,,53.70M,12.00M,5.50M,17.30M,34.80M,7.70M,19.90M,158.80M,0.0,3.20M,102.90M,323.90M,,21.00M,451.00M,-249.40M,201.60M,,34.90M,34.90M,,,153.80M,390.30M,549.10M,23.50M,,,23.50M,22.30M,45.80M,3.10M,0.50M,3.60M,,3.60M,,1.90M,1.90M,19.70M,71.00M,195.80M,,195.80M,51.00M,51.00M,,1.00M,25.50M,272.30M,343.30M,4.30M,269.80M,32.10M,86.90M,,,-14.50M,204.80M
2000-09,41.60M,,41.60M,,,67.80M,,,,41.60M,,31.90M,182.90M,,,,,,,505.20M,-269.50M,235.70M,,60.50M,60.50M,,,82.90M,379.10M,562.00M,25.70M,,,25.70M,,25.70M,,,0.50M,,0.50M,,,,51.90M,78.10M,192.00M,,192.00M,46.60M,46.60M,,0.90M,25.00M,263.60M,341.70M,4.30M,215.10M,,,,,,219.40M
2000-06,37.30M,,37.30M,,,69.80M,,,,43.70M,,27.30M,178.10M,,,,,,,500.50M,-267.40M,233.10M,,63.20M,63.20M,,,81.40M,377.70M,555.80M,22.60M,,,22.60M,,22.60M,,,11.90M,,11.90M,,,,52.10M,86.60M,172.60M,,172.60M,47.20M,47.20M,,0.80M,25.10M,244.90M,331.50M,,285.80M,,,,,-62.30M,223.50M
2000-03,55.00M,,55.00M,,,69.30M,,,,43.10M,,26.00M,193.40M,,,,,,,491.80M,-263.10M,228.70M,,64.40M,64.40M,,,76.30M,369.40M,562.80M,22.40M,,,22.40M,,22.40M,,,,,,,,,111.10M,133.50M,130.70M,,130.70M,47.50M,47.50M,,0.80M,25.60M,203.80M,337.30M,,280.70M,,,,,1.40M,224.70M
1999-12,45.30M,,45.30M,,,74.60M,,,,42.10M,,22.70M,184.70M,,,,,,,489.20M,-261.60M,227.60M,,66.50M,66.50M,,,73.00M,367.10M,551.80M,25.50M,,,25.50M,,25.50M,,,29.60M,,29.60M,,,,48.90M,104.00M,141.50M,,141.50M,48.00M,48.00M,,0.80M,26.30M,215.80M,319.80M,4.30M,278.10M,31.70M,77.60M,,,-5.30M,231.20M
1999-09,37.50M,,37.50M,,,74.90M,,,,42.00M,,21.40M,175.80M,,,,,,,486.70M,-264.30M,222.40M,,71.00M,71.00M,,,71.70M,365.10M,540.90M,18.30M,,,18.30M,,18.30M,,,8.20M,,8.20M,,,,57.10M,83.60M,155.40M,,155.40M,39.70M,39.70M,,0.60M,27.00M,222.10M,305.70M,,270.60M,,,,,-36.00M,234.60M
1999-06,39.60M,,39.60M,,,75.20M,,,,40.50M,,21.10M,176.40M,,,,,,,471.70M,-257.20M,214.50M,,71.30M,71.30M,,,67.80M,353.60M,530.00M,19.90M,,,19.90M,,19.90M,,,5.10M,,5.10M,,,,53.20M,78.20M,160.30M,,160.30M,39.30M,39.30M,,0.60M,26.70M,226.30M,304.50M,,276.30M,,,,,,224.90M
1999-03,33.00M,,33.00M,,,68.10M,,,,41.20M,,20.20M,162.50M,,,,,,,464.50M,-251.60M,212.90M,,58.10M,58.10M,,,66.80M,337.80M,500.30M,18.40M,,,18.40M,,18.40M,,,0.70M,,0.70M,,,,48.50M,67.60M,139.60M,,139.60M,39.00M,39.00M,,0.50M,26.30M,204.90M,272.50M,,256.40M,,,,,,227.30M
1998-12,31.30M,,31.30M,,,64.40M,,,,43.50M,,20.50M,159.70M,,,,,,,474.70M,-251.90M,222.80M,,61.20M,61.20M,,,64.40M,348.40M,508.10M,20.80M,,,20.80M,,20.80M,,,36.10M,,36.10M,,,,49.80M,106.70M,105.00M,,105.00M,39.10M,39.10M,,0.60M,26.60M,170.70M,277.40M,4.30M,249.30M,32.90M,63.60M,,,7.20M,230.10M
1998-09,50.00M,,50.00M,,,71.20M,,,,44.80M,,20.30M,186.30M,,,,,,,466.70M,-252.90M,213.80M,,107.30M,107.30M,,,14.30M,335.40M,521.70M,16.20M,,,16.20M,,16.20M,,,17.80M,,17.80M,,,,57.50M,91.50M,94.90M,,94.90M,30.60M,30.60M,,,25.30M,150.80M,242.30M,,241.70M,,,,,,279.40M
1998-06,48.60M,,48.60M,,,69.80M,,,,42.80M,,20.70M,181.90M,,,,,,,444.40M,-238.80M,205.60M,,60.20M,60.20M,,,48.80M,314.60M,496.50M,15.70M,,,15.70M,,15.70M,,,16.40M,,16.40M,,,,43.10M,75.20M,95.20M,,95.20M,30.30M,30.30M,,,24.60M,150.10M,225.30M,,259.30M,,,,,,271.20M
