,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-09,,194.22M,114.21M,308.43M,365.71M,,365.71M,12.86M,54.77M,2.183M,,743.95M,,,,,,,732.45M,-254.23M,478.23M,143.25M,248.78M,392.03M,,17.60M,887.85M,1.632B,,63.81M,63.81M,95.47M,159.28M,,,14.03M,14.03M,92.78M,92.78M,,,266.10M,190.97M,,190.97M,76.24M,,76.24M,1.286M,16.23M,283.45M,549.55M,,0.798M,634.69M,438.36M,,7.126M,,7.126M,1.081B,,,
2007-06,,158.28M,123.57M,281.85M,245.97M,118.69M,364.66M,12.44M,57.20M,2.282M,,718.44M,,,,,,,697.49M,-254.23M,443.26M,143.06M,248.71M,391.76M,,17.40M,852.43M,1.571B,,78.76M,78.76M,76.70M,155.45M,,,14.42M,14.42M,98.56M,98.56M,,,268.43M,183.97M,,183.97M,75.26M,,75.26M,1.286M,16.88M,276.11M,544.54M,,0.794M,598.85M,422.13M,,3.269M,,3.269M,1.025B,,,
2007-03,,146.39M,130.39M,276.78M,358.28M,,358.28M,13.00M,60.88M,5.626M,,714.56M,,,,,,,651.52M,-254.23M,397.29M,142.75M,250.31M,393.06M,,17.64M,807.99M,1.523B,,80.13M,80.13M,85.11M,165.25M,,,19.81M,19.81M,88.24M,88.24M,,,273.29M,187.98M,,187.98M,69.67M,,69.67M,1.286M,17.03M,274.68M,547.97M,,0.791M,567.73M,403.78M,,0.992M,,0.992M,973.29M,,,
2006-12,,162.54M,146.24M,308.78M,361.42M,,361.42M,18.08M,60.32M,2.423M,,751.03M,0.00,,95.43M,516.74M,,,612.17M,-254.23M,357.94M,128.82M,242.22M,371.04M,,16.43M,745.40M,1.496B,,79.74M,79.74M,118.50M,198.23M,,,20.24M,20.24M,93.70M,93.70M,,,312.17M,187.39M,,187.39M,58.73M,,58.73M,1.286M,14.56M,260.68M,572.85M,,0.784M,544.32M,376.60M,,0.60M,,0.60M,922.29M,,,
2006-09,,139.36M,148.08M,287.44M,351.62M,,351.62M,18.11M,51.34M,7.832M,,716.34M,,,,,,,542.45M,-210.67M,331.78M,127.58M,243.33M,370.91M,,13.93M,716.63M,1.433B,,54.72M,54.72M,117.73M,172.45M,,,19.28M,19.28M,89.56M,89.56M,,,281.30M,190.34M,,190.34M,73.36M,,73.36M,1.286M,16.19M,279.89M,561.19M,,0.781M,501.01M,368.16M,,0.542M,,0.542M,870.49M,,,
2006-06,,124.16M,152.53M,276.69M,331.32M,,331.32M,18.07M,50.12M,7.519M,,683.71M,,,,,,,532.56M,-210.67M,321.89M,54.56M,119.04M,173.59M,,194.08M,689.57M,1.373B,,55.63M,55.63M,96.61M,152.24M,,,21.41M,21.41M,90.42M,90.42M,,,264.07M,186.72M,,186.72M,78.78M,,78.78M,1.286M,15.41M,280.91M,544.97M,,0.776M,474.28M,352.06M,,-0.099M,,-0.099M,827.02M,,,
2006-03,,103.89M,174.93M,278.82M,320.44M,,320.44M,12.30M,49.84M,7.338M,,668.74M,,,,,,,519.98M,-210.67M,309.31M,118.14M,58.84M,176.98M,,187.76M,674.06M,1.343B,,58.06M,58.06M,86.72M,144.78M,,,28.57M,28.57M,87.71M,87.71M,,,261.06M,191.56M,,191.56M,74.67M,,74.67M,1.286M,16.42M,282.64M,543.70M,,0.774M,450.41M,341.40M,,5.231M,,5.231M,797.81M,,,
2005-12,,113.06M,161.23M,274.29M,316.96M,,316.96M,9.585M,42.68M,8.109M,,651.63M,0.00,126.20M,69.63M,307.45M,,,503.27M,-210.67M,292.61M,116.14M,60.45M,176.59M,,182.80M,652.00M,1.304B,,65.38M,65.38M,86.08M,151.46M,,,28.74M,28.74M,79.89M,79.89M,,,260.09M,194.26M,,194.26M,72.92M,,72.92M,1.286M,14.53M,281.72M,541.81M,,0.785M,430.26M,325.12M,,4.367M,,4.367M,760.53M,,,
2005-09,,134.19M,,134.19M,316.72M,,316.72M,8.604M,54.44M,,,513.95M,,,,,,,458.10M,-190.08M,268.01M,,181.12M,181.12M,,179.43M,628.56M,1.143B,,54.42M,54.42M,77.29M,131.72M,20.00M,21.92M,41.92M,41.92M,88.24M,104.55M,16.31M,,278.19M,90.04M,,90.04M,71.86M,,71.86M,1.286M,5.374M,167.27M,445.46M,,0.397M,402.89M,313.87M,26.79M,5.39M,,5.39M,695.76M,,,
2005-06,,132.34M,,132.34M,299.67M,,299.67M,11.10M,37.40M,,,480.51M,,,,,,,448.99M,-190.08M,258.91M,,171.02M,171.02M,,173.34M,603.27M,1.084B,,50.00M,50.00M,71.85M,121.85M,40.00M,21.88M,61.88M,61.88M,76.77M,85.15M,8.383M,,268.88M,91.04M,,91.04M,71.85M,,71.85M,1.286M,6.006M,168.90M,437.78M,,0.389M,376.34M,288.81M,26.79M,5.98M,,5.98M,644.72M,,,
2005-03,,126.68M,,126.68M,284.11M,,284.11M,8.29M,36.72M,,,455.80M,,,,,,,424.63M,-190.08M,234.54M,,171.71M,171.71M,,170.31M,576.56M,1.032B,,36.43M,36.43M,69.10M,105.53M,,,22.02M,22.02M,82.49M,82.49M,,,210.05M,130.61M,,130.61M,70.75M,,70.75M,1.286M,5.61M,206.97M,417.02M,,0.384M,356.53M,276.63M,26.79M,7.308M,,7.308M,614.06M,,,
2004-12,,189.78M,,189.78M,282.20M,,282.20M,7.373M,30.12M,,,509.47M,0.00,95.03M,61.19M,264.31M,,,420.52M,-190.08M,230.44M,,235.06M,235.06M,,7.297M,472.79M,982.26M,,37.01M,37.01M,62.45M,99.46M,,,21.91M,21.91M,77.44M,77.88M,0.43M,,199.24M,108.80M,,108.80M,69.86M,,69.86M,1.166M,5.703M,184.37M,383.61M,,0.748M,344.01M,243.96M,,8.77M,,8.77M,597.48M,,,
2004-09,,160.95M,,160.95M,262.38M,,262.38M,10.52M,33.07M,,,466.92M,,,,,,,370.20M,-153.11M,217.09M,,76.02M,76.02M,,157.14M,450.24M,917.16M,,17.16M,17.16M,66.97M,84.13M,,,24.71M,24.71M,60.20M,75.86M,15.65M,,184.70M,110.36M,,110.36M,63.87M,,63.87M,1.166M,1.551M,175.78M,360.48M,,0.378M,322.58M,254.41M,26.79M,4.934M,,4.934M,555.51M,,,
2004-06,,137.22M,,137.22M,258.74M,,258.74M,10.47M,35.21M,,,441.65M,,,,,,,370.76M,-153.11M,217.66M,,75.02M,75.02M,,157.31M,449.99M,891.64M,,20.20M,20.20M,58.09M,78.29M,,,24.72M,24.72M,62.61M,78.14M,15.52M,,181.14M,111.10M,,111.10M,62.85M,,62.85M,1.166M,1.551M,175.50M,356.64M,,0.376M,307.81M,248.39M,26.79M,4.062M,,4.062M,533.84M,,,
2004-03,,141.53M,,141.53M,259.06M,,259.06M,11.88M,33.38M,,,445.86M,,,,,,,364.52M,-153.11M,211.41M,,75.23M,75.23M,,151.74M,438.38M,884.24M,,14.38M,14.38M,59.55M,73.93M,,,23.53M,23.53M,63.24M,78.80M,15.56M,,176.26M,130.53M,,130.53M,61.16M,,61.16M,1.166M,1.945M,193.64M,369.90M,,0.374M,293.49M,241.43M,26.79M,4.669M,,4.669M,513.17M,,,
2003-12,,121.84M,,121.84M,256.57M,,256.57M,12.43M,38.13M,,,428.98M,0.00,104.37M,47.93M,205.76M,,,358.06M,-153.11M,204.95M,,75.61M,75.61M,,149.80M,430.36M,859.34M,,20.75M,20.75M,55.10M,75.85M,,,21.16M,21.16M,64.88M,80.46M,15.59M,,177.48M,124.57M,,124.57M,59.50M,,59.50M,1.166M,1.945M,186.02M,363.49M,,0.371M,279.36M,236.97M,26.79M,4.77M,,4.77M,494.68M,,,
2003-09,,119.80M,,119.80M,252.30M,,252.30M,10.44M,24.68M,,,407.22M,,,,,,,298.68M,-125.52M,173.15M,,68.07M,68.07M,,143.32M,384.55M,791.76M,,29.26M,29.26M,49.78M,79.04M,,,12.24M,12.24M,53.80M,53.80M,,12.92M,158.00M,124.39M,,124.39M,39.91M,,39.91M,1.166M,,164.29M,322.29M,,0.369M,263.16M,230.40M,26.79M,1.099M,0.077M,1.176M,468.31M,,,
2003-06,,121.04M,,121.04M,255.64M,,255.64M,8.551M,25.96M,,,411.18M,,,,,,,280.89M,-125.52M,155.37M,,67.65M,67.65M,,139.11M,362.13M,773.32M,,32.36M,32.36M,51.25M,83.61M,,,12.01M,12.01M,54.62M,54.62M,,5.69M,155.93M,123.90M,,123.90M,39.88M,,39.88M,,,163.78M,319.71M,,0.368M,251.11M,228.03M,26.79M,0.851M,0.038M,0.889M,453.60M,,,
2003-03,,135.04M,,135.04M,173.05M,77.56M,250.61M,8.901M,25.51M,,,420.06M,,,,,,,267.97M,-125.52M,142.44M,,67.58M,67.58M,,132.60M,342.62M,762.68M,,32.40M,32.40M,47.26M,79.67M,,,12.14M,12.14M,45.96M,45.96M,,6.379M,144.15M,135.44M,,135.44M,35.83M,,35.83M,,,171.28M,315.42M,,0.368M,242.16M,227.79M,20.86M,-2.225M,0.019M,-2.206M,447.26M,,,
2002-12,,142.54M,,142.54M,272.67M,,272.67M,9.041M,23.43M,,,447.69M,0.00,59.44M,,158.90M,41.47M,,259.81M,-125.52M,134.28M,,69.09M,69.09M,,128.22M,331.59M,779.28M,,46.82M,46.82M,56.78M,103.60M,,,12.20M,12.20M,45.06M,45.06M,,4.691M,165.55M,136.64M,,136.64M,35.85M,,35.85M,,,172.48M,338.04M,,0.367M,236.57M,226.91M,20.86M,-1.668M,-0.076M,-1.744M,441.24M,,,
2002-09,,88.56M,,88.56M,263.73M,,263.73M,8.185M,20.67M,,,381.14M,,,,,,,235.18M,-107.36M,127.82M,,52.33M,52.33M,,143.60M,323.75M,704.89M,,36.78M,36.78M,,36.78M,,,38.13M,38.13M,33.46M,33.46M,,66.94M,175.30M,78.43M,,78.43M,25.88M,,25.88M,,1.75M,106.07M,281.37M,,0.367M,226.63M,219.23M,20.86M,-1.801M,-0.04M,-1.841M,423.52M,,,
2002-06,,143.39M,,143.39M,250.06M,,250.06M,7.24M,17.33M,,,418.02M,,,,,,,223.66M,-107.36M,116.30M,,53.76M,53.76M,,131.79M,301.85M,719.86M,,30.76M,30.76M,,30.76M,,,38.14M,38.14M,43.16M,43.16M,,89.75M,201.81M,79.70M,,79.70M,25.90M,,25.90M,,2.75M,108.35M,310.16M,,0.367M,212.86M,218.73M,20.86M,-1.385M,-0.01M,-1.395M,409.70M,,,
2002-03,,74.46M,,74.46M,240.68M,,240.68M,7.019M,17.77M,,,339.94M,,,,,,,213.05M,-107.36M,105.69M,,41.95M,41.95M,,239.97M,387.60M,727.54M,,28.03M,28.03M,42.96M,70.99M,,,28.12M,28.12M,51.38M,51.38M,,4.896M,155.38M,91.20M,,91.20M,65.09M,,65.09M,,3.75M,160.04M,315.42M,,0.366M,198.95M,217.19M,20.80M,-1.561M,17.96M,16.40M,412.11M,,,
2001-12,,107.54M,,107.54M,220.20M,,220.20M,5.834M,14.10M,,,347.68M,0.00,70.39M,,131.68M,,,202.07M,-107.36M,94.70M,,41.89M,41.89M,,228.03M,364.63M,712.30M,,20.94M,20.94M,51.09M,72.04M,,,27.19M,27.19M,53.30M,58.96M,5.661M,,158.19M,92.13M,,92.13M,62.39M,,62.39M,,4.75M,159.28M,317.46M,,0.366M,188.55M,216.81M,20.80M,-2.095M,12.01M,9.911M,394.84M,,,
2001-09,,95.97M,,95.97M,202.69M,,202.69M,3.557M,13.25M,,,315.46M,,,,,,,176.09M,-84.56M,91.53M,,23.99M,23.99M,,180.46M,295.98M,611.44M,,24.79M,24.79M,38.62M,63.41M,,,12.10M,12.10M,39.44M,58.14M,18.70M,,133.65M,92.40M,,92.40M,40.60M,,40.60M,,7.462M,140.46M,274.11M,,0.362M,177.50M,196.22M,20.80M,-1.409M,-14.55M,-15.96M,337.33M,,,
2001-06,,98.16M,,98.16M,192.62M,,192.62M,1.008M,13.10M,,,304.88M,,,,,,,170.74M,-84.56M,86.18M,,20.10M,20.10M,,218.01M,324.29M,629.18M,,27.89M,27.89M,32.94M,60.83M,,,0.054M,0.054M,34.03M,34.03M,,12.62M,107.53M,104.59M,,104.59M,55.22M,,55.22M,,8.525M,168.33M,275.86M,,0.361M,168.26M,195.17M,20.80M,-1.121M,11.44M,10.32M,353.32M,,,
2001-03,,89.41M,,89.41M,180.81M,,180.81M,2.041M,9.197M,,,281.46M,,,,,,,166.18M,-84.56M,81.62M,,21.24M,21.24M,,195.48M,298.35M,579.81M,,15.10M,15.10M,30.35M,45.45M,,,0.056M,0.056M,32.74M,32.74M,,12.35M,90.59M,101.64M,,101.64M,46.76M,,46.76M,,9.587M,157.98M,248.57M,,0.36M,237.24M,193.41M,20.80M,-1.516M,-77.46M,-78.97M,331.24M,,,
2000-12,,90.89M,,90.89M,,,188.04M,2.174M,,,7.393M,288.50M,,,,,,,166.79M,-84.56M,82.23M,,22.23M,22.23M,,223.45M,327.92M,616.41M,,20.53M,20.53M,,20.53M,,,0.072M,0.072M,,,,81.71M,102.32M,102.30M,,102.30M,57.43M,,57.43M,,10.65M,170.38M,272.69M,,0.36M,230.92M,192.72M,20.80M,-0.743M,-58.73M,-59.48M,343.72M,,,
2000-09,,78.20M,,78.20M,,,161.43M,0.876M,,,5.718M,246.22M,,,,,,,150.46M,-71.83M,78.63M,,18.28M,18.28M,,381.01M,477.93M,724.15M,,21.82M,21.82M,,21.82M,,,0.083M,0.083M,,,,69.93M,91.83M,100.02M,,100.02M,101.39M,,101.39M,,14.06M,215.47M,307.30M,,0.358M,248.77M,186.54M,20.80M,,,1.983M,416.85M,,,
2000-06,,89.29M,,89.29M,,,146.85M,0.83M,,,5.233M,242.20M,,,,,,,368.82M,-291.74M,77.08M,,7.894M,7.894M,,332.89M,417.86M,660.07M,,17.48M,17.48M,,17.48M,,,,,,,,70.02M,87.50M,100.01M,,100.01M,85.46M,,85.46M,,15.12M,200.60M,288.09M,,0.351M,125.43M,169.20M,20.80M,-0.282M,98.07M,97.79M,371.98M,,,
2000-03,,93.67M,,93.67M,,,148.76M,1.091M,,,4.268M,247.79M,,,,,,,142.23M,-65.48M,76.75M,,7.106M,7.106M,,396.21M,480.06M,727.86M,,21.65M,21.65M,,21.65M,,,,,,,,55.90M,77.55M,100.00M,,100.00M,115.97M,,115.97M,,15.00M,230.97M,308.52M,,0.35M,128.04M,167.64M,20.80M,,,144.10M,419.34M,,,
1999-12,,75.70M,,75.70M,,,161.20M,1.30M,,,4.20M,242.40M,,,,,,,141.10M,-63.20M,77.90M,,7.50M,7.50M,,333.10M,418.50M,660.90M,,20.30M,20.30M,,20.30M,,,,,,,,52.10M,72.40M,100.00M,,100.00M,93.60M,,93.60M,,16.00M,209.60M,282.00M,,0.30M,125.70M,166.70M,20.80M,,,107.00M,378.90M,,,
1999-09,,72.00M,,72.00M,,,164.40M,2.50M,,,4.70M,243.60M,,,,,,,135.90M,-59.10M,76.80M,,7.80M,7.80M,,250.80M,335.40M,579.00M,,10.00M,10.00M,,10.00M,,,,,,,,62.20M,72.20M,100.00M,,100.00M,60.10M,,60.10M,,17.00M,177.10M,249.30M,,0.30M,129.20M,165.70M,20.80M,,,55.20M,329.70M,,,
1999-06,,82.10M,,82.10M,,,155.30M,2.60M,,,4.80M,244.80M,,,,,,,128.30M,-49.70M,78.60M,,8.20M,8.20M,,221.10M,307.90M,552.70M,,11.80M,11.80M,,11.80M,,,,,,,,60.70M,72.50M,100.00M,,100.00M,49.20M,,49.20M,,18.00M,167.20M,239.70M,,,128.50M,,,,,,313.00M,,,
1999-03,,34.90M,,34.90M,,,165.90M,2.60M,,,4.00M,207.40M,,,,,,,129.10M,-53.20M,75.90M,,8.60M,8.60M,,136.90M,221.40M,428.80M,,15.20M,15.20M,,15.20M,,,5.00M,5.00M,,,,66.50M,86.70M,25.00M,,25.00M,22.70M,,22.70M,,20.00M,67.70M,154.40M,,,129.70M,,,,,,274.40M,,,
1998-12,,42.70M,,42.70M,,,167.40M,2.70M,,,4.10M,216.90M,,,,,,,127.00M,-49.70M,77.30M,,8.90M,8.90M,,133.40M,219.60M,436.50M,,14.10M,14.10M,,14.10M,,,5.00M,5.00M,,,,79.10M,98.20M,25.00M,,25.00M,22.10M,,22.10M,,20.10M,67.20M,165.40M,,,126.90M,,,,,,271.10M,,,
1998-09,,43.60M,,43.60M,,,156.70M,2.10M,,,4.60M,207.00M,,,,,,,114.60M,-43.30M,71.30M,,9.20M,9.20M,,60.80M,141.30M,348.30M,,7.80M,7.80M,,7.80M,,,,,,,,44.60M,52.40M,30.00M,,30.00M,18.50M,,18.50M,,,48.50M,100.90M,,,118.70M,,,,,,247.40M,,,
1998-06,,52.00M,,52.00M,,,149.20M,1.90M,,,4.50M,207.60M,,,,,,,112.50M,-43.30M,69.20M,,8.60M,8.60M,,57.80M,135.60M,343.20M,,10.60M,10.60M,,10.60M,,,,,,,,44.80M,55.40M,30.00M,,30.00M,17.00M,,17.00M,,0.10M,47.10M,102.50M,,,112.30M,,,,,,240.70M,,,
1998-03,,62.20M,,62.20M,,,137.80M,1.90M,,,4.20M,206.10M,,,,,,,99.20M,-31.30M,67.90M,,8.20M,8.20M,,54.40M,130.50M,336.60M,,13.40M,13.40M,,13.40M,,,,,,,,43.60M,57.00M,30.00M,,30.00M,14.50M,,14.50M,,,44.50M,101.50M,,,106.90M,,,,,,235.10M,,,
1997-12,,77.50M,,77.50M,,,125.50M,1.70M,,,3.70M,208.40M,,,,,,,101.70M,-36.00M,65.70M,,6.40M,6.40M,,51.30M,123.40M,331.80M,,11.30M,11.30M,,11.30M,,,,,,,,40.20M,51.50M,30.00M,,30.00M,16.50M,,16.50M,,0.10M,46.60M,98.10M,,,106.30M,,,,,,233.70M,,,
1997-09,,97.40M,,97.40M,,,106.90M,2.00M,,,2.60M,208.90M,,,,,,,98.10M,-33.70M,64.40M,,3.60M,3.60M,,50.30M,118.30M,327.20M,,7.80M,7.80M,,7.80M,,,,,,,,38.30M,46.10M,30.00M,,30.00M,12.80M,,12.80M,,,42.80M,88.90M,,,100.80M,,,,,,238.30M,,,
1997-06,,100.50M,,100.50M,,,105.80M,1.80M,,,2.00M,210.10M,,,,,,,98.60M,-33.70M,64.90M,,3.70M,3.70M,,48.80M,117.40M,327.50M,,15.60M,15.60M,,15.60M,,,,,,,,35.60M,51.20M,30.00M,,30.00M,12.80M,,12.80M,,,42.80M,94.00M,,,96.40M,,,,,,233.50M,,,
1997-03,,107.50M,,107.50M,,,99.10M,1.50M,,,2.20M,210.30M,,,,,,,92.10M,-31.30M,60.80M,,3.80M,3.80M,,40.60M,105.20M,315.50M,,8.70M,8.70M,,8.70M,,,0.10M,0.10M,,,,33.30M,42.10M,30.00M,,30.00M,12.80M,,12.80M,,,42.80M,84.90M,,,93.10M,,,,,,230.60M,,,
1996-12,,110.90M,,110.90M,96.20M,,96.20M,1.60M,,,3.70M,212.40M,,,,,,,89.40M,-29.40M,60.00M,,4.00M,4.00M,,38.40M,102.40M,314.80M,,9.30M,9.30M,,9.30M,,,0.10M,0.10M,,,,31.80M,41.20M,30.00M,,30.00M,12.80M,,12.80M,,0.10M,42.90M,84.10M,,,91.10M,,,,,,230.70M,,,
1996-09,,110.20M,,110.20M,,,93.10M,3.20M,,,2.90M,209.40M,,,,,,,81.60M,-21.40M,60.20M,,4.10M,4.10M,,35.20M,99.50M,308.90M,,11.80M,11.80M,,11.80M,,,0.10M,0.10M,,,,28.20M,40.10M,30.00M,,30.00M,9.90M,,9.90M,,,39.90M,80.00M,,,89.60M,,,,,,228.90M,,,
1996-06,,110.20M,,110.20M,,,99.50M,3.70M,,,2.70M,216.10M,,,,,,,81.10M,-21.40M,59.70M,,4.20M,4.20M,,32.50M,96.40M,312.50M,,14.30M,14.30M,,14.30M,,,0.10M,0.10M,,,,30.60M,45.00M,30.00M,,30.00M,9.60M,,9.60M,,0.10M,39.70M,84.70M,,,88.80M,,,,,,227.80M,,,
1996-03,,114.20M,,114.20M,,,101.30M,4.00M,,,5.00M,224.50M,,,,,,,78.70M,-21.40M,57.30M,,4.40M,4.40M,,30.60M,92.30M,316.80M,,18.30M,18.30M,,18.30M,,,0.10M,0.10M,,,,32.90M,51.30M,30.10M,,30.10M,9.60M,,9.60M,,-0.10M,39.60M,90.90M,,,87.10M,,,,,,225.90M,,,
1995-12,,112.10M,,112.10M,,,98.20M,2.20M,,,4.40M,216.90M,,,,,,,75.10M,-21.40M,53.70M,,4.40M,4.40M,,28.90M,87.00M,303.90M,,14.90M,14.90M,,14.90M,,,0.10M,0.10M,,,,27.80M,42.80M,30.10M,,30.10M,9.60M,,9.60M,,,39.70M,82.50M,,,82.90M,,,,,,221.40M,,,
1995-09,,118.10M,,118.10M,,,77.60M,2.00M,,,2.30M,200.00M,,,,,,,68.90M,-18.70M,50.20M,,5.90M,5.90M,,28.70M,84.80M,284.80M,,12.00M,12.00M,,12.00M,,,0.10M,0.10M,,,,22.00M,34.10M,30.10M,,30.10M,10.80M,,10.80M,,,40.90M,75.00M,,,74.60M,,,,,,209.80M,,,
1995-06,,18.50M,,18.50M,,,75.10M,2.50M,,,1.40M,97.50M,,,,,,,65.80M,-18.70M,47.10M,,6.10M,6.10M,,28.30M,81.50M,179.00M,,13.90M,13.90M,,13.90M,,,0.10M,0.10M,,,,24.30M,38.30M,32.80M,,32.80M,10.80M,,10.80M,,,43.60M,81.90M,,,71.10M,,,,,,97.10M,,,
1995-03,,16.40M,,16.40M,,,69.70M,1.70M,,,1.10M,88.90M,,,,,,,60.90M,-17.30M,43.60M,,6.10M,6.10M,,25.70M,75.40M,164.30M,,11.30M,11.30M,,11.30M,,,0.10M,0.10M,,,,19.90M,31.30M,31.50M,,31.50M,10.80M,,10.80M,,-0.10M,42.20M,73.50M,,,64.90M,,,,,,90.80M,,,
1994-12,,15.30M,,15.30M,,,65.10M,2.20M,,,1.10M,83.70M,,,,,,,56.90M,-15.80M,41.10M,,6.40M,6.40M,,25.20M,72.70M,156.40M,,13.50M,13.50M,,13.50M,,,0.20M,0.20M,,,,17.60M,31.30M,30.20M,,30.20M,9.10M,,9.10M,,,39.30M,70.60M,,,60.40M,,,,,,85.80M,,,
1994-09,,16.00M,,16.00M,,,60.60M,1.30M,,,1.00M,78.90M,,,,,,,49.80M,-12.00M,37.80M,,7.40M,7.40M,,19.20M,64.40M,143.30M,,12.70M,12.70M,,12.70M,,,0.70M,0.70M,,,,16.10M,29.50M,30.00M,,30.00M,5.80M,,5.80M,,-0.10M,35.70M,65.20M,,,53.80M,,,,,,78.10M,,,
1994-06,,17.30M,,17.30M,,,57.70M,1.80M,,,1.60M,78.40M,,,,,,,47.80M,-12.00M,35.80M,,7.80M,7.80M,,17.50M,61.10M,139.50M,,14.50M,14.50M,,14.50M,,,1.00M,1.00M,,,,15.50M,31.00M,30.00M,,30.00M,5.80M,,5.80M,,-0.10M,35.70M,66.70M,,,48.80M,,,,,,72.80M,,,
1994-03,,15.80M,,15.80M,,,48.90M,1.20M,,,0.90M,66.80M,,,,,,,26.90M,-12.00M,14.90M,,8.10M,8.10M,,16.50M,39.50M,106.30M,,10.30M,10.30M,,10.30M,,,1.50M,1.50M,,,,11.10M,22.90M,10.30M,,10.30M,5.80M,,5.80M,,-0.10M,16.00M,38.90M,,,43.90M,,,,,,67.40M,,,
1993-12,,16.80M,,16.80M,,,46.40M,1.00M,,,3.00M,67.20M,,,,,,,25.80M,-12.00M,13.80M,,8.60M,8.60M,,15.30M,37.70M,104.90M,,11.50M,11.50M,,11.50M,,,1.50M,1.50M,,,,11.60M,24.60M,10.40M,,10.40M,5.80M,,5.80M,,-0.10M,16.10M,40.70M,,,40.90M,,,,,,64.20M,,,
1993-09,,17.20M,,17.20M,,,37.90M,1.60M,,,1.00M,57.70M,,,,,,,19.90M,-8.50M,11.40M,,,,,13.70M,25.10M,82.80M,,9.40M,9.40M,,9.40M,,,3.20M,3.20M,,,,11.00M,23.60M,5.40M,,5.40M,4.30M,,4.30M,,,9.70M,33.30M,,,36.20M,,,,,,49.50M,,,
1993-06,,15.70M,,15.70M,,,34.50M,1.60M,,,0.90M,52.70M,,,,,,,18.70M,-8.50M,10.20M,,,,,12.80M,23.00M,75.70M,,8.50M,8.50M,,8.50M,,,2.30M,2.30M,,,,9.10M,19.90M,6.40M,,6.40M,4.30M,,4.30M,,,10.70M,30.60M,,,32.20M,,,,,,45.10M,,,
1993-03,,13.40M,,13.40M,,,31.60M,2.60M,,,0.90M,48.50M,,,,,,,17.90M,-8.50M,9.40M,,,,,12.20M,21.60M,70.10M,,7.20M,7.20M,,7.20M,,,1.40M,1.40M,,,,8.50M,17.10M,7.30M,,7.30M,4.30M,,4.30M,,,11.60M,28.70M,,,28.90M,,,,,,41.40M,,,
1992-12,,13.70M,,13.70M,,,29.40M,1.80M,,,1.00M,45.90M,,,,,,,17.70M,-8.50M,9.20M,,,,,11.60M,20.80M,66.70M,,8.10M,8.10M,,8.10M,,,0.50M,0.50M,,,,6.80M,15.40M,8.30M,,8.30M,4.30M,,4.30M,,0.10M,12.70M,28.10M,,,26.30M,,,,,,38.60M,,,
1992-09,,8.90M,,8.90M,,,34.80M,4.60M,,,1.00M,49.30M,,,,,,,14.70M,-6.40M,8.30M,,,,,11.00M,19.30M,68.60M,,12.50M,12.50M,,12.50M,,,3.00M,3.00M,,,,8.90M,24.40M,6.50M,,6.50M,3.40M,,3.40M,,,9.90M,34.30M,,,23.00M,,,,,,34.30M,,,
1992-06,,9.60M,,9.60M,,,32.20M,3.30M,,,0.90M,46.00M,,,,,,,14.80M,-6.40M,8.40M,,,,,10.60M,19.00M,65.00M,,11.30M,11.30M,,11.30M,,,2.80M,2.80M,,,,8.80M,22.90M,7.40M,,7.40M,3.40M,,3.40M,,,10.80M,33.70M,,,20.00M,,,,,,31.30M,,,
1992-03,,10.40M,,10.40M,,,24.70M,1.80M,,,0.70M,37.60M,,,,,,,13.60M,-6.40M,7.20M,,,,,10.40M,17.60M,55.20M,,5.90M,5.90M,,5.90M,,,1.10M,1.10M,,,,7.70M,14.70M,7.80M,,7.80M,3.50M,,3.50M,,0.10M,11.40M,26.10M,,,17.80M,,,,,,29.10M,,,
1991-12,,8.70M,,8.70M,,,29.30M,1.50M,,,0.20M,39.70M,,,,,,,12.80M,-6.40M,6.40M,,,,,10.10M,16.50M,56.20M,,11.10M,11.10M,,11.10M,,,0.40M,0.40M,,,,5.60M,17.10M,8.00M,,8.00M,3.50M,,3.50M,,0.10M,11.60M,28.70M,,,16.40M,,,,,,27.50M,,,
