,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-06,180.57M,180.57M,115.83M,64.74M,,,12.30M,31.57M,,4.328M,,,,43.87M,20.87M,,,,4.328M,,23.83M,9.136M,14.69M,,14.69M,12.02M,34.69M,13.82M,20.87M,,0.0256,0.00,,,0.0209,0.0256,,0.0244,0.00,,,0.0199,0.0244,,567.07M,599.65M,,,,
2002-03,175.28M,175.28M,114.86M,60.42M,,,12.04M,29.69M,,0.011M,,,,41.74M,18.68M,,,,0.011M,,17.17M,6.767M,10.40M,,10.40M,10.40M,32.03M,13.35M,18.68M,,0.0181,0.00,,,0.0181,0.0181,,0.0175,0.00,,,0.0175,0.0175,,566.03M,595.41M,,,,
2001-12,151.79M,151.79M,95.91M,55.87M,,,9.86M,26.28M,,0.00,,,,36.14M,19.73M,,,,0.00,,18.27M,7.222M,11.05M,,11.05M,11.05M,30.53M,10.80M,19.73M,,0.0395,,,,0.0395,0.0395,,0.0395,,,,0.0395,0.0395,,283.13M,283.13M,,,,
2001-09,139.84M,139.84M,87.53M,52.31M,,,9.99M,25.53M,,,,,,35.52M,16.79M,,,,,,15.46M,6.217M,9.242M,,9.242M,9.242M,29.72M,12.93M,16.79M,,0.0162,0.00,,,0.0162,0.0162,,0.0156,0.00,,,0.0156,0.0156,,559.41M,559.41M,,,,
2001-06,129.99M,129.99M,83.05M,46.94M,,,8.982M,24.37M,,-120.04M,,,,33.35M,13.59M,,,,-120.04M,,-107.47M,-38.49M,-68.98M,,-68.98M,8.066M,25.45M,11.86M,13.59M,,-0.2475,0.00,,,0.0288,-0.2475,,-0.2475,0.00,,,0.0288,-0.2475,,278.85M,278.85M,,,,
2001-03,121.00M,121.00M,75.89M,45.10M,,,9.673M,24.00M,,-0.385M,,,,33.68M,11.42M,,,,-0.385M,,10.43M,4.10M,6.328M,,6.328M,6.562M,23.15M,11.72M,11.42M,,0.0225,0.00,,,0.0233,0.0225,,0.0212,0.00,,,0.0220,0.0212,,278.36M,294.12M,,,,
2000-12,93.07M,93.07M,65.12M,27.95M,,,16.97M,21.78M,,-5.278M,,,,49.22M,-21.27M,,,,-5.278M,,-27.50M,-9.645M,-17.85M,,-17.85M,-14.42M,-10.80M,10.47M,-21.27M,,-0.0688,0.00,,,-0.0565,-0.0688,,-0.07,0.00,,,-0.0585,-0.07,,279.29M,297.40M,,,,
2000-09,104.32M,104.32M,57.14M,47.19M,,,10.51M,19.06M,,188.65M,,,,39.32M,7.871M,,,,188.65M,,195.59M,72.25M,123.34M,,123.34M,4.373M,17.61M,9.743M,7.871M,,0.4512,0.00,,,0.0163,0.4512,,0.4312,0.00,,,0.0154,0.4312,,273.50M,286.06M,,,,
2000-06,93.50M,93.50M,52.27M,41.23M,,,6.651M,18.06M,,-6.687M,,,,33.66M,7.567M,,,,-6.687M,,0.044M,2.657M,-2.613M,,-2.613M,1.399M,16.53M,8.959M,7.567M,,-0.005,0.00,,,0.0024,-0.005,,-0.005,0.00,,,0.0024,-0.005,,541.28M,541.28M,,,,
2000-03,80.60M,80.60M,46.89M,33.71M,,,6.935M,19.53M,,6.506M,,,,35.28M,-1.571M,,,,6.506M,,3.986M,1.594M,2.392M,,2.392M,-1.512M,7.244M,8.815M,-1.571M,,0.0044,0.00,,,-0.0028,0.0044,,0.0044,0.00,,,-0.0027,0.0044,,540.45M,555.15M,,,,
1999-12,89.70M,89.70M,-48.96M,138.66M,,,148.20M,18.36M,,,,,,143.46M,-4.802M,,,,,,-5.898M,-2.282M,-3.616M,,-3.611M,-3.616M,3.486M,8.288M,-4.802M,,-0.0134,,,0.0000,-0.0134,-0.0134,,-0.0134,,,0.0000,-0.0134,-0.0134,,269.85M,269.85M,,,,
1999-09,80.90M,80.90M,45.90M,35.00M,,,7.20M,18.20M,,,,,,32.90M,2.10M,,,,,,1.20M,0.50M,0.70M,,0.70M,0.70M,9.60M,7.50M,2.10M,,0.0012,0.00,,,0.0012,0.0012,,0.0012,0.00,,,0.0012,0.0012,,268.98M,268.98M,,,,
1999-06,82.80M,82.80M,48.10M,34.70M,,,6.80M,18.50M,,,,,,33.30M,1.40M,,,,,,0.50M,0.20M,0.30M,,-1.10M,0.30M,9.40M,8.00M,1.40M,,0.0006,-0.0025,,-0.0052,0.0006,-0.0019,,0.0006,-0.0025,,-0.0052,0.0006,-0.0019,,268.96M,268.96M,,,,
1999-03,86.70M,86.70M,50.10M,36.60M,,,6.70M,17.50M,,,,,,31.80M,4.80M,,,,,,4.50M,1.70M,2.80M,,2.80M,2.80M,12.40M,7.60M,4.80M,,0.005,0.00,,,0.005,0.005,,0.005,0.00,,,0.005,0.005,,268.80M,268.80M,,,,
1998-12,86.50M,86.50M,52.00M,34.50M,,,6.90M,16.00M,,8.70M,,,,29.80M,4.70M,,,,8.70M,,13.30M,5.10M,8.20M,,8.20M,2.836M,11.60M,6.90M,4.70M,,0.0306,,,,0.0106,0.0306,,0.0306,,,,0.0106,0.0306,,267.78M,267.78M,,,,
1998-09,82.80M,82.80M,43.90M,38.90M,,,6.50M,15.60M,,,,,,28.60M,10.30M,,,,,,10.10M,3.80M,6.30M,,6.30M,6.30M,16.80M,6.50M,10.30M,,0.0119,0.00,,,0.0119,0.0119,,0.0119,0.00,,,0.0119,0.0119,,262.30M,262.30M,,,,
1998-06,79.20M,79.20M,43.20M,36.00M,,,6.50M,14.50M,,-0.10M,,,,27.10M,8.90M,,,,-0.10M,,8.80M,3.40M,5.40M,,5.40M,5.461M,15.00M,6.10M,8.90M,,0.01,0.00,,,0.0102,0.01,,0.01,0.00,,,0.0102,0.01,,262.06M,262.06M,,,,
1998-03,73.70M,73.70M,42.10M,31.60M,,,6.00M,13.70M,,-4.80M,,,,25.60M,6.00M,,,,-4.80M,,1.10M,0.40M,0.70M,,0.70M,3.755M,11.90M,5.90M,6.00M,,0.0012,0.00,,,0.0129,0.0012,,0.0012,0.00,,,0.0129,0.0012,,261.70M,261.70M,,,,
1997-12,69.90M,69.90M,38.30M,31.60M,,,6.90M,11.80M,,0.60M,,,,23.40M,8.20M,,,,0.60M,,8.60M,3.20M,5.40M,,5.40M,5.023M,12.90M,4.70M,8.20M,,0.0207,,,,0.0193,0.0207,,0.0207,,,,0.0193,0.0207,,260.92M,260.92M,,,,
1997-09,60.80M,60.80M,31.80M,29.00M,,,5.50M,12.00M,,0.50M,,,,22.20M,6.80M,,,,0.50M,,7.20M,2.80M,4.40M,,4.40M,4.094M,11.50M,4.70M,6.80M,,0.0081,0.00,,,0.0070,0.0081,,0.0081,0.00,,,0.0070,0.0081,,263.35M,263.35M,,,,
1997-06,63.30M,63.30M,37.70M,25.60M,,,5.50M,10.60M,,0.60M,,,,20.70M,4.90M,,,,0.60M,,5.50M,2.20M,3.30M,,3.30M,2.94M,9.50M,4.60M,4.90M,,0.0062,0.00,,,0.0049,0.0062,,0.0062,0.00,,,0.0049,0.0062,,263.35M,263.35M,,,,
1997-03,51.10M,51.10M,29.70M,21.40M,,,5.20M,9.60M,,0.60M,,,,18.90M,2.50M,,,,0.60M,,3.10M,1.20M,1.90M,,1.90M,1.532M,6.60M,4.10M,2.50M,,0.0038,0.00,,,0.0024,0.0038,,0.0038,0.00,,,0.0024,0.0038,,262.86M,262.86M,,,,
1996-12,46.40M,46.40M,62.80M,-16.40M,,,4.80M,,,3.00M,,,,-18.10M,1.70M,,,,3.00M,,2.30M,0.70M,1.60M,,1.60M,-0.4870M,5.30M,3.60M,1.70M,,0.0061,,,,-0.0019,0.0061,,0.0061,,,,-0.0019,0.0061,,263.13M,263.13M,,,,
1996-09,43.40M,43.40M,25.00M,18.40M,,,4.20M,9.20M,,0.50M,,,,18.00M,0.40M,,,,0.50M,,0.90M,0.10M,0.80M,,0.80M,0.3556M,5.00M,4.60M,0.40M,,0.0012,0.00,,,-0.0004,0.0012,,0.0012,0.00,,,-0.0004,0.0012,,267.86M,267.86M,,,,
1996-06,46.70M,46.70M,27.20M,19.50M,,,4.90M,8.70M,,0.60M,,,,17.30M,2.20M,,,,0.60M,,2.80M,1.10M,1.70M,,1.70M,1.336M,5.90M,3.70M,2.20M,,0.0031,0.00,,,0.0017,0.0031,,0.0031,0.00,,,0.0017,0.0031,,261.47M,261.47M,,,,
1996-03,52.60M,52.60M,29.30M,23.30M,,,4.90M,8.50M,,0.70M,,,,17.00M,6.30M,,,,0.70M,,6.90M,2.70M,4.20M,,4.20M,3.774M,9.90M,3.60M,6.30M,,0.0081,0.00,,,0.0065,0.0081,,0.0081,0.00,,,0.0065,0.0081,,260.38M,260.38M,,,,
1995-12,53.00M,53.00M,24.90M,28.10M,,,5.10M,7.70M,,,,,,15.50M,12.60M,,,,,,13.40M,5.10M,8.30M,,8.30M,8.30M,15.30M,2.70M,12.60M,,0.0319,,,,0.0319,0.0319,,0.0319,,,,0.0319,0.0319,,259.91M,259.91M,,,,
1995-09,41.70M,41.70M,21.00M,20.70M,,,4.40M,7.40M,,0.30M,,,,15.20M,5.50M,,,,0.30M,,5.80M,2.30M,3.50M,,3.50M,3.319M,8.90M,3.40M,5.50M,,0.0069,0.00,,,0.0062,0.0069,,0.0069,0.00,,,0.0062,0.0069,,259.91M,259.91M,,,,
1995-06,49.00M,49.00M,24.00M,25.00M,,,3.70M,7.40M,,,,,,14.10M,10.90M,,,,,,10.30M,4.10M,6.20M,,6.20M,6.20M,13.90M,3.00M,10.90M,,0.0034,0.00,,,0.0034,0.0034,,0.0034,0.00,,,0.0034,0.0034,,226.37M,226.37M,,,,
1995-03,43.20M,43.20M,20.20M,23.00M,,,4.00M,7.60M,,,,,,14.70M,8.30M,,,,,,7.80M,3.30M,4.50M,,4.50M,4.50M,11.40M,3.10M,8.30M,,0.0047,0.00,,,0.0047,0.0047,,0.0047,0.00,,,0.0047,0.0047,,226.37M,226.37M,,,,
1994-12,44.70M,44.70M,28.70M,16.00M,,,17.80M,,,,,,,4.40M,11.60M,,,,,,11.10M,4.60M,6.50M,,6.50M,6.50M,14.50M,2.90M,11.60M,,0.0290,,,,0.0290,0.0290,,0.0290,,,,0.0290,0.0290,,223.97M,223.97M,,,,
1994-09,40.90M,40.90M,17.60M,23.30M,,,6.40M,5.90M,,,,,,14.70M,8.60M,,,,,,8.40M,3.30M,5.10M,,5.10M,5.10M,11.20M,2.60M,8.60M,,0.0053,0.00,,,0.0053,0.0053,,0.0053,0.00,,,0.0053,0.0053,,223.15M,223.15M,,,,
1994-06,39.80M,39.80M,17.30M,22.50M,,,6.20M,5.40M,,,,,,13.90M,8.60M,,,,,,8.30M,3.40M,4.90M,,4.90M,4.90M,10.90M,2.20M,8.60M,,0.0053,0.00,,,0.0053,0.0053,,0.0053,0.00,,,0.0053,0.0053,,221.66M,221.66M,,,,
1994-03,30.50M,30.50M,12.80M,17.70M,,,5.50M,5.10M,,,,,,13.00M,4.70M,,,,,,4.70M,1.70M,3.00M,,3.00M,3.00M,7.10M,2.40M,4.70M,,0.0031,0.00,,,0.0031,0.0031,,0.0031,0.00,,,0.0031,0.0031,,218.72M,218.72M,,,,
1993-12,30.90M,30.90M,19.50M,11.40M,,,5.30M,,,,,,,7.30M,4.10M,,,,,,7.50M,2.80M,4.70M,,4.70M,4.70M,6.10M,2.00M,4.10M,,0.0216,,,,0.0216,0.0216,,0.0216,,,,0.0216,0.0216,,217.73M,217.73M,,,,
1993-09,32.30M,32.30M,19.70M,12.60M,,,4.20M,,,,,,,5.70M,6.90M,,,,,,6.80M,2.70M,4.10M,,4.10M,4.10M,8.40M,1.50M,6.90M,,0.0044,0.00,,,0.0044,0.0044,,0.0044,0.00,,,0.0044,0.0044,,212.66M,212.66M,,,,
1993-06,29.80M,29.80M,18.80M,11.00M,,,4.00M,,,,,,,5.50M,5.50M,,,,,,5.60M,2.30M,3.30M,,3.30M,3.30M,7.00M,1.50M,5.50M,,0.0038,0.00,,,0.0038,0.0038,,0.0038,0.00,,,0.0038,0.0038,,209.25M,209.25M,,,,
1993-03,24.10M,24.10M,15.00M,9.10M,,,3.50M,,,,,,,4.90M,4.20M,,,,,,4.40M,1.80M,2.60M,,2.60M,2.60M,5.60M,1.40M,4.20M,,0.0028,0.00,,,0.0028,0.0028,,0.0028,0.00,,,0.0028,0.0028,,206.70M,206.70M,,,,
1992-12,24.00M,24.00M,17.20M,6.80M,,,2.50M,,,,,,,4.00M,2.80M,,,,,,5.60M,2.30M,3.30M,,3.30M,3.30M,4.30M,1.50M,2.80M,,0.0161,,,,0.0161,0.0161,,0.0161,,,,0.0161,0.0161,,205.26M,205.26M,,,,
1992-09,27.80M,27.80M,18.10M,9.70M,,,3.50M,,,,,,,4.80M,4.90M,,,,,,4.90M,1.90M,3.00M,,3.00M,3.00M,6.20M,1.30M,4.90M,,0.0017,0.00,,,0.0017,0.0017,,0.0017,0.00,,,0.0017,0.0017,,204.51M,204.51M,,,,
1992-06,26.30M,26.30M,17.90M,8.40M,,,3.30M,,,,,,,4.70M,3.70M,,,,,,3.60M,1.40M,2.20M,,2.20M,2.20M,5.10M,1.40M,3.70M,,0.0012,0.00,,,0.0012,0.0012,,0.0012,0.00,,,0.0012,0.0012,,203.26M,203.26M,,,,
1992-03,20.20M,20.20M,13.60M,6.60M,,,3.00M,,,,,,,4.10M,2.50M,,,,,,2.40M,0.90M,1.50M,,1.50M,1.50M,3.60M,1.10M,2.50M,,0.0005,0.00,,,0.0005,0.0005,,0.0005,0.00,,,0.0005,0.0005,,202.99M,202.99M,,,,
1991-12,23.70M,23.70M,-3.00M,26.70M,,,24.70M,,,,,,,25.60M,1.10M,,,,,,3.40M,1.30M,2.10M,,2.10M,2.10M,2.00M,0.90M,1.10M,,0.0104,,,,0.0104,0.0104,,0.0104,,,,0.0104,0.0104,,202.18M,202.18M,,,,
1991-09,18.30M,18.30M,13.50M,4.80M,,,1.90M,,,,,,,2.80M,2.00M,,,,,,1.90M,0.70M,1.20M,,1.20M,1.20M,3.00M,1.00M,2.00M,,0.0004,0.00,,,0.0004,0.0004,,0.0004,0.00,,,0.0004,0.0004,,201.68M,201.68M,,,,
1991-06,18.10M,18.10M,13.70M,4.40M,,,1.60M,,,,,,,2.50M,1.90M,,,,,,1.70M,0.70M,1.00M,,1.00M,1.00M,2.80M,0.90M,1.90M,,0.0003,0.00,,,0.0003,0.0003,,0.0003,0.00,,,0.0003,0.0003,,201.31M,201.31M,,,,
1991-03,14.90M,14.90M,6.70M,8.20M,,,6.60M,,,,,,,7.40M,0.80M,,,,,,0.70M,0.30M,0.40M,,0.40M,0.40M,1.60M,0.80M,0.80M,,0.0002,0.00,,,0.0002,0.0002,,0.0002,0.00,,,0.0002,0.0002,,201.26M,201.26M,,,,
1990-12,14.20M,14.20M,14.80M,-0.60M,,,-1.40M,,,,,,,-0.60M,0.00,,,,,,-0.20M,-0.10M,-0.10M,,-0.10M,-0.10M,0.80M,0.80M,0.00,,-0.0004,,,,-0.0004,-0.0004,,-0.0004,,,,-0.0004,-0.0004,,230.74M,230.74M,,,,
1990-09,12.90M,12.90M,5.10M,7.80M,,,5.80M,,,,,,,6.50M,1.30M,,,,,,1.20M,0.40M,0.80M,,0.80M,0.80M,2.00M,0.70M,1.30M,,0.0002,0.00,,,0.0002,0.0002,,0.0002,0.00,,,0.0002,0.0002,,200.93M,200.93M,,,,
1990-06,15.20M,15.20M,6.70M,8.50M,,,5.80M,,,0.10M,,,,6.50M,2.00M,,,,0.10M,,2.10M,0.80M,1.30M,,1.30M,1.238M,2.70M,0.70M,2.00M,,0.0004,0.00,,,0.0001,0.0004,,0.0004,0.00,,,0.0001,0.0004,,200.91M,200.91M,,,,
1990-03,9.10M,9.10M,4.00M,5.10M,,,5.10M,,,,,,,5.70M,-0.60M,,,,,,-0.60M,-0.20M,-0.40M,,-0.40M,-0.40M,0.00,0.60M,-0.60M,,-0.0002,0.00,,,-0.0002,-0.0002,,-0.0002,0.00,,,-0.0002,-0.0002,,231.98M,231.98M,,,,
1989-12,18.50M,18.50M,,,,,,,,,,,,,-32.50M,,,,,,,,1.30M,,1.30M,,-32.50M,,-32.50M,,,,,,,,,,,,,,,,232.45M,232.45M,,,,
1989-09,12.30M,12.30M,,,,,,,,,,,,,12.30M,,,,,,,,1.00M,,1.00M,,12.30M,,12.30M,,0.0003,0.00,,,0.0003,0.0003,,0.0003,0.00,,,0.0003,0.0003,,240.13M,240.13M,,,,
1989-06,12.60M,12.60M,,,,,,,,,,,,,12.60M,,,,,,,,0.80M,,0.80M,,12.60M,,12.60M,,0.0002,0.00,,,0.0002,0.0002,,0.0002,0.00,,,0.0002,0.0002,,229.95M,229.95M,,,,
1989-03,13.30M,13.30M,,,,,,,,,,,,,13.30M,,,,,,,,0.50M,,0.50M,,13.30M,,13.30M,,0.0002,0.00,,,0.0002,0.0002,,0.0002,0.00,,,0.0002,0.0002,,239.30M,239.30M,,,,
1988-12,8.90M,8.90M,,,,,,,,,,,,,-26.60M,,,,,,,,0.60M,,0.60M,,-26.60M,,-26.60M,,,,,,,,,,,,,,,,230.40M,230.40M,,,,
1988-09,10.00M,10.00M,,,,,,,,,,,,,10.00M,,,,,,,,0.80M,,0.80M,,10.00M,,10.00M,,0.0002,0.00,,,0.0002,0.0002,,0.0002,0.00,,,0.0002,0.0002,,230.21M,230.21M,,,,
1988-06,10.00M,10.00M,,,,,,,,,,,,,10.00M,,,,,,,,1.10M,,1.10M,,10.00M,,10.00M,,0.0003,0.00,,,0.0003,0.0003,,0.0003,0.00,,,0.0003,0.0003,,230.02M,230.02M,,,,
1988-03,11.40M,11.40M,,,,,,,,,,,,,11.40M,,,,,,,,1.00M,,1.00M,,11.40M,,11.40M,,0.0003,0.00,,,0.0003,0.0003,,0.0003,0.00,,,0.0003,0.0003,,229.12M,229.12M,,,,
1987-12,12.20M,12.20M,,,,,,,,,,,,,-14.80M,,,,,,,,1.60M,,1.60M,,-14.80M,,-14.80M,,,,,,,,,,,,,,,,227.90M,227.90M,,,,
1987-09,8.30M,8.30M,,,,,,,,,,,,,8.30M,,,,,,,,1.10M,,1.10M,,8.30M,,8.30M,,0.0003,0.00,,,0.0003,0.0003,,0.0003,0.00,,,0.0003,0.0003,,238.91M,238.91M,,,,
1987-06,7.10M,7.10M,,,,,,,,,,,,,7.10M,,,,,,,,0.70M,,0.70M,,7.10M,,7.10M,,0.0002,0.00,,,0.0002,0.0002,,0.0002,0.00,,,0.0002,0.0002,,214.91M,214.91M,,,,
1987-03,5.40M,5.40M,,,,,,,,,,,,,5.40M,,,,,,,,0.70M,,0.70M,,5.40M,,5.40M,,0.0002,0.00,,,0.0002,0.0002,,0.0002,0.00,,,0.0002,0.0002,,214.91M,214.91M,,,,
1986-12,4.40M,4.40M,,,,,,,,,,,,,-10.50M,,,,,,,,0.40M,,0.40M,,-10.50M,,-10.50M,,,,,,,,,,,,,,,,220.48M,220.48M,,,,
1986-09,4.30M,4.30M,,,,,,,,,,,,,4.30M,,,,,,,,0.40M,,0.40M,,4.30M,,4.30M,,0.0002,0.00,,,0.0002,0.0002,,0.0002,0.00,,,0.0002,0.0002,,220.48M,220.48M,,,,
1986-06,4.30M,4.30M,,,,,,,,,,,,,4.30M,,,,,,,,0.40M,,0.40M,,4.30M,,4.30M,,0.0002,0.00,,,0.0002,0.0002,,0.0002,0.00,,,0.0002,0.0002,,220.48M,220.48M,,,,
1986-03,4.30M,4.30M,,,,,,,,,,,,,4.30M,,,,,,,,0.30M,,0.30M,,4.30M,,4.30M,,0.0002,0.00,,,0.0002,0.0002,,0.0002,0.00,,,0.0002,0.0002,,220.48M,220.48M,,,,
