,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-03,704.00M,171.00M,875.00M,715.00M,715.00M,12.00M,86.00M,145.00M,243.00M,23.00M,77.00M,1.933B,,,,,,,,1.266B,-594.00M,672.00M,,48.00M,48.00M,,,720.00M,2.653B,,851.00M,851.00M,199.00M,1.05B,,,,14.00M,14.00M,,1.064B,13.00M,13.00M,,,,40.00M,53.00M,1.117B,,2.00M,742.00M,807.00M,20.00M,5.00M,1.536B,,,
2006-12,676.00M,154.00M,830.00M,668.00M,668.00M,17.00M,90.00M,158.00M,265.00M,27.00M,76.00M,1.866B,,,,,,,,1.231B,-594.00M,637.00M,,37.00M,37.00M,,,674.00M,2.54B,,816.00M,816.00M,212.00M,1.028B,,,,28.00M,28.00M,,1.056B,21.00M,21.00M,,,,38.00M,59.00M,1.115B,,2.00M,622.00M,802.00M,1.00M,,1.425B,,,
2006-09,603.00M,148.00M,751.00M,614.00M,614.00M,33.00M,81.00M,102.00M,216.00M,86.00M,30.00M,1.697B,,,,,,,,1.192B,-594.00M,598.00M,,30.00M,30.00M,,,628.00M,2.325B,,750.00M,750.00M,202.00M,952.00M,,,,30.00M,30.00M,,982.00M,29.00M,29.00M,,,,42.00M,71.00M,1.053B,,2.00M,494.00M,782.00M,7.00M,1.00M,1.272B,,,
2006-06,551.00M,148.00M,699.00M,481.00M,481.00M,23.00M,62.00M,120.00M,205.00M,,120.00M,1.505B,0.00,163.00M,28.00M,952.00M,,,,1.143B,-594.00M,549.00M,,,,,32.00M,581.00M,2.086B,,632.00M,632.00M,215.00M,847.00M,,,,25.00M,25.00M,,872.00M,19.00M,19.00M,,,,38.00M,57.00M,929.00M,,2.00M,391.00M,775.00M,12.00M,1.00M,1.157B,,,
2006-03,543.40M,130.70M,674.10M,483.20M,483.20M,15.60M,62.80M,99.20M,177.60M,,82.80M,1.418B,,,,,,,,946.50M,-450.10M,496.40M,,17.60M,17.60M,,,514.00M,1.932B,,597.40M,597.40M,216.10M,813.50M,,,,25.00M,25.00M,,838.50M,25.20M,25.20M,,,,40.00M,65.20M,903.70M,,2.20M,291.50M,752.80M,18.50M,,1.028B,,,
2005-12,550.20M,94.50M,644.70M,428.30M,428.30M,17.60M,58.40M,92.30M,168.30M,,83.30M,1.325B,,,,,,,,883.80M,-450.10M,433.70M,,20.10M,20.10M,,,453.80M,1.778B,,580.20M,580.20M,211.90M,792.10M,,,,24.90M,24.90M,,817.00M,31.90M,31.90M,,,,35.50M,67.40M,884.40M,,2.20M,188.60M,704.00M,0.80M,,894.00M,,,
2005-09,506.00M,75.30M,581.30M,470.40M,470.40M,14.30M,53.70M,104.80M,172.80M,,47.60M,1.272B,,,,,,,,867.90M,-450.10M,417.80M,,10.60M,10.60M,,,428.40M,1.700B,,648.10M,648.10M,188.20M,836.30M,,,,22.20M,22.20M,,858.50M,31.50M,31.50M,,,,33.80M,65.30M,923.80M,,2.20M,84.30M,705.40M,15.20M,,776.70M,,,
2005-06,485.20M,113.20M,598.40M,402.90M,402.90M,14.50M,59.70M,78.70M,152.90M,14.50M,12.50M,1.181B,0.00,77.50M,29.20M,738.40M,,,,845.10M,-450.10M,395.00M,,12.40M,12.40M,,,407.40M,1.589B,,569.10M,569.10M,231.10M,800.20M,,,,20.10M,20.10M,,820.30M,32.60M,32.60M,,,,35.40M,68.00M,888.30M,,2.10M,-4.10M,714.30M,11.70M,-0.30M,700.30M,,,
2005-03,461.10M,113.20M,574.30M,398.60M,398.60M,14.80M,52.70M,68.00M,135.50M,,18.30M,1.127B,,,,,,,,721.00M,-373.80M,347.20M,,16.20M,16.20M,,,363.40M,1.490B,,551.00M,551.00M,188.10M,739.10M,,,,19.90M,19.90M,,759.00M,37.70M,37.70M,,,,30.60M,68.30M,827.30M,,2.10M,-25.70M,700.10M,0.20M,-13.50M,662.80M,,,
2004-12,492.50M,,492.50M,390.40M,390.40M,11.80M,50.20M,56.30M,118.30M,,17.60M,1.019B,,,,,,,,703.90M,-373.80M,330.10M,,19.80M,19.80M,,,349.90M,1.369B,,521.50M,521.50M,184.80M,706.30M,,,,19.90M,19.90M,,726.20M,42.70M,42.70M,,,,31.50M,74.20M,800.40M,,2.10M,-96.50M,674.60M,11.90M,,568.30M,,,
2004-09,405.20M,,405.20M,400.70M,400.70M,11.10M,45.10M,88.10M,144.30M,,17.40M,967.60M,,,,,,,,677.80M,-373.80M,304.00M,,23.40M,23.40M,,,327.40M,1.295B,,535.60M,535.60M,160.30M,695.90M,,,,19.80M,19.80M,,715.70M,47.70M,47.70M,,,,24.10M,71.80M,787.50M,,2.10M,-152.50M,684.70M,26.80M,,507.50M,,,
2004-06,377.80M,,377.80M,313.10M,313.10M,26.40M,51.60M,70.60M,148.60M,,17.80M,857.30M,0.00,73.00M,28.80M,546.70M,,,,648.50M,-373.80M,274.70M,,27.20M,27.20M,,,301.90M,1.159B,,434.90M,434.90M,136.80M,571.70M,,,,15.20M,15.20M,,586.90M,52.70M,52.70M,,,,32.00M,84.70M,671.60M,,2.10M,-182.90M,698.70M,29.20M,-1.10M,487.60M,,,
2004-03,359.90M,,359.90M,308.30M,308.30M,9.30M,66.90M,72.90M,149.10M,,19.00M,836.30M,,,,,,,,537.50M,-298.10M,239.40M,,29.20M,29.20M,,2.20M,270.80M,1.107B,,420.50M,420.50M,139.00M,559.50M,,,,6.30M,6.30M,,565.80M,43.80M,43.80M,,,,26.60M,70.40M,636.20M,,2.10M,-212.50M,695.30M,14.00M,,470.90M,,,
2003-12,318.40M,,318.40M,361.30M,361.30M,18.60M,58.60M,78.60M,155.80M,,9.90M,845.40M,,,,,,,,534.20M,-298.10M,236.10M,,32.90M,32.90M,,1.40M,270.40M,1.116B,,471.70M,471.70M,149.70M,621.40M,,,,3.10M,3.10M,,624.50M,46.90M,46.90M,,,,27.50M,74.40M,698.90M,,2.10M,-260.40M,691.30M,16.10M,,416.90M,,,
2003-09,285.80M,,285.80M,328.70M,328.70M,10.50M,50.70M,61.70M,122.90M,,12.60M,750.00M,,,,,,,,511.80M,-298.10M,213.70M,,,,,37.90M,251.60M,1.002B,,402.60M,402.60M,181.10M,583.70M,,,,,,,583.70M,50.00M,50.00M,,,,23.60M,73.60M,657.30M,,2.10M,-329.20M,687.20M,15.80M,,344.30M,,,
2003-06,393.20M,,393.20M,243.90M,243.90M,11.80M,19.60M,66.40M,97.80M,,9.20M,744.10M,0.00,59.40M,11.60M,349.20M,,,,420.20M,-298.10M,122.10M,,,,,,122.10M,866.20M,,352.30M,352.30M,153.40M,505.70M,,,,,,,505.70M,,,,,,,33.10M,538.80M,,2.00M,-334.20M,675.40M,15.80M,,327.40M,,,
2003-03,347.06M,,347.06M,195.74M,195.74M,12.92M,17.09M,80.66M,110.66M,,13.37M,666.84M,,,,,,,,389.06M,-271.90M,117.16M,,,,,0.543M,117.70M,784.54M,,348.33M,348.33M,132.11M,480.44M,,,,,,,480.44M,,,,,,,28.02M,508.46M,,1.983M,-365.22M,651.51M,15.45M,3.248M,276.08M,,,
2002-12,326.94M,,326.94M,246.30M,246.30M,13.83M,18.52M,73.44M,105.79M,,14.14M,693.18M,,,,,,,,385.27M,-271.90M,113.37M,,,,,0.863M,114.23M,807.41M,,352.25M,352.25M,142.05M,494.30M,,,,73.56M,73.56M,,567.85M,,,,,,,29.59M,597.44M,,1.955M,-419.72M,640.13M,14.25M,1.85M,209.97M,,,
2002-09,244.45M,,244.45M,233.04M,233.04M,7.259M,16.71M,67.54M,91.50M,,8.981M,577.97M,,,,,,,,381.08M,-271.90M,109.18M,,,,,1.24M,110.42M,688.39M,,344.39M,344.39M,115.89M,460.28M,,,,72.60M,72.60M,,532.88M,,,,,,,27.66M,560.54M,,1.955M,-494.08M,685.00M,66.26M,1.24M,127.85M,,,
2002-06,223.73M,,223.73M,218.83M,218.83M,9.389M,9.523M,54.48M,73.40M,,11.55M,527.51M,,,,,,,,379.42M,-271.90M,107.52M,,,,,1.651M,109.17M,636.68M,,303.00M,303.00M,103.47M,406.47M,,,,86.20M,86.20M,,492.68M,,,,,,,41.14M,533.82M,,1.954M,-516.29M,710.94M,96.30M,2.559M,102.86M,,,
2002-03,226.49M,,226.49M,186.17M,186.17M,12.92M,14.09M,67.50M,94.51M,17.39M,,524.56M,,,,,,,,382.64M,-271.90M,110.74M,,,,,2.155M,112.90M,637.46M,,316.93M,316.93M,73.13M,390.06M,,,,,,28.47M,418.54M,89.52M,89.52M,,,,39.97M,129.48M,548.02M,,1.955M,-529.41M,719.02M,106.22M,4.094M,89.44M,,,
2001-12,193.32M,,193.32M,222.82M,222.82M,4.148M,12.93M,79.36M,96.44M,6.165M,,518.74M,,,,,,,,383.36M,-271.90M,111.47M,,,,,5.437M,116.90M,635.65M,,323.33M,323.33M,114.58M,437.92M,,,,,,,437.92M,102.40M,102.40M,,,9.012M,37.42M,139.83M,577.74M,,1.944M,-548.61M,731.06M,137.68M,2.179M,48.89M,,,
2001-09,200.58M,,200.58M,212.08M,212.08M,9.75M,27.14M,39.45M,76.34M,11.11M,,500.12M,,,,,,,,379.66M,-271.90M,107.76M,,,,,11.57M,119.33M,619.44M,,319.02M,319.02M,111.24M,430.26M,,,,,,,430.26M,113.97M,113.97M,,,9.47M,38.09M,152.06M,582.32M,,1.928M,-561.20M,729.32M,143.97M,1.581M,27.66M,,,
2001-06,167.58M,,167.58M,127.77M,127.77M,21.89M,8.888M,48.12M,78.90M,11.46M,,385.71M,0.00,64.88M,,313.18M,,,,378.06M,-271.90M,106.17M,,,,,15.78M,121.94M,507.65M,,224.54M,224.54M,113.68M,338.23M,,,,,,2.118M,340.35M,112.49M,112.49M,,,9.383M,38.63M,151.12M,491.47M,,1.928M,-581.72M,735.44M,148.21M,-0.633M,6.803M,,,
2001-03,160.87M,,160.87M,153.10M,153.10M,7.506M,11.54M,46.21M,65.26M,18.05M,,397.28M,,,,,,,,405.78M,-298.99M,106.80M,,,,,41.07M,147.86M,545.14M,,234.85M,234.85M,95.13M,329.98M,,,,,,33.86M,363.84M,112.61M,112.61M,,,8.998M,41.56M,154.17M,518.01M,,1.835M,-517.64M,694.57M,151.18M,-9.447M,18.14M,,,
2000-12,179.38M,,179.38M,,173.97M,,,,78.18M,,10.34M,441.87M,,,,,,,,403.72M,-298.99M,104.73M,,,,,44.34M,149.07M,590.94M,,263.00M,263.00M,,263.00M,,,,,,145.33M,408.33M,113.20M,113.20M,,,9.251M,44.47M,157.67M,566.00M,,1.832M,-514.59M,708.40M,169.92M,-10.03M,15.69M,,,
2000-09,166.95M,,166.95M,,146.32M,,,,60.03M,,25.57M,398.86M,,,,,,,,399.09M,-298.99M,100.10M,,,,,63.76M,163.87M,562.73M,,236.47M,236.47M,,236.47M,,,,,,144.45M,380.92M,178.51M,178.51M,,,9.644M,46.84M,225.36M,606.28M,,1.685M,-516.38M,624.09M,171.50M,8.915M,-53.19M,,,
2000-06,184.02M,,184.02M,148.92M,148.92M,4.376M,11.25M,68.08M,83.71M,,32.72M,449.36M,0.00,70.23M,,318.86M,,,,389.09M,-290.73M,98.36M,,,,,65.23M,163.59M,612.95M,,264.48M,264.48M,176.63M,441.10M,,,,,,1.358M,442.46M,225.50M,225.50M,,,10.00M,44.83M,270.33M,712.79M,,1.534M,-482.86M,549.93M,179.81M,1.367M,-109.83M,,,
2000-03,202.09M,,202.09M,,177.46M,,,,98.21M,,56.07M,533.82M,,,,,,,,435.23M,-326.34M,108.89M,,47.49M,47.49M,,,156.38M,690.20M,,290.33M,290.33M,,290.33M,,,,,,234.71M,525.04M,222.56M,222.56M,,,,51.39M,273.96M,799.00M,,1.492M,-487.02M,532.48M,181.04M,25.29M,-108.80M,,,
1999-12,163.70M,,163.70M,,198.40M,,,,101.70M,,95.40M,559.20M,,,,,,,,504.40M,-347.50M,156.90M,,48.60M,48.60M,,,205.50M,764.70M,,283.50M,283.50M,,283.50M,,,,,,291.20M,574.70M,236.30M,236.30M,41.80M,41.80M,,,278.10M,852.80M,,1.40M,-416.40M,492.80M,189.40M,23.50M,-88.10M,,,
1999-09,185.10M,,185.10M,,87.30M,,,,207.70M,,45.60M,525.70M,,,,,,,,514.60M,-327.60M,187.00M,,117.50M,117.50M,,,304.50M,830.20M,,272.90M,272.90M,,272.90M,,,,10.00M,10.00M,291.20M,574.10M,371.40M,371.40M,15.50M,15.50M,,-0.10M,386.80M,960.90M,,1.20M,-401.20M,436.70M,189.40M,21.90M,-130.70M,,,
1999-06,226.10M,,226.10M,,273.40M,,,,144.10M,,81.90M,725.50M,,,,,,,,534.20M,-296.30M,237.90M,,,,,59.00M,296.90M,1.022B,,335.90M,335.90M,,335.90M,,,,10.00M,10.00M,248.20M,594.10M,534.10M,534.10M,,,,48.00M,582.10M,1.176B,,1.00M,-294.80M,335.20M,193.00M,-2.10M,-153.80M,,,
1999-03,297.10M,,297.10M,,311.50M,,,,163.40M,,34.60M,806.60M,,,,,,,,662.70M,-350.60M,312.10M,,39.70M,39.70M,,,351.80M,1.158B,,349.60M,349.60M,,349.60M,,,,,,304.30M,653.90M,537.80M,537.80M,17.10M,17.10M,,-0.10M,554.80M,1.209B,,,-193.40M,,,,-50.30M,,,
1998-12,353.70M,,353.70M,,372.00M,,,,161.00M,,24.90M,911.60M,,,,,,,,656.20M,-313.40M,342.80M,,42.20M,42.20M,,-0.10M,384.90M,1.296B,,386.00M,386.00M,,386.00M,,,,,,314.80M,700.80M,531.50M,531.50M,16.70M,16.70M,,,548.20M,1.249B,,,-79.10M,,,,47.50M,,,
1998-09,404.20M,,404.20M,,378.30M,,,,167.50M,,35.50M,985.50M,,,,,,,,634.10M,-283.20M,350.90M,,40.50M,40.50M,,,391.40M,1.377B,,403.30M,403.30M,,403.30M,,,,,,304.60M,707.90M,525.30M,525.30M,16.90M,16.90M,,,542.20M,1.250B,,,3.20M,,,,126.80M,,,
1998-06,459.80M,,459.80M,,369.00M,,,,186.50M,,36.80M,1.052B,,,,,,,,601.30M,-254.30M,347.00M,,43.60M,43.60M,,,390.60M,1.443B,,330.10M,330.10M,,330.10M,,,,,,258.50M,588.60M,519.20M,519.20M,17.20M,17.20M,,-0.10M,536.30M,1.125B,,,197.80M,,,,317.80M,,,
1998-03,577.80M,,577.80M,,475.30M,,,,217.20M,,58.00M,1.328B,,,,,,,,575.10M,-227.70M,347.40M,,47.70M,47.70M,,,395.10M,1.723B,,430.00M,430.00M,,430.00M,,,,,,258.80M,688.80M,513.10M,513.10M,34.60M,34.60M,,0.10M,547.80M,1.237B,,,360.60M,,,,486.80M,,,
1997-12,119.30M,,119.30M,,480.40M,,,,285.40M,,38.60M,923.70M,,,,,,,,484.60M,-167.80M,316.80M,,30.90M,30.90M,,,347.70M,1.271B,,394.50M,394.50M,,394.50M,,,,,,301.50M,696.00M,,,34.50M,34.50M,,,34.50M,730.50M,,,405.60M,,,,540.90M,,,
1997-09,183.80M,,183.80M,,567.90M,,,,289.40M,,36.00M,1.077B,,,,,,,,459.00M,-167.80M,291.20M,,43.00M,43.00M,,,334.20M,1.411B,,476.20M,476.20M,,476.20M,,,,,,195.70M,671.90M,,,41.80M,41.80M,,-0.10M,41.70M,713.60M,,,550.80M,,,,697.70M,,,
1997-06,208.30M,,208.30M,,545.60M,,,,224.50M,,39.50M,1.018B,,,,,,,,415.70M,-167.80M,247.90M,,41.30M,41.30M,,,289.20M,1.307B,,418.00M,418.00M,,418.00M,,,,,,235.70M,653.70M,,,33.40M,33.40M,,,33.40M,687.10M,,,488.10M,,,,620.00M,,,
1997-03,227.50M,,227.50M,,585.60M,,,,166.00M,,22.00M,1.001B,,,,,,,,356.40M,-143.50M,212.90M,,43.70M,43.70M,,,256.60M,1.258B,,426.80M,426.80M,,426.80M,,,,,,263.80M,690.60M,,,15.40M,15.40M,,,15.40M,706.00M,,,400.20M,,,,551.70M,,,
1996-12,274.00M,,274.00M,,494.20M,,,,155.70M,,27.70M,951.60M,,,,,,,,336.50M,-143.50M,193.00M,,33.10M,33.10M,,,226.10M,1.178B,,422.80M,422.80M,,422.80M,,,,,,227.60M,650.40M,,,16.00M,16.00M,,,16.00M,666.40M,,,317.60M,,,,511.30M,,,
1996-09,210.70M,,210.70M,,442.00M,,,,146.30M,,37.30M,836.30M,,,,,,,,327.70M,-143.50M,184.20M,,46.20M,46.20M,,,230.40M,1.067B,,384.30M,384.30M,,384.30M,,,,,,178.90M,563.20M,,,16.00M,16.00M,,,16.00M,579.20M,,,253.30M,,,,487.50M,,,
1996-06,182.60M,,182.60M,,409.50M,,,,142.60M,,59.60M,794.30M,,,,,,,,291.80M,-143.50M,148.30M,,41.60M,41.60M,,-0.10M,189.80M,984.10M,,345.90M,345.90M,,345.90M,,,,,,168.10M,514.00M,,,16.20M,16.20M,,,16.20M,530.20M,,,220.50M,,,,453.90M,,,
1996-03,138.60M,,138.60M,,393.70M,,,,145.30M,,83.30M,760.90M,,,,,,,,248.60M,-128.60M,120.00M,,38.80M,38.80M,,,158.80M,919.70M,,332.80M,332.80M,,332.80M,,,,,,134.80M,467.60M,,,16.20M,16.20M,,-0.10M,16.10M,483.70M,,,187.70M,,,,436.00M,,,
1995-12,206.80M,,206.80M,,356.90M,,,,122.60M,,77.80M,764.10M,,,,,,,,228.80M,-128.60M,100.20M,,41.40M,41.40M,,,141.60M,905.70M,,310.60M,310.60M,,310.60M,,,,,,126.60M,437.20M,,,16.70M,16.70M,,,16.70M,453.90M,,,168.30M,,,,451.80M,,,
1995-09,159.20M,,159.20M,,319.10M,,,,147.10M,,103.50M,728.90M,,,,,,,,223.50M,-128.60M,94.90M,,40.10M,40.10M,,-0.10M,134.90M,863.80M,,288.90M,288.90M,,288.90M,,,,,,96.60M,385.50M,,,16.60M,16.60M,,-0.10M,16.50M,402.00M,,,131.90M,,,,461.80M,,,
1995-06,217.50M,,217.50M,,303.80M,,,,98.90M,,109.90M,730.10M,,,,,,,,217.20M,-128.60M,88.60M,,40.10M,40.10M,,,128.70M,858.80M,,250.30M,250.30M,,250.30M,,,,,,119.30M,369.60M,,,15.80M,15.80M,,,15.80M,385.40M,,,123.60M,,,,473.40M,,,
1995-03,188.70M,,188.70M,,255.90M,,,,93.70M,,118.00M,656.30M,,,,,,,,201.80M,-118.90M,82.90M,,38.90M,38.90M,,-0.30M,121.50M,777.80M,,198.20M,198.20M,,198.20M,,,,,,114.90M,313.10M,40.50M,40.50M,23.60M,23.60M,,-0.30M,63.80M,376.90M,,,97.20M,,,,400.90M,,,
1994-12,208.90M,,208.90M,,239.70M,,,,111.50M,,97.40M,657.50M,,,,,,,,202.80M,-118.90M,83.90M,,31.20M,31.20M,,,115.10M,772.60M,,212.90M,212.90M,,212.90M,,,,,,107.80M,320.70M,56.00M,56.00M,23.60M,23.60M,,,79.60M,400.30M,,,77.50M,,,,372.30M,,,
1994-09,229.50M,,229.50M,,244.00M,,,,96.00M,,19.50M,589.00M,,,,,,,,201.30M,-118.90M,82.40M,,,,,28.70M,111.10M,700.10M,,192.70M,192.70M,,192.70M,,,,,,104.40M,297.10M,58.60M,58.60M,17.90M,17.90M,,0.10M,76.60M,373.70M,,,35.00M,,,,326.40M,,,
1994-06,243.50M,,243.50M,,201.50M,,,,79.60M,,12.90M,537.50M,,,,,,,,192.30M,-118.90M,73.40M,,29.60M,29.60M,,,103.00M,640.50M,,172.70M,172.70M,,172.70M,,,,,,103.00M,275.70M,58.60M,58.60M,17.90M,17.90M,,0.10M,76.60M,352.30M,,,0.30M,,,,288.20M,,,
1994-03,173.40M,,173.40M,,185.60M,,,,73.50M,,13.00M,445.50M,,,,,,,,223.10M,-144.80M,78.30M,,31.50M,31.50M,,,109.80M,555.30M,,133.10M,133.10M,,133.10M,,,,,,106.80M,239.90M,58.90M,58.90M,9.50M,9.50M,,-0.10M,68.30M,308.20M,,,-37.00M,,,,247.10M,,,
1993-12,84.80M,,84.80M,,177.20M,,,,87.40M,,12.20M,361.60M,,,,,,,,229.30M,-144.80M,84.50M,,37.00M,37.00M,,0.10M,121.60M,483.20M,,136.10M,136.10M,,136.10M,,,,12.70M,12.70M,98.90M,247.70M,85.30M,85.30M,9.60M,9.60M,,0.20M,95.10M,342.80M,,,-65.50M,,,,140.40M,,,
1993-09,35.50M,,35.50M,,154.80M,,,,100.20M,,13.60M,304.10M,,,,,,,,317.60M,-144.80M,172.80M,,32.10M,32.10M,,,204.90M,509.00M,,110.40M,110.40M,,110.40M,,,,22.40M,22.40M,62.80M,195.60M,177.40M,177.40M,9.90M,9.90M,,,187.30M,382.90M,,,-78.00M,,,,126.10M,,,
1993-06,33.80M,,33.80M,,159.50M,,,,112.50M,,12.70M,318.50M,,,,,,,,351.60M,-170.60M,181.00M,,31.70M,31.70M,,,212.70M,531.20M,,128.50M,128.50M,,128.50M,,,,23.50M,23.50M,54.90M,206.90M,182.60M,182.60M,10.80M,10.80M,,-0.10M,193.30M,400.20M,,,-72.90M,,,,131.00M,,,
1993-03,34.90M,,34.90M,,195.10M,,,,89.70M,,11.30M,331.00M,,,,,,,,338.10M,-144.80M,193.30M,,34.10M,34.10M,,0.10M,227.50M,558.50M,,113.80M,113.80M,,113.80M,,,,19.90M,19.90M,54.30M,188.00M,187.80M,187.80M,13.90M,13.90M,,,201.70M,389.70M,,,-35.00M,,,,168.80M,,,
1992-12,33.30M,,33.30M,,185.50M,,,,97.60M,,10.50M,326.90M,,,,,,,,335.90M,-144.80M,191.10M,,,,,32.70M,223.80M,550.70M,,101.70M,101.70M,,101.70M,,,,27.90M,27.90M,54.10M,183.70M,228.90M,228.90M,13.90M,13.90M,,0.10M,242.90M,426.60M,,,-36.70M,,,,124.10M,,,
1992-09,34.40M,,34.40M,,166.30M,,,,108.90M,,9.00M,318.60M,,,,,,,,341.30M,-144.80M,196.50M,,,,,35.10M,231.60M,550.20M,,109.80M,109.80M,,109.80M,,,,194.60M,194.60M,54.20M,358.60M,61.10M,61.10M,14.00M,14.00M,,,75.10M,433.70M,,,-43.60M,,,,116.50M,,,
1992-06,33.80M,,33.80M,,152.60M,,,,106.80M,,9.10M,302.30M,,,,,,,,341.10M,-144.80M,196.30M,,27.70M,27.70M,,6.20M,230.20M,532.50M,,85.90M,85.90M,,85.90M,,,,27.20M,27.20M,50.30M,163.40M,243.00M,243.00M,14.00M,14.00M,,-0.20M,256.80M,420.20M,,,-47.80M,,,,112.30M,,,
1992-03,33.90M,,33.90M,,132.90M,,,,125.90M,,9.80M,302.50M,,,,,,,,343.50M,-141.10M,202.40M,,40.30M,40.30M,,,242.70M,545.20M,,98.00M,98.00M,,98.00M,,,,24.40M,24.40M,48.70M,171.10M,251.80M,251.80M,14.00M,14.00M,,0.10M,265.90M,437.00M,,,-51.80M,,,,108.20M,,,
1991-12,34.90M,,34.90M,,129.00M,,,,149.00M,,2.90M,315.80M,,,,,,,,356.90M,-143.40M,213.50M,,40.40M,40.40M,,,253.90M,569.70M,,99.90M,99.90M,,99.90M,,,,19.90M,19.90M,46.80M,166.60M,262.30M,262.30M,14.00M,14.00M,,,276.30M,442.90M,,,-33.20M,,,,126.80M,,,
1991-09,37.70M,,37.70M,,90.30M,,,,168.50M,,2.20M,298.70M,,,,,,,,371.40M,-141.20M,230.20M,,36.90M,36.90M,,-0.10M,267.00M,565.70M,,113.00M,113.00M,,113.00M,,,,16.50M,16.50M,46.80M,176.30M,228.30M,228.30M,14.00M,14.00M,,-0.10M,242.20M,418.50M,,,-12.80M,,,,147.20M,,,
1991-06,36.10M,,36.10M,,140.50M,,,,174.50M,,2.60M,353.70M,,,,,,,,376.40M,-148.30M,228.10M,,38.70M,38.70M,,-0.10M,266.70M,620.40M,,123.10M,123.10M,,123.10M,,,,13.90M,13.90M,49.40M,186.40M,234.90M,234.90M,14.10M,14.10M,,-0.10M,248.90M,435.30M,,,25.10M,,,,185.10M,,,
1991-03,40.90M,,40.90M,,149.90M,,,,180.50M,,3.40M,374.70M,,,,,,,,360.30M,-135.20M,225.10M,,40.20M,40.20M,,,265.30M,640.00M,,110.70M,110.70M,,110.70M,,,,241.00M,241.00M,57.50M,409.20M,13.10M,13.10M,14.00M,14.00M,,,27.10M,436.30M,,,51.60M,,,,203.70M,,,
1990-12,38.90M,,38.90M,,154.70M,,,,174.90M,,7.30M,375.80M,,,,,,,,365.30M,-142.20M,223.10M,,42.10M,42.10M,,-0.10M,265.10M,640.90M,,114.10M,114.10M,,114.10M,,,,202.00M,202.00M,75.70M,391.80M,20.60M,20.60M,14.00M,14.00M,,,34.60M,426.40M,,,62.40M,,,,214.50M,,,
1990-09,26.60M,,26.60M,,179.60M,,,,174.40M,,16.50M,397.10M,,,,,,,,358.20M,-133.90M,224.30M,,42.90M,42.90M,,,267.20M,664.30M,,114.00M,114.00M,,114.00M,,,,11.70M,11.70M,42.80M,168.50M,157.10M,157.10M,14.00M,14.00M,,,171.10M,339.60M,,,160.90M,,,,324.70M,,,
1990-06,39.30M,,39.30M,,155.00M,,,,172.20M,,21.20M,387.70M,,,,,,,,329.40M,-123.30M,206.10M,,43.80M,43.80M,,,249.90M,637.60M,,99.00M,99.00M,,99.00M,,,,12.10M,12.10M,45.50M,156.60M,145.10M,145.10M,13.80M,13.80M,,0.10M,159.00M,315.60M,,,159.30M,,,,322.00M,,,
1990-03,35.50M,,35.50M,,147.30M,,,,177.40M,,9.10M,369.30M,,,,,,,,304.90M,-115.60M,189.30M,,45.00M,45.00M,,,234.30M,603.60M,,93.90M,93.90M,,93.90M,,,,12.40M,12.40M,48.60M,154.90M,124.80M,124.80M,11.40M,11.40M,,,136.20M,291.10M,,,149.80M,,,,312.50M,,,
1989-12,31.40M,,31.40M,,140.50M,,,,193.10M,,9.90M,374.90M,,,,,,,,280.90M,-111.50M,169.40M,,46.10M,46.10M,,-0.10M,215.40M,590.30M,,83.90M,83.90M,,83.90M,,,,12.30M,12.30M,40.90M,137.10M,138.20M,138.20M,11.40M,11.40M,,0.10M,149.70M,286.80M,,,141.00M,,,,303.50M,,,
1989-09,25.10M,,25.10M,,151.50M,,,,206.80M,,8.60M,392.00M,,,,,,,,266.10M,-104.80M,161.30M,,48.10M,48.10M,,,209.40M,601.40M,,77.80M,77.80M,,77.80M,,,,13.70M,13.70M,37.20M,128.70M,166.90M,166.90M,11.00M,11.00M,,-0.10M,177.80M,306.50M,,,132.40M,,,,294.90M,,,
