,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2011-12,1.995B,1.995B,1.347B,648.00M,,96.00M,191.00M,,-199.00M,5.00M,3.00M,-2.00M,287.00M,361.00M,3.00M,5.00M,-2.00M,-199.00M,-2.00M,160.00M,15.00M,145.00M,,,,145.00M,325.34M,305.00M,140.00M,165.00M,,0.62,,,,1.391,0.62,,0.61,,,,1.371,0.61,,234.00M,237.00M,,,AOR,Restated
2011-09,2.694B,2.694B,2.153B,541.00M,89.00M,89.00M,193.00M,,,4.00M,3.00M,-1.00M,282.00M,259.00M,3.00M,4.00M,-1.00M,,-1.00M,258.00M,19.00M,239.00M,,,,239.00M,239.00M,420.00M,158.00M,262.00M,,1.03,0.00,,,1.03,1.03,,1.01,0.00,,,1.01,1.01,,233.00M,237.00M,,,AOR,Restated
2011-06,2.403B,2.403B,1.934B,469.00M,,84.00M,188.00M,,,4.00M,3.00M,-1.00M,272.00M,197.00M,3.00M,4.00M,-1.00M,,-1.00M,171.00M,13.00M,158.00M,,,,158.00M,158.00M,325.00M,150.00M,175.00M,,0.68,,,,0.68,0.68,,0.67,,,,0.67,0.67,,231.00M,235.00M,,,AOR,Restated
2011-03,2.252B,2.252B,1.842B,410.00M,,73.00M,179.00M,,,1.00M,2.00M,1.00M,252.00M,158.00M,2.00M,1.00M,1.00M,,1.00M,159.00M,13.00M,146.00M,,,,146.00M,146.00M,311.00M,151.00M,160.00M,,0.63,0.00,,,0.63,0.63,,0.62,0.00,,,0.62,0.62,,232.00M,236.00M,,,AOR,Restated
2010-12,2.475B,2.475B,2.00B,475.00M,,66.00M,169.00M,,,3.00M,2.00M,-1.00M,235.00M,240.00M,2.00M,3.00M,-1.00M,,-1.00M,239.00M,14.00M,225.00M,,,,225.00M,225.00M,393.00M,151.00M,242.00M,,0.98,0.00,,,0.98,0.98,,0.96,0.00,,,0.96,0.96,,230.00M,235.00M,,,AOR,Restated
2010-09,2.396B,2.396B,1.959B,437.00M,,59.00M,167.00M,,,2.00M,2.00M,0.00,226.00M,211.00M,2.00M,2.00M,0.00,,0.00,211.00M,14.00M,197.00M,,,,197.00M,197.00M,363.00M,150.00M,213.00M,,0.86,0.00,,,0.86,0.86,,0.84,0.00,,,0.84,0.84,,230.00M,234.00M,,,AOR,Restated
2010-06,2.382B,2.382B,1.847B,535.00M,,88.00M,155.00M,,0.00,1.00M,1.00M,0.00,243.00M,292.00M,1.00M,1.00M,0.00,,0.00,292.00M,28.00M,264.00M,,,,264.00M,264.00M,427.00M,134.00M,293.00M,,1.13,0.00,,,1.13,1.13,,1.11,0.00,,,1.11,1.11,,231.00M,236.00M,,,AOR,Restated
2010-03,2.641B,2.641B,1.976B,665.00M,,64.00M,160.00M,,0.00,2.00M,1.00M,-1.00M,224.00M,441.00M,1.00M,2.00M,-1.00M,,-1.00M,440.00M,40.00M,400.00M,,,,400.00M,400.00M,571.00M,129.00M,442.00M,,1.75,0.00,,,1.75,1.75,,1.71,0.00,,,1.71,1.71,,229.00M,234.00M,,,AOR,Restated
2009-12,2.619B,2.619B,1.932B,687.00M,,60.00M,154.00M,,,3.00M,1.00M,-2.00M,214.00M,473.00M,1.00M,3.00M,-2.00M,,-2.00M,471.00M,42.00M,429.00M,,,,429.00M,429.00M,600.00M,126.00M,474.00M,,1.89,0.00,,,1.89,1.89,,1.85,0.00,,,1.85,1.85,,227.00M,232.00M,,,AOR,Restated
2009-09,2.208B,2.208B,1.694B,514.00M,,53.00M,142.00M,,0.00,3.00M,1.00M,-2.00M,195.00M,319.00M,1.00M,3.00M,-2.00M,,-2.00M,317.00M,29.00M,288.00M,,,,288.00M,288.00M,441.00M,121.00M,320.00M,,1.28,0.00,,,1.28,1.28,,1.25,0.00,,,1.25,1.25,,225.00M,230.00M,,,AOR,Restated
2009-06,1.929B,1.929B,1.559B,370.00M,,52.00M,132.00M,,23.00M,3.00M,1.00M,-2.00M,184.00M,186.00M,1.00M,3.00M,-2.00M,23.00M,-2.00M,207.00M,11.00M,196.00M,,,,196.00M,174.22M,331.00M,121.00M,210.00M,,0.89,0.00,,,0.7919,0.89,,0.86,0.00,,,0.7649,0.86,,222.00M,229.00M,,,AOR,Restated
2009-03,1.592B,1.592B,1.339B,253.00M,,49.00M,125.00M,,-18.00M,4.00M,1.00M,-3.00M,174.00M,79.00M,1.00M,4.00M,-3.00M,-18.00M,-3.00M,58.00M,8.00M,50.00M,,,,50.00M,65.52M,181.00M,119.00M,62.00M,,0.22,0.00,,,0.2896,0.22,,0.22,0.00,,,0.2887,0.22,,223.00M,226.00M,,,AOR,Restated
2008-12,1.823B,1.823B,1.533B,290.00M,,42.00M,119.00M,,-113.00M,11.00M,2.00M,-9.00M,161.00M,129.00M,2.00M,11.00M,-9.00M,-113.00M,-9.00M,7.00M,-7.00M,14.00M,,,,14.00M,87.45M,140.00M,122.00M,18.00M,,0.06,0.00,,,0.3909,0.06,,0.06,0.00,,,0.3879,0.06,,222.00M,224.00M,,,,Restated
2008-09,2.109B,2.109B,1.685B,424.00M,,57.00M,133.00M,,,,,,190.00M,234.00M,,,,,,230.00M,19.00M,211.00M,,,,211.00M,211.00M,351.00M,117.00M,234.00M,,0.95,0.00,,,0.95,0.95,,0.93,0.00,,,0.93,0.93,,222.00M,226.00M,,,,
2008-06,1.993B,1.993B,1.568B,425.00M,,56.00M,128.00M,,0.00,,,,184.00M,241.00M,,,,0.00,,237.00M,24.00M,213.00M,,,,213.00M,213.00M,332.00M,113.00M,219.00M,,0.95,0.00,,,0.95,0.95,,0.95,0.00,,,0.95,0.95,,224.00M,226.00M,,,,Restated
2008-03,2.111B,2.111B,1.634B,477.00M,,56.00M,123.00M,,,,,,179.00M,298.00M,,,,,,290.00M,10.00M,280.00M,,,,280.00M,280.00M,409.00M,111.00M,298.00M,,1.26,0.00,,,1.26,1.26,,1.23,0.00,,,1.23,1.23,,222.00M,227.00M,,,,
2007-12,2.204B,2.204B,1.691B,513.00M,,59.00M,122.00M,,,,,,181.00M,332.00M,,,,,,316.00M,11.00M,305.00M,,,,305.00M,305.00M,443.00M,111.00M,332.00M,,1.39,0.00,,,1.39,1.39,,1.35,0.00,,,1.35,1.35,,220.00M,226.00M,,,,
