,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-06,38.80M,,-1.90M,35.70M,35.70M,,,,-4.50M,-17.30M,2.00M,18.10M,,31.20M,6.20M,35.70M,,113.10M,,-80.40M,,-80.40M,,0.00,,-80.40M,,,,-4.90M,18.00M,-21.70M,-3.70M,,,,,-8.60M,,461.10M,24.10M,,485.20M,,18.00M,,,-21.70M,,,,,
2005-03,70.80M,,1.90M,33.80M,33.80M,,,,-8.50M,-17.30M,-0.50M,29.50M,-0.20M,3.70M,-1.70M,5.00M,,111.50M,,-47.50M,,-47.50M,,-7.20M,,-54.70M,,,,-4.90M,22.70M,0.00,22.70M,,,,,17.80M,,386.50M,74.60M,,461.10M,,22.70M,,,0.00,,,,,
2004-12,56.00M,,-0.20M,32.70M,32.70M,,,,10.60M,26.10M,,-14.10M,0.20M,36.20M,-4.50M,54.50M,,143.00M,,-54.80M,,-54.80M,,-31.70M,,-86.50M,,,,-5.00M,12.40M,-8.30M,4.10M,,,,,-0.90M,,330.90M,55.60M,,386.50M,,12.40M,,,-8.30M,,,,,
2004-09,30.40M,,0.20M,28.80M,28.80M,,,,-87.90M,4.30M,,100.70M,,16.60M,,33.70M,,93.10M,,-50.70M,,-50.70M,,-42.00M,,-92.70M,,,,-4.70M,4.70M,-15.00M,-10.30M,,,,,-15.00M,,345.50M,-14.60M,,330.90M,,4.70M,,,-15.00M,,,,,
2004-06,28.10M,,0.00,26.40M,26.40M,,,2.60M,-4.50M,0.40M,,14.30M,11.10M,-0.80M,3.10M,15.90M,,73.00M,,-41.20M,,-41.20M,0.00,,,-73.50M,,,,-0.60M,2.70M,,-13.30M,,,,,-13.90M,,359.90M,-14.40M,,345.50M,,2.70M,,,,,,,,
2004-03,47.90M,,0.00,26.80M,26.80M,,,2.80M,52.80M,6.70M,,-51.10M,-9.90M,-11.20M,-3.10M,-15.80M,,61.70M,,-26.40M,,-26.40M,-94.80M,,94.80M,-26.40M,,,,0.00,6.20M,,6.20M,,,,,6.20M,,318.40M,41.50M,,359.90M,,6.20M,,,,,,,,
2003-12,68.80M,,0.00,25.80M,25.80M,,,-2.80M,-32.50M,-32.90M,,56.80M,2.60M,-19.40M,6.90M,-18.50M,,73.30M,,-44.20M,,-44.20M,,,0.00,-44.20M,,,,0.00,3.50M,,3.50M,,,,,3.50M,,285.80M,32.60M,,318.40M,,3.50M,,,,,,,,
2003-09,5.00M,,25.60M,21.40M,21.40M,,,,-82.30M,-16.10M,,34.30M,-3.80M,4.80M,-6.90M,-70.00M,,-18.00M,,-19.90M,,-19.90M,,,-94.80M,-114.70M,,,,13.80M,11.50M,,11.50M,,,,,25.30M,,393.20M,-107.40M,,285.80M,,11.50M,,,,,,,,
2003-06,31.02M,,-21.67M,14.10M,14.10M,,,,-48.19M,12.87M,,12.47M,1.579M,19.19M,,-2.09M,2.553M,23.92M,,-18.33M,,-18.33M,,,,-14.93M,,,,88.04M,23.33M,,23.33M,,,,-74.20M,37.18M,,347.06M,46.17M,,393.20M,,23.33M,,,,,,,,
2003-03,54.50M,,0.745M,12.86M,12.86M,,,,50.57M,-4.871M,,-3.917M,2.146M,-12.97M,,30.96M,-0.394M,98.67M,,-15.78M,,-15.78M,,,,-15.78M,,,,-73.70M,10.93M,,10.93M,,,,,-62.77M,,326.94M,20.12M,,347.06M,,10.93M,,,,,,,,
2002-12,74.36M,,-0.263M,11.80M,11.80M,,,,-13.27M,-14.29M,,7.86M,-4.58M,30.82M,,6.547M,-2.159M,90.29M,,-15.42M,,-15.42M,,,,-15.42M,,,,-14.34M,6.668M,,6.668M,,,,14.34M,7.634M,,244.45M,82.50M,,326.94M,,6.668M,,,,,,,,
2002-09,22.22M,,1.189M,11.63M,11.63M,,,,-14.20M,-18.11M,,41.39M,0.855M,0.055M,,9.988M,,45.03M,,-12.36M,,-12.36M,,,,-12.36M,,,,,3.367M,,3.367M,,,,-14.34M,-11.94M,,223.73M,20.72M,,244.45M,,3.367M,,,,,,,,
2002-06,13.12M,,15.60M,11.47M,11.47M,,,2.304M,-32.66M,21.04M,4.013M,-8.865M,3.834M,-4.277M,-5.783M,-22.70M,-26.97M,-7.183M,,-8.259M,,-8.259M,,-0.912M,0.912M,-8.259M,,,,-17.61M,1.349M,,1.349M,,,,10.72M,12.68M,,226.49M,-2.759M,,223.73M,,1.349M,,,,,,,,
2002-03,19.20M,,-8.002M,11.72M,11.72M,,,-2.304M,37.22M,1.928M,-8.739M,-17.90M,-3.834M,8.70M,4.446M,21.82M,1.553M,43.98M,,-13.45M,,-13.45M,,0.912M,0.00,-12.53M,,,,6.263M,6.174M,,6.174M,,,,-10.72M,1.72M,,193.32M,33.17M,,226.49M,,6.174M,,,,,,,,
2001-12,12.59M,,-20.11M,11.35M,11.35M,,,,-10.77M,-20.10M,5.664M,3.315M,-1.954M,8.036M,,-15.81M,46.49M,34.51M,,-14.02M,,-14.02M,,,9.00M,-5.025M,,,,-6.263M,1.074M,,1.074M,,,,0.45M,-36.75M,,200.58M,-7.265M,,193.32M,,1.074M,,,,,,,,
2001-09,20.52M,,3.583M,11.26M,11.26M,,,,-84.32M,2.562M,,94.47M,1.954M,-17.52M,,-2.848M,-21.08M,11.44M,,-12.01M,,-12.01M,,,,-12.01M,,,,,1.562M,,1.562M,,,,,33.58M,,167.58M,33.00M,,200.58M,,1.562M,,,,,,,,
2001-06,-64.08M,,51.12M,12.21M,12.21M,,,22.19M,25.11M,-14.48M,3.094M,-18.74M,12.58M,-12.43M,-5.685M,-10.56M,-31.97M,-21.09M,,-10.68M,,-10.68M,,-14.98M,,-10.68M,,,,0.00,31.37M,,31.37M,,,,,38.49M,,160.87M,6.713M,,167.58M,,31.37M,,,,,,,,
2001-03,18.77M,,1.583M,12.90M,12.90M,,,-22.19M,20.87M,12.92M,-3.228M,-42.59M,-4.631M,-5.665M,2.946M,-19.38M,,-8.312M,,-13.11M,,-13.11M,,0.00,,-13.11M,,,,0.00,2.905M,,2.905M,,,,,2.905M,,179.38M,-18.51M,,160.87M,,2.905M,,,,,,,,
2000-12,-18.02M,,4.671M,13.07M,13.07M,,,,-50.46M,9.655M,0.985M,24.92M,-7.946M,6.159M,0.827M,-15.87M,8.792M,-7.357M,,-16.35M,,-16.35M,,0.00,,-16.35M,,,,5.00M,31.14M,,31.14M,,,,,36.14M,,166.95M,12.43M,,179.38M,,31.14M,,,,,,,,
2000-09,-35.53M,,-0.342M,13.71M,13.71M,,,,35.63M,-6.286M,-0.985M,-54.04M,,-6.159M,-3.773M,-35.62M,-8.792M,-66.56M,,-10.54M,,-10.54M,,14.98M,,4.438M,,,,,45.05M,,45.05M,,,,,45.05M,,184.02M,-17.07M,,166.95M,,45.05M,,,,,,,,
2000-06,171.06M,,28.35M,13.33M,13.33M,,,-166.90M,28.67M,0.754M,,-86.07M,-0.827M,6.832M,,-51.78M,,-31.78M,,-4.341M,0.00,-4.341M,,,-10.67M,-15.01M,,,,0.00,18.72M,,18.72M,,,,,28.72M,,202.09M,-18.07M,,184.02M,,18.72M,,,,,,,,
2000-03,-70.68M,,-151.25M,17.75M,17.75M,,,166.90M,20.88M,3.485M,,32.96M,-0.497M,-39.13M,,17.70M,,-19.58M,,-3.301M,29.76M,26.46M,,2.20M,-2.20M,26.46M,,,,-67.80M,99.27M,,99.27M,,,,,31.47M,,163.70M,38.34M,,202.09M,,99.27M,,,,,,,,
1999-12,-91.50M,,32.30M,22.50M,22.50M,,,-14.00M,-111.10M,106.00M,,11.20M,13.10M,20.10M,,39.30M,,-11.40M,,-6.30M,11.00M,4.70M,,-2.20M,1.10M,3.60M,,,,20.30M,-33.80M,,-33.80M,,,,,-13.50M,,185.10M,-21.30M,,163.70M,,-33.80M,,,,,,,,
1999-09,-196.90M,,6.10M,24.70M,24.70M,,,14.00M,186.20M,-63.60M,,-63.00M,-6.40M,9.10M,,62.30M,,-89.80M,,-7.50M,26.00M,18.50M,,,-1.10M,17.40M,,,,-2.50M,33.80M,,33.80M,,,,,31.30M,,226.10M,-41.10M,,185.10M,,33.80M,,,,,,,,
1999-06,-101.49M,,68.94M,29.27M,29.27M,0.10M,,-33.00M,50.09M,-1.031M,,-24.73M,-14.42M,-14.75M,,-5.278M,,-52.41M,,-18.60M,,-18.60M,,,,-18.60M,,,,2.90M,0.148M,,0.148M,,,,,0.123M,,297.10M,-70.88M,,226.15M,,0.148M,,,,,,,,
1999-03,-114.30M,,6.30M,34.50M,34.50M,0.40M,,32.90M,60.50M,-2.40M,,-36.40M,-10.00M,-10.50M,,1.20M,,-39.00M,,-27.70M,,-27.70M,,,1.50M,-26.20M,,,,0.00,8.50M,,8.50M,,,,,8.50M,,353.70M,-56.70M,,297.10M,,8.50M,,,,,,,,
1998-12,-82.20M,,6.20M,33.70M,33.70M,-0.30M,,0.00,6.40M,6.50M,,-17.30M,11.80M,10.20M,,17.60M,,-25.00M,,-24.10M,,-24.10M,,,-1.50M,-25.60M,,,,-2.90M,3.00M,,3.00M,,,,,0.10M,,404.20M,-50.50M,,353.70M,,3.00M,,,,,,,,
1998-09,-194.70M,,6.10M,33.60M,33.60M,-0.20M,,0.10M,-9.30M,19.00M,,73.20M,2.80M,46.10M,,131.80M,,-23.30M,,-36.00M,,-36.00M,,,,-36.00M,,,,,3.70M,,3.70M,,,,,3.70M,,459.80M,-55.60M,,404.20M,,3.70M,,,,,,,,
1998-06,-162.70M,,6.10M,32.80M,32.80M,-1.20M,,,106.20M,30.70M,,-118.30M,19.90M,,,40.00M,,-85.10M,,-30.90M,,-30.90M,,,4.90M,-26.00M,,,,0.00,1.20M,-7.50M,-6.30M,,,,-0.60M,-6.90M,,0.00,-118.00M,,459.80M,,1.20M,,,-7.50M,,,,,
1998-03,-45.00M,,3.00M,26.40M,26.40M,0.10M,,,5.10M,68.20M,,-7.20M,-18.50M,,,47.60M,,32.10M,,-55.90M,,-55.90M,,,-0.70M,-56.60M,,,,510.10M,6.70M,-15.80M,-9.10M,,,,-18.00M,483.00M,,0.00,458.50M,,0.00,,6.70M,,,-15.80M,,,,,
1997-12,-145.20M,,,25.40M,25.40M,-7.20M,,,87.60M,4.00M,,24.10M,-2.50M,,,113.20M,,-13.80M,,-48.80M,,-48.80M,,,9.70M,-39.10M,,,,,0.90M,-12.50M,-11.60M,,,,-0.10M,-11.70M,,0.00,-64.60M,,0.00,,0.90M,,,-12.50M,,,,,
1997-09,62.70M,,,22.00M,22.00M,8.30M,,,-22.40M,-64.90M,,18.20M,3.90M,,,-65.20M,,27.80M,,-63.00M,,-63.00M,,,-4.20M,-67.20M,,,,,15.00M,,15.00M,,,,,15.00M,,208.30M,-24.40M,,0.00,,15.00M,,,,,,,,
1997-06,87.90M,,,17.10M,17.10M,-0.80M,,0.10M,40.10M,-58.50M,,-36.90M,1.30M,,,-54.00M,,50.30M,,-50.60M,,-50.60M,,0.00,0.80M,-49.80M,,,,,22.80M,-42.40M,-19.60M,,,,,-19.60M,,0.00,-19.10M,,208.30M,,22.80M,,,-42.40M,,,,,
1997-03,82.60M,,,18.10M,18.10M,-0.60M,,,-91.50M,-10.30M,,40.20M,5.80M,,,-55.80M,,44.30M,,-35.80M,,-35.80M,,0.00,-12.80M,-48.60M,,,,,10.20M,-52.40M,-42.20M,,,,,-42.20M,,0.00,-46.50M,,0.00,,10.20M,,,-52.40M,,,,,
1996-12,64.20M,,,13.30M,13.30M,0.00,,-0.10M,-52.20M,-9.40M,,87.30M,-3.60M,,,22.10M,,99.50M,,-20.60M,,-20.60M,,12.90M,12.00M,4.30M,,,,,0.80M,-41.20M,-40.40M,,,,-0.10M,-40.50M,,0.00,63.30M,,0.00,,0.80M,,,-41.20M,,,,,
1996-09,32.90M,,,15.00M,15.00M,-0.20M,,0.10M,-32.50M,-3.70M,,49.10M,-0.60M,,,12.30M,,60.10M,,-49.00M,,-49.00M,,23.70M,-7.50M,-32.80M,,,,,9.30M,-8.60M,0.70M,,,,0.10M,0.80M,,182.60M,28.10M,,0.00,,9.30M,,,-8.60M,,,,,
1996-06,32.70M,,0.00,12.50M,12.50M,0.00,,,-13.60M,-15.40M,,32.90M,-3.80M,,,0.10M,,45.40M,,-41.70M,32.40M,-9.30M,,23.40M,-0.70M,13.40M,,,,,3.60M,-18.40M,-14.80M,,,,,-14.80M,,0.00,44.00M,,0.00,,3.60M,,,-18.40M,,,,,
1996-03,19.50M,,0.00,13.20M,13.20M,-0.50M,,,-36.80M,-23.10M,,29.90M,-5.50M,,,-35.50M,,-3.30M,,-31.60M,1.20M,-30.40M,,2.90M,-2.20M,-29.70M,,,,,5.80M,-41.00M,-35.20M,,,,,-35.20M,,0.00,-68.20M,,0.00,,5.80M,,,-41.00M,,,,,
1995-12,36.40M,,-17.30M,13.60M,13.60M,0.10M,,,-41.80M,17.50M,,31.60M,2.70M,,,10.00M,,42.80M,,-18.80M,51.90M,33.10M,,19.80M,-1.60M,51.30M,,,,,0.30M,-46.70M,-46.40M,,,,,-46.40M,,0.00,47.70M,,0.00,,0.30M,,,-46.70M,,,,,
1995-09,8.30M,,,12.30M,12.30M,0.80M,,,-15.30M,-48.20M,,15.90M,-0.40M,,,-48.00M,,-26.60M,,-16.60M,,-16.60M,,7.50M,-2.70M,-11.80M,,,,,6.00M,-26.00M,-20.00M,,,,,-20.00M,,217.50M,-58.40M,,0.00,,6.00M,,,-26.00M,,,,,
1995-06,26.40M,,,11.70M,11.70M,-7.80M,,11.80M,-47.90M,-5.20M,,56.60M,-2.40M,,,1.10M,,43.20M,,-16.00M,,-16.00M,,1.40M,-6.10M,-20.70M,,,,,6.90M,0.00,6.90M,,,,,6.40M,,0.00,28.90M,,0.00,,6.90M,,,0.00,,,,,
1995-03,19.60M,,,12.30M,12.30M,0.00,,-11.80M,-16.20M,17.70M,,-7.60M,-0.40M,2.80M,,-3.70M,,16.40M,,-9.90M,,-9.90M,,-20.00M,-0.10M,-30.00M,,,,,4.20M,-10.80M,-6.60M,,,,,-6.60M,,0.00,-20.20M,,0.00,,4.20M,,,-10.80M,,,,,
1994-12,42.60M,,,10.20M,10.20M,5.60M,,-0.10M,4.30M,-15.40M,,23.60M,-6.50M,-2.80M,,3.20M,,61.50M,,-11.30M,,-11.30M,,-71.60M,,-82.90M,,,,,0.80M,,0.80M,,,,,0.80M,,0.00,-20.60M,,0.00,,0.80M,,,,,,,,
1994-09,34.70M,,,9.40M,9.40M,0.10M,,0.10M,-42.50M,-16.50M,,21.30M,-6.40M,,,-44.10M,,0.20M,,-17.60M,,-17.60M,,,,-17.60M,,,,,3.40M,,3.40M,,,,,3.40M,,243.50M,-14.00M,,0.00,,3.40M,,,,,,,,
1994-06,37.30M,,,8.50M,8.50M,8.40M,,-0.10M,-15.90M,-6.10M,,36.90M,1.40M,,,16.30M,,70.40M,,-3.00M,0.00,-3.00M,,,0.10M,-2.90M,,,,0.00,2.60M,,2.60M,,,,0.00,2.60M,,0.00,70.10M,,243.40M,,2.60M,,,,,,,,
1994-03,28.40M,,,11.30M,11.30M,-0.20M,,0.30M,-8.40M,13.90M,,4.80M,-3.10M,,,7.20M,,47.00M,,-4.20M,6.80M,2.60M,,,-0.10M,2.50M,,,,-39.00M,78.10M,,78.10M,,,,-0.10M,39.00M,,0.00,88.50M,,0.00,,78.10M,,,,,,,,
1993-12,12.50M,,,12.20M,12.20M,-0.30M,,-0.20M,-22.40M,3.70M,,42.70M,-0.80M,1.20M,,24.40M,,48.60M,,-3.90M,103.90M,100.00M,,,,100.00M,,,,-101.10M,1.90M,,1.90M,,,,,-99.20M,,0.00,49.40M,,0.00,,1.90M,,,,,,,,
1993-09,-5.10M,,,14.20M,14.20M,-0.80M,,,4.70M,12.30M,,-10.30M,-1.00M,-1.20M,,4.50M,,12.80M,,-5.20M,,-5.20M,,,,-5.20M,,,,-6.20M,0.20M,,0.20M,,,,,-6.00M,,33.80M,1.60M,,0.00,,0.20M,,,,,,,,
1993-06,-37.80M,,,14.50M,14.50M,,,2.60M,35.60M,-22.90M,,15.30M,-2.00M,,,26.00M,,2.10M,,-1.60M,,-1.60M,,,,-1.60M,,,,-1.60M,0.00,,0.00,,,,,-1.60M,,0.00,-1.10M,,0.00,,0.00,,,,,,,,
1993-03,1.60M,,,12.90M,12.90M,,,-2.50M,-9.60M,8.00M,,31.90M,-0.50M,-19.60M,,10.20M,,22.20M,,-14.40M,,-14.40M,,,,-14.40M,,,,-49.20M,43.00M,,43.00M,,,,,-6.20M,,0.00,1.60M,,0.00,,43.00M,,,,,,,,
1992-12,6.90M,,,13.00M,13.00M,,,0.10M,-19.20M,11.30M,,,0.10M,-8.20M,,-16.00M,,4.00M,,-6.80M,,-6.80M,,,,-6.80M,,,,1.10M,0.70M,,0.70M,,,,-0.10M,1.70M,,0.00,-1.10M,,0.00,,0.70M,,,,,,,,
1992-09,4.20M,,,13.30M,13.30M,,,-0.10M,-13.70M,-2.10M,,,-1.80M,27.80M,,10.20M,,27.60M,,-12.80M,,-12.80M,,,,-12.80M,,,,-14.40M,0.10M,,0.10M,,,,0.10M,-14.20M,,33.80M,0.60M,,0.00,,0.10M,,,,,,,,
1992-06,4.00M,,0.00,12.30M,12.30M,,,1.60M,22.80M,19.00M,,-24.30M,4.80M,8.90M,,31.20M,,49.00M,,-5.60M,,27.40M,,,-28.00M,-0.60M,,,,-48.60M,,,,,,,,-48.50M,,0.00,-0.10M,,0.00,,,,,,,,,,
1992-03,-18.60M,,0.00,13.00M,13.00M,,,0.10M,-3.90M,23.10M,,-2.00M,-7.40M,1.90M,,11.70M,,6.20M,,-1.10M,,-1.10M,,,0.00,-1.10M,,,,-6.00M,,,,,,,,-6.00M,,0.00,-0.90M,,0.00,,,,,,,,,,
1991-12,-20.40M,,-15.80M,11.30M,11.30M,,,,-41.20M,19.60M,,-13.10M,-5.10M,-6.70M,,-46.50M,,-71.40M,,0.70M,,0.70M,,,28.00M,28.70M,,,,39.90M,,,,,,,,39.90M,,0.00,-2.80M,,0.00,,,,,,,,,,
1991-09,-37.90M,,,14.20M,14.20M,,,,50.20M,5.90M,,-10.10M,1.30M,-4.10M,,43.20M,,19.50M,,-15.30M,,-15.30M,,,,-15.30M,,,,-2.60M,,,,,,,,-2.60M,,36.10M,1.60M,,0.00,,,,,,,,,,
1991-06,-26.60M,,16.60M,15.80M,15.80M,-1.40M,,0.20M,1.30M,3.30M,,-11.80M,1.20M,17.20M,,11.20M,,15.80M,,-18.80M,,-18.80M,,,0.00,-18.80M,,,,-1.80M,,,,,,,,-1.80M,,0.00,-4.80M,,0.00,,,,,,,,,,
1991-03,-10.80M,,-3.40M,13.60M,13.60M,0.00,,-0.20M,-5.80M,-7.30M,,-3.30M,4.50M,-4.20M,,-16.10M,,-16.90M,,-12.60M,,-12.60M,,,0.00,-12.60M,,,,31.40M,,,,,,,,31.40M,,0.00,1.90M,,0.00,,,,,,,,,,
1990-12,-98.50M,,56.60M,11.50M,11.50M,0.00,,,24.90M,-23.50M,,0.10M,8.50M,6.50M,,16.50M,,-13.90M,,-15.80M,,-15.80M,,,0.00,-15.80M,,,,42.20M,,,,,,,,42.20M,,0.00,12.50M,,0.00,,,,,,,,,,
1990-09,1.70M,,,12.90M,12.90M,0.20M,,,-24.50M,-2.30M,,15.00M,4.60M,-2.80M,,-10.00M,,4.80M,,-29.70M,,-29.70M,,,-0.50M,-30.20M,,,,12.60M,,,,,,,,12.60M,,39.30M,-12.80M,,0.00,,,,,,,,,,
1990-06,9.50M,,0.00,11.80M,11.80M,2.50M,,-0.10M,-7.70M,5.20M,,19.50M,-12.10M,-17.90M,,-13.00M,,10.70M,,-26.90M,,-26.90M,,,0.00,-26.90M,,,,19.70M,0.10M,,0.10M,,,,,19.80M,,0.00,3.60M,,0.00,,0.10M,,,,,,,,
1990-03,8.80M,,-1.30M,11.80M,11.80M,0.00,,0.00,-6.80M,15.70M,,10.00M,0.00,8.30M,,27.20M,,46.50M,,-28.10M,,-28.10M,,,-0.50M,-28.60M,,,,-13.90M,0.10M,,0.10M,,,,0.10M,-13.70M,,0.00,4.20M,,0.00,,0.10M,,,,,,,,
1989-12,8.60M,,,12.30M,12.30M,0.40M,,-0.10M,11.00M,13.70M,,6.10M,-0.10M,3.20M,,33.90M,,55.10M,,-17.10M,,-17.10M,,,0.00,-17.10M,,,,-31.60M,0.10M,,0.10M,,,,-0.20M,-31.70M,,0.00,6.30M,,0.00,,0.10M,,,,,,,,
1989-09,-2.70M,,,11.70M,11.70M,0.20M,,,-14.40M,-9.70M,,7.10M,0.30M,2.50M,,-14.20M,,-5.00M,,-14.40M,,-14.40M,,,-0.50M,-14.90M,,,,3.90M,0.50M,,0.50M,,,,0.10M,4.50M,,40.50M,-15.40M,,0.00,,0.50M,,,,,,,,
