,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-09,39.34B,39.34B,30.57B,8.77B,4.439B,,,,,,2.543B,9.512B,-742.00M,,,,-17.00M,,-46.00M,81.00M,-244.00M,-82.00M,,-117.00M,4.00M,1.788B,2.53B,-742.00M,,2002-09,,,-0.14,-0.18,,-0.04,,,,2002-09,1.821B,1.821B,0.10,,2002-09,,
2002-06,42.33B,42.33B,32.32B,10.01B,4.343B,,,,,,,6.99B,3.022B,,,,-19.00M,,947.00M,282.00M,570.00M,,,-95.00M,3.00M,5.669B,2.647B,3.022B,,2002-06,,,0.31,0.31,,0.00,,,,2002-06,1.813B,1.955B,0.10,,2002-06,,
2002-03,39.86B,39.86B,30.07B,9.783B,4.856B,,,,,,2.35B,9.872B,-89.00M,,,,-61.00M,,-46.00M,-26.00M,-92.00M,,-708.00M,-72.00M,4.00M,2.577B,2.666B,-89.00M,,2002-03,0.00,,-0.05,-0.45,,-0.40,-0.3918,,,2002-03,1.807B,1.807B,0.10,,2002-03,,
2001-12,39.24B,39.24B,36.59B,2.653B,4.996B,,,,,,,7.219B,-4.566B,,,,-170.00M,,-7.036B,-2.098B,-4.962B,,,8.00M,4.00M,-2.343B,2.223B,-4.566B,,2001-12,,,-2.71,-2.80,,-0.09,,,,2001-12,1.811B,1.811B,0.15,,2001-12,,
2001-09,36.50B,36.50B,27.30B,9.206B,4.697B,,,,,,,7.377B,1.829B,,,,-346.00M,,-977.00M,-285.00M,-692.00M,,,-9.00M,4.00M,4.509B,2.68B,1.829B,,2001-09,,,-0.39,-0.39,,0.00,,,,2001-09,1.812B,1.812B,0.30,,2001-09,,
2001-06,42.31B,42.31B,33.65B,8.666B,4.25B,,,,,,,6.924B,1.742B,,,,-162.00M,,-1.016B,-284.00M,-752.00M,,,-20.00M,3.00M,4.416B,2.674B,1.742B,,2001-06,,,-0.42,-0.42,,0.00,,,,2001-06,1.819B,1.819B,0.30,,2001-06,,
2001-03,42.45B,42.45B,30.82B,11.63B,4.629B,,,,,,3.154B,10.30B,1.329B,,,,-178.00M,,1.633B,571.00M,1.059B,,,-3.00M,4.00M,3.848B,2.519B,1.329B,,2001-03,,,0.58,0.58,,0.00,,,,2001-03,1.828B,1.828B,0.30,,2001-03,,
2000-12,42.60B,42.60B,36.33B,6.268B,-278.00M,-6.00M,,,,,,2.097B,4.171B,,,,-6.00M,,1.583B,506.00M,1.077B,0.00,,-16.00M,4.00M,6.546B,2.375B,4.171B,,2000-12,,,0.5222,0.57,,0.05,,,,2000-12,1.87B,1.941B,0.30,,2000-12,AOR,
2000-09,40.06B,40.06B,29.67B,10.38B,4.077B,-61.00M,,,,,,6.504B,3.881B,,,,-61.00M,,1.337B,449.00M,888.00M,,,-47.00M,4.00M,6.308B,2.427B,3.881B,,2000-09,,,0.5646,0.54,,0.00,,,,2000-09,1.649B,1.649B,0.3183,,2000-09,,
2000-06,44.52B,44.52B,33.52B,11.00B,4.118B,29.00M,,,,,,6.516B,4.488B,,,,29.00M,,2.241B,728.00M,1.513B,-2.09B,,-27.00M,3.00M,6.886B,2.398B,4.488B,,2000-06,,,0.7917,-0.3055,,-1.108,,,,2000-06,1.893B,1.939B,0.3183,,2000-06,,
2000-03,42.89B,42.89B,31.58B,11.32B,3.93B,-32.00M,,,,,,6.138B,5.178B,,,,-32.00M,,2.954B,1.022B,1.932B,147.00M,,-29.00M,,7.386B,2.208B,5.178B,,2000-03,,,1.036,1.101,,0.0764,,,,2000-03,1.895B,1.921B,0.3183,,2000-03,,
1999-12,43.92B,43.92B,40.25B,3.67B,-1.678B,-6.151B,,,,,,695.00M,2.975B,,,,-6.116B,,2.663B,848.00M,1.815B,95.00M,,-26.00M,4.00M,5.971B,7.661B,-1.69B,,1999-12,,,4.860,1.50,,0.08,,,,1999-12,1.219B,1.246B,0.3183,,1999-12,AOR,Restated
1999-09,37.28B,37.28B,27.88B,9.401B,3.618B,11.00M,,,,,,5.951B,3.45B,,,,11.00M,,1.432B,473.00M,959.00M,155.00M,,-24.00M,4.00M,5.783B,2.333B,3.45B,,1999-09,,,0.7839,0.92,,0.12,,,,1999-09,1.207B,1.233B,0.2928,,1999-09,,
1999-06,41.91B,41.91B,30.80B,11.11B,3.769B,-12.00M,,,,,,6.16B,4.951B,,,,-12.00M,,3.092B,1.034B,2.058B,280.00M,,-31.00M,3.00M,7.342B,2.391B,4.951B,,1999-06,,,1.707,1.93,,0.23,,,,1999-06,1.211B,1.211B,0.2928,,1999-06,,
1999-03,37.55B,37.55B,27.74B,9.812B,3.165B,34.00M,,,,,,5.322B,4.49B,,,,34.00M,,2.667B,893.00M,1.774B,205.00M,,-23.00M,4.00M,6.647B,2.157B,4.49B,,1999-03,,,1.451,1.64,,0.17,,,,1999-03,1.206B,1.237B,0.2928,,1999-03,,
1998-12,36.84B,36.84B,32.94B,3.894B,925.00M,-7.409B,,,,,,3.099B,795.00M,,,,8.482B,,16.56B,114.00M,16.45B,,,-28.00M,4.00M,19.08B,7.488B,11.60B,,1998-12,,,19.98,1.22,,-12.32,,,,1998-12,1.140B,1.239B,0.2928,,1998-12,AOR,Restated
1998-09,32.64B,32.64B,25.25B,7.387B,1.971B,345.00M,,,,,,4.191B,3.196B,,,,345.00M,,1.483B,482.00M,1.001B,,,-30.00M,4.00M,5.416B,2.22B,3.196B,,1998-09,,,0.6208,0.81,,0.00,,,,1998-09,1.231B,1.246B,0.2673,,1998-09,,
1998-06,37.29B,37.29B,27.40B,9.886B,2.43B,336.00M,,,,,,4.588B,5.298B,,,,336.00M,,3.573B,1.192B,2.381B,,,-28.00M,4.00M,7.456B,2.158B,5.298B,,1998-06,,,1.775,1.96,,0.00,,,,1998-06,1.213B,1.245B,0.2673,,1998-06,,
