,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-12,19.02M,,,,,,,18.77M,18.77M,,,,,7.587M,-15.27M,3.033M,22.97M,2.928M,-2.111M,,11.56M,,51.03M,-18.87M,0.00,-18.87M,,-0.539M,-107.61M,5.915M,-121.10M,,,200.16M,2.443M,,2.443M,,,199.73M,66.51M,129.67M,-0.446M,195.73M,2.443M,,,
2004-09,6.29M,,,,,,,13.85M,13.85M,,,,,5.806M,15.88M,-3.93M,2.626M,-13.76M,-0.925M,-2.799M,-2.914M,1.487M,24.52M,-12.57M,19.78M,7.205M,,-30.90M,26.26M,-22.35M,-19.79M,,,-11.27M,1.508M,,1.508M,,,-9.758M,155.33M,-5.026M,-0.542M,66.51M,1.508M,,,
2004-06,20.27M,,,,,,,12.38M,12.38M,,,,,,-8.635M,-5.785M,-6.722M,11.86M,-8.242M,5.957M,-11.57M,-0.845M,20.24M,-15.64M,,-15.64M,,-9.544M,16.77M,13.80M,5.387M,,,1.912M,1.365M,,1.365M,,,3.277M,42.15M,28.90M,1.032M,155.33M,1.365M,,,
2004-03,22.62M,,,,,,,10.50M,10.50M,,,,,,3.627M,1.182M,-17.78M,2.476M,8.478M,-3.158M,-5.172M,-0.642M,27.31M,-13.42M,,-13.42M,,-18.00M,-18.58M,-0.83M,-50.82M,,,-2.172M,2.148M,,2.148M,,,-0.024M,65.40M,-23.54M,0.293M,42.15M,2.148M,,,
2003-12,19.22M,,,,,-16.56M,,10.84M,10.84M,,,,,,-1.189M,5.518M,-3.088M,12.71M,-3.721M,,10.23M,,38.08M,-21.33M,,-21.33M,,-0.806M,-84.69M,-5.402M,-112.23M,,,-15.03M,1.239M,,1.239M,,14.90M,1.104M,140.75M,-73.05M,-2.302M,65.40M,1.239M,,,
2003-09,8.348M,,,,,31.26M,,10.66M,10.66M,,,,,,-3.934M,-2.653M,22.06M,-20.17M,12.00M,-15.91M,-8.608M,1.312M,42.97M,-22.30M,,-22.30M,,-15.57M,-3.006M,3.144M,-37.73M,,,122.24M,0.992M,,0.992M,,-14.90M,108.34M,28.83M,113.58M,-1.655M,140.75M,0.992M,,,
2003-06,22.27M,,,,,,,10.60M,10.60M,,,,,,13.09M,-6.667M,-8.262M,-15.86M,-2.39M,13.41M,-6.683M,-1.312M,24.87M,-14.39M,,-14.39M,,5.957M,-1.119M,-9.999M,-19.55M,,,-0.696M,1.836M,,1.836M,,,1.14M,25.22M,6.464M,-2.859M,28.83M,1.836M,,,
2003-03,26.36M,,,,,,,9.896M,9.896M,,,,,,2.036M,-4.398M,-12.31M,9.12M,-11.48M,2.496M,-14.54M,,21.72M,-10.98M,,-10.98M,,-5.957M,-1.049M,-2.741M,-20.73M,,,-3.654M,1.242M,,1.242M,,,-2.412M,27.73M,-1.42M,-1.09M,25.22M,1.242M,,,
2002-12,16.90M,,,,,-0.846M,,-27.43M,-27.43M,,,,,,-2.218M,14.15M,-1.25M,9.867M,-10.79M,37.23M,46.98M,,35.61M,-10.97M,,-10.97M,,0.00,-0.433M,-1.284M,-12.68M,,,-36.90M,0.358M,,0.358M,,,-36.55M,39.25M,-13.62M,2.105M,27.73M,0.358M,,,
2002-09,16.62M,,,,,-0.188M,,10.09M,10.09M,,,,,,-4.56M,-5.149M,8.141M,-0.292M,7.517M,,5.657M,,32.18M,-12.28M,,-12.28M,,0.00,-0.847M,0.156M,-12.98M,,,-10.19M,1.109M,,1.109M,,,-9.084M,25.66M,10.12M,3.474M,39.25M,1.109M,,,
2002-06,16.23M,,,,,1.034M,,8.523M,8.523M,,,,,,8.877M,-6.389M,2.563M,-6.783M,-1.934M,-2.289M,-5.955M,,19.83M,-10.53M,,-10.53M,,-8.568M,0.124M,-1.239M,-20.21M,,,-23.16M,3.207M,,3.207M,,-1.541M,-21.49M,44.95M,-21.87M,2.583M,25.66M,3.207M,,,
2002-03,18.77M,,,,,,,8.817M,8.817M,,,,,,-2.099M,-2.609M,-9.454M,-2.792M,5.211M,2.289M,-9.454M,,18.14M,-8.443M,,-8.443M,,,-0.238M,0.097M,-8.584M,,,-14.20M,0.66M,,0.66M,,1.541M,-12.00M,47.13M,-2.45M,0.267M,44.95M,0.66M,,,
2001-12,17.02M,,,,,-0.237M,,10.61M,10.61M,,,,,13.17M,-16.00M,13.42M,-1.572M,-1.467M,7.165M,,1.546M,,40.41M,-11.16M,,-11.16M,,0.00,-0.189M,0.127M,-11.22M,,,-14.52M,1.871M,,1.61M,,,-12.91M,32.33M,16.28M,-1.478M,47.13M,1.871M,,,
2001-09,7.047M,,,,,0.901M,,10.44M,10.44M,,,,,3.011M,7.379M,-13.66M,6.812M,-0.725M,0.873M,,0.683M,,22.08M,-12.42M,,-12.42M,,-4.65M,0.027M,-0.90M,-17.94M,,,-1.145M,0.692M,,0.692M,,,-0.453M,26.07M,3.689M,2.571M,32.33M,0.692M,,,
2001-06,11.56M,,,,,-0.144M,,9.944M,9.944M,,,,,10.22M,2.663M,-6.581M,3.575M,0.988M,5.352M,-2.79M,3.207M,,34.78M,-10.37M,,-10.37M,,,0.03M,0.127M,-10.22M,,,-8.739M,1.526M,,1.526M,,,-7.213M,9.994M,17.36M,-1.283M,26.07M,1.526M,,,
2001-03,8.569M,,,,,-1.12M,,10.30M,10.30M,,,,,,-16.64M,-7.18M,2.885M,-1.596M,4.21M,2.79M,-15.54M,,2.215M,-9.278M,,-9.278M,,,0.062M,1.056M,-8.16M,,,-0.438M,0.853M,,0.853M,,,0.415M,13.95M,-5.53M,1.57M,9.994M,0.853M,,,
2000-12,9.862M,,,,,-1.192M,,10.88M,10.88M,,,,,-1.591M,3.911M,-4.735M,5.313M,0.106M,-31.04M,10.98M,-15.46M,,5.882M,-7.465M,7.118M,-0.347M,,,0.125M,0.41M,0.188M,,,0.384M,0.689M,,0.311M,,-4.50M,-3.805M,8.586M,2.265M,3.103M,13.95M,0.689M,,,
2000-09,13.92M,,,,,-2.259M,,10.70M,10.70M,,,,,-4.724M,-4.744M,0.824M,0.477M,-2.378M,5.563M,-10.98M,-11.24M,,6.40M,-6.884M,27.00M,20.12M,,,0.14M,2.244M,22.50M,,,-41.31M,-0.059M,,-0.059M,,4.50M,-36.87M,13.07M,-7.971M,3.486M,8.586M,-0.059M,,,
2000-06,5.074M,,,,,-1.219M,,11.04M,11.04M,,,,,4.724M,-2.406M,-4.082M,1.126M,2.993M,0.07M,0.469M,-1.83M,,17.79M,-8.739M,,-8.739M,,,0.099M,1.131M,-7.509M,,,-9.383M,0.263M,,0.263M,,0.00,-9.12M,15.32M,1.158M,-3.408M,13.07M,0.263M,,,
2000-03,2.955M,,,,,-2.634M,,10.69M,10.69M,,,,,,2.91M,-10.92M,-7.502M,0.193M,-1.041M,-0.469M,-16.83M,,-5.822M,-8.318M,,-8.318M,,,0.105M,2.33M,-5.883M,,,11.20M,1.495M,,1.495M,,-4.50M,8.19M,17.09M,-3.515M,1.749M,15.32M,1.495M,,,
1999-12,-11.18M,,,,,-0.80M,,10.90M,10.90M,,,,,1.284M,-13.80M,8.90M,25.10M,6.30M,12.30M,,38.80M,,22.10M,-210.10M,,-210.10M,,,-3.40M,2.30M,-211.20M,,,196.80M,1.30M,-1.00M,0.30M,,-4.90M,192.20M,11.80M,3.10M,2.30M,17.10M,1.30M,,,-1.00M
1999-09,4.30M,,,,,0.40M,,5.80M,5.80M,,,,,0.00,1.70M,-3.60M,5.00M,0.00,-3.80M,,-0.70M,,9.80M,-9.00M,,-9.00M,,,8.50M,-2.50M,-3.00M,,,-5.90M,0.00,0.30M,0.30M,,,-5.60M,11.60M,1.20M,-1.00M,11.80M,0.00,,,0.30M
1999-06,7.80M,,,,,-1.00M,,5.60M,5.60M,,,,,1.40M,4.10M,-0.40M,-1.20M,0.00,-4.60M,,-2.10M,,11.70M,-6.40M,,-6.40M,,,-0.30M,0.80M,-5.90M,,,-3.00M,0.00,0.30M,0.30M,,0.10M,-2.60M,8.00M,3.20M,0.40M,11.60M,0.00,,,0.30M
1999-03,10.80M,,,,,-1.90M,,5.20M,5.20M,,,,,-1.30M,-8.10M,-0.80M,-2.70M,-0.70M,0.90M,,-11.40M,,1.40M,-4.60M,,-4.60M,,,-0.40M,1.80M,-3.20M,,,-0.10M,0.30M,-1.80M,-1.50M,,-0.10M,-1.70M,10.10M,-3.50M,1.40M,8.00M,0.30M,,,-1.80M
1998-12,6.402M,,,,,0.20M,,5.675M,5.675M,,,,,-0.477M,-7.30M,5.30M,2.20M,4.80M,-0.10M,,4.90M,,11.40M,-6.80M,,-6.80M,,,1.40M,-1.40M,-6.80M,,,2.50M,0.80M,,-3.90M,,0.10M,-1.30M,0.00,3.30M,-1.70M,10.10M,0.80M,,,
1998-09,2.00M,,,,,-0.40M,,5.10M,5.10M,,,,,0.40M,6.40M,-2.60M,1.20M,-0.90M,-2.70M,,1.40M,,8.50M,-6.20M,,-6.20M,,,4.70M,-1.40M,-2.90M,,,-9.30M,0.10M,,0.10M,,-0.10M,-9.30M,0.00,-3.70M,-1.30M,0.00,0.10M,,,
1998-06,7.10M,,,,,-5.90M,,5.10M,5.10M,,,,,-0.50M,2.00M,0.00,-2.80M,1.30M,1.20M,,1.70M,,7.50M,-4.00M,,-4.00M,,,-6.90M,0.90M,-10.00M,,,1.60M,0.80M,,0.80M,,,2.40M,0.00,-0.10M,0.90M,0.00,0.80M,,,
