,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-01,334.70M,,334.70M,413.50M,,413.50M,41.50M,148.00M,137.80M,315.90M,643.20M,,102.30M,100.80M,1.594B,,,,,,885.50M,-406.00M,479.50M,673.20M,686.40M,1.360B,,66.20M,1.905B,3.500B,,299.50M,,,,299.50M,6.00M,305.50M,,,397.20M,397.20M,,,43.30M,746.00M,660.60M,,660.60M,108.40M,108.40M,,,173.20M,942.20M,1.688B,,23.40M,2.110B,69.70M,318.10M,,,,-15.10M,-57.90M,-73.00M,1.812B,,,Restated
2008-10,326.80M,,326.80M,534.40M,,534.40M,54.10M,129.20M,183.30M,316.40M,683.00M,,102.30M,126.50M,1.773B,,,,,,892.10M,-406.00M,486.10M,671.70M,687.60M,1.359B,,62.20M,1.908B,3.681B,,370.90M,,,,370.90M,8.30M,379.20M,,,787.10M,787.10M,,,,1.166B,412.30M,,412.30M,105.60M,105.60M,,,184.20M,702.10M,1.868B,,23.40M,2.073B,70.60M,297.60M,,,,-0.30M,-56.80M,-57.10M,1.812B,,,Restated
2008-07,160.20M,,160.20M,428.80M,,428.80M,55.40M,150.10M,186.50M,317.00M,709.00M,,102.30M,94.10M,1.494B,,,,,,911.70M,-406.00M,505.70M,688.10M,697.60M,1.386B,,63.10M,1.954B,3.449B,,343.00M,,,,343.00M,61.10M,404.10M,,,580.70M,580.70M,,,41.00M,1.026B,416.70M,,416.70M,81.90M,81.90M,,,173.50M,672.10M,1.698B,,18.90M,1.934B,69.70M,298.70M,,,,,,26.80M,1.751B,,,Restated
2008-04,119.00M,,119.00M,453.00M,,453.00M,351.00M,179.00M,155.00M,,685.00M,,102.00M,97.00M,1.456B,0.00,88.00M,342.00M,453.00M,24.00M,907.00M,-406.00M,501.00M,688.00M,699.00M,1.387B,,61.00M,1.949B,3.405B,,380.00M,,,,380.00M,,380.00M,,,589.00M,589.00M,,,15.00M,984.00M,417.00M,,417.00M,89.00M,89.00M,121.00M,,69.00M,696.00M,1.68B,,19.00M,1.931B,74.00M,304.00M,,,,99.00M,-88.00M,11.00M,1.725B,,,Restated
2008-01,136.60M,,136.60M,473.10M,,473.10M,40.50M,181.20M,155.40M,305.40M,682.50M,,76.10M,75.60M,1.444B,,,,,,880.10M,-378.00M,502.10M,684.10M,698.50M,1.383B,,63.00M,1.948B,3.392B,,354.10M,,,,354.10M,15.00M,369.10M,,,597.00M,597.00M,,,41.50M,1.008B,417.30M,,417.30M,69.70M,69.70M,,,202.40M,689.40M,1.697B,,18.90M,1.832B,75.10M,207.80M,,,,73.30M,-97.10M,-23.80M,1.695B,,,
2007-10,192.70M,,192.70M,535.10M,,535.10M,55.00M,168.10M,208.20M,302.30M,733.60M,,76.10M,57.70M,1.595B,,,,,,884.20M,-378.00M,506.20M,685.60M,697.10M,1.383B,,62.20M,1.951B,3.546B,,424.00M,,,,424.00M,,424.00M,,,699.10M,699.10M,,,,1.123B,418.20M,,418.20M,61.70M,61.70M,,,193.30M,673.20M,1.796B,,18.90M,1.800B,75.90M,110.70M,,,,68.60M,-102.20M,-33.60M,1.75B,,,
2007-07,179.80M,,179.80M,393.80M,,393.80M,53.40M,175.20M,187.50M,308.70M,724.80M,,76.00M,41.00M,1.415B,,,,,,882.80M,-378.00M,504.80M,669.00M,695.80M,1.365B,,57.20M,1.927B,3.342B,,334.30M,,,,334.30M,7.00M,341.30M,,,696.80M,696.80M,,,37.40M,1.076B,421.40M,,421.40M,53.00M,53.00M,,,185.40M,659.80M,1.735B,,18.90M,1.670B,73.00M,100.90M,,,,47.10M,-101.40M,-54.30M,1.607B,,,
2007-04,283.00M,86.00M,369.00M,404.00M,,404.00M,43.00M,199.00M,151.00M,301.00M,694.00M,,76.00M,92.00M,1.635B,0.00,88.00M,323.00M,446.00M,27.00M,884.00M,-378.00M,506.00M,670.00M,684.00M,1.354B,,56.00M,1.916B,3.551B,,361.00M,,,,361.00M,27.00M,388.00M,,,755.00M,755.00M,,,204.00M,1.347B,422.00M,,422.00M,57.00M,57.00M,,,152.00M,631.00M,1.978B,,19.00M,1.65B,64.00M,102.00M,,,,46.00M,-103.00M,-57.00M,1.573B,,,
2007-01,253.90M,149.80M,403.70M,485.20M,,485.20M,111.00M,132.60M,163.60M,293.40M,700.60M,,79.60M,45.10M,1.714B,,,,,,878.70M,-382.00M,496.70M,664.70M,684.60M,1.349B,,170.60M,2.017B,3.731B,,363.80M,,,,363.80M,55.00M,418.80M,,,875.80M,875.80M,,,43.10M,1.338B,369.30M,,369.30M,126.50M,126.50M,,,108.10M,603.90M,1.942B,,18.90M,1.796B,52.40M,105.30M,,,,30.80M,-3.80M,27.00M,1.789B,,,
2006-10,222.60M,190.20M,412.80M,441.70M,,441.70M,60.80M,92.60M,156.60M,283.70M,593.70M,,81.00M,26.80M,1.556B,,,,,,809.50M,-382.00M,427.50M,324.30M,442.10M,766.40M,,175.30M,1.369B,2.925B,,341.90M,,,,341.90M,48.50M,390.40M,,,197.20M,197.20M,,,2.70M,590.30M,353.70M,,353.70M,131.30M,131.30M,,,100.30M,585.30M,1.176B,,18.90M,1.766B,51.10M,107.00M,,,,26.40M,-5.30M,21.10M,1.750B,,,
2006-07,219.90M,186.30M,406.20M,331.20M,,331.20M,54.80M,82.10M,128.00M,281.70M,546.60M,,81.00M,21.50M,1.386B,,,,,,820.50M,-382.00M,438.50M,324.30M,442.10M,766.40M,,165.20M,1.370B,2.757B,,249.10M,,,,249.10M,79.10M,328.20M,,,198.10M,198.10M,,,36.40M,562.70M,353.60M,,353.60M,129.10M,129.10M,,,97.40M,580.10M,1.143B,,18.90M,1.640B,48.30M,114.30M,,,,27.00M,-5.90M,21.10M,1.614B,,,
2006-04,475.00M,160.00M,635.00M,323.00M,,323.00M,37.00M,106.00M,94.00M,275.00M,512.00M,,80.00M,59.00M,1.609B,0.00,78.00M,290.00M,403.00M,23.00M,794.00M,-369.00M,425.00M,192.00M,325.00M,517.00M,,177.00M,1.119B,2.728B,,289.00M,,,,289.00M,49.00M,338.00M,,,225.00M,225.00M,,,6.00M,569.00M,349.00M,,349.00M,133.00M,133.00M,,,114.00M,596.00M,1.165B,,19.00M,1.607B,47.00M,128.00M,,,,24.00M,-6.00M,18.00M,1.563B,,,
2006-01,366.20M,229.70M,595.90M,312.60M,,312.60M,41.10M,108.50M,100.80M,269.40M,519.80M,,69.90M,31.60M,1.530B,,,,,,915.10M,-497.00M,418.10M,,520.30M,520.30M,,186.40M,1.125B,2.655B,,261.20M,,,,261.20M,42.30M,303.50M,,,249.50M,249.50M,,,38.00M,591.00M,351.90M,,351.90M,146.10M,146.10M,,,104.00M,602.00M,1.193B,,18.90M,1.530B,40.60M,134.30M,,,,,,6.00M,1.462B,,,
2005-10,451.90M,,451.90M,405.00M,,405.00M,51.00M,97.00M,114.10M,260.40M,522.50M,,69.90M,34.40M,1.484B,,,,,,914.30M,-497.00M,417.30M,,519.40M,519.40M,,171.40M,1.108B,2.592B,,299.70M,,,,299.70M,37.30M,337.00M,,,249.70M,249.70M,,,3.80M,590.50M,351.80M,,351.80M,146.30M,146.30M,,,103.20M,601.30M,1.192B,,18.90M,1.478B,37.90M,140.00M,,,,,,4.90M,1.40B,,,
2005-07,265.00M,,265.00M,321.00M,,321.00M,50.00M,70.00M,110.00M,258.00M,488.00M,,70.00M,196.00M,1.34B,,,,,,911.00M,-497.00M,414.00M,,520.00M,520.00M,,323.00M,1.257B,2.597B,,227.00M,,,,227.00M,75.00M,302.00M,,,249.00M,249.00M,,,94.00M,645.00M,352.00M,,352.00M,155.00M,155.00M,,,183.00M,690.00M,1.335B,,19.00M,1.369B,36.00M,141.00M,,,,-20.00M,,-20.00M,1.262B,,,
2005-04,295.00M,,295.00M,296.00M,,296.00M,38.00M,81.00M,102.00M,249.00M,470.00M,,70.00M,184.00M,1.315B,0.00,79.00M,272.00M,403.00M,23.00M,777.00M,-359.00M,418.00M,193.00M,334.00M,527.00M,,389.00M,1.334B,2.649B,,264.00M,,,,264.00M,42.00M,306.00M,,,279.00M,279.00M,,,53.00M,638.00M,351.00M,,351.00M,158.00M,158.00M,,,192.00M,701.00M,1.339B,,19.00M,1.415B,34.00M,147.00M,,,,,,-11.00M,1.31B,,,
2005-01,289.50M,,289.50M,357.10M,,357.10M,37.30M,102.20M,196.50M,237.70M,573.70M,,66.90M,23.70M,1.311B,,,,,,985.50M,-485.00M,500.50M,,617.20M,617.20M,,193.60M,1.311B,2.622B,,314.30M,,,,314.30M,112.60M,426.90M,,,32.50M,32.50M,,,29.80M,489.20M,600.80M,,600.80M,113.20M,113.20M,,,177.80M,891.80M,1.381B,,18.90M,1.376B,,150.40M,,,,,,-3.40M,1.241B,,,
2004-10,85.80M,,85.80M,488.70M,,488.70M,51.40M,107.20M,217.60M,225.50M,601.70M,,66.90M,32.90M,1.276B,,,,,,992.60M,-485.00M,507.60M,,567.50M,567.50M,,212.60M,1.288B,2.564B,,344.90M,,,,344.90M,82.00M,426.90M,,,56.80M,56.80M,,,,483.70M,601.10M,,601.10M,100.50M,100.50M,,,175.60M,877.20M,1.361B,,18.90M,1.340B,,151.60M,,,,,,-4.70M,1.203B,,,
2004-07,84.00M,,84.00M,324.30M,,324.30M,50.60M,92.50M,211.70M,223.50M,578.30M,,66.90M,32.50M,1.086B,,,,,,996.20M,-485.00M,511.20M,,562.30M,562.30M,,213.20M,1.287B,2.373B,,257.70M,,,,257.70M,68.10M,325.80M,,,16.50M,16.50M,,,25.90M,368.20M,630.20M,,630.20M,110.20M,110.20M,,,170.80M,911.20M,1.279B,,18.90M,1.236B,,149.60M,,,,,,-12.40M,1.093B,,,
2004-04,68.00M,,68.00M,348.00M,,348.00M,43.00M,111.00M,185.00M,218.00M,557.00M,,67.00M,43.00M,1.083B,0.00,92.00M,346.00M,538.00M,24.00M,1.00B,-485.00M,515.00M,,562.00M,562.00M,,216.00M,1.293B,2.376B,,271.00M,,,,271.00M,48.00M,319.00M,,,50.00M,50.00M,,,,369.00M,630.00M,,630.00M,112.00M,112.00M,,,170.00M,912.00M,1.281B,,19.00M,1.218B,28.00M,156.00M,,,,16.00M,-30.00M,-14.00M,1.095B,,,
2004-01,110.10M,,110.10M,313.50M,,313.50M,44.60M,121.10M,205.00M,219.60M,590.30M,,56.00M,38.00M,1.108B,,,,,,994.80M,-482.00M,512.80M,,562.80M,562.80M,,148.40M,1.224B,2.332B,,284.90M,,,,284.90M,62.50M,347.40M,,,138.20M,138.20M,,,,485.60M,629.80M,,629.80M,70.80M,70.80M,,,172.10M,872.70M,1.358B,,18.90M,1.178B,,161.30M,,,,,,-62.20M,973.60M,,,
2003-10,74.50M,,74.50M,431.20M,,431.20M,59.40M,115.30M,231.10M,220.00M,625.80M,,56.00M,29.50M,1.217B,,,,,,993.10M,-482.00M,511.10M,,553.40M,553.40M,,148.20M,1.213B,2.430B,,334.00M,,,,334.00M,,334.00M,,,229.50M,229.50M,,,58.20M,621.70M,629.20M,,629.20M,73.70M,73.70M,,,176.20M,879.10M,1.501B,,10.30M,1.579B,,585.30M,,,,,,-75.40M,928.90M,,,
2003-07,71.90M,,71.90M,304.60M,,304.60M,54.50M,99.90M,233.80M,225.10M,613.30M,,56.00M,31.20M,1.077B,,,,,,991.50M,-482.00M,509.50M,,550.10M,550.10M,,144.00M,1.204B,2.281B,,297.70M,,,,297.70M,48.90M,346.60M,,,205.20M,205.20M,,,22.70M,574.50M,629.00M,,629.00M,71.80M,71.80M,,,171.10M,871.90M,1.446B,,10.30M,1.491B,,587.70M,,,,,,-79.50M,834.20M,,,
2003-04,72.00M,,72.00M,325.00M,,325.00M,48.00M,112.00M,203.00M,222.00M,585.00M,,56.00M,30.00M,1.068B,0.00,88.00M,314.00M,518.00M,68.00M,988.00M,-482.00M,506.00M,,546.00M,546.00M,,144.00M,1.196B,2.264B,,297.00M,,,,297.00M,44.00M,341.00M,,,207.00M,207.00M,,,,548.00M,629.00M,,629.00M,78.00M,78.00M,,,169.00M,876.00M,1.424B,,10.00M,1.506B,,593.00M,,,,-2.00M,-81.00M,-83.00M,840.00M,,,
2003-01,79.60M,,79.60M,308.10M,,308.10M,57.50M,118.20M,205.20M,213.70M,594.60M,,,57.90M,1.040B,,,,,,924.00M,-470.00M,454.00M,,422.80M,422.80M,,224.20M,1.101B,2.141B,,291.80M,,,,291.80M,,291.80M,,,155.60M,155.60M,,,86.50M,533.90M,40.20M,,40.20M,38.10M,38.10M,,,120.20M,198.50M,732.40M,,10.30M,1.448B,,35.60M,,,,,,-14.00M,1.409B,,,
2002-10,136.40M,,136.40M,404.30M,,404.30M,65.40M,115.90M,226.20M,212.40M,619.90M,,,50.20M,1.211B,,,,,,916.30M,-470.00M,446.30M,,246.50M,246.50M,,311.10M,1.004B,2.215B,,325.00M,,,,325.00M,,325.00M,,,259.20M,259.20M,,,49.20M,633.40M,40.20M,,40.20M,36.00M,36.00M,,,117.00M,193.20M,826.60M,,10.30M,1.430B,,35.90M,,,,,,-15.80M,1.388B,,,
2002-07,123.80M,,123.80M,257.20M,,257.20M,64.80M,99.30M,218.40M,219.40M,601.90M,,,51.60M,1.034B,,,,,,908.90M,-470.00M,438.90M,,246.50M,246.50M,,306.70M,992.10M,2.027B,,270.90M,,,,270.90M,,270.90M,,,174.50M,174.50M,,,88.80M,534.20M,40.20M,,40.20M,36.00M,36.00M,,,113.70M,189.90M,724.10M,,10.30M,1.348B,,37.50M,,,,,,-18.40M,1.302B,,,
2002-04,116.00M,,116.00M,280.00M,,280.00M,58.00M,118.00M,183.00M,219.00M,578.00M,,31.00M,24.00M,1.029B,0.00,69.00M,292.00M,546.00M,,907.00M,-470.00M,437.00M,,246.00M,246.00M,,304.00M,987.00M,2.016B,,296.00M,,,,296.00M,,296.00M,,,167.00M,167.00M,,,32.00M,495.00M,40.00M,,40.00M,58.00M,58.00M,,,112.00M,210.00M,705.00M,,10.00M,1.36B,,40.00M,,,,-15.00M,-4.00M,-19.00M,1.311B,,,
2002-01,124.80M,,124.80M,225.50M,,225.50M,55.70M,116.70M,209.00M,210.90M,592.30M,,,23.60M,966.20M,,,,,,870.60M,-441.00M,429.60M,,247.40M,247.40M,,296.80M,973.80M,1.94B,,266.20M,,,,266.20M,33.90M,300.10M,,,162.00M,162.00M,8.00M,8.00M,23.90M,494.00M,40.20M,,40.20M,32.90M,32.90M,,,113.40M,186.50M,680.50M,,10.30M,1.309B,,42.40M,,,,-18.20M,0.80M,-17.40M,1.260B,,,
2001-10,94.10M,,94.10M,376.40M,,376.40M,57.50M,122.80M,249.00M,211.20M,640.50M,,,18.00M,1.129B,,,,,,872.20M,-441.00M,431.20M,,247.40M,247.40M,,285.10M,963.70M,2.093B,,310.30M,,,,310.30M,57.50M,367.80M,,,269.00M,269.00M,8.00M,8.00M,,644.80M,40.20M,,40.20M,44.10M,44.10M,,,112.40M,196.70M,841.50M,,10.30M,1.300B,,43.70M,,,,-15.50M,0.40M,-15.10M,1.251B,,,
2001-07,86.40M,,86.40M,275.50M,,275.50M,56.90M,81.00M,247.40M,217.70M,603.00M,,,20.90M,985.80M,,,,,,865.10M,-441.00M,424.10M,,250.90M,250.90M,,275.10M,950.10M,1.936B,,245.00M,,,,245.00M,56.90M,301.90M,,,217.70M,217.70M,8.00M,8.00M,22.50M,550.10M,40.20M,,40.20M,54.10M,54.10M,,,120.60M,214.90M,765.00M,,10.30M,1.220B,,44.40M,,,,-15.90M,1.20M,-14.70M,1.171B,,,
2001-04,86.00M,,86.00M,303.00M,,303.00M,49.00M,93.00M,216.00M,219.00M,577.00M,,,28.00M,994.00M,0.00,78.00M,258.00M,529.00M,,865.00M,-441.00M,424.00M,,263.00M,263.00M,,258.00M,945.00M,1.939B,,281.00M,,,,281.00M,,281.00M,,,204.00M,204.00M,8.00M,8.00M,45.00M,538.00M,40.00M,,40.00M,62.00M,62.00M,,,112.00M,214.00M,752.00M,,10.00M,1.226B,,32.00M,,,,-17.00M,,-17.00M,1.187B,,,
2001-01,78.50M,,78.50M,243.70M,,243.70M,,,,,580.60M,,,18.00M,920.80M,,,,,,836.10M,-423.00M,413.10M,,264.90M,264.90M,,256.60M,934.60M,1.855B,,290.90M,,,,290.90M,,290.90M,,,155.50M,155.50M,,,78.40M,524.80M,40.20M,,40.20M,60.30M,60.30M,,,94.40M,194.90M,719.70M,,10.30M,1.172B,,31.80M,,,,-14.30M,,-14.30M,1.136B,,,
2000-10,98.50M,,98.50M,386.40M,,386.40M,,,,,583.50M,,,18.20M,1.087B,,,,,,443.30M,-42.50M,400.80M,,267.20M,267.20M,,241.00M,909.00M,1.996B,,339.50M,,,,339.50M,,339.50M,,,274.60M,274.60M,,,58.20M,672.30M,40.10M,,40.10M,65.80M,65.80M,,,96.20M,202.10M,874.40M,,10.30M,1.160B,,32.10M,,,,-17.50M,,-17.50M,1.121B,,,
2000-07,188.00M,,188.00M,249.90M,,249.90M,,,,,534.20M,,,25.90M,998.00M,,,,,,819.20M,-434.00M,385.20M,,268.70M,268.70M,,154.90M,808.80M,1.807B,,251.00M,,,,251.00M,,251.00M,,,214.30M,214.30M,,,73.50M,538.80M,40.20M,,40.20M,82.00M,82.00M,,,97.10M,219.30M,758.10M,,10.30M,1.080B,,29.00M,,,,-13.00M,,-13.00M,1.049B,,,
2000-04,180.00M,,180.00M,294.00M,,294.00M,,,,,514.00M,,,32.00M,1.02B,,,,,,799.00M,-423.00M,376.00M,,270.00M,270.00M,,136.00M,782.00M,1.802B,,280.00M,,,,280.00M,,280.00M,,,226.00M,226.00M,,,16.00M,522.00M,41.00M,,41.00M,95.00M,95.00M,,,96.00M,232.00M,754.00M,,10.00M,1.08B,,30.00M,,,,-12.00M,,-12.00M,1.048B,,,
2000-01,121.30M,62.50M,183.80M,252.50M,,252.50M,,,,,521.60M,,,33.60M,991.50M,,,,,,795.80M,-432.00M,363.80M,,260.40M,260.40M,,131.90M,756.10M,1.748B,,277.10M,,,,277.10M,,277.10M,,,160.80M,160.80M,,,51.60M,489.50M,47.30M,,47.30M,96.60M,96.60M,,,113.90M,257.80M,747.30M,,10.30M,1.028B,,29.50M,,,,-9.00M,,-9.00M,1.000B,,,
1999-10,114.80M,72.40M,187.20M,405.60M,,405.60M,,,,,550.00M,,,31.90M,1.175B,,,,,,775.50M,-418.00M,357.50M,,262.50M,262.50M,,131.40M,751.40M,1.926B,,342.10M,,,,342.10M,,342.10M,,,290.80M,290.80M,,,35.40M,668.30M,46.60M,,46.60M,110.20M,110.20M,,,112.00M,268.80M,937.10M,,10.30M,1.016B,,29.60M,,,,-7.90M,,-7.90M,989.00M,,,
1999-07,180.80M,,180.80M,255.80M,,255.80M,,,,,538.00M,,,34.50M,1.009B,,,,,,768.20M,-418.00M,350.20M,,264.50M,264.50M,,124.70M,739.40M,1.748B,,254.90M,,,,254.90M,,254.90M,,,219.90M,219.90M,,,76.00M,550.80M,55.50M,,55.50M,116.30M,116.30M,,,110.40M,282.20M,833.00M,,10.30M,943.30M,,29.60M,,,,-8.50M,,-8.50M,915.50M,,,
1999-04,171.00M,,171.00M,274.00M,,274.00M,,,,,525.00M,,,29.00M,999.00M,,,,,,742.00M,-394.00M,348.00M,,264.00M,264.00M,,124.00M,736.00M,1.735B,,242.00M,,,,242.00M,,242.00M,,,244.00M,244.00M,,,31.00M,517.00M,53.00M,,53.00M,137.00M,137.00M,,,111.00M,301.00M,818.00M,,,945.00M,,,,,,,,,917.00M,,,
1999-01,124.40M,,124.40M,231.20M,,231.20M,,,,,524.20M,,,23.00M,902.80M,,,,,,674.00M,-394.00M,280.00M,,244.30M,244.30M,,107.60M,631.90M,1.535B,,218.70M,,,,218.70M,,218.70M,,,127.90M,127.90M,,,54.10M,400.70M,41.60M,,41.60M,123.70M,123.70M,,,95.50M,260.80M,661.50M,,,897.20M,,,,,,,,,873.20M,,,
1998-10,122.70M,,122.70M,350.90M,,350.90M,,,,,537.60M,,,25.10M,1.036B,,,,,,665.50M,-384.00M,281.50M,,246.10M,246.10M,,107.00M,634.60M,1.671B,,282.70M,,,,282.70M,,282.70M,,,203.10M,203.10M,,,44.40M,530.20M,41.60M,,41.60M,134.20M,134.20M,,,90.70M,266.50M,796.70M,,,888.20M,,,,,,,,,874.20M,,,
1998-07,93.20M,,93.20M,236.80M,,236.80M,,,,,514.10M,,,22.00M,866.10M,,,,,,655.10M,-375.00M,280.10M,,247.90M,247.90M,,103.50M,631.50M,1.498B,,215.70M,,,,215.70M,,215.70M,,,104.60M,104.60M,,,72.60M,392.90M,49.80M,,49.80M,144.70M,144.70M,,,90.10M,284.60M,677.50M,,11.80M,820.80M,,,11.80M,,,,,,820.10M,,,
1998-04,78.00M,,78.00M,265.00M,,265.00M,,,,,502.00M,,,24.00M,869.00M,,,,,,646.00M,-365.00M,281.00M,,250.00M,250.00M,,94.00M,625.00M,1.494B,,233.00M,,,,233.00M,,233.00M,,,114.00M,114.00M,,,35.00M,382.00M,50.00M,,50.00M,150.00M,150.00M,,,95.00M,295.00M,677.00M,,12.00M,821.00M,,,12.00M,,,,,,817.00M,,,
1998-01,66.10M,,66.10M,222.60M,,222.60M,,,,,500.80M,,,27.30M,816.80M,,,,,,627.60M,-346.00M,281.60M,,248.10M,248.10M,,87.10M,616.80M,1.434B,,201.80M,,,,201.80M,,201.80M,,,104.40M,104.40M,,,50.30M,356.50M,49.80M,,49.80M,146.20M,146.20M,,,93.00M,289.00M,645.50M,,11.80M,758.30M,,,11.80M,,,,,,788.10M,,,
1997-10,50.20M,,50.20M,331.80M,,331.80M,,,,,506.50M,,,32.90M,921.40M,,,,,,636.60M,-355.00M,281.60M,,250.00M,250.00M,,84.60M,616.20M,1.538B,,269.50M,,,,269.50M,,269.50M,,,162.60M,162.60M,,,34.50M,466.60M,49.80M,,49.80M,142.90M,142.90M,,,90.40M,283.10M,749.70M,,11.80M,769.80M,,,11.80M,,,,,,787.90M,,,
1997-07,42.10M,,42.10M,223.10M,,223.10M,,,,,460.40M,,,37.00M,762.60M,,,,,,326.50M,-35.60M,290.90M,,251.90M,251.90M,,83.30M,626.10M,1.389B,,195.40M,,,,195.40M,,195.40M,,,6.70M,6.70M,,,157.70M,359.80M,63.50M,,63.50M,139.90M,139.90M,,,98.00M,301.40M,661.20M,,11.80M,746.40M,,,11.80M,,,,,,727.50M,,,
1997-04,58.00M,,58.00M,263.00M,,263.00M,,,,,451.00M,,,30.00M,802.00M,,,,,,638.00M,-346.00M,292.00M,,254.00M,254.00M,,80.00M,626.00M,1.428B,,209.00M,,,,209.00M,,209.00M,,,7.00M,7.00M,,,183.00M,399.00M,63.00M,,63.00M,136.00M,136.00M,,,100.00M,299.00M,698.00M,,12.00M,712.00M,,,12.00M,,,,,,730.00M,,,
1997-01,60.20M,,60.20M,212.20M,,212.20M,,,,,443.00M,,,26.70M,742.10M,,,,,,323.60M,-33.90M,289.70M,,256.60M,256.60M,,77.90M,624.20M,1.366B,,182.20M,,,,182.20M,,182.20M,,,6.70M,6.70M,,,96.20M,285.10M,156.20M,,156.20M,130.90M,130.90M,,,101.80M,388.90M,674.00M,,11.80M,796.50M,,,11.80M,,,,,,692.30M,,,
1996-10,30.20M,,30.20M,331.50M,,331.50M,,,,,461.70M,,,28.70M,852.10M,,,,,,620.40M,-333.00M,287.40M,,258.50M,258.50M,,76.10M,622.00M,1.474B,,234.30M,,,,234.30M,,234.30M,,,56.70M,56.70M,,,22.50M,313.50M,238.30M,,238.30M,132.30M,132.30M,,,101.40M,472.00M,785.50M,,11.80M,667.60M,,,11.80M,,,,,,688.60M,,,
1996-07,23.00M,,23.00M,246.00M,,246.00M,,,,,439.00M,,,31.00M,739.00M,,,,,,571.00M,-287.00M,284.00M,,258.00M,258.00M,,73.00M,615.00M,1.354B,,196.00M,,,,196.00M,,196.00M,,,56.00M,56.00M,,,53.00M,305.00M,187.00M,,187.00M,128.00M,128.00M,,,103.00M,418.00M,723.00M,,12.00M,630.00M,,,12.00M,,,,,,631.00M,,,
1996-04,54.00M,,54.00M,257.00M,,257.00M,,,,,433.00M,,,24.00M,768.00M,,,,,,594.00M,-313.00M,281.00M,,259.00M,259.00M,,73.00M,613.00M,1.381B,,223.00M,,,,223.00M,,223.00M,,,56.00M,56.00M,,,24.00M,303.00M,211.00M,,211.00M,127.00M,127.00M,,,106.00M,444.00M,747.00M,,12.00M,616.00M,,,12.00M,,,,,,634.00M,,,
1996-01,55.30M,,55.30M,234.10M,,234.10M,,,,,421.50M,,,19.10M,730.00M,,,,,,576.90M,-300.20M,276.70M,,258.60M,258.60M,,71.90M,607.20M,1.337B,,200.80M,,,,200.80M,,200.80M,,,56.00M,56.00M,,,31.60M,288.40M,220.40M,,220.40M,131.40M,131.40M,,,98.10M,449.90M,738.30M,,11.80M,563.30M,,,11.80M,,,,,,598.90M,,,
1995-10,39.20M,,39.20M,324.90M,,324.90M,,,,,414.80M,,,18.60M,797.50M,,,,,,557.10M,-294.90M,262.20M,,258.00M,258.00M,,82.00M,602.20M,1.400B,,241.90M,,,,241.90M,,241.90M,,,56.10M,56.10M,,,11.00M,309.00M,273.30M,,273.30M,127.50M,127.50M,,,92.80M,493.60M,802.60M,,11.80M,577.70M,,,11.80M,,,,,,597.10M,,,
1995-07,43.30M,,43.30M,229.40M,,229.40M,,,,,391.30M,,,23.30M,687.30M,,,,,,544.00M,-286.60M,257.40M,,260.20M,260.20M,,78.90M,596.50M,1.284B,,190.70M,,,,190.70M,,190.70M,,,55.50M,55.50M,,,36.80M,283.00M,243.70M,,243.70M,120.70M,120.70M,,,92.80M,457.20M,740.20M,,11.80M,541.90M,,,11.80M,,,,,,543.60M,,,
1995-04,62.50M,,62.50M,234.20M,,234.20M,,,,,381.90M,,,19.30M,697.90M,,,,,,530.60M,-278.40M,252.20M,,262.50M,262.50M,,73.00M,587.70M,1.286B,,221.30M,,,,221.30M,,221.30M,,,55.50M,55.50M,,,8.80M,285.60M,246.80M,,246.80M,114.40M,114.40M,,,92.90M,454.10M,739.70M,,11.80M,526.90M,,,11.80M,,,,,,545.90M,,,
