,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-10,627.20M,109.60M,517.60M,187.10M,330.50M,81.50M,105.50M,187.00M,,0.40M,,,,-0.40M,186.60M,143.90M,,,,0.40M,,139.20M,45.80M,93.40M,8.00M,,,101.40M,93.13M,158.80M,14.90M,143.90M,,0.1621,0.0149,,0.1617,0.1771,,0.1621,0.0149,,0.1617,0.1771,,570.64M,573.83M,0.0453,,,
2004-07,481.00M,82.00M,399.00M,146.00M,253.00M,62.00M,96.00M,158.00M,,,,,,-1.00M,157.00M,96.00M,,,,,,91.00M,31.00M,60.00M,-9.00M,,,51.00M,60.00M,110.00M,14.00M,96.00M,,0.1045,-0.0149,,0.1045,0.0896,,0.1045,-0.0149,,0.1045,0.0896,,570.44M,573.82M,0.0453,,,
2004-04,68.20M,91.10M,-22.90M,-78.80M,55.90M,7.00M,-9.50M,-2.50M,,4.80M,,,,-4.80M,-7.30M,63.20M,,,,4.80M,,58.20M,16.10M,42.10M,,,,54.10M,38.63M,63.50M,0.30M,63.20M,,0.0747,0.00,,0.0686,0.0747,,0.0747,0.00,,0.0686,0.0747,,572.56M,573.42M,0.0453,,,
2004-01,695.70M,103.10M,592.60M,249.00M,343.60M,87.50M,131.70M,219.20M,,2.50M,,,,-2.50M,216.70M,126.90M,,,,2.50M,,122.00M,41.50M,80.50M,,,,80.50M,78.85M,141.20M,14.30M,126.90M,,0.1408,0.00,,0.1379,0.1408,,0.1408,0.00,,0.1379,0.1408,,571.73M,571.73M,0.0453,,,
2003-10,724.50M,98.10M,626.40M,262.30M,364.10M,95.00M,131.70M,226.70M,,1.40M,,,,-1.40M,225.30M,138.80M,,,,1.40M,,133.70M,45.50M,88.20M,,,,88.20M,87.28M,153.10M,14.30M,138.80M,,0.1557,0.00,,0.1541,0.1557,,0.1536,0.00,,0.1520,0.1536,,566.35M,574.22M,0.04,,,
2003-07,531.70M,71.80M,459.90M,188.50M,271.40M,77.60M,127.40M,205.00M,,-14.30M,,,,14.30M,219.30M,52.10M,,,,-14.30M,,47.10M,16.00M,31.10M,,,,31.10M,40.54M,65.20M,13.10M,52.10M,,0.0555,0.00,,0.0723,0.0555,,0.0555,0.00,,0.0723,0.0555,,560.70M,560.70M,0.04,,,
2003-04,569.30M,92.00M,477.30M,192.00M,285.30M,68.20M,133.60M,201.80M,,1.10M,,,,-1.10M,200.70M,84.60M,,,,1.10M,,82.20M,27.30M,54.90M,,,,54.90M,54.17M,98.10M,13.50M,84.60M,,0.0608,0.00,,0.0599,0.0608,,0.0608,,,0.0599,0.0608,,822.46M,822.46M,0.04,,,
2003-01,635.60M,86.10M,549.50M,241.00M,308.50M,88.10M,119.80M,207.90M,,6.20M,,,,-6.20M,201.70M,106.80M,,,,6.20M,,106.00M,36.00M,70.00M,,,,70.00M,65.91M,120.60M,13.80M,106.80M,,0.1088,0.00,,0.1024,0.1088,,0.1088,0.00,,0.1024,0.1088,,643.38M,643.38M,0.04,,,
2002-10,691.60M,84.50M,607.10M,268.30M,338.80M,86.40M,127.90M,214.30M,,,,,,,214.30M,124.50M,,,,,,123.80M,42.70M,81.10M,,,,81.10M,81.10M,138.40M,13.90M,124.50M,,0.1259,0.00,,0.1259,0.1259,,0.1259,0.00,,0.1259,0.1259,,644.33M,644.33M,0.0373,,,
2002-07,479.60M,55.50M,424.10M,176.70M,247.40M,78.40M,112.90M,191.30M,,,,,,,191.30M,56.10M,,,,,,55.10M,19.00M,36.10M,,,,36.10M,36.10M,69.90M,13.80M,56.10M,,0.0565,0.00,,0.0565,0.0565,,0.0565,0.00,,0.0565,0.0565,,638.56M,638.56M,0.0373,,,
2002-04,339.90M,63.40M,276.50M,190.50M,86.00M,66.60M,122.70M,189.30M,,-3.90M,,,,3.90M,193.20M,-107.20M,,,,-3.90M,,78.40M,27.00M,51.40M,,,,51.40M,53.96M,-92.60M,14.60M,-107.20M,,0.0806,,,0.0846,0.0806,,0.0802,,,0.0842,0.0802,,641.72M,641.72M,0.0373,,,
2002-01,575.10M,66.60M,508.50M,226.40M,282.10M,76.60M,118.90M,195.50M,,1.70M,,,,-1.70M,193.80M,88.30M,,,,1.70M,,87.50M,30.20M,57.30M,,,,57.30M,56.19M,102.10M,13.80M,88.30M,,0.0896,0.00,,0.0879,0.0896,,0.0896,0.00,,0.0879,0.0896,,639.51M,639.51M,0.0373,,,
2001-10,644.10M,68.30M,575.80M,246.10M,329.70M,83.80M,121.90M,205.70M,,,,,,,205.70M,124.00M,,,,,,122.20M,42.10M,80.10M,,,,80.10M,80.10M,137.30M,13.30M,124.00M,,0.1248,0.00,,0.1248,0.1248,,0.1248,0.00,,0.1248,0.1248,,641.83M,641.83M,0.0352,,,
2001-07,473.90M,51.70M,422.20M,173.80M,248.40M,71.70M,115.40M,187.10M,,,,,,,187.10M,61.30M,,,,,,59.80M,20.60M,39.20M,,,,39.20M,39.20M,74.60M,13.30M,61.30M,,0.0608,0.00,,0.0608,0.0608,,0.0608,0.00,,0.0608,0.0608,,644.74M,644.74M,0.0352,,,
2001-04,444.10M,,444.10M,171.90M,272.20M,,,181.10M,,,,,,,132.60M,139.60M,,,,,,84.70M,30.60M,54.10M,,,,54.10M,54.10M,155.10M,15.50M,139.60M,,0.0843,0.00,,0.0843,0.0843,,0.0843,,,0.0843,0.0843,,640.95M,641.81M,0.0352,,,
2001-01,495.30M,,495.30M,188.90M,306.40M,,,199.50M,,,,,,,215.60M,90.80M,,,,,,88.50M,32.20M,56.30M,,,,56.30M,56.30M,106.90M,16.10M,90.80M,,0.0875,0.00,,0.0875,0.0875,,0.0875,0.00,,0.0875,0.0875,,643.67M,643.67M,0.0352,,,
2000-10,574.10M,,574.10M,217.60M,356.50M,,,211.20M,,,,,,,227.70M,128.80M,,,,,,125.90M,45.80M,80.10M,,,,80.10M,80.10M,145.30M,16.50M,128.80M,,0.1248,0.00,,0.1248,0.1248,,0.1248,0.00,,0.1248,0.1248,,641.83M,641.83M,0.0331,,,
2000-07,410.40M,,410.40M,139.50M,270.90M,,,187.10M,,,,,,,203.00M,67.90M,,,,,,67.00M,24.40M,42.60M,,,,42.60M,42.60M,83.80M,15.90M,67.90M,,0.0661,0.00,,0.0661,0.0661,,0.0661,0.00,,0.0661,0.0661,,644.15M,644.15M,0.0331,,,
2000-04,430.20M,,430.20M,149.20M,281.00M,,,181.60M,,,,,,,198.80M,82.20M,,,,,,81.40M,29.50M,51.90M,,,,51.90M,51.90M,99.40M,17.20M,82.20M,,0.0811,0.00,,0.0811,0.0811,,0.0811,0.00,,0.0811,0.0811,,638.35M,643.38M,0.0331,,,
2000-01,495.20M,,495.20M,196.10M,299.10M,,,197.50M,,,,,,,212.00M,87.10M,,,,,,86.30M,31.50M,54.80M,,,,54.80M,54.80M,101.60M,14.50M,87.10M,,0.0853,0.00,,0.0853,0.0853,,0.0853,0.00,,0.0853,0.0853,,642.19M,643.04M,0.0331,,,
1999-10,567.20M,,567.20M,229.80M,337.40M,,,206.00M,,,,,,,220.90M,116.50M,,,,,,114.80M,41.90M,72.90M,,,,72.90M,72.90M,131.40M,14.90M,116.50M,,0.1131,0.00,,0.1131,0.1131,,0.1131,0.00,,0.1131,0.1131,,642.28M,642.97M,0.0315,,,
1999-07,384.50M,,384.50M,137.10M,247.40M,,,169.80M,,,,,,,185.20M,62.20M,,,,,,60.50M,22.10M,38.40M,,,,38.40M,38.40M,77.60M,15.40M,62.20M,,0.0597,0.00,,0.0597,0.0597,,0.0597,0.00,,0.0597,0.0597,,642.26M,643.12M,0.0315,,,
1999-04,421.50M,,421.50M,157.30M,264.20M,,,174.40M,,1.80M,,,,,188.40M,75.80M,,,,1.80M,,75.80M,27.60M,48.20M,,,0.00,48.20M,47.06M,89.80M,14.00M,75.80M,,0.0747,0.00,,0.0729,0.0747,,0.0747,0.00,,0.0729,0.0747,,642.22M,643.61M,0.0315,,,
1999-01,459.30M,,459.30M,181.20M,278.10M,,,186.50M,,1.70M,,,,,199.60M,78.50M,,,,1.70M,,77.70M,28.40M,49.30M,,,,49.30M,48.22M,91.60M,13.10M,78.50M,,0.0768,0.00,,0.0751,0.0768,,0.0768,0.00,,0.0751,0.0768,,642.75M,643.85M,0.0315,,,
1998-10,505.10M,,505.10M,194.50M,310.60M,,,189.00M,,1.50M,,,,,203.00M,107.60M,,,,1.50M,,105.90M,38.60M,67.30M,,,0.10M,67.30M,66.35M,121.60M,14.00M,107.60M,,0.1035,0.00,,0.1020,0.1035,,0.1035,0.00,,0.1020,0.1035,,643.72M,644.39M,0.0299,,,
1998-07,390.10M,,390.10M,143.00M,247.10M,,,173.10M,,1.00M,,,,,187.00M,60.10M,,,,1.00M,,58.60M,21.40M,37.20M,,,0.10M,37.20M,36.57M,74.00M,13.90M,60.10M,,0.0576,0.00,,0.0566,0.0576,,0.0576,0.00,,0.0566,0.0576,,643.93M,644.53M,0.0299,,,
1998-04,395.90M,,395.90M,151.10M,244.80M,,,161.30M,,0.70M,,,,,174.00M,70.80M,,,,0.70M,,68.70M,24.60M,44.10M,,,0.60M,44.10M,43.65M,83.50M,12.70M,70.80M,,0.0672,0.00,,0.0665,0.0672,,0.0672,0.00,,0.0665,0.0672,,644.07M,647.15M,0.0299,,,
1998-01,418.20M,,418.20M,154.50M,263.70M,,,175.50M,,1.00M,,,,,187.90M,75.80M,,,,1.00M,,73.50M,27.90M,45.60M,,,0.10M,45.60M,44.98M,88.20M,12.40M,75.80M,,0.0704,0.00,,0.0694,0.0704,,0.0704,0.00,,0.0694,0.0704,,646.58M,647.08M,0.0299,,,
1997-10,483.10M,,483.10M,191.70M,291.40M,,,176.40M,,0.60M,,,,,189.70M,101.70M,,,,0.60M,,98.30M,37.40M,60.90M,,,0.10M,60.90M,60.53M,115.00M,13.30M,101.70M,,0.0939,0.00,,0.0933,0.0939,,0.0939,0.00,,0.0933,0.0939,,646.88M,646.88M,0.0288,,,
1997-07,371.80M,,371.80M,141.70M,230.10M,,,158.80M,,0.70M,,,,,171.40M,58.70M,,,,0.70M,,55.50M,21.10M,34.40M,,,0.10M,34.40M,33.97M,71.30M,12.60M,58.70M,,0.0533,0.00,,0.0527,0.0533,,0.0533,0.00,,0.0527,0.0533,,646.88M,646.88M,0.0288,,,
1997-04,369.30M,,369.30M,139.60M,229.70M,,,149.90M,,1.40M,,,,,162.50M,67.20M,,,,1.40M,,64.50M,24.80M,39.70M,,,0.60M,39.70M,38.84M,79.80M,12.60M,67.20M,,0.0619,0.00,,0.0605,0.0619,,0.0619,0.00,,0.0605,0.0619,,630.80M,646.88M,0.0288,,,
1997-01,393.20M,,393.20M,161.50M,231.70M,,,148.60M,,0.40M,,,,,161.00M,70.70M,,,,0.40M,,67.10M,25.50M,41.60M,,,0.10M,41.60M,41.35M,83.30M,12.60M,70.70M,,0.064,0.00,,0.0636,0.064,,0.064,0.00,,0.0636,0.064,,646.88M,646.88M,0.0288,,,
1996-10,456.30M,,456.30M,188.10M,268.20M,,,162.00M,,0.60M,,,,,174.80M,93.40M,,,,0.60M,,89.30M,33.90M,55.40M,,,0.10M,55.40M,55.03M,106.20M,12.80M,93.40M,,0.0853,0.00,,0.0848,0.0853,,0.0853,0.00,,0.0848,0.0853,,646.88M,646.88M,0.0277,,,
1996-07,365.00M,,365.00M,141.00M,224.00M,,,156.00M,,1.00M,,,,,168.00M,56.00M,,,,1.00M,,52.00M,20.00M,32.00M,,,,32.00M,31.38M,68.00M,12.00M,56.00M,,0.0501,0.00,,0.0492,0.0501,,0.0501,0.00,,0.0492,0.0501,,646.88M,646.88M,0.0277,,,
1996-04,365.50M,,365.50M,142.50M,223.00M,,,150.20M,,1.00M,,,,,161.70M,61.30M,,,,1.00M,,58.00M,21.50M,36.50M,,,0.60M,36.50M,35.87M,72.80M,11.50M,61.30M,,0.0565,0.00,,0.0556,0.0565,,0.0565,0.00,,0.0556,0.0565,,640.66M,646.84M,0.0277,,,
1996-01,384.50M,,384.50M,156.10M,228.40M,,,150.90M,,0.70M,,,,,162.80M,65.60M,,,,0.70M,,61.10M,23.00M,38.10M,,,0.10M,38.10M,37.66M,77.50M,11.90M,65.60M,,0.0587,0.00,,0.0580,0.0587,,0.0587,0.00,,0.0580,0.0587,,646.84M,646.84M,0.0277,,,
1995-10,441.90M,,441.90M,181.80M,260.10M,,,158.60M,,0.60M,,,,,170.10M,90.00M,,,,0.60M,,85.40M,32.20M,53.20M,,,0.10M,53.20M,52.83M,101.50M,11.50M,90.00M,,0.0821,0.00,,0.0816,0.0821,,0.0821,0.00,,0.0816,0.0821,,646.84M,646.84M,0.0265,,,
1995-07,352.10M,,352.10M,137.60M,214.50M,,,146.20M,,0.70M,,,,,157.30M,57.20M,,,,0.70M,,52.40M,20.20M,32.20M,,,0.10M,32.20M,31.77M,68.30M,11.10M,57.20M,,0.0491,0.00,,0.0484,0.0491,,0.0491,0.00,,0.0484,0.0491,,646.84M,646.84M,0.0265,,,
1995-04,310.60M,,310.60M,127.80M,182.80M,,,114.10M,,0.70M,,,,,122.50M,60.30M,,,,0.70M,,55.50M,21.80M,33.70M,,,0.10M,33.70M,33.27M,68.70M,8.40M,60.30M,,0.0523,0.00,,0.0516,0.0523,,0.0523,0.00,,0.0516,0.0523,,642.63M,646.84M,0.0265,,,
1995-01,375.90M,,375.90M,140.10M,235.80M,,,155.60M,,0.50M,,,,,167.80M,68.00M,,,,0.50M,,62.90M,25.20M,37.70M,,,0.10M,37.70M,37.40M,80.20M,12.10M,68.00M,,0.0576,0.00,,0.0571,0.0576,,0.0576,0.00,,0.0571,0.0576,,646.84M,646.84M,0.0265,,,
1994-10,415.00M,,415.00M,168.90M,246.10M,,,147.00M,,0.40M,,,,,158.80M,87.30M,,,,0.40M,,81.90M,32.80M,49.10M,,,0.10M,49.10M,48.86M,99.20M,11.90M,87.30M,,0.0757,0.00,,0.0754,0.0757,,0.0757,0.00,,0.0754,0.0757,,646.84M,646.84M,0.0253,,,
1994-07,318.70M,,318.70M,116.10M,202.60M,,,139.50M,,0.30M,,,,,150.60M,52.00M,,,,0.30M,,46.70M,18.60M,28.10M,,,0.10M,28.10M,27.92M,63.10M,11.10M,52.00M,,0.0437,0.00,,0.0435,0.0437,,0.0437,0.00,,0.0435,0.0437,,646.84M,646.84M,0.0253,,,
1994-04,334.40M,,334.40M,127.00M,207.40M,,,144.60M,,0.70M,,,,,154.00M,53.40M,,,,0.70M,,48.20M,17.90M,30.30M,,0.00,0.10M,30.30M,29.86M,62.80M,9.40M,53.40M,,0.0043,0.0427,0.00,0.0036,0.0469,,0.0043,0.0427,-0.0018,0.0037,0.0469,,642.59M,767.40M,0.0252,,,
1994-01,348.60M,,348.60M,135.80M,212.80M,,,141.20M,,1.30M,,,,,150.40M,62.40M,,,,1.30M,,60.00M,21.20M,38.80M,,,0.10M,38.80M,37.96M,71.60M,9.20M,62.40M,,0.0512,0.00,,0.0501,0.0512,,0.0512,0.00,,0.0501,0.0512,,750.65M,750.65M,0.0252,,,
1993-10,465.70M,,465.70M,156.10M,309.60M,,,154.40M,,31.20M,,,,69.70M,233.40M,76.20M,,,,31.20M,,103.60M,41.10M,62.50M,,,0.10M,62.50M,43.68M,85.50M,9.30M,76.20M,,0.0811,0.00,,0.0566,0.0811,,0.0811,0.00,,0.0566,0.0811,,769.74M,769.74M,0.0242,,,
1993-07,389.70M,,389.70M,119.10M,270.60M,,,146.30M,,0.90M,,,,67.20M,222.20M,48.40M,,,,0.90M,,45.50M,16.00M,29.50M,,-28.40M,0.10M,1.10M,28.92M,57.10M,8.70M,48.40M,,0.0373,-0.0363,0.00,0.0367,0.0011,,0.0373,-0.0363,-0.0303,0.0367,0.0011,,937.50M,937.50M,0.0242,,,
1993-04,342.10M,,342.10M,132.60M,209.50M,,,146.10M,,0.90M,,,,,155.30M,54.20M,,,,0.90M,,51.20M,18.70M,32.50M,,,0.10M,32.50M,31.93M,63.40M,9.20M,54.20M,,0.0416,0.00,,0.0409,0.0416,,0.0416,0.00,,0.0409,0.0416,,778.33M,778.33M,0.0242,,,
1993-01,353.20M,,353.20M,143.20M,210.00M,,,139.00M,,0.80M,,,,,148.00M,62.00M,,,,0.80M,,57.80M,20.60M,37.20M,,,0.10M,37.20M,36.69M,71.00M,9.00M,62.00M,,0.048,0.00,,0.0473,0.048,,0.048,0.00,,0.0473,0.048,,772.92M,772.92M,0.0242,,,
1992-10,392.80M,,392.80M,154.30M,238.50M,,,146.90M,,0.70M,,,,,155.40M,83.10M,,,,0.70M,,79.30M,28.10M,51.20M,,,0.10M,51.20M,50.75M,91.70M,8.60M,83.10M,,0.0661,0.00,,0.0655,0.0661,,0.0661,0.00,,0.0655,0.0661,,772.68M,772.68M,0.0217,,,
1992-07,326.40M,,326.40M,124.60M,201.80M,,,137.30M,,0.70M,,,,,145.60M,56.20M,,,,0.70M,,54.20M,19.00M,35.20M,,,0.10M,35.20M,34.75M,64.50M,8.30M,56.20M,,0.0448,0.00,,0.0442,0.0448,,0.0448,0.00,,0.0442,0.0448,,783.48M,783.48M,0.0217,,,
1992-04,306.30M,,306.30M,118.40M,187.90M,,,128.80M,,1.00M,,,,,136.30M,51.60M,,,,1.00M,,49.30M,17.70M,31.60M,,,0.10M,31.60M,30.96M,59.10M,7.50M,51.60M,,0.0405,0.00,,0.0397,0.0405,,0.0405,0.00,,0.0397,0.0405,,777.14M,777.14M,0.0217,,,
1992-01,313.50M,,313.50M,120.40M,193.10M,,,130.70M,,0.70M,,,,,138.80M,54.30M,,,,0.70M,,52.00M,17.70M,34.30M,,,0.10M,34.30M,33.84M,62.40M,8.10M,54.30M,,0.0437,0.00,,0.0431,0.0437,,0.0437,0.00,,0.0431,0.0437,,782.01M,782.01M,0.0217,,,
1991-10,381.00M,,381.00M,150.40M,230.60M,,,139.10M,,0.60M,,,,,146.40M,84.20M,,,,0.60M,,81.00M,28.30M,52.70M,,,0.10M,52.70M,52.31M,91.50M,7.30M,84.20M,,0.0683,0.00,,0.0678,0.0683,,0.0683,0.00,,0.0678,0.0683,,770.51M,770.51M,0.0199,,,
1991-07,259.30M,,259.30M,97.90M,161.40M,,,111.20M,,1.40M,,,,,117.90M,43.50M,,,,1.40M,,41.40M,13.60M,27.80M,,,0.10M,27.80M,26.86M,50.20M,6.70M,43.50M,,0.0352,0.00,,0.0340,0.0352,,0.0352,0.00,,0.0340,0.0352,,786.93M,786.93M,0.0199,,,
1991-04,268.70M,,268.70M,92.80M,175.90M,,,128.30M,,2.00M,,,,,135.80M,40.10M,,,,2.00M,,39.60M,12.60M,27.00M,,,0.10M,27.00M,25.64M,47.60M,7.50M,40.10M,,0.0341,0.00,,0.0324,0.0341,,0.0341,0.00,,0.0324,0.0341,,786.83M,786.83M,0.0199,,,
1991-01,282.20M,,282.20M,109.50M,172.70M,,,107.90M,,1.40M,,,,,113.70M,59.00M,,,,1.40M,,57.60M,19.60M,38.00M,,,0.10M,38.00M,37.08M,64.80M,5.80M,59.00M,,0.0491,0.00,,0.0479,0.0491,,0.0491,0.00,,0.0479,0.0491,,772.42M,772.42M,0.0199,,,
1990-10,315.50M,,315.50M,130.30M,185.20M,,,110.50M,,1.60M,,,,,116.80M,68.40M,,,,1.60M,,67.20M,23.20M,44.00M,,,0.10M,44.00M,42.95M,74.70M,6.30M,68.40M,,0.0565,0.00,,0.0552,0.0565,,0.0565,0.00,,0.0552,0.0565,,776.53M,776.53M,0.0185,,,
1990-07,252.40M,,252.40M,94.30M,158.10M,,,96.30M,,2.20M,,,,,102.20M,55.90M,,,,2.20M,,55.10M,18.90M,36.20M,,,0.10M,36.20M,34.75M,61.80M,5.90M,55.90M,,0.0459,0.00,,0.0440,0.0459,,0.0459,0.00,,0.0440,0.0459,,787.06M,787.06M,0.0185,,,
1990-04,224.20M,,224.20M,86.70M,137.50M,,,92.20M,,4.50M,,,,,100.40M,37.10M,,,,4.50M,,37.30M,12.70M,24.60M,,,0.10M,24.60M,21.63M,45.30M,8.20M,37.10M,,0.0309,0.00,,0.0272,0.0309,,0.0309,0.00,,0.0272,0.0309,,793.78M,793.78M,0.0185,,,
1990-01,253.30M,,253.30M,97.40M,155.90M,,,98.80M,,1.50M,,,,,106.30M,49.60M,,,,1.50M,,47.30M,16.10M,31.20M,,,0.10M,31.20M,30.21M,57.10M,7.40M,49.60M,,0.0395,0.00,,0.0382,0.0395,,0.0395,0.00,,0.0382,0.0395,,788.01M,788.01M,0.0185,,,
1989-10,317.00M,,317.00M,126.90M,190.10M,,,96.80M,,-58.70M,,,,,101.40M,88.70M,,,,-58.70M,,25.70M,30.40M,-4.70M,,,0.10M,-4.70M,30.52M,93.40M,4.70M,88.70M,,-0.0064,0.00,,0.0406,-0.0064,,-0.0064,0.00,,0.0406,-0.0064,,750.00M,750.00M,0.0149,,,
1989-07,222.10M,,222.10M,81.10M,141.00M,,,86.10M,,2.20M,,,,,91.20M,49.80M,,,,2.20M,,47.40M,17.50M,29.90M,,,0.10M,29.90M,28.51M,54.90M,5.10M,49.80M,,0.0373,0.00,,0.0356,0.0373,,0.0373,0.00,,0.0356,0.0373,,798.21M,798.21M,0.0149,,,
1989-04,196.30M,,196.30M,,,,,,,,,,,,,-601.10M,,,,,,,,21.30M,,,,21.30M,,-601.10M,,-601.10M,,,,,,,,,,,,,,787.67M,787.67M,0.0149,,,
1989-01,273.00M,,273.00M,,,,,,,,,,,,,273.00M,,,,,,,,57.90M,,,,57.90M,,273.00M,,273.00M,,0.0736,0.00,,0.0736,0.0736,,0.0736,0.00,,0.0736,0.0736,,787.67M,787.67M,0.0149,,,
1988-10,303.00M,,303.00M,,,,,,,,,,,,,303.00M,,,,,,,,42.10M,,,,42.10M,,303.00M,,303.00M,,0.0533,0.00,,0.0533,0.0533,,0.0533,0.00,,0.0533,0.0533,,787.67M,787.67M,0.0121,,,
1988-07,233.50M,,233.50M,,,,,,,,,,,,,233.50M,,,,,,,,23.20M,,,,23.20M,,233.50M,,233.50M,,0.0299,0.00,,0.0299,0.0299,,0.0299,0.00,,0.0299,0.0299,,787.67M,787.67M,0.0121,,,
1988-04,238.60M,,238.60M,,,,,,,,,,,,,-636.30M,,,,,,,,18.90M,,,,18.90M,,-636.30M,,-636.30M,,,,,,,,,,,,,,787.67M,787.67M,0.0121,,,
1988-01,271.70M,,271.70M,,,,,,,,,,,,,271.70M,,,,,,,,28.60M,,,,28.60M,,271.70M,,271.70M,,0.032,0.00,,0.032,0.032,,0.032,0.00,,0.032,0.032,,588.15M,588.15M,0.0121,,,
1987-10,309.00M,,309.00M,,,,,,,,,,,,,309.00M,,,,,,,,37.10M,,,,37.10M,,309.00M,,309.00M,,0.0405,0.00,,0.0405,0.0405,,0.0405,0.00,,0.0405,0.0405,,588.15M,588.15M,0.0100,,,
1987-07,247.30M,,247.30M,,,,,,,,,,,,,247.30M,,,,,,,,18.80M,,,,18.80M,,247.30M,,247.30M,,0.0203,0.00,,0.0203,0.0203,,0.0203,0.00,,0.0203,0.0203,,588.15M,588.15M,0.0100,,,
1987-04,275.10M,,275.10M,,,,,,,,,,,,,-640.90M,,,,,,,,23.60M,,,,23.60M,,-640.90M,,-640.90M,,,,,,,,,,,,,,903.46M,903.46M,0.0099,,,
1987-01,257.40M,,257.40M,,,,,,,,,,,,,257.40M,,,,,,,,21.60M,,,,21.60M,,257.40M,,257.40M,,0.0235,0.00,,0.0235,0.0235,,0.0235,0.00,,0.0235,0.0235,,587.28M,587.28M,0.0074,,,
1986-10,389.10M,,389.10M,,,,,,,,,,,,,389.10M,,,,,,,,26.20M,,,,26.20M,,389.10M,,389.10M,,0.0288,0.00,,0.0288,0.0288,,0.0288,0.00,,0.0288,0.0288,,587.28M,587.28M,0.0074,,,
1986-07,257.30M,,257.30M,,,,,,,,,,,,,257.30M,,,,,,,,18.20M,,,,18.20M,,257.30M,,257.30M,,0.0203,0.00,,0.0203,0.0203,,0.0203,0.00,,0.0203,0.0203,,587.25M,587.25M,0.0074,,,
1986-04,244.20M,,244.20M,,,,,,,,,,,,,-560.60M,,,,,,,,20.20M,,,,20.20M,,-560.60M,,-560.60M,,,,,,,,,,,,,,902.45M,902.45M,0.0059,,,
1986-01,240.10M,,240.10M,,,,,,,,,,,,,240.10M,,,,,,,,15.80M,,,,15.80M,,240.10M,,240.10M,,0.0171,0.00,,0.0171,0.0171,,0.0171,0.00,,0.0171,0.0171,,587.25M,587.25M,0.0059,,,
1985-10,297.20M,,297.20M,,,,,,,,,,,,,297.20M,,,,,,,,31.90M,,,,31.90M,,297.20M,,297.20M,,0.0352,0.00,,0.0352,0.0352,,0.0352,0.00,,0.0352,0.0352,,586.77M,586.77M,,,,
1985-07,213.40M,,213.40M,,,,,,,,,,,,,213.40M,,,,,,,,18.50M,,,,18.50M,,213.40M,,213.40M,,0.0203,0.00,,0.0203,0.0203,,0.0203,0.00,,0.0203,0.0203,,590.29M,590.29M,,,,
1985-04,207.90M,,207.90M,,,,,,,,,,,,,-532.40M,,,,,,,,16.50M,,,,16.50M,,-532.40M,,-532.40M,,,,,,,,,,,,,,905.72M,905.72M,,,,
1985-01,232.40M,,232.40M,,,,,,,,,,,,,232.40M,,,,,,,,19.70M,,,,19.70M,,232.40M,,232.40M,,0.0203,0.00,,0.0203,0.0203,,0.0203,0.00,,0.0203,0.0203,,654.06M,654.06M,,,,
1984-10,284.80M,,284.80M,,,,,,,,,,,,,284.80M,,,,,,,,29.70M,,,,29.70M,,284.80M,,284.80M,,0.0288,0.00,,0.0288,0.0288,,0.0288,0.00,,0.0288,0.0288,,654.06M,654.06M,,,,
1984-07,203.30M,,203.30M,,,,,,,,,,,,,203.30M,,,,,,,,15.80M,,,,15.80M,,203.30M,,203.30M,,0.0149,0.00,,0.0149,0.0149,,0.0149,0.00,,0.0149,0.0149,,728.21M,728.21M,,,,
1984-04,215.20M,,215.20M,,,,,,,,,,,,,-473.10M,,,,,,,,13.90M,,,,13.90M,,-473.10M,,-473.10M,,,,,,,,,,,,,,1.062B,1.062B,,,,
1984-01,230.20M,,230.20M,,,,,,,,,,,,,230.20M,,,,,,,,19.10M,,,,19.10M,,230.20M,,230.20M,,0.0181,0.00,,0.0181,0.0181,,0.0181,0.00,,0.0181,0.0181,,654.06M,654.06M,,,,
