,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1998-09,145.50M,145.50M,11.00M,39.40M,50.40M,,,,50.40M,6.40M,73.50M,44.70M,17.00M,27.70M,,,,27.70M,25.47M,,123.40M,,0.1913,0.00,,0.1759,0.1913,,0.1913,0.00,,0.1759,0.1913,,144.80M,144.80M,0.0444,,,
1998-06,149.30M,149.30M,12.00M,41.70M,53.70M,,,,53.70M,41.20M,68.00M,46.20M,17.50M,28.70M,,,,28.70M,23.36M,,120.10M,,0.2002,0.00,,0.1629,0.2002,,0.2002,0.00,,0.1629,0.2002,,143.36M,143.36M,0.0444,,,
1998-03,142.40M,142.40M,11.00M,41.70M,52.70M,,,,52.70M,13.30M,69.70M,39.40M,14.00M,25.40M,,,,25.40M,25.40M,,110.60M,,0.1824,0.00,,0.1824,0.1824,,0.1824,0.00,,0.1824,0.1824,,139.25M,139.25M,0.0402,,,
1997-12,132.20M,132.20M,11.40M,39.20M,50.60M,,,,50.60M,16.80M,60.50M,38.10M,12.90M,25.20M,,,,25.20M,24.21M,,105.50M,,0.1869,0.00,,0.1795,0.1869,,0.1869,0.00,,0.1795,0.1869,,134.45M,134.45M,0.0402,,,
1997-09,134.50M,134.50M,10.30M,38.10M,48.40M,,,,48.40M,14.20M,66.00M,38.00M,14.70M,23.30M,,,,23.30M,19.93M,,108.20M,,0.1691,0.00,,0.1446,0.1691,,0.1691,0.00,,0.1446,0.1691,,137.82M,137.82M,0.0360,,,
1997-06,118.00M,118.00M,9.60M,34.30M,43.90M,,,,43.90M,9.00M,60.80M,33.20M,11.30M,21.90M,,,,21.90M,18.73M,,100.40M,,0.1602,0.00,,0.1370,0.1602,,0.1602,0.00,,0.1370,0.1602,,136.74M,136.74M,0.0353,,,
1997-03,117.20M,117.20M,8.80M,34.10M,42.90M,,,,42.90M,5.50M,65.70M,34.80M,12.80M,22.00M,,,,22.00M,20.48M,,101.80M,,0.1602,0.00,,0.1491,0.1602,,0.1602,0.00,,0.1491,0.1602,,137.36M,137.36M,0.0310,,,
1996-12,111.30M,111.30M,,31.80M,57.20M,,,,57.20M,5.00M,62.40M,29.90M,9.30M,20.60M,,,0.00,20.60M,24.11M,,92.70M,,0.1513,0.00,,0.1771,0.1513,,0.1513,0.00,,0.1771,0.1513,,136.24M,136.24M,0.0282,,,
1996-09,98.80M,98.80M,,32.10M,32.10M,,,,32.10M,2.80M,55.10M,11.00M,-9.50M,20.50M,,,0.20M,20.50M,18.88M,,72.70M,,0.1513,0.00,,0.1392,0.1513,,0.1468,0.00,,0.1351,0.1468,,134.20M,138.27M,0.0282,,,
1996-06,100.10M,100.10M,,30.30M,30.30M,,,,30.30M,4.30M,59.10M,26.70M,8.50M,18.20M,,,0.10M,18.20M,17.65M,,88.30M,,0.1335,0.00,,0.1294,0.1335,,0.1335,0.00,,0.1294,0.1335,,135.61M,135.61M,0.0254,,,
1996-03,103.10M,103.10M,,30.00M,30.00M,,,,30.00M,3.10M,57.90M,33.50M,12.70M,20.80M,,,0.30M,20.80M,16.45M,,92.90M,,0.1557,0.00,,0.1227,0.1557,,0.1513,0.00,,0.1192,0.1513,,131.65M,135.53M,0.0254,,,
1995-12,95.30M,95.30M,,28.10M,28.10M,,,,28.10M,1.10M,57.40M,27.70M,9.00M,18.70M,,,0.40M,18.70M,17.96M,,87.00M,,0.1468,0.00,,0.1408,0.1468,,0.1424,0.00,,0.1366,0.1424,,124.41M,128.07M,0.0254,,,
1995-09,97.10M,97.10M,,28.40M,28.40M,,,,28.40M,3.30M,56.20M,31.40M,12.00M,19.40M,,,0.50M,19.40M,17.92M,,89.80M,,0.1468,0.00,,0.1353,0.1468,,0.1424,0.00,,0.1312,0.1424,,128.74M,132.76M,0.0226,,,
1995-06,97.60M,97.60M,,27.30M,27.30M,,,,27.30M,3.40M,55.80M,28.30M,11.20M,17.10M,,,,17.10M,17.10M,,82.00M,,0.1290,0.00,,0.1290,0.1290,,0.1246,0.00,,0.1246,0.1246,,132.54M,137.27M,0.0226,,,
1995-03,93.90M,93.90M,,27.10M,27.10M,,,,27.10M,-0.10M,62.30M,26.50M,10.80M,15.70M,,,0.70M,15.70M,15.70M,,79.20M,,0.1201,0.00,,0.1201,0.1201,,0.1157,0.00,,0.1157,0.1157,,124.88M,129.68M,0.0198,,,
1994-12,91.30M,91.30M,,27.60M,27.60M,,,,27.60M,0.50M,62.90M,23.60M,9.50M,14.10M,,0.00,0.90M,14.10M,13.98M,,71.40M,,0.1112,0.00,0.00,0.1102,0.1112,,0.1068,0.00,-0.0000,0.1058,0.1068,,117.50M,124.17M,0.0416,,,
1994-09,88.80M,88.80M,,27.20M,27.20M,,,,27.20M,1.20M,62.10M,22.00M,8.70M,13.30M,,,1.20M,13.30M,13.18M,,65.00M,,0.1023,0.00,,0.1013,0.1023,,0.0979,0.00,,0.0969,0.0979,,118.25M,123.63M,0.0356,,,
1994-06,84.10M,84.10M,,24.20M,24.20M,,,,24.20M,0.60M,60.00M,2.70M,-23.30M,26.00M,,,1.40M,26.00M,28.10M,,41.50M,,0.2180,0.00,,0.2366,0.2180,,0.1913,0.00,,0.2076,0.1913,,112.85M,128.59M,0.0356,,,
1994-03,88.90M,88.90M,,23.30M,23.30M,,,,23.30M,2.50M,61.60M,16.60M,0.20M,16.40M,,0.30M,1.50M,16.70M,16.89M,,54.40M,,0.1335,0.0044,0.00,0.1379,0.1379,,0.1201,0.0044,0.0025,0.1242,0.1246,,110.21M,122.02M,0.0267,,,
1993-12,87.30M,87.30M,,23.80M,23.80M,,,,23.80M,,58.20M,12.00M,0.70M,11.30M,,0.00,,11.30M,11.30M,,51.90M,,0.0763,,0.00,0.0763,0.0763,,0.0763,,0.00,0.0763,0.0763,,110.16M,110.16M,0.0178,,,
1993-09,83.40M,83.40M,,23.20M,23.20M,,,,23.20M,,53.00M,8.40M,-0.60M,9.00M,,,,9.00M,9.00M,,47.60M,,0.0667,0.00,,0.0667,0.0667,,0.0667,0.00,,0.0667,0.0667,,134.87M,134.87M,0.00,,,
1993-06,83.50M,83.50M,,22.10M,22.10M,,,,22.10M,4.90M,55.80M,8.90M,0.20M,8.70M,,,,8.70M,6.256M,,48.50M,,0.0801,0.00,,0.0576,0.0801,,0.0712,0.00,,0.0512,0.0712,,108.64M,122.22M,0.00,,,
1993-03,83.50M,83.50M,,21.10M,21.10M,,,,21.10M,,52.60M,12.50M,0.20M,12.30M,,15.00M,,27.30M,0.3936M,,53.50M,,0.1112,0.1379,0.00,0.0026,0.2491,,0.1112,0.1379,0.1369,0.0026,0.2491,,109.58M,109.58M,0.00,,,
1992-12,74.80M,74.80M,,21.20M,21.20M,,,,21.20M,,54.40M,4.00M,2.70M,1.30M,,,,4.00M,1.30M,,49.20M,,0.0133,0.0222,,0.0133,0.0356,,0.0133,0.0222,,0.0133,0.0356,,107.57M,107.57M,0.00,,,
1992-09,81.20M,81.20M,,20.30M,20.30M,,,,20.30M,11.80M,52.30M,2.60M,0.20M,2.40M,,,,2.40M,2.40M,,54.00M,,0.0222,0.00,,0.0222,0.0222,,0.0222,0.00,,0.0222,0.0222,,107.89M,107.89M,0.00,,,
1992-06,75.00M,75.00M,,19.30M,19.30M,,,,19.30M,0.90M,51.60M,0.70M,0.20M,0.50M,,,,0.50M,0.50M,,56.60M,,0.0044,0.00,,0.0044,0.0044,,0.0044,0.00,,0.0044,0.0044,,112.38M,112.38M,0.00,,,
1992-03,78.90M,78.90M,,20.20M,20.20M,,,,20.20M,11.10M,48.60M,0.40M,0.20M,0.20M,,,,0.20M,0.20M,,61.20M,,0.0044,0.00,,0.0044,0.0044,,0.0044,0.00,,0.0044,0.0044,,108.05M,108.05M,0.00,,,
1991-12,102.90M,102.90M,,24.70M,24.70M,,,,24.70M,,45.80M,11.50M,0.20M,11.30M,,,,11.30M,-60.92M,,84.90M,,0.0934,0.00,,-0.5040,0.0934,,0.0934,0.00,,-0.5040,0.0934,,120.88M,120.88M,0.00,,,
1991-09,69.00M,69.00M,,22.20M,22.20M,,,,22.20M,4.10M,45.70M,-25.50M,0.30M,-25.80M,,,,-25.80M,-24.18M,,58.40M,,-0.2180,0.00,,-0.2043,-0.2180,,-0.2180,0.00,,-0.2043,-0.2180,,118.35M,118.35M,0.00,,,
1991-06,,,,,,,,,,,,,,-41.00M,,,,-41.00M,,,-41.00M,,-0.3381,0.00,,-0.3381,-0.3381,,-0.3381,0.00,,-0.3381,-0.3381,,120.87M,120.87M,,,,
1991-03,,,,,,,,,,,,,,-35.50M,,,,-35.50M,,,-35.50M,,-0.2936,0.00,,-0.2936,-0.2936,,-0.2936,0.00,,-0.2936,-0.2936,,120.76M,120.76M,0.00,,,
1990-12,52.70M,52.70M,,20.40M,20.40M,,,,20.40M,,40.30M,-58.50M,-9.60M,-48.90M,,,,-48.90M,-48.90M,,57.00M,,-0.4004,0.00,,-0.4004,-0.4004,,-0.4004,0.00,,-0.4004,-0.4004,,124.75M,124.75M,0.0486,,,
1990-09,53.30M,53.30M,,22.40M,22.40M,,,,22.40M,,37.40M,-39.40M,-10.20M,-29.20M,,,,-29.20M,-29.20M,,80.20M,,-0.2447,0.00,,-0.2447,-0.2447,,-0.2447,0.00,,-0.2447,-0.2447,,119.34M,119.34M,0.0486,,,
1990-06,54.90M,54.90M,,22.50M,22.50M,,,,22.50M,,41.00M,-16.10M,-7.60M,-8.50M,,,,-8.50M,-8.50M,,102.70M,,-0.0712,0.00,,-0.0712,-0.0712,,-0.0712,0.00,,-0.0712,-0.0712,,119.41M,119.41M,0.0486,,,
1990-03,61.80M,61.80M,,22.60M,22.60M,,,,22.60M,,41.40M,-0.10M,-1.90M,1.80M,,,,1.80M,1.80M,,120.00M,,0.0133,0.00,,0.0133,0.0133,,0.0133,0.00,,0.0133,0.0133,,134.86M,134.86M,0.0486,,,
1989-12,67.90M,67.90M,,21.00M,21.00M,,,,21.00M,,40.30M,1.80M,-1.80M,3.60M,,,,3.60M,3.60M,,124.60M,,0.0311,0.00,,0.0311,0.0311,,0.0311,0.00,,0.0311,0.0311,,118.14M,118.14M,0.0486,,,
1989-09,61.90M,61.90M,,22.20M,22.20M,,,,22.20M,6.30M,39.30M,11.80M,2.80M,9.00M,,,,9.00M,9.00M,,132.60M,,0.0756,0.00,,0.0756,0.0756,,0.0756,0.00,,0.0756,0.0756,,119.00M,119.00M,0.0486,,,
1989-06,,,,,,,,,,,,,,8.70M,,,,8.70M,,,,,0.0756,0.00,,0.0756,0.0756,,0.0756,0.00,,0.0756,0.0756,,120.76M,120.76M,,,,
1989-03,,,,,,,,,,,,,,11.20M,,,,11.20M,,,,,0.0934,0.00,,0.0934,0.0934,,0.0934,0.00,,0.0934,0.0934,,120.76M,120.76M,0.0475,,,
1988-12,,,,,,,,,,,,,,8.20M,,,,8.20M,,,,,,,,,,,,,,,,,120.76M,120.76M,0.0432,,,
1988-09,,,,,,,,,,,,,,6.60M,,,,6.60M,,,,,0.0534,0.00,,0.0534,0.0534,,0.0534,0.00,,0.0534,0.0534,,120.76M,120.76M,,,,
1988-06,,,,,,,,,,,,,,10.90M,,,,10.90M,,,,,0.0890,0.00,,0.0890,0.0890,,0.0890,0.00,,0.0890,0.0890,,120.76M,120.76M,,,,
1988-03,,,,,,,,,,,,,,10.90M,,,,10.90M,,,,,0.0934,0.00,,0.0934,0.0934,,0.0934,0.00,,0.0934,0.0934,,120.76M,120.76M,,,,
1987-12,,,,,,,,,,,,,,12.40M,,,,12.40M,,,,,,,,,,,,,,,,,120.76M,120.76M,,,,
1987-09,,,,,,,,,,,,,,12.40M,,,,12.40M,,,,,0.1023,0.00,,0.1023,0.1023,,0.1023,0.00,,0.1023,0.1023,,120.76M,120.76M,,,,
1987-06,,,,,,,,,,,,,,12.40M,,,,12.40M,,,,,0.1023,0.00,,0.1023,0.1023,,0.1023,0.00,,0.1023,0.1023,,120.76M,120.76M,,,,
1987-03,,,,,,,,,,,,,,12.40M,,,,12.40M,,,,,0.1023,0.00,,0.1023,0.1023,,0.1023,0.00,,0.1023,0.1023,,120.76M,120.76M,,,,
