,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2013-03,479.97M,479.97M,150.26M,329.71M,56.20M,56.20M,,,-17.35M,,111.35M,11.63M,-103.01M,4.353M,232.67M,97.04M,11.63M,111.35M,-103.01M,347.15M,-103.01M,341.17M,51.87M,289.30M,7.627M,,-12.10M,10.30M,284.83M,3.833M,629.96M,177.43M,452.52M,0.56,0.02,,,-0.0324,0.58,0.55,0.02,,,-0.0208,0.57,461.47M,478.95M,0.28
2012-12,486.89M,486.89M,138.09M,348.80M,60.61M,60.61M,,0.00,-287.09M,,118.10M,3.107M,-118.74M,9.414M,247.25M,101.55M,3.107M,118.10M,-118.74M,-251.79M,-118.74M,-268.97M,3.364M,-272.34M,57.00M,,-3.068M,10.30M,-218.41M,-104.45M,38.68M,189.56M,-150.88M,-0.63,0.13,,,-0.2587,-0.5,-0.63,0.12,,,-0.2587,-0.5,460.42M,460.42M,0.28
2012-09,499.46M,499.46M,142.16M,357.30M,55.89M,55.89M,,0.00,-30.44M,,122.82M,8.758M,-114.06M,5.58M,251.61M,105.69M,8.758M,122.82M,-114.06M,-21.10M,-114.06M,-29.48M,-19.98M,-9.494M,-23.40M,,-3.323M,10.30M,-36.22M,2.567M,291.64M,198.30M,93.34M,-0.05,-0.05,,,-0.0166,-0.1,-0.05,-0.05,,,-0.0167,-0.1,460.08M,461.98M,0.28
2012-06,501.18M,501.18M,140.99M,360.19M,51.42M,51.42M,,0.00,-21.69M,,127.58M,5.912M,-121.67M,7.227M,237.40M,122.79M,5.912M,127.58M,-121.67M,-4.524M,-121.67M,-3.404M,8.075M,-11.48M,16.15M,,-2.739M,10.05M,1.929M,-8.750M,311.96M,187.78M,124.18M,-0.06,0.04,,,-0.0481,-0.02,-0.06,0.04,,,-0.0481,-0.02,459.88M,459.88M,0.28
2012-03,479.43M,479.43M,135.61M,343.82M,60.16M,60.16M,,16.14M,-24.63M,,128.10M,5.101M,-127.96M,4.335M,244.77M,99.04M,5.101M,128.10M,-127.96M,230.36M,-127.96M,201.45M,12.12M,189.33M,23.77M,,-0.118M,10.57M,212.98M,-14.14M,521.38M,191.82M,329.55M,0.39,0.05,,,-0.0528,0.44,0.39,0.05,,,-0.0371,0.44,459.20M,476.11M,0.28
2011-12,413.39M,413.39M,110.34M,303.04M,,50.80M,,,-77.31M,,106.79M,4.667M,-122.60M,9.789M,225.81M,77.23M,4.667M,106.79M,-122.60M,-63.56M,-122.60M,-108.94M,-8.184M,-100.76M,60.74M,,4.832M,10.28M,-35.18M,-33.51M,196.15M,198.30M,-2.155M,-0.24,0.15,,,-0.1041,-0.09,-0.24,0.14,,,-0.1055,-0.09,459.37M,464.15M,0.28
2011-09,469.14M,469.14M,137.03M,332.11M,,53.34M,,,-4.585M,,135.86M,4.643M,-131.22M,3.971M,240.09M,92.02M,4.643M,135.86M,-131.22M,78.92M,-131.22M,39.72M,-2.838M,42.56M,23.31M,,-0.023M,10.41M,65.84M,11.37M,373.61M,198.03M,175.58M,0.07,0.05,,,0.002,0.12,0.07,0.05,,,0.0026,0.12,458.26M,462.41M,0.28
2011-06,320.91M,320.91M,88.80M,232.12M,,51.84M,,,-109.93M,,112.92M,5.277M,-107.64M,,170.45M,61.67M,5.277M,112.92M,-107.64M,-108.79M,-107.64M,-154.76M,6.429M,-161.19M,17.56M,,-0.202M,7.642M,-143.83M,-83.27M,82.59M,124.43M,-41.84M,-0.55,0.06,,,-0.2962,-0.49,-0.55,0.06,,,-0.2962,-0.49,307.76M,307.76M,0.28
2011-03,229.87M,229.87M,71.18M,158.69M,,39.18M,,,-2.263M,,93.11M,0.00,-93.11M,4.684M,123.92M,34.78M,0.00,93.11M,-93.11M,12.75M,-93.11M,-45.58M,6.369M,-51.95M,11.78M,,-0.083M,6.369M,-40.25M,-51.45M,130.65M,83.12M,47.53M,-0.23,0.05,,,-0.2277,-0.18,-0.23,0.05,,,-0.2277,-0.18,254.70M,254.70M,0.28
2010-12,174.96M,174.96M,43.57M,131.39M,,50.10M,,,-1.426B,,79.63M,10.01M,-102.02M,-1.266M,107.79M,23.60M,10.01M,79.63M,-102.02M,-1.343B,-102.02M,-1.422B,-5.907M,-1.416B,254.78M,,0.591M,6.317M,-1.160B,-74.36M,-1.253B,89.34M,-1.342B,-6.44,1.15,,,-0.8591,-5.29,-6.44,1.15,,,-0.8591,-5.29,240.23M,240.23M,0.28
