,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-06,847.00M,21.00M,,,197.00M,197.00M,85.00M,,,-27.00M,,,,,,,-157.00M,-157.00M,,966.00M,,-438.00M,52.00M,-386.00M,-112.00M,,8.00M,-490.00M,,,,-201.00M,23.00M,-6.00M,17.00M,,-26.00M,,,-210.00M,,686.00M,266.00M,-3.00M,949.00M,,23.00M,,,-6.00M,,,,,
2005-03,534.00M,,,,186.00M,186.00M,102.00M,,,-11.00M,,,,,,,-14.00M,-14.00M,,797.00M,,-338.00M,,-338.00M,,,-191.00M,-529.00M,,,,-278.00M,33.00M,-177.00M,-144.00M,,-22.00M,,,-444.00M,,864.00M,-176.00M,-2.00M,686.00M,,33.00M,,,-177.00M,,,,,
2004-12,489.00M,49.00M,,,154.00M,154.00M,9.00M,,,34.00M,,,,,,,344.00M,344.00M,,1.079B,,-1.038B,50.00M,-988.00M,7.00M,,412.00M,-569.00M,,,,-270.00M,23.00M,-73.00M,-50.00M,,-21.00M,,1.00M,-340.00M,,681.00M,170.00M,13.00M,864.00M,,23.00M,,,-73.00M,,,,,
2004-09,434.00M,-2.00M,,,164.00M,164.00M,109.00M,,,-104.00M,562.00M,570.00M,-3.00M,-732.00M,-19.00M,-235.00M,-55.00M,88.00M,,689.00M,,-301.00M,17.00M,-284.00M,4.00M,,-44.00M,-324.00M,,,,-16.00M,23.00M,-9.00M,14.00M,,-20.00M,,-1.00M,-23.00M,,330.00M,342.00M,9.00M,681.00M,,23.00M,,,-9.00M,,,,,
2004-06,633.00M,11.00M,,,159.00M,159.00M,129.00M,,,76.00M,-562.00M,-570.00M,3.00M,732.00M,19.00M,235.00M,-4.00M,-147.00M,,861.00M,,293.00M,41.00M,334.00M,-29.00M,,-593.00M,-288.00M,,,,-262.00M,28.00M,-224.00M,-196.00M,,-21.00M,,,-479.00M,,239.00M,94.00M,-3.00M,330.00M,,28.00M,,,-224.00M,,,,,
2004-03,248.00M,,,,141.00M,141.00M,98.00M,,,-76.00M,,,,,,,-82.00M,-82.00M,,329.00M,,-813.00M,,-813.00M,-576.00M,,-115.00M,-1.504B,,,,611.00M,467.00M,-12.00M,455.00M,,-17.00M,,,1.049B,,369.00M,-126.00M,-4.00M,239.00M,,467.00M,,,-12.00M,,,,,
2003-12,131.60M,0.00,,,148.50M,148.50M,61.50M,,,-106.70M,,,,,,,364.90M,364.90M,-336.10M,263.70M,,-404.00M,500.40M,96.40M,-15.60M,,-489.10M,-408.30M,,,,-28.90M,238.40M,-49.00M,189.40M,,-15.60M,,-289.30M,-144.40M,,309.60M,-289.00M,348.60M,369.20M,,238.40M,,,-49.00M,,,,,
2003-09,191.10M,-0.90M,,,125.20M,125.20M,117.80M,,,114.90M,,,,,,,-135.10M,-135.10M,,413.00M,,-113.30M,44.40M,-68.90M,15.10M,,-663.20M,-717.00M,,,,110.50M,-177.20M,-4.50M,-181.70M,,-12.80M,,0.00,-84.00M,,697.50M,-388.00M,0.10M,309.60M,,-177.20M,,,-4.50M,,,,,
2003-06,128.40M,-6.10M,,,119.70M,119.70M,49.70M,,,-119.60M,,,,,,,64.40M,64.40M,336.10M,572.60M,,-330.60M,-331.10M,-661.70M,-35.00M,,305.40M,-391.30M,,,,298.60M,8.00M,-15.40M,-7.40M,,-11.50M,,-200.00M,79.70M,,740.90M,261.00M,-304.40M,697.50M,,8.00M,,,-15.40M,,,,,
2003-03,170.40M,5.70M,,,117.10M,117.10M,58.20M,,,16.80M,,,,,,,135.00M,135.00M,-336.10M,167.10M,,-127.90M,350.00M,222.10M,-15.10M,,-21.40M,185.60M,,,,-449.20M,481.00M,-4.30M,476.70M,,-10.70M,,-3.60M,13.20M,,378.90M,365.90M,-3.90M,740.90M,,481.00M,,,-4.30M,,,,,
2002-12,89.00M,-19.10M,,,114.40M,114.40M,36.20M,,,-4.20M,,,,,-208.80M,,249.70M,-11.60M,,204.70M,,-144.70M,925.00M,780.30M,0.00,,-928.80M,-148.50M,,,,-9.90M,30.10M,-0.80M,29.30M,,-0.50M,,-13.70M,5.20M,,319.60M,61.40M,-2.10M,378.90M,,30.10M,,,-0.80M,,,,,
2002-09,29.80M,1.80M,,,107.90M,107.90M,10.40M,,,4.20M,,,,,61.10M,,-170.30M,-109.20M,,44.90M,,-117.60M,-931.60M,-1.049B,-23.90M,,948.30M,-124.80M,,,,33.10M,21.90M,-0.70M,21.20M,,-14.20M,,0.10M,40.20M,,360.90M,-39.70M,-1.60M,319.60M,,21.90M,,,-0.70M,,,,,
2002-06,11.30M,8.50M,,,112.70M,112.70M,-45.10M,,,,,,,,-61.10M,,261.20M,200.10M,,287.50M,,-355.50M,924.90M,569.40M,,,-84.30M,485.10M,,,,-609.20M,11.30M,-37.30M,-26.00M,,2.041B,,-2.055B,-649.20M,,232.80M,123.40M,4.70M,360.90M,,11.30M,,,-37.30M,,,,,
2002-03,-38.60M,0.10M,,,114.30M,114.30M,,,,,,,,,,,-340.60M,-340.60M,,-264.80M,,-193.40M,6.70M,-186.70M,,,223.50M,36.80M,,,,2.228B,38.70M,-6.70M,32.00M,,-2.069B,,,191.40M,,269.40M,-36.60M,,232.80M,,38.70M,,,-6.70M,,,,,
2001-12,51.60M,-5.461M,36.86M,33.57M,70.43M,70.43M,96.80M,,,,278.19M,-29.41M,-8.361M,-151.52M,,-96.57M,,-7.672M,,205.69M,,-164.98M,,-157.28M,-1.830B,,-750.71M,-2.738B,,,,2.778B,50.83M,-112.09M,-61.26M,,-6.06M,,,2.710B,,91.16M,178.28M,,269.44M,,50.83M,,,-112.09M,,,,,
2001-09,101.06M,-28.59M,100.88M,81.05M,71.72M,71.72M,65.70M,,,,-156.06M,-37.12M,14.30M,-86.06M,22.60M,119.78M,99.00M,-23.57M,,186.32M,,-90.88M,,-90.88M,-0.418M,,-37.04M,-128.34M,,,,-0.005M,4.506M,-8.988M,-4.482M,,-4.838M,,,-9.325M,,42.50M,48.66M,,91.16M,,4.506M,,,-8.988M,,,,,
2001-06,274.82M,2.241M,-31.80M,-23.40M,55.00M,55.00M,55.50M,,,,-10.32M,41.53M,2.001M,-60.40M,-22.60M,-2.107M,-99.00M,-150.90M,,236.67M,,-68.93M,,-68.93M,-75.30M,,-155.55M,-299.78M,,,,-0.211M,9.239M,-24.24M,-15.00M,,-4.915M,,,-20.13M,,125.74M,-83.24M,,42.50M,,9.239M,,,-24.24M,,,,,
2001-03,136.08M,3.559M,31.80M,23.40M,55.20M,55.20M,52.70M,,,,10.32M,-41.53M,-2.001M,60.40M,,2.107M,,29.30M,,276.83M,,-68.77M,,-68.77M,,,-67.35M,-136.12M,,,,-27.19M,13.86M,-11.36M,2.501M,,-4.885M,,,-29.57M,,14.60M,111.14M,,125.74M,,13.86M,,,-11.36M,,,,,
2000-12,93.34M,-17.47M,,,53.34M,53.34M,3.90M,,,,,,,,,,98.24M,98.24M,,231.36M,,-63.41M,,-63.41M,0.00,,-34.98M,-98.39M,,,,-116.02M,170.74M,-14.48M,156.26M,,-4.867M,,-166.73M,-131.36M,,12.98M,1.611M,,14.60M,,170.74M,,,-14.48M,,,,,
2000-09,127.36M,,,,47.84M,47.84M,56.50M,,,8.024M,,,,,,,36.52M,36.52M,,276.24M,,-55.47M,,-55.47M,0.00,,-12.73M,-68.19M,,,,-172.94M,3.468M,-30.64M,-27.17M,,-4.869M,,-0.464M,-205.44M,,10.38M,2.606M,,12.98M,,3.468M,,,-30.64M,,,,,
2000-06,87.68M,0.271M,,,39.28M,39.28M,31.50M,,,-8.024M,,,,,,,-68.18M,-68.18M,,82.53M,,-50.78M,,-50.78M,-889.73M,,-44.93M,-985.44M,,,,581.81M,170.71M,-10.44M,160.27M,,-4.487M,,167.19M,904.78M,,8.509M,1.87M,,10.38M,,170.71M,,,-10.44M,,,,,
2000-03,30.74M,-0.271M,,,32.60M,32.60M,11.20M,,,,,,,,,,-63.09M,-63.09M,,11.18M,,-25.23M,,-25.23M,,,-16.74M,-41.97M,,,,-13.50M,5.912M,-8.732M,-2.82M,,-4.469M,,,-20.79M,,60.09M,-51.58M,,8.509M,,5.912M,,,-8.732M,,,,,
1999-12,16.50M,-5.10M,,,32.80M,32.80M,-1.30M,,,,,,,,,,-169.30M,127.00M,,169.90M,,-23.90M,,-23.90M,,,-13.40M,-37.30M,,,,-72.00M,9.00M,-12.80M,-3.80M,,-4.40M,,-0.20M,-80.40M,,7.80M,52.20M,,60.10M,,9.00M,,,-12.80M,,,,,
1999-09,22.60M,,,,35.10M,35.10M,5.70M,,,-115.40M,,,,,,,169.30M,169.30M,,117.30M,,-18.40M,,-18.40M,,,-5.30M,-23.70M,,,,-89.00M,1.90M,-0.10M,1.80M,,-4.50M,,0.10M,-91.60M,,0.00,2.00M,,7.80M,,1.90M,,,-0.10M,,,,,
1999-06,-22.08M,-1.579M,,,34.22M,34.22M,-12.50M,,,115.40M,,,,,,,-113.98M,-113.98M,,-0.519M,,-19.43M,,-19.43M,,,-22.70M,-42.13M,,,,37.48M,2.114M,0.024M,2.138M,,-4.514M,,,35.10M,,13.34M,-7.544M,,0.00,,2.114M,,,0.024M,,,,,
1999-03,-2.716M,1.579M,,,36.88M,36.88M,-1.30M,,,,,,,,,,113.98M,113.98M,,148.42M,,-38.87M,,-38.87M,,,-30.20M,-69.07M,,,,-74.68M,2.586M,-0.624M,1.962M,,-4.486M,,,-77.20M,,11.20M,2.144M,,13.34M,,2.586M,,,-0.624M,,,,,
1998-12,-85.70M,183.10M,,,-8.80M,-8.80M,-40.10M,,,-104.60M,,,,,,,,,,-102.30M,,-56.40M,-0.30M,-56.70M,,,-14.50M,-71.20M,,,,177.70M,3.20M,-18.10M,-14.90M,,13.50M,,0.20M,176.50M,,0.00,3.00M,,0.00,,3.20M,,,-18.10M,,,,,
1998-09,4.30M,-15.00M,,,32.50M,32.50M,5.40M,,,98.20M,,,,,,,,,,125.40M,,-375.40M,0.00,-375.40M,,,-1.40M,-376.80M,,,,270.00M,2.60M,-15.00M,-12.40M,,-4.50M,,-0.10M,253.00M,,0.00,1.60M,,0.00,,2.60M,,,-15.00M,,,,,
1998-06,40.00M,15.30M,,,29.40M,29.40M,10.70M,,,0.00,,,,,,,,,,95.40M,,-35.70M,0.30M,-35.40M,,,-18.10M,-53.50M,,,,-39.80M,0.40M,-1.20M,-0.80M,,-4.50M,,,-45.10M,,0.00,-3.20M,,0.00,,0.40M,,,-1.20M,,,,,
1998-03,-5.90M,35.40M,,,25.60M,25.60M,-7.70M,,,-0.10M,,,,,,,,,,47.30M,,-33.20M,,-33.20M,,,-31.60M,-64.80M,,,,21.50M,0.50M,-0.20M,0.30M,,-4.50M,,,17.30M,,9.90M,-0.20M,,0.00,,0.50M,,,-0.20M,,,,,
1997-12,12.40M,-9.30M,,,-5.00M,-5.00M,11.40M,,,16.10M,,,,,-58.80M,,,-58.80M,-0.30M,-33.50M,,333.40M,,333.40M,,,-361.70M,-26.90M,,,,52.70M,0.30M,0.00,0.30M,,16.60M,,-21.20M,48.40M,,0.00,-12.00M,,9.90M,,0.30M,,,0.00,,,,,
1997-09,51.50M,-8.70M,,,22.20M,22.20M,11.10M,,,4.50M,,,,,164.40M,,,164.40M,51.50M,296.50M,,-381.90M,,-381.90M,,,361.30M,-20.60M,,,,-57.60M,21.30M,-1.80M,19.50M,,-4.50M,,-214.60M,-257.20M,,0.00,18.70M,,0.00,,21.30M,,,-1.80M,,,,,
1997-06,16.80M,13.20M,,,13.40M,13.40M,8.50M,,,-1.10M,,,,,-100.80M,,,-100.80M,-26.70M,-76.70M,,-33.60M,-0.20M,-33.80M,,,-364.70M,-398.50M,,,,502.70M,19.20M,-4.20M,15.00M,,-9.00M,,-26.60M,482.10M,,0.00,6.90M,,0.00,,19.20M,,,-4.20M,,,,,
1997-03,15.40M,,,,34.60M,34.60M,1.30M,,,-3.40M,,,,,-13.10M,,,-13.10M,,34.80M,,-39.90M,0.20M,-39.70M,,,-1.00M,-40.70M,,,,-29.60M,18.30M,-4.60M,13.70M,,-8.50M,,26.60M,2.20M,,19.80M,-3.70M,,0.00,,18.30M,,,-4.60M,,,,,
1996-12,41.30M,-27.00M,,,-44.90M,-44.90M,-8.50M,,,6.70M,,,,,-53.70M,,,-53.70M,126.10M,40.00M,,-38.40M,-6.60M,-45.00M,,-0.60M,-11.80M,-57.40M,,,,50.50M,6.10M,-9.80M,-3.70M,,14.20M,,-29.60M,31.40M,,0.00,14.00M,,0.00,,6.10M,,,-9.80M,,,,,
1996-09,13.20M,20.40M,,,56.50M,56.50M,13.00M,,,-13.10M,,,,,38.20M,,,38.20M,-85.70M,42.50M,,-22.70M,6.70M,-16.00M,,1.80M,-21.80M,-36.00M,,,,-19.00M,-2.10M,2.20M,0.10M,,-8.50M,,6.90M,-20.50M,,0.00,-14.00M,,0.00,,-2.10M,,,2.20M,,,,,
1996-06,20.80M,-20.40M,,,9.20M,9.20M,0.50M,,,-1.20M,,,,,-10.80M,,,-10.80M,85.70M,83.80M,,-35.70M,-2.70M,-38.40M,,-1.70M,-0.70M,-40.80M,,,,-3.00M,6.50M,-2.20M,4.30M,,-8.60M,,-24.60M,-31.90M,,0.00,11.10M,,0.00,,6.50M,,,-2.20M,,,,,
1996-03,19.90M,,,,34.20M,34.20M,4.00M,,,2.00M,,,,,20.10M,,,20.10M,,80.20M,,-31.70M,2.70M,-29.00M,,1.70M,-0.70M,-28.00M,,,,-80.10M,0.70M,,0.70M,,-8.50M,,24.60M,-63.30M,,28.10M,-11.10M,,0.00,,0.70M,,,,,,,,
1995-12,71.10M,,,,-41.30M,-41.30M,25.90M,,,1.90M,,,,,-26.30M,,,-26.30M,,12.50M,,-24.80M,-13.80M,-38.60M,,-1.60M,-1.80M,-42.00M,,,,47.70M,5.00M,,-5.20M,,14.00M,,-29.00M,27.50M,,0.00,-2.00M,,0.00,,5.00M,,,,,,,,
1995-09,22.60M,,,,33.80M,33.80M,-1.90M,,,-10.10M,-34.40M,-36.30M,,59.60M,9.70M,-1.10M,,-2.50M,,41.90M,,-34.40M,13.80M,-20.60M,,0.30M,-4.50M,-24.80M,,,,1.50M,0.10M,,0.10M,,-8.60M,,-8.20M,-15.20M,,0.00,1.90M,,0.00,,0.10M,,,,,,,,
1995-06,20.50M,,,,33.90M,33.90M,3.20M,,,1.70M,34.40M,36.30M,,-59.60M,-53.50M,1.10M,,-41.30M,,18.00M,,-35.60M,,-35.60M,,-0.40M,-2.20M,-38.20M,,,,43.50M,-0.10M,,-0.10M,,-8.70M,,-8.20M,26.50M,,0.00,6.30M,,0.00,,-0.10M,,,,,,,,
1995-03,3.80M,,,,30.80M,30.80M,2.00M,,,-5.90M,,,,,63.60M,,,63.60M,,94.30M,,-29.80M,,-29.80M,,-0.30M,-28.30M,-58.40M,,,,-62.40M,1.10M,,1.10M,,-8.60M,,22.80M,-47.10M,,26.20M,-11.20M,,0.00,,1.10M,,,,,,,,
1994-12,3.90M,,,,28.90M,28.90M,3.30M,,,6.70M,,,,,-17.50M,,,-17.50M,,25.30M,,-34.20M,0.20M,-34.00M,,-5.60M,-20.20M,-59.80M,,,,67.10M,1.20M,,0.00,,-8.70M,,-7.40M,51.00M,,0.00,16.50M,,0.00,,1.20M,,,,,,,,
1994-09,12.50M,,,,31.70M,31.70M,5.00M,,,-0.60M,,,,,-25.70M,,,-25.70M,,22.90M,,-15.10M,4.30M,-10.80M,,0.30M,-3.30M,-13.80M,,,,-32.10M,1.00M,,1.00M,,-8.60M,,-7.60M,-47.30M,,0.00,-38.20M,,0.00,,1.00M,,,,,,,,
1994-06,4.20M,,,,19.00M,19.00M,2.50M,,,11.50M,,,,,-48.70M,,,-48.70M,,-11.50M,,-17.10M,1.20M,-15.90M,,-125.40M,0.10M,-141.20M,,,,89.70M,0.10M,,0.10M,,-8.00M,,-7.60M,74.20M,,0.00,-78.50M,,0.00,,0.10M,,,,,,,,
1994-03,6.30M,,,,22.80M,22.80M,1.40M,,,4.60M,,,,,-3.70M,,,-3.70M,,31.40M,,-14.30M,1.60M,-12.70M,,-2.80M,0.40M,-15.10M,,,,-60.00M,168.80M,,168.80M,,-5.90M,,,102.90M,,7.30M,119.20M,,0.00,,168.80M,,,,,,,,
1993-12,-15.20M,0.90M,,,20.90M,20.90M,-11.30M,,,-22.00M,,,,,54.00M,12.80M,,66.80M,,40.10M,,-73.50M,-0.80M,-74.30M,,-1.10M,8.20M,-67.20M,,,,-0.50M,2.10M,,0.90M,,-5.90M,,0.00,-5.50M,,0.00,-32.60M,,0.00,,2.10M,,,,,,,,
1993-09,11.30M,12.80M,,,33.10M,33.10M,14.30M,,,-0.10M,,,,,-15.00M,-12.80M,,-27.80M,,43.60M,,-14.50M,31.00M,16.50M,,-5.10M,3.10M,14.50M,,,,-11.30M,0.30M,,0.30M,,-15.20M,,0.10M,-26.10M,,0.00,32.00M,,0.00,,0.30M,,,,,,,,
1993-06,24.70M,-19.30M,,,8.40M,8.40M,7.70M,,,0.10M,,,,,,,,,,21.60M,,-28.40M,0.30M,-28.10M,,,-1.80M,-29.90M,,,,2.70M,0.30M,,0.30M,,5.10M,,-0.10M,8.00M,,0.00,-0.30M,,0.00,,0.30M,,,,,,,,
1993-03,15.60M,-1.30M,,,17.10M,17.10M,4.60M,,,,,,,,,,,,,36.00M,,-43.20M,0.20M,-43.00M,,,-8.50M,-51.50M,,,,19.40M,1.10M,,1.10M,,-5.10M,,0.10M,15.50M,,8.20M,,,0.00,,1.10M,,,,,,,,
1992-12,8.20M,,,,12.20M,12.20M,4.80M,,,11.40M,50.00M,-8.20M,,5.50M,8.50M,-39.70M,,16.10M,,52.70M,,-42.60M,0.70M,-41.90M,,-8.60M,-11.70M,-62.20M,,,,15.70M,0.80M,,-0.40M,,-5.00M,,-0.10M,10.20M,,0.00,0.70M,,0.00,,0.80M,,,,,,,,
1992-09,28.10M,4.80M,,,11.70M,11.70M,4.40M,,,-0.70M,-50.00M,8.20M,,-5.50M,-8.70M,13.80M,,-42.20M,,6.10M,,-51.10M,0.20M,-50.90M,,,-19.00M,-69.90M,,,,34.00M,0.40M,,0.40M,,-5.10M,,0.00,29.30M,,0.00,-34.50M,,0.00,,0.40M,,,,,,,,
1992-06,27.50M,-4.80M,,,13.00M,13.00M,8.30M,,,8.00M,,,,,22.10M,,,22.10M,,74.10M,,-125.40M,0.20M,-125.20M,,1.30M,-8.80M,-132.70M,,,,105.30M,-9.40M,,-9.40M,,-5.10M,,0.10M,90.90M,,0.00,32.30M,,0.00,,-9.40M,,,,,,,,
1992-03,20.10M,,,,11.30M,11.30M,8.70M,,,1.40M,,,,,-21.90M,,,-21.90M,,19.60M,,-63.70M,0.10M,-63.60M,,-1.30M,1.00M,-63.90M,,,,-30.10M,74.20M,,74.20M,,-4.00M,,,40.10M,,13.90M,-4.20M,,0.00,,74.20M,,,,,,,,
1991-12,22.80M,-2.70M,,,9.50M,9.50M,9.50M,,,5.50M,,,,,-18.50M,,,-18.50M,,26.10M,,-79.80M,0.20M,-79.60M,,,-34.50M,-114.10M,,,,39.90M,,-22.30M,-22.30M,,-5.00M,,-0.10M,12.50M,,0.00,-75.50M,,0.00,,,,,-22.30M,,,,,
1991-09,30.00M,-13.90M,,,9.20M,9.20M,13.90M,,,3.80M,,,,,-3.70M,,,-3.70M,,39.30M,,-60.70M,0.10M,-60.60M,,,-5.50M,-66.10M,,,,-0.20M,,-21.10M,-21.10M,,-5.40M,,,-26.70M,,0.00,-53.50M,,0.00,,,,,-21.10M,,,,,
1991-06,25.30M,-8.30M,,,9.20M,9.20M,12.20M,,,3.90M,,,,,-28.20M,,,-28.20M,,14.10M,,-40.30M,0.00,-40.30M,,,1.60M,-38.70M,,,,-0.10M,,0.00,0.00,,-5.40M,,0.10M,-5.40M,,0.00,-30.00M,,0.00,,,,,0.00,,,,,
1991-03,20.60M,1.90M,,,8.70M,8.70M,9.90M,,,4.90M,,,,,57.30M,,,57.30M,,103.30M,,-48.90M,0.10M,-48.80M,,,-20.10M,-68.90M,,,,94.20M,,-2.80M,-2.80M,,-4.60M,,-0.10M,86.70M,,51.70M,121.10M,,0.00,,,,,-2.80M,,,,,
1990-12,33.30M,-14.70M,,,9.40M,9.40M,19.30M,,,6.10M,,,,,5.20M,,,5.20M,,58.60M,,-70.60M,0.30M,-70.30M,,,-42.20M,-112.50M,,,,105.70M,-3.10M,-1.20M,-4.30M,,-4.60M,,-0.10M,96.70M,,0.00,42.80M,,0.00,,-3.10M,,,-1.20M,,,,,
1990-09,31.80M,-1.20M,,,8.80M,8.80M,14.10M,,,8.20M,,,,,11.90M,,,11.90M,,73.60M,,-36.30M,0.00,-36.30M,,,-29.40M,-65.70M,,,,-68.90M,67.50M,0.90M,68.40M,,-4.70M,,0.20M,-5.00M,,0.00,2.90M,,0.00,,67.50M,,,0.90M,,,,,
1990-06,19.90M,3.90M,,,8.70M,8.70M,8.90M,,,0.20M,,,,,0.20M,,,0.20M,,41.80M,,-22.30M,2.00M,-20.30M,,,-6.60M,-26.90M,,,,-12.10M,,0.00,0.00,,-4.20M,,-0.10M,-16.40M,,0.00,-1.50M,,0.00,,,,,0.00,,,,,
1990-03,9.70M,-3.90M,,,8.70M,8.70M,4.30M,,,4.40M,,,,,-0.80M,,,-0.80M,,22.40M,,-8.60M,0.10M,-8.50M,,,1.10M,-7.40M,,,,-18.00M,,-0.90M,-0.90M,,-3.60M,,,-22.50M,,15.10M,-7.50M,,0.00,,,,,-0.90M,,,,,
