,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-03,1.715B,1.715B,3.156B,,,3.242B,186.00M,2.186B,2.297B,,4.669B,625.00M,139.00M,78.00M,,10.47B,,,,,,,28.64B,-5.112B,23.53B,,213.00M,213.00M,,,1.563B,,25.31B,35.78B,,4.539B,503.00M,5.042B,378.00M,5.42B,,,312.00M,,312.00M,,505.00M,505.00M,,6.237B,,,7.264B,7.264B,4.289B,,4.289B,,,,,,2.183B,13.74B,19.97B,,6.00M,15.72B,7.194B,6.875B,,,,-237.00M,15.80B,,AOR,Restated
2008-12,940.00M,940.00M,2.895B,,,3.092B,166.00M,2.14B,2.314B,,4.62B,550.00M,131.00M,98.00M,19.00M,9.45B,0.00,602.00M,872.00M,20.92B,1.098B,2.632B,26.12B,-4.698B,21.42B,,224.00M,224.00M,,,1.436B,1.886B,24.97B,34.42B,,4.323B,592.00M,4.915B,370.00M,5.285B,,,312.00M,,312.00M,,485.00M,485.00M,127.00M,6.209B,,,6.264B,6.264B,3.829B,,3.829B,,,,,,2.495B,12.59B,18.80B,,6.00M,15.48B,7.19B,6.884B,,,,-176.00M,15.62B,,,Restated
2008-09,2.767B,2.767B,6.581B,,,6.581B,179.00M,,,4.68B,4.859B,192.00M,121.00M,306.00M,,14.83B,,,,,,,27.45B,-4.711B,22.74B,4.057B,252.00M,4.309B,,,,1.929B,28.98B,43.81B,,9.921B,,9.921B,492.00M,10.41B,,,211.00M,,211.00M,,366.00M,366.00M,780.00M,11.77B,,6.264B,,6.264B,4.271B,,4.271B,,,,,,1.788B,12.32B,24.09B,,6.00M,18.84B,7.252B,6.783B,,,,400.00M,19.71B,,,
2008-06,1.644B,1.644B,7.721B,,,7.721B,179.00M,,,4.725B,4.904B,160.00M,100.00M,388.00M,335.00M,15.25B,,,,,,,26.77B,-4.493B,22.28B,4.039B,268.00M,4.307B,,,,1.822B,28.40B,43.66B,,10.96B,,10.96B,447.00M,11.41B,,,212.00M,,212.00M,,247.00M,247.00M,979.00M,12.85B,,6.263B,,6.263B,4.085B,,4.085B,,,,,,1.78B,12.13B,24.98B,,6.00M,17.76B,7.215B,6.733B,,,,427.00M,18.68B,,,
2008-03,1.431B,1.431B,6.009B,,,6.009B,176.00M,,,4.467B,4.643B,119.00M,41.00M,271.00M,,12.51B,,,,,,,26.29B,-4.305B,21.98B,4.06B,275.00M,4.335B,,,,1.836B,28.16B,40.67B,,8.635B,,8.635B,490.00M,9.125B,,,3.00M,,3.00M,,293.00M,293.00M,736.00M,10.16B,,6.471B,,6.471B,4.008B,,4.008B,,,,,,1.801B,12.28B,22.44B,,6.00M,17.11B,7.258B,6.574B,,,,432.00M,18.23B,,,
2007-12,2.464B,2.464B,7.691B,,,7.691B,172.00M,,,4.012B,4.184B,175.00M,31.00M,247.00M,,14.79B,0.00,577.00M,782.00M,,23.17B,1.255B,25.79B,-4.078B,21.71B,4.061B,290.00M,4.351B,,,,1.87B,27.93B,42.72B,,9.596B,,9.596B,502.00M,10.10B,,,392.00M,,392.00M,,293.00M,293.00M,1.131B,11.91B,,6.47B,,6.47B,4.021B,,4.021B,,,,,,1.81B,12.30B,24.22B,,6.00M,16.91B,7.111B,6.097B,,580.00M,-7.00M,573.00M,18.51B,,,
2007-09,3.109B,3.109B,6.463B,,,6.463B,168.00M,,,4.448B,4.616B,238.00M,31.00M,197.00M,,14.65B,,,,,,,25.08B,-3.853B,21.22B,4.061B,298.00M,4.359B,,,,1.624B,27.21B,41.86B,,8.145B,,8.145B,608.00M,8.753B,,,60.00M,,60.00M,,323.00M,323.00M,1.106B,10.24B,,6.854B,,6.854B,3.941B,,3.941B,,,,,,1.856B,12.65B,22.89B,,6.00M,16.41B,7.366B,5.308B,,,,491.00M,18.97B,,,
2007-06,2.336B,2.336B,4.693B,,,4.693B,165.00M,,,4.413B,4.578B,133.00M,31.00M,183.00M,1.613B,13.57B,,,,,,,24.45B,-3.667B,20.78B,4.092B,293.00M,4.385B,,,,1.613B,26.78B,40.35B,,7.348B,,7.348B,536.00M,7.884B,,,66.00M,,66.00M,,337.00M,337.00M,1.178B,9.465B,,6.855B,,6.855B,4.146B,,4.146B,,,,,,1.769B,12.77B,22.24B,,6.00M,15.20B,7.446B,4.876B,,,,335.00M,18.12B,,,
2007-03,1.696B,1.696B,4.173B,,,4.173B,171.00M,,,4.664B,4.835B,113.00M,31.00M,147.00M,,11.00B,,,,,,,24.79B,-3.499B,21.29B,4.209B,293.00M,4.502B,,,,1.396B,27.19B,38.19B,,6.97B,,6.97B,465.00M,7.435B,,,297.00M,,297.00M,,291.00M,291.00M,1.011B,9.034B,,4.649B,,4.649B,4.048B,,4.048B,,,,,,1.726B,10.42B,19.46B,,6.00M,13.02B,7.543B,2.074B,,,,233.00M,18.73B,,,
2006-12,1.59B,1.59B,4.384B,,32.00M,4.416B,158.00M,,,3.821B,3.979B,145.00M,31.00M,143.00M,1.527B,11.83B,,,,,,,23.42B,-3.241B,20.18B,4.103B,303.00M,4.406B,,,,1.336B,25.92B,37.75B,,6.841B,,6.841B,507.00M,7.348B,,,475.00M,,475.00M,,363.00M,363.00M,674.00M,8.86B,,4.619B,,4.619B,4.047B,,4.047B,,,,,,1.622B,10.29B,19.15B,,6.00M,11.95B,7.779B,1.396B,,330.00M,-65.00M,265.00M,18.60B,,,
2006-09,1.029B,1.029B,3.605B,,67.00M,3.672B,165.00M,,,4.501B,4.666B,177.00M,31.00M,156.00M,,9.731B,,,,,,,23.67B,-3.102B,20.56B,4.263B,309.00M,4.572B,,,,1.775B,26.91B,36.64B,,6.144B,,6.144B,548.00M,6.692B,,,238.00M,,238.00M,,381.00M,381.00M,726.00M,8.037B,,4.815B,82.00M,4.897B,4.161B,,4.161B,,,,226.00M,,1.506B,10.56B,18.60B,,6.00M,10.88B,7.774B,1.281B,,,,431.00M,17.82B,,,
2006-06,937.00M,937.00M,4.234B,,,4.234B,164.00M,,,4.462B,4.626B,170.00M,31.00M,176.00M,,10.17B,,,,,,,22.89B,-2.905B,19.99B,4.311B,293.00M,4.604B,,,,1.758B,26.35B,36.52B,,6.902B,,6.902B,464.00M,7.366B,,,275.00M,,275.00M,,311.00M,311.00M,1.155B,9.107B,,4.868B,45.00M,4.913B,4.152B,,4.152B,,,,,,1.588B,10.65B,19.76B,,59.00M,9.331B,7.839B,868.00M,53.00M,,,403.00M,16.76B,,,
2006-03,436.00M,436.00M,3.115B,,,3.115B,161.00M,,,4.22B,4.381B,74.00M,30.00M,145.00M,,8.181B,,,,,,,21.13B,-2.707B,18.42B,4.924B,289.00M,5.213B,,,,1.485B,25.12B,33.30B,,6.167B,,6.167B,394.00M,6.561B,,,3.00M,,3.00M,,276.00M,276.00M,604.00M,7.444B,,5.089B,46.00M,5.135B,3.756B,,3.756B,,,,,,1.57B,10.46B,17.90B,,59.00M,7.484B,7.952B,420.00M,53.00M,,,323.00M,15.40B,,,
2005-12,436.00M,436.00M,3.564B,,70.00M,3.634B,162.00M,,,3.877B,4.039B,65.00M,30.00M,142.00M,,8.346B,0.00,461.00M,17.08B,,592.00M,2.257B,20.39B,-2.532B,17.86B,,5.224B,5.224B,,,,1.372B,24.45B,32.80B,,5.563B,,5.563B,581.00M,6.144B,,,222.00M,,222.00M,,305.00M,305.00M,704.00M,7.375B,,5.109B,47.00M,5.156B,3.615B,,3.615B,,,,,,1.602B,10.37B,17.75B,,74.00M,6.673B,8.164B,196.00M,68.00M,,,335.00M,15.05B,,,
2005-09,737.00M,737.00M,3.553B,,,3.553B,218.00M,,,4.257B,4.475B,257.00M,90.00M,,,9.112B,,,,,,,19.51B,-2.359B,17.15B,,5.27B,5.27B,,,,1.24B,23.66B,32.77B,,5.969B,,5.969B,984.00M,6.953B,,,269.00M,,269.00M,,,,765.00M,7.987B,,6.109B,,6.109B,3.42B,,3.42B,,,,,,1.464B,10.99B,18.98B,,79.00M,5.359B,8.29B,83.00M,76.00M,,,149.00M,13.79B,,,
2005-06,949.00M,949.00M,2.64B,,,2.64B,158.00M,,,2.93B,3.088B,91.00M,24.00M,106.00M,,6.898B,,,,,,,13.05B,-2.208B,10.84B,,2.728B,2.728B,,,,1.176B,14.74B,21.64B,,4.382B,,4.382B,590.00M,4.972B,,,236.00M,,236.00M,,,,692.00M,5.90B,,3.607B,34.00M,3.641B,2.053B,,2.053B,,,,,,1.148B,6.842B,12.74B,,160.00M,4.526B,4.418B,293.00M,157.00M,,,88.00M,8.899B,,,
2005-03,686.00M,686.00M,2.153B,,,2.153B,,,,,2.801B,43.00M,24.00M,149.00M,,5.856B,,,,,,,12.68B,-2.095B,10.58B,,2.704B,2.704B,,,,1.169B,14.46B,20.31B,,3.914B,,3.914B,690.00M,4.604B,,,435.00M,,435.00M,,,,508.00M,5.547B,,3.576B,34.00M,3.61B,1.974B,,1.974B,,,,,,1.192B,6.776B,12.32B,,193.00M,3.709B,4.373B,317.00M,190.00M,,,33.00M,7.991B,,,
2004-12,864.00M,864.00M,1.839B,,,1.839B,157.00M,,,2.161B,2.318B,44.00M,24.00M,175.00M,,5.264B,0.00,436.00M,10.67B,,446.00M,739.00M,12.30B,-1.978B,10.32B,,2.712B,2.712B,,,,1.099B,14.13B,19.39B,,2.963B,,2.963B,519.00M,3.482B,,,412.00M,,412.00M,,,,640.00M,4.534B,,3.901B,,3.901B,2.011B,,2.011B,,,,,,1.148B,7.06B,11.59B,,211.00M,3.199B,4.358B,199.00M,208.00M,,,229.00M,7.798B,,,
2004-09,680.80M,680.80M,2.138B,,,2.138B,,,,,2.737B,49.80M,24.80M,130.90M,,5.762B,,,,,,,11.77B,-1.867B,9.903B,,2.734B,2.734B,,,,1.039B,13.68B,19.44B,,3.365B,,3.365B,825.20M,4.19B,,,412.80M,,412.80M,,,,425.20M,5.028B,,4.164B,8.10M,4.172B,1.933B,,1.933B,,,,,,1.082B,7.187B,12.22B,,208.80M,2.735B,4.361B,159.40M,206.20M,,,77.40M,7.222B,,,
2004-06,330.20M,330.20M,1.941B,,,1.941B,158.70M,,,2.484B,2.642B,28.50M,24.80M,161.90M,,5.129B,,,,,,,11.41B,-1.751B,9.663B,,2.737B,2.737B,,,,1.028B,13.43B,18.56B,,3.142B,,3.142B,620.50M,3.763B,,,416.40M,,416.40M,,,,522.50M,4.702B,,4.146B,8.60M,4.154B,1.856B,,1.856B,,,,,,1.108B,7.118B,11.82B,,205.60M,2.323B,4.361B,179.90M,204.30M,,,27.70M,6.737B,,,
2004-03,239.00M,239.00M,1.679B,,,1.679B,,,,,2.444B,58.70M,34.50M,211.90M,,4.668B,,,,,,,11.00B,-1.648B,9.357B,,2.712B,2.712B,,,,1.043B,13.11B,17.78B,,3.012B,,3.012B,342.80M,3.355B,,,201.60M,,201.60M,,,,401.90M,3.959B,,4.673B,8.60M,4.682B,1.775B,,1.775B,,,,,,925.10M,7.382B,11.34B,,203.70M,1.712B,4.357B,0.30M,202.40M,,,166.20M,6.439B,,,
2003-12,369.20M,369.20M,1.328B,,,1.328B,,,,,1.913B,44.90M,43.70M,118.70M,,3.817B,,,,,,,9.748B,-1.553B,8.195B,,2.722B,2.722B,,,,929.90M,11.85B,15.66B,,2.288B,,2.288B,355.60M,2.644B,,,,,,,,,420.50M,3.064B,,4.239B,6.00M,4.245B,1.605B,,1.605B,,,,,,1.015B,6.865B,9.929B,,201.70M,1.483B,3.923B,41.40M,200.50M,,,169.60M,5.735B,,,
2003-09,309.60M,309.60M,1.183B,,,1.183B,,,,,2.092B,64.20M,25.50M,87.50M,,3.762B,,,,,,,9.232B,-1.437B,7.795B,,2.795B,2.795B,,,,896.00M,11.49B,15.25B,,2.136B,,2.136B,379.30M,2.515B,,,24.30M,,24.30M,,,,376.00M,2.916B,,4.342B,,4.342B,1.595B,,1.595B,,,,,,830.70M,6.768B,9.683B,,181.30M,1.368B,3.882B,,180.10M,,,133.30M,5.565B,,,
2003-06,697.50M,697.50M,1.069B,,,1.069B,,,,,1.692B,76.30M,28.90M,,,3.564B,,,,,,,8.642B,-1.353B,7.288B,,2.797B,2.797B,,,,818.00M,10.90B,14.47B,,1.826B,,1.826B,322.20M,2.148B,,,41.00M,,41.00M,,29.70M,29.70M,379.20M,2.598B,,4.434B,,4.434B,1.362B,,1.362B,,,,,172.50M,904.30M,6.873B,9.471B,,1.10M,1.190B,3.678B,9.60M,,,,136.80M,4.997B,,,
2003-03,740.90M,740.90M,1.696B,,,1.696B,,,,,1.605B,57.30M,29.90M,61.30M,,4.191B,,,,,,,8.23B,-1.261B,6.969B,,2.798B,2.798B,,,,683.80M,10.45B,14.64B,,2.211B,,2.211B,311.40M,2.523B,,,26.30M,,26.30M,,,,463.00M,3.012B,,4.134B,,4.134B,1.340B,,1.340B,,,,,372.50M,982.40M,6.830B,9.842B,,1.10M,1.073B,3.674B,3.00M,,,,54.50M,4.80B,,,
2002-12,378.90M,378.90M,1.558B,,,1.558B,,,,,1.436B,37.60M,30.30M,95.30M,,3.536B,,,,,,,8.641B,-1.229B,7.412B,,2.921B,2.921B,,,,595.70M,10.93B,14.47B,,1.825B,,1.825B,294.20M,2.119B,,,476.70M,,476.70M,,,,410.80M,3.007B,,4.494B,,4.494B,1.301B,,1.301B,,,,116.00M,372.50M,866.60M,7.034B,10.04B,,1.10M,913.60M,3.437B,42.00M,,,,-1.10M,4.308B,,,
2002-09,319.60M,319.60M,1.027B,,6.90M,1.034B,128.00M,,,1.339B,1.467B,77.00M,30.40M,81.10M,,3.009B,,,,,,,8.564B,-1.160B,7.404B,,2.973B,2.973B,,,,572.10M,10.95B,13.96B,,1.446B,,1.446B,332.40M,1.778B,,,266.00M,,266.00M,,288.50M,288.50M,,2.332B,,4.426B,291.00M,4.717B,1.453B,,1.453B,,,,115.80M,372.50M,758.90M,7.301B,9.634B,,1.10M,835.30M,3.438B,74.50M,,,,8.70M,4.208B,,,
2002-06,360.90M,360.90M,939.90M,,30.10M,970.00M,,,,,1.451B,139.30M,30.30M,135.40M,,3.087B,,,,,,,8.545B,-1.095B,7.450B,2.459B,366.90M,2.826B,,,,629.30M,10.90B,13.99B,,1.408B,,1.408B,309.00M,1.717B,,,799.50M,,799.50M,,,,339.10M,2.856B,,3.857B,289.90M,4.147B,1.526B,,1.526B,,,,116.00M,372.50M,728.60M,6.774B,9.630B,,1.10M,816.10M,3.442B,100.60M,,,,87.50M,4.246B,,,
2002-03,232.80M,232.80M,1.012B,,78.00M,1.09B,,,,,1.466B,125.50M,84.10M,,1.027B,4.026B,,,,8.346B,,,8.346B,-1.019B,7.327B,,2.633B,2.633B,,,,523.10M,10.48B,14.51B,,1.510B,,1.510B,207.30M,1.717B,,,2.671B,,2.671B,,345.90M,345.90M,,4.734B,,2.574B,288.90M,2.863B,1.413B,,1.413B,,,,115.20M,372.50M,760.80M,5.410B,10.14B,,1.10M,815.30M,3.446B,80.20M,,,,68.40M,4.250B,,,
2001-12,269.40M,269.40M,770.80M,,176.70M,947.50M,,,,,1.453B,85.60M,76.60M,,1.304B,4.136B,,,,,,,8.155B,-937.30M,7.217B,,2.544B,2.544B,,,,502.30M,10.26B,14.40B,,1.390B,,1.390B,420.90M,1.811B,,,505.70M,,505.70M,,60.70M,60.70M,2.375B,4.753B,,2.517B,287.90M,2.805B,1.388B,,1.388B,,,,115.60M,372.50M,762.80M,5.329B,10.08B,,1.10M,864.40M,3.469B,149.60M,,,,18.10M,4.203B,,,
2001-09,91.16M,91.16M,780.01M,,,780.01M,,,,,704.17M,26.54M,,68.05M,,1.670B,,,,,3.943B,213.80M,4.156B,-905.29M,3.251B,,,,,,,407.71M,3.659B,5.329B,,761.47M,,761.47M,226.22M,987.69M,,,,,,,,,96.59M,1.084B,,1.042B,286.83M,1.328B,559.34M,,559.34M,,,,,172.50M,142.93M,2.203B,3.287B,,0.623M,818.89M,1.250B,56.62M,,,,28.83M,2.041B,,,
2001-06,42.46M,42.46M,676.89M,,,676.89M,,,,,773.38M,44.49M,,66.80M,,1.604B,,,,,3.782B,261.40M,4.043B,-869.70M,3.173B,,,,,,,436.82M,3.610B,5.214B,,793.66M,,793.66M,227.50M,1.021B,,,,,,,,,106.94M,1.128B,,1.042B,285.83M,1.328B,492.87M,,492.87M,,,,,172.50M,142.72M,2.136B,3.264B,,0.623M,722.73M,1.250B,52.59M,,,,29.72M,1.950B,,,
2001-03,125.74M,125.74M,586.65M,,,586.65M,,,,,581.41M,41.32M,,92.14M,,1.427B,,,,,3.340B,210.05M,3.550B,-836.24M,2.714B,,,,,,,418.82M,3.132B,4.560B,,867.62M,,867.62M,206.12M,1.074B,,,,,,,,,,1.074B,,1.042B,,1.042B,468.63M,,468.63M,,,,,172.50M,97.92M,1.781B,2.855B,,0.623M,452.76M,1.249B,40.78M,,,,42.66M,1.705B,,,
2000-12,14.60M,14.60M,,,,585.89M,,,,,539.88M,,,,144.70M,1.285B,,,,,,,3.481B,-804.44M,2.677B,,,,,,,345.96M,3.023B,4.308B,,806.88M,,806.88M,,806.88M,,,27.00M,,27.00M,,,,205.11M,1.039B,,1.042B,,1.042B,406.63M,,406.63M,,,,172.50M,,120.11M,1.569B,2.608B,,0.623M,321.57M,1.249B,44.26M,,,,,1.527B,,,
2000-09,12.98M,12.98M,,,,651.58M,,,,,495.99M,,,,88.39M,1.249B,,,,,,,3.418B,-773.65M,2.644B,,,,,,,318.00M,2.962B,4.211B,,765.95M,,765.95M,,765.95M,,,93.00M,,93.00M,,,,179.32M,1.038B,,1.093B,,1.093B,342.03M,,342.03M,,,,172.50M,,120.39M,1.555B,2.593B,,0.623M,233.09M,1.250B,38.13M,,,,,1.445B,,,
2000-06,10.38M,10.38M,,,,651.87M,,,,,492.31M,,,,111.62M,1.266B,,,,,,,3.363B,-743.36M,2.620B,,,,,,,327.30M,2.947B,4.213B,,731.87M,,731.87M,,731.87M,,,185.00M,,185.00M,,,,168.37M,1.085B,,1.173B,,1.173B,307.46M,,307.46M,,,,172.50M,,126.78M,1.607B,2.692B,,0.623M,110.60M,1.251B,14.68M,,,,,1.348B,,,
2000-03,8.509M,8.509M,,,,403.56M,,,,,436.20M,,,,112.07M,960.33M,,,,,,,2.712B,-726.72M,1.985B,,,,,,,175.66M,2.161B,3.121B,,732.56M,,732.56M,,732.56M,,,126.50M,,126.50M,,,,96.21M,955.27M,,645.16M,,645.16M,296.63M,,296.63M,,,,,,115.41M,1.057B,2.012B,,0.563M,27.41M,1.089B,8.096M,,,,,1.109B,,,
1999-12,60.09M,60.09M,,,,372.54M,,,,,303.39M,,,,92.84M,828.86M,,,,,,,2.687B,-702.17M,1.985B,,,,,,,165.90M,2.150B,2.979B,,616.90M,,616.90M,,616.90M,,,,,,,,,102.09M,718.98M,,785.47M,,785.47M,275.52M,,275.52M,,,,,,114.53M,1.176B,1.895B,,0.563M,-3.331M,1.092B,4.811M,,,,,1.085B,,,
1999-09,7.80M,7.80M,,,,352.20M,,,,,418.70M,,,,83.50M,862.20M,,,,,,,2.662B,-678.60M,1.984B,,,,,,,153.10M,2.137B,2.999B,,610.80M,,610.80M,,610.80M,,,12.00M,,12.00M,,,,79.20M,702.00M,,845.80M,,845.80M,261.30M,,261.30M,,,,,,113.70M,1.221B,1.923B,,0.60M,-19.80M,1.096B,,,,,,1.076B,,,
1999-06,5.80M,5.80M,,,,302.40M,,,,,329.60M,,,,100.30M,738.10M,,,,,,,2.628B,-655.60M,1.973B,,,,,,,159.00M,2.132B,2.87B,,422.00M,,422.00M,,422.00M,,,31.00M,,31.00M,,,,60.20M,513.20M,,916.10M,,916.10M,271.60M,,271.60M,,,,,,113.00M,1.301B,1.814B,,,-42.40M,,,,,,,1.056B,,,
1999-03,13.30M,13.30M,,,,296.90M,,,,,299.50M,,,,83.40M,693.10M,,,,,,,2.608B,-633.70M,1.975B,,,,,,,146.50M,2.121B,2.814B,,405.10M,,405.10M,,405.10M,,,63.00M,,63.00M,,,,45.60M,513.70M,,846.40M,,846.40M,262.30M,,262.30M,,,,,,111.40M,1.220B,1.734B,,,-20.30M,,,,,,,1.081B,,,
1998-12,11.20M,11.20M,,,,283.50M,,,,,316.40M,,,,28.60M,639.70M,,,,,,,2.572B,-612.80M,1.959B,,,,,,,126.70M,2.086B,2.726B,,283.20M,,283.20M,,283.20M,,,160.00M,,160.00M,,,,54.50M,497.70M,,822.30M,,822.30M,210.40M,,210.40M,,,,,,110.00M,1.143B,1.640B,,,-17.60M,,,,,,,1.085B,,,
1998-09,8.20M,8.20M,,,,272.60M,,,,,430.90M,,,,38.10M,749.80M,,,,,,,2.523B,-595.00M,1.928B,,,,,,,125.60M,2.054B,2.804B,,386.30M,,386.30M,,386.30M,,,107.00M,,107.00M,,,,89.20M,582.50M,,697.70M,,697.70M,263.60M,,263.60M,,,,,,88.30M,1.050B,1.632B,,,72.50M,,,,,,,1.172B,,,
1998-06,6.60M,6.60M,,,,324.00M,,,,,312.10M,,,,61.00M,703.70M,,,,,,,2.206B,-576.20M,1.630B,,,,,,,135.80M,1.766B,2.470B,,378.50M,,378.50M,,378.50M,,,125.00M,,125.00M,,,,39.40M,542.90M,,410.00M,,410.00M,280.80M,,280.80M,,,,,,51.80M,742.60M,1.286B,,,72.70M,,,,,,,1.184B,,,
1998-03,9.80M,9.80M,,,,271.80M,,,,,334.30M,,,,71.30M,687.20M,,,,,,,2.164B,-557.40M,1.607B,,,,,,,137.20M,1.744B,2.431B,,338.80M,,338.80M,,338.80M,,,175.00M,,175.00M,,,,50.70M,564.50M,,398.30M,,398.30M,269.30M,,269.30M,,,,,,50.80M,718.40M,1.283B,,,37.30M,,,,,,,1.148B,,,
1997-12,9.90M,9.90M,,,,366.30M,,,,,369.40M,,,,43.40M,789.00M,,,,,,,2.132B,-540.00M,1.592B,,,,,,,111.50M,1.704B,2.493B,,414.30M,,414.30M,,414.30M,,,122.00M,,122.00M,,,,61.00M,597.30M,,430.20M,,430.20M,256.90M,,256.90M,,,,,,49.80M,736.90M,1.334B,,,47.60M,,,,,,,1.159B,,,
1997-09,21.90M,21.90M,,,,352.40M,,,,,347.30M,,,,25.30M,746.90M,,,,,,,2.083B,-524.80M,1.558B,,,,,,,113.50M,1.672B,2.419B,,432.50M,,432.50M,,432.50M,,,175.00M,,175.00M,,,,53.70M,661.20M,,323.50M,,323.50M,242.80M,,242.80M,,,,,,40.50M,606.80M,1.268B,,,39.80M,,,,,,,1.151B,,,
1997-06,3.20M,3.20M,,,,378.90M,,,,,494.50M,,,,29.00M,905.60M,,,,,,,2.076B,-507.10M,1.569B,,,,,,,466.00M,2.035B,2.940B,,455.50M,,455.50M,,455.50M,,,119.70M,,119.70M,,,,63.30M,638.50M,,786.80M,,786.80M,230.80M,,230.80M,,,,,,40.20M,1.058B,1.696B,,,511.50M,,,,,,,1.244B,,,
1997-03,16.10M,16.10M,,,,344.90M,,,,,200.70M,,,,46.10M,607.80M,,,,,,,2.825B,-733.10M,2.092B,,,,,,,164.50M,2.257B,2.865B,,418.90M,,418.90M,,418.90M,,,187.70M,,187.70M,,,,37.40M,644.00M,,804.40M,,804.40M,282.60M,,282.60M,,,,,,34.60M,1.122B,1.766B,,3.50M,503.80M,,,3.50M,,,,1.099B,,,
1996-12,,,,,,162.50M,,,,,159.90M,,,,29.40M,351.80M,,,,,,,1.708B,-479.30M,1.229B,,,,,,,405.00M,1.634B,1.986B,,191.60M,,191.60M,,191.60M,,,83.80M,,83.80M,,,,25.20M,300.60M,,353.30M,,353.30M,224.50M,,224.50M,,,,,,30.20M,608.00M,908.60M,,4.60M,496.80M,,,4.60M,,,,1.077B,,,
1996-09,14.10M,14.10M,,,,296.60M,,,,,203.40M,,,,72.90M,587.00M,,,,,,,2.769B,-687.60M,2.082B,,,,,,,188.90M,2.271B,2.858B,,378.20M,,378.20M,,378.20M,,,135.30M,,135.30M,,,,51.50M,565.00M,,878.40M,,878.40M,282.90M,,282.90M,,,,,,52.40M,1.214B,1.779B,,10.40M,496.20M,,,10.40M,,,,1.079B,,,
1996-06,19.20M,19.20M,,,,329.50M,,,,,165.40M,,,,48.70M,562.80M,,,,,,,2.750B,-665.60M,2.084B,,,,,,,161.30M,2.245B,2.808B,,379.30M,,379.30M,,379.30M,,,88.00M,,88.00M,,,,62.50M,529.80M,,879.40M,,879.40M,274.60M,,274.60M,,,,,,52.20M,1.206B,1.736B,,10.40M,491.60M,,,10.40M,,,,1.072B,,,
1996-03,16.90M,16.90M,,,,308.30M,,,,,164.40M,,,,32.60M,522.20M,,,,,,,2.732B,-653.50M,2.078B,,,,,,,169.70M,2.248B,2.770B,,309.20M,,309.20M,,309.20M,,,117.30M,,117.30M,,,,41.90M,468.40M,,919.40M,,919.40M,272.90M,,272.90M,,,,,,55.30M,1.248B,1.716B,,10.40M,479.30M,,,10.40M,,,,1.054B,,,
1995-12,28.10M,28.10M,,,,339.20M,,,,,140.80M,,,,113.40M,621.50M,,,,,,,2.698B,-622.10M,2.075B,,,,,,,179.80M,2.255B,2.877B,,312.70M,,312.70M,,312.70M,,,82.00M,,82.00M,,,,73.60M,468.30M,,1.036B,,1.036B,276.00M,,276.00M,,,,,,56.00M,1.368B,1.836B,,10.40M,467.90M,,,10.40M,,,,1.041B,,,
1995-09,23.30M,23.30M,,,,227.10M,,,,,169.20M,,,,66.90M,486.50M,,,,,,,2.695B,-600.60M,2.095B,,,,,,,179.50M,2.274B,2.761B,,269.20M,,269.20M,,269.20M,,,71.90M,,71.90M,,,,52.70M,393.80M,,993.20M,,993.20M,267.60M,,267.60M,,,,,,55.50M,1.316B,1.710B,,12.70M,463.70M,,,12.70M,,,,1.051B,,,
1995-06,21.30M,21.30M,,,,197.90M,,,,,145.80M,,,,95.20M,460.20M,,,,,,,2.698B,-579.70M,2.118B,,,,,,,174.30M,2.292B,2.752B,,244.50M,,244.50M,,244.50M,,,62.80M,,62.80M,,,,55.70M,363.00M,,1.002B,,1.002B,297.80M,,297.80M,,,,,,54.90M,1.354B,1.717B,,12.70M,449.70M,,,12.70M,,,,1.035B,,,
