,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-06,4.20B,130.00M,4.33B,419.00M,998.00M,1.417B,1.234B,1.141B,484.00M,956.00M,9.562B,,,,,,,,,,1.17B,10.21B,10.88B,21.10B,181.00M,,,615.00M,23.06B,32.62B,,106.00M,,979.00M,1.085B,1.935B,3.02B,,,52.00M,52.00M,,,1.067B,4.435B,46.00M,46.00M,3.653B,,3.653B,905.00M,,5.00M,,786.00M,5.39B,9.825B,,0.00,1.783B,21.12B,2.00M,,,,,,-102.00M,22.79B,,AOR,Restated
2009-03,3.363B,126.00M,3.489B,372.00M,879.00M,1.251B,339.00M,1.611B,650.00M,885.00M,8.225B,,,,,,,,,,1.155B,10.21B,10.88B,21.10B,200.00M,,,1.288B,23.74B,31.96B,,72.00M,,760.00M,832.00M,2.12B,2.952B,,,52.00M,52.00M,,,966.00M,4.243B,50.00M,50.00M,3.859B,,3.859B,957.00M,,4.00M,,731.00M,5.597B,9.84B,,0.00,1.133B,21.08B,2.00M,,,,,,-88.00M,22.12B,,AOR,Restated
2008-12,2.613B,189.00M,2.802B,378.00M,745.00M,1.123B,392.00M,2.078B,800.00M,894.00M,8.089B,,,,,,,,,,1.117B,10.21B,10.88B,21.10B,332.00M,,,1.188B,23.73B,31.82B,,93.00M,,642.00M,735.00M,2.658B,3.393B,,,51.00M,51.00M,,,906.00M,4.612B,53.00M,53.00M,3.843B,,3.843B,1.009B,,5.00M,,660.00M,5.565B,10.18B,,0.00,677.00M,21.06B,2.00M,,,,,,-94.00M,21.64B,,AOR,Restated
2008-09,4.979B,355.00M,5.334B,342.00M,1.131B,1.473B,1.19B,1.298B,,935.00M,11.17B,0.00,71.00M,369.00M,519.00M,531.00M,266.00M,,1.756B,-676.00M,1.08B,10.21B,10.88B,21.10B,836.00M,,,753.00M,23.81B,34.98B,,159.00M,122.00M,1.095B,1.376B,2.967B,4.343B,,,51.00M,51.00M,37.00M,37.00M,2.314B,7.165B,55.00M,55.00M,3.811B,,3.811B,1.06B,99.00M,0.00,,514.00M,5.539B,12.70B,,1.136B,186.00M,21.06B,35.00M,,1.00M,-66.00M,-5.00M,,-70.00M,22.28B,,AOR,Restated
2008-06,5.762B,477.00M,6.239B,342.00M,1.23B,1.572B,295.00M,1.291B,587.00M,777.00M,10.76B,0.00,71.00M,363.00M,1.052B,,218.00M,,1.704B,-656.00M,1.048B,10.14B,10.88B,21.02B,,,,1.611B,23.68B,34.44B,,109.00M,,,109.00M,2.361B,2.47B,,,11.00M,11.00M,,,3.584B,6.065B,98.00M,98.00M,3.545B,,3.545B,,,1.127B,,2.058B,5.701B,11.77B,,0.00,551.00M,21.01B,,,,,,,-9.00M,21.55B,,,Restated
2008-03,5.041B,598.00M,5.639B,321.00M,1.157B,1.478B,300.00M,1.401B,541.00M,727.00M,10.09B,0.00,71.00M,362.00M,513.00M,502.00M,171.00M,,1.619B,-601.00M,1.018B,10.22B,10.88B,21.10B,,,,1.666B,23.78B,33.87B,,111.00M,,,111.00M,2.429B,2.54B,,,72.00M,72.00M,,,3.229B,5.841B,40.00M,40.00M,3.563B,,3.563B,,,,,3.237B,6.84B,12.68B,,0.00,223.00M,20.97B,,,,,,,-5.00M,21.19B,,,Restated
2007-12,1.698B,729.00M,2.427B,347.00M,1.34B,1.687B,132.00M,,774.00M,793.00M,5.813B,0.00,71.00M,361.00M,413.00M,493.00M,86.00M,,1.424B,-512.00M,912.00M,9.055B,10.88B,19.94B,,,,1.079B,21.93B,27.74B,,76.00M,,,76.00M,3.275B,3.351B,,,75.00M,75.00M,,,1.753B,5.179B,40.00M,40.00M,3.658B,,3.658B,,,,,2.149B,5.847B,11.03B,,0.00,-69.00M,16.78B,,,,,,,,16.72B,,,Restated
2007-09,275.00M,747.00M,1.022B,245.00M,10.00M,255.00M,271.00M,0.00,795.00M,164.00M,2.507B,0.00,30.00M,89.00M,619.00M,,45.00M,,783.00M,-470.00M,313.00M,0.00,,0.00,968.00M,,471.00M,90.00M,1.883B,4.39B,,99.00M,147.00M,50.00M,296.00M,2.436B,2.732B,,,41.00M,41.00M,9.00M,9.00M,256.00M,3.282B,,,0.00,,0.00,1.446B,80.00M,38.00M,,45.00M,1.571B,4.853B,,0.00,-501.00M,0.00,0.00,,,,,,0.00,-501.00M,,AOR,Restated
2007-06,589.73M,,589.73M,230.50M,37.90M,268.40M,146.61M,,151.05M,841.31M,1.997B,,,,,,,,,,,,,,792.06M,,237.72M,407.43M,1.437B,3.434B,,73.66M,,80.42M,154.08M,594.63M,748.71M,,,19.49M,19.49M,,,424.62M,1.193B,29.88M,29.88M,,,,,,43.04M,,976.71M,1.007B,2.199B,,,,,,,,,,,1.192B,1.192B,,AOR,Restated
2007-03,386.04M,,386.04M,217.98M,36.42M,254.39M,134.06M,,149.38M,1.117B,2.041B,,,,,,,,,,,,,,565.72M,,237.53M,408.62M,1.212B,3.252B,,64.16M,,84.72M,148.87M,594.04M,742.91M,,,25.91M,25.91M,,,493.80M,1.263B,31.54M,31.54M,,,,,,39.27M,,950.59M,982.12M,2.245B,,,,,,,,,,,968.46M,968.46M,,AOR,Restated
2006-09,270.12M,660.45M,930.58M,216.58M,41.45M,258.04M,148.06M,,149.67M,107.59M,1.594B,0.00,,,603.28M,,20.38M,88.36M,712.01M,-431.12M,280.90M,,,,701.64M,,237.53M,149.91M,1.370B,2.964B,,119.08M,9.576M,88.77M,217.42M,563.21M,780.63M,,,32.34M,32.34M,184.85M,184.85M,215.59M,1.393B,41.28M,41.28M,,3.32M,3.32M,783.62M,,,37.84M,122.08M,988.14M,2.381B,,,583.77M,,,,,,,,-0.958M,582.81M,,AOR,Restated
