,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-06,955.00M,,955.00M,606.00M,,1.311B,325.00M,,,,3.095B,5.686B,19.77B,878.00M,20.65B,-7.812B,12.84B,,,1.515B,,,,3.861B,18.22B,23.90B,828.00M,130.00M,,,958.00M,3.833B,4.791B,,671.00M,671.00M,,,,,5.462B,,7.019B,,7.019B,1.735B,1.735B,,,,19.00M,301.00M,,9.055B,18.70B,4.00M,3.647B,2.18B,,,,,-648.00M,5.183B
2008-03,773.00M,,773.00M,588.00M,,1.098B,305.00M,,,,1.813B,3.989B,19.58B,930.00M,20.51B,-7.85B,12.66B,,,1.313B,,,,3.095B,17.07B,21.06B,659.00M,130.00M,,,789.00M,1.929B,2.718B,,838.00M,838.00M,,,,,3.556B,,7.067B,,7.067B,2.113B,2.113B,,,,19.00M,301.00M,,9.481B,15.45B,4.00M,3.583B,2.157B,,,,,-160.00M,5.584B
2007-12,633.00M,,633.00M,661.00M,,1.192B,316.00M,,,,1.027B,3.168B,19.09B,1.287B,20.38B,-7.772B,12.60B,,,1.326B,,,,2.873B,16.80B,19.97B,723.00M,118.00M,,,841.00M,1.271B,2.112B,,770.00M,770.00M,,,,,2.882B,,6.89B,,6.89B,2.192B,2.192B,,,,19.00M,301.00M,,9.383B,14.40B,4.00M,3.448B,2.172B,,,,,-68.00M,5.556B
2007-09,574.00M,,574.00M,542.00M,,989.00M,320.00M,,,,2.074B,3.957B,18.69B,1.131B,19.82B,-7.696B,12.12B,,,1.276B,,,,2.469B,15.87B,19.82B,539.00M,120.00M,,,659.00M,1.703B,2.362B,,662.00M,662.00M,,,,,3.024B,,7.171B,,7.171B,2.059B,2.059B,,,,26.00M,301.00M,,9.531B,14.64B,4.00M,3.144B,2.303B,,,,,-291.00M,5.16B
2007-06,742.00M,,742.00M,541.00M,,994.00M,350.00M,,,,1.993B,4.079B,18.94B,895.00M,19.84B,-7.857B,11.98B,,,315.00M,,,,3.63B,15.93B,20.01B,533.00M,123.00M,,,656.00M,1.545B,2.201B,,839.00M,839.00M,,,,,3.04B,,6.841B,,6.841B,2.137B,2.137B,,,,26.00M,301.00M,,9.279B,14.61B,4.00M,2.937B,2.783B,,,,,-355.00M,5.369B
2007-03,965.00M,,965.00M,542.00M,,955.00M,308.00M,,,,2.378B,4.606B,18.79B,807.00M,19.60B,-7.885B,11.72B,,,1.328B,,,,2.458B,15.50B,20.11B,592.00M,123.00M,,,715.00M,1.457B,2.172B,,1.086B,1.086B,,,,,3.258B,,6.933B,,6.933B,2.271B,2.271B,,,,26.00M,301.00M,,9.505B,14.81B,4.00M,2.711B,2.829B,,,,,-271.00M,5.273B
2006-12,794.00M,,794.00M,591.00M,,1.06B,378.00M,,,,1.398B,3.63B,19.40B,682.00M,20.08B,-8.01B,12.07B,,,1.521B,,,,2.527B,16.12B,19.75B,667.00M,111.00M,,,778.00M,1.421B,2.199B,,1.149B,1.149B,,,,,3.348B,,6.728B,,6.728B,2.331B,2.331B,,,,60.00M,301.00M,,9.36B,14.56B,4.00M,2.626B,2.81B,,,170.00M,-488.00M,-318.00M,5.122B
2006-09,800.00M,,800.00M,559.00M,,956.00M,369.00M,,,,1.185B,3.31B,18.98B,524.00M,19.51B,-7.96B,11.55B,,,1.461B,,,,2.54B,15.55B,18.86B,543.00M,110.00M,,,653.00M,1.429B,2.082B,,1.217B,1.217B,,,,,3.299B,,6.105B,,6.105B,2.282B,2.282B,,,,58.00M,,,8.387B,13.41B,305.00M,2.553B,2.798B,,301.00M,,,-265.00M,5.391B
2006-06,468.00M,,468.00M,579.00M,,1.015B,373.00M,,,,1.183B,3.039B,18.70B,391.00M,19.09B,-7.858B,11.23B,,,1.456B,,,,2.611B,15.30B,18.34B,505.00M,110.00M,,,615.00M,1.377B,1.992B,,975.00M,975.00M,,,,,2.967B,,6.008B,,6.008B,2.272B,2.272B,,,,56.00M,,,8.28B,13.09B,305.00M,2.433B,2.786B,,301.00M,,,-333.00M,5.191B
2006-03,338.00M,,338.00M,644.00M,,1.058B,366.00M,,,,1.066B,2.828B,18.54B,295.00M,18.84B,-7.805B,11.03B,,,1.411B,,,,2.619B,15.06B,17.89B,529.00M,106.00M,,,635.00M,1.38B,2.015B,,1.164B,1.164B,,,,,3.179B,,5.954B,,5.954B,2.227B,2.227B,,,,57.00M,,,8.181B,13.06B,55.00M,2.357B,3.622B,839.00M,51.00M,,,-422.00M,4.773B
2005-12,555.00M,,555.00M,544.00M,,1.023B,346.00M,,,,982.00M,2.906B,18.36B,259.00M,18.62B,-7.699B,10.92B,,,1.486B,,,,2.618B,15.02B,17.93B,542.00M,96.00M,,,638.00M,1.376B,2.014B,,1.34B,1.34B,,,,,3.354B,,6.044B,,6.044B,2.197B,2.197B,,,,56.00M,,,8.241B,13.40B,55.00M,2.182B,3.623B,838.00M,51.00M,,,-553.00M,4.469B
2005-09,235.00M,,235.00M,539.00M,,952.00M,275.00M,,,,1.231B,2.693B,18.26B,249.00M,18.51B,-7.628B,10.88B,,,1.471B,,,,2.719B,15.07B,17.76B,500.00M,96.00M,,,596.00M,1.568B,2.164B,,910.00M,910.00M,,,,,3.074B,,5.968B,,5.968B,2.376B,2.376B,,,,56.00M,,,8.344B,13.35B,55.00M,2.092B,3.622B,838.00M,51.00M,,,-575.00M,4.356B
2005-06,481.00M,,481.00M,540.00M,,917.00M,296.00M,,,,688.00M,2.382B,18.13B,203.00M,18.33B,-7.483B,10.85B,,,1.451B,,,,2.746B,15.04B,17.43B,434.00M,89.00M,,,523.00M,1.063B,1.586B,,1.063B,1.063B,,,,,2.649B,,6.151B,,6.151B,2.396B,2.396B,,,,54.00M,,,8.547B,13.02B,53.00M,1.991B,3.619B,838.00M,51.00M,,,-467.00M,4.358B
2005-03,754.00M,,754.00M,576.00M,,931.00M,267.00M,,,,747.00M,2.699B,18.55B,164.00M,18.71B,-7.483B,11.23B,,,1.478B,,,,2.774B,15.48B,18.18B,412.00M,88.00M,,,500.00M,1.155B,1.655B,,1.146B,1.146B,,,,,2.801B,,6.639B,,6.639B,2.429B,2.429B,,,,55.00M,,,9.068B,13.75B,53.00M,1.951B,3.609B,838.00M,51.00M,,,-406.00M,4.369B
2004-12,616.00M,,616.00M,459.00M,,866.00M,309.00M,,,,485.00M,2.276B,18.48B,148.00M,18.63B,-7.482B,11.15B,,,1.463B,,,,2.845B,15.46B,17.73B,407.00M,79.00M,,,486.00M,901.00M,1.387B,,908.00M,908.00M,,,,,2.295B,,6.881B,,6.881B,2.398B,2.398B,,,,56.00M,,,9.279B,13.39B,53.00M,1.87B,3.577B,838.00M,51.00M,,,-372.00M,4.29B
2004-09,778.00M,,778.00M,480.00M,,830.00M,294.00M,,,,522.00M,2.424B,17.95B,146.00M,18.09B,-7.329B,10.76B,,,1.316B,,,,3.068B,15.15B,17.57B,408.00M,78.00M,,,486.00M,882.00M,1.368B,,1.035B,1.035B,,,,,2.403B,,6.913B,,6.913B,2.292B,2.292B,,,,54.00M,,,9.205B,13.30B,53.00M,1.771B,3.575B,837.00M,51.00M,,,-345.00M,4.217B
2004-06,358.00M,,358.00M,523.00M,,876.00M,270.00M,,,,481.00M,1.985B,17.97B,149.00M,18.12B,-7.329B,10.79B,,,1.324B,,,,3.136B,15.25B,17.23B,433.00M,79.00M,,,512.00M,829.00M,1.341B,,1.004B,1.004B,,,,,2.345B,,6.671B,,6.671B,2.286B,2.286B,,,,53.00M,,,8.957B,13.07B,53.00M,1.653B,3.564B,837.00M,51.00M,,,-326.00M,4.107B
2004-03,572.00M,,572.00M,560.00M,,926.00M,243.00M,,,,532.00M,2.273B,17.42B,676.00M,18.10B,-7.329B,10.77B,,,1.366B,,,,3.175B,15.31B,17.58B,498.00M,74.00M,,,572.00M,857.00M,1.429B,,603.00M,603.00M,,,,,2.032B,,7.963B,,7.963B,2.282B,2.282B,,,,57.00M,,,10.24B,14.04B,53.00M,1.582B,2.987B,837.00M,51.00M,,,-302.00M,3.483B
2003-12,476.00M,,476.00M,555.00M,,896.00M,256.00M,,,,392.00M,2.02B,17.15B,614.00M,17.77B,-7.329B,10.44B,,,1.311B,,,,3.355B,15.10B,17.12B,456.00M,70.00M,,,526.00M,792.00M,1.318B,,451.00M,451.00M,,,,,1.769B,,8.145B,,8.145B,2.204B,2.204B,,,,54.00M,,,10.35B,13.76B,53.00M,1.478B,2.973B,837.00M,51.00M,,,-357.00M,3.31B
2003-09,587.00M,,587.00M,519.00M,,794.00M,255.00M,,,,433.00M,2.069B,16.55B,147.00M,16.70B,-6.84B,9.855B,,,646.00M,,,,3.364B,13.86B,15.93B,404.00M,69.00M,,,473.00M,887.00M,1.36B,,412.00M,412.00M,,,,,1.772B,,7.13B,,7.13B,2.40B,2.40B,,,,35.00M,,,9.53B,12.88B,53.00M,1.339B,2.968B,837.00M,51.00M,,,-500.00M,3.023B
2003-06,370.00M,,370.00M,534.00M,,807.00M,255.00M,,,,553.00M,1.985B,16.61B,157.00M,16.77B,-6.84B,9.931B,,,644.00M,,,,3.452B,14.03B,16.01B,348.00M,111.00M,,,459.00M,843.00M,1.302B,,437.00M,437.00M,,,,,1.739B,,6.589B,,6.589B,2.436B,2.436B,,,,33.00M,661.00M,,9.686B,13.03B,74.00M,1.235B,2.95B,837.00M,72.00M,,,-470.00M,2.952B
2003-03,397.00M,,397.00M,661.00M,,933.00M,224.00M,,,,601.00M,2.155B,16.31B,230.00M,16.54B,-6.84B,9.699B,,,633.00M,,,,3.466B,13.80B,15.95B,438.00M,78.00M,,,516.00M,835.00M,1.351B,,1.20B,1.20B,,,,,2.551B,,6.195B,,6.195B,2.393B,2.393B,,,,34.00M,661.00M,,9.249B,13.37B,84.00M,1.187B,2.612B,836.00M,82.00M,,,-495.00M,2.552B
2002-12,245.00M,,245.00M,610.00M,,891.00M,242.00M,,,,441.00M,1.819B,16.37B,223.00M,16.59B,-7.026B,9.566B,,,686.00M,,,,3.481B,13.73B,15.55B,452.00M,101.00M,,,553.00M,751.00M,1.304B,,1.309B,1.309B,,,,,2.613B,,5.901B,,5.901B,2.287B,2.287B,,,,36.00M,661.00M,,8.849B,13.21B,84.00M,1.013B,2.539B,836.00M,82.00M,,,-494.00M,2.306B
2002-09,339.00M,,339.00M,620.00M,,869.00M,236.00M,,,,427.00M,1.871B,15.54B,151.00M,15.69B,-6.342B,9.345B,,,,,,,4.486B,13.83B,15.70B,430.00M,59.00M,,,489.00M,724.00M,1.213B,,1.36B,1.36B,,,,,2.573B,,6.026B,,6.026B,2.46B,2.46B,,,,35.00M,661.00M,,9.147B,13.15B,84.00M,956.00M,2.486B,836.00M,82.00M,,,-173.00M,2.517B
2002-06,193.00M,,193.00M,635.00M,,853.00M,237.00M,,,,418.00M,1.701B,12.28B,315.00M,12.59B,-6.342B,6.248B,,,,,,,4.245B,10.49B,12.19B,376.00M,62.00M,,,438.00M,495.00M,933.00M,,847.00M,847.00M,,,,,1.78B,,4.882B,,4.882B,1.50B,1.50B,,,,763.00M,,,6.382B,9.479B,84.00M,887.00M,1.976B,836.00M,82.00M,,,-159.00M,1.952B
2002-03,486.00M,,486.00M,609.00M,,808.00M,243.00M,,,,537.00M,2.074B,12.17B,262.00M,12.43B,-6.342B,6.092B,,,,,,,4.202B,10.29B,12.37B,484.00M,64.00M,,,548.00M,640.00M,1.188B,,691.00M,691.00M,,,,,1.879B,,4.94B,,4.94B,1.504B,1.504B,,,,864.00M,,,6.444B,9.608B,84.00M,967.00M,1.975B,836.00M,82.00M,,,-294.00M,1.896B
2001-12,933.00M,,933.00M,552.00M,,800.00M,251.00M,,,,342.00M,2.326B,12.11B,181.00M,12.29B,-6.342B,5.947B,,,580.00M,,,,3.709B,10.24B,12.56B,565.00M,51.00M,,,616.00M,594.00M,1.21B,,616.00M,616.00M,,,,,1.826B,,5.081B,,5.081B,1.449B,1.449B,,,,38.00M,825.00M,,7.355B,10.58B,84.00M,1.023B,1.956B,836.00M,82.00M,,,-288.00M,1.939B
2001-09,849.00M,,849.00M,562.00M,,758.00M,250.00M,,,,408.00M,2.265B,11.26B,330.00M,11.59B,-5.47B,6.123B,,,2.16B,,,,2.234B,10.52B,12.78B,355.00M,51.00M,,,406.00M,667.00M,1.073B,,865.00M,865.00M,,,,,1.938B,,4.675B,,4.675B,1.433B,1.433B,,,,52.00M,825.00M,,6.933B,10.30B,98.00M,1.374B,1.952B,836.00M,96.00M,,,-163.00M,2.425B
2001-06,168.00M,,168.00M,550.00M,,787.00M,243.00M,,,,482.00M,1.68B,11.29B,258.00M,11.55B,-5.47B,6.081B,,,,,,2.299B,2.102B,10.48B,12.16B,387.00M,52.00M,,,439.00M,584.00M,1.023B,,917.00M,917.00M,,,,,1.94B,,4.081B,,4.081B,1.409B,1.409B,,,,58.00M,825.00M,,6.315B,9.756B,98.00M,1.26B,1.937B,836.00M,96.00M,,,-111.00M,2.348B
2001-03,269.00M,,269.00M,706.00M,,922.00M,208.00M,,,,534.00M,1.933B,11.17B,323.00M,11.49B,-5.422B,6.068B,,,,,,2.354B,2.191B,10.61B,12.55B,385.00M,46.00M,,,431.00M,1.052B,1.483B,,1.539B,1.539B,,,,,3.022B,,4.196B,,4.196B,1.422B,1.422B,,,,60.00M,250.00M,,5.868B,10.39B,99.00M,1.182B,1.919B,836.00M,97.00M,,,-265.00M,2.099B
2000-12,480.00M,,480.00M,702.00M,,981.00M,197.00M,,,,287.00M,1.945B,11.16B,261.00M,11.42B,-5.47B,5.948B,,,,,,,4.467B,10.42B,12.36B,506.00M,45.00M,,,551.00M,606.00M,1.157B,,1.354B,1.354B,,,,,2.511B,,4.467B,,4.467B,1.412B,1.412B,,,,54.00M,250.00M,,6.129B,10.20B,99.00M,999.00M,1.895B,836.00M,97.00M,,,-48.00M,2.109B
2000-09,280.00M,,280.00M,555.00M,,833.00M,192.00M,,,,437.00M,1.742B,11.58B,225.00M,11.81B,-6.015B,5.795B,,,,,,,4.435B,10.23B,11.97B,376.00M,45.00M,,,421.00M,598.00M,1.019B,,1.024B,1.024B,,,,,2.043B,,4.564B,,4.564B,1.474B,1.474B,,,,75.00M,250.00M,,6.288B,9.901B,99.00M,910.00M,1.882B,836.00M,97.00M,,,-59.00M,1.996B
2000-06,215.00M,,215.00M,482.00M,,842.00M,190.00M,,,,366.00M,1.613B,11.59B,221.00M,11.81B,-6.015B,5.796B,,,,,,2.538B,1.922B,10.26B,11.87B,422.00M,45.00M,,,467.00M,465.00M,932.00M,,1.341B,1.341B,,,,,2.273B,,4.329B,,4.329B,1.529B,1.529B,,,,55.00M,250.00M,,6.108B,9.941B,99.00M,812.00M,1.873B,836.00M,97.00M,,,-75.00M,1.873B
2000-03,160.00M,,160.00M,473.00M,,786.00M,182.00M,,,,389.00M,1.517B,11.49B,180.00M,11.67B,-6.015B,5.651B,,,,,,2.591B,1.668B,9.91B,11.43B,362.00M,45.00M,,,407.00M,538.00M,945.00M,,1.111B,1.111B,,,,,2.056B,,4.123B,,4.123B,1.552B,1.552B,,,,68.00M,250.00M,,5.925B,9.525B,99.00M,758.00M,1.86B,836.00M,97.00M,,,-47.00M,1.834B
1999-12,133.00M,,133.00M,399.00M,,709.00M,200.00M,,,,251.00M,1.293B,11.48B,181.00M,11.66B,-6.015B,5.644B,,,,,,2.647B,1.59B,9.881B,11.17B,399.00M,43.00M,,,442.00M,356.00M,798.00M,,1.482B,1.482B,,,,,2.28B,,3.689B,67.00M,3.756B,1.548B,1.548B,,,,64.00M,250.00M,,5.554B,9.40B,99.00M,654.00M,1.86B,836.00M,97.00M,,,-67.00M,1.71B
1999-09,340.00M,,340.00M,451.00M,,747.00M,206.00M,,,,186.00M,1.479B,4.758B,123.00M,4.881B,,4.881B,,,,,,2.706B,1.543B,9.13B,10.61B,438.00M,43.00M,,,481.00M,343.00M,824.00M,,1.076B,1.076B,,,,,1.90B,,3.90B,83.00M,3.983B,1.514B,1.514B,,,,85.00M,,,5.497B,8.917B,99.00M,543.00M,1.86B,836.00M,97.00M,,,-59.00M,1.607B
1999-06,393.00M,,393.00M,296.00M,,591.00M,198.00M,,,,204.00M,1.386B,4.454B,113.00M,4.567B,,4.567B,,,,,,3.21B,941.00M,8.718B,10.10B,341.00M,46.00M,,,387.00M,277.00M,664.00M,,1.199B,1.199B,,,,,1.863B,,3.081B,97.00M,3.178B,1.576B,1.576B,,,,,,,4.754B,8.121B,99.00M,477.00M,1.874B,419.00M,97.00M,,,-48.00M,1.983B
1999-03,140.00M,,140.00M,341.00M,,537.00M,200.00M,,,,207.00M,1.084B,4.37B,106.00M,4.476B,,4.476B,,,,,,3.245B,924.00M,8.645B,9.729B,258.00M,46.00M,,,304.00M,289.00M,593.00M,,771.00M,771.00M,,,,,1.364B,,3.212B,104.00M,3.316B,1.572B,1.572B,,,,,,,4.888B,7.76B,99.00M,453.00M,1.874B,419.00M,97.00M,,,-38.00M,1.969B
1998-12,195.00M,,195.00M,298.00M,,470.00M,207.00M,,,,76.00M,948.00M,10.49B,117.00M,10.61B,-6.126B,4.48B,,,,,,2.819B,1.36B,8.659B,9.607B,197.00M,46.00M,,,243.00M,223.00M,466.00M,,801.00M,801.00M,,,,,1.267B,,3.233B,109.00M,3.342B,1.574B,1.574B,,,,,,,4.916B,7.72B,99.00M,372.00M,1.866B,419.00M,97.00M,,,-31.00M,1.887B
1998-09,81.00M,,81.00M,211.00M,,283.00M,200.00M,,,,93.00M,657.00M,10.15B,163.00M,10.31B,-3.502B,6.81B,,,,,,1.428B,590.00M,8.828B,9.485B,200.00M,50.00M,,,250.00M,233.00M,483.00M,,940.00M,940.00M,,,,,1.423B,,3.085B,57.00M,3.142B,1.579B,1.579B,,,,,,,4.721B,7.651B,99.00M,323.00M,1.852B,419.00M,97.00M,,,-21.00M,1.834B
1998-06,36.00M,,36.00M,239.00M,,414.00M,175.00M,,,,147.00M,772.00M,10.27B,97.00M,10.37B,-6.045B,4.325B,,,,,,3.198B,904.00M,8.427B,9.199B,182.00M,76.00M,,,258.00M,220.00M,478.00M,,560.00M,560.00M,,,,,1.038B,,2.98B,103.00M,3.083B,1.556B,1.556B,,,,,,,4.639B,7.195B,99.00M,231.00M,1.702B,,97.00M,,,-28.00M,2.004B
1998-03,154.00M,,154.00M,263.00M,,389.00M,201.00M,,,,150.00M,894.00M,10.22B,215.00M,10.44B,-3.633B,6.806B,,,,,,1.356B,722.00M,8.884B,9.778B,144.00M,76.00M,,,220.00M,277.00M,497.00M,,469.00M,469.00M,,,,,966.00M,,2.896B,98.00M,2.994B,2.223B,197.00M,,,,,,,3.191B,6.825B,99.00M,1.195B,1.685B,,97.00M,,,-26.00M,2.953B
