,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2007-01,367.39M,5.247M,372.64M,30.10M,30.10M,,1.052B,44.24M,,16.24M,,1.515B,0.0,134.80M,402.92M,859.75M,,22.68M,,1.420B,-671.92M,748.23M,,,,,,95.40M,843.64M,2.359B,698.06M,,698.06M,351.62M,1.050B,,,,,,,,33.58M,1.083B,,150.00M,,150.00M,86.20M,86.20M,129.30M,365.50M,1.449B,1.402M,384.92M,545.70M,22.03M,-0.163M,909.83M
2006-10,122.07M,4.857M,126.93M,36.82M,36.82M,,1.066B,51.33M,,20.01M,,1.301B,0.0,141.10M,392.70M,810.12M,,41.68M,,1.386B,-645.21M,740.38M,,,,,,91.10M,831.49M,2.132B,670.58M,,670.58M,376.95M,1.048B,,,,,,,,,1.048B,,,,,97.36M,97.36M,128.50M,225.87M,1.273B,1.406M,358.09M,520.39M,21.18M,0.025M,858.74M
2006-07,59.35M,7.417M,66.77M,33.90M,33.90M,,959.79M,50.57M,,20.01M,,1.131B,0.0,138.04M,386.32M,794.59M,,33.18M,,1.352B,-618.23M,733.90M,,,,,,71.20M,805.10M,1.936B,537.93M,,537.93M,322.66M,860.59M,,,,,,,,,860.59M,,,,,94.75M,94.75M,123.76M,218.51M,1.079B,1.421M,366.25M,510.14M,20.60M,-0.173M,857.05M
2006-04,145.23M,43.07M,188.30M,36.04M,36.04M,,980.00M,43.06M,,20.01M,,1.267B,0.0,75.41M,376.32M,756.05M,,19.63M,,1.227B,-594.18M,633.22M,,,,,,73.00M,706.23M,1.974B,546.33M,,546.33M,305.94M,852.26M,,,,,,,,38.22M,890.49M,,,,,98.83M,98.83M,123.60M,222.43M,1.113B,1.437M,374.53M,505.37M,20.43M,-0.181M,860.72M
2006-01,191.77M,12.76M,204.53M,29.12M,29.12M,,938.09M,37.09M,,20.01M,,1.229B,0.0,74.30M,376.41M,740.54M,,21.27M,,1.213B,-572.66M,639.85M,,,,,,70.04M,709.89M,1.939B,474.61M,,474.61M,328.78M,803.40M,,,50.00M,,50.00M,,,25.59M,878.98M,,,,,100.66M,100.66M,122.93M,223.58M,1.103B,1.448M,359.76M,522.57M,18.24M,-29.36M,836.17M
2005-10,177.75M,,177.75M,35.25M,35.25M,,1.065B,44.70M,,8.968M,,1.332B,0.0,71.60M,365.65M,713.39M,,26.43M,,1.177B,-547.77M,629.30M,,,,,,53.59M,682.90M,2.015B,653.94M,,653.94M,291.48M,945.41M,,,,,,,,,945.41M,,50.00M,,50.00M,96.98M,96.98M,119.96M,266.93M,1.212B,1.454M,344.39M,507.46M,17.68M,-33.42M,802.20M
2005-07,119.40M,25.80M,145.20M,35.37M,35.37M,,975.85M,51.06M,,8.968M,,1.216B,0.0,70.03M,350.31M,686.68M,,28.30M,,1.135B,-526.44M,608.87M,,,,,,53.02M,661.90M,1.878B,534.25M,,534.25M,272.98M,807.24M,,,,,,,,,807.24M,,50.00M,,50.00M,96.77M,96.77M,115.13M,261.89M,1.069B,1.469M,354.99M,507.44M,17.58M,-37.11M,809.21M
2005-04,144.38M,84.35M,228.73M,35.28M,35.28M,,964.69M,38.10M,,8.968M,,1.276B,0.0,28.59M,348.14M,653.05M,,28.81M,,1.059B,-508.01M,550.58M,,,,,,54.08M,604.66M,1.880B,554.93M,,554.93M,254.43M,809.36M,,,,,,,,4.773M,814.14M,,50.00M,,50.00M,94.51M,94.51M,114.38M,258.89M,1.073B,1.481M,362.40M,503.12M,17.45M,-42.15M,807.40M
2005-01,115.33M,67.40M,182.73M,31.15M,31.15M,,853.11M,46.76M,,14.18M,,1.128B,0.0,28.57M,345.20M,652.88M,,17.86M,,1.045B,-488.33M,556.18M,,,,,,57.10M,613.28M,1.741B,451.86M,,451.86M,259.70M,711.56M,,,,,,,,,711.56M,,50.00M,,50.00M,97.42M,97.42M,116.67M,264.08M,975.65M,1.472M,351.46M,449.52M,11.62M,-25.27M,765.57M
2004-10,57.79M,,57.79M,33.08M,33.08M,,999.60M,48.05M,,22.74M,,1.161B,0.0,29.34M,285.50M,607.21M,,14.10M,,936.16M,-434.19M,501.97M,,,,,,58.00M,559.97M,1.721B,512.67M,,512.67M,265.51M,778.19M,,,,,,,,,778.19M,,50.00M,,50.00M,87.93M,87.93M,69.09M,207.02M,985.21M,1.472M,340.11M,428.21M,11.19M,-22.57M,736.03M
2004-07,108.35M,,108.35M,27.88M,27.88M,,897.54M,53.98M,,22.74M,,1.110B,0.0,28.76M,268.10M,570.83M,,20.01M,,887.71M,-415.20M,472.51M,,,,,,58.01M,530.52M,1.641B,471.65M,,471.65M,254.42M,726.07M,,,,,,,,-2.248M,723.82M,,50.00M,,50.00M,75.01M,75.01M,68.25M,193.26M,917.08M,1.478M,332.25M,398.66M,8.447M,,723.94M
2004-04,184.95M,,184.95M,32.24M,32.24M,,859.38M,35.48M,,22.74M,,1.135B,0.0,57.14M,252.67M,526.72M,,81.02M,,917.55M,-427.09M,490.46M,,,,,,58.13M,548.59M,1.683B,463.58M,,463.58M,244.16M,707.74M,,,,,,,,20.98M,728.72M,,50.00M,,50.00M,82.12M,82.12M,65.04M,197.16M,925.88M,1.501M,363.64M,396.10M,3.75M,,757.49M
2004-01,201.55M,,201.55M,25.29M,25.29M,,841.49M,29.47M,,24.58M,,1.122B,0.0,57.06M,299.81M,532.96M,,74.51M,,964.34M,-447.72M,516.62M,,,,,,52.47M,569.09M,1.691B,448.04M,,448.04M,255.68M,703.72M,,,,,,,,9.146M,712.87M,,50.00M,,50.00M,79.71M,79.71M,96.33M,226.04M,938.90M,1.514M,369.49M,412.10M,3.656M,-26.89M,752.56M
2003-10,117.72M,,117.72M,26.31M,26.31M,,866.86M,31.03M,,,,1.042B,0.0,54.77M,246.60M,457.41M,,107.77M,,866.55M,-399.75M,466.80M,,,,,,50.85M,517.65M,1.560B,448.03M,,448.03M,250.03M,698.06M,,,,,,,,37.78M,735.84M,,50.00M,,50.00M,25.02M,25.02M,57.69M,132.71M,868.55M,0.757M,330.53M,359.73M,,,691.02M
2003-07,176.86M,,176.86M,27.04M,27.04M,,815.50M,31.42M,,,,1.051B,0.0,54.77M,239.71M,432.06M,,101.19M,,827.73M,-384.65M,443.08M,,,,,,50.33M,493.41M,1.544B,467.13M,,467.13M,230.21M,697.33M,,,,,,,,40.20M,737.53M,,50.00M,,50.00M,81.27M,81.27M,,131.27M,868.80M,0.761M,324.26M,350.40M,,,675.42M
2003-04,116.54M,,116.54M,23.26M,23.26M,,756.00M,48.56M,,,,944.37M,0.0,54.77M,233.30M,420.82M,,77.27M,,786.15M,-370.60M,415.55M,,,,,,39.83M,455.38M,1.400B,396.23M,,396.23M,195.40M,591.64M,,,,,,,,30.58M,622.22M,,50.00M,,50.00M,70.32M,70.32M,,120.32M,742.54M,0.767M,313.53M,342.92M,,,657.22M
2003-01,150.65M,,150.65M,18.35M,18.35M,,716.52M,36.90M,,16.64M,,939.06M,0.0,54.77M,232.39M,412.50M,,61.72M,,761.38M,-358.69M,402.68M,,,,,,36.24M,438.92M,1.378B,397.19M,,397.19M,213.70M,610.89M,,,,,,,,15.79M,626.68M,,25.00M,,25.00M,41.67M,41.67M,41.45M,108.12M,734.80M,0.775M,301.37M,341.04M,,,643.19M
2002-10,101.49M,,101.49M,29.24M,29.24M,,751.84M,,,,46.20M,928.77M,0.0,54.58M,,402.29M,221.42M,41.52M,,719.82M,-343.07M,376.74M,,,,,35.74M,,412.48M,1.341B,404.88M,,404.88M,231.50M,636.38M,,,,,,,,39.26M,675.65M,,25.00M,,25.00M,,,48.20M,73.20M,748.85M,0.776M,275.31M,316.32M,,,592.40M
2002-07,95.32M,,95.32M,25.87M,25.87M,,713.45M,27.36M,,,,862.00M,0.0,54.57M,216.09M,369.21M,,46.56M,,686.43M,-330.26M,356.18M,,,,,37.63M,,393.80M,1.256B,398.34M,,398.34M,195.25M,593.59M,,,,,,,,30.10M,623.68M,,,,,49.84M,49.84M,,49.84M,673.52M,0.78M,274.25M,307.25M,,,582.28M
2002-04,72.63M,,72.63M,24.46M,24.46M,,674.03M,26.94M,,,,798.07M,0.0,54.47M,211.86M,357.88M,,38.82M,,663.03M,-318.40M,344.62M,,,,,38.98M,,383.61M,1.182B,362.32M,,362.32M,173.65M,535.97M,,,,,,,,30.57M,566.53M,,,,,51.32M,51.32M,,51.32M,617.86M,0.786M,262.79M,300.24M,,,563.82M
2002-01,40.35M,,40.35M,20.54M,20.54M,,623.39M,30.71M,,,,714.99M,0.0,54.43M,209.09M,351.29M,,24.11M,,638.92M,-307.36M,331.55M,,,,,36.18M,,367.73M,1.083B,314.53M,,314.53M,163.17M,477.70M,,,,,,,,11.88M,489.59M,,,,,48.68M,48.68M,,48.68M,538.27M,0.79M,253.93M,289.73M,,,544.46M
2001-10,36.18M,,36.18M,22.22M,22.22M,,697.85M,29.84M,,,,786.09M,0.0,54.33M,,334.26M,199.17M,30.38M,,618.14M,-294.34M,323.81M,,,,,39.99M,,363.80M,1.150B,309.60M,,309.60M,159.62M,469.22M,,,15.90M,,15.90M,,,25.88M,511.00M,,75.00M,,75.00M,,,39.03M,114.03M,625.02M,0.799M,255.32M,268.74M,,,524.87M
2001-07,38.96M,,38.96M,20.36M,20.36M,,612.42M,22.48M,,,,694.22M,0.0,55.12M,,316.28M,188.54M,36.14M,,596.08M,-283.55M,312.53M,,,,,40.27M,,352.80M,1.047B,247.03M,,247.03M,135.82M,382.85M,,,17.50M,,17.50M,,,50.08M,450.43M,,50.00M,,50.00M,,,43.98M,93.98M,544.41M,0.798M,255.83M,245.99M,,,502.62M
2001-04,38.28M,,38.28M,20.66M,20.66M,,607.25M,21.99M,,,,688.18M,0.0,55.41M,,312.88M,193.95M,21.00M,,583.24M,-276.91M,306.33M,,,,,40.11M,,346.44M,1.035B,278.12M,,278.12M,150.59M,428.72M,,,40.80M,,40.80M,,,,469.52M,,50.00M,,50.00M,,,41.37M,91.37M,560.89M,0.798M,235.97M,236.97M,,,473.74M
2001-01,37.15M,,37.15M,14.42M,14.42M,,559.56M,,,,19.93M,631.07M,0.0,55.32M,,307.29M,187.67M,18.47M,,568.74M,-267.08M,301.66M,,,,,42.31M,,343.98M,975.05M,260.14M,,260.14M,,260.14M,,,34.00M,,34.00M,,,139.93M,434.06M,,30.00M,,30.00M,,,43.44M,73.44M,507.50M,0.805M,230.62M,236.12M,,,467.55M
2000-10,34.76M,,34.76M,,18.75M,,594.43M,,,,19.58M,667.51M,,,,,,,,547.49M,-255.37M,292.13M,,,,,,60.95M,353.08M,1.021B,287.96M,,287.96M,,287.96M,,,20.00M,,20.00M,,,146.94M,454.90M,,80.00M,,80.00M,,,50.22M,130.22M,585.12M,0.811M,208.77M,225.89M,,,435.47M
2000-07,41.95M,,41.95M,,16.22M,,577.57M,,,,19.06M,654.80M,,,,,,,,528.22M,-244.73M,283.49M,,,,,,62.34M,345.83M,1.001B,280.86M,,280.86M,,280.86M,,,11.80M,,11.80M,,,146.82M,439.47M,,80.00M,,80.00M,,,53.70M,133.70M,573.18M,0.82M,200.44M,226.19M,,,427.45M
2000-04,32.63M,,32.63M,,17.00M,,555.62M,,,,19.07M,624.32M,,,,,,,,510.31M,-234.16M,276.14M,,,,,,63.67M,339.81M,964.13M,291.51M,,291.51M,,291.51M,,,,,,,,178.37M,469.88M,,20.00M,,20.00M,,,54.76M,74.76M,544.64M,0.834M,192.52M,226.14M,,,419.49M
2000-01,79.33M,,79.33M,,15.69M,,500.49M,,,,17.68M,613.19M,,,,,,,,499.55M,-226.39M,273.16M,,,,,,61.32M,334.48M,947.68M,254.29M,,254.29M,,254.29M,,,,,,,,168.18M,422.47M,,,,,,,,51.78M,474.25M,0.888M,237.91M,234.64M,,,473.43M
1999-10,31.60M,,31.60M,15.90M,15.90M,,571.00M,,,,16.60M,635.10M,,,,,,,,483.70M,-217.00M,266.70M,,,,,,51.70M,318.40M,953.50M,263.10M,,263.10M,,263.10M,,,28.90M,,28.90M,,,164.50M,456.50M,,24.00M,,24.00M,,,47.30M,71.30M,527.80M,0.90M,204.20M,220.60M,,,425.70M
1999-07,30.10M,,30.10M,,14.80M,,522.90M,,,,16.20M,584.00M,,,,,,,,463.70M,-208.70M,255.00M,,,,,,51.80M,306.80M,890.80M,245.20M,,245.20M,,245.20M,,,17.20M,,17.20M,,,144.80M,407.20M,,,,,,,,47.70M,454.90M,0.50M,212.80M,222.70M,,,435.90M
1999-04,33.30M,,33.30M,,15.20M,,516.10M,,,,16.30M,580.90M,,,,,,,,451.40M,-201.60M,249.80M,,,,,,50.40M,300.20M,881.10M,253.50M,,253.50M,,253.50M,,,,,,,,153.80M,407.30M,,,,,,,,45.50M,452.80M,,210.00M,,,,428.30M
1999-01,80.08M,,80.08M,,11.57M,,466.46M,,,,15.82M,573.93M,,,,,,,,441.16M,-192.44M,248.71M,,,,,,47.66M,296.37M,870.31M,248.10M,,248.10M,,248.10M,,,,,,,,155.04M,403.14M,,,,,,,,42.46M,445.60M,0.925M,208.41M,215.37M,,,424.70M
1998-10,26.70M,,26.70M,,12.20M,,511.50M,,,,16.30M,566.70M,,,,,,,,425.80M,-186.00M,239.80M,,,,,,37.90M,277.70M,844.40M,228.30M,,228.30M,,228.30M,,,,,,,,177.50M,405.80M,,30.00M,,30.00M,,,38.30M,68.30M,474.10M,,171.00M,,,,370.30M
1998-07,32.00M,,32.00M,,11.70M,,469.00M,,,,15.40M,528.10M,,,,,,,,411.60M,-177.30M,234.30M,,,,,,40.30M,274.60M,802.70M,212.20M,,212.20M,,212.20M,,,37.50M,,37.50M,,,125.80M,375.50M,,,,,,,,41.10M,416.60M,,184.90M,,,,386.10M
