,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-01,57.64M,,-39.31M,-9.569M,20.89M,20.89M,,,,,,35.33M,-12.14M,20.18M,-37.52M,-6.659M,-0.812M,123.22M,-50.84M,,-50.84M,,,-50.84M,,,0.00,7.081M,-26.62M,-19.54M,,-3.683M,,,-23.22M,101.49M,49.16M,150.65M,7.081M,,,-26.62M,,
2002-10,45.08M,,13.68M,3.247M,16.93M,16.93M,,,,,,-38.39M,6.54M,-22.21M,38.55M,6.659M,-8.848M,53.16M,-33.92M,,-33.92M,,,-33.92M,,,25.00M,9.579M,-43.95M,-34.37M,,-3.695M,,,-13.07M,95.32M,6.168M,101.49M,9.579M,,,-43.95M,,
2002-07,49.69M,,12.77M,3.24M,16.01M,16.01M,,,,,,-39.42M,36.02M,-1.825M,20.30M,3.05M,18.13M,83.82M,-26.83M,,-26.83M,,,-26.83M,,,,6.778M,-37.35M,-30.57M,,-3.73M,,,-34.30M,72.63M,22.69M,95.32M,6.778M,,,-37.35M,,
2002-04,47.67M,,12.86M,3.082M,15.94M,15.94M,,,,,,-50.64M,51.54M,-0.154M,33.21M,-3.05M,30.90M,94.51M,-27.26M,,-27.26M,,,-27.26M,,,,10.84M,-42.08M,-31.23M,,-3.739M,,,-34.97M,40.35M,32.28M,72.63M,10.84M,,,-42.08M,,
2002-01,49.97M,,13.03M,3.172M,16.20M,16.20M,,,,,,74.46M,1.177M,0.807M,-15.81M,2.483M,63.12M,141.93M,-17.30M,,-17.30M,,,-17.30M,,,-90.90M,22.25M,-48.43M,-26.18M,,-3.38M,,,-120.46M,36.18M,4.169M,40.35M,22.25M,,,-48.43M,,
2001-10,35.03M,,12.79M,3.46M,16.25M,16.25M,,,,,,-85.44M,62.57M,-9.208M,-0.03M,-3.73M,-35.84M,15.44M,-25.58M,,-25.58M,,,-25.58M,,,23.40M,22.74M,-35.37M,-12.64M,,-3.402M,,,7.362M,38.96M,-2.774M,36.18M,22.74M,,,-35.37M,,
2001-07,35.37M,,12.08M,3.267M,15.34M,15.34M,,,,,,-5.163M,-31.09M,-0.20M,36.55M,4.529M,4.618M,55.34M,-21.80M,,-21.80M,,,-21.80M,,,-23.30M,7.472M,-13.63M,-6.162M,,-3.40M,,,-32.86M,38.28M,0.674M,38.96M,7.472M,,,-13.63M,,
2001-04,34.68M,,12.00M,2.826M,14.82M,14.82M,,,,,,-47.69M,21.41M,-8.30M,13.68M,1.585M,-19.32M,30.18M,-21.32M,,-21.32M,,,-21.32M,,,26.80M,2.119M,-33.24M,-31.12M,,-3.414M,,,-7.735M,37.15M,1.128M,38.28M,2.119M,,,-33.24M,,
2001-01,45.25M,,,,15.04M,15.04M,,,,,,34.86M,-31.24M,3.974M,-14.06M,5.488M,-0.971M,69.33M,-18.61M,,-18.61M,,,-18.61M,,,-36.00M,10.30M,-19.58M,-9.278M,,-3.043M,,,-48.32M,34.76M,2.395M,37.15M,10.30M,,,-19.58M,,
2000-10,29.74M,,,,13.76M,13.76M,,,,,,-16.86M,7.10M,-3.047M,3.65M,-0.821M,-9.977M,33.52M,-24.49M,,-24.49M,,,-24.49M,,,8.20M,0.441M,-21.78M,-21.33M,,-3.082M,,,-16.22M,41.95M,-7.19M,34.76M,0.441M,,,-21.78M,,
2000-07,35.92M,,,,13.15M,13.15M,,,,,,-21.95M,-10.65M,0.794M,-13.05M,1.624M,-43.24M,5.829M,-20.98M,,-20.98M,,,-20.98M,,,54.60M,1.496M,-28.53M,-27.03M,,-3.105M,,,24.46M,32.63M,9.316M,41.95M,1.496M,,,-28.53M,,
2000-04,40.85M,,,,13.12M,13.12M,,,,,,-55.12M,40.54M,-2.701M,-3.375M,1.361M,-19.30M,34.67M,-18.03M,,-18.03M,,,-18.03M,,,37.20M,2.09M,-99.44M,-97.35M,,-3.188M,,,-63.34M,79.33M,-46.70M,32.63M,2.09M,,,-99.44M,,
2000-01,42.71M,,,,12.79M,12.79M,,,,,,70.47M,-12.13M,-0.879M,-0.991M,2.906M,59.37M,109.57M,-15.11M,,-15.11M,,,-15.11M,,,-52.90M,12.15M,-3.20M,8.954M,,-2.862M,,,-46.81M,31.60M,47.65M,79.33M,12.15M,,,-3.20M,,
1999-10,34.60M,,,,11.90M,11.90M,,,,0.10M,,-48.10M,17.90M,-1.50M,23.70M,-2.20M,-10.20M,36.40M,-23.50M,,-23.50M,,,-23.50M,,,35.70M,0.70M,-44.80M,-44.10M,,-2.90M,,-0.10M,-11.40M,30.10M,1.50M,31.60M,0.70M,,,-44.80M,,
1999-07,38.64M,,,,11.68M,11.68M,,,,-0.10M,,-6.753M,-8.276M,0.509M,9.782M,1.175M,-3.563M,46.66M,-18.15M,,-18.15M,,,-18.15M,,,1.60M,5.682M,-36.00M,-30.32M,,-3.009M,,0.10M,-31.63M,33.31M,-3.124M,30.10M,5.682M,,,-36.00M,,
1999-04,34.16M,,,,11.82M,11.82M,,,,,,-49.65M,8.376M,-4.109M,-10.88M,1.025M,-55.24M,-9.256M,-17.25M,,-17.25M,,,-17.25M,,,15.60M,3.118M,-36.00M,-32.88M,,-2.991M,,,-20.27M,80.08M,-46.78M,33.31M,3.118M,,,-36.00M,,
1999-01,45.54M,,,,11.35M,11.35M,,,,-3.60M,,45.06M,16.84M,1.239M,16.70M,,82.62M,131.50M,-14.05M,,-14.05M,,,-14.05M,,,-73.40M,14.91M,-2.898M,12.02M,,-2.55M,,-0.10M,-64.03M,0.00,53.41M,80.08M,14.91M,,,-2.898M,,
1998-10,28.00M,,,,11.10M,11.10M,,,,3.80M,,-42.60M,16.00M,-1.50M,4.50M,,-23.60M,19.30M,-14.60M,,-14.60M,,,-14.60M,,,36.00M,0.80M,-44.30M,-43.50M,,-2.60M,,0.10M,-10.00M,0.00,-5.30M,0.00,0.80M,,,-44.30M,,
1998-07,32.40M,,,,10.50M,10.50M,,,,-0.10M,,-8.30M,-3.80M,-1.30M,12.00M,,-1.40M,41.40M,-38.30M,,-38.30M,,,-38.30M,,,31.80M,2.40M,-32.40M,-30.00M,,-2.60M,,,-0.80M,0.00,2.30M,0.00,2.40M,,,-32.40M,,
