,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-03,5.485B,1.957B,7.442B,11.05B,11.05B,1.672B,2.286B,,,22.45B,,,,,,,,211.83B,-127.35B,84.48B,5.233B,55.70B,60.93B,,23.43B,168.84B,191.29B,,13.66B,,,,13.66B,,13.66B,,,,3.712B,,3.712B,,,7.371B,24.74B,32.13B,,32.13B,15.47B,15.47B,,33.40B,35.27B,82.87B,107.61B,,297.00M,18.30B,40.29B,4.481B,,1.345B,-5.472B,-4.127B,50.28B,,,Restated
2007-12,1.153B,2.244B,3.397B,11.74B,11.74B,1.729B,1.836B,,,18.70B,0.00,839.00M,19.73B,185.57B,2.255B,1.988B,3.612B,213.99B,-128.70B,85.29B,5.245B,55.78B,61.03B,3.372B,18.57B,168.26B,186.96B,,4.491B,1.266B,2.27B,,8.027B,2.873B,10.90B,,390.00M,2.564B,2.954B,,2.954B,2.476B,2.476B,3.583B,24.74B,28.20B,,28.20B,14.78B,14.78B,29.96B,32.29B,6.402B,79.35B,104.09B,,297.00M,17.88B,40.32B,3.489B,,,,-4.506B,50.58B,,AOR,Restated
2007-09,715.00M,1.194B,1.909B,11.51B,11.51B,1.786B,1.833B,,,17.04B,,,,,,,,211.15B,-126.82B,84.33B,5.442B,55.83B,61.28B,,22.98B,168.58B,185.62B,,14.24B,,,,14.24B,,14.24B,,,,2.064B,,2.064B,,,7.85B,24.16B,29.38B,,29.38B,14.12B,14.12B,,31.23B,37.04B,80.54B,104.70B,,297.00M,18.05B,40.29B,2.832B,,1.031B,-7.145B,-6.114B,49.69B,,,
2007-06,656.00M,1.70B,2.356B,10.69B,10.69B,1.793B,2.19B,,,17.03B,,,,,,,,209.29B,-125.56B,83.73B,5.149B,55.76B,60.91B,,23.09B,167.73B,184.76B,,13.54B,,,,13.54B,,13.54B,,,,3.152B,,3.152B,,,7.758B,24.45B,29.37B,,29.37B,13.71B,13.71B,,30.20B,37.19B,80.28B,104.73B,,297.00M,18.02B,40.22B,2.284B,,826.00M,-7.245B,-6.419B,49.83B,,,
2007-03,1.301B,2.149B,3.45B,10.18B,10.18B,1.78B,2.487B,,,17.89B,,,,,,,,206.58B,-123.61B,82.98B,5.247B,55.76B,61.01B,,22.40B,166.39B,184.28B,,13.31B,,,,13.31B,,13.31B,,,,6.604B,,6.604B,,,7.993B,27.91B,28.07B,,28.07B,13.52B,13.52B,,29.24B,36.77B,78.36B,106.26B,,297.00M,17.48B,40.12B,2.185B,,346.00M,-7.283B,-6.937B,48.78B,,,
2006-12,3.219B,2.434B,5.653B,10.89B,10.89B,1.514B,1.888B,,,22.54B,0.00,959.00M,19.21B,176.37B,2.198B,2.315B,3.061B,204.11B,-121.75B,82.36B,5.655B,56.10B,61.75B,4.868B,17.29B,166.27B,188.80B,,4.392B,1.199B,2.757B,,8.348B,3.596B,11.94B,,3.576B,4.139B,7.715B,,7.715B,2.226B,2.226B,6.82B,32.28B,28.65B,,28.65B,16.27B,16.27B,30.78B,28.34B,3.957B,79.65B,111.93B,,297.00M,17.32B,40.12B,1.871B,,,,-7.53B,48.54B,,AOR,Restated
2006-09,1.846B,1.589B,3.435B,10.83B,10.83B,1.65B,2.099B,,3.597B,21.62B,,,,,,,,201.97B,-120.56B,81.40B,5.709B,53.54B,59.25B,,23.42B,164.06B,185.68B,,14.50B,,,,14.50B,,14.50B,,,,11.53B,,11.53B,,,9.283B,35.31B,30.15B,,30.15B,21.90B,21.90B,,27.52B,24.50B,76.56B,111.88B,,297.00M,17.47B,31.42B,1.575B,,,,-1.337B,46.28B,,,
2006-06,1.186B,2.075B,3.261B,10.45B,10.45B,1.698B,2.289B,,3.577B,21.28B,,,,,,,,200.08B,-119.08B,81.00B,5.387B,53.54B,58.93B,,22.64B,162.57B,183.84B,,14.34B,,,,14.34B,,14.34B,,,,10.33B,,10.33B,,,9.678B,34.34B,32.03B,,32.03B,20.94B,20.94B,,27.74B,24.01B,76.98B,111.32B,,294.00M,16.73B,30.38B,1.284B,,-621.00M,-720.00M,-1.341B,44.78B,,,
2006-03,1.249B,2.678B,3.927B,10.62B,10.62B,1.647B,2.438B,,,18.63B,,,,,,,,202.85B,-120.58B,82.27B,5.74B,53.72B,59.46B,,22.46B,164.18B,182.81B,,14.44B,,,,14.44B,,14.44B,,,,8.436B,,8.436B,,,8.034B,30.91B,34.61B,,34.61B,20.93B,20.93B,,27.38B,24.21B,79.75B,110.66B,,294.00M,16.29B,30.38B,677.00M,,-788.00M,-727.00M,-1.515B,44.77B,,,
2005-12,760.00M,2.146B,2.906B,8.534B,8.534B,1.522B,2.125B,,,19.32B,0.00,706.00M,16.31B,164.68B,2.29B,1.475B,2.297B,187.76B,-114.77B,72.99B,315.00M,51.85B,52.16B,4.602B,19.06B,148.81B,168.13B,,2.62B,1.137B,2.484B,,6.241B,3.464B,9.705B,,2.152B,4.536B,6.688B,,6.688B,1.964B,1.964B,5.164B,26.70B,31.57B,,31.57B,22.83B,22.83B,17.69B,26.43B,3.224B,75.32B,102.02B,,277.00M,15.90B,25.37B,353.00M,,,,-1.783B,39.68B,,AOR,Restated
2005-09,616.00M,1.208B,1.824B,9.337B,9.337B,1.503B,2.608B,,,15.27B,,,,,,,,192.51B,-117.31B,75.19B,,52.92B,52.92B,,24.91B,153.03B,168.30B,,12.76B,,,,12.76B,,12.76B,,,,5.048B,,5.048B,,,5.831B,23.64B,34.39B,,34.39B,22.53B,22.53B,,25.97B,22.55B,79.47B,103.10B,,277.00M,15.36B,25.36B,303.00M,,,,-1.477B,39.22B,,,
2005-06,1.405B,1.596B,3.001B,9.566B,9.566B,1.373B,2.729B,,,16.67B,,,,,,,,190.23B,-115.10B,75.13B,,52.84B,52.84B,,24.74B,152.71B,169.38B,,12.77B,,,,12.77B,,12.77B,,,,8.687B,,8.687B,,,5.988B,27.44B,33.07B,,33.07B,22.90B,22.90B,,25.35B,22.06B,78.03B,105.47B,,277.00M,14.62B,25.38B,298.00M,,,,-1.425B,38.55B,,,
2005-03,692.00M,2.019B,2.711B,9.285B,9.285B,1.46B,2.591B,,964.00M,17.01B,,,,,,,,187.48B,-113.11B,74.37B,,47.99B,47.99B,,25.51B,147.87B,164.88B,,13.20B,,,,13.20B,,13.20B,,,,3.716B,,3.716B,,,6.241B,23.16B,35.47B,,35.47B,21.81B,21.81B,,24.75B,21.71B,78.99B,102.15B,,277.00M,13.62B,25.39B,229.00M,,,,-1.076B,37.98B,,,
2004-12,2.29B,2.257B,4.547B,9.801B,9.801B,1.535B,2.646B,,,19.48B,0.00,772.00M,16.16B,162.32B,2.599B,1.719B,1.948B,185.52B,-111.40B,74.12B,837.00M,46.61B,47.45B,5.855B,19.05B,146.48B,165.96B,,2.827B,1.083B,3.326B,,7.236B,4.498B,11.73B,,0.00,3.593B,3.593B,,3.593B,1.899B,1.899B,3.377B,23.13B,35.67B,,35.67B,22.53B,22.53B,17.94B,25.05B,4.069B,80.22B,103.34B,,277.00M,12.98B,25.40B,142.00M,,,,-1.053B,37.56B,,AOR,Restated
2004-09,616.00M,986.00M,1.602B,9.919B,9.919B,1.389B,3.162B,,1.669B,17.74B,,,,,,,,183.36B,-109.87B,73.49B,,46.36B,46.36B,,25.31B,145.16B,162.90B,,13.29B,,,,13.29B,,13.29B,,,,3.271B,,3.271B,,,6.562B,23.12B,37.25B,,37.25B,22.13B,22.13B,,24.59B,20.63B,80.01B,103.14B,,277.00M,11.00B,25.42B,168.00M,,-727.00M,-633.00M,-1.36B,35.17B,,,
2004-06,608.00M,1.39B,1.998B,9.618B,9.618B,1.362B,3.482B,,935.00M,17.40B,,,,,,,,181.44B,-107.90B,73.54B,,46.92B,46.92B,,24.58B,145.04B,162.44B,,12.49B,,,,12.49B,,12.49B,,,,4.439B,,4.439B,,,6.443B,23.37B,37.45B,,37.45B,21.88B,21.88B,,24.82B,20.82B,80.14B,103.52B,,277.00M,10.28B,25.46B,180.00M,,-1.049B,-685.00M,-1.734B,34.10B,,,
2004-03,600.00M,1.892B,2.492B,9.499B,9.499B,1.309B,3.894B,,,17.19B,,,,,,,,181.75B,-107.14B,74.62B,,46.86B,46.86B,,24.76B,146.23B,163.42B,,12.70B,,,,12.70B,,12.70B,,,,6.32B,,6.32B,,,5.935B,24.96B,38.13B,,38.13B,21.83B,21.83B,,24.18B,20.83B,80.79B,105.74B,,277.00M,9.542B,25.44B,115.00M,,-911.00M,-743.00M,-1.654B,33.50B,,,
2003-12,669.00M,2.172B,2.841B,9.854B,9.854B,1.262B,4.233B,,,18.90B,0.00,812.00M,15.68B,158.63B,3.126B,1.129B,1.566B,180.94B,-105.64B,75.30B,835.00M,45.61B,46.44B,5.789B,19.54B,147.07B,165.97B,,4.116B,1.083B,2.72B,,7.919B,4.451B,12.37B,,767.00M,5.20B,5.967B,,5.967B,1.686B,1.686B,3.192B,26.58B,39.41B,,39.41B,21.70B,21.70B,16.75B,24.35B,3.703B,81.57B,108.15B,,277.00M,9.409B,25.36B,115.00M,,,,-1.25B,33.47B,,AOR,Restated
2003-09,746.00M,366.00M,1.112B,10.05B,10.05B,1.28B,4.124B,,,16.56B,,,,,,,,179.72B,-104.62B,75.10B,,46.94B,46.94B,,26.40B,148.44B,165.01B,,12.66B,,,,12.66B,,12.66B,,,,7.499B,,7.499B,,,5.705B,25.87B,37.96B,,37.96B,22.37B,22.37B,,23.97B,19.70B,80.03B,105.90B,,277.00M,11.93B,25.16B,115.00M,,-886.00M,-1.23B,-2.116B,35.14B,,,
2003-06,820.00M,906.00M,1.726B,10.08B,10.08B,1.245B,4.497B,,986.00M,18.53B,,,,,,,,179.18B,-103.41B,75.77B,,47.03B,47.03B,,26.30B,149.10B,167.63B,,12.57B,,,,12.57B,,12.57B,,,,10.08B,,10.08B,,,6.676B,29.33B,38.85B,,38.85B,21.82B,21.82B,,24.06B,19.35B,80.01B,109.35B,,276.00M,11.20B,25.02B,115.00M,,-848.00M,-1.311B,-2.159B,34.22B,,,
2003-03,4.135B,1.479B,5.614B,11.46B,11.46B,1.536B,3.679B,,,22.29B,,,,,,,,179.15B,-102.03B,77.12B,,46.66B,46.66B,,25.98B,149.76B,172.05B,,12.77B,,,,12.77B,,12.77B,,,,10.62B,,10.62B,,,5.046B,28.43B,43.46B,,43.46B,21.33B,21.33B,,23.80B,19.25B,84.04B,112.48B,,276.00M,13.42B,24.80B,115.00M,,-1.198B,-1.418B,-2.616B,35.77B,,,
2002-12,1.422B,2.042B,3.464B,12.50B,12.50B,1.497B,3.331B,,,22.09B,0.00,915.00M,14.57B,154.75B,3.553B,1.476B,1.573B,176.84B,-103.08B,73.76B,1.339B,45.00B,46.34B,4.986B,20.29B,145.38B,167.47B,,4.851B,1.072B,1.195B,,7.118B,4.425B,11.54B,4.00M,2.057B,7.206B,9.267B,,9.267B,1.566B,1.566B,3.382B,27.93B,44.00B,,44.00B,19.47B,19.47B,15.39B,24.06B,4.007B,82.87B,110.80B,,275.00M,10.54B,24.68B,218.00M,,,,-2.11B,32.62B,,,Restated
2002-09,5.651B,246.00M,5.897B,12.96B,12.96B,1.612B,3.001B,,,23.47B,,,,,,,,176.78B,-102.64B,74.14B,,46.76B,46.76B,,24.74B,145.63B,169.10B,,14.24B,,,,14.24B,,14.24B,,,,11.42B,,11.42B,,,5.32B,30.98B,46.03B,,46.03B,18.80B,18.80B,,23.84B,17.60B,82.43B,113.41B,,275.00M,9.223B,24.67B,402.00M,,-1.274B,-648.00M,-1.922B,31.84B,,,
2002-06,2.962B,769.00M,3.731B,13.07B,13.07B,1.843B,3.176B,,1.323B,23.14B,,,,,,,,175.80B,-101.42B,74.38B,,45.23B,45.23B,,25.54B,145.15B,168.29B,,13.13B,,,,13.13B,,13.13B,,,,16.97B,,16.97B,,,5.581B,35.68B,44.64B,,44.64B,18.82B,18.82B,,22.82B,17.68B,81.15B,116.83B,,275.00M,5.842B,24.71B,606.00M,,-1.261B,-321.00M,-1.582B,28.64B,,,
2002-03,1.015B,1.364B,2.379B,15.41B,15.41B,1.77B,3.379B,,1.232B,24.17B,,,,,,,,173.19B,-98.87B,74.32B,,45.13B,45.13B,,27.70B,147.15B,171.32B,,13.12B,,,,13.12B,,13.12B,,,,16.34B,,16.34B,,,5.646B,35.11B,46.58B,,46.58B,18.38B,18.38B,,22.53B,17.73B,82.68B,117.79B,,275.00M,9.065B,24.68B,867.00M,,-1.488B,-663.00M,-2.151B,31.01B,,,
2001-12,979.00M,1.991B,2.97B,14.25B,14.25B,1.968B,2.796B,,1.199B,23.19B,0.00,2.366B,13.28B,147.60B,4.362B,1.97B,,169.59B,-95.17B,74.42B,,44.26B,44.26B,,28.93B,147.61B,170.80B,,5.171B,,,,5.171B,8.15B,13.32B,,,,18.67B,,18.67B,,,6.03B,38.02B,45.66B,,45.66B,16.54B,16.54B,,22.15B,15.89B,78.09B,116.11B,,275.00M,10.70B,24.68B,1.182B,,-1.448B,-486.00M,-1.934B,32.54B,,,Restated
2001-09,1.365B,248.00M,1.613B,13.73B,13.73B,2.259B,2.747B,,1.487B,21.83B,,,,,,,,166.31B,-93.42B,72.90B,,44.08B,44.08B,,30.69B,147.67B,169.50B,,11.94B,,,,11.94B,,11.94B,,,,18.85B,,18.85B,,,5.45B,36.24B,45.04B,,45.04B,16.13B,16.13B,,21.90B,15.35B,76.53B,112.77B,,275.00M,13.97B,24.50B,1.277B,,-1.473B,-1.162B,-2.635B,34.84B,,,
2001-06,2.616B,797.00M,3.413B,13.78B,13.78B,2.047B,3.744B,,279.00M,23.26B,,,,,,,,167.22B,-93.68B,73.54B,,43.63B,43.63B,,29.74B,146.91B,170.17B,,11.74B,,,,11.74B,,11.74B,,,,20.59B,,20.59B,,,5.433B,37.76B,44.28B,,44.28B,15.69B,15.69B,,21.74B,15.79B,75.76B,113.52B,,275.00M,13.14B,24.50B,1.525B,,-1.06B,-416.00M,-1.476B,34.91B,,,
2001-03,689.00M,1.01B,1.699B,13.99B,13.99B,2.049B,3.674B,,567.00M,21.98B,,,,,,,,162.89B,-91.52B,71.37B,,44.08B,44.08B,,30.37B,145.82B,167.80B,,12.61B,,,,12.61B,,12.61B,,,,17.43B,,17.43B,,,5.376B,35.42B,44.39B,,44.39B,15.56B,15.56B,,21.70B,16.03B,75.98B,111.40B,,275.00M,15.20B,24.54B,1.753B,,-1.16B,-2.409B,-3.569B,34.70B,,,
2000-12,757.00M,1.613B,2.37B,14.01B,14.01B,1.91B,,,3.831B,22.12B,,,,,,,,158.96B,-89.45B,69.50B,,41.99B,41.99B,,31.12B,142.61B,164.74B,,6.247B,,,,6.247B,7.144B,13.39B,,,,14.84B,,14.84B,,,6.007B,34.24B,55.03B,,55.03B,15.26B,15.26B,,21.83B,3.797B,74.09B,108.33B,,275.00M,14.67B,24.56B,1.861B,,-1.408B,-1.65B,-3.058B,34.58B,,,
2000-09,828.00M,114.00M,942.00M,14.18B,14.18B,1.487B,,,3.485B,20.09B,,,,,,,,154.50B,-88.19B,66.30B,,41.59B,41.59B,,29.54B,137.43B,157.53B,,14.93B,,,,14.93B,,14.93B,,,,18.89B,,18.89B,,,5.193B,39.01B,32.82B,,32.82B,15.30B,15.30B,,21.97B,13.94B,62.07B,101.08B,,275.00M,13.89B,24.32B,2.021B,,,,-1.986B,34.48B,,,
2000-06,1.346B,355.00M,1.701B,12.36B,12.36B,1.385B,,,4.69B,20.14B,,,,,,,,150.90B,-86.12B,64.77B,,40.95B,40.95B,,31.15B,136.88B,157.01B,,13.28B,,,,13.28B,,13.28B,,,,20.06B,,20.06B,,,4.782B,38.12B,33.29B,,33.29B,14.57B,14.57B,,22.04B,14.82B,62.68B,100.80B,,275.00M,11.51B,24.32B,1.20B,,,,-735.00M,34.18B,,,
2000-03,360.00M,628.00M,988.00M,7.085B,7.085B,589.00M,,,1.198B,9.86B,,,,,,,,90.81B,-51.06B,39.75B,,,,,16.44B,56.19B,66.05B,,7.00B,,,,7.00B,,7.00B,,,,5.812B,,5.812B,,,1.489B,14.30B,20.15B,,20.15B,4.416B,4.416B,,425.00M,9.928B,34.49B,48.79B,,359.00M,2.895B,13.69B,1.026B,201.00M,,,914.00M,16.83B,,,
1999-12,2.033B,1.035B,3.068B,12.00B,12.00B,1.366B,,,3.563B,20.00B,,,,,,,,142.99B,-80.82B,62.17B,,8.645B,8.645B,,22.02B,92.84B,112.83B,,10.88B,,,,10.88B,,10.88B,,,,15.06B,,15.06B,,,3.809B,29.75B,32.42B,,32.42B,7.288B,7.288B,,1.90B,15.10B,54.80B,84.55B,,276.00M,7.428B,20.13B,640.00M,,-1.146B,324.00M,-822.00M,26.38B,,,
1999-09,264.00M,35.00M,299.00M,6.929B,6.929B,624.00M,,,1.045B,8.897B,,,,,,,,87.74B,-49.38B,38.36B,,,,,11.77B,50.12B,59.02B,,6.55B,,,,6.55B,,6.55B,,,,3.286B,,3.286B,,,1.533B,11.37B,17.46B,,17.46B,3.469B,3.469B,,450.00M,10.56B,31.49B,42.86B,,359.00M,2.757B,13.53B,632.00M,201.00M,,,-307.00M,15.71B,,,
1999-06,232.00M,280.00M,512.00M,6.722B,6.722B,584.00M,,,920.00M,8.738B,,,,,,,,85.94B,-48.16B,37.79B,,,,,11.35B,49.14B,57.87B,,5.955B,,,,5.955B,,5.955B,,,,3.558B,,3.558B,,,1.479B,10.99B,17.38B,,17.38B,3.234B,3.234B,,338.00M,10.80B,31.41B,42.40B,,359.00M,2.294B,13.44B,631.00M,201.00M,,,-333.00M,15.13B,,,
1999-03,368.00M,539.00M,907.00M,6.535B,6.535B,555.00M,,,904.00M,8.901B,,,,,,,,84.67B,-47.38B,37.29B,,,,,8.783B,46.07B,54.98B,,6.233B,,,,6.233B,,6.233B,,,,2.286B,,2.286B,,,1.37B,9.889B,17.71B,,17.71B,2.431B,2.431B,,320.00M,10.93B,31.07B,40.96B,,359.00M,1.844B,13.40B,649.00M,201.00M,,,-1.256B,13.70B,,,
1998-12,237.00M,,237.00M,6.56B,6.56B,566.00M,,,1.719B,9.082B,,,,,,,,83.06B,-46.25B,36.82B,,,,,9.246B,46.06B,55.14B,,6.105B,,,,6.105B,,6.105B,,,,2.988B,,2.988B,,,1.438B,10.53B,17.65B,,17.65B,2.254B,2.254B,,330.00M,11.16B,31.06B,41.59B,,359.00M,1.371B,13.37B,593.00M,201.00M,,,-1.279B,13.23B,,,
1998-09,620.80M,,620.80M,,6.424B,571.20M,,,1.291B,8.907B,,,,,,,,81.71B,-45.49B,36.23B,,,,,9.864B,46.09B,55.00B,,6.254B,,,,6.254B,,6.254B,,,,1.924B,,1.924B,,,1.399B,9.578B,18.20B,,18.20B,2.120B,2.120B,,930.20M,11.36B,31.69B,41.26B,,358.10M,1.064B,,632.70M,200.50M,-719.80M,12.74B,12.02B,12.80B,,,
1998-06,303.10M,,303.10M,,6.467B,604.90M,,,1.628B,9.003B,,,,,,,,80.18B,-44.38B,35.80B,,,,,9.911B,45.71B,54.72B,,6.103B,,,,6.103B,,6.103B,,,,4.353B,,4.353B,,,1.363B,11.82B,15.50B,,15.50B,2.260B,2.260B,,913.70M,10.85B,28.61B,40.43B,,358.10M,1.698B,,583.60M,200.50M,-789.40M,12.69B,11.90B,13.37B,,,
1998-03,403.90M,,403.90M,,6.278B,544.50M,,,2.02B,9.246B,,,,,,,,78.65B,-43.31B,35.35B,,,,,9.722B,45.07B,54.31B,,5.628B,,,,5.628B,,5.628B,,,,4.552B,,4.552B,,,1.300B,11.48B,15.68B,,15.68B,2.145B,2.145B,,918.60M,11.05B,28.88B,40.36B,,279.30M,1.326B,,637.50M,200.50M,-648.70M,12.72B,12.07B,13.04B,,,
1997-12,322.80M,,322.80M,,6.341B,550.30M,,,1.787B,9.001B,,,,,,,,77.44B,-42.40B,35.04B,,,,,9.924B,44.96B,53.96B,,5.966B,,,,5.966B,,5.966B,,,,6.343B,,6.343B,,,1.355B,13.66B,13.27B,,13.27B,2.106B,2.106B,,911.20M,11.03B,26.40B,40.06B,,279.30M,1.262B,,590.50M,200.50M,-553.40M,12.59B,12.04B,12.99B,,,
1997-09,315.80M,,315.80M,,6.147B,516.00M,,,1.476B,8.455B,,,,,,,,76.47B,-41.75B,34.72B,,,,,9.711B,44.44B,52.89B,,5.445B,,,,5.445B,,5.445B,,,,6.132B,,6.132B,,,1.537B,13.11B,23.10B,,23.10B,1.826B,1.826B,,948.50M,1.216B,26.14B,39.26B,,213.80M,993.80M,,580.40M,135.00M,-528.50M,12.59B,12.06B,12.68B,,,
1997-06,103.90M,,103.90M,,2.874B,191.40M,,,781.60M,3.950B,,,,,,,,35.63B,-19.70B,15.93B,,,,,5.101B,21.03B,24.98B,,2.567B,,,,2.567B,,2.567B,,,,2.274B,,2.274B,,,685.60M,5.526B,5.816B,,5.816B,1.310B,1.310B,,,4.432B,11.56B,17.08B,,572.80M,2.718B,,26.10M,135.00M,-485.50M,5.114B,4.629B,7.894B,,,
1997-03,144.80M,,144.80M,,2.796B,175.00M,,,939.00M,4.055B,,,,,,,,35.46B,-19.32B,16.14B,,,,,5.021B,21.16B,25.22B,,2.854B,,,,2.854B,,2.854B,,,,2.264B,,2.264B,,,685.00M,5.803B,5.943B,,5.943B,1.264B,1.264B,,,4.454B,11.66B,17.46B,,582.80M,2.564B,,3.30M,145.00M,-475.20M,5.085B,4.610B,7.753B,,,
1996-12,249.40M,,249.40M,,6.169B,478.40M,,,1.560B,8.457B,,,,,,,,75.68B,-39.54B,36.13B,,,,,8.770B,44.90B,53.36B,,6.161B,,,,6.161B,,6.161B,,,,2.884B,,2.884B,,,1.305B,10.35B,15.29B,,15.29B,1.847B,1.847B,,2.014B,10.74B,27.88B,38.23B,,223.70M,1.280B,,589.30M,145.00M,-319.40M,12.53B,12.21B,13.12B,,,
1996-09,98.80M,,98.80M,,2.369B,164.50M,,,984.90M,3.618B,,,,,,,,34.30B,-18.62B,15.68B,,,,,4.609B,20.29B,23.91B,,2.612B,,,,2.612B,,2.612B,,,,1.281B,,1.281B,,,741.30M,4.634B,6.269B,,6.269B,1.124B,1.124B,,,4.592B,11.98B,16.62B,,,2.263B,,,,,,,7.290B,,,
1996-06,63.70M,,63.70M,,2.353B,146.40M,,,1.072B,3.635B,,,,,,,,33.92B,-18.27B,15.64B,,,,,4.517B,20.16B,23.80B,,2.316B,,,,2.316B,,2.316B,,,,1.843B,,1.843B,,,747.80M,4.906B,6.131B,,6.131B,1.155B,1.155B,,,4.515B,11.80B,16.71B,,,2.096B,,,,,,,7.089B,,,
1996-03,56.80M,,56.80M,,2.286B,135.50M,,,1.152B,3.630B,,,,,,,,33.71B,-17.95B,15.77B,,,,,4.413B,20.18B,23.81B,,2.657B,,,,2.657B,,2.657B,,,,1.700B,,1.700B,,,731.70M,5.089B,6.164B,,6.164B,1.194B,1.194B,,,4.795B,12.15B,17.24B,,,1.916B,,,,,,,6.566B,,,
1995-12,356.80M,,356.80M,,2.386B,132.80M,,,997.10M,3.873B,,,,,,,,33.55B,-17.63B,15.92B,,,,,4.363B,20.28B,24.16B,,2.724B,,,,2.724B,,2.724B,,,,1.930B,,1.930B,,,719.30M,5.373B,6.407B,,6.407B,1.214B,1.214B,,,4.479B,12.10B,17.47B,,,1.776B,,,,,,,6.684B,,,
1995-09,97.70M,,97.70M,,2.314B,282.20M,,,1.19B,3.884B,,,,,,,,33.51B,-17.44B,16.07B,,,,,4.592B,20.66B,24.55B,,2.254B,,,,2.254B,,2.254B,,,,2.170B,,2.170B,,,859.10M,5.283B,6.648B,,6.648B,1.407B,1.407B,,,4.494B,12.55B,17.83B,,522.10M,1.698B,,3.10M,85.00M,-430.70M,4.928B,4.497B,6.714B,,,
1995-06,61.50M,,61.50M,,2.308B,289.60M,,,1.232B,3.891B,,,,,,,,34.85B,-17.69B,17.16B,,,,,3.767B,20.93B,24.82B,,1.86B,,,,1.86B,,1.86B,,,,2.746B,,2.746B,,,1.201B,5.807B,6.743B,,6.743B,1.321B,1.321B,,,4.550B,12.61B,18.42B,,521.70M,1.399B,,3.10M,85.00M,-406.30M,4.887B,4.481B,6.398B,,,
1995-03,58.60M,,58.60M,,2.207B,298.00M,,,1.236B,3.800B,,,,,,,,34.40B,-17.33B,17.07B,,,,,3.438B,20.51B,24.31B,,1.766B,,,,1.766B,,1.766B,,,,2.356B,,2.356B,,,1.527B,5.649B,6.70B,,6.70B,1.327B,1.327B,,,4.468B,12.49B,18.14B,,521.50M,1.256B,,3.10M,85.00M,-468.10M,4.862B,4.394B,6.168B,,,
1994-12,142.90M,,142.90M,,2.328B,274.60M,,,1.038B,3.783B,,,,,,,,33.75B,-16.81B,16.94B,,,,,3.550B,20.49B,24.27B,,2.220B,,,,2.220B,,2.220B,,,,2.088B,,2.088B,,,1.269B,5.577B,6.806B,,6.806B,1.306B,1.306B,,,4.417B,12.53B,18.11B,,521.50M,1.144B,,11.00M,85.00M,-330.80M,4.842B,4.511B,6.166B,,,
1994-09,226.10M,,226.10M,,2.609B,265.00M,,,817.80M,3.918B,,,,,,,,33.44B,-16.73B,16.71B,,,,,3.889B,20.60B,24.52B,,1.884B,,,,1.884B,,1.884B,,,,2.333B,,2.333B,,,1.260B,5.477B,6.925B,,6.925B,1.347B,1.347B,,,4.338B,12.61B,18.09B,,521.40M,1.128B,,9.20M,85.00M,-38.00M,4.829B,4.791B,6.432B,,,
1994-06,252.90M,,252.90M,,2.764B,271.20M,,,831.00M,4.119B,,,,,,,,33.08B,-12.93B,20.15B,,,,,4.418B,24.57B,28.69B,,1.686B,,,,1.686B,,1.686B,,,,2.151B,,2.151B,,,1.333B,5.170B,6.993B,,6.993B,2.828B,2.828B,,,5.113B,14.93B,20.10B,,521.40M,3.301B,,9.20M,85.00M,-46.50M,4.814B,4.768B,8.581B,,,
1994-03,255.40M,,255.40M,,2.727B,247.30M,,,886.60M,4.117B,,,,,,,,32.67B,-12.48B,20.19B,,,,,5.146B,25.34B,29.45B,,1.666B,,,,1.666B,,1.666B,,,,2.915B,,2.915B,,,1.493B,6.073B,7.105B,,7.105B,2.863B,2.863B,,,5.076B,15.04B,21.12B,,,3.185B,,,,,,,8.336B,,,
