,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-06,1.593B,1.593B,748.00M,845.00M,674.00M,674.00M,129.00M,-103.00M,2.00M,,,608.00M,1.411B,-566.00M,,,2.00M,,194.00M,75.00M,119.00M,0.00,,,119.00M,117.77M,-177.00M,389.00M,-566.00M,0.31,0.0,,,0.3068,0.31,0.31,0.0,,,0.3068,0.31,383.87M,383.87M,0.06
2002-03,1.498B,1.498B,724.00M,774.00M,706.00M,706.00M,127.00M,-113.00M,34.00M,,,43.00M,876.00M,-102.00M,,,34.00M,,137.00M,51.00M,86.00M,,,,86.00M,64.66M,25.00M,-127.00M,-102.00M,0.22,0.0,,,0.1649,0.22,0.22,0.0,,,0.1652,0.22,387.20M,389.70M,0.06
2001-12,1.53B,1.53B,492.00M,1.038B,680.00M,680.00M,130.00M,-97.00M,32.00M,,,-1.701B,-891.00M,1.929B,,,32.00M,,171.00M,56.00M,115.00M,0.00,,,115.00M,93.48M,2.061B,132.00M,1.929B,0.3,0.0,,,0.2437,0.3,0.2981,0.0,,,0.2423,0.2981,382.21M,385.83M,0.06
2001-09,1.508B,1.508B,769.00M,739.00M,655.00M,655.00M,129.00M,-113.00M,16.00M,,,624.00M,1.408B,-669.00M,,,16.00M,,124.00M,45.00M,79.00M,,,,79.00M,68.81M,-536.00M,133.00M,-669.00M,0.2,0.0,,,0.1742,0.2,0.2,0.0,,,0.1742,0.2,395.00M,395.00M,0.06
2001-06,1.592B,1.592B,786.00M,806.00M,688.00M,688.00M,128.00M,-106.00M,24.00M,,,640.00M,1.456B,-650.00M,,,24.00M,,167.00M,60.00M,107.00M,,,,107.00M,91.62M,-261.00M,389.00M,-650.00M,0.28,0.0,,,0.2398,0.28,0.28,0.0,,,0.2398,0.28,382.14M,382.14M,0.06
2001-03,1.54B,1.54B,794.00M,746.00M,698.00M,698.00M,127.00M,-105.00M,27.00M,,,58.00M,883.00M,-137.00M,,,27.00M,,91.00M,30.00M,61.00M,13.00M,,,74.00M,42.90M,-10.00M,-127.00M,-137.00M,0.16,0.03,,,0.1129,0.19,0.16,0.03,,,0.113,0.19,384.50M,384.80M,0.06
2000-12,1.569B,1.569B,161.00M,1.408B,278.00M,278.00M,126.00M,,14.00M,,,-1.673B,-1.269B,2.677B,,,14.00M,,-6.00M,-11.00M,5.00M,,,,5.00M,-3.40M,2.807B,130.00M,2.677B,0.01,0.0,,,-0.0115,0.01,0.01,,,,-0.0115,0.01,390.25M,390.25M,0.2
2000-09,1.517B,1.517B,799.00M,718.00M,692.00M,692.00M,126.00M,-119.00M,81.00M,,,640.00M,1.458B,-740.00M,,,81.00M,,156.00M,57.00M,99.00M,,,,99.00M,47.60M,-102.00M,638.00M,-740.00M,0.26,0.0,,,0.125,0.26,0.26,0.0,,,0.125,0.26,380.77M,380.77M,0.2
2000-06,1.592B,1.592B,796.00M,796.00M,708.00M,708.00M,126.00M,-124.00M,45.00M,,,61.00M,895.00M,-99.00M,,,45.00M,,184.00M,68.00M,116.00M,,,,116.00M,87.63M,27.00M,-380.00M,-99.00M,0.3,0.0,,,0.226,0.3,0.3,0.0,,,0.226,0.3,383.20M,383.60M,0.2
2000-03,1.495B,1.495B,683.00M,812.00M,719.00M,719.00M,125.00M,,28.00M,,,655.00M,1.499B,-687.00M,,,28.00M,,-84.00M,-36.00M,-48.00M,,,,-48.00M,-64.80M,-558.00M,129.00M,-687.00M,-0.12,0.0,,,-0.162,-0.12,-0.12,0.0,,,-0.162,-0.12,400.00M,400.00M,0.2
1999-12,1.518B,1.518B,361.00M,1.157B,384.00M,384.00M,112.00M,,-6.00M,,,79.00M,575.00M,582.00M,,,-6.00M,,42.00M,11.00M,31.00M,,,,31.00M,35.43M,1.434B,852.00M,582.00M,0.08,0.0,,,0.0916,0.08,0.08,0.0,,,0.0916,0.08,382.91M,382.91M,0.2
1999-09,1.50B,1.50B,797.00M,703.00M,787.00M,787.00M,124.00M,-141.00M,24.00M,,,51.00M,962.00M,-259.00M,,,24.00M,,36.00M,17.00M,19.00M,,,,19.00M,4.60M,-135.00M,-124.00M,-259.00M,0.05,0.0,,,0.0121,0.05,0.05,0.0,,,0.0121,0.05,380.00M,380.00M,0.2
1999-06,1.194B,1.194B,513.00M,681.00M,522.00M,522.00M,121.00M,-51.00M,48.00M,,,47.00M,690.00M,-9.00M,,,48.00M,,115.00M,38.00M,77.00M,,,,77.00M,44.86M,112.00M,-121.00M,-9.00M,0.2,0.0,,,0.1155,0.2,0.2,0.0,,,0.116,0.2,380.20M,382.70M,0.2
1999-03,1.03B,1.03B,307.00M,723.00M,438.00M,438.00M,118.00M,,49.00M,,,39.00M,595.00M,128.00M,,,49.00M,,158.00M,46.00M,112.00M,,,,112.00M,77.27M,246.00M,-118.00M,128.00M,0.3,0.0,,,0.207,0.3,0.3,0.0,,,0.207,0.3,373.33M,373.33M,0.2
1998-12,1.061B,1.028B,152.00M,876.00M,,551.00M,100.00M,,-111.00M,,,,816.00M,60.00M,,,-111.00M,,201.00M,41.00M,160.00M,105.00M,,,160.00M,143.36M,847.00M,787.00M,60.00M,0.42,0.0,,-0.0005,0.6522,0.42,0.42,0.0,,-0.0005,0.652,0.42,380.51M,380.85M,0.2
1998-09,1.048B,1.048B,284.00M,764.00M,,391.00M,115.00M,,72.00M,,,,506.00M,258.00M,,,72.00M,,201.00M,50.00M,151.00M,,,,158.00M,96.91M,373.00M,-115.00M,258.00M,0.4,0.02,,0.0186,0.2562,0.42,0.4,0.02,,0.0186,0.2562,0.42,376.19M,376.19M,0.2
1998-06,1.079B,1.079B,309.00M,770.00M,409.00M,409.00M,112.00M,,89.00M,,,36.00M,557.00M,213.00M,,,89.00M,,255.00M,68.00M,187.00M,,,,187.00M,121.73M,325.00M,-112.00M,213.00M,0.48,0.0,,,0.3125,0.48,0.48,0.0,,,0.3125,0.48,389.58M,389.58M,0.2
