,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-06,239.00M,,,-73.00M,-74.00M,93.00M,93.00M,80.00M,,,-127.00M,,,-396.00M,-185.00M,-23.00M,,-23.00M,,-59.00M,-1.514B,-1.596B,-470.00M,220.00M,-250.00M,,,-161.00M,,,,-127.00M,,,1.981B,2.113B,200.00M,2.313B,,695.00M,-1.165B,,,
2004-03,250.00M,,,37.00M,12.00M,,,2.00M,,,45.00M,,,-276.00M,33.00M,-27.00M,,-27.00M,,-76.00M,214.00M,111.00M,-56.00M,558.00M,502.00M,,,-186.00M,,,,-128.00M,,,-743.00M,2.712B,-599.00M,2.113B,,654.00M,-710.00M,,,
2003-12,234.00M,,,66.00M,-32.00M,52.00M,52.00M,59.00M,,,113.00M,,,84.00M,510.00M,-22.00M,,-22.00M,0.00,66.00M,-181.00M,-137.00M,-75.00M,-1.897B,-1.972B,,,-90.00M,,,,-128.00M,,,-59.00M,2.398B,314.00M,2.712B,,209.00M,-284.00M,,,
2003-09,227.00M,,,-53.00M,-85.00M,53.00M,53.00M,-9.00M,,,-308.00M,,,-158.00M,-280.00M,-47.00M,,-47.00M,-17.00M,220.00M,522.00M,678.00M,-294.00M,342.00M,48.00M,,,-56.00M,,,,-128.00M,,,-1.249B,3.249B,-851.00M,2.398B,,399.00M,-693.00M,,,
2003-06,225.00M,,,-20.00M,-5.00M,55.00M,55.00M,-52.00M,,,632.00M,,,67.00M,922.00M,-16.00M,,-16.00M,,1.623B,-613.00M,994.00M,-1.856B,897.00M,-959.00M,,,-58.00M,,,,-128.00M,,,-1.741B,3.074B,175.00M,3.249B,,453.00M,-2.309B,,,
2003-03,217.00M,,,-4.00M,-19.00M,50.00M,50.00M,74.00M,,,-60.00M,,,-158.00M,104.00M,-10.00M,,-10.00M,,-1.102B,-447.00M,-1.559B,637.00M,-413.00M,224.00M,,,-40.00M,,,,-129.00M,,,1.165B,3.364B,-290.00M,3.074B,,1.871B,-1.234B,,,
2002-12,245.00M,,,28.00M,-15.00M,49.00M,49.00M,91.00M,,,215.00M,,,-86.00M,499.00M,-22.00M,,-22.00M,-48.00M,-1.259B,442.00M,-887.00M,-905.00M,-2.585B,-3.49B,,,-26.00M,,,,-128.00M,,,713.00M,3.039B,325.00M,3.364B,,272.00M,-1.177B,,,
2002-09,245.00M,,,-24.00M,-24.00M,56.00M,56.00M,1.00M,,,213.00M,,,-47.00M,444.00M,-24.00M,,-24.00M,0.00,-1.206B,1.341B,111.00M,-802.00M,758.00M,-44.00M,,,-42.00M,,,,-128.00M,,,-445.00M,2.929B,110.00M,3.039B,,524.00M,-1.326B,,,
2002-06,246.00M,,,-10.00M,-8.00M,57.00M,57.00M,69.00M,,,-167.00M,,,-11.00M,186.00M,-29.00M,,-29.00M,-15.00M,77.00M,-511.00M,-478.00M,1.309B,-2.012B,-703.00M,,,12.00M,,,,-128.00M,,,738.00M,2.483B,446.00M,2.929B,,1.888B,-579.00M,,,
2002-03,240.00M,,,,-1.00M,64.00M,64.00M,-6.00M,,,128.00M,,,-95.00M,330.00M,-15.00M,,-15.00M,,10.00M,-1.014B,-1.019B,719.00M,1.228B,1.947B,,,16.00M,,,,-127.00M,,,281.00M,2.891B,-408.00M,2.483B,,2.055B,-1.336B,,,
2001-12,-174.00M,,,-137.00M,-140.00M,93.00M,93.00M,1.00M,,,1.098B,,,183.00M,1.061B,-39.00M,,-39.00M,0.00,-70.00M,1.476B,1.367B,-523.00M,-1.123B,-1.646B,,,8.00M,,,,-125.00M,,0.00,-2.34B,2.803B,88.00M,2.891B,,322.00M,-845.00M,,,
2001-09,249.00M,,,136.00M,182.00M,93.00M,93.00M,-157.00M,,,-421.00M,,,221.00M,167.00M,-34.00M,,-34.00M,0.00,1.317B,1.361B,2.644B,354.00M,-2.626B,-2.272B,,,-42.00M,,,,-126.00M,,13.00M,-2.789B,2.781B,22.00M,2.803B,,1.484B,-1.13B,,,
2001-06,-160.00M,,,-8.00M,-37.00M,247.00M,247.00M,-26.00M,,,589.00M,,,-190.00M,423.00M,-28.00M,,-28.00M,0.00,255.00M,-88.00M,139.00M,207.00M,-138.00M,69.00M,,,6.00M,,,,-125.00M,,,-265.00M,2.484B,297.00M,2.781B,,802.00M,-595.00M,,,
2001-03,217.00M,,,-26.00M,-10.00M,97.00M,97.00M,43.00M,,,-172.00M,,,-132.00M,43.00M,-20.00M,,-20.00M,-3.00M,562.00M,-45.00M,494.00M,294.00M,1.278B,1.572B,,,11.00M,,,,-125.00M,,,-1.242B,3.189B,-705.00M,2.484B,,1.256B,-962.00M,,,
2000-12,266.00M,,,-50.00M,-39.00M,95.00M,95.00M,132.00M,,,286.00M,,,418.00M,1.158B,-43.00M,,-43.00M,-375.00M,131.00M,-1.513B,-1.80B,365.00M,189.00M,554.00M,,,-134.00M,,,,-120.00M,,0.00,1.14B,2.691B,498.00M,3.189B,,1.133B,-768.00M,,,
2000-09,121.00M,,,50.00M,-363.00M,96.00M,96.00M,65.00M,,,205.00M,,,-286.00M,-162.00M,-21.00M,,-21.00M,357.00M,3.961B,-5.103B,-806.00M,-298.00M,2.222B,1.924B,,,-68.00M,,,,-119.00M,,11.00M,481.00M,3.178B,-487.00M,2.691B,,1.364B,-1.662B,,,
2000-06,248.00M,,,-2.00M,-2.00M,95.00M,95.00M,81.00M,,,73.00M,,,60.00M,555.00M,-20.00M,,-20.00M,0.00,616.00M,-1.711B,-1.115B,-689.00M,-1.127B,-1.816B,,,-121.00M,,,,-122.00M,,,981.00M,2.757B,421.00M,3.178B,,1.396B,-2.085B,,,
2000-03,367.00M,,,-1.00M,-1.00M,96.00M,96.00M,57.00M,,,-352.00M,,,-135.00M,32.00M,-19.00M,,-19.00M,-357.00M,-340.00M,1.113B,397.00M,-1.077B,-1.98B,-3.057B,,,-111.00M,,,,-123.00M,,,-488.00M,2.816B,-59.00M,2.757B,,393.00M,-1.47B,,,
1999-12,264.00M,,,-3.00M,-283.00M,98.00M,98.00M,162.00M,,,337.00M,,,525.00M,1.103B,-33.00M,,-33.00M,,4.338B,-7.074B,-2.769B,65.00M,555.00M,620.00M,,,-141.00M,,,,-117.00M,,0.00,1.464B,3.018B,-202.00M,2.816B,,73.00M,-8.00M,,,
1999-09,270.00M,,,-2.00M,-163.00M,100.00M,100.00M,141.00M,,,-104.00M,,,-62.00M,182.00M,-11.00M,,-11.00M,,-311.00M,-1.167B,-1.489B,889.00M,30.00M,919.00M,,,3.00M,,,,-117.00M,,10.00M,1.265B,3.06B,-42.00M,3.018B,,1.391B,-502.00M,,,
1999-06,280.00M,,,-20.00M,-20.00M,99.00M,99.00M,63.00M,,,-106.00M,,,38.00M,354.00M,-27.00M,,-27.00M,,134.00M,-895.00M,-788.00M,-544.00M,-507.00M,-1.051B,,,-12.00M,,,,-117.00M,,,513.00M,2.981B,79.00M,3.06B,,420.00M,-964.00M,,,
1999-03,293.00M,,,-4.00M,-4.00M,99.00M,99.00M,100.00M,,,31.00M,,,-304.00M,215.00M,-23.00M,,-23.00M,,-483.00M,443.00M,-63.00M,2.708B,-1.638B,1.07B,,,-161.00M,,,,-116.00M,,,-467.00M,3.296B,-315.00M,2.981B,,3.336B,-628.00M,,,
1998-12,260.00M,,,-5.00M,-32.00M,88.00M,88.00M,84.00M,,,377.00M,,,87.00M,864.00M,362.00M,,362.00M,,1.213B,-3.004B,-1.429B,1.383B,-300.00M,1.083B,,,-98.00M,,,,-107.00M,,247.00M,1.111B,2.75B,546.00M,0.00,,1.718B,-335.00M,,,
1998-09,252.00M,,,0.00,-62.00M,118.00M,118.00M,87.00M,,,-202.00M,,,483.00M,676.00M,-461.00M,,-461.00M,,-127.00M,-1.658B,-2.246B,1.408B,-455.00M,953.00M,,,-391.00M,,,,-103.00M,,8.00M,1.27B,0.00,-300.00M,2.75B,,1.519B,-111.00M,,,
1998-06,249.00M,,,-2.00M,27.00M,64.00M,64.00M,94.00M,,,-35.00M,,,-720.00M,-321.00M,-11.00M,,-11.00M,,723.00M,-3.361B,-2.649B,1.154B,774.00M,1.928B,,,258.00M,,,,-103.00M,,,2.733B,3.287B,-237.00M,0.00,,1.555B,-401.00M,,,
