,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-09,10.64B,347.00M,10.98B,24.92B,24.92B,1.129B,5.16B,6.289B,5.153B,,47.35B,165.37B,-79.68B,85.69B,4.60B,4.60B,,,,,28.07B,118.36B,165.71B,,22.11B,,22.11B,9.211B,31.32B,832.00M,832.00M,,,7.275B,39.42B,5.749B,380.00M,6.129B,12.52B,,12.52B,,211.00M,20.47B,39.12B,78.54B,,1.832B,97.51B,14.42B,24.42B,,,,,,-2.385B,86.95B,,,Restated
2008-06,8.18B,427.00M,8.607B,30.59B,30.59B,1.14B,5.231B,6.371B,4.14B,,49.71B,161.45B,-79.06B,82.39B,4.629B,4.629B,,,,,26.33B,113.36B,163.07B,,29.24B,,29.24B,5.196B,34.44B,894.00M,894.00M,,,7.157B,42.49B,5.382B,388.00M,5.77B,12.26B,,12.26B,,226.00M,20.06B,38.08B,80.57B,,1.832B,90.94B,14.38B,22.45B,,,,,,-2.426B,82.27B,,,Restated
2008-03,8.208B,473.00M,8.681B,23.87B,23.87B,1.074B,4.578B,5.652B,3.281B,,41.49B,157.61B,-77.22B,80.39B,4.63B,4.63B,,,,,26.34B,111.36B,152.85B,,23.49B,,23.49B,5.198B,28.69B,780.00M,780.00M,,,5.971B,35.44B,5.613B,401.00M,6.014B,12.71B,,12.71B,,217.00M,19.26B,37.98B,73.42B,,1.832B,86.30B,14.32B,20.82B,,,,,,-2.423B,79.21B,,,Restated
2007-12,7.362B,732.00M,8.094B,22.45B,22.45B,1.017B,4.293B,5.31B,3.527B,,39.38B,154.08B,-75.47B,78.61B,4.637B,4.637B,,,,,26.16B,109.41B,148.79B,,21.76B,,21.76B,5.275B,27.03B,1.162B,1.162B,,,5.605B,33.80B,5.664B,406.00M,6.07B,12.17B,,12.17B,,204.00M,19.46B,37.70B,71.49B,,1.832B,82.33B,14.29B,18.89B,,,,-59.00M,-2.411B,-2.47B,77.09B,,,
2007-09,7.95B,794.00M,8.744B,19.76B,19.76B,958.00M,4.701B,5.659B,3.35B,,37.51B,146.69B,-73.79B,72.90B,4.679B,4.679B,,,,,24.47B,102.04B,139.55B,,19.81B,,19.81B,4.185B,24.00B,902.00M,902.00M,,,4.535B,29.43B,4.708B,439.00M,5.147B,11.77B,,11.77B,,209.00M,18.05B,34.97B,64.40B,,1.832B,78.67B,14.26B,16.96B,,,,,,-2.859B,74.94B,,,
2007-06,11.22B,887.00M,12.10B,19.36B,19.36B,910.00M,4.24B,5.15B,3.21B,,39.82B,143.05B,-71.93B,71.12B,4.681B,4.681B,,,,,23.98B,99.78B,139.61B,,18.34B,,18.34B,4.022B,22.36B,2.835B,2.835B,3.679B,3.679B,1.617B,30.49B,4.916B,438.00M,5.354B,11.65B,,11.65B,,209.00M,17.72B,34.73B,65.22B,,1.832B,76.18B,14.23B,15.09B,,,,,,-2.96B,74.18B,,,
2007-03,11.80B,903.00M,12.70B,17.46B,17.46B,815.00M,3.857B,4.672B,3.157B,,38.00B,140.39B,-70.49B,69.90B,4.691B,4.691B,,,,,23.42B,98.01B,136.01B,,16.57B,,16.57B,4.042B,20.61B,3.817B,3.817B,3.457B,3.457B,1.614B,29.50B,5.691B,440.00M,6.131B,11.64B,,11.64B,,214.00M,17.06B,34.83B,64.33B,,1.832B,72.03B,14.16B,13.55B,,,,,,-3.016B,71.46B,,,
2006-12,10.49B,953.00M,11.45B,17.63B,17.63B,812.00M,3.844B,4.656B,2.574B,,36.30B,137.75B,-68.89B,68.86B,4.623B,4.623B,,,,,22.84B,96.32B,132.63B,,16.68B,,16.68B,4.546B,21.22B,2.159B,2.159B,,,5.029B,28.41B,7.405B,274.00M,7.679B,11.65B,,11.65B,,209.00M,15.75B,35.08B,63.48B,,1.832B,68.46B,14.13B,12.40B,,,,-90.00M,-3.002B,-3.092B,68.94B,,,
2006-09,11.23B,1.047B,12.27B,18.74B,18.74B,770.00M,4.437B,5.207B,2.206B,,38.42B,134.69B,-67.80B,66.89B,4.659B,4.659B,,,,,24.15B,95.70B,134.12B,,17.06B,,17.06B,3.94B,21.00B,2.289B,2.289B,,,5.748B,29.04B,7.822B,282.00M,8.104B,12.46B,,12.46B,,227.00M,14.68B,35.25B,64.29B,,1.832B,65.82B,14.11B,11.25B,,,,,,-904.00M,69.60B,,,
2006-06,10.08B,1.053B,11.13B,18.37B,18.37B,768.00M,4.064B,4.832B,2.219B,,36.55B,132.10B,-66.50B,65.60B,4.70B,4.70B,,,,,24.33B,94.63B,131.18B,,17.07B,,17.07B,3.858B,20.93B,49.00M,49.00M,,,5.837B,26.81B,10.00B,298.00M,10.30B,12.17B,,12.17B,,231.00M,14.76B,37.23B,64.05B,,1.832B,61.93B,14.06B,9.996B,,,,,,-917.00M,66.91B,,,
2006-03,10.70B,1.061B,11.76B,17.44B,17.44B,709.00M,3.519B,4.228B,1.818B,,35.26B,129.24B,-64.94B,64.30B,4.644B,4.644B,,,,,23.53B,92.48B,127.73B,,15.66B,,15.66B,3.36B,19.02B,189.00M,189.00M,,,5.479B,24.69B,11.63B,295.00M,11.92B,11.71B,,11.71B,,213.00M,14.36B,37.99B,62.68B,,1.832B,58.73B,13.93B,8.822B,,,,,,-829.00M,64.84B,,,
2005-12,10.04B,1.101B,11.14B,17.18B,17.18B,694.00M,3.427B,4.121B,1.887B,,34.34B,127.45B,-63.76B,63.69B,4.636B,4.636B,,,,,23.17B,91.50B,125.83B,,16.07B,,16.07B,3.69B,19.76B,739.00M,739.00M,,,4.508B,25.01B,11.81B,324.00M,12.13B,11.26B,,11.26B,,200.00M,14.55B,37.95B,62.96B,,1.832B,55.74B,13.89B,7.87B,,,,,,-918.00M,62.68B,,,
2005-09,9.808B,1.172B,10.98B,17.78B,17.78B,534.00M,3.021B,3.555B,2.666B,,34.98B,126.20B,-62.22B,63.98B,3.591B,3.591B,,,,,22.26B,89.83B,124.81B,,15.15B,,15.15B,3.898B,19.05B,1.28B,1.28B,,,5.198B,25.53B,12.24B,337.00M,12.58B,12.10B,,12.10B,,198.00M,14.22B,38.90B,64.42B,,1.832B,52.60B,13.87B,7.117B,,,,,,-991.00M,60.19B,,,
2005-06,12.32B,1.16B,13.48B,14.84B,14.84B,466.00M,2.887B,3.353B,2.269B,,33.94B,106.36B,-61.69B,44.67B,,,,,,,20.43B,65.10B,99.04B,,12.42B,,12.42B,2.788B,15.21B,647.00M,647.00M,,,4.768B,20.63B,10.31B,312.00M,10.62B,7.539B,,7.539B,,153.00M,11.56B,29.72B,50.35B,,1.706B,50.01B,4.206B,6.545B,,,,,,-840.00M,48.54B,,,
2005-03,10.69B,1.164B,11.85B,13.66B,13.66B,462.00M,2.634B,3.096B,2.547B,,31.16B,104.74B,-60.52B,44.22B,,,,,,,20.43B,64.64B,95.80B,,11.82B,,11.82B,2.805B,14.63B,624.00M,624.00M,,,4.424B,19.67B,10.19B,231.00M,10.42B,7.454B,,7.454B,,165.00M,11.50B,29.37B,49.05B,,1.706B,47.26B,4.199B,5.731B,,,,,,-840.00M,46.59B,,,
2004-12,9.291B,1.451B,10.74B,12.43B,12.43B,486.00M,2.497B,2.983B,2.349B,,28.50B,103.95B,-59.50B,44.46B,,,,,,,20.25B,64.70B,93.21B,,10.75B,,10.75B,3.41B,14.16B,816.00M,816.00M,,,3.822B,18.80B,10.22B,239.00M,10.46B,7.268B,,7.268B,,172.00M,11.29B,29.01B,47.81B,,1.706B,45.41B,4.16B,5.124B,,,,,,-926.00M,45.23B,,,
2004-09,10.04B,1.005B,11.04B,12.55B,12.55B,488.00M,2.466B,2.954B,2.272B,,28.82B,100.63B,-56.75B,43.88B,,,,,,,18.32B,62.20B,91.02B,,10.98B,,10.98B,3.064B,14.04B,1.037B,1.037B,,,4.486B,19.56B,10.56B,255.00M,10.82B,6.506B,,6.506B,,197.00M,11.10B,28.42B,47.98B,,1.706B,42.81B,4.116B,4.454B,,,,,,-1.34B,42.84B,,,
2004-06,8.339B,998.00M,9.337B,11.67B,11.67B,458.00M,2.743B,3.201B,1.841B,,26.04B,100.30B,-56.11B,44.19B,,,,,,,18.32B,62.52B,88.56B,,10.03B,,10.03B,2.901B,12.93B,1.803B,1.803B,,,4.256B,18.99B,10.09B,233.00M,10.32B,6.801B,,6.801B,,192.00M,11.23B,28.35B,47.34B,,853.00M,40.46B,4.915B,3.801B,,,,,,-1.396B,41.03B,,,
2004-03,5.858B,1.023B,6.881B,11.22B,11.22B,442.00M,2.46B,2.902B,1.838B,,22.84B,99.60B,-55.37B,44.23B,,,,,,,18.03B,62.26B,85.11B,,9.691B,,9.691B,3.007B,12.70B,1.525B,1.525B,,,3.624B,17.85B,10.64B,245.00M,10.88B,6.72B,,6.72B,,297.00M,11.20B,28.80B,46.64B,,853.00M,37.10B,4.862B,3.279B,,,,,,-1.375B,38.17B,,,
2003-12,4.266B,1.001B,5.267B,9.722B,9.722B,472.00M,2.176B,2.648B,1.789B,,19.43B,100.56B,-56.02B,44.54B,,,,,,,17.51B,62.04B,81.47B,,8.675B,,8.675B,3.172B,11.85B,1.703B,1.703B,,,2.561B,16.11B,10.65B,243.00M,10.89B,6.417B,,6.417B,,268.00M,11.48B,28.80B,44.91B,,853.00M,35.32B,4.855B,3.317B,,,,,,-1.411B,36.30B,,,
2003-09,4.383B,844.00M,5.227B,9.623B,9.623B,486.00M,2.228B,2.714B,1.589B,,19.15B,107.59B,-61.67B,45.92B,,,,,,,16.24B,62.16B,81.31B,,8.067B,,8.067B,2.891B,10.96B,1.853B,1.853B,,,3.45B,16.26B,11.17B,243.00M,11.41B,5.693B,,5.693B,,267.00M,12.44B,29.54B,45.80B,,853.00M,34.35B,4.85B,3.326B,,,,,,-1.485B,35.24B,,,
2003-06,3.092B,835.00M,3.927B,9.705B,9.705B,497.00M,2.43B,2.927B,1.796B,,18.36B,107.85B,-61.44B,46.41B,,,,,,,15.82B,62.23B,80.59B,,8.434B,,8.434B,2.876B,11.31B,1.534B,1.534B,,,3.671B,16.52B,11.33B,246.00M,11.58B,5.825B,,5.825B,,317.00M,12.25B,29.65B,46.17B,,853.00M,32.98B,4.846B,3.335B,,,,,,-1.244B,34.10B,,,
2003-03,3.804B,760.00M,4.564B,10.20B,10.20B,500.00M,2.331B,2.831B,1.927B,,19.52B,107.07B,-60.47B,46.60B,,,,,,,15.18B,61.78B,81.30B,,8.53B,,8.53B,3.075B,11.60B,4.114B,4.114B,,,3.681B,19.40B,10.96B,217.00M,11.18B,5.594B,,5.594B,,322.00M,11.99B,28.77B,48.17B,,853.00M,32.12B,4.833B,3.369B,,,,,,-1.627B,32.81B,,,
2002-12,2.957B,824.00M,3.781B,9.385B,9.385B,551.00M,2.212B,2.763B,1.847B,,17.78B,105.23B,-61.08B,44.16B,,,,,,,15.43B,59.58B,77.36B,,8.455B,,8.455B,3.364B,11.82B,5.358B,5.358B,,,2.699B,19.88B,10.67B,245.00M,10.91B,5.619B,,5.619B,,303.00M,9.046B,25.58B,45.45B,,853.00M,30.94B,4.833B,3.374B,,,,,,-1.65B,31.60B,,,
2002-09,2.767B,811.00M,3.578B,9.00B,9.00B,531.00M,2.486B,3.017B,2.18B,,17.78B,103.79B,-59.93B,43.86B,,,,,,,14.81B,58.67B,76.45B,,7.527B,,7.527B,2.934B,10.46B,5.18B,5.18B,,,3.043B,18.68B,11.08B,260.00M,11.34B,5.98B,,5.98B,,298.00M,8.027B,25.34B,44.03B,,853.00M,30.76B,4.83B,3.379B,,,,,,-944.00M,32.12B,,,
2002-06,2.652B,763.00M,3.415B,8.937B,8.937B,537.00M,2.407B,2.944B,2.408B,,17.70B,102.41B,-58.63B,43.78B,,,,,,,16.16B,59.94B,77.64B,,7.01B,,7.01B,3.064B,10.07B,7.07B,7.07B,,,2.898B,20.04B,9.432B,266.00M,9.698B,6.052B,,6.052B,,286.00M,7.808B,23.56B,43.60B,,853.00M,32.41B,4.827B,3.383B,,,,,,-950.00M,33.76B,,,
2002-03,3.525B,811.00M,4.336B,9.021B,9.021B,553.00M,2.476B,3.029B,2.119B,7.00M,18.51B,101.13B,-57.68B,43.45B,,,,,,,16.71B,60.16B,78.67B,,7.375B,,7.375B,2.979B,10.35B,9.163B,9.163B,,,2.565B,22.08B,8.389B,283.00M,8.672B,6.028B,,6.028B,,292.00M,7.473B,22.17B,44.26B,,853.00M,32.75B,4.822B,3.395B,,,,,,-907.00M,34.12B,,,
2001-12,2.117B,1.033B,3.15B,8.279B,8.279B,532.00M,2.416B,2.948B,1.769B,2.181B,18.33B,99.94B,-56.71B,43.23B,,,,,,,16.01B,59.24B,77.57B,,6.427B,,6.427B,3.399B,9.826B,8.429B,8.429B,,,2.399B,20.65B,8.704B,285.00M,8.989B,6.132B,,6.132B,,283.00M,7.556B,22.68B,43.33B,,853.00M,32.77B,4.811B,3.415B,,,,,,-1.058B,33.96B,,,
2001-09,3.417B,1.691B,5.108B,,3.119B,442.00M,611.00M,1.053B,657.00M,,9.937B,53.74B,-30.70B,23.04B,,,9.524B,733.00M,,1.294B,,34.59B,44.53B,,2.84B,2.477B,5.317B,1.308B,6.625B,1.519B,1.519B,,,,8.144B,4.804B,261.00M,5.065B,4.834B,,6.486B,1.831B,,,13.38B,21.53B,,534.00M,23.76B,2.786B,3.42B,,,,,,-143.00M,23.00B,,AOR,
2001-06,2.895B,1.521B,4.416B,,3.553B,460.00M,582.00M,1.042B,646.00M,,9.657B,53.15B,-30.13B,23.02B,,,9.368B,733.00M,,1.277B,,34.40B,44.06B,,3.124B,2.314B,5.438B,1.322B,6.76B,2.074B,2.074B,,,,8.834B,4.371B,264.00M,4.635B,4.866B,,6.526B,1.836B,,,13.00B,21.83B,,534.00M,23.00B,2.784B,3.417B,,,,,,-170.00M,22.22B,,AOR,
2001-03,2.315B,1.471B,3.786B,,3.424B,439.00M,694.00M,1.133B,868.00M,,9.211B,52.49B,-29.63B,22.86B,,,8.735B,732.00M,,1.282B,,33.61B,42.82B,,3.10B,2.115B,5.215B,1.372B,6.587B,1.876B,1.876B,,,,8.463B,4.525B,279.00M,4.804B,4.871B,,6.473B,1.827B,,,13.10B,21.57B,,534.00M,22.10B,2.761B,3.463B,,,,,,-169.00M,21.25B,,AOR,
2000-12,2.328B,913.00M,3.241B,10.76B,10.76B,485.00M,2.169B,2.654B,1.255B,,17.91B,95.57B,-51.25B,44.32B,,,,,,,15.39B,59.71B,77.62B,,7.563B,,7.563B,3.014B,10.58B,3.094B,3.094B,,,2.99B,16.66B,12.49B,327.00M,12.82B,6.687B,,6.687B,,746.00M,7.337B,26.84B,43.51B,,1.162B,32.21B,5.505B,4.273B,300.00M,,,,,-1.231B,33.37B,,,
2000-09,1.342B,1.318B,2.66B,,3.727B,426.00M,631.00M,1.057B,1.227B,,8.671B,51.98B,-29.04B,22.94B,,,8.004B,835.00M,,1.191B,,32.98B,41.65B,,3.35B,2.079B,5.429B,1.117B,6.546B,1.714B,1.714B,,,,8.26B,5.059B,300.00M,5.359B,5.185B,,7.249B,1.862B,,,14.47B,22.73B,,534.00M,19.82B,2.753B,3.412B,,,,,,-173.00M,18.92B,,AOR,Restated
2000-06,1.102B,622.00M,1.724B,,4.161B,818.00M,694.00M,1.512B,1.169B,,8.566B,54.70B,-29.61B,25.09B,,,5.775B,830.00M,,1.114B,,32.81B,41.38B,,3.382B,1.806B,5.188B,1.031B,6.219B,2.177B,2.177B,,,,8.396B,5.064B,302.00M,5.366B,5.207B,,7.02B,1.846B,,,14.23B,22.63B,,534.00M,18.72B,2.792B,2.526B,,,,,,-129.00M,18.75B,,AOR,Restated
2000-03,1.185B,627.00M,1.812B,,4.013B,789.00M,659.00M,1.448B,1.244B,,8.517B,54.29B,-29.11B,25.18B,,,5.643B,824.00M,,1.083B,,32.73B,41.25B,,3.064B,1.449B,4.513B,1.058B,5.571B,3.512B,3.512B,,,,9.083B,5.085B,315.00M,5.40B,5.094B,,6.915B,1.846B,,,14.16B,23.24B,,1.069B,18.02B,2.225B,2.557B,,,,,,-120.00M,18.00B,,AOR,Restated
1999-12,1.997B,971.00M,2.968B,9.205B,9.205B,548.00M,2.659B,3.207B,1.663B,,17.04B,100.99B,-54.50B,46.49B,,,,,,,11.85B,58.34B,75.38B,,6.812B,,6.812B,2.582B,9.394B,6.063B,6.063B,,,2.226B,17.68B,12.79B,358.00M,13.14B,6.712B,,6.712B,,733.00M,7.316B,27.17B,44.86B,,2.024B,27.15B,4.621B,2.816B,300.00M,,,,,-1.186B,29.79B,,,
1999-09,703.00M,762.00M,1.465B,,3.342B,831.00M,641.00M,1.472B,1.056B,,7.335B,54.25B,-28.56B,25.69B,,,5.105B,860.00M,,1.162B,,32.82B,40.15B,,2.79B,1.443B,4.233B,2.148B,6.381B,3.46B,3.46B,,,,9.841B,4.585B,272.00M,4.857B,4.621B,,4.621B,1.786B,,1.728B,12.99B,22.83B,,1.069B,17.02B,2.214B,2.177B,,,,,,-156.00M,17.32B,,AOR,Restated
1999-06,752.00M,955.00M,1.707B,,3.027B,843.00M,573.00M,1.416B,1.007B,,7.157B,52.67B,-28.24B,24.43B,,,4.916B,863.00M,,1.036B,,31.24B,38.40B,,2.384B,975.00M,3.359B,2.187B,5.546B,3.801B,3.801B,,,,9.347B,4.044B,275.00M,4.319B,4.08B,,5.815B,1.775B,,,11.91B,21.26B,,1.069B,16.83B,2.205B,2.188B,,,,,,-122.00M,17.15B,,AOR,Restated
1999-03,538.00M,947.00M,1.485B,,2.773B,845.00M,584.00M,1.429B,772.00M,,6.459B,52.16B,-27.76B,24.40B,,,4.794B,945.00M,,1.169B,,31.31B,37.77B,,2.282B,745.00M,3.027B,1.169B,4.196B,3.795B,3.795B,,,,7.991B,4.053B,285.00M,4.338B,3.923B,,6.484B,1.763B,,,12.58B,20.58B,,1.069B,16.88B,2.183B,2.212B,,,,,,-107.00M,17.19B,,AOR,Restated
1998-12,569.00M,844.00M,1.413B,,2.813B,,,1.455B,616.00M,,6.297B,51.34B,-27.61B,23.73B,,,4.604B,872.00M,,,1.038B,30.24B,36.54B,,2.17B,629.00M,2.799B,1.202B,4.001B,3.165B,3.165B,,,,7.166B,4.128B,265.00M,4.393B,3.645B,,3.645B,,,4.302B,12.34B,19.51B,,1.069B,16.94B,2.097B,2.293B,,,,,,-781.00M,17.03B,,AOR,Restated
1998-09,1.152B,616.00M,1.768B,,3.029B,830.00M,534.00M,1.364B,678.00M,,6.839B,50.95B,-27.44B,23.52B,,,4.612B,684.00M,,920.00M,,29.73B,36.57B,,2.187B,1.486B,3.673B,1.124B,4.797B,2.867B,2.867B,,,,7.664B,4.032B,277.00M,4.309B,3.605B,,5.289B,1.718B,,,11.32B,18.98B,,1.069B,17.54B,2.076B,2.315B,,,,,,-88.00M,17.59B,,AOR,Restated
1998-06,1.185B,525.00M,1.71B,,2.95B,876.00M,569.00M,1.445B,774.00M,,6.879B,50.25B,-27.14B,23.10B,,,4.733B,577.00M,,883.00M,,29.30B,36.18B,,2.207B,1.089B,3.296B,1.095B,4.391B,2.914B,2.914B,,,,7.305B,4.069B,280.00M,4.349B,3.46B,,5.15B,1.698B,,,11.20B,18.50B,,1.069B,17.47B,2.063B,2.144B,,,,,,-95.00M,17.67B,,AOR,Restated
1998-03,1.265B,501.00M,1.766B,,3.111B,884.00M,555.00M,1.439B,748.00M,,7.064B,49.61B,-26.79B,22.81B,,,4.618B,510.00M,,845.00M,,28.79B,35.85B,,2.319B,1.057B,3.376B,1.147B,4.523B,2.707B,2.707B,,,,7.23B,4.07B,292.00M,4.362B,3.39B,,5.096B,1.685B,,,11.14B,18.37B,,1.069B,17.29B,2.052B,2.157B,,,,,,-91.00M,17.48B,,AOR,Restated
1997-12,1.015B,655.00M,1.67B,,3.374B,,,1.378B,584.00M,,7.006B,49.23B,-26.56B,22.67B,,,4.496B,471.00M,,,829.00M,28.47B,35.47B,,2.735B,1.124B,3.859B,1.45B,5.309B,1.637B,1.637B,,,,6.946B,4.139B,292.00M,4.431B,3.215B,,3.215B,,,3.409B,11.06B,18.00B,,1.069B,17.18B,2.022B,1.977B,,,,,,-827.00M,17.47B,,AOR,
1997-09,991.00M,573.00M,1.564B,3.464B,3.464B,804.00M,605.00M,1.409B,804.00M,,7.241B,48.94B,-26.56B,22.38B,,,4.552B,,420.00M,881.00M,,28.23B,35.47B,,2.795B,1.438B,4.233B,1.339B,5.572B,1.753B,1.753B,,,,7.325B,4.15B,314.00M,4.464B,3.09B,,4.989B,1.64B,,,11.09B,18.42B,,1.069B,16.69B,2.008B,1.898B,,-68.00M,,,,-68.00M,17.05B,,AOR,Restated
1997-06,1.28B,447.00M,1.727B,3.436B,3.436B,772.00M,686.00M,1.458B,804.00M,,7.425B,48.17B,-26.13B,22.04B,,,4.379B,,348.00M,760.00M,,27.53B,34.96B,,2.614B,1.395B,4.009B,1.373B,5.382B,2.888B,2.888B,,,,8.27B,3.233B,320.00M,3.553B,3.018B,,4.961B,1.627B,,,10.14B,18.41B,,1.069B,16.34B,1.929B,1.97B,,-70.00M,,,,-70.00M,16.55B,,AOR,Restated
1997-03,1.385B,421.00M,1.806B,3.718B,3.718B,746.00M,589.00M,1.335B,842.00M,,7.701B,47.45B,-25.77B,21.68B,,,4.524B,,270.00M,738.00M,,27.22B,34.92B,,2.817B,1.299B,4.116B,1.371B,5.487B,2.865B,2.865B,,,,8.352B,3.586B,332.00M,3.918B,3.012B,,4.885B,1.619B,,,10.42B,18.77B,,1.069B,15.89B,1.88B,2.012B,,63.00M,,,,63.00M,16.14B,,AOR,Restated
1996-12,892.00M,745.00M,1.637B,,4.035B,,,1.431B,839.00M,,7.942B,46.94B,-25.44B,21.50B,,,4.463B,261.00M,,,692.00M,26.91B,34.85B,,3.502B,1.279B,4.781B,1.42B,6.201B,2.706B,2.706B,,,,8.907B,3.65B,338.00M,3.988B,2.851B,,2.851B,,,3.485B,10.32B,19.23B,,1.069B,15.41B,1.874B,2.024B,,,,,,96.00M,15.62B,,AOR,
1996-09,1.091B,436.00M,1.527B,,4.391B,778.00M,669.00M,1.447B,884.00M,,8.249B,48.32B,-26.86B,21.46B,,,4.471B,269.00M,,632.00M,,26.83B,35.08B,,3.057B,1.457B,4.514B,1.277B,5.791B,3.452B,3.452B,,,,9.243B,3.671B,352.00M,4.023B,2.676B,,4.693B,1.624B,,,10.34B,19.58B,,1.069B,15.30B,1.875B,2.063B,,117.00M,,,-800.00M,-683.00M,15.50B,,AOR,Restated
1996-06,1.052B,437.00M,1.489B,,4.332B,732.00M,847.00M,1.579B,898.00M,,8.298B,48.85B,-27.08B,21.77B,,,3.912B,147.00M,,529.00M,,26.36B,34.66B,,3.256B,1.254B,4.51B,1.281B,5.791B,3.377B,3.377B,,,,9.168B,3.685B,357.00M,4.042B,,,1.961B,1.613B,,2.676B,10.29B,19.46B,,1.069B,14.98B,1.868B,2.035B,,111.00M,,,,111.00M,15.20B,,AOR,Restated
1996-03,980.00M,449.00M,1.429B,,4.244B,754.00M,629.00M,1.383B,864.00M,,7.92B,48.39B,-26.73B,21.66B,,,4.111B,137.00M,,539.00M,,26.45B,34.37B,,3.212B,1.217B,4.429B,1.176B,5.605B,3.724B,3.724B,,,,9.329B,3.891B,383.00M,4.274B,,,1.964B,1.595B,,2.531B,10.36B,19.69B,,1.069B,14.44B,1.867B,2.038B,,138.00M,,,-800.00M,-662.00M,14.68B,,AOR,Restated
1995-12,621.00M,773.00M,1.394B,,4.014B,,,1.598B,861.00M,,7.867B,48.03B,-26.34B,21.70B,,,4.087B,149.00M,,,531.00M,26.46B,34.33B,,3.294B,1.088B,4.382B,1.257B,5.639B,3.806B,3.806B,,,,9.445B,4.133B,388.00M,4.521B,2.433B,,2.433B,,,3.576B,10.53B,19.98B,,1.069B,14.15B,1.863B,2.047B,,,,,,174.00M,14.36B,,AOR,
1995-09,783.00M,534.00M,1.317B,,3.79B,736.00M,815.00M,1.551B,929.00M,,7.587B,48.09B,-25.63B,22.46B,,,4.138B,145.00M,,519.00M,,27.26B,34.85B,,2.695B,1.212B,3.907B,1.133B,5.04B,3.758B,3.758B,,,,8.798B,4.472B,,4.472B,2.878B,,4.871B,1.576B,,,10.92B,19.72B,,1.069B,14.89B,1.862B,2.05B,,209.00M,,,-850.00M,-641.00M,15.13B,,AOR,Restated
1995-06,824.00M,532.00M,1.356B,,4.379B,705.00M,759.00M,1.464B,772.00M,,7.971B,47.57B,-25.19B,22.38B,,,4.288B,133.00M,,513.00M,,27.32B,35.29B,,3.098B,1.16B,4.258B,1.111B,5.369B,3.771B,3.771B,,,,9.14B,4.451B,,4.451B,2.803B,,4.837B,1.57B,,,10.86B,20.00B,,1.069B,14.93B,1.86B,2.055B,,340.00M,,,-850.00M,-510.00M,15.29B,,AOR,Restated
1995-03,608.00M,642.00M,1.25B,,3.957B,652.00M,623.00M,1.275B,766.00M,,7.248B,47.24B,-25.04B,22.20B,,,4.252B,138.00M,,510.00M,,27.10B,34.34B,,2.696B,990.00M,3.686B,1.107B,4.793B,4.205B,4.205B,,,,8.998B,4.08B,,4.08B,2.742B,,4.77B,1.57B,,,10.42B,19.42B,,1.069B,14.62B,1.859B,2.057B,,283.00M,,,-850.00M,-567.00M,14.93B,,AOR,Restated
1994-12,413.00M,893.00M,1.306B,,3.923B,,,1.71B,652.00M,,7.591B,46.81B,-24.64B,22.17B,,,3.991B,138.00M,,,514.00M,26.82B,34.41B,,2.99B,1.114B,4.104B,1.274B,5.378B,4.014B,4.014B,,,,9.392B,3.955B,173.00M,4.128B,2.674B,,2.674B,,,3.617B,10.42B,19.81B,,1.069B,14.46B,1.858B,2.063B,,,,,,175.00M,14.60B,,AOR,Restated
1994-09,1.275B,383.00M,1.658B,,4.075B,657.00M,1.09B,1.747B,1.231B,,8.711B,46.08B,-24.36B,21.72B,,,3.961B,101.00M,,504.00M,,26.28B,34.99B,,3.04B,1.072B,4.112B,1.519B,5.631B,4.432B,4.432B,,,,10.06B,4.129B,,4.129B,3.071B,,4.92B,1.565B,,,10.61B,20.68B,,1.069B,14.14B,1.857B,2.066B,,216.00M,,,-895.00M,-679.00M,14.32B,,AOR,Restated
