,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2005-12,1.203B,1.200B,103.77M,1.097B,,,37.04M,-132.34M,63.10M,,,,251.07M,845.62M,,,-132.34M,,748.22M,284.56M,463.66M,,1.859M,463.66M,545.67M,1.023B,176.97M,845.62M,0.96,0.0,,1.131,0.96,0.94,0.0,,1.107,0.94,480.63M,490.62M,0.02
2005-09,932.98M,934.44M,161.46M,772.99M,,,30.08M,11.62M,56.38M,,,,250.83M,522.16M,,,11.62M,,518.44M,174.68M,343.76M,,1.857M,343.76M,336.05M,686.53M,164.37M,522.16M,0.715,0.0,,0.6989,0.715,0.7,0.0,,0.6843,0.7,478.69M,489.80M,0.02
2005-06,782.87M,783.92M,137.38M,646.54M,,,30.11M,-40.54M,37.61M,,,,227.62M,418.92M,,,-40.54M,,386.88M,137.42M,249.46M,,1.858M,249.46M,275.59M,578.82M,159.90M,418.92M,0.52,0.0,,0.5749,0.52,0.51,0.0,,0.5637,0.51,476.50M,486.83M,0.02
2005-03,688.16M,688.16M,132.27M,555.88M,,,28.69M,-18.88M,41.91M,,,,223.62M,332.27M,,,-18.88M,,311.60M,108.90M,202.70M,,1.858M,202.70M,214.98M,485.28M,153.02M,332.27M,0.425,0.0,,0.4509,0.425,0.415,0.0,,0.4404,0.415,474.59M,484.23M,0.015
2004-12,689.74M,689.74M,89.23M,600.50M,,,34.15M,-151.84M,38.09M,,,-3.919M,212.45M,388.05M,,,-151.84M,,298.90M,92.14M,206.76M,,2.618M,206.76M,311.79M,532.18M,144.12M,388.05M,0.435,0.0,,0.6574,0.435,0.425,0.0,,0.6427,0.425,472.19M,482.49M,0.015
2004-09,571.16M,594.23M,129.94M,464.28M,,,29.58M,27.02M,29.95M,,,,189.78M,274.50M,,,27.02M,,262.34M,90.03M,172.31M,,2.758M,172.31M,154.56M,404.76M,130.26M,274.50M,0.36,0.0,,0.3222,0.36,0.355,0.0,,0.3179,0.355,469.64M,478.71M,0.015
2004-06,519.02M,519.02M,104.19M,414.83M,,,26.37M,-30.00M,29.79M,,,,172.38M,242.45M,,,-30.00M,,212.74M,67.81M,144.94M,,2.758M,144.94M,165.37M,358.67M,116.22M,242.45M,0.305,0.0,,0.3489,0.305,0.3,0.0,,0.343,0.3,465.55M,474.83M,0.015
2004-03,464.32M,464.32M,100.44M,363.88M,,,24.92M,-38.02M,36.08M,,,,174.80M,189.08M,,,-38.02M,,152.02M,51.17M,100.85M,,2.758M,100.85M,126.08M,302.88M,113.80M,189.08M,0.21,0.0,,0.2645,0.21,0.21,0.0,,0.2636,0.21,462.58M,470.48M,0.0125
2003-12,436.80M,436.80M,33.84M,402.97M,,,28.67M,-208.03M,22.62M,,,40.28M,212.83M,190.14M,,,-208.03M,,97.57M,23.06M,74.51M,0.00,2.758M,74.51M,233.37M,311.40M,121.26M,190.14M,0.1575,0.0,0.0,0.5031,0.1575,0.1525,0.0,0.0,0.4913,0.1525,459.68M,468.90M,0.0125
2003-09,432.73M,432.73M,107.24M,325.49M,,,26.38M,27.92M,21.36M,,,-26.00M,132.18M,193.31M,,,27.92M,,179.60M,62.18M,117.42M,,2.758M,117.42M,99.17M,303.75M,110.44M,193.31M,0.25,0.0,,0.2102,0.25,0.2475,0.0,,0.2083,0.2475,458.46M,465.48M,0.0125
