,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2013-12,580.19M,-12.00M,-39.47M,-51.46M,,915.26M,217.08M,109.51M,30.88M,-5.601M,27.99M,190.13M,-7.745M,35.45M,-30.77M,-31.27M,21.58M,177.38M,2.001B,-1.705B,,-1.705B,,153.72M,-1.551B,-401.46M,,-401.46M,,-8.222M,-8.222M,,,-51.45M,-51.45M,8.65M,5.827M,-446.65M,1.319B,3.141M,-3.749M,1.318B,,0.00,-401.46M,-8.222M,74.29M,92.24M
2013-09,462.50M,-8.183M,272.75M,264.57M,,928.80M,169.05M,85.92M,45.45M,-28.36M,19.72M,-48.94M,39.06M,52.21M,13.51M,62.29M,-53.31M,64.82M,2.012B,-1.922B,,-1.922B,,45.15M,-1.877B,-1.452M,,-1.452M,,-34.47M,-34.47M,,,-50.72M,-50.72M,9.307M,28.11M,-49.23M,1.228B,86.53M,4.271M,1.319B,,0.00,-1.452M,-34.47M,47.04M,21.82M
2013-06,659.69M,-13.15M,-122.58M,-135.73M,,910.53M,287.85M,37.97M,27.29M,-10.20M,38.97M,71.95M,37.14M,-28.88M,-45.11M,1.533M,37.78M,74.41M,1.891B,-1.737B,,-1.737B,,10.39M,-1.727B,-1.439M,,-1.439M,,-10.07M,-10.07M,,,-50.79M,-50.79M,12.77M,10.20M,-39.32M,1.108B,124.56M,-4.583M,1.228B,,0.00,-1.439M,-10.07M,118.97M,67.24M
2013-03,494.72M,-164.23M,172.01M,7.773M,,846.39M,200.78M,53.55M,30.44M,-11.67M,17.25M,-236.76M,-15.06M,195.07M,-47.19M,-52.93M,-57.42M,-214.29M,1.425B,-1.696B,,-1.696B,,536.58M,-1.160B,-1.427M,,-1.427M,,-11.02M,-11.02M,,,-46.22M,-46.22M,8.004M,11.94M,-38.72M,876.44M,226.47M,5.125M,1.108B,,0.00,-1.427M,-11.02M,54.44M,54.56M
2012-12,-505.00M,55.47M,89.12M,144.59M,,786.34M,-92.94M,1.020B,26.44M,-17.61M,14.64M,-66.51M,-1.996M,-65.53M,1.565M,-3.757M,-13.55M,-149.78M,1.227B,-1.551B,,-1.551B,,109.96M,-1.441B,-1.417M,,-1.417M,,-13.79M,-13.79M,,,-46.67M,-46.67M,23.17M,17.62M,-21.08M,1.113B,-234.82M,-1.367M,876.44M,,0.00,-1.417M,-13.79M,102.96M,103.59M
2012-09,355.49M,-67.38M,244.50M,177.12M,,825.85M,107.05M,62.88M,45.87M,-27.31M,-2.153M,-227.59M,-51.19M,-64.24M,-17.78M,67.23M,185.16M,-108.42M,1.436B,-1.740B,,-1.740B,,-83.37M,-1.824B,1.233B,,1.233B,,-22.14M,-22.14M,,,-45.52M,-45.52M,26.73M,25.78M,1.218B,280.37M,830.17M,2.077M,1.113B,,1.234B,-1.407M,-22.14M,94.92M,34.82M
2012-06,395.78M,-113.29M,-15.27M,-128.56M,,808.76M,168.68M,54.22M,27.13M,-5.464M,13.77M,205.37M,-113.78M,-40.74M,6.537M,-22.30M,126.22M,161.30M,1.496B,-2.014B,,-2.014B,,535.07M,-1.479B,0.00,,0.00,,-2.591M,-2.591M,,,-45.64M,-45.64M,12.79M,5.583M,-29.86M,294.06M,-13.49M,-0.204M,280.37M,,,0.00,-2.591M,78.17M,63.94M
2012-03,324.01M,-67.47M,-0.607M,-68.08M,,748.74M,110.15M,133.15M,28.34M,-16.65M,3.798M,-89.95M,10.21M,231.46M,-108.84M,-5.059M,-223.68M,-185.85M,1.078B,-2.050B,,-2.050B,,674.20M,-1.375B,0.00,,0.00,,-20.07M,-20.07M,,,-43.25M,-43.25M,20.20M,16.24M,-26.88M,615.73M,-324.60M,2.938M,294.06M,,,0.00,-20.07M,83.96M,33.50M
2011-12,120.70M,-492.91M,-48.58M,-145.74M,,693.53M,0.021M,499.62M,33.29M,0.00,71.50M,-210.82M,-9.012M,97.05M,,,95.38M,-36.04M,1.237B,-1.783B,,-1.783B,,34.76M,-1.748B,-220.00M,,-220.00M,-0.005M,-2.565M,-2.57M,,,,-43.04M,9.026M,-4.833M,-261.41M,1.387B,-772.94M,1.934M,615.73M,-0.005M,0.00,-220.00M,-2.565M,,
2011-09,540.88M,,-305.18M,-490.05M,,651.68M,293.15M,83.43M,41.63M,0.00,10.89M,36.34M,-40.55M,63.06M,,,81.82M,140.67M,1.272B,-1.705B,,-1.705B,,293.49M,-1.411B,0.00,,0.00,0.00,-4.621M,-4.621M,,,,-42.57M,2.268M,0.073M,-44.85M,1.577B,-184.02M,-6.688M,1.387B,0.00,0.00,0.00,-4.621M,,
