,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2005-06,282.70M,,282.70M,450.61M,,450.61M,52.19M,26.64M,54.37M,866.50M,10.19B,,10.19B,-4.739B,5.455B,,106.12M,5.561B,6.428B,439.53M,,,439.53M,,439.53M,,,,,52.35M,52.35M,112.89M,604.77M,1.117B,1.117B,1.058B,1.058B,,248.14M,2.423B,3.028B,301.44M,3.136B,38.39M,166.96M,98.94M,,,90.42M,3.399B
2005-03,173.38M,,173.38M,441.16M,,441.16M,48.74M,25.79M,43.00M,732.07M,9.934B,,9.934B,-4.647B,5.287B,,97.75M,5.385B,6.117B,400.80M,,,400.80M,90.91M,491.71M,,,,,20.29M,20.29M,50.78M,562.79M,1.120B,1.120B,1.029B,1.029B,,252.00M,2.401B,2.963B,301.38M,2.898B,31.48M,180.97M,98.88M,,,103.62M,3.154B
2004-12,20.98M,,20.98M,447.74M,,447.74M,40.04M,22.23M,55.82M,586.80M,9.599B,,9.599B,-4.498B,5.102B,,110.52M,5.212B,5.799B,424.58M,,,424.58M,51.12M,475.70M,,,,,103.93M,103.93M,52.57M,632.20M,1.078B,1.078B,902.35M,902.35M,,241.32M,2.221B,2.853B,300.07M,2.707B,21.05M,200.70M,98.83M,,,118.15M,2.945B
2004-09,81.91M,,81.91M,350.17M,,350.17M,30.74M,22.56M,72.30M,557.68M,9.070B,,9.070B,-4.312B,4.758B,,108.88M,4.867B,5.425B,339.30M,,,339.30M,59.17M,398.47M,,,,,66.75M,66.75M,59.21M,524.43M,1.063B,1.063B,915.80M,915.80M,,195.48M,2.174B,2.699B,349.98M,2.510B,15.59M,217.14M,148.73M,,,67.64M,2.726B
2004-06,67.84M,,67.84M,355.66M,,355.66M,30.25M,39.56M,57.11M,550.42M,,,8.616B,-4.149B,4.467B,,109.52M,4.577B,5.127B,319.54M,,,319.54M,50.16M,369.70M,,,,,36.26M,36.26M,100.10M,506.06M,1.086B,1.086B,876.41M,876.41M,,180.74M,2.143B,2.649B,349.87M,2.347B,7.478M,240.36M,148.62M,,,13.50M,2.478B
2004-03,95.72M,,95.72M,303.57M,,303.57M,23.76M,46.52M,34.29M,503.84M,8.385B,,8.385B,-4.049B,4.336B,,114.90M,4.451B,4.955B,296.46M,,,296.46M,51.30M,347.76M,,,,,14.27M,14.27M,130.99M,493.02M,1.086B,1.086B,879.92M,879.92M,,180.73M,2.146B,2.639B,349.77M,2.212B,8.18M,287.04M,148.52M,,,32.35M,2.316B
2003-12,4.443M,,4.443M,295.12M,7.976M,303.09M,21.92M,31.55M,35.01M,396.01M,8.189B,,8.189B,-3.940B,4.249B,,104.08M,4.353B,4.749B,282.38M,,,282.38M,,282.38M,,,,,73.61M,73.61M,120.53M,476.52M,1.109B,1.109B,769.13M,769.13M,,171.12M,2.049B,2.526B,349.66M,2.121B,1.625M,299.58M,148.42M,,,50.46M,2.223B
2003-09,184.49M,,184.49M,274.83M,,274.83M,20.79M,,77.86M,557.98M,7.496B,,7.496B,-3.792B,3.704B,,164.29M,3.868B,4.426B,252.21M,,,252.21M,38.72M,290.93M,,,,,,,63.00M,353.93M,1.011B,1.011B,797.01M,797.01M,,163.86M,1.972B,2.326B,349.56M,2.055B,2.801M,327.93M,148.31M,,,20.77M,2.100B
2003-06,150.97M,,150.97M,303.80M,,303.80M,18.97M,,79.04M,552.78M,7.270B,,7.270B,-3.675B,3.595B,,92.70M,3.688B,4.240B,226.41M,,,226.41M,29.78M,256.19M,,,,,,,66.93M,323.12M,1.011B,1.011B,766.53M,766.53M,,158.06M,1.935B,2.259B,349.45M,1.946B,0.029M,334.33M,148.21M,,,20.32M,1.982B
2003-03,6.833M,,6.833M,370.38M,,370.38M,18.28M,,99.71M,495.21M,7.021B,,7.021B,-3.539B,3.482B,,93.43M,3.575B,4.071B,222.76M,,,222.76M,35.14M,257.90M,,,,,,,73.39M,331.29M,1.044B,1.044B,721.32M,721.32M,,150.89M,1.916B,2.248B,349.35M,1.846B,1.396M,344.40M,148.10M,,,-29.42M,1.823B
2002-12,9.848M,,9.848M,259.31M,50.82M,310.13M,18.93M,,55.88M,394.79M,6.750B,,6.750B,-3.429B,3.322B,,97.67M,3.419B,3.814B,201.93M,,,201.93M,34.27M,236.20M,,,,,,,40.15M,276.35M,1.145B,1.145B,660.95M,660.95M,,59.18M,1.865B,2.142B,349.25M,1.724B,,335.89M,148.00M,,,-64.91M,1.672B
2002-09,7.782M,,7.782M,196.78M,,196.78M,18.10M,,90.71M,313.38M,6.584B,,6.584B,-3.301B,3.283B,,96.82M,3.380B,3.693B,176.86M,,,176.86M,33.37M,210.22M,,,,,,,58.56M,268.78M,1.091B,1.091B,613.68M,613.68M,,53.79M,1.758B,2.027B,349.14M,1.687B,,303.80M,147.89M,,,-66.94M,1.666B
2002-06,9.206M,,9.206M,204.34M,,204.34M,17.06M,,45.38M,275.99M,6.438B,,6.438B,-3.211B,3.227B,,86.32M,3.314B,3.590B,167.92M,,,167.92M,31.70M,199.62M,,,,,,,34.11M,233.73M,1.036B,1.036B,582.35M,582.35M,,52.02M,1.670B,1.904B,349.04M,1.666B,,281.50M,147.79M,,,-47.81M,1.686B
2002-03,5.403M,,5.403M,185.52M,,185.52M,18.30M,,57.00M,266.22M,,,6.224B,-3.099B,3.125B,,88.22M,3.213B,3.480B,166.96M,,,166.96M,,166.96M,,,,,,,94.68M,261.64M,975.66M,975.66M,563.35M,563.35M,,53.76M,1.593B,1.854B,348.93M,1.636B,,287.40M,147.69M,,,-72.54M,1.625B
2001-12,2.512M,,2.512M,194.62M,,194.62M,18.87M,,56.41M,272.42M,6.066B,,6.066B,-3.010B,3.056B,,85.71M,3.142B,3.414B,219.56M,,,219.56M,56.56M,276.12M,,,,,,,34.72M,310.85M,855.97M,855.97M,551.02M,551.02M,,53.52M,1.461B,1.771B,348.83M,1.669B,,304.78M,147.58M,,,-70.07M,1.643B
2001-09,11.34M,,11.34M,206.27M,,206.27M,21.58M,,97.00M,336.19M,5.851B,,5.851B,-2.890B,2.961B,,88.94M,3.050B,3.386B,257.68M,,,257.68M,,257.68M,,,,,,,124.82M,382.50M,701.02M,701.02M,557.18M,557.18M,,56.17M,1.314B,1.697B,348.72M,1.702B,4.603M,298.57M,147.48M,,,-67.60M,1.689B
2001-06,68.29M,,68.29M,244.20M,,244.20M,20.42M,,51.66M,384.58M,5.530B,,5.530B,-2.785B,2.745B,,81.61M,2.826B,3.211B,227.04M,,,227.04M,,227.04M,,,,,,,168.88M,395.92M,640.82M,640.82M,455.44M,455.44M,,59.96M,1.156B,1.552B,348.62M,1.638B,10.56M,286.12M,147.37M,,,-52.24M,1.659B
2001-03,30.85M,,30.85M,286.78M,,286.78M,20.31M,,20.98M,358.92M,5.251B,,5.251B,-2.682B,2.570B,,83.82M,2.653B,3.012B,241.40M,,,241.40M,,241.40M,,,,,,,164.68M,406.08M,644.87M,644.87M,372.51M,372.51M,,56.55M,1.074B,1.480B,348.52M,1.509B,9.687M,276.45M,147.27M,,,-58.43M,1.532B
2000-12,20.15M,,20.15M,342.58M,,342.58M,16.62M,,15.51M,394.86M,5.123B,,5.123B,-2.598B,2.525B,,81.38M,2.606B,3.001B,246.47M,,,246.47M,,246.47M,,,,,,,123.65M,370.12M,859.00M,859.00M,340.08M,340.08M,,51.13M,1.250B,1.620B,348.41M,1.301B,4.221M,237.26M,147.16M,,,-35.51M,1.381B
2000-09,16.71M,,16.71M,,,267.22M,16.61M,,30.60M,331.14M,,,4.943B,-2.499B,2.443B,,97.98M,2.541B,2.872B,216.77M,,,216.77M,,216.77M,,,,,,,72.98M,289.75M,945.17M,945.17M,324.74M,324.74M,,64.51M,1.334B,1.624B,348.31M,1.146B,1.904M,211.69M,147.06M,,,-36.57M,1.248B
2000-06,11.71M,,11.71M,,,225.60M,17.36M,,11.07M,265.75M,,,4.710B,-2.418B,2.292B,,94.08M,2.386B,2.652B,167.04M,,,167.04M,,167.04M,,,,,,,39.46M,206.50M,949.55M,949.55M,265.92M,265.92M,,66.62M,1.282B,1.489B,348.41M,1.037B,3.80M,194.12M,147.16M,-27.34M,-4.338M,-31.68M,1.163B
2000-03,33.36M,,33.36M,,,180.04M,16.95M,,6.741M,237.09M,,,4.626B,-2.331B,2.295B,,84.18M,2.379B,2.616B,187.44M,,,187.44M,,187.44M,,,,,,,48.28M,235.72M,940.92M,940.92M,243.43M,243.43M,,62.12M,1.246B,1.482B,348.38M,965.72M,2.842M,156.76M,147.14M,-21.91M,-4.383M,-26.29M,1.134B
1999-12,24.80M,,24.80M,,,148.20M,18.80M,,8.70M,200.50M,,,4.603B,-2.268B,2.335B,,75.40M,2.410B,2.611B,172.80M,,,172.80M,,172.80M,,,,,,,45.80M,218.60M,990.30M,990.30M,226.00M,226.00M,,46.30M,1.263B,1.481B,348.40M,930.90M,,128.30M,147.20M,-19.80M,-1.60M,-21.40M,1.130B
1999-09,18.80M,,18.80M,,,135.20M,20.50M,,27.90M,202.40M,,,4.783B,-2.459B,2.324B,,70.60M,2.395B,2.597B,153.00M,,,153.00M,,153.00M,,,,,,,59.10M,212.10M,1.165B,1.165B,233.50M,233.50M,,34.80M,1.434B,1.646B,201.20M,904.90M,,127.90M,,-25.30M,-1.30M,-26.60M,951.70M
1999-06,11.40M,,11.40M,,,172.30M,35.20M,,6.40M,225.30M,,,4.965B,-2.298B,2.667B,,69.90M,2.737B,2.962B,160.70M,,,160.70M,,160.70M,,,,,,,38.80M,199.50M,1.140B,1.140B,265.40M,265.40M,,47.20M,1.452B,1.652B,201.60M,854.80M,401.00M,117.10M,,-26.10M,-4.20M,-30.30M,1.31B
1999-03,13.10M,,13.10M,,,168.80M,38.40M,,7.40M,227.70M,,,4.903B,-2.222B,2.681B,,81.20M,2.762B,2.990B,176.20M,,,176.20M,,176.20M,,,,,,,45.40M,221.60M,1.170B,1.170B,256.50M,256.50M,,56.90M,1.484B,1.706B,,838.80M,,,,,,,1.285B
1998-12,6.30M,,6.30M,,,193.60M,39.60M,,6.90M,246.40M,,,4.814B,-2.138B,2.676B,,95.30M,2.772B,3.018B,206.30M,,,206.30M,,206.30M,,,,,,,56.30M,262.60M,1.143B,1.143B,260.30M,260.30M,,72.10M,1.475B,1.738B,,838.40M,,,,,,,1.280B
1998-09,9.20M,,9.20M,,,183.10M,35.10M,,7.90M,235.30M,,,4.763B,-2.098B,2.665B,,60.90M,2.726B,2.962B,213.80M,,,213.80M,,213.80M,,,,,,,54.70M,268.50M,1.074B,1.074B,273.70M,273.70M,,69.10M,1.417B,1.686B,,833.00M,,,,,,,1.276B
1998-06,13.60M,,13.60M,,,188.40M,34.80M,,8.30M,245.10M,,,4.488B,-2.028B,2.460B,,58.10M,2.518B,2.763B,202.90M,,,202.90M,,202.90M,,,,,,,36.30M,239.20M,850.90M,850.90M,291.50M,291.50M,,81.60M,1.224B,1.463B,,831.70M,,,,,,,1.300B
