,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2012-11,2.581B,,134.00M,584.00M,718.00M,718.00M,-104.00M,193.00M,26.00M,43.00M,-592.00M,-10.00M,-141.00M,-77.00M,,,-1.842B,-2.662B,795.00M,,-212.00M,,,-299.00M,-2.041B,,-2.552B,,4.974B,4.974B,235.00M,-2.996B,-2.761B,-291.00M,-291.00M,,33.00M,1.955B,,15.67B,198.00M,47.00M,15.91B,,235.00M,4.974B,0.00,-2.996B,,AOR,Restated
2012-08,2.034B,,127.00M,619.00M,746.00M,746.00M,64.00M,193.00M,58.00M,37.00M,2.63B,10.00M,-72.00M,-1.272B,,,1.243B,2.539B,5.671B,,-139.00M,,,-361.00M,-10.00M,,-510.00M,,-1.70B,-1.70B,517.00M,-3.076B,-2.559B,-292.00M,-292.00M,,31.00M,-4.52B,,14.96B,641.00M,71.00M,15.67B,,517.00M,0.00,-1.70B,-3.076B,,AOR,Restated
2012-05,3.452B,,136.00M,640.00M,776.00M,776.00M,209.00M,185.00M,33.00M,17.00M,-2.036B,11.00M,-138.00M,428.00M,,,1.028B,-707.00M,4.057B,,-217.00M,,,-1.869B,242.00M,,-1.844B,,1.70B,1.70B,220.00M,-2.399B,-2.179B,-296.00M,-296.00M,,26.00M,-749.00M,,13.78B,1.464B,-290.00M,14.96B,,220.00M,1.70B,0.00,-2.399B,,AOR,Restated
2012-02,2.497B,,124.00M,606.00M,730.00M,730.00M,-63.00M,176.00M,11.00M,14.00M,-100.00M,46.00M,-337.00M,28.00M,,,8.00M,-355.00M,3.01B,,-142.00M,,,-2.262B,1.814B,,-590.00M,,-255.00M,-255.00M,79.00M,-1.659B,-1.58B,-302.00M,-302.00M,,18.00M,-2.119B,,13.29B,301.00M,194.00M,13.78B,,79.00M,0.00,-255.00M,-1.659B,,AOR,Restated
2011-11,2.192B,,109.00M,592.00M,701.00M,701.00M,-21.00M,150.00M,26.00M,26.00M,-355.00M,36.00M,-45.00M,93.00M,,,-1.548B,-1.819B,1.255B,,-129.00M,,,-228.00M,733.00M,,376.00M,,0.00,0.00,252.00M,-998.00M,-746.00M,-303.00M,-303.00M,,29.00M,-1.02B,,13.16B,611.00M,-487.00M,13.29B,,252.00M,0.00,0.00,-998.00M,,AOR,Restated
2011-08,1.84B,,117.00M,592.00M,709.00M,709.00M,-116.00M,148.00M,15.00M,27.00M,2.483B,57.00M,469.00M,-1.215B,,,1.004B,2.798B,5.421B,,-160.00M,,,-343.00M,-5.82B,,-6.323B,,-1.15B,-1.15B,182.00M,-800.00M,-618.00M,-304.00M,-304.00M,,-139.00M,-2.211B,,16.16B,-3.113B,112.00M,13.16B,,182.00M,,-1.15B,-800.00M,,AOR,Restated
2011-05,3.209B,,85.00M,599.00M,684.00M,684.00M,-301.00M,127.00M,249.00M,26.00M,-2.106B,-19.00M,-247.00M,1.196B,,,795.00M,-381.00M,3.777B,,-78.00M,20.00M,20.00M,-174.00M,-187.00M,,-419.00M,,1.15B,1.15B,348.00M,-411.00M,-63.00M,-304.00M,-304.00M,,76.00M,859.00M,,11.86B,4.217B,82.00M,16.16B,,348.00M,1.15B,0.00,-411.00M,,AOR,Restated
2011-02,2.115B,,89.00M,612.00M,701.00M,701.00M,-18.00M,129.00M,-53.00M,18.00M,34.00M,-34.00M,-19.00M,-179.00M,,,-18.00M,-216.00M,2.676B,,-133.00M,85.00M,85.00M,-867.00M,1.947B,,1.032B,,-2.253B,-2.253B,294.00M,-245.00M,49.00M,-253.00M,-253.00M,,26.00M,-2.431B,,10.42B,1.277B,167.00M,11.86B,,294.00M,0.00,-2.253B,-245.00M,,AOR,Restated
2010-11,1.871B,,95.00M,614.00M,709.00M,709.00M,57.00M,124.00M,-76.00M,-2.00M,-599.00M,14.00M,-68.00M,194.00M,,,-1.28B,-1.739B,944.00M,,-121.00M,,,26.00M,-2.683B,,-2.778B,,-5.00M,-5.00M,565.00M,-255.00M,310.00M,-253.00M,-253.00M,,76.00M,128.00M,,12.02B,-1.706B,108.00M,10.42B,,565.00M,0.00,-5.00M,-255.00M,,AOR,Restated
2010-08,1.352B,,99.00M,603.00M,702.00M,702.00M,9.00M,130.00M,-10.00M,26.00M,1.942B,11.00M,348.00M,-1.427B,,,734.00M,1.608B,3.817B,,-118.00M,,,-832.00M,-2.966B,,-3.916B,,2.319B,2.319B,169.00M,-249.00M,-80.00M,-251.00M,-251.00M,,-28.00M,1.96B,,9.914B,1.861B,243.00M,12.02B,,169.00M,3.204B,-885.00M,-249.00M,,AOR,Restated
2010-05,2.363B,,102.00M,604.00M,706.00M,706.00M,-149.00M,126.00M,47.00M,-66.00M,-1.976B,55.00M,-35.00M,672.00M,,136.00M,,-659.00M,2.511B,,-69.00M,0.00,0.00,-39.00M,-442.00M,,-550.00M,,-1.074B,-1.074B,272.00M,-254.00M,18.00M,-251.00M,-251.00M,,136.00M,-1.171B,,9.331B,790.00M,-207.00M,9.914B,,272.00M,800.00M,-1.874B,-254.00M,,AOR,Restated
2010-02,1.19B,,73.00M,502.00M,575.00M,575.00M,-146.00M,122.00M,17.00M,23.00M,177.00M,18.00M,140.00M,-647.00M,,312.00M,,0.00,1.781B,,-61.00M,0.00,0.00,-5.175B,-1.944B,,-7.18B,,251.00M,251.00M,231.00M,-242.00M,-11.00M,-753.00M,-252.00M,,4.00M,-8.00M,,14.92B,-5.407B,-181.00M,9.331B,,231.00M,1.959B,-1.708B,-242.00M,,AOR,Restated
2009-11,1.458B,,62.00M,436.00M,498.00M,498.00M,-141.00M,104.00M,8.00M,16.00M,-433.00M,0.00,-16.00M,187.00M,,-1.03B,,-1.292B,651.00M,,-45.00M,,,-313.00M,-1.284B,,-1.642B,,0.00,0.00,124.00M,-252.00M,-128.00M,,-250.00M,,12.00M,-366.00M,,16.10B,-1.357B,178.00M,14.92B,,124.00M,0.00,0.00,-252.00M,,AOR,Restated
2009-08,1.124B,,61.00M,431.00M,492.00M,492.00M,-75.00M,84.00M,21.00M,40.00M,1.87B,0.00,251.00M,-651.00M,,582.00M,,2.052B,3.738B,,-55.00M,,,-79.00M,-813.00M,,-947.00M,,4.461B,4.461B,247.00M,-244.00M,3.00M,,-251.00M,,-4.00M,4.209B,,8.995B,7.00B,103.00M,16.10B,,247.00M,4.461B,0.00,-244.00M,,AOR,Restated
2009-05,1.891B,,65.00M,437.00M,502.00M,502.00M,-93.00M,81.00M,9.00M,117.00M,-1.512B,0.00,-191.00M,599.00M,,433.00M,54.00M,-617.00M,2.008B,,-38.00M,,,6.00M,-402.00M,,-434.00M,,-1.00B,-1.00B,312.00M,-268.00M,44.00M,,-250.00M,,5.00M,-1.201B,,8.211B,373.00M,411.00M,8.995B,,312.00M,0.00,-1.00B,-268.00M,,AOR,Restated
2009-02,1.329B,,64.00M,437.00M,501.00M,501.00M,-151.00M,88.00M,7.00M,29.00M,206.00M,0.00,-52.00M,147.00M,,,153.00M,454.00M,2.257B,,-92.00M,,,-100.00M,234.00M,,42.00M,,0.00,0.00,77.00M,-1.36B,-1.283B,,0.00,,-10.00M,-1.293B,,7.353B,1.006B,-148.00M,8.211B,,77.00M,0.00,0.00,-1.36B,,,Restated
2008-11,1.296B,,70.00M,426.00M,496.00M,496.00M,-98.00M,95.00M,6.00M,20.00M,-170.00M,,-9.00M,-28.00M,,-651.00M,-207.00M,-1.065B,750.00M,,-76.00M,,,-670.00M,1.025B,,279.00M,,0.00,0.00,91.00M,-1.844B,-1.753B,,0.00,-65.00M,79.00M,-1.739B,,8.553B,-710.00M,-490.00M,7.353B,,91.00M,0.00,0.00,-1.844B,,,Restated
2008-08,1.077B,,64.00M,413.00M,477.00M,477.00M,-53.00M,91.00M,36.00M,19.00M,1.812B,,397.00M,-1.267B,,651.00M,,1.593B,3.24B,,-323.00M,,,-395.00M,-1.768B,,-2.486B,,-4.00M,-4.00M,280.00M,-500.00M,-220.00M,,0.00,65.00M,-30.00M,-189.00M,,8.262B,565.00M,-274.00M,8.553B,,280.00M,0.00,-4.00M,-500.00M,,,Restated
2008-05,2.037B,13.00M,66.00M,345.00M,411.00M,411.00M,-5.00M,,,-141.00M,-1.805B,,-252.00M,697.00M,,925.00M,-88.00M,-523.00M,2.295B,,-48.00M,0.00,195.00M,-6.943B,-246.00M,,-7.237B,,,4.973B,241.00M,-503.00M,-262.00M,,,,100.00M,4.762B,,8.409B,-180.00M,33.00M,8.262B,,241.00M,,,-503.00M,,,Restated
2008-02,1.34B,-53.00M,65.00M,292.00M,357.00M,357.00M,-58.00M,,,86.00M,43.00M,,34.00M,69.00M,,-32.00M,18.00M,132.00M,1.804B,,-39.00M,153.00M,114.00M,-49.00M,-417.00M,,-352.00M,,,0.00,365.00M,-497.00M,-132.00M,,,,195.00M,63.00M,,6.733B,1.515B,161.00M,8.409B,,365.00M,,,-497.00M,,,
2007-11,1.304B,15.00M,70.00M,290.00M,360.00M,360.00M,-96.00M,,,95.00M,-444.00M,,-134.00M,128.00M,,-241.00M,-385.00M,-1.076B,602.00M,,-69.00M,,-69.00M,-105.00M,-345.00M,,-519.00M,,,-1.00M,365.00M,-493.00M,-128.00M,,,,105.00M,-24.00M,,6.455B,59.00M,219.00M,6.733B,,365.00M,,,-493.00M,,,
2007-08,840.00M,19.00M,67.00M,285.00M,352.00M,352.00M,24.00M,,,148.00M,1.381B,,161.00M,-679.00M,,,455.00M,1.318B,2.701B,,-87.00M,,-87.00M,-546.00M,-335.00M,,-968.00M,,,-1.361B,317.00M,-530.00M,-213.00M,,,,54.00M,-1.52B,,6.218B,213.00M,24.00M,6.455B,,317.00M,,,-530.00M,,,
