,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-08,6.455B,1.288B,7.743B,2.735B,284.00M,3.019B,,,,,430.00M,981.00M,,12.17B,,,,,,,3.489B,-1.856B,1.633B,13.54B,5.935B,19.48B,385.00M,645.00M,22.14B,34.32B,,298.00M,,298.00M,1.278B,1.576B,,,2.00M,2.00M,4.121B,4.121B,,1.098B,6.797B,6.236B,6.236B,1.121B,1.121B,,2.376B,9.733B,16.53B,,10.76B,6.619B,,,,407.00M,17.78B,,,
2007-05,6.218B,802.00M,7.02B,4.074B,515.00M,4.589B,,,,,306.00M,968.00M,,12.88B,0.00,204.00M,1.35B,1.769B,,136.00M,3.459B,-1.856B,1.603B,13.48B,5.964B,19.44B,,643.00M,21.69B,34.57B,,315.00M,,315.00M,1.55B,1.865B,,,1.358B,1.358B,3.492B,3.492B,,2.672B,9.387B,6.235B,6.235B,1.121B,1.121B,,910.00M,8.266B,17.65B,,10.29B,6.223B,,390.00M,13.00M,403.00M,16.92B,,,
2007-02,5.25B,1.195B,6.445B,2.795B,353.00M,3.148B,,,,,286.00M,785.00M,,10.66B,,,,,,,3.125B,-1.66B,1.465B,11.92B,4.731B,16.65B,,592.00M,18.70B,29.37B,,273.00M,,273.00M,1.153B,1.426B,,,3.00M,3.00M,2.948B,2.948B,,1.953B,6.33B,5.736B,5.736B,654.00M,654.00M,266.00M,592.00M,6.982B,13.31B,,10.00B,5.511B,,,,276.00M,15.79B,,,
2006-11,4.684B,3.141B,7.825B,2.543B,293.00M,2.836B,,,,,295.00M,706.00M,,11.66B,,,,,,,3.106B,-1.66B,1.446B,10.68B,4.559B,15.24B,,578.00M,17.26B,28.93B,,284.00M,,284.00M,1.082B,1.366B,,,168.00M,168.00M,2.77B,2.77B,,1.792B,6.096B,5.735B,5.735B,561.00M,561.00M,415.00M,606.00M,6.902B,13.00B,,0.00,5.367B,9.874B,,,273.00M,15.51B,,,
2006-08,5.446B,2.852B,8.298B,2.118B,229.00M,2.347B,,,,,321.00M,725.00M,,11.69B,,,,,,,3.097B,-1.66B,1.437B,10.53B,4.64B,15.17B,,551.00M,17.16B,28.85B,,223.00M,,223.00M,1.038B,1.261B,,,166.00M,166.00M,3.269B,3.269B,,2.002B,6.698B,5.737B,5.737B,573.00M,573.00M,323.00M,618.00M,6.928B,13.63B,,9.362B,5.295B,,,,242.00M,14.90B,,,
2006-05,6.659B,946.00M,7.605B,3.022B,398.00M,3.42B,,,,,235.00M,714.00M,,11.97B,0.00,200.00M,1.274B,1.511B,,66.00M,3.051B,-1.66B,1.391B,9.809B,4.528B,14.34B,,1.327B,17.06B,29.03B,,268.00M,,268.00M,1.584B,1.852B,,,159.00M,159.00M,2.83B,2.83B,,2.089B,6.93B,5.735B,5.735B,564.00M,564.00M,,788.00M,7.087B,14.02B,,9.246B,5.538B,,308.00M,-80.00M,228.00M,15.01B,,,
2006-02,6.921B,843.00M,7.764B,2.201B,264.00M,2.465B,,,,,232.00M,738.00M,,11.20B,,,,,,,2.956B,-1.581B,1.375B,,14.78B,14.78B,40.00M,1.072B,17.26B,28.46B,,233.00M,,233.00M,1.105B,1.338B,,,341.00M,341.00M,2.467B,2.467B,,1.72B,5.866B,5.741B,5.741B,799.00M,799.00M,,1.015B,7.555B,13.42B,,9.038B,5.828B,,,,177.00M,15.04B,,,
2005-11,2.837B,566.00M,3.403B,1.976B,229.00M,2.205B,,,,,187.00M,471.00M,,6.266B,,,,,,,2.947B,-1.581B,1.366B,,10.64B,10.64B,51.00M,1.028B,13.08B,19.35B,,240.00M,,240.00M,772.00M,1.012B,,,907.00M,907.00M,2.183B,2.183B,,1.461B,5.563B,156.00M,156.00M,950.00M,950.00M,,562.00M,1.668B,7.231B,,6.887B,5.063B,,,,165.00M,12.12B,,,
2005-08,3.79B,842.00M,4.632B,1.651B,196.00M,1.847B,,,,,234.00M,476.00M,,7.189B,,,,,,,2.985B,-1.581B,1.404B,,10.56B,10.56B,32.00M,416.00M,12.41B,19.60B,,228.00M,,228.00M,747.00M,975.00M,,,1.522B,1.522B,2.63B,2.636B,6.00M,1.414B,6.547B,157.00M,157.00M,978.00M,978.00M,,583.00M,1.718B,8.265B,,6.792B,4.334B,,,,205.00M,11.33B,,,
2005-05,3.894B,877.00M,4.771B,2.57B,330.00M,2.90B,,,,,291.00M,486.00M,,8.448B,0.00,296.00M,1.242B,1.485B,,,3.023B,-1.581B,1.442B,7.003B,3.373B,10.38B,,421.00M,12.24B,20.69B,,230.00M,,230.00M,1.079B,1.309B,,,2.693B,2.693B,2.289B,2.289B,,1.772B,8.063B,159.00M,159.00M,1.01B,1.01B,,618.00M,1.787B,9.85B,,6.596B,4.043B,,,,198.00M,10.84B,,,
2005-02,7.221B,1.911B,9.132B,1.856B,244.00M,2.10B,,,,,345.00M,344.00M,,11.92B,,,,,,,3.056B,-1.585B,1.471B,,9.944B,9.944B,,431.00M,11.85B,23.77B,,307.00M,,307.00M,753.00M,1.06B,,,7.209B,7.209B,1.935B,1.935B,,2.033B,12.24B,159.00M,159.00M,920.00M,920.00M,,581.00M,1.66B,13.90B,,6.372B,3.245B,,,,253.00M,9.87B,,,
2004-11,5.905B,3.531B,9.436B,1.532B,212.00M,1.744B,,,,,95.00M,298.00M,,11.57B,,,,,,,2.669B,-1.585B,1.084B,,,,81.00M,399.00M,1.564B,13.14B,,260.00M,,260.00M,1.314B,1.574B,,,9.00M,9.00M,1.497B,1.497B,,904.00M,3.984B,162.00M,162.00M,17.00M,17.00M,,375.00M,554.00M,4.538B,,5.578B,2.705B,,,,316.00M,8.599B,,,
2004-08,3.349B,6.096B,9.445B,1.233B,177.00M,1.41B,,,,,117.00M,305.00M,,11.28B,,,,,,,2.642B,-1.585B,1.057B,,,,52.00M,302.00M,1.411B,12.69B,,222.00M,,222.00M,1.278B,1.50B,,,9.00M,9.00M,1.782B,1.782B,,956.00M,4.247B,163.00M,163.00M,12.00M,12.00M,,250.00M,425.00M,4.672B,,5.46B,2.398B,,,,158.00M,8.016B,,,
2004-05,4.138B,4.449B,8.587B,2.012B,322.00M,2.334B,,,,,114.00M,301.00M,,11.34B,0.00,162.00M,1.051B,1.44B,,,2.653B,-1.585B,1.068B,,80.00M,80.00M,92.00M,187.00M,1.427B,12.76B,,191.00M,,191.00M,1.625B,1.816B,,,9.00M,9.00M,1.497B,1.497B,,950.00M,4.272B,163.00M,163.00M,59.00M,59.00M,,274.00M,496.00M,4.768B,,5.456B,2.383B,,,,156.00M,7.995B,,,
2004-02,4.192B,3.826B,8.018B,1.545B,225.00M,1.77B,,,,,113.00M,333.00M,,10.23B,,,,,,,2.574B,-1.494B,1.08B,,236.00M,236.00M,165.00M,,1.481B,11.72B,,188.00M,,188.00M,1.482B,1.67B,,,,,1.355B,1.355B,,715.00M,3.74B,170.00M,170.00M,151.00M,151.00M,,248.00M,569.00M,4.309B,,5.329B,1.828B,,,,249.00M,7.406B,,,
2003-11,4.173B,3.901B,8.074B,1.547B,209.00M,1.756B,,,,,116.00M,361.00M,,10.31B,,,,,,,2.567B,-1.494B,1.073B,,235.00M,235.00M,162.00M,,1.47B,11.78B,,212.00M,,212.00M,,212.00M,,,152.00M,152.00M,1.349B,1.349B,,2.285B,3.998B,169.00M,169.00M,151.00M,151.00M,,260.00M,580.00M,4.578B,,5.28B,1.78B,,,,139.00M,7.199B,,,
2003-08,4.24B,3.164B,7.404B,1.346B,184.00M,1.53B,,,,,108.00M,371.00M,,9.413B,,,,,,,2.575B,-1.494B,1.081B,,241.00M,241.00M,197.00M,283.00M,1.802B,11.22B,,225.00M,,225.00M,1.22B,1.445B,,,152.00M,152.00M,1.603B,1.603B,,986.00M,4.186B,168.00M,168.00M,150.00M,150.00M,,209.00M,527.00M,4.713B,,5.146B,1.347B,,,,9.00M,6.502B,,,
2003-05,4.737B,1.782B,6.519B,1.92B,301.00M,2.221B,,,,,106.00M,381.00M,,9.227B,0.00,153.00M,999.00M,1.404B,,,2.556B,-1.494B,1.062B,,,,100.00M,578.00M,1.74B,10.97B,,228.00M,,228.00M,1.477B,1.705B,,,153.00M,153.00M,1.409B,1.409B,,891.00M,4.158B,175.00M,175.00M,89.00M,89.00M,,225.00M,489.00M,4.647B,,5.101B,1.092B,,,,127.00M,6.32B,,,
2003-02,4.088B,1.952B,6.04B,1.421B,218.00M,1.639B,,,,,104.00M,461.00M,,8.244B,,,,,,,2.249B,-1.35B,899.00M,,357.00M,357.00M,224.00M,224.00M,1.704B,9.948B,,223.00M,,223.00M,1.189B,1.412B,,,153.00M,153.00M,1.225B,1.225B,,1.029B,3.819B,162.00M,162.00M,175.00M,175.00M,,208.00M,545.00M,4.364B,,4.921B,657.00M,,,,6.00M,5.584B,,,
2002-11,3.013B,2.468B,5.481B,1.529B,205.00M,1.734B,,,,,125.00M,448.00M,,7.788B,,,,,,,2.299B,-1.35B,949.00M,,369.00M,369.00M,232.00M,414.00M,1.964B,9.752B,,216.00M,,216.00M,1.186B,1.402B,,,,,1.248B,1.248B,,1.109B,3.759B,313.00M,313.00M,169.00M,169.00M,,213.00M,695.00M,4.454B,,4.842B,540.00M,,,,-84.00M,5.298B,,,
2002-08,3.875B,2.544B,6.419B,1.362B,187.00M,1.549B,,,,,128.00M,448.00M,,8.544B,,,,,,,2.323B,-1.35B,973.00M,,415.00M,415.00M,243.00M,237.00M,1.868B,10.41B,,222.00M,,222.00M,1.105B,1.327B,,,,,,,,2.655B,3.982B,311.00M,311.00M,175.00M,175.00M,,209.00M,695.00M,4.677B,,4.982B,853.00M,,,,-100.00M,5.735B,,,
2002-05,3.095B,2.746B,5.841B,2.036B,293.00M,2.329B,,,,,106.00M,452.00M,,8.728B,0.00,126.00M,849.00M,1.362B,,,2.337B,-1.35B,987.00M,,446.00M,446.00M,233.00M,406.00M,2.072B,10.80B,,228.00M,,228.00M,1.245B,1.473B,,,,,1.241B,1.241B,,1.246B,3.96B,298.00M,298.00M,204.00M,204.00M,,221.00M,723.00M,4.683B,,5.029B,1.21B,,,,-122.00M,6.117B,,,
2002-02,3.459B,2.152B,5.611B,1.621B,210.11M,1.832B,,,,,121.78M,,457.72M,8.022B,,,,,,,2.314B,-1.329B,984.77M,,,,,1.368B,2.353B,10.37B,,238.30M,,238.30M,,238.30M,2.059M,,2.059M,2.059M,,,,3.324B,3.565B,300.89M,300.89M,310.17M,310.17M,,209.54M,820.60M,4.385B,,4.973B,1.235B,,,,-218.42M,5.990B,,,
2001-11,2.468B,2.492B,4.960B,1.813B,214.77M,2.027B,,,,,599.73M,,,7.587B,,,,,,,2.338B,-1.329B,1.009B,,,,,1.689B,2.699B,10.29B,,265.72M,,265.72M,1.291B,1.557B,1.238M,,1.238M,1.238M,,,,2.175B,3.733B,300.73M,300.73M,332.42M,332.42M,,214.48M,847.63M,4.580B,,4.947B,910.42M,,,,-152.17M,5.705B,,,
2001-08,3.916B,2.136B,6.051B,1.760B,203.47M,1.963B,,,,,562.60M,,,8.577B,,,,,,,2.356B,-1.329B,1.027B,,899.76M,899.76M,,682.18M,2.609B,11.19B,,236.78M,,236.78M,1.317B,1.554B,3.527M,,3.527M,3.527M,,,,2.509B,4.067B,300.87M,300.87M,403.06M,403.06M,,195.97M,899.90M,4.967B,,4.835B,1.400B,,,,-16.06M,6.219B,,,
2001-05,4.449B,1.438B,5.887B,2.432B,282.00M,2.714B,,,,,362.00M,,,8.963B,0.00,107.00M,753.00M,1.444B,,,2.304B,-1.329B,975.00M,,716.00M,716.00M,,376.00M,2.067B,11.03B,,270.00M,,270.00M,1.498B,1.768B,,,3.00M,3.00M,,,,2.146B,3.917B,301.00M,301.00M,328.00M,328.00M,,206.00M,835.00M,4.752B,,4.821B,1.61B,,,,-154.00M,6.278B,,,
2001-02,4.129B,855.90M,4.985B,1.952B,,1.952B,,,,,521.68M,,,7.459B,,,,,,,2.184B,-1.237B,946.27M,,774.10M,774.10M,,271.33M,1.992B,9.451B,,277.70M,,277.70M,1.308B,1.585B,,,2.814M,2.814M,,,,1.717B,3.306B,300.93M,300.93M,325.22M,325.22M,,194.86M,821.01M,4.127B,,3.708B,1.729B,,,,-112.68M,5.324B,,,
2000-11,4.166B,190.48M,4.356B,1.936B,,1.936B,,,,,531.53M,,,6.823B,,,,,,,2.179B,-1.237B,941.79M,,838.89M,838.89M,,319.62M,2.100B,8.924B,,282.74M,,282.74M,1.201B,1.484B,,,2.596M,2.596M,,,,1.681B,3.168B,300.80M,300.80M,337.62M,337.62M,,191.26M,829.68M,3.997B,,3.949B,1.063B,,,,-85.39M,4.926B,,,
2000-08,4.837B,225.48M,5.063B,1.696B,162.85M,1.859B,,,,,336.86M,,,7.259B,,,,,,,2.174B,-1.237B,936.76M,,1.247B,1.247B,,70.00M,2.254B,9.513B,,253.24M,,253.24M,1.180B,1.433B,,,3.66M,3.66M,,,,1.870B,3.307B,300.73M,300.73M,355.66M,355.66M,,178.13M,834.52M,4.142B,,,3.845B,,,,,5.371B,,,
2000-05,7.429B,333.00M,7.762B,2.534B,256.00M,2.79B,,,,,331.00M,,,10.88B,,,,,,,2.125B,-1.191B,934.00M,,827.00M,827.00M,,433.00M,2.194B,13.08B,,287.00M,,287.00M,1.452B,1.739B,,,3.00M,3.00M,,,,4.12B,5.862B,301.00M,301.00M,266.00M,266.00M,,187.00M,754.00M,6.616B,,3.112B,3.344B,,,,5.00M,6.461B,,,
2000-02,2.268B,499.90M,2.768B,1.849B,183.74M,2.032B,,,,,345.33M,,,5.145B,,,,,,,2.144B,-1.178B,966.68M,,1.018B,1.018B,,219.17M,2.204B,7.349B,,224.69M,,224.69M,1.207B,1.431B,,,2.234M,2.234M,,,,1.376B,2.809B,304.77M,304.77M,178.35M,178.35M,,72.60M,555.72M,3.365B,,,3.651B,,,,332.99M,3.984B,,,
1999-11,1.317B,816.61M,2.134B,1.769B,171.26M,1.940B,,,,,325.92M,,,4.400B,,,,,,,2.099B,-1.133B,966.40M,,717.16M,717.16M,,292.81M,1.976B,6.376B,,244.67M,,244.67M,1.131B,1.376B,,,3.184M,3.184M,,,,1.092B,2.471B,300.66M,300.66M,130.62M,130.62M,,73.67M,504.95M,2.976B,,,2.888B,,,,512.44M,3.401B,,,
1999-08,1.718B,1.004B,2.722B,1.514B,161.70M,1.676B,,,,,391.03M,,,4.789B,,,,,,,2.063B,-1.097B,966.10M,,517.05M,517.05M,,307.67M,1.791B,6.579B,,255.37M,,255.37M,1.023B,1.278B,,,3.58M,3.58M,,,,1.268B,2.549B,300.81M,300.81M,157.64M,157.64M,,71.15M,529.60M,3.079B,,,2.504B,,,,996.84M,3.500B,,,
1999-05,1.786B,777.05M,2.563B,2.238B,240.79M,2.479B,,,,,405.51M,,,5.447B,,,,,,,2.023B,-1.036B,987.48M,,476.48M,476.48M,,348.42M,1.812B,7.260B,,283.90M,,283.90M,1.345B,1.629B,,,3.638M,3.638M,,,,1.414B,3.046B,304.14M,304.14M,135.89M,135.89M,,77.94M,517.96M,3.564B,,1.476B,2.267B,,,,-47.40M,3.695B,,,
1999-02,1.504B,684.68M,2.189B,1.564B,,1.564B,,,,,312.70M,,271.06M,4.336B,,,,,,,1.962B,-984.27M,978.14M,,386.60M,386.60M,,401.11M,1.766B,6.102B,,255.39M,,255.39M,1.004B,1.260B,,,2.603M,2.603M,,,,1.016B,2.278B,304.14M,304.14M,106.89M,106.89M,,71.84M,482.87M,2.761B,,,3.254B,,,,,3.342B,,,
1998-11,1.349B,559.32M,1.908B,1.604B,,1.604B,,,,,314.85M,,260.62M,4.088B,,,,,,,1.908B,-930.93M,976.66M,,,,,582.06M,1.559B,5.647B,,296.96M,,296.96M,990.02M,1.287B,,,7.878M,7.878M,,,,957.60M,2.252B,304.20M,304.20M,16.35M,16.35M,,58.26M,378.82M,2.631B,,,2.492B,,,,,3.015B,,,
1998-08,1.628B,673.81M,2.302B,1.351B,,1.351B,,,,,254.62M,,226.45M,4.134B,,,,,,,1.806B,-853.29M,952.85M,,,,,604.24M,1.557B,5.691B,,246.00M,,246.00M,884.43M,1.130B,,,3.60M,3.60M,,,,1.101B,2.235B,304.20M,304.20M,15.57M,15.57M,,55.73M,375.50M,2.610B,,,2.218B,,,,,3.081B,,,
1998-05,1.274B,645.52M,1.919B,1.857B,207.54M,2.065B,,,,,338.83M,,,4.323B,0.00,89.75M,565.93M,1.069B,8.983M,,1.733B,-798.98M,934.35M,,276.09M,276.09M,,285.52M,1.496B,5.819B,,239.70M,,239.70M,1.064B,1.303B,,,2.924M,2.924M,,,,1.178B,2.484B,304.34M,304.34M,15.86M,15.86M,,57.10M,377.29M,2.861B,,976.28M,2.023B,,,,-41.77M,2.958B,,,
1998-02,977.50M,539.32M,1.517B,1.323B,,1.323B,,,,,261.04M,,233.61M,3.334B,,,,,,,1.671B,-750.96M,920.34M,,,,,495.16M,1.416B,4.750B,,202.56M,,202.56M,761.11M,963.67M,,,13.41M,13.41M,,,,826.36M,1.803B,304.50M,304.50M,8.344M,8.344M,,56.44M,369.28M,2.173B,,,2.293B,,,,,2.577B,,,
1997-11,994.26M,520.13M,1.514B,1.321B,,1.321B,,,,,266.00M,,210.63M,3.312B,,,,,,,1.612B,-712.55M,898.97M,,,,,551.36M,1.450B,4.763B,,206.64M,,206.64M,702.79M,909.43M,,,9.992M,9.992M,,,,804.66M,1.724B,304.60M,304.60M,8.153M,8.153M,,57.30M,370.05M,2.094B,,,1.882B,,,,,2.669B,,,
1997-08,1.007B,481.61M,1.488B,1.183B,,1.183B,,,,,265.78M,,197.33M,3.135B,,,,,,,1.538B,-656.01M,882.02M,,,,,580.20M,1.462B,4.597B,,173.96M,,173.96M,747.19M,921.14M,,,4.913M,4.913M,,,,887.42M,1.813B,300.74M,300.74M,7.91M,7.91M,,29.65M,338.30M,2.152B,,,1.695B,,,,,2.445B,,,
1997-05,890.16M,323.03M,1.213B,1.540B,168.47M,1.709B,,,,,348.97M,,,3.271B,0.00,85.98M,486.21M,898.43M,6.653M,,1.477B,-608.33M,868.95M,,,,,484.27M,1.353B,4.624B,,185.44M,,185.44M,804.91M,990.36M,,,3.361M,3.361M,,,,928.42M,1.922B,300.84M,300.84M,7.402M,7.402M,,24.23M,332.46M,2.255B,,696.02M,1.686B,,-12.48M,,-12.48M,2.370B,,,
1997-02,736.17M,306.90M,1.043B,1.102B,,1.102B,,,,,219.25M,,210.84M,2.575B,,,,,,,1.349B,-573.43M,775.80M,,,,,389.28M,1.165B,3.740B,,147.75M,,147.75M,606.40M,754.15M,9.47M,0.88M,10.35M,10.35M,,,,575.16M,1.340B,300.95M,300.95M,7.877M,7.877M,,24.03M,332.86M,1.673B,,,1.844B,,,,,2.068B,,,
1996-11,559.38M,319.29M,878.67M,1.084B,,1.084B,,,,,179.21M,,185.48M,2.327B,,,,,,,1.311B,-539.27M,771.37M,,,,,362.16M,1.134B,3.461B,,163.59M,,163.59M,550.67M,714.26M,11.02M,1.065M,12.08M,12.08M,,,,571.42M,1.298B,0.964M,0.964M,3.413M,3.413M,,22.81M,27.19M,1.325B,,,1.674B,,,,,2.136B,,,
1996-08,743.26M,252.52M,995.79M,899.94M,,899.94M,,,,,170.00M,,168.92M,2.235B,,,,,,,1.221B,-489.05M,731.56M,,,,,364.41M,1.096B,3.331B,,165.82M,,165.82M,495.41M,661.23M,4.767M,1.028M,5.795M,5.795M,,,,640.98M,1.308B,0.853M,0.853M,3.884M,3.884M,,22.03M,26.76M,1.335B,,,1.495B,,,,,1.996B,,,
1996-05,715.74M,125.17M,840.91M,1.085B,,1.085B,,,,,171.56M,,187.14M,2.284B,0.00,83.41M,344.07M,696.35M,4.764M,,1.129B,-442.84M,685.75M,,,,,387.02M,1.073B,3.357B,,169.90M,,169.90M,563.60M,733.50M,5.623M,,5.623M,5.623M,,,,715.84M,1.455B,0.897M,0.897M,9.207M,9.207M,,21.73M,31.83M,1.487B,,475.83M,1.382B,,12.41M,,12.41M,1.870B,,,
1996-02,612.67M,97.08M,709.74M,774.52M,,774.52M,,,,,142.14M,,149.50M,1.776B,,,,,,,1.053B,-409.67M,642.99M,,,,,344.14M,987.12M,2.763B,,153.60M,,153.60M,398.66M,552.25M,8.185M,1.70M,9.885M,9.885M,,,,507.86M,1.070B,81.08M,81.08M,8.996M,8.996M,,11.80M,101.88M,1.172B,,,1.436B,,,,,1.591B,,,
1995-11,497.73M,56.74M,554.46M,766.92M,,766.92M,,,,,131.63M,,138.40M,1.591B,,,,,,,980.91M,-377.92M,602.99M,,,,,335.89M,938.88M,2.530B,,129.24M,,129.24M,383.16M,512.41M,7.772M,2.123M,9.895M,9.895M,,,,434.12M,956.42M,81.24M,81.24M,19.50M,19.50M,,11.44M,112.18M,1.069B,,,1.099B,,,,,1.462B,,,
1995-08,475.59M,101.71M,577.30M,611.06M,,611.06M,,,,,122.25M,,123.29M,1.434B,,,,,,,904.55M,-347.18M,557.37M,,,,,358.14M,915.51M,2.349B,,113.79M,,113.79M,324.03M,437.82M,7.782M,2.603M,10.38M,10.38M,,,,426.87M,875.07M,81.35M,81.35M,38.31M,38.31M,,48.77M,168.43M,1.044B,,,907.90M,,,,,1.306B,,,
1995-05,480.20M,105.70M,585.90M,764.70M,,764.70M,,,,,135.50M,,131.10M,1.617B,,,,,,,858.40M,-323.40M,535.00M,,,,,272.30M,807.30M,2.424B,,124.80M,,124.80M,402.90M,527.70M,6.20M,3.40M,9.60M,9.60M,,,,517.80M,1.055B,81.70M,81.70M,10.40M,10.40M,,65.90M,158.00M,1.213B,,,854.10M,,,,,1.211B,,,
1995-02,276.90M,,276.90M,,,684.30M,,,,,,,194.80M,1.156B,,,,,,,787.30M,-299.70M,487.60M,,,,,266.80M,754.40M,1.910B,,115.20M,,115.20M,,115.20M,,,9.90M,9.90M,,,,648.30M,773.40M,81.90M,81.90M,26.50M,26.50M,,85.60M,194.00M,967.40M,,,964.70M,,,,,943.00M,,,
1994-11,221.10M,,221.10M,,,647.60M,,,,,,,168.20M,1.037B,,,,,,,718.40M,-276.20M,442.20M,,,,,265.30M,707.50M,1.744B,,127.30M,,127.30M,,127.30M,,,8.60M,8.60M,,,,586.10M,722.00M,82.40M,82.40M,31.40M,31.40M,,85.90M,199.70M,921.70M,,,704.90M,,,,,822.70M,,,
1994-08,462.50M,,462.50M,,,466.90M,,,,,,,153.50M,1.083B,,,,,,,624.30M,-235.50M,388.80M,,,,,150.70M,539.50M,1.622B,,103.00M,,103.00M,,103.00M,,,12.60M,12.60M,,,,556.50M,672.10M,82.70M,82.70M,40.10M,40.10M,,47.40M,170.20M,842.30M,,,549.80M,,,,,780.10M,,,
1994-05,404.80M,,404.80M,575.60M,,575.60M,,,,,,,95.20M,1.076B,,,,,,,614.00M,-235.50M,378.50M,,,,,140.90M,519.40M,1.595B,,95.80M,,95.80M,,95.80M,,,6.90M,6.90M,,,,579.40M,682.10M,82.80M,82.80M,38.90M,38.90M,,50.60M,172.30M,854.40M,,,488.60M,,,,,740.60M,,,
1994-02,254.40M,,254.40M,,,449.90M,,,,,,,135.20M,839.50M,,,,,,,542.90M,-201.30M,341.60M,,,,,147.60M,489.20M,1.329B,,90.50M,,90.50M,,90.50M,,,7.70M,7.70M,,,,460.80M,559.00M,84.10M,84.10M,20.90M,20.90M,,11.00M,116.00M,675.00M,,,501.60M,,,,,653.70M,,,
1993-11,194.70M,,194.70M,,,471.80M,,,,,,,128.90M,795.40M,,,,,,,482.00M,-201.30M,280.70M,,,,,153.20M,433.90M,1.229B,,77.40M,,77.40M,,77.40M,,,9.60M,9.60M,,,,441.80M,528.80M,84.70M,84.70M,11.30M,11.30M,,11.40M,107.40M,636.20M,,,431.90M,,,,,593.10M,,,
1993-08,179.00M,,179.00M,,,455.40M,,,,,,,129.90M,764.30M,,,,,,,478.70M,-201.30M,277.40M,,,,,150.40M,427.80M,1.192B,,73.20M,,73.20M,,73.20M,,,11.90M,11.90M,,,,446.60M,531.70M,85.70M,85.70M,7.10M,7.10M,,13.70M,106.50M,638.20M,,,369.80M,,,,,553.90M,,,
1993-05,284.60M,,284.60M,,,478.80M,,,,,,,78.90M,842.30M,,,,,,,390.50M,-201.30M,189.20M,,,,,152.50M,341.70M,1.184B,,72.90M,,72.90M,,72.90M,,,10.70M,10.70M,,,,467.70M,551.30M,86.40M,86.40M,8.20M,8.20M,,10.10M,104.70M,656.00M,,,332.40M,,,,,528.00M,,,
1993-02,186.00M,,186.00M,,,310.50M,,,,,,,211.00M,707.50M,,,,,,,297.50M,-111.70M,185.80M,,101.80M,101.80M,,15.30M,302.90M,1.010B,,56.20M,,56.20M,,56.20M,,,10.30M,10.30M,,,,384.10M,450.60M,87.30M,87.30M,5.50M,5.50M,,9.50M,102.30M,552.90M,,,338.40M,,,,,457.50M,,,
1992-11,131.40M,,131.40M,,,314.40M,,,,,,,209.00M,654.80M,,,,,,,308.70M,-111.70M,197.00M,,101.90M,101.90M,,15.10M,314.00M,968.80M,,56.80M,,56.80M,,56.80M,,,17.50M,17.50M,,,,346.60M,420.90M,95.10M,95.10M,8.30M,8.30M,,9.40M,112.80M,533.70M,,,309.30M,,,,,435.10M,,,
1992-08,166.00M,,166.00M,,,320.50M,,,,,,,196.00M,682.50M,,,,,,,322.10M,-111.70M,210.40M,,98.50M,98.50M,,15.10M,324.00M,1.006B,,63.60M,,63.60M,,63.60M,,,20.10M,20.10M,,,,392.70M,476.40M,95.70M,95.70M,11.60M,11.60M,,9.10M,116.40M,592.80M,,,275.80M,,,,,413.70M,,,
1992-05,153.30M,,153.30M,,,401.00M,,,,,,,86.40M,640.70M,,,,,,,318.70M,-111.70M,207.00M,,93.70M,93.70M,,14.20M,314.90M,955.60M,,62.80M,,62.80M,,62.80M,,,16.50M,16.50M,,,,326.70M,406.00M,95.90M,95.90M,10.10M,10.10M,,8.60M,114.60M,520.60M,,,265.80M,,,,,435.00M,,,
1992-02,108.40M,,108.40M,,,320.60M,,,,,,,82.00M,511.00M,,,,,,,321.10M,-111.70M,209.40M,,,,,100.40M,309.80M,820.80M,,49.80M,,49.80M,,49.80M,,,24.30M,24.30M,,,,241.60M,315.70M,95.60M,95.60M,8.90M,8.90M,,8.20M,112.70M,428.40M,,,237.00M,,,,,392.40M,,,
