,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2001-06,4.140B,4.140B,,,,-56.10M,92.70M,-92.70M,,-56.10M,92.70M,-92.70M,2.553B,-92.70M,0.00,-768.30M,-1.417B,1.90M,,-202.50M,,-1.415B,-1.361B,92.70M,,-2.394,0.0033,,,-2.300,-2.391,,-2.394,0.0033,,,-2.300,-2.391,,592.31M,592.31M,0.05,,AOR,
2001-03,4.929B,4.929B,,,,,86.30M,-86.30M,,,86.30M,-86.30M,2.432B,-86.30M,0.00,328.40M,525.40M,0.20M,-53.30M,69.70M,,472.30M,525.40M,86.30M,,0.8891,-0.0899,0.00,,0.8891,0.7992,,0.8891,-0.0899,-0.0900,,0.8891,0.7992,,592.28M,592.28M,0.0417,,AOR,
2000-12,4.906B,4.906B,,,,,90.40M,-90.40M,,,90.40M,-90.40M,1.985B,-90.40M,3.136B,295.50M,461.70M,,,39.10M,,474.80M,461.70M,3.226B,,0.7823,0.02,,,0.7823,0.8023,,0.7823,,,,0.7823,0.8023,,572.17M,591.68M,0.0417,,AOR,Restated
2000-09,5.757B,5.757B,,,,,92.90M,-92.90M,,,92.90M,-92.90M,2.839B,-92.90M,0.00,379.10M,679.60M,,,85.00M,,679.60M,679.60M,92.90M,,1.149,0.00,,,1.149,1.149,,1.149,0.00,,,1.149,1.149,,592.19M,592.19M,0.0417,,AOR,
2000-06,5.314B,5.314B,,,,,85.20M,-85.20M,,,85.20M,-85.20M,2.537B,-85.20M,0.00,300.90M,510.60M,,,52.60M,,510.60M,510.60M,85.20M,,0.8625,0.00,,,0.8625,0.8625,,0.8625,0.00,,,0.8625,0.8625,,592.79M,592.79M,0.0417,,AOR,
2000-03,4.656B,4.656B,,,,,88.40M,-88.40M,,,88.40M,-88.40M,1.887B,-88.40M,0.00,114.20M,183.60M,,,40.60M,,183.60M,183.60M,88.40M,,0.2997,0.00,,,0.2997,0.2997,,0.2997,0.00,,,0.2997,0.2997,,610.21M,610.21M,0.0417,,AOR,
1999-12,4.859B,4.859B,,,,,67.60M,-67.60M,,,67.60M,-67.60M,-299.50M,-67.60M,944.20M,-730.40M,-207.80M,,0.00,-29.50M,,-207.80M,-207.80M,1.012B,,-0.3089,-0.4814,0.00,,-0.3089,-0.7903,,-0.3089,-0.4814,0.0054,,-0.3089,-0.7903,,602.03M,666.67M,0.0417,,AOR,Restated
1999-09,5.514B,5.514B,,,,,91.10M,-91.10M,,,91.10M,-91.10M,2.164B,-91.10M,0.00,165.20M,271.30M,,,31.30M,,271.30M,271.30M,91.10M,,0.4196,0.00,,,0.4196,0.4196,,0.4196,0.00,,,0.4196,0.4196,,646.60M,646.60M,0.0417,,,
1999-06,5.612B,5.612B,,,,,81.90M,-81.90M,,,81.90M,-81.90M,2.107B,-81.90M,0.00,160.20M,254.30M,,,57.80M,,254.30M,254.30M,81.90M,,0.3896,0.00,,,0.3896,0.3896,,0.3896,0.00,,,0.3896,0.3896,,652.70M,652.70M,0.0417,,,
1999-03,5.480B,5.480B,,1.070B,1.070B,,113.70M,-113.70M,,1.070B,113.70M,-113.70M,2.042B,-113.70M,0.00,99.50M,203.30M,,-157.90M,58.00M,,45.40M,203.30M,113.70M,,0.3030,-0.2364,0.00,,0.3030,0.0666,,0.3030,-0.2364,-0.2316,,0.3030,0.0666,,681.68M,681.68M,0.0417,,,
1998-12,5.040B,5.040B,,1.069B,1.069B,,86.90M,-86.90M,,1.069B,86.90M,-86.90M,-752.20M,-86.90M,1.077B,-886.50M,-315.80M,,,15.50M,,-315.80M,-315.80M,1.164B,,-0.4555,0.00,,,-0.4555,-0.4555,,-0.4555,0.00,,,-0.4555,-0.4555,,679.22M,689.45M,0.0417,,AOR,Restated
1998-09,5.992B,5.992B,,1.262B,1.262B,-30.80M,89.30M,-89.30M,,1.231B,89.30M,-89.30M,2.630B,-89.30M,0.00,384.90M,617.10M,,,62.70M,,617.10M,647.90M,89.30M,,0.8958,0.00,,,0.9405,0.8958,,0.8958,0.00,,,0.9405,0.8958,,688.90M,688.90M,0.0417,,,
1998-06,5.429B,5.429B,,918.10M,918.10M,,99.20M,-99.20M,,918.10M,99.20M,-99.20M,1.952B,-99.20M,0.00,168.80M,247.20M,,,101.90M,,247.20M,247.20M,99.20M,,0.3596,0.00,,,0.3596,0.3596,,0.3596,0.00,,,0.3596,0.3596,,687.35M,687.35M,0.0417,,,
1998-03,4.825B,4.825B,,1.044B,1.044B,,93.80M,-93.80M,,1.044B,93.80M,-93.80M,1.395B,-93.80M,0.00,-21.70M,-83.70M,,,78.00M,,-83.70M,-83.70M,93.80M,,-0.1232,0.00,,,-0.1232,-0.1232,,-0.1232,0.00,,,-0.1232,-0.1232,,679.33M,679.33M,0.0417,,,
1997-12,5.339B,5.339B,,1.191B,1.191B,,84.00M,-84.00M,,1.191B,84.00M,-84.00M,-315.00M,-84.00M,1.593B,-825.70M,292.90M,,,91.20M,,292.90M,292.90M,1.677B,,0.4241,0.00,,,0.4241,0.4241,,0.4241,0.00,,,0.4241,0.4241,,691.17M,691.17M,0.0417,,AOR,Restated
1997-09,5.111B,5.111B,,859.30M,859.30M,,88.30M,-88.30M,,859.30M,88.30M,-88.30M,1.776B,-88.30M,0.00,134.30M,197.60M,,,84.10M,,197.60M,197.60M,88.30M,,0.2864,0.00,,,0.2864,0.2864,,0.2864,0.00,,,0.2864,0.2864,,689.99M,689.99M,0.0417,,,
1997-06,4.749B,4.749B,,750.80M,750.80M,,76.30M,-76.30M,,750.80M,76.30M,-76.30M,1.402B,-76.30M,0.00,69.70M,63.80M,,,71.60M,,63.80M,63.80M,76.30M,,0.0932,0.00,,,0.0932,0.0932,,0.0932,0.00,,,0.0932,0.0932,,684.26M,684.26M,0.0417,,,
1997-03,4.939B,4.939B,,791.30M,791.30M,,74.80M,-74.80M,,791.30M,74.80M,-74.80M,1.594B,-74.80M,0.00,126.40M,239.30M,,,57.40M,,239.30M,239.30M,74.80M,,0.3463,0.00,,,0.3463,0.3463,,0.3463,0.00,,,0.3463,0.3463,,690.98M,690.98M,0.0417,,,
1996-12,5.137B,5.137B,,755.70M,755.70M,,77.70M,-77.70M,,755.70M,77.70M,-77.70M,-1.259B,-77.70M,2.408B,-1.431B,247.80M,,,61.40M,,247.80M,247.80M,2.486B,,0.3600,0.00,,,0.3600,0.3600,,0.3600,0.00,,,0.3600,0.3600,,691.35M,699.12M,0.0417,,AOR,Restated
1996-09,5.216B,5.216B,,882.80M,882.80M,,79.70M,-79.70M,,882.80M,79.70M,-79.70M,1.782B,-79.70M,0.00,194.60M,388.60M,,,58.80M,,388.60M,388.60M,79.70M,,0.5628,0.00,,,0.5628,0.5628,,0.5628,0.00,,,0.5628,0.5628,,690.51M,690.51M,0.0417,,,
1996-06,5.045B,5.045B,,806.30M,806.30M,,69.80M,-69.80M,,806.30M,69.80M,-69.80M,1.725B,-69.80M,0.00,226.40M,378.70M,,,53.30M,,378.70M,378.70M,69.80M,,0.5428,0.00,,,0.5428,0.5428,,0.5428,0.00,,,0.5428,0.5428,,697.69M,697.69M,0.0417,,,
1996-03,5.044B,5.044B,,762.00M,762.00M,,90.80M,-90.80M,,762.00M,90.80M,-90.80M,1.752B,-90.80M,0.00,218.70M,368.80M,,,59.00M,,368.80M,368.80M,90.80M,,0.5228,0.00,,,0.5228,0.5228,,0.5228,0.00,,,0.5228,0.5228,,705.42M,705.42M,0.0417,,,
1995-12,5.495B,5.495B,,,1.450B,,,,,1.450B,,,-1.258B,,2.839B,-1.497B,616.80M,,,32.20M,,745.10M,745.10M,2.839B,,1.055,0.00,,,1.055,1.055,,1.055,0.00,,,1.055,1.055,,705.43M,707.82M,0.0417,,AOR,Restated
1995-09,4.960B,4.960B,,542.20M,542.20M,,89.60M,-89.60M,,542.20M,89.60M,-89.60M,1.765B,-89.60M,0.00,223.10M,386.40M,,,27.40M,,386.40M,386.40M,89.60M,,0.5461,0.00,,,0.5461,0.5461,,0.5461,0.00,,,0.5461,0.5461,,707.54M,707.54M,0.0208,,,
1995-06,4.519B,4.519B,,420.60M,420.60M,,62.70M,-62.70M,,420.60M,62.70M,-62.70M,1.652B,-62.70M,0.00,224.80M,419.80M,,,42.90M,,419.80M,419.80M,62.70M,,0.5927,0.00,,,0.5927,0.5927,,0.5927,0.00,,,0.5927,0.5927,,708.24M,708.24M,0.0208,,,
1995-03,3.703B,3.703B,,383.90M,383.90M,,43.10M,-43.10M,,383.90M,43.10M,-43.10M,1.189B,-43.10M,0.00,103.70M,214.50M,,,25.80M,,214.50M,214.50M,43.10M,,0.3030,0.00,,,0.3030,0.3030,,0.3030,0.00,,,0.3030,0.3030,,707.85M,707.85M,0.0208,,,
1994-12,3.371B,3.371B,,,396.40M,,,,,396.40M,,,-239.80M,,266.10M,46.40M,71.80M,,,16.10M,,79.10M,79.10M,266.10M,,0.1103,0.00,,,0.1103,0.1103,,0.1103,0.00,,,0.1103,0.1103,,715.65M,726.50M,0.0208,,AOR,Restated
1994-09,3.545B,3.545B,,393.70M,393.70M,,42.40M,-42.40M,,393.70M,42.40M,-42.40M,1.144B,-42.40M,0.00,30.10M,134.20M,,,9.90M,,134.20M,134.20M,42.40M,,0.1865,0.00,,,0.1865,0.1865,,0.1865,0.00,,,0.1865,0.1865,,719.65M,719.65M,0.0208,,,
1994-06,3.393B,3.393B,,371.40M,371.40M,,45.40M,-45.40M,,371.40M,45.40M,-45.40M,1.032B,-45.40M,0.00,-10.00M,60.30M,,,-5.70M,,60.30M,60.30M,45.40M,,0.0832,0.00,,,0.0832,0.0832,,0.0832,0.00,,,0.0832,0.0832,,724.32M,724.32M,0.0208,,,
1994-03,3.205B,3.205B,,,,,44.40M,-44.40M,,,44.40M,-44.40M,538.30M,-44.40M,0.00,-57.60M,-5.90M,,,-13.00M,,-5.90M,-5.90M,44.40M,,-0.0100,0.00,,,-0.0100,-0.0100,,-0.0100,0.00,,,-0.0100,-0.0100,,590.59M,590.59M,0.0208,,,
1993-12,3.351B,3.351B,,,372.85M,,,,,372.85M,,,-92.26M,,689.36M,-66.27M,138.42M,,,16.17M,,138.42M,138.42M,689.36M,,0.1831,0.00,,,0.1831,0.1831,,0.1831,0.00,,,0.1831,0.1831,,756.92M,773.15M,0.0208,,,Restated
1993-09,3.417B,3.417B,,366.50M,366.50M,,33.70M,-33.70M,,366.50M,33.70M,-33.70M,847.70M,-33.70M,0.00,-158.40M,-89.60M,,,-34.50M,,-89.60M,-89.60M,33.70M,,-0.1166,0.00,,,-0.1166,-0.1166,,-0.1166,0.00,,,-0.1166,-0.1166,,768.77M,768.77M,0.0208,,,
1993-06,3.375B,3.375B,,384.30M,384.30M,,42.30M,-42.30M,,384.30M,42.30M,-42.30M,768.70M,-42.30M,0.00,50.70M,203.60M,,,13.40M,,203.60M,203.60M,42.30M,,0.2631,0.00,,,0.2631,0.2631,,0.2631,0.00,,,0.2631,0.2631,,773.94M,773.94M,0.0208,,,
1993-03,3.543B,3.543B,,382.40M,382.40M,,38.40M,-38.40M,,382.40M,38.40M,-38.40M,638.70M,-38.40M,0.00,127.30M,341.70M,,,53.60M,,341.70M,341.70M,38.40M,,0.4396,0.00,,,0.4396,0.4396,,0.4396,0.00,,,0.4396,0.4396,,777.37M,777.37M,0.0208,,,
1992-12,3.434B,3.434B,,,,,35.80M,-35.80M,,,35.80M,-35.80M,-766.70M,-35.80M,0.00,-455.00M,-639.60M,,160.80M,-155.70M,,-478.80M,-639.60M,35.80M,,-0.8125,0.2031,0.00,,-0.8125,-0.6094,,-0.8125,0.2031,0.2012,,-0.8125,-0.6094,,835.52M,835.52M,0.0208,,,
1992-09,3.419B,3.419B,,,,,37.40M,-37.40M,,,37.40M,-37.40M,1.238B,-37.40M,0.00,-22.60M,128.60M,,,1.30M,,128.60M,128.60M,37.40M,,0.1665,0.00,,,0.1665,0.1665,,0.1665,0.00,,,0.1665,0.1665,,772.37M,772.37M,0.0208,,,
1992-06,3.443B,3.443B,,325.70M,325.70M,,36.00M,-36.00M,,325.70M,36.00M,-36.00M,1.299B,-36.00M,0.00,62.00M,272.70M,,,26.40M,,272.70M,272.70M,36.00M,,0.3463,0.00,,,0.3463,0.3463,,0.3463,0.00,,,0.3463,0.3463,,787.42M,787.42M,0.0208,,,
1992-03,3.397B,3.397B,,309.60M,309.60M,,39.60M,-39.60M,,309.60M,39.60M,-39.60M,1.185B,-39.60M,0.00,27.00M,216.60M,,,20.30M,,216.60M,216.60M,39.60M,,0.2697,0.00,,,0.2697,0.2697,,0.2697,0.00,,,0.2697,0.2697,,803.03M,803.03M,0.0208,,,
1991-12,3.597B,3.597B,,275.50M,275.50M,,40.00M,-40.00M,,275.50M,40.00M,-40.00M,1.369B,-40.00M,0.00,64.00M,272.20M,,,42.70M,,272.20M,272.20M,40.00M,,0.3363,0.00,,,0.3363,0.3363,,0.3363,0.00,,,0.3363,0.3363,,804.03M,804.03M,0.0208,,,
1991-09,3.361B,3.361B,,245.60M,245.60M,,40.30M,-40.30M,,245.60M,40.30M,-40.30M,1.115B,-40.30M,0.00,63.30M,205.40M,,,17.80M,,205.40M,205.40M,40.30M,,0.2531,0.00,,,0.2531,0.2531,,0.2531,0.00,,,0.2531,0.2531,,811.60M,811.60M,0.0208,,,
1991-06,3.450B,3.450B,,243.00M,243.00M,,40.60M,-40.60M,,243.00M,40.60M,-40.60M,1.214B,-40.60M,0.00,84.80M,290.70M,,,27.70M,,290.70M,290.70M,40.60M,,0.3496,0.00,,,0.3496,0.3496,,0.3496,0.00,,,0.3496,0.3496,,831.40M,831.40M,0.0208,,,
1991-03,3.212B,3.212B,,306.20M,306.20M,,42.70M,-42.70M,,306.20M,42.70M,-42.70M,998.50M,-42.70M,0.00,5.40M,136.00M,,,21.20M,,136.00M,136.00M,42.70M,,0.1632,0.00,,,0.1632,0.1632,,0.1632,0.00,,,0.1632,0.1632,,833.49M,833.49M,0.0208,,,
1990-12,3.276B,3.276B,,308.50M,308.50M,,47.20M,-47.20M,,308.50M,47.20M,-47.20M,991.90M,-47.20M,0.00,-16.80M,116.90M,,,11.50M,,116.90M,116.90M,47.20M,,0.1432,0.00,,,0.1432,0.1432,,0.1432,0.00,,,0.1432,0.1432,,842.80M,842.80M,0.0208,,,
1990-09,3.286B,3.286B,,290.20M,290.20M,,38.40M,-38.40M,,290.20M,38.40M,-38.40M,1.217B,-38.40M,0.00,61.90M,271.20M,,,22.20M,,271.20M,271.20M,38.40M,,0.3097,0.00,,,0.3097,0.3097,,0.3097,0.00,,,0.3097,0.3097,,875.71M,875.71M,0.0208,,,
1990-06,3.091B,3.091B,,276.50M,276.50M,,43.10M,-43.10M,,276.50M,43.10M,-43.10M,1.047B,-43.10M,0.00,6.10M,192.90M,,,16.30M,,192.90M,192.90M,43.10M,,0.2164,0.00,,,0.2164,0.2164,,0.2164,0.00,,,0.2164,0.2164,,891.20M,891.20M,0.0208,,,
1990-03,2.984B,2.984B,,259.70M,259.70M,,42.80M,-42.80M,,259.70M,42.80M,-42.80M,1.004B,-42.80M,0.00,7.80M,223.60M,,,18.10M,,223.60M,223.60M,42.80M,,0.2498,0.00,,,0.2498,0.2498,,0.2498,0.00,,,0.2498,0.2498,,895.30M,895.30M,0.0208,,,
1989-12,3.033B,3.033B,,278.20M,278.20M,,36.20M,-36.20M,,278.20M,36.20M,-36.20M,1.110B,-36.20M,0.00,-68.90M,191.00M,,,10.50M,,191.00M,191.00M,36.20M,,0.2131,0.00,,,0.2131,0.2131,,0.2131,0.00,,,0.2131,0.2131,,897.33M,897.33M,0.0208,,,
1989-09,2.795B,2.795B,,240.60M,240.60M,,30.90M,-30.90M,,240.60M,30.90M,-30.90M,866.80M,-30.90M,0.00,-34.90M,182.60M,,,29.00M,,182.60M,182.60M,30.90M,,0.2031,0.00,,,0.2031,0.2031,,0.2031,0.00,,,0.2031,0.2031,,898.93M,898.93M,0.0208,,,
1989-06,2.987B,2.987B,,,,,,,,,,,,,,,329.00M,,,,,329.00M,329.00M,,,0.3663,0.00,,,0.3663,0.3663,,0.3663,0.00,,,0.3663,0.3663,,898.17M,898.17M,0.0208,,,
1989-03,2.622B,2.622B,,,,,,,,,,,,,,,204.50M,,,,,204.50M,204.50M,,,0.2264,0.00,,,0.2264,0.2264,,0.2264,0.00,,,0.2264,0.2264,,903.11M,903.11M,0.0208,,,
1988-12,2.960B,2.960B,,,,,,,,,,,,,,,264.10M,0.00,,,,264.10M,264.10M,,,0.2897,0.00,,,0.2897,0.2897,,0.2897,0.00,,,0.2897,0.2897,,911.40M,911.40M,0.0208,,,
1988-09,2.616B,2.616B,,,,,,,,,,,,,,,161.00M,,,,,161.00M,161.00M,,,0.1765,0.00,,,0.1765,0.1765,,0.1765,0.00,,,0.1765,0.1765,,912.23M,912.23M,0.0208,,,
1988-06,2.792B,2.792B,,,,,,,,,,,,,,,251.90M,,,,,251.90M,251.90M,,,0.2764,0.00,,,0.2764,0.2764,,0.2764,0.00,,,0.2764,0.2764,,911.39M,911.39M,0.0208,,,
1988-03,2.497B,2.497B,,,,,,,,,,,,,,,213.40M,18.10M,,,,231.50M,213.40M,,,0.2331,0.0200,,,0.2331,0.2531,,0.2331,0.0200,,,0.2331,0.2531,,914.73M,914.73M,0.0208,,,
1987-12,2.584B,2.584B,,,,,,,,,,,,,,,251.70M,,,,,291.50M,251.70M,,,0.2731,0.0433,,,0.2731,0.3164,,0.2731,0.0433,,,0.2731,0.3164,,907.06M,907.06M,0.0208,,,
1987-09,2.23B,2.23B,,,,,,,,,,,,,,,125.40M,,,,,125.40M,125.40M,,,0.1365,0.00,,,0.1365,0.1365,,0.1365,0.00,,,0.1365,0.1365,,918.48M,918.48M,0.0208,,,
1987-06,2.406B,2.406B,,,,,,,,,,,,,,,192.20M,,,,,192.20M,192.20M,,,0.2065,0.00,,,0.2065,0.2065,,0.2065,0.00,,,0.2065,0.2065,,930.93M,930.93M,0.0208,,,
1987-03,2.110B,2.110B,,,,,,,,,,,,,,,87.10M,,,,,87.10M,87.10M,,,0.0899,0.00,,,0.0899,0.0899,,0.0899,0.00,,,0.0899,0.0899,,968.75M,968.75M,0.0208,,,
1986-12,2.332B,2.332B,,,,,,,,,,,,,,,101.60M,,,,,101.60M,101.60M,,,0.1032,0.00,,,0.1032,0.1032,,0.1032,0.00,,,0.1032,0.1032,,981.28M,981.28M,0.0208,,,
1986-09,2.094B,2.094B,,,,,,,,,,,,,,,156.70M,,,,,156.70M,156.70M,,,0.1598,0.00,,,0.1598,0.1598,,0.1598,0.00,,,0.1598,0.1598,,980.36M,980.36M,0.0208,,,
1986-06,2.20B,2.20B,,,,,,,,,,,,,,,175.60M,,,,,175.60M,175.60M,,,0.1798,0.00,,,0.1798,0.1798,,0.1798,0.00,,,0.1798,0.1798,,976.53M,976.53M,0.0208,,,
1986-03,2.00B,2.00B,,,,,,,,,,,,,,,111.60M,,,,,111.60M,111.60M,,,0.1199,0.00,,,0.1199,0.1199,,0.1199,0.00,,,0.1199,0.1199,,930.93M,930.93M,0.0208,,,
1985-12,1.441B,1.441B,,,,,,,,,,,,,,,114.10M,1.00M,,,,115.10M,114.10M,,,0.1166,0.0033,,,0.1166,0.1199,,0.1166,0.0033,,,0.1166,0.1199,,963.18M,963.18M,0.0208,,,
1985-09,1.693B,1.693B,,,,,,,,,,,,,,,145.80M,71.90M,,,,217.70M,145.80M,,,0.1498,0.0733,,,0.1498,0.2231,,0.1498,0.0733,,,0.1498,0.2231,,975.75M,975.75M,0.0208,,,
1985-06,1.498B,1.498B,,,,,,,,,,,,,,,125.20M,10.60M,,,,135.80M,125.20M,,,0.1299,0.0133,,,0.1299,0.1432,,0.1299,0.0133,,,0.1299,0.1432,,948.39M,948.39M,0.0208,,,
1985-03,1.388B,1.388B,,,,,,,,,,,,,,,75.00M,,,,,75.00M,75.00M,,,0.0766,0.00,,,0.0766,0.0766,,0.0766,0.00,,,0.0766,0.0766,,979.24M,979.24M,0.0208,,,
1984-12,1.388B,1.388B,,,,,,,,,,,,,,,122.10M,,,,,122.10M,122.10M,,,0.1265,0.00,,,0.1265,0.1265,,0.1265,0.00,,,0.1265,0.1265,,957.42M,957.42M,,,,
1984-09,1.351B,1.351B,,,,,,,,,,,,,,,72.10M,,,,,72.10M,72.10M,,,0.0733,0.00,,,0.0733,0.0733,,0.0733,0.00,,,0.0733,0.0733,,984.17M,984.17M,,,,
1984-06,1.286B,1.286B,,,,,,,,,,,,,,,57.30M,,,,,57.30M,57.30M,,,0.0599,0.00,,,0.0599,0.0599,,0.0599,0.00,,,0.0599,0.0599,,955.96M,955.96M,,,,
1984-03,1.196B,1.196B,,,,,,,,,,,,,,,52.80M,,,,,52.80M,52.80M,,,0.0566,0.00,,,0.0566,0.0566,,0.0566,0.00,,,0.0566,0.0566,,932.70M,932.70M,,,,
