,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-04,108.52M,,108.52M,70.41M,,70.41M,4.619M,75.61M,,80.23M,74.42M,,,117.63M,451.20M,,,,,,,87.02M,-38.24M,48.78M,190.69M,72.72M,263.42M,,12.17M,324.38M,775.58M,77.82M,,77.82M,123.48M,201.30M,,,,,,,36.68M,36.68M,,8.931M,246.90M,,,,,,,,,31.44M,278.34M,0.73M,-12.14M,494.93M,,,,13.71M,497.24M
2007-01,138.15M,,138.15M,79.11M,,79.11M,,75.21M,6.986M,82.19M,62.72M,,,97.84M,460.01M,,,,,,,87.91M,-38.24M,49.67M,188.18M,81.08M,269.26M,,14.54M,333.48M,793.49M,61.82M,,61.82M,94.87M,156.68M,,,,,,,9.122M,9.122M,,36.40M,202.21M,,,,,,,,,55.92M,258.13M,0.728M,39.11M,487.52M,,,,8.003M,535.36M
2006-10,132.48M,,132.48M,143.20M,,143.20M,7.183M,88.34M,,95.52M,88.47M,,,85.21M,544.87M,0.0,20.64M,38.65M,26.45M,,,85.73M,-38.24M,47.50M,187.68M,74.60M,262.28M,,14.15M,323.93M,868.81M,123.95M,,123.95M,117.05M,241.00M,,,,,,,11.32M,11.32M,,11.23M,263.55M,,,,,,,,,54.87M,318.41M,0.727M,60.66M,482.10M,,,,6.902M,550.39M
2006-07,179.13M,,179.13M,98.03M,,98.03M,,75.24M,7.985M,83.22M,94.70M,,,75.90M,530.98M,0.0,20.00M,43.92M,33.92M,,,97.84M,-51.35M,46.48M,186.88M,77.57M,264.45M,,13.16M,324.09M,855.07M,80.08M,,80.08M,115.22M,195.30M,,,,,,,10.24M,10.24M,,40.52M,246.05M,,,,,,,,,53.99M,300.04M,0.726M,74.67M,473.70M,,,,5.932M,555.03M
2006-04,141.07M,,141.07M,130.33M,,130.33M,,82.20M,9.622M,91.82M,97.63M,,38.32M,73.68M,572.84M,0.0,19.64M,49.55M,31.64M,,,100.82M,-51.02M,49.80M,190.49M,48.92M,239.41M,7.784M,36.18M,333.17M,906.02M,108.22M,,108.22M,135.51M,243.72M,,0.001M,,0.001M,,0.001M,,,,14.36M,258.08M,,,,,,,,,0.403M,258.49M,0.725M,208.38M,433.38M,,,,5.041M,647.53M
2006-01,142.90M,,142.90M,84.28M,,84.28M,,98.10M,9.311M,107.41M,84.29M,,10.88M,84.25M,514.01M,0.0,18.25M,45.99M,29.17M,,,93.41M,-45.20M,48.22M,,255.75M,255.75M,6.078M,44.60M,354.65M,868.65M,79.89M,,79.89M,87.29M,167.18M,,,,,,,6.403M,6.403M,,6.701M,180.28M,,,,,,,,,1.07M,181.35M,0.715M,258.76M,426.63M,,,,1.203M,687.30M
2005-10,107.20M,,107.20M,197.86M,,197.86M,,128.75M,7.474M,136.23M,75.04M,,,96.48M,612.80M,0.0,19.03M,43.17M,26.81M,,,89.01M,-40.39M,48.62M,179.89M,80.60M,260.49M,,13.31M,322.42M,935.22M,133.35M,,133.35M,71.80M,205.16M,,,,,,,6.414M,6.414M,,35.35M,246.92M,,,,,,,,,2.467M,249.39M,0.707M,245.55M,451.47M,,,,-11.90M,685.83M
2005-07,195.36M,,195.36M,61.74M,,61.74M,,98.49M,5.922M,104.41M,94.64M,,11.69M,58.21M,526.04M,0.0,17.80M,35.38M,23.10M,5.754M,,82.03M,-35.39M,46.64M,,240.07M,240.07M,6.219M,63.24M,356.18M,882.22M,76.84M,,76.84M,102.43M,179.27M,,,,,,,,,,7.452M,186.72M,,,,12.95M,,12.95M,,2.933M,15.88M,202.60M,0.716M,268.68M,442.92M,23.31M,,,-9.39M,679.62M
2005-04,210.24M,,210.24M,127.28M,,127.28M,,110.82M,5.747M,116.57M,73.87M,,11.70M,56.78M,596.44M,0.0,15.37M,32.52M,21.98M,4.895M,,74.77M,-31.70M,43.08M,,276.42M,276.42M,6.219M,2.061M,327.78M,924.22M,90.52M,,90.52M,84.98M,175.51M,,,,,,,,,,8.758M,184.26M,,,,11.03M,,11.03M,,2.741M,13.77M,198.03M,0.475M,297.46M,436.71M,,,,-8.464M,726.19M
2005-01,303.07M,,303.07M,136.52M,,136.52M,,126.57M,7.531M,134.10M,49.54M,,11.70M,41.52M,676.44M,,,,,,,62.16M,-24.21M,37.95M,,222.81M,222.81M,6.219M,55.50M,322.47M,998.91M,87.41M,,87.41M,174.66M,262.07M,,,,,,,,,,14.93M,277.00M,,,,9.937M,,9.937M,,2.741M,12.68M,289.68M,0.464M,305.65M,410.23M,,,,-7.11M,709.23M
2004-10,155.10M,,155.10M,285.71M,,285.71M,,147.20M,7.146M,154.34M,60.02M,,4.994M,54.60M,714.76M,0.0,10.91M,43.67M,,3.922M,,58.50M,-24.21M,34.29M,,173.01M,173.01M,7.546M,15.68M,230.52M,945.28M,163.96M,,163.96M,125.57M,289.53M,,,,,,,,,,17.32M,306.85M,,,,,,,,,2.963M,309.81M,0.682M,250.40M,381.93M,,,,2.458M,635.47M
2004-07,197.95M,,197.95M,79.49M,,79.49M,,92.86M,4.024M,96.88M,97.51M,,8.333M,,480.16M,,,,,,,47.52M,-16.93M,30.59M,,157.29M,157.29M,,29.54M,217.42M,697.58M,63.28M,,63.28M,65.86M,129.13M,,,,,,,,,,0.167M,129.30M,,,,8.486M,,8.486M,,,8.486M,137.78M,0.45M,187.77M,372.03M,,,,-0.461M,559.79M
2004-04,261.33M,,261.33M,68.60M,,68.60M,,96.14M,3.893M,100.04M,62.22M,,8.333M,,500.53M,,,,,,,42.62M,-16.93M,25.69M,,160.40M,160.40M,,27.91M,214.01M,714.54M,70.98M,,70.98M,64.55M,135.53M,,,,0.112M,,0.112M,,,,2.706M,138.35M,,0.029M,0.029M,8.486M,,8.486M,,,8.515M,146.86M,0.448M,202.21M,365.56M,,,,-0.543M,567.67M
2004-01,254.15M,,254.15M,145.46M,,145.46M,,106.85M,4.033M,110.88M,47.44M,,8.333M,,566.27M,,,,,,,40.77M,-16.93M,23.84M,,159.10M,159.10M,,23.79M,206.73M,773.00M,107.94M,,107.94M,67.20M,175.13M,,,,0.112M,,0.112M,,,,10.84M,186.09M,,0.056M,0.056M,8.486M,,8.486M,,,8.542M,194.63M,0.446M,216.78M,359.16M,,,,1.987M,578.37M
2003-10,183.48M,,183.48M,166.54M,,166.54M,,96.96M,4.793M,101.75M,53.31M,,8.173M,,513.24M,0.0,6.445M,32.74M,,,,39.19M,-16.93M,22.26M,,146.33M,146.33M,,25.46M,194.06M,707.30M,106.17M,,106.17M,56.88M,163.06M,,,,,,,,,,2.265M,165.32M,,,,8.486M,,8.486M,,,8.486M,173.81M,0.442M,185.02M,350.85M,,,,-2.826M,533.49M
2003-07,225.86M,,225.86M,66.00M,,66.00M,2.543M,71.36M,,73.90M,45.63M,,5.392M,,416.78M,,,,,,,31.29M,-11.21M,20.08M,,140.98M,140.98M,7.983M,22.73M,191.78M,608.56M,56.10M,,56.10M,46.31M,102.42M,,,,0.101M,,0.101M,,,,15.46M,117.98M,,0.099M,0.099M,6.178M,,6.178M,,,6.277M,124.25M,0.433M,161.15M,327.41M,,,,-4.692M,484.30M
2003-04,188.35M,,188.35M,100.21M,,100.21M,2.653M,68.69M,,71.34M,28.18M,,,5.392M,393.48M,,,,,,,29.64M,-11.21M,18.43M,,141.93M,141.93M,,27.14M,187.50M,580.98M,63.90M,,63.90M,49.53M,113.43M,,,,0.10M,,0.10M,,,,16.12M,129.65M,,0.125M,0.125M,6.178M,,6.178M,,,6.303M,135.96M,0.415M,153.50M,295.24M,,,,-4.143M,445.02M
2003-01,164.08M,,164.08M,120.78M,,120.78M,2.371M,74.23M,,76.60M,26.88M,,,5.392M,393.74M,,,,,,,27.92M,-11.21M,16.71M,,143.41M,143.41M,,23.27M,183.39M,577.14M,56.00M,,56.00M,76.56M,132.56M,,,,0.097M,,0.097M,,,,17.75M,150.41M,,0.174M,0.174M,3.885M,,3.885M,,,4.059M,154.46M,0.41M,138.27M,286.28M,,,,-2.281M,422.67M
2002-10,108.37M,,108.37M,105.58M,,105.58M,,71.17M,3.221M,74.39M,33.78M,,6.245M,,328.36M,0.0,3.663M,22.86M,,,,26.53M,-11.21M,15.32M,,116.82M,116.82M,7.983M,22.95M,163.08M,491.44M,79.66M,,79.66M,50.70M,130.36M,,,,0.095M,,0.095M,,,,1.357M,131.81M,,0.201M,0.201M,3.885M,,3.885M,,,4.086M,135.90M,0.404M,86.91M,273.50M,,,,-5.268M,355.54M
2002-07,73.90M,,73.90M,64.76M,,64.76M,,,,49.59M,39.30M,,17.79M,0.448M,245.78M,,,,,,,20.62M,-5.533M,15.09M,,114.63M,114.63M,7.892M,23.02M,160.63M,406.41M,47.98M,,47.98M,37.00M,84.98M,,,,0.092M,,0.092M,,,,11.27M,96.34M,,0.229M,0.229M,,,,,,0.229M,96.57M,0.39M,65.47M,251.35M,,,,-7.368M,309.84M
2002-04,69.62M,,69.62M,65.10M,,65.10M,,,,45.48M,44.61M,,13.87M,0.50M,239.17M,,,,,,,20.37M,-5.533M,14.84M,,85.44M,85.44M,7.892M,23.70M,131.87M,371.04M,37.96M,,37.96M,41.51M,79.48M,,,,0.092M,,0.092M,,,,13.79M,93.36M,,0.254M,0.254M,,,,,,0.254M,93.62M,0.375M,60.70M,227.38M,,,,-11.03M,277.43M
2002-01,30.97M,,30.97M,122.70M,,122.70M,,,,51.80M,38.08M,,13.87M,0.769M,258.19M,,,,,,,18.52M,-5.533M,12.99M,,86.70M,86.70M,7.892M,19.93M,127.52M,385.71M,73.22M,,73.22M,35.14M,108.36M,,,,0.092M,,0.092M,,,,21.34M,129.79M,,0.275M,0.275M,,,,,,0.275M,130.07M,0.368M,51.07M,216.08M,,,,-11.88M,255.64M
2001-10,6.056M,,6.056M,94.95M,,94.95M,,,,61.94M,17.92M,,13.87M,28.13M,222.87M,0.0,2.209M,9.164M,5.193M,,,16.57M,-5.533M,11.03M,,88.18M,88.18M,,32.92M,132.12M,355.00M,60.22M,,60.22M,20.25M,80.47M,,,,54.17M,,54.17M,,,,,134.64M,,0.291M,0.291M,,,,,,0.291M,134.94M,0.366M,16.24M,213.91M,,,,-10.45M,220.06M
2001-07,15.35M,,15.35M,86.38M,,86.38M,,,,52.67M,41.16M,,8.345M,2.808M,206.71M,,,,,,,13.68M,-3.279M,10.40M,,112.99M,112.99M,,30.11M,153.50M,360.21M,35.28M,,35.28M,15.57M,50.84M,,,,69.08M,,69.08M,,,,,119.93M,,,,,,,,,,119.93M,0.362M,39.60M,210.20M,,,,-9.877M,240.28M
2001-04,6.886M,,6.886M,104.22M,,104.22M,,,,48.45M,39.94M,,8.345M,1.714M,209.56M,,,,,,,11.88M,-3.279M,8.606M,,114.73M,114.73M,,20.50M,143.83M,353.39M,43.86M,,43.86M,19.75M,63.61M,,,,77.72M,,77.72M,,,,,141.33M,13.56M,,13.56M,,,,,,13.56M,154.89M,0.329M,39.19M,168.89M,,,,-9.911M,198.50M
2001-01,13.66M,,13.66M,132.16M,,132.16M,,,,46.73M,,,,37.44M,229.99M,,,,,,,9.855M,-3.773M,6.082M,,114.82M,114.82M,,38.50M,159.41M,389.40M,62.72M,,62.72M,,62.72M,,,,82.19M,,82.19M,,,,23.57M,168.48M,13.39M,,13.39M,,,,,,13.39M,181.87M,0.33M,51.12M,172.39M,,,,-16.31M,207.52M
2000-10,5.245M,,5.245M,110.78M,,110.78M,,,,53.80M,10.39M,,9.243M,27.02M,216.47M,0.0,1.086M,6.263M,1.19M,,,8.539M,-3.279M,5.26M,,66.56M,66.56M,,41.96M,113.78M,330.26M,46.57M,,46.57M,16.19M,62.76M,,,,84.69M,,84.69M,,,,,147.45M,12.27M,0.348M,12.62M,,,,,,12.62M,160.06M,0.312M,24.82M,157.74M,,,,-12.68M,170.19M
2000-07,2.631M,3.559M,6.190M,,,85.17M,,,,41.21M,,,,32.39M,164.96M,,,,,,,9.560M,-3.330M,6.230M,,116.44M,116.44M,,11.73M,134.41M,299.37M,38.73M,,38.73M,,38.73M,,,,46.56M,,46.56M,,,,17.68M,102.97M,12.45M,,12.45M,,,,,1.890M,14.34M,117.31M,0.3096M,31.10M,157.15M,,,,-6.499M,182.05M
2000-04,3.186M,7.014M,10.20M,,,82.63M,,,,39.21M,,,,37.33M,169.37M,,,,,,,9.765M,-4.226M,5.539M,,112.54M,112.54M,,7.590M,125.67M,295.04M,39.58M,,39.58M,,39.58M,,,,68.21M,,68.21M,,,,25.03M,132.82M,0.0443M,,0.0443M,,,,1.50M,0.399M,0.4433M,133.27M,0.2888M,27.65M,135.04M,,,,-2.699M,160.27M
2000-01,19.30M,,19.30M,,,95.40M,,,,46.00M,,,,42.30M,203.00M,,,,,,,6.90M,-2.20M,4.70M,,30.40M,30.40M,,12.00M,47.10M,250.10M,56.80M,,56.80M,,56.80M,,,,74.60M,,74.60M,,,,27.30M,158.70M,,,,,,,,,,158.70M,0.20M,23.20M,69.90M,,,,-1.80M,91.40M
1999-10,10.40M,,10.40M,,,108.80M,,,,41.30M,,,,28.50M,189.00M,,,,,,,6.00M,-1.90M,4.10M,,30.90M,30.90M,,8.80M,43.80M,232.80M,71.20M,,71.20M,,71.20M,,,,56.10M,,56.10M,,,,20.20M,147.50M,0.10M,,0.10M,,,,,0.10M,0.20M,147.70M,0.20M,18.40M,67.30M,,-0.80M,,-0.80M,85.10M
1999-07,2.90M,,2.90M,,,63.30M,,,,33.50M,,,,24.30M,124.00M,,,,,,,5.80M,-2.10M,3.70M,,12.30M,12.30M,,7.80M,23.80M,147.80M,33.70M,,33.70M,,33.70M,,,,25.00M,,25.00M,,,,14.50M,73.20M,,,,,,,,,,73.20M,0.20M,9.20M,65.70M,,-0.60M,-0.10M,-0.70M,74.60M
1999-04,1.40M,,1.40M,,,47.40M,,,,24.10M,,,,25.00M,97.90M,,,,,,,4.90M,-1.90M,3.00M,,12.90M,12.90M,,5.10M,21.00M,118.90M,22.20M,,22.20M,,22.20M,,,,35.30M,,35.30M,,,,12.80M,70.30M,,,,,,,,,,70.30M,,6.50M,,,,,,48.60M
1999-01,4.80M,,4.80M,,,47.50M,,,,23.10M,,,,18.60M,94.00M,,,,,,,3.80M,-1.80M,2.00M,,8.10M,8.10M,,3.50M,13.60M,107.60M,22.40M,,22.40M,,22.40M,,,,31.90M,,31.90M,,,,13.70M,68.00M,0.10M,,0.10M,,,,,0.10M,0.20M,68.20M,,5.00M,,,,,,39.40M
1998-10,2.70M,,2.70M,,,49.10M,,,,26.10M,,,,17.40M,95.30M,,,,,,,3.60M,-1.60M,2.00M,,8.40M,8.40M,,3.70M,14.10M,109.40M,33.50M,,33.50M,,33.50M,,,,30.60M,,30.60M,,,,9.40M,73.50M,0.30M,,0.30M,,,,,,0.30M,73.80M,,2.10M,,,,,,35.60M
1998-07,0.20M,,0.20M,,,12.80M,,,,5.30M,,,,19.80M,38.10M,,,,,,,4.00M,-2.40M,1.60M,,7.80M,7.80M,,2.30M,11.70M,49.80M,5.50M,,5.50M,,5.50M,,,,6.20M,,6.20M,,,,5.80M,17.50M,0.20M,,0.20M,,,,,0.10M,0.30M,17.80M,,-3.80M,,,,,,32.00M
1998-04,0.40M,,0.40M,,,13.00M,,,,7.40M,,,,14.30M,35.10M,,,,,,,2.70M,-1.10M,1.60M,,7.90M,7.90M,,2.90M,12.40M,47.50M,5.90M,,5.90M,,5.90M,,,,5.50M,,5.50M,,,,9.20M,20.60M,0.50M,,0.50M,,,,,0.10M,0.60M,21.20M,,-3.90M,,,,,,26.30M
