,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-09,202.00M,5.00M,5.00M,,,193.00M,193.00M,,-186.00M,,,,,,-75.00M,139.00M,-25.00M,-25.00M,-109.00M,-1.05B,-340.00M,-1.524B,302.00M,2.436B,2.738B,,,22.00M,,,,-46.00M,,,-2.504B,5.58B,-3.889B,1.691B,,399.00M,-97.00M,
2003-06,-23.00M,-8.00M,-8.00M,,,42.00M,42.00M,,502.00M,,,,,,332.00M,845.00M,-106.00M,-106.00M,-26.00M,2.857B,-2.475B,250.00M,-6.00M,-7.05B,-7.056B,,,52.00M,,,,-43.00M,,,2.904B,1.581B,3.999B,5.58B,,0.00,-6.00M,
2003-03,96.00M,-26.00M,-26.00M,,,190.00M,190.00M,,-440.00M,,,,,,-332.00M,-512.00M,-98.00M,-98.00M,-1.078B,959.00M,6.678B,6.461B,279.00M,831.00M,1.11B,,,267.00M,,,,-43.00M,,,-5.729B,1.361B,220.00M,1.581B,,343.00M,-64.00M,
2002-12,477.00M,-31.00M,-526.00M,,,189.00M,189.00M,,203.00M,,,,,,89.00M,432.00M,-59.00M,-59.00M,-1.00M,-4.111B,-2.725B,-6.896B,-24.00M,3.879B,3.855B,,,98.00M,,,,-39.00M,,,6.197B,1.628B,-267.00M,1.361B,,,-24.00M,
2002-09,182.00M,-31.00M,-31.00M,,,112.00M,112.00M,,95.00M,,,,,,-169.00M,189.00M,-63.00M,-63.00M,-79.00M,-127.00M,1.409B,1.14B,41.00M,2.194B,2.235B,,,-70.00M,,,,-39.00M,,,-1.661B,1.96B,-332.00M,1.628B,,,41.00M,
2002-06,178.00M,-10.00M,-10.00M,,,151.00M,151.00M,,-201.00M,,,,,,60.00M,178.00M,-77.00M,-77.00M,,-1.742B,-1.867B,-3.686B,-11.00M,657.00M,646.00M,,,-54.00M,,,,-35.00M,,,4.671B,797.00M,1.163B,1.96B,,,-11.00M,
2002-03,178.00M,-4.00M,-4.00M,,,236.00M,236.00M,,-147.00M,,,,,,-60.00M,203.00M,-73.00M,-73.00M,,-1.081B,-3.428B,-4.582B,-31.00M,-765.00M,-796.00M,,,49.00M,,,,-36.00M,,,3.525B,1.651B,-854.00M,797.00M,,,-31.00M,
2001-12,170.00M,-7.00M,-7.00M,,,150.00M,150.00M,,-579.00M,,,,,,110.00M,-156.00M,-104.00M,-104.00M,-85.00M,1.742B,396.00M,1.949B,28.00M,3.087B,3.115B,,,-89.00M,,,,-33.00M,,,-2.377B,2.235B,-584.00M,1.651B,,1.00M,27.00M,
2001-09,170.00M,-15.00M,-15.00M,,,111.00M,111.00M,,695.00M,,,,,,444.00M,1.405B,-51.00M,-51.00M,0.00,-3.107B,297.00M,-2.861B,362.00M,-1.675B,-1.313B,,,-85.00M,,,,-32.00M,,,2.15B,1.541B,694.00M,2.235B,,364.00M,-2.00M,
2001-06,167.00M,-15.00M,-15.00M,,,47.00M,47.00M,,-159.00M,,,,,,-289.00M,-249.00M,-77.00M,-77.00M,-1.00M,552.00M,-3.432B,-2.958B,205.00M,1.043B,1.248B,,,-3.00M,,,,-31.00M,,,3.645B,1.103B,438.00M,1.541B,,215.00M,-10.00M,
2001-03,121.00M,-6.00M,-6.00M,,,90.00M,90.00M,,-419.00M,,,,,,-317.00M,-531.00M,-44.00M,-44.00M,-90.00M,-847.00M,3.098B,2.117B,20.00M,-2.06B,-2.04B,,,-11.00M,,,,-31.00M,,,-2.101B,1.618B,-515.00M,1.103B,,90.00M,-70.00M,
2000-12,147.00M,-1.00M,-1.00M,,,183.00M,183.00M,,24.00M,,,,,,-113.00M,240.00M,-150.00M,-150.00M,,-244.00M,-2.98B,-3.374B,182.00M,2.339B,2.521B,,,-6.00M,,,,-27.00M,,,3.486B,1.266B,352.00M,1.618B,,183.00M,-1.00M,
2000-09,151.00M,-1.00M,-1.00M,,,11.00M,11.00M,,-70.00M,,,,,,434.00M,525.00M,-55.00M,-55.00M,,-232.00M,-1.666B,-1.953B,206.00M,443.00M,649.00M,,,-2.00M,,,,-28.00M,,,188.00M,2.506B,-1.24B,1.266B,,203.00M,3.00M,
2000-06,147.00M,,,,,116.00M,116.00M,,176.00M,,,,,,-434.00M,5.00M,-17.00M,-17.00M,,-1.599B,-1.572B,-3.188B,424.00M,1.957B,2.381B,,,7.00M,,,,-25.00M,,,3.579B,2.11B,396.00M,2.506B,,433.00M,-9.00M,
2000-03,150.00M,,,,,64.00M,64.00M,,-239.00M,,,,,,-105.00M,-130.00M,-25.00M,-25.00M,,-708.00M,149.00M,-584.00M,263.00M,-2.358B,-2.095B,,,6.00M,,,,-26.00M,,,-106.00M,2.93B,-820.00M,2.11B,,302.00M,-39.00M,
1999-12,249.00M,56.00M,-226.00M,,,86.00M,86.00M,,196.00M,,,,,,-276.00M,29.00M,-51.00M,-51.00M,,-4.788B,-1.045B,-5.884B,332.00M,3.613B,3.945B,,,-20.00M,,,,-23.00M,,,7.212B,1.573B,1.357B,2.93B,,356.00M,-24.00M,
1999-09,125.00M,-6.00M,-6.00M,,,81.00M,81.00M,,-173.00M,,,,,,219.00M,246.00M,-59.00M,-59.00M,,-2.199B,431.00M,-1.827B,-32.00M,2.327B,2.295B,,,-81.00M,,,,-22.00M,,,1.363B,1.791B,-218.00M,1.573B,,47.00M,-79.00M,
1999-06,124.00M,-5.00M,-5.00M,,,72.00M,72.00M,,14.00M,,,,,,-197.00M,8.00M,-34.00M,-34.00M,,-723.00M,-2.039B,-2.796B,8.00M,-1.486B,-1.478B,,,-13.00M,,,,-25.00M,,,3.201B,1.378B,413.00M,1.791B,,9.00M,-1.00M,
1999-03,121.00M,,,,,88.00M,88.00M,,-100.00M,,,,,,-197.00M,-88.00M,-55.00M,-55.00M,,-1.356B,-1.245B,-2.656B,70.00M,2.195B,2.265B,,,-11.00M,,,,-23.00M,,,2.757B,1.365B,13.00M,1.378B,,71.00M,-1.00M,
1998-12,111.00M,-4.00M,-4.00M,,,67.00M,67.00M,,6.00M,,,,,,-25.00M,155.00M,-58.00M,-58.00M,,2.097B,48.00M,2.087B,199.00M,-2.789B,-2.59B,,,2.00M,,,,-23.00M,,,-2.987B,2.11B,-745.00M,1.365B,,211.00M,-12.00M,
1998-09,110.00M,-6.00M,-6.00M,,,97.00M,97.00M,,65.00M,,,,,,-164.00M,102.00M,33.00M,33.00M,,-2.47B,-286.00M,-2.723B,214.00M,4.446B,4.66B,,,-54.00M,,,,-20.00M,,,3.08B,1.651B,459.00M,2.11B,,215.00M,-1.00M,
1998-06,109.00M,,,,,79.00M,79.00M,,-223.00M,,,,,,-17.00M,-52.00M,-156.00M,-156.00M,,-4.087B,-3.211B,-7.454B,374.00M,1.73B,2.104B,,,-8.00M,,,,-20.00M,,,7.903B,1.254B,397.00M,1.651B,,387.00M,-13.00M,
