,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2008-12,19.90M,,,-1.90M,10.90M,10.90M,-63.80M,,-10.30M,14.10M,16.30M,14.60M,,22.90M,,-32.10M,16.90M,38.60M,,7.50M,,-13.50M,,-13.50M,-35.00M,,,-48.10M,,189.90M,,44.90M,-12.10M,0.00,-12.10M,13.00M,0.40M,46.20M,,14.80M,5.60M,,20.40M,,-12.10M,189.90M,,0.00,,AOR,Restated
2008-09,30.90M,,,1.90M,12.60M,12.60M,11.80M,,4.00M,-9.70M,-3.30M,-2.40M,-1.80M,11.50M,,32.50M,-36.20M,0.30M,,51.80M,,-9.90M,,-9.90M,-49.20M,,,-59.10M,,-153.10M,,-8.10M,12.10M,,12.10M,-5.50M,5.90M,4.40M,,17.70M,-2.90M,,14.80M,,12.10M,-153.10M,,,,,
2008-06,32.60M,-0.10M,,-0.10M,13.10M,13.10M,7.30M,,-2.90M,2.50M,-2.40M,-3.80M,1.80M,-5.80M,,-0.30M,-3.50M,-14.00M,,38.50M,,-9.80M,,-9.80M,-34.70M,,,-44.50M,,-4.10M,,-4.10M,,,,3.70M,2.90M,2.50M,,21.20M,-3.50M,,17.70M,,,-4.10M,,,,,Restated
2008-03,27.90M,0.10M,,0.10M,10.70M,10.70M,3.70M,,-1.10M,2.90M,-26.60M,-10.70M,0.00,10.10M,,-0.10M,5.70M,-21.60M,,22.60M,,-8.70M,,-8.70M,-166.20M,,,-174.90M,,157.20M,,157.20M,,0.00,0.00,1.80M,1.10M,160.10M,,13.40M,7.80M,,21.20M,,,157.20M,,0.00,,,Restated
2007-12,26.60M,,,-2.40M,9.10M,9.10M,-13.70M,,,7.30M,-4.60M,8.40M,-0.10M,50.40M,,-33.70M,-0.40M,20.00M,,43.30M,,-9.60M,-1.30M,-10.90M,-0.60M,,,-10.70M,,,,-38.00M,-5.00M,,-5.00M,,1.20M,-35.30M,,16.10M,-2.70M,,13.40M,,-5.00M,,,,,,Restated
2007-09,27.10M,,,2.50M,9.00M,9.00M,2.70M,,,1.50M,6.20M,2.20M,-1.70M,-2.40M,,5.00M,2.40M,11.70M,,54.50M,,-8.30M,0.40M,-7.90M,-4.80M,,,-12.70M,,,,-39.00M,0.80M,,0.80M,,0.30M,-37.90M,,12.20M,3.90M,,16.10M,,0.80M,,,,,,
2007-06,24.30M,,,0.00,8.90M,8.90M,-7.20M,,,0.10M,4.20M,-18.00M,0.70M,1.30M,,12.50M,5.60M,6.30M,,32.40M,,-10.10M,0.40M,-9.70M,-6.60M,,,-16.30M,,,,-24.30M,2.60M,,2.60M,,1.50M,-20.20M,,16.30M,-4.10M,,12.20M,,2.60M,,,,,,
2007-03,20.50M,,,-0.10M,7.70M,7.70M,-3.10M,,,1.10M,-14.50M,-2.80M,1.10M,6.20M,,16.20M,4.20M,10.40M,,36.50M,,-12.30M,0.50M,-11.80M,-36.10M,,,-47.90M,,,,12.50M,1.60M,,1.60M,,0.60M,14.70M,,13.00M,3.30M,,16.30M,,1.60M,,,,,,
2006-12,18.90M,,,,11.10M,11.10M,-9.10M,,,0.70M,6.40M,3.00M,2.70M,-5.40M,,-15.60M,3.20M,-5.70M,,15.90M,,-10.10M,0.70M,-9.40M,3.10M,,,-6.30M,,,,-26.00M,1.20M,,1.20M,,0.80M,-24.00M,,27.40M,-14.40M,,13.00M,,1.20M,,,,,,
2006-09,22.60M,,,-0.60M,7.80M,7.80M,-2.20M,,,-1.10M,-5.90M,-1.60M,-3.10M,5.10M,,9.90M,-9.50M,-5.10M,,21.40M,,-7.10M,-0.20M,-7.30M,-211.60M,,,-218.90M,,,,210.40M,4.00M,,4.00M,,2.60M,217.00M,,7.90M,19.50M,,27.40M,,4.00M,,,,,,
