,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-12,323.00M,,323.00M,1.378B,286.60M,1.664B,155.80M,24.10M,410.40M,132.20M,654.80M,136.80M,,4.20M,2.783B,,,,,,,15.96B,-9.012B,6.945B,912.20M,259.50M,1.172B,878.20M,717.70M,,418.50M,10.13B,12.91B,,2009-12,,,,1.378B,43.90M,1.422B,,,,713.60M,,713.60M,,,8.90M,2.145B,,3.705B,371.00M,1.509B,1.880B,,,,5.586B,7.730B,,2009-12,249.40M,7.390B,809.70M,2.300B,,,-1.115B,5.034B,,2009-12,AOR,Restated
2009-09,488.20M,,488.20M,1.363B,404.80M,1.768B,151.10M,20.90M,405.50M,132.30M,641.90M,99.70M,,,2.998B,0.00,169.40M,875.50M,13.78B,,923.70M,15.75B,-8.892B,6.860B,916.00M,262.60M,1.179B,868.10M,,,1.125B,10.03B,13.03B,,2009-09,1.675B,,42.90M,1.718B,,1.718B,,,,785.90M,,785.90M,,,,2.504B,,3.716B,357.90M,,357.90M,,,1.522B,5.596B,8.099B,,2009-09,249.40M,7.235B,822.90M,2.353B,,,-1.162B,4.792B,,2009-09,AOR,Restated
2009-06,70.30M,,70.30M,1.333B,445.60M,1.778B,162.90M,21.80M,389.70M,115.30M,611.10M,96.00M,,15.50M,2.571B,,,,,,,15.25B,-8.580B,6.675B,872.70M,251.40M,1.124B,820.60M,569.40M,,483.30M,9.672B,12.24B,,2009-06,,,,1.300B,84.70M,1.384B,,,,389.40M,,389.40M,,,19.00M,1.793B,,3.756B,591.00M,,1.632B,,,0.30M,5.388B,7.181B,,2009-06,249.40M,7.087B,821.60M,2.426B,,,-803.60M,4.928B,,2009-06,AOR,Restated
2009-03,79.70M,,79.70M,1.272B,396.60M,1.669B,173.50M,22.70M,389.10M,,506.60M,172.20M,,169.10M,2.596B,,,,,,,14.65B,-8.235B,6.410B,811.20M,215.00M,1.026B,756.50M,527.10M,,562.60M,9.282B,11.88B,,2009-03,,,,1.307B,34.20M,1.341B,,,,645.80M,,645.80M,,,9.20M,1.996B,,3.457B,707.60M,,1.660B,,,0.80M,5.118B,7.114B,,2009-03,249.40M,7.069B,812.20M,2.441B,,,-1.051B,4.638B,,2009-03,AOR,Restated
2008-12,118.50M,,118.50M,1.416B,468.60M,1.885B,,143.90M,,521.20M,665.10M,115.80M,,49.00M,2.833B,,,,,,,14.78B,-8.325B,6.459B,866.00M,243.90M,1.110B,,,,1.851B,9.420B,12.25B,,2008-12,1.579B,,,1.579B,60.90M,1.640B,,,,574.00M,,574.00M,,,8.40M,2.222B,,3.595B,605.30M,,605.30M,,,967.20M,5.168B,7.390B,,2008-12,249.40M,6.958B,808.30M,2.454B,,,-835.30M,4.726B,,2008-12,,Restated
2008-09,103.50M,,103.50M,1.575B,349.40M,1.925B,183.50M,22.40M,365.10M,152.00M,655.70M,107.70M,,56.60M,2.848B,,,,14.99B,,,14.99B,-8.374B,6.615B,928.10M,289.60M,1.218B,822.60M,505.30M,,562.80M,9.723B,12.57B,,2008-09,1.181B,92.10M,,1.274B,479.10M,1.753B,,,,451.40M,,451.40M,,,8.00M,2.212B,,3.515B,626.60M,1.049B,1.676B,,,1.20M,5.192B,7.404B,,2008-09,249.40M,6.990B,811.70M,2.471B,,,-549.30M,5.031B,,2008-09,,Restated
2008-06,126.20M,,126.20M,1.827B,333.40M,2.160B,,,,,534.60M,117.00M,,183.70M,3.122B,,,,,,,15.52B,-8.656B,6.859B,994.70M,300.20M,1.295B,,,,1.800B,9.954B,13.08B,,2008-06,1.633B,,,1.633B,112.30M,1.745B,,,,382.80M,,382.80M,,,0.30M,2.128B,,3.647B,623.00M,,623.00M,,,993.00M,5.263B,7.392B,,2008-06,249.40M,6.821B,794.90M,2.246B,,,-51.10M,5.569B,,2008-06,,
2008-03,138.80M,,138.80M,1.969B,240.60M,2.210B,,,,,533.70M,85.70M,,23.70M,2.992B,,,,,,,15.39B,-8.533B,6.856B,1.280B,306.10M,1.587B,,,,1.794B,10.24B,13.23B,,2008-03,1.570B,,,1.570B,133.20M,1.703B,,,,740.40M,,740.40M,,,10.60M,2.454B,,3.646B,614.90M,,614.90M,,,871.70M,5.133B,7.587B,,2008-03,249.40M,6.846B,789.60M,2.314B,,,-47.10M,5.524B,,2008-03,,
2007-12,96.50M,,96.50M,1.668B,197.80M,1.865B,,,,,517.30M,61.30M,,323.40M,2.864B,,,,,,,14.91B,-8.210B,6.700B,1.237B,282.40M,1.519B,,,,1.931B,10.15B,13.01B,,2007-12,1.502B,,,1.502B,103.60M,1.606B,,,,559.80M,,559.80M,,,58.90M,2.225B,,3.416B,735.30M,,735.30M,,,852.30M,5.003B,7.228B,,2007-12,249.40M,6.626B,770.20M,1.959B,,,-82.90M,5.603B,,2007-12,,
2007-09,40.50M,,40.50M,1.578B,240.10M,1.819B,,,,,486.60M,108.20M,,404.50M,2.858B,,,,,,,14.60B,-7.997B,6.604B,1.200B,276.20M,1.476B,,,,1.721B,9.801B,12.66B,,2007-09,1.551B,,,1.551B,108.60M,1.660B,,,,694.40M,,694.40M,,,68.80M,2.423B,,2.976B,705.60M,,705.60M,,,881.80M,4.564B,6.987B,,2007-09,249.40M,6.458B,759.50M,1.829B,,,-142.90M,5.496B,,2007-09,,
2007-06,31.70M,,31.70M,1.735B,348.90M,2.084B,,,,,541.10M,139.40M,,218.60M,3.015B,,,,14.71B,,,14.71B,-8.085B,6.626B,1.158B,266.10M,1.424B,,,,1.503B,9.554B,12.57B,,2007-06,1.536B,,,1.536B,158.20M,1.694B,,,,1.030B,,1.030B,,,,2.724B,,2.749B,766.30M,,766.30M,,,697.40M,4.213B,6.936B,,2007-06,249.40M,6.248B,733.60M,1.712B,,,-62.40M,5.456B,,2007-06,,
2007-03,37.30M,,37.30M,1.845B,268.90M,2.114B,,,,,530.70M,227.20M,,,2.909B,,,,,,,14.20B,-7.863B,6.336B,1.010B,111.20M,1.121B,,,,1.512B,8.969B,11.88B,,2007-03,1.507B,,,1.507B,146.30M,1.653B,,,,609.40M,,609.40M,,,,2.262B,,2.704B,773.60M,,773.60M,,,682.70M,4.161B,6.423B,,2007-03,249.40M,6.054B,717.80M,1.642B,,,-102.70M,5.276B,,2007-03,,
2006-12,64.50M,,64.50M,1.762B,286.90M,2.049B,,,,,536.40M,,,,2.650B,,,,,,,13.93B,-7.665B,6.264B,1.008B,114.10M,1.122B,,,,1.464B,8.850B,11.50B,,2006-12,1.484B,,,1.484B,107.90M,1.592B,,,,814.20M,,814.20M,,,,2.406B,,2.336B,791.20M,,791.20M,,,666.50M,3.794B,6.200B,,2006-12,249.40M,5.901B,695.40M,1.608B,,,-127.10M,5.112B,,2006-12,,
2006-09,35.20M,,35.20M,1.741B,256.50M,1.998B,,,,,492.30M,55.00M,,32.20M,2.613B,0.00,180.60M,822.80M,3.127B,9.013B,377.10M,13.52B,-7.409B,6.112B,983.90M,113.00M,1.097B,,,,1.360B,8.568B,11.18B,,2006-09,1.655B,,,1.655B,98.70M,1.754B,,,,569.60M,,569.60M,,,,2.323B,,2.280B,833.10M,,833.10M,,,642.00M,3.755B,6.079B,,2006-09,249.40M,5.744B,682.50M,1.530B,,,-221.70M,4.924B,,2006-09,,
2006-06,60.50M,,60.50M,1.554B,291.60M,1.845B,,,,,581.10M,,,125.80M,2.612B,,,,,,,13.87B,-7.583B,6.284B,1.032B,114.50M,1.146B,,,,1.248B,8.678B,11.29B,,2006-06,1.326B,,,1.326B,162.20M,1.488B,,,,572.80M,,572.80M,,,,2.061B,,2.407B,757.50M,,757.50M,,,847.60M,4.012B,6.073B,,2006-06,249.40M,5.688B,662.50M,1.257B,,,-296.30M,5.047B,,2006-06,,
2006-03,73.90M,,73.90M,1.502B,312.60M,1.814B,,,,,567.80M,,,107.20M,2.563B,,,,13.46B,,,13.46B,-7.306B,6.155B,1.003B,97.50M,1.100B,,,,1.214B,8.470B,11.03B,,2006-03,1.232B,,,1.232B,208.80M,1.440B,,,,453.60M,,453.60M,,,,1.894B,,2.349B,826.00M,,826.00M,,,803.90M,3.979B,5.873B,,2006-03,249.40M,5.554B,599.70M,1.084B,,,-351.40M,4.968B,,2006-03,,
2005-12,70.70M,,70.70M,1.502B,103.10M,1.605B,,,,,552.40M,,,234.50M,2.463B,,,,,,,13.19B,-7.204B,5.989B,,1.009B,1.009B,,,,1.164B,8.162B,10.62B,,2005-12,1.286B,,,1.286B,108.10M,1.394B,,,,335.70M,,335.70M,,,,1.730B,,2.272B,848.40M,,848.40M,,,885.10M,4.006B,5.736B,,2005-12,249.40M,5.426B,584.10M,1.143B,,,-408.30M,4.709B,,2005-12,,
2005-09,55.80M,,55.80M,1.453B,269.10M,1.722B,152.00M,18.70M,338.40M,,453.50M,,,183.10M,2.415B,0.00,171.80M,805.60M,10.87B,,694.10M,12.55B,-6.768B,5.778B,881.40M,95.60M,977.00M,,,,1.239B,7.994B,10.41B,,2005-09,1.353B,,,1.353B,118.20M,1.471B,,,,447.00M,,447.00M,,,25.40M,1.943B,,2.047B,834.50M,,834.50M,,,857.80M,3.739B,5.682B,,2005-09,249.40M,5.317B,573.60M,1.162B,,,-433.20M,4.546B,,2005-09,,
2005-06,82.10M,,82.10M,1.485B,83.90M,1.569B,,,,,516.70M,,,254.60M,2.422B,,,,,,,12.73B,-6.936B,5.797B,,999.40M,999.40M,,,,1.091B,7.887B,10.31B,,2005-06,1.222B,,,1.222B,134.00M,1.356B,,,,453.60M,,453.60M,,,,1.81B,,2.061B,837.60M,,837.60M,,,806.90M,3.706B,5.516B,,2005-06,249.40M,5.216B,602.30M,1.074B,,,-379.00M,4.615B,,2005-06,,
2005-03,410.90M,,410.90M,1.491B,66.90M,1.558B,,,,,525.40M,,,277.10M,2.771B,,,,,,,12.75B,-6.906B,5.846B,,1.019B,1.019B,,,,1.071B,7.936B,10.71B,,2005-03,1.321B,,,1.321B,127.60M,1.449B,,,,396.50M,,396.50M,,,,1.845B,,2.115B,786.30M,,786.30M,,,864.40M,3.766B,5.611B,,2005-03,249.40M,5.097B,595.60M,700.00M,,,-331.80M,4.910B,,2005-03,,
2004-12,272.70M,,272.70M,1.515B,24.00M,1.539B,,,,,519.30M,,,279.90M,2.611B,,,,,,,12.76B,-6.846B,5.918B,,1.022B,1.022B,,,,1.102B,8.042B,10.65B,,2004-12,1.346B,,,1.346B,135.60M,1.481B,,,,323.80M,,323.80M,,,,1.805B,,2.241B,788.10M,,788.10M,,,894.40M,3.924B,5.729B,,2004-12,249.40M,4.989B,574.20M,764.50M,,,-307.50M,4.741B,,2004-12,,
2004-09,146.30M,,146.30M,1.455B,71.30M,1.526B,166.20M,12.60M,380.80M,,505.90M,,,238.70M,2.417B,0.00,165.60M,789.80M,10.84B,,403.30M,12.20B,-6.499B,5.702B,,931.90M,931.90M,,,,989.40M,7.624B,10.04B,,2004-09,1.320B,,,1.320B,105.90M,1.426B,,,,280.10M,,280.10M,,,,1.706B,,2.114B,788.00M,,788.00M,,,820.30M,3.722B,5.428B,,2004-09,249.40M,4.887B,551.80M,764.80M,-207.20M,-272.30M,-479.50M,4.444B,,2004-09,,
2004-06,89.50M,,89.50M,1.472B,25.20M,1.497B,,,,,522.10M,,,228.80M,2.338B,,,,,,,12.08B,-6.401B,5.68B,,906.40M,906.40M,,,,1.006B,7.592B,9.93B,,2004-06,1.325B,,,1.325B,7.50M,1.332B,,,,331.70M,,331.70M,,,,1.664B,,2.128B,776.30M,,776.30M,,,953.60M,3.858B,5.522B,,2004-06,249.40M,4.785B,555.00M,765.20M,,,-578.20M,4.246B,,2004-06,,
2004-03,142.30M,,142.30M,1.355B,34.40M,1.389B,,,,,528.90M,,,265.00M,2.326B,,,,,,,12.00B,-6.285B,5.716B,,900.90M,900.90M,,,,1.020B,7.637B,9.962B,,2004-03,1.174B,,,1.174B,73.10M,1.247B,,,,652.70M,,652.70M,,,,1.900B,,2.002B,739.50M,,739.50M,,,994.90M,3.736B,5.636B,,2004-03,249.40M,4.687B,541.00M,765.50M,,,-570.60M,4.141B,,2004-03,,
2003-12,92.90M,,92.90M,1.260B,45.10M,1.306B,,,,,502.40M,,,313.90M,2.215B,,,,,,,12.05B,-6.324B,5.721B,,881.60M,881.60M,,,,969.20M,7.572B,9.787B,,2003-12,1.146B,,,1.146B,96.50M,1.243B,,,,198.70M,,198.70M,,,,1.441B,,2.374B,713.80M,,713.80M,,,1.079B,4.167B,5.608B,,2003-12,249.40M,4.597B,520.80M,765.70M,,,-619.10M,3.982B,,2003-12,,
2003-09,76.20M,,76.20M,1.188B,82.80M,1.271B,165.80M,26.80M,327.20M,,483.10M,,,278.90M,2.110B,0.00,164.80M,800.80M,10.39B,,370.80M,11.72B,-6.086B,5.637B,,829.90M,829.90M,,,,897.00M,7.364B,9.474B,,2003-09,1.124B,,,1.124B,115.60M,1.239B,,,,342.10M,,342.10M,,,,1.581B,,2.169B,747.20M,,747.20M,,,1.006B,3.922B,5.503B,,2003-09,249.40M,4.517B,493.90M,766.10M,-267.20M,-444.10M,-711.30M,3.782B,,2003-09,,
2003-06,141.30M,,141.30M,1.134B,67.90M,1.201B,,,,,437.90M,,,237.80M,2.018B,,,,,,,11.37B,-5.926B,5.443B,,610.20M,610.20M,,,,876.90M,6.930B,8.949B,,2003-06,913.90M,,,913.90M,35.90M,949.80M,,,,217.60M,,217.60M,,,,1.167B,,2.151B,766.50M,,766.50M,,,914.20M,3.831B,4.999B,,2003-06,249.40M,4.441B,468.60M,766.20M,,,-621.30M,3.771B,,2003-06,,
2003-03,73.40M,,73.40M,1.131B,79.80M,1.211B,,,,,431.60M,,,207.10M,1.923B,,,,,,,11.32B,-5.827B,5.489B,,589.10M,589.10M,,,,839.50M,6.918B,8.841B,,2003-03,543.70M,,,543.70M,394.30M,938.00M,,,,395.90M,,395.90M,,,,1.334B,,2.028B,731.50M,,731.50M,,,887.30M,3.647B,4.981B,,2003-03,249.40M,4.460B,454.80M,767.50M,,,-711.90M,3.685B,,2003-03,,
2002-12,104.80M,,104.80M,1.031B,54.10M,1.085B,,,,,430.70M,,,213.60M,1.834B,,,,,,,11.16B,-5.682B,5.479B,,557.00M,557.00M,,,,805.80M,6.841B,8.676B,,2002-12,487.30M,,,487.30M,419.40M,906.70M,,,,375.50M,,375.50M,,,,1.282B,,2.027B,705.40M,,705.40M,,,866.30M,3.599B,4.881B,,2002-12,249.40M,4.393B,446.10M,767.80M,,,-718.40M,3.602B,,2002-12,,
2002-09,253.70M,,253.70M,980.90M,68.10M,1.049B,107.90M,35.70M,276.80M,,392.60M,,,214.00M,1.909B,0.00,163.30M,698.60M,9.616B,,401.60M,10.88B,-5.502B,5.378B,,431.10M,431.10M,,,,776.80M,6.586B,8.495B,,2002-09,403.30M,,,403.30M,426.60M,829.90M,,,,344.00M,,344.00M,,,82.30M,1.256B,,2.041B,725.60M,,725.60M,,,827.40M,3.594B,4.850B,,2002-09,249.40M,4.313B,437.10M,767.80M,-414.00M,-357.10M,-771.10M,3.460B,,2002-09,,
2002-06,185.80M,,185.80M,933.40M,84.70M,1.018B,,,,,366.40M,,,210.70M,1.781B,,,,,,,10.56B,-5.414B,5.148B,381.90M,,381.90M,,,,925.30M,6.456B,8.236B,,2002-06,486.70M,,,486.70M,417.20M,903.90M,,,,206.60M,,206.60M,,,,1.110B,,2.007B,779.20M,,779.20M,,,689.20M,3.476B,4.586B,,2002-06,249.40M,4.214B,429.10M,767.80M,,,-601.50M,3.524B,,2002-06,,
2002-03,97.80M,,97.80M,867.20M,95.30M,962.50M,,,,,364.40M,,,206.60M,1.631B,,,,,,,10.16B,-5.160B,4.997B,343.10M,,343.10M,,,,899.50M,6.240B,7.871B,,2002-03,460.30M,,,460.30M,400.50M,860.80M,,,,113.50M,,113.50M,,,,974.30M,,1.969B,791.10M,,791.10M,,,718.90M,3.479B,4.453B,,2002-03,249.40M,4.119B,417.20M,768.30M,,,-720.50M,3.297B,,2002-03,,
2001-12,68.30M,,68.30M,867.40M,81.30M,948.70M,,,,,404.20M,,,207.40M,1.629B,,,,,,,10.32B,-5.210B,5.115B,,380.70M,380.70M,,,,914.90M,6.410B,8.039B,,2001-12,463.60M,,,463.60M,368.70M,832.30M,,,,415.10M,,415.10M,,,,1.247B,,1.990B,795.70M,,795.70M,,,714.80M,3.50B,4.747B,,2001-12,249.40M,4.036B,392.70M,768.30M,,,-739.60M,3.171B,,2001-12,,
2001-09,66.20M,,66.20M,913.40M,67.90M,981.30M,128.00M,35.80M,282.70M,,410.50M,,,226.80M,1.685B,0.00,130.00M,682.40M,8.997B,,417.50M,10.23B,-5.108B,5.118B,,384.70M,384.70M,,,,896.10M,6.399B,8.084B,,2001-09,408.10M,,,408.10M,390.00M,798.10M,,,,450.20M,,450.20M,,,104.10M,1.352B,,2.028B,778.40M,,778.40M,,,702.00M,3.508B,4.860B,,2001-09,249.40M,3.966B,384.90M,768.80M,,,-725.60M,3.106B,,2001-09,,
2001-06,116.10M,,116.10M,946.20M,92.40M,1.039B,,,,,414.80M,,,210.60M,1.780B,,,,,,,10.51B,-5.327B,5.182B,,744.60M,744.60M,,,,511.90M,6.439B,8.219B,,2001-06,533.50M,,,533.50M,287.00M,820.50M,,,,372.30M,,372.30M,,,3.10M,1.196B,,2.543B,833.20M,,833.20M,,,510.10M,3.886B,5.082B,,2001-06,249.40M,3.906B,380.40M,756.50M,-508.30M,-251.90M,-760.20M,3.019B,,2001-06,,
2001-03,100.60M,,100.60M,1.050B,108.50M,1.158B,,,,,405.70M,,,240.30M,1.905B,,,,,,,10.45B,-5.275B,5.177B,,709.10M,709.10M,,,,493.80M,6.380B,8.284B,,2001-03,577.00M,,,577.00M,336.60M,913.60M,,,,511.10M,,511.10M,,,17.10M,1.442B,,2.516B,785.60M,,785.60M,,,534.30M,3.836B,5.277B,,2001-03,249.40M,3.817B,360.50M,731.40M,-498.10M,-307.30M,-805.40M,2.890B,,2001-03,,
2000-12,85.30M,,85.30M,1.058B,101.10M,1.159B,,,,,401.50M,,,186.50M,1.833B,,,,,,,10.47B,-5.219B,5.251B,,726.20M,726.20M,,,,491.00M,6.469B,8.301B,,2000-12,581.40M,,,581.40M,341.30M,922.70M,,,,308.50M,,308.50M,,,54.20M,1.285B,,2.655B,765.20M,,765.20M,,,569.00M,3.990B,5.275B,,2000-12,249.40M,3.763B,344.30M,681.60M,-438.40M,-327.50M,-765.90M,2.909B,,2000-12,,
2000-09,94.10M,,94.10M,982.70M,93.40M,1.076B,131.90M,39.70M,244.50M,,388.80M,,,246.00M,1.805B,,,,,,,10.31B,-5.054B,5.257B,,742.20M,742.20M,,,,466.60M,6.466B,8.270B,,2000-09,578.40M,,,578.40M,357.20M,935.60M,,,,429.20M,,429.20M,,,10.00M,1.375B,,2.616B,781.80M,,781.80M,,,561.30M,3.959B,5.334B,,2000-09,249.40M,3.668B,342.20M,681.60M,-420.80M,-335.80M,-756.60M,2.821B,,2000-09,,
2000-06,113.30M,,113.30M,960.90M,79.00M,1.040B,,,,,445.40M,,,349.90M,1.948B,,,,,,,10.63B,-5.212B,5.414B,,326.80M,326.80M,,,,877.90M,6.618B,8.567B,,2000-06,557.30M,,,557.30M,325.30M,882.60M,,,,789.00M,,789.00M,,,12.50M,1.684B,,2.800B,750.90M,,750.90M,,,565.90M,4.117B,5.801B,,2000-06,249.40M,3.490B,342.30M,681.60M,,,-756.50M,2.644B,,2000-06,,
2000-03,92.60M,,92.60M,923.10M,68.00M,991.10M,,,,,429.70M,,,381.30M,1.895B,,,,,,,10.49B,-5.121B,5.371B,,332.60M,332.60M,,,,972.40M,6.676B,8.570B,,2000-03,538.30M,,,538.30M,377.40M,915.70M,,,,555.90M,,555.90M,,,238.00M,1.710B,,2.507B,744.20M,,744.20M,,,566.80M,3.818B,5.528B,,2000-03,249.40M,3.723B,342.10M,681.60M,,,-709.80M,2.923B,,2000-03,,
1999-12,79.50M,,79.50M,921.50M,95.90M,1.017B,,,,,430.50M,,,335.70M,1.863B,,,,,,,10.38B,-5.056B,5.326B,,339.00M,339.00M,,,,986.80M,6.652B,8.515B,,1999-12,554.80M,,,554.80M,494.50M,1.049B,,,,1.085B,,1.085B,,,61.50M,2.196B,,2.010B,745.70M,,745.70M,,,505.80M,3.262B,5.457B,,1999-12,249.40M,3.714B,342.40M,681.60M,,,-694.90M,2.929B,,1999-12,,
1999-09,61.60M,,61.60M,974.50M,,974.50M,,,,,424.90M,,,321.40M,1.782B,,,,,,,10.19B,-4.995B,5.193B,,350.40M,350.40M,,,,909.80M,6.453B,8.236B,,1999-09,505.80M,,,505.80M,,505.80M,,,,880.60M,,880.60M,,,471.40M,1.858B,,1.962B,731.10M,,731.10M,,,596.10M,3.289B,5.147B,,1999-09,249.40M,3.702B,341.50M,681.60M,,,-649.50M,2.962B,,1999-09,,
1999-06,80.30M,,80.30M,922.30M,93.00M,1.015B,,,,,428.80M,,,184.30M,1.709B,,,,,,,9.975B,-4.902B,5.074B,,346.40M,346.40M,,,,883.40M,6.303B,8.012B,,1999-06,561.40M,,,561.40M,284.10M,845.50M,,,,585.00M,,585.00M,,,18.80M,1.449B,,2.250B,741.50M,,741.50M,,,603.10M,3.594B,5.044B,,1999-06,249.40M,3.618B,340.80M,681.60M,,,-693.90M,2.832B,,1999-06,,
1999-03,85.50M,,85.50M,889.20M,143.00M,1.032B,,,,,432.90M,,,164.80M,1.715B,,,,,,,9.744B,-4.833B,4.911B,,343.00M,343.00M,,,,824.10M,6.078B,7.794B,,1999-03,513.60M,,,513.60M,306.50M,820.10M,,,,490.00M,,490.00M,,,30.70M,1.341B,,2.232B,730.20M,,730.20M,,,590.60M,3.552B,4.893B,,1999-03,249.50M,3.561B,335.20M,681.70M,,,-688.30M,2.776B,,1999-03,,
1998-12,57.80M,,57.80M,886.10M,136.60M,1.023B,,,,,452.10M,,,129.20M,1.662B,,,,,,,9.687B,-4.794B,4.894B,,346.40M,346.40M,,,,817.00M,6.057B,7.719B,,1998-12,480.40M,,,480.40M,269.60M,750.00M,,,,562.80M,,562.80M,,,54.30M,1.367B,,2.123B,733.90M,,733.90M,,,605.20M,3.462B,4.829B,,1998-12,249.40M,3.490B,331.10M,681.60M,,,-616.90M,2.772B,,1998-12,,
1998-09,61.50M,,61.50M,975.20M,,975.20M,,,,,428.60M,,,176.40M,1.642B,,,,,,,9.490B,-4.703B,4.786B,,324.90M,324.90M,,,,736.90M,5.848B,7.490B,,1998-09,398.00M,,,398.00M,,398.00M,,,,446.50M,,446.50M,,,421.10M,1.266B,,2.274B,703.00M,,703.00M,,,570.90M,3.548B,4.814B,,1998-09,249.40M,3.40B,329.20M,657.00M,-222.20M,-432.10M,-654.30M,2.667B,,1998-09,,
1998-06,110.80M,,110.80M,852.20M,97.30M,949.50M,,,,,424.40M,,,197.80M,1.682B,,,,,,,9.189B,-4.570B,4.620B,,299.40M,299.40M,,,,746.80M,5.666B,7.348B,,1998-06,530.30M,,,530.30M,280.30M,810.60M,,,,317.50M,,317.50M,,,74.50M,1.203B,,2.305B,688.70M,,688.70M,,,524.90M,3.519B,4.721B,,1998-06,249.50M,3.308B,329.40M,577.00M,-264.80M,-418.30M,-683.10M,2.627B,,1998-06,,
