,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2004-03,161.00M,,,,,56.00M,56.00M,21.00M,,,,-45.00M,,,,,-515.00M,-322.00M,,-34.00M,-34.00M,,-170.00M,-630.00M,-834.00M,,,-241.00M,-241.00M,,,20.00M,,,-19.00M,,,723.00M,,2.785B,-433.00M,,2.352B,,,,,,,,,,
2003-12,148.00M,,,,,72.00M,72.00M,24.00M,,,,11.00M,,,,,356.00M,611.00M,,-47.00M,-47.00M,,-1.229B,-103.00M,-1.753B,,0.00,-406.00M,-406.00M,,,10.00M,,,-19.00M,,,1.385B,,2.454B,243.00M,,2.832B,,,,0.00,,,,,,
2003-09,127.00M,197.00M,197.00M,,,65.00M,65.00M,-13.00M,,,,67.00M,,6.00M,,942.00M,-184.00M,259.00M,,-41.00M,-41.00M,,-418.00M,-642.00M,-1.101B,,-27.00M,88.00M,61.00M,,,11.00M,,,-19.00M,,,1.332B,,2.099B,490.00M,,2.454B,,,,-27.00M,,,,,,
2003-06,126.00M,-152.00M,-154.00M,,,71.00M,71.00M,1.00M,,,,1.886B,,-6.00M,,-942.00M,-2.287B,-357.00M,,-33.00M,-33.00M,,-135.00M,-271.00M,-439.00M,,-51.00M,545.00M,494.00M,,,6.00M,,,-15.00M,,,507.00M,,2.388B,-289.00M,,2.099B,,,,-51.00M,,,,,,
2003-03,71.00M,-45.00M,-43.00M,,,76.00M,76.00M,15.00M,,,,-1.964B,,,,,1.339B,-506.00M,,-32.00M,-32.00M,,-266.00M,-97.00M,-395.00M,,-22.00M,261.00M,239.00M,,,-25.00M,,,-15.00M,,,175.00M,,3.114B,-726.00M,,2.388B,,,,-22.00M,,,,,,
2002-12,-79.00M,,,,,78.00M,78.00M,-40.00M,,,,98.00M,,,,,490.00M,547.00M,,-46.00M,-46.00M,,136.00M,-222.00M,-132.00M,,-11.00M,-252.00M,-263.00M,,,-58.00M,,,-15.00M,,,195.00M,,2.502B,610.00M,2.00M,3.114B,,,0.00,-11.00M,,,,,,
2002-09,-4.00M,25.00M,25.00M,,,81.00M,81.00M,-42.00M,,,,20.00M,,-4.00M,,1.139B,259.00M,339.00M,,-42.00M,-42.00M,,297.00M,-89.00M,166.00M,,-121.00M,-514.00M,-635.00M,,,-195.00M,,,-15.00M,,,-502.00M,,2.498B,3.00M,1.00M,2.502B,,,0.00,-121.00M,,,,,,
2002-06,98.00M,-36.00M,-36.00M,,,79.00M,79.00M,59.00M,,,,8.00M,,4.00M,,-1.139B,515.00M,723.00M,,-40.00M,-40.00M,,-260.00M,-54.00M,-354.00M,,18.00M,61.00M,79.00M,,,-27.00M,,,-15.00M,,,278.00M,,1.85B,647.00M,1.00M,2.498B,,,100.00M,-82.00M,,,,,,
2002-03,94.00M,11.00M,11.00M,,,83.00M,83.00M,27.00M,,,,-5.00M,,,,,-1.65B,-1.44B,,-32.00M,-32.00M,,-269.00M,-118.00M,-419.00M,,,635.00M,635.00M,,,15.00M,,,-15.00M,,,-697.00M,,4.407B,-2.556B,-1.00M,1.85B,,,,,,,,,,
2001-12,-13.00M,,0.00,,,103.00M,103.00M,-54.00M,,,,63.00M,,,,,70.00M,169.00M,,-35.00M,-35.00M,-52.00M,154.00M,-154.00M,-87.00M,,-5.00M,-444.00M,-449.00M,,,-44.00M,,,-15.00M,,,567.00M,,3.761B,649.00M,-3.00M,4.407B,,,,-5.00M,,,,,,
2001-09,13.00M,56.00M,30.00M,,,102.00M,102.00M,-4.00M,,,,4.01B,,,,,-3.37B,781.00M,,-58.00M,-58.00M,,82.00M,-340.00M,-316.00M,,-11.00M,677.00M,666.00M,,,-164.00M,,,-16.00M,,,721.00M,,2.574B,1.186B,1.00M,3.761B,,,24.00M,-35.00M,,,,,,
2001-06,102.00M,-20.00M,-20.00M,,,99.00M,99.00M,-45.00M,,,,1.259B,,,,,-1.254B,141.00M,,-79.00M,-79.00M,12.00M,47.00M,-93.00M,-113.00M,,-22.00M,45.00M,23.00M,,,-138.00M,,,-15.00M,,,-158.00M,,2.704B,-130.00M,,2.574B,,,-24.00M,2.00M,,,,,,
2001-03,97.00M,-36.00M,-36.00M,,,100.00M,100.00M,24.00M,,,,-5.282B,,,,,3.422B,-1.675B,,-129.00M,-129.00M,-12.00M,-175.00M,25.00M,-291.00M,,-2.00M,-54.00M,-56.00M,,,8.00M,,,-15.00M,,,-206.00M,,4.876B,-2.172B,,2.704B,,,,-2.00M,,,,,,
2000-12,139.00M,,,,,91.00M,91.00M,-27.00M,,,,34.00M,,,,,2.861B,3.098B,,-238.00M,-238.00M,,-90.00M,-119.00M,-482.00M,,-23.00M,19.00M,-4.00M,,,9.00M,,,-15.00M,,,409.00M,,1.856B,3.025B,-5.00M,4.876B,,,0.00,-23.00M,,,,,,
2000-09,142.00M,53.00M,53.00M,,,79.00M,79.00M,-12.00M,,,,330.00M,,,,,-1.329B,-737.00M,,-193.00M,-193.00M,,33.00M,-33.00M,-193.00M,,-36.00M,51.00M,15.00M,,,-7.00M,,,-15.00M,,-1.00M,-180.00M,,2.66B,-1.11B,9.00M,1.856B,,,0.00,-36.00M,,,,,,
2000-06,153.00M,-53.00M,-53.00M,,,84.00M,84.00M,15.00M,,,,-1.439B,,,,,1.745B,505.00M,,-158.00M,-158.00M,,-168.00M,-316.00M,-642.00M,,111.00M,128.00M,239.00M,,,66.00M,,,-21.00M,,2.00M,43.00M,,2.227B,-94.00M,-7.00M,2.66B,,,111.00M,,,,,,,
2000-03,284.00M,,,,,54.00M,54.00M,-3.00M,,,,1.495B,,,,,-1.78B,50.00M,,-116.00M,-116.00M,,,10.00M,-106.00M,,200.00M,,200.00M,,,17.00M,,,-11.00M,,-1.00M,205.00M,,2.079B,149.00M,-1.00M,2.227B,,,200.00M,,,,,,,
1999-12,190.15M,61.86M,61.86M,,,48.32M,48.32M,-18.14M,,,,229.57M,,,,,12.31M,524.07M,,-117.25M,-117.25M,,-41.21M,-112.21M,-296.67M,,-10.16M,59.46M,49.30M,,,-3.988M,,,-15.46M,,,588.53M,,1.882B,815.93M,2.91M,2.91B,,,0.00,-10.16M,,,,,,
1999-09,144.11M,16.29M,16.29M,,,47.00M,47.00M,11.54M,,,,-15.92M,,,,,116.46M,319.49M,,-119.28M,-119.28M,,19.72M,-114.12M,-213.67M,,53.93M,-70.90M,-16.97M,,,-0.378M,,,-15.45M,,,101.28M,,1.675B,207.09M,-0.272M,1.882B,,,84.00M,-30.07M,,,,,,
1999-06,188.85M,-3.658M,-3.658M,,,50.77M,50.77M,6.005M,,,,-1.128B,,,,,1.208B,321.44M,,-82.98M,-82.98M,,-20.51M,-280.57M,-384.06M,,55.23M,11.44M,66.67M,,,-12.63M,,,-18.78M,,,132.49M,,1.040B,70.08M,0.262M,1.675B,,,60.00M,-4.773M,,,,,,
1999-03,142.90M,-74.50M,-74.50M,,,34.90M,34.90M,-2.40M,,,,1.177B,,,,,-1.349B,-71.00M,,-50.50M,-50.50M,,,-11.10M,-61.60M,,,,,,,29.00M,,,-11.30M,,,17.70M,,1.156B,-115.10M,-0.90M,1.040B,,,,,,,,,,
1998-12,106.40M,-70.00M,-70.00M,,,33.90M,33.90M,-22.60M,,,,-3.423B,,,,,3.558B,182.80M,,-40.70M,-40.70M,,,,-42.10M,,0.00,,0.00,,,6.20M,,,-11.20M,,0.10M,-4.90M,,1.021B,135.90M,-0.90M,1.156B,,,0.00,0.00,,,,,,
1998-09,97.80M,19.80M,19.80M,,,35.10M,35.10M,15.90M,,,,15.20M,,,,,50.30M,234.10M,,-59.40M,-59.40M,,,,-59.40M,,-40.00M,,-40.00M,,,-19.00M,,,-10.60M,,-0.20M,-69.80M,,915.50M,104.80M,0.60M,1.021B,,,0.00,-40.00M,,,,,,
1998-06,76.30M,1.70M,1.70M,,,35.30M,35.30M,0.20M,,,,8.40M,,,,,-23.00M,98.90M,,-47.60M,-47.60M,,,,-47.60M,,30.00M,,30.00M,,,-60.20M,,,-10.70M,,0.10M,-40.80M,,905.20M,10.50M,-0.20M,915.50M,,,30.00M,,,,,,,
1998-03,68.00M,48.50M,48.50M,,,34.20M,34.20M,0.30M,,,,6.90M,,,,,44.40M,202.30M,,-37.80M,-37.80M,,,,-37.80M,,,,,,,-46.40M,,,-10.60M,,,-57.00M,,797.40M,107.50M,0.30M,905.20M,,,,,,,,,,
1997-12,63.10M,,,,,32.30M,32.30M,-9.70M,,,,-21.50M,,,,,-119.30M,-55.10M,,-36.20M,-36.20M,,,,-37.40M,,41.10M,,41.10M,,,12.50M,,,-10.70M,,-11.30M,31.60M,,857.50M,-61.00M,0.90M,797.40M,,,50.00M,-8.90M,,,,,,
1997-09,76.50M,,,,,34.90M,34.90M,-10.80M,,,,9.40M,,,,,24.30M,134.30M,,-33.60M,-33.60M,,,,-33.60M,,26.30M,,26.30M,,,-0.50M,,,-8.80M,,7.70M,24.70M,,733.40M,125.50M,-1.40M,857.50M,,,51.00M,-24.70M,,,,,,
1997-06,64.00M,,74.10M,,,29.70M,29.70M,-3.10M,,,,9.00M,,,,,-101.20M,72.50M,,-36.90M,-36.90M,,,,-36.90M,,10.00M,,10.00M,,,-15.70M,,,-8.80M,,-2.00M,-16.50M,,713.40M,19.00M,1.00M,733.40M,,,10.00M,,,,,,,
1997-03,66.70M,,-74.10M,,,27.80M,27.80M,-5.50M,,,,6.10M,,,,,95.40M,116.40M,,-32.70M,-32.70M,,,,-32.70M,,,,,,,,,,-8.80M,,5.60M,-3.20M,,633.30M,80.50M,-0.40M,713.40M,,,,,,,,,,
1996-12,59.70M,,,,,26.00M,26.00M,-2.80M,,,,-1.800B,,,,,1.778B,61.60M,,-49.20M,-49.20M,,,-0.90M,-50.10M,,-11.50M,,-11.50M,,,-28.20M,,,-8.80M,,5.20M,-43.30M,,664.60M,-31.90M,0.60M,633.30M,,,0.00,-11.50M,,,,,,
1996-09,57.10M,,,,,24.20M,24.20M,-0.60M,,,,6.10M,,,,,-24.00M,62.80M,,-31.60M,-31.60M,,,-0.10M,-31.70M,,-6.00M,,-6.00M,,,1.00M,,,-8.70M,,-0.20M,-13.90M,,647.40M,17.20M,0.00,664.60M,,,10.00M,-16.00M,,,,,,
1996-06,70.10M,,,,,23.30M,23.30M,-1.40M,,,,313.90M,,,,,-330.90M,75.00M,,-10.30M,-10.30M,,,0.00,-10.30M,,20.00M,,20.00M,,,0.00,,,-7.00M,,0.70M,13.70M,,543.30M,78.40M,0.00,647.40M,,,20.00M,,,,,,,
1996-03,46.90M,,,,,24.80M,24.80M,-0.40M,,,,-300.30M,,,,,387.30M,158.30M,,-68.70M,-68.70M,,,-3.70M,-72.40M,,34.00M,,34.00M,,,-1.00M,,,-7.00M,,2.20M,28.20M,,429.30M,114.10M,-0.10M,543.30M,,,34.00M,,,,,,,
1995-12,42.60M,,,,,22.20M,22.20M,2.60M,,,,-550.20M,,,,,503.10M,20.30M,,-71.50M,-71.50M,,,-39.80M,-111.30M,,27.20M,,27.20M,,,,,,-6.90M,,42.70M,45.70M,,0.00,-45.30M,0.00,429.30M,,,30.00M,,,,,,,
1995-09,47.20M,,,,,17.80M,17.80M,-9.40M,,,,29.10M,,,,,12.60M,97.30M,,-51.20M,-51.20M,,,-19.80M,-71.00M,,20.00M,,20.00M,,,,,,-7.00M,,0.70M,13.70M,,0.00,40.10M,-0.20M,0.00,,,20.00M,,,,,,,
1995-06,44.40M,,,,,14.60M,14.60M,-0.70M,,,,-689.30M,,,,,703.00M,72.00M,,-24.90M,-24.90M,,,-48.30M,-73.20M,,20.00M,,20.00M,,,,,,-5.20M,,4.30M,19.10M,,0.00,17.90M,-0.50M,0.00,,,20.00M,,,,,,,
1995-03,38.40M,,,,,14.10M,14.10M,0.50M,,,,3.10M,,,,,1.60M,57.70M,,-18.00M,-18.00M,,,,-18.00M,,,,,,,,,,-5.10M,,2.10M,-3.00M,,380.60M,36.70M,,0.00,,,,,,,,,,
1994-12,33.80M,,,,,14.10M,14.10M,-4.60M,,,,14.70M,,,,,-28.50M,29.50M,,-5.00M,-5.00M,,,-40.40M,-45.40M,,-35.20M,,-35.20M,,,-12.50M,,,-4.00M,,45.00M,-6.70M,,0.00,-22.60M,,0.00,,,0.00,-35.20M,,,,,,
1994-09,31.20M,,,,,14.10M,14.10M,-0.40M,,,,100.70M,,,,,-76.50M,69.10M,,-5.90M,-5.90M,,,-1.90M,-7.80M,,19.80M,,19.80M,,,-8.40M,,,-4.00M,,0.80M,8.20M,,0.00,69.50M,,0.00,,,20.00M,-0.20M,,,,,,
1994-06,32.10M,,,,,13.90M,13.90M,1.50M,,,,-92.70M,,,,,63.60M,18.40M,,-5.80M,-5.80M,,,,-5.80M,,-0.30M,,-0.30M,,,-6.90M,,,-4.00M,,0.50M,-10.70M,,0.00,2.00M,,0.00,,,,-0.30M,,,,,,
1994-03,38.20M,,,,,12.50M,12.50M,7.30M,,,,-5.40M,,,,,36.30M,88.90M,,-14.80M,-14.80M,,,,-14.80M,,-0.20M,,-0.20M,,,-19.00M,,,-4.00M,,1.10M,-22.10M,,279.80M,51.90M,,0.00,,,,-0.20M,,,,,,
1993-12,28.50M,,,,,12.80M,12.80M,-0.90M,,,,-42.20M,,,,,7.10M,5.30M,,-23.40M,-23.40M,,,,-17.20M,,28.00M,,28.00M,,,,,,-2.80M,,1.40M,26.60M,,0.00,14.70M,,0.00,,,28.00M,0.00,,,,,,
1993-09,28.90M,,,,,11.40M,11.40M,-1.00M,,,,-202.30M,,,,,203.20M,40.20M,,-12.90M,-12.90M,,,,-12.90M,,-5.10M,-5.00M,-10.10M,,,,,,-2.90M,,1.40M,-11.60M,,0.00,15.60M,,0.00,,,122.00M,-127.10M,,,,,,
1993-06,31.60M,,,,,10.70M,10.70M,-2.60M,,,,111.20M,,,,,-129.10M,21.80M,,-28.00M,-28.00M,,,,-28.00M,,-0.40M,5.00M,4.60M,,,,,,-2.90M,,0.50M,2.20M,,0.00,-4.10M,,0.00,,,,-0.40M,,,,,,
1993-03,35.40M,,,,,9.50M,9.50M,-0.90M,,,,95.60M,,,,,-75.10M,64.50M,,-12.80M,-12.80M,,,,-12.80M,,-0.50M,,-0.50M,,,,,,-2.30M,,0.30M,-2.50M,,204.30M,49.30M,,0.00,,,,-0.50M,,,,,,
1992-12,25.20M,,,,,9.00M,9.00M,-3.10M,,,,-172.80M,,,,,174.00M,32.30M,,-15.70M,-15.70M,,,,-11.80M,,-20.60M,20.00M,-0.60M,,,-6.90M,,,-2.30M,,1.10M,-8.70M,,0.00,11.80M,,0.00,,,0.00,-20.60M,,,,,,
1992-09,7.80M,,,,,9.40M,9.40M,-0.60M,,,,7.50M,,,,,12.30M,36.40M,,-14.90M,-14.90M,,,,-14.90M,,-0.40M,0.00,-0.40M,,,-10.80M,,,-2.20M,,0.00,-13.40M,,0.00,8.10M,,0.00,,,0.00,-0.40M,,,,,,
1992-06,18.50M,,,,,9.00M,9.00M,-0.90M,,,,256.50M,,,,,-293.70M,-10.60M,,-12.80M,-12.80M,,,,-12.80M,,54.40M,-20.00M,34.40M,,,-5.50M,,,-2.40M,,0.30M,26.80M,,0.00,3.40M,,0.00,,,35.00M,19.40M,,,,,,
1992-03,29.70M,,,,,13.10M,13.10M,-2.50M,,,,-262.80M,,,,,285.10M,62.60M,,-10.10M,-10.10M,,,,-10.10M,,-21.10M,,-21.10M,,,,,,-1.50M,,0.60M,-22.00M,,150.50M,30.50M,,0.00,,,,-21.10M,,,,,,
1991-12,16.10M,,,,,13.30M,13.30M,-0.60M,,,,-25.90M,,,,,18.40M,21.30M,,-9.40M,-9.40M,,,-11.80M,-21.20M,,14.80M,,34.80M,,,-0.10M,,,-1.60M,,-15.30M,17.80M,,0.00,18.00M,,0.00,,,,14.80M,,,,,,
1991-09,13.20M,,,,,13.00M,13.00M,-1.60M,,,,-8.90M,,,,,8.00M,23.70M,,-6.20M,-6.20M,,,2.10M,-4.10M,,-2.70M,,-2.70M,,,0.00,,,-1.30M,,0.30M,-3.70M,,0.00,15.90M,,0.00,,,,-2.70M,,,,,,
1991-06,9.60M,,,,,12.70M,12.70M,2.40M,,,,-0.20M,,,,,10.20M,34.70M,,-7.40M,-7.40M,,,,-7.40M,,-17.50M,,-17.50M,,,0.00,,,-1.00M,,0.60M,-17.90M,,0.00,9.40M,,0.00,,,,-17.50M,,,,,,
1991-03,10.60M,,,,,12.90M,12.90M,-0.80M,,,,-5.60M,,,,,10.40M,27.50M,,-4.40M,-4.40M,,,,-4.40M,,-1.30M,,-1.30M,,,-4.30M,,,-1.00M,,0.30M,-6.30M,,90.40M,16.80M,,0.00,,,,-1.30M,,,,,,
1990-12,1.00M,,,,,11.70M,11.70M,-0.70M,,,,0.00,,,,,-16.80M,-4.80M,,-5.40M,-5.40M,,,0.10M,-5.30M,,-1.40M,,-1.40M,,,-7.10M,,,-1.00M,,0.10M,-9.40M,,0.00,-19.50M,,0.00,,,,-1.40M,,,,,,
1990-09,7.30M,,,,,11.70M,11.70M,,,,,6.30M,,,,,0.40M,25.70M,,-3.50M,-3.50M,,,-0.40M,-3.90M,,-4.20M,,-4.20M,,,-13.70M,,,-0.80M,,0.00,-18.70M,,0.00,3.20M,,0.00,,,,-4.20M,,,,,,
1990-06,4.80M,,,,,12.30M,12.30M,0.60M,,,,-3.80M,,,,,-1.90M,12.00M,,-3.50M,-3.50M,,,-1.70M,-5.20M,,-1.10M,,-1.10M,,,-8.30M,,,-0.70M,,0.10M,-10.00M,,0.00,-3.20M,,0.00,,,,-1.10M,,,,,,
1990-03,3.70M,,,,,13.40M,13.40M,-0.60M,,,,3.00M,,,,,-1.10M,18.40M,,-6.90M,-6.90M,,,0.10M,-6.80M,,-1.40M,,-1.40M,,,-3.00M,,,-0.80M,,0.10M,-5.10M,,103.40M,6.50M,,0.00,,,,-1.40M,,,,,,
