,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-06,433.87M,433.87M,149.91M,283.95M,,20.08M,,,0.00,,94.58M,1.953M,-92.63M,,130.34M,153.61M,1.953M,94.58M,-92.63M,8.888M,-92.63M,69.87M,,69.87M,-0.132M,,-9.524M,,60.21M,60.34M,275.53M,111.08M,164.45M,0.41,0.0,,,0.41,0.41,0.41,0.0,,,0.41,0.41,145.86M,146.70M,0.5
2011-03,417.21M,417.21M,145.37M,271.84M,,24.72M,,,0.00,,98.52M,0.974M,-97.55M,,133.95M,137.89M,0.974M,98.52M,-97.55M,8.349M,-97.55M,48.69M,,48.69M,-0.497M,,-7.381M,,40.81M,41.07M,256.64M,109.43M,147.22M,0.29,0.0,,,0.2883,0.29,0.29,0.0,,,0.2883,0.29,142.10M,142.50M,0.5
2010-12,384.99M,384.99M,129.45M,255.54M,,16.86M,,,-75.44M,,92.19M,1.691M,-90.50M,,114.31M,141.23M,1.691M,92.19M,-90.50M,-64.93M,-90.50M,,,-14.20M,,,0.042M,,-12.71M,34.44M,193.48M,92.76M,100.71M,-0.1,0.01,,,0.2468,-0.09,-0.1,0.01,,,0.2456,-0.09,140.12M,140.61M,0.5
2010-09,386.41M,386.41M,134.24M,252.18M,,18.07M,,,-1.893M,,97.10M,1.814M,-95.29M,,99.20M,152.98M,1.814M,97.10M,-95.29M,10.40M,-95.29M,,,68.09M,,,-10.42M,,57.67M,58.42M,234.11M,81.13M,152.98M,0.41,0.0,,,0.4154,0.41,0.41,0.0,,,0.4154,0.41,139.60M,140.19M,0.5
2010-06,393.84M,393.84M,129.37M,264.47M,,17.65M,,,-6.051M,,96.76M,2.117M,-94.64M,,99.05M,165.42M,2.117M,96.76M,-94.64M,0.736M,-94.64M,71.52M,,71.52M,0.969M,,-11.08M,,61.41M,64.82M,249.67M,81.40M,168.27M,0.44,0.0,,,0.4714,0.44,0.44,0.0,,,0.4713,0.44,139.11M,139.83M,0.5
2010-03,378.07M,378.07M,130.25M,247.82M,,26.82M,,,5.03M,,92.03M,1.71M,-90.32M,,109.90M,137.92M,1.71M,92.03M,-90.32M,13.14M,-90.32M,60.74M,,60.74M,1.765M,,-9.793M,,52.71M,47.55M,235.85M,83.08M,152.77M,0.38,0.0,,,0.3555,0.38,0.38,0.0,,,0.3556,0.38,138.93M,139.60M,0.5
2009-12,373.85M,373.85M,131.90M,241.95M,,19.51M,,,-10.19M,,88.18M,,-84.12M,,100.04M,141.90M,,88.18M,-84.12M,-6.796M,-84.12M,,,50.99M,,,-9.336M,,53.41M,48.27M,239.07M,79.12M,159.94M,0.38,0.0,,,0.4277,0.38,0.38,0.0,,,0.4275,0.38,138.84M,139.54M,0.5
2009-09,377.30M,377.30M,134.44M,242.86M,,19.99M,,,2.394M,,77.09M,,-77.09M,-1.301M,96.87M,146.00M,,77.09M,-77.09M,8.744M,-77.09M,,,77.65M,,,-11.86M,,65.80M,64.24M,224.18M,78.18M,146.00M,0.47,0.0,,,0.4588,0.47,0.47,0.0,,,0.4588,0.47,138.64M,139.22M,0.5
2009-06,389.49M,389.49M,130.09M,259.40M,,18.53M,,,4.493M,,78.63M,,-78.63M,-0.70M,104.84M,154.56M,,78.63M,-78.63M,4.142M,-78.63M,,,80.07M,,,-12.92M,,67.15M,64.23M,241.57M,87.00M,154.56M,0.54,0.0,,,0.5167,0.54,0.53,0.0,,,0.5068,0.53,125.27M,125.62M,0.5
2009-03,377.54M,377.54M,129.33M,248.21M,,17.42M,,,2.795M,,78.93M,0.32M,-78.61M,28.35M,123.14M,125.07M,0.32M,78.93M,-78.61M,7.892M,-78.61M,,,54.03M,,,-9.432M,,44.60M,42.78M,202.44M,77.37M,125.07M,0.37,0.0,,,0.355,0.37,0.37,0.0,,,0.355,0.37,121.26M,121.47M,0.68
