,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData
2005-03,61.24M,,,,,,68.16M,68.16M,,,15.93M,-6.011M,-26.04M,5.463M,-53.71M,-7.979M,26.59M,-61.68M,83.65M,-66.86M,72.15M,5.289M,,3.376M,-66.86M,-58.19M,-0.889M,-0.889M,-1.778M,0.876M,,0.876M,,,,-89.43M,34.84M,-55.49M,239.34M,-30.04M,209.31M,0.876M,12.44M,-13.33M,,
2004-12,284.02M,,,,,,68.74M,68.74M,,,-54.34M,-78.05M,18.76M,-72.60M,-72.56M,-76.51M,108.39M,-172.57M,125.84M,-60.18M,-103.78M,-163.95M,,5.914M,,-51.37M,-4.346M,,-4.346M,41.97M,,41.97M,,,,-88.58M,1.958M,-49.00M,213.87M,25.47M,239.34M,41.97M,8.498M,-12.84M,,
2004-09,-153.06M,,,,,,66.56M,66.56M,,,236.53M,-1.299M,-23.92M,6.486M,21.31M,47.31M,-106.83M,-56.95M,93.08M,-60.56M,13.22M,-47.34M,,-5.20M,,-52.54M,21.28M,,21.28M,11.91M,,11.91M,,,,-88.38M,0.834M,-54.36M,227.70M,-13.82M,213.87M,11.91M,90.83M,-69.55M,,
2004-06,153.06M,,,,,,60.85M,60.85M,,,-68.01M,3.325M,21.81M,-13.08M,-21.31M,-47.31M,33.38M,-23.18M,122.73M,-85.19M,69.72M,-15.47M,,-0.393M,,-15.87M,22.85M,,22.85M,8.339M,,8.339M,,,,-85.11M,-7.396M,-61.31M,182.15M,45.55M,227.70M,8.339M,34.66M,-11.81M,,
2004-03,,,,,,,56.79M,56.79M,,,76.50M,3.463M,-16.65M,2.693M,,,-34.94M,-45.43M,87.86M,-71.75M,20.84M,-50.92M,,-0.321M,,-51.24M,-151.00M,,-151.00M,359.85M,,359.85M,,,,-80.74M,-5.271M,122.84M,22.69M,159.46M,182.15M,359.85M,174.53M,-325.52M,,
2003-12,,,,,,,-154.15M,-154.15M,,,-243.04M,1.356M,21.44M,2.702M,,,32.66M,58.16M,149.24M,234.37M,-758.64M,-524.26M,,4.229M,331.87M,-188.17M,446.88M,,446.88M,-49.34M,,-49.34M,,,,233.99M,-607.54M,23.99M,37.62M,17.65M,,-49.34M,-1.190B,1.637B,,
2003-09,,,,,,,53.46M,53.46M,,,77.45M,-0.628M,-21.82M,19.49M,,,-38.76M,-41.72M,89.19M,-94.80M,94.80M,0.00,,-3.459M,-94.80M,-98.26M,-129.45M,,-129.45M,22.83M,,22.83M,,,,-80.20M,74.92M,-111.90M,158.59M,-120.97M,37.62M,22.83M,127.61M,-257.06M,,
2003-06,,,,,,,50.74M,50.74M,,,85.99M,2.008M,12.83M,-12.02M,,,4.078M,6.898M,143.63M,-82.34M,84.28M,1.935M,,-0.456M,-82.34M,-80.86M,-150.27M,,-150.27M,16.76M,,16.76M,,,,-76.92M,-78.18M,-288.60M,384.42M,-225.83M,158.59M,16.76M,495.55M,-645.81M,,
2003-03,,,,,,,49.95M,49.95M,,,79.60M,-2.736M,-12.46M,-10.17M,,,2.023M,-23.34M,106.21M,-57.24M,579.56M,522.33M,,-0.314M,-57.24M,464.78M,-167.16M,,-167.16M,9.747M,,9.747M,,,,-76.87M,-7.562M,-241.85M,55.28M,329.14M,384.42M,9.747M,566.80M,-733.96M,,
2002-12,259.29M,,,,,,54.16M,54.16M,,,-327.36M,3.50M,17.35M,23.60M,64.71M,29.73M,0.818M,139.71M,125.79M,1.360B,-1.404B,-44.26M,,4.094M,1.775B,302.62M,-319.56M,-44.00M,-363.56M,-0.096M,,-0.096M,,,,-76.55M,38.28M,-401.92M,28.79M,26.48M,55.28M,-0.096M,988.16M,-1.308B,,
2002-09,71.67M,,,,,,45.35M,45.35M,,,3.983M,8.387M,-22.70M,10.75M,-40.58M,-8.609M,44.07M,-8.676M,112.32M,-1.159B,1.181B,22.07M,,-0.969M,-1.167B,-1.146B,1.051B,44.00M,1.095B,9.87M,,9.87M,,,,-75.39M,-48.25M,981.15M,81.64M,-52.85M,28.79M,9.87M,1.195B,-144.37M,,
2002-06,56.42M,,,,,,43.98M,43.98M,,,22.40M,5.548M,13.04M,-6.685M,15.54M,-5.656M,-52.42M,-30.63M,92.17M,-84.18M,84.18M,0.00,,-2.29M,-61.98M,-64.27M,54.44M,,54.44M,-1.475M,,-1.475M,,,,-72.86M,2.635M,-17.26M,71.01M,10.63M,81.64M,-1.475M,65.86M,-11.42M,,
2002-03,57.01M,,,,,,42.94M,42.94M,,,17.03M,6.70M,-7.683M,-6.54M,-15.54M,5.656M,7.523M,-9.879M,107.10M,-116.53M,138.73M,22.19M,,-0.835M,-130.67M,-109.31M,46.24M,,46.24M,1.475M,,1.475M,,,,-72.53M,-0.032M,-24.85M,98.07M,-27.06M,71.01M,1.475M,67.32M,-21.09M,,
2001-12,56.93M,,,,,,40.83M,40.83M,,,17.31M,-15.32M,1.426M,-3.639M,,,19.22M,-16.18M,98.89M,1.162B,-1.177B,-14.19M,,1.76M,1.178B,-157.19M,957.12M,,957.12M,,,,,,,-72.27M,-899.45M,-4.649M,161.01M,-62.94M,98.07M,,1.186B,-229.02M,,
2001-09,52.77M,,,,,,38.31M,38.31M,,,30.52M,-14.75M,1.56M,11.12M,,,-0.827M,-2.898M,118.70M,-128.15M,128.15M,0.00,,1.164M,-124.63M,-123.46M,-762.43M,,-762.43M,,,,,,,-72.00M,834.44M,0.01M,165.76M,-4.753M,161.01M,,-829.88M,67.45M,,
2001-06,51.09M,,,,,,36.28M,36.28M,,,24.93M,-1.894M,-10.36M,5.607M,,,-13.05M,-19.70M,92.59M,-852.81M,860.38M,7.574M,,-1.466M,-852.81M,-846.70M,727.15M,,727.15M,,,,,,,-66.16M,17.06M,678.05M,241.82M,-76.06M,165.76M,,854.02M,-126.87M,,
2001-03,47.25M,,,,,,34.74M,34.74M,,,24.20M,2.409M,7.373M,-1.406M,,,-5.342M,3.034M,109.22M,-181.43M,188.04M,6.613M,,-1.458M,-181.43M,-176.27M,35.28M,,35.28M,,,,,,,-66.11M,58.74M,27.92M,280.96M,-39.14M,241.82M,,87.06M,-51.78M,,
2000-12,-108.18M,,,,,,-97.06M,-97.06M,,,-58.38M,11.68M,7.844M,7.126M,,,5.979M,32.63M,98.48M,312.52M,-383.36M,-70.84M,,12.64M,-250.65M,-308.85M,-180.82M,,-180.82M,,,,,,,152.92M,506.80M,478.90M,12.43M,-0.395M,,,-676.85M,496.03M,,
2000-09,39.04M,,,,,,32.44M,32.44M,,,19.21M,-7.699M,-10.01M,7.408M,1.499M,25.81M,-22.33M,-5.318M,85.36M,-112.01M,136.14M,24.12M,,-5.607M,-108.27M,-89.76M,58.26M,,58.26M,-1.284M,,-1.284M,,,,-56.34M,9.876M,10.50M,6.319M,6.111M,12.43M,-1.284M,169.19M,-110.94M,,
2000-06,36.52M,,,,,,32.40M,32.40M,,,20.54M,2.199M,-1.989M,-4.852M,-1.499M,-25.81M,7.756M,-24.19M,65.27M,-99.86M,146.58M,46.71M,,-7.018M,-103.53M,-63.84M,31.46M,,31.46M,1.284M,,1.284M,,,,-42.01M,-4.18M,-13.44M,18.34M,-12.02M,6.319M,1.284M,258.27M,-226.81M,,
2000-03,32.62M,,,,,,32.23M,32.23M,,,18.63M,-6.177M,4.154M,-9.682M,,,8.591M,-3.114M,80.37M,-100.64M,100.64M,0.00,,-0.019M,-100.71M,-100.73M,91.11M,,91.11M,,,,,,,-54.57M,-9.876M,26.66M,12.04M,6.30M,18.34M,,249.39M,-158.28M,,
1999-12,36.03M,,,,,,31.74M,31.74M,,,13.72M,-6.839M,-7.218M,19.51M,-32.20M,27.20M,-5.445M,-4.991M,76.50M,-106.58M,119.68M,13.10M,11.63M,-17.24M,-112.25M,-104.75M,371.96M,,371.96M,-0.012M,,-0.012M,,,,-51.04M,-331.04M,-10.13M,50.42M,-38.38M,12.04M,-0.012M,127.49M,244.48M,,
1999-09,29.07M,,,,,,31.08M,31.08M,,,16.74M,31.64M,-1.052M,-14.36M,22.90M,-0.50M,-16.34M,22.30M,99.19M,-376.21M,376.21M,0.00,-11.63M,0.00,-358.25M,-369.88M,336.35M,,336.35M,0.249M,,0.249M,,,,-46.65M,-1.062M,288.88M,32.22M,18.19M,50.42M,0.249M,353.04M,-16.69M,,
1999-06,28.90M,,,,,,29.44M,29.44M,,,14.99M,-10.87M,-2.976M,4.504M,-18.52M,9.782M,9.426M,-8.654M,64.68M,-80.59M,178.22M,97.63M,,12.66M,-178.33M,-68.04M,-98.39M,,-98.39M,0.566M,0.031M,0.597M,,,,-41.18M,140.95M,1.978M,33.60M,-1.372M,32.22M,0.566M,60.00M,-158.39M,0.031M,
1999-03,25.77M,,,,,,27.79M,27.79M,,,14.89M,-1.358M,0.892M,13.62M,-9.181M,3.818M,-13.15M,-5.363M,63.10M,-97.63M,,-97.63M,,-12.66M,-2.034M,-112.33M,15.24M,,15.24M,0.00,-0.031M,-0.031M,,,,-42.62M,98.07M,70.66M,12.17M,21.43M,33.60M,0.00,463.00M,-447.76M,-0.031M,
1998-12,29.56M,,,,-23.90M,51.20M,126.62M,126.62M,,,-63.39M,-7.672M,,1.375M,2.80M,5.10M,,-1.093M,67.79M,-529.15M,,1.168B,,,-2.095B,-969.92M,939.85M,,939.85M,-819.30M,,-819.30M,,,,-38.71M,816.90M,898.73M,,,12.17M,-819.30M,1.256B,-316.21M,,
1998-09,25.30M,,,,9.20M,-21.50M,-21.50M,-21.50M,,,43.10M,-8.40M,,-20.60M,11.10M,-7.50M,,-25.40M,30.70M,-624.90M,,-624.90M,,,-30.40M,-655.30M,511.50M,,511.50M,53.70M,,53.70M,,,,-33.80M,-0.20M,531.20M,,,,53.70M,515.00M,-3.50M,,
1998-06,26.40M,,,,8.20M,-16.60M,-16.60M,-16.60M,,,33.00M,0.00,,18.50M,-20.90M,9.50M,,7.10M,58.10M,-232.30M,,-232.30M,,,-7.10M,-239.40M,-68.80M,,-68.80M,-0.10M,,-0.10M,,,,-32.30M,0.10M,-101.10M,,,,-0.10M,76.00M,-144.80M,,
