,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-09,110.09M,,,,,,,,47.41M,47.41M,9.965M,,,,4.194M,-17.12M,-4.228M,20.34M,,-4.768M,,-5.781M,-4.932M,160.95M,,-51.56M,,-51.56M,-82.76M,,5.616M,-128.70M,,,,37.20M,9.659M,-71.86M,-62.20M,4.654M,-20.35M,,139.94M,11.91M,,151.85M,,,9.659M,,,-71.86M,,,,,
2006-06,117.67M,,,,,-14.87M,,,40.14M,40.14M,-1.007M,,,,15.46M,-20.56M,-0.021M,35.09M,,-67.97M,,-53.46M,-18.49M,85.44M,,-46.06M,,-46.06M,-37.81M,-28.49M,-2.031M,-86.39M,,,,25.20M,5.205M,-120.66M,-115.45M,41.31M,-48.94M,,204.78M,-49.89M,,139.94M,,,5.205M,,,-120.66M,,,,,
2006-03,116.21M,,,,,14.87M,,,47.37M,47.37M,9.527M,,,,,7.077M,-9.075M,-51.48M,,55.97M,,2.492M,,190.47M,,-47.17M,,-47.17M,-63.22M,28.49M,,-81.91M,,,,162.36M,13.05M,-228.88M,-215.83M,-34.79M,-88.26M,,184.47M,20.30M,,204.78M,,,13.05M,,,-228.88M,,,,,
2005-12,150.04M,,,,,-45.57M,,,46.55M,46.55M,2.354M,,,,,-34.76M,-0.075M,47.92M,,40.57M,,53.65M,,207.02M,,-55.52M,-1.273M,-56.79M,-14.96M,173.71M,1.00M,102.96M,,,,-43.16M,2.698M,-194.50M,-191.80M,-64.91M,-299.87M,,174.01M,10.11M,,184.00M,,,2.698M,,,-194.50M,,,,,
2005-09,112.94M,,,,,-3.60M,,,44.28M,44.28M,5.436M,,,,-1.211M,-23.52M,-7.545M,29.95M,,-17.65M,,-18.76M,,139.08M,,-39.84M,-20.67M,-60.51M,-359.39M,-105.19M,0.00,-525.09M,,,,48.01M,1.602M,-195.34M,-193.74M,139.18M,-6.558M,,566.58M,-392.57M,,174.01M,,,1.602M,,,-195.34M,,,,,
2005-06,114.00M,,,,,0.00,,,45.15M,45.15M,-0.858M,,,,1.211M,1.054M,-3.254M,21.40M,,-61.99M,,-42.79M,,116.71M,,-37.87M,-40.98M,-78.84M,-39.65M,437.94M,0.00,319.45M,,,,-7.689M,17.20M,-156.48M,-139.27M,-442.35M,-589.31M,,719.73M,-153.15M,,566.58M,,,17.20M,,,-156.48M,,,,,
2005-03,139.03M,,,,,-42.83M,,,43.02M,43.02M,12.07M,,,,,-25.77M,3.874M,-46.28M,,51.08M,,-17.10M,,134.18M,,-31.77M,344.92M,313.15M,-96.00M,-611.46M,68.00M,-326.32M,,,,-7.156M,10.50M,-106.68M,-96.19M,499.08M,395.73M,,516.13M,203.60M,,719.73M,,,10.50M,,,-106.68M,,,,,
2004-12,97.45M,,,,,1.346M,,,48.07M,48.07M,-22.32M,,,,,-5.234M,-5.092M,29.38M,,41.01M,,60.06M,-4.251M,180.36M,,-52.71M,,-52.71M,-13.80M,172.01M,-139.26M,-33.76M,,,,16.82M,4.136M,,-60.21M,-0.527M,-43.92M,,409.19M,102.68M,,516.13M,,,4.136M,,,,,,,,
2004-09,92.36M,,,,,15.91M,,,44.44M,44.44M,8.34M,,,,,-14.79M,8.968M,34.46M,,-1.163M,,27.48M,-3.972M,184.55M,,-39.49M,,-39.49M,-10.18M,109.56M,,59.89M,,,,0.812M,6.022M,,6.022M,-34.99M,-28.16M,,192.91M,216.28M,,409.19M,,,6.022M,,,,,,,,
2004-06,95.03M,,,,,-2.911M,,,46.94M,46.94M,8.602M,,,,,-6.741M,0.174M,30.71M,,-7.923M,,16.22M,3.972M,167.86M,,-37.86M,,-37.86M,-11.14M,-281.57M,351.27M,20.70M,,,,-103.60M,8.846M,,8.846M,-73.62M,-168.37M,,172.73M,20.18M,,192.91M,,,8.846M,,,,,,,,
2004-03,92.80M,,,,,2.911M,,,45.91M,45.91M,28.40M,,,,,7.584M,-8.568M,-40.10M,,32.43M,,-8.649M,,161.37M,,-31.02M,,-31.02M,-29.78M,,-351.27M,-412.07M,,,,-106.97M,11.66M,,11.66M,356.07M,260.76M,,162.67M,10.06M,,172.73M,,,11.66M,,,,,,,,
2003-12,81.97M,,,,,,,,44.79M,44.79M,-8.537M,,,,,-0.943M,-2.744M,21.00M,,62.78M,,80.10M,,197.95M,,-20.32M,,-20.32M,-153.22M,77.95M,,-95.59M,,,,7.044M,2.301M,,2.301M,-110.64M,-101.29M,,201.70M,1.066M,,162.67M,,,2.301M,,,,,,,,
2003-09,80.41M,,,,,,,,43.67M,43.67M,10.07M,,,,,-9.111M,3.486M,63.59M,,30.11M,,88.08M,,222.23M,,-37.90M,,-37.90M,-392.36M,-59.60M,,-489.86M,,,,88.98M,5.701M,,5.701M,83.51M,178.19M,,291.15M,-89.45M,,201.70M,,,5.701M,,,,,,,,
2003-06,78.44M,,,,,,,,39.98M,39.98M,-0.464M,,,,,21.49M,5.859M,-6.493M,,-73.46M,-26.08M,-78.68M,,39.28M,,-45.37M,,-45.37M,-111.19M,121.08M,143.04M,107.55M,,,,98.49M,7.832M,,7.832M,-144.16M,-37.84M,,182.16M,108.99M,,291.15M,,,7.832M,,,,,,,,
2003-03,74.19M,,,,,,,,37.40M,37.40M,26.42M,,,,,5.832M,-1.798M,-44.73M,,18.66M,26.08M,4.043M,,142.05M,,-35.52M,,-35.52M,-79.14M,,-143.04M,-257.70M,,,,21.28M,2.751M,,2.751M,46.54M,70.57M,,227.24M,-45.08M,,182.16M,,,2.751M,,,,,,,,
2002-12,68.23M,,,,,-4.898M,-75.60M,-27.80M,30.99M,30.99M,3.237M,,,,,-16.34M,-7.855M,5.946M,,29.28M,80.60M,91.63M,,184.52M,,-61.84M,,-61.84M,-258.84M,-80.16M,30.88M,-369.96M,,,,191.70M,3.929M,-9.586M,-5.657M,8.674M,194.72M,,217.97M,9.27M,,192.96M,,,3.929M,,,-9.586M,,,,,
2002-09,66.15M,,,,,-0.426M,26.16M,9.126M,35.28M,35.28M,3.487M,,,,,7.943M,-1.75M,30.99M,,29.72M,-80.60M,-13.69M,,90.80M,,-18.07M,,-18.07M,-44.44M,-103.24M,-9.775M,-175.52M,,,,47.03M,4.153M,-23.99M,-19.84M,87.16M,114.36M,,188.33M,29.64M,,217.97M,,,4.153M,,,-23.99M,,,,,
2002-06,66.64M,,,,,-1.482M,49.44M,18.67M,34.48M,34.48M,-2.839M,,,,,0.267M,3.773M,8.672M,,-14.08M,58.22M,56.85M,,153.65M,,-16.22M,,-16.22M,-23.46M,-124.00M,-106.16M,-269.85M,,,,-25.98M,-2.105M,,-2.105M,193.92M,165.83M,,138.70M,49.63M,,188.33M,,,-2.105M,,,,,,,,
2002-03,65.11M,,,,,,,,33.64M,33.64M,22.41M,,,,,14.15M,-1.312M,-33.21M,,4.908M,-58.22M,-73.68M,,47.48M,,-40.99M,,-40.99M,-35.85M,,85.06M,8.223M,,,,-29.66M,5.443M,,5.443M,-28.88M,-53.09M,,136.09M,2.607M,,138.70M,,,5.443M,,,,,,,,
2001-12,52.83M,,,,,4.327M,-83.17M,-24.88M,39.65M,39.65M,-1.237M,,,,,11.12M,-8.104M,-3.031M,,67.58M,-3.534M,64.02M,,159.60M,,-58.02M,,-58.02M,-83.61M,113.37M,25.10M,-3.17M,,,,63.20M,2.149M,,2.149M,-178.44M,-113.09M,,92.75M,43.34M,,136.09M,,,2.149M,,,,,,,,
2001-09,52.63M,,,,,-1.00M,46.11M,-9.446M,36.66M,36.66M,7.947M,,,,,-23.96M,-1.974M,16.22M,,10.79M,3.534M,4.603M,,100.84M,,-12.47M,,-12.47M,-48.11M,-205.53M,-8.549M,-274.66M,,,,31.94M,3.812M,,3.812M,152.85M,188.61M,,77.96M,14.79M,,92.75M,,,3.812M,,,,,,,,
2001-06,51.99M,,,,,-1.506M,18.76M,16.92M,35.68M,35.68M,-11.43M,,,,,10.52M,-0.616M,25.92M,-8.307M,15.42M,,42.94M,,117.67M,,-17.41M,,-17.41M,-2.218M,104.94M,-7.452M,77.86M,,,,-29.25M,5.886M,,5.886M,-176.35M,-199.72M,,82.15M,-4.183M,,77.96M,,,5.886M,,,,,,,,
2001-03,50.76M,,,,,-1.821M,18.30M,17.40M,35.71M,35.71M,16.42M,,,,,0.673M,,-46.78M,8.307M,6.156M,,-31.64M,,69.43M,,-16.71M,,-16.71M,-90.90M,-90.75M,-9.094M,-207.46M,,,,20.88M,3.206M,,3.206M,97.23M,121.32M,,98.86M,-16.71M,,82.15M,,,3.206M,,,,,,,,
2000-12,44.10M,,,,,,,,38.73M,38.73M,-5.775M,,,,,-1.744M,,-0.17M,1.884M,243.56M,,243.53M,,312.76M,,-14.71M,,-14.71M,-0.324M,-147.27M,-8.275M,-170.58M,,,,-293.14M,3.415M,0.00,3.415M,152.48M,-137.25M,,93.93M,4.929M,,98.86M,,,3.415M,,,0.00,,,,,
2000-09,44.74M,,,,,,,,34.06M,34.06M,2.379M,,,,,-21.94M,,24.41M,6.763M,78.36M,,87.58M,,168.76M,,-14.70M,,-14.70M,-39.75M,51.38M,-6.404M,-9.472M,,,,-80.73M,0.698M,0.00,0.698M,-57.84M,-137.88M,,72.51M,21.41M,,93.93M,,,0.698M,,,0.00,,,,,
2000-06,45.03M,,,,,,,,41.88M,41.88M,-9.396M,,,,,11.34M,,8.62M,-4.534M,159.17M,,174.59M,,252.10M,,-21.47M,,-21.47M,-42.18M,216.81M,-9.688M,143.47M,,,,-154.86M,3.194M,0.00,3.194M,-246.06M,-397.72M,,74.66M,-2.142M,,72.51M,,,3.194M,,,0.00,,,,,
2000-03,43.16M,,,,,,,,34.18M,34.18M,17.60M,,,,,-8.802M,,-23.15M,-4.292M,-207.86M,,-244.10M,,-149.16M,,-22.09M,,-22.09M,-6.515M,15.81M,-9.641M,-22.44M,,,,175.21M,13.27M,-9.884M,3.385M,-12.89M,165.70M,,80.55M,-5.899M,,74.66M,,,13.27M,,,-9.884M,,,,,
1999-12,34.87M,,,,,,,,53.91M,53.91M,7.083M,,,,-0.10M,-1.247M,,8.394M,-11.10M,-68.17M,,-72.12M,,23.64M,,183.40M,,183.40M,,-209.01M,261.45M,25.25M,,,,26.06M,0.313M,-8.613M,-8.30M,-61.95M,-44.19M,,75.90M,4.696M,,80.55M,,,0.313M,,,-8.613M,,,,,
1999-09,35.20M,,,,,,,,22.50M,22.50M,1.00M,,,,0.10M,-2.80M,,17.50M,-0.80M,-24.60M,,-10.70M,,48.10M,,-130.00M,,-130.00M,,188.80M,-287.50M,-228.70M,,,,101.00M,0.50M,-20.10M,-19.60M,112.70M,194.10M,,0.00,13.50M,,75.90M,,,0.50M,,,-20.10M,,,,,
1999-06,34.40M,,,,,,,,20.70M,20.70M,-1.00M,,,,-0.10M,24.90M,,-14.00M,8.80M,-4.50M,,15.20M,,69.20M,,-83.50M,,-83.50M,,-188.80M,142.80M,-129.50M,,,,-23.60M,1.80M,,1.80M,62.90M,41.10M,,81.50M,-19.20M,,0.00,,,1.80M,,,,,,,,
1999-03,33.40M,,,,,,,,22.40M,22.40M,7.10M,,,,0.10M,-2.00M,,2.50M,-0.20M,-26.40M,,-26.10M,,36.90M,,-39.60M,,-39.60M,,,-142.80M,-182.40M,,,,66.50M,3.30M,,3.30M,85.70M,155.50M,,71.60M,10.00M,,81.50M,,,3.30M,,,,,,,,
1998-12,29.60M,,,,,5.10M,,,17.30M,17.30M,-0.70M,,,,-0.10M,8.70M,,15.00M,7.00M,-14.70M,,16.00M,,67.20M,,74.30M,,74.30M,,,-100.10M,-25.80M,,,,59.70M,-1.60M,0.00,-1.60M,-115.70M,-57.60M,,87.80M,-16.20M,,71.56M,,,-1.60M,,,0.00,,,,,
1998-09,28.90M,,,,,-5.10M,,,22.10M,22.10M,-2.00M,,,,0.10M,-23.90M,,19.50M,3.80M,58.00M,,57.40M,,101.40M,,-32.60M,,-32.60M,,-0.60M,-148.50M,-181.70M,,,,-39.10M,0.70M,0.00,0.70M,140.80M,102.40M,,0.00,22.10M,,87.80M,,,0.70M,,,0.00,,,,,
1998-06,28.60M,,,,,1.20M,,,15.40M,15.40M,3.90M,,,,0.10M,15.50M,,3.70M,-3.40M,-66.60M,,-50.80M,,-1.60M,,-104.40M,,-104.40M,,0.60M,38.30M,-65.50M,,,,100.50M,-85.60M,-5.90M,-91.50M,40.70M,49.70M,,0.00,-17.40M,,0.00,,,-85.60M,,,-5.90M,,,,,
1998-03,27.20M,,,,,-1.20M,,,17.70M,17.70M,1.30M,,,,-0.10M,-16.10M,,-5.80M,2.20M,57.60M,,37.90M,,82.80M,,-14.80M,,-14.80M,,,-38.30M,-53.10M,,,,-41.30M,91.50M,-36.50M,55.00M,-49.70M,-36.00M,,89.40M,-6.30M,,0.00,,,91.50M,,,-36.50M,,,,,
1997-12,24.20M,,,,,2.00M,,,16.60M,16.60M,1.70M,,,,0.20M,-23.00M,,10.30M,-4.60M,-15.30M,,-32.60M,,12.10M,,-10.10M,,-10.10M,,-87.20M,-39.60M,-136.90M,,,,30.50M,1.40M,,1.40M,110.10M,142.00M,,0.00,17.20M,,0.00,,,1.40M,,,,,,,,
1997-09,23.20M,,,,,-0.50M,,,15.70M,15.70M,0.30M,,,,-0.30M,136.50M,,0.90M,3.40M,-117.40M,,23.40M,,61.80M,,-10.20M,,-10.20M,,-80.60M,27.00M,-63.80M,,,,-28.90M,2.10M,,2.10M,29.20M,2.40M,,0.00,0.40M,,0.00,,,2.10M,,,,,,,,
1997-06,25.30M,,,,,-1.00M,,,16.30M,16.30M,0.40M,,,,0.10M,-123.60M,,9.70M,-5.30M,144.90M,,25.70M,,66.80M,,-9.30M,,-9.30M,,,178.20M,168.90M,,,,-40.50M,4.60M,,4.60M,-190.30M,-226.20M,,0.00,9.50M,,0.00,,,4.60M,,,,,,,,
1997-03,18.10M,,,,,-0.50M,,,14.60M,14.60M,1.80M,,,,0.10M,-9.10M,,-3.10M,-0.60M,7.60M,,-5.20M,,28.90M,,-10.20M,,-10.20M,,,-230.60M,-240.80M,,,,7.80M,1.90M,,1.90M,163.20M,172.90M,,80.80M,-39.00M,,0.00,,,1.90M,,,,,,,,
1996-12,34.10M,,,,,1.80M,,,22.10M,22.10M,-4.20M,,,,0.00,0.20M,,5.70M,-2.00M,4.20M,,8.10M,,61.90M,,-13.40M,,-13.40M,,,50.00M,-97.40M,,,,-27.10M,0.10M,,0.10M,77.90M,50.90M,,0.00,15.40M,,0.00,,,0.10M,,,,,,,,
1996-09,5.80M,,,,,-0.30M,,,14.90M,14.90M,3.20M,,,,0.00,119.00M,,3.90M,1.20M,-102.50M,,21.60M,,45.20M,,-8.00M,,-8.00M,,,70.60M,62.60M,,,,-40.90M,1.00M,,1.00M,-63.30M,-103.20M,,0.00,4.60M,,0.00,,,1.00M,,,,,,,,
1996-06,25.10M,,,,,-0.70M,,,16.60M,16.60M,-1.30M,,,,0.10M,-122.00M,,7.50M,12.20M,107.30M,,5.00M,,44.80M,,-8.60M,,-8.60M,,,103.30M,94.70M,,,,-32.30M,3.40M,,3.40M,-95.10M,-124.00M,,0.00,15.50M,,0.00,,,3.40M,,,,,,,,
1996-03,14.70M,,,,,-0.80M,,,15.60M,15.60M,4.50M,,,,,-2.10M,,-12.80M,-3.10M,2.20M,,-15.80M,,18.20M,,-9.50M,,-9.50M,,,-134.40M,-143.90M,,,,-19.30M,0.40M,,0.40M,133.80M,114.90M,,59.70M,-10.80M,,0.00,,,0.40M,,,,,,,,
1995-12,-96.20M,,,,,172.00M,,,24.70M,24.70M,-72.60M,,,,,-8.20M,,8.20M,-14.80M,12.80M,,-2.00M,,25.90M,,-11.40M,,-11.40M,,,-45.70M,73.20M,,,,6.70M,-0.50M,,-0.50M,-128.30M,-122.10M,,0.00,-23.00M,,0.00,,,-0.50M,,,,,,,,
1995-09,13.10M,,,,,-1.90M,,,14.50M,14.50M,5.80M,,,,0.10M,-3.90M,,11.40M,-3.70M,-3.00M,,0.80M,,32.40M,,-10.90M,,-10.90M,,,-99.30M,-110.20M,,,,-22.00M,0.50M,,0.50M,121.80M,100.30M,,0.00,22.50M,,0.00,,,0.50M,,,,,,,,
1995-06,12.80M,,,,,-1.90M,,,13.50M,13.50M,3.70M,,,,0.00,-0.40M,,-11.00M,-4.20M,-6.50M,,-22.10M,,6.00M,,-7.10M,,-7.10M,,,-204.30M,-211.40M,,,,250.20M,0.40M,,0.40M,-17.00M,233.60M,,0.00,28.20M,,0.00,,,0.40M,,,,,,,,
1995-03,10.40M,,,,,-1.60M,,,11.70M,11.70M,4.10M,,,,-0.10M,2.50M,,-13.40M,-1.00M,11.70M,,-0.20M,,24.30M,,-15.60M,,-15.60M,,,91.00M,75.40M,,,,-3.10M,0.20M,,0.20M,-94.50M,-97.40M,,28.30M,2.30M,,0.00,,,0.20M,,,,,,,,
1994-12,10.10M,,,,,-9.60M,,,40.80M,40.80M,1.90M,,,,-23.30M,-11.70M,,-4.00M,1.60M,14.30M,,0.20M,,20.10M,,-10.30M,,-10.30M,,-46.70M,-9.70M,-66.70M,,,,13.40M,-0.50M,,-0.50M,28.10M,41.00M,,0.00,-5.60M,,0.00,,,-0.50M,,,,,,,,
1994-09,9.50M,,,,,,,,,,2.90M,,,,8.60M,,,,-13.20M,-1.50M,,-14.70M,,6.30M,,-10.70M,,-10.70M,,-33.20M,-6.20M,-50.10M,,,,6.50M,0.30M,,0.30M,38.30M,45.10M,,0.00,1.30M,,0.00,,,0.30M,,,,,,,,
1994-06,9.40M,,,,,2.10M,,,-9.10M,-9.10M,3.10M,,,,14.70M,-7.90M,,10.90M,6.90M,-15.60M,,-5.70M,,14.50M,,-15.20M,,-15.20M,,-93.20M,177.60M,69.20M,,,,3.60M,2.10M,,2.10M,-101.20M,-95.50M,,0.00,-11.80M,,0.00,,,2.10M,,,,,,,,
1994-03,8.70M,,,,,-2.10M,,,9.10M,9.10M,4.50M,,,,-0.10M,7.90M,,-10.90M,0.70M,4.30M,,2.00M,,22.10M,,-16.60M,,-16.60M,,,-182.30M,-198.90M,,,,4.60M,,,,180.60M,185.20M,,35.90M,8.40M,,0.00,,,,,,,,,,,
1993-12,8.30M,,,,,-1.80M,,,8.10M,8.10M,6.20M,,,,0.30M,-6.60M,,-0.70M,-3.90M,-3.20M,,-14.40M,,6.70M,,-10.70M,,-10.70M,,,-61.70M,-144.00M,,,,58.30M,-1.90M,,-1.90M,74.90M,131.30M,,0.00,-6.00M,,0.00,,,-1.90M,,,,,,,,
1993-09,7.90M,,,,,-1.70M,,,7.50M,7.50M,1.20M,,,,0.00,-6.60M,,4.10M,0.40M,0.20M,,-1.90M,,13.00M,,-8.00M,,-8.00M,,,-28.30M,-36.30M,,,,-1.50M,0.10M,,0.10M,20.60M,19.20M,,0.00,-4.10M,,0.00,,,0.10M,,,,,,,,
1993-06,7.70M,,,,,-1.70M,,,7.90M,7.90M,2.30M,,,,-0.10M,1.50M,,-4.70M,-3.60M,-2.00M,,-8.80M,,7.30M,,-5.50M,,-5.50M,,,32.50M,27.00M,,,,-15.70M,-25.10M,,-25.10M,14.10M,-26.70M,,0.00,7.60M,,0.00,,,-25.10M,,,,,,,,
1993-03,6.80M,,,,,-2.00M,,,7.10M,7.10M,2.10M,,,,-0.10M,-1.70M,,-5.30M,-1.20M,5.90M,,-2.30M,,11.60M,,-4.30M,,-4.30M,,,-57.80M,-62.10M,,,,16.30M,49.60M,,49.60M,-34.60M,31.30M,,57.60M,-19.20M,,0.00,,,49.60M,,,,,,,,
1992-12,6.00M,,,,,-1.60M,,,5.40M,5.40M,1.50M,,,,,-0.70M,,0.00,-0.90M,-3.30M,,-4.90M,,6.60M,,-3.90M,,-3.90M,,,65.90M,-64.60M,,,,-0.60M,-0.80M,,-0.80M,62.80M,61.40M,,0.00,3.40M,,0.00,,,-0.80M,,,,,,,,
1992-09,5.80M,,,,,-1.80M,,,5.80M,5.80M,1.90M,,,,,-0.80M,,1.30M,-1.60M,0.20M,,-0.90M,,10.80M,,-4.90M,,-4.90M,,,-44.70M,-49.60M,,,,0.20M,0.20M,,0.20M,48.90M,49.30M,,0.00,10.50M,,0.00,,,0.20M,,,,,,,,
1992-06,5.70M,,,,,-1.90M,,,5.80M,5.80M,1.20M,,,,,1.50M,,2.30M,-0.10M,-4.10M,,-0.40M,,10.40M,,-6.00M,,-6.00M,,,41.20M,35.20M,,,,-0.40M,0.10M,,0.10M,-41.00M,-41.30M,,0.00,4.30M,,0.00,,,0.10M,,,,,,,,
1992-03,5.50M,,,,,-1.50M,,,5.70M,5.70M,0.80M,,,,,-4.70M,,-1.20M,-0.60M,4.30M,,-2.20M,,8.30M,,-4.30M,,-4.30M,,,-47.90M,-52.20M,,,,-0.40M,1.60M,,1.60M,57.70M,58.90M,,24.40M,15.00M,,0.00,,,1.60M,,,,,,,,
1991-12,5.10M,,,,,-1.10M,,,5.80M,5.80M,0.00,,,,0.10M,-1.50M,,2.60M,-0.70M,-1.70M,,-1.30M,,8.60M,,-7.30M,,-7.30M,,,56.00M,-30.30M,,,,-1.40M,0.20M,,0.20M,11.80M,10.60M,,0.00,-11.10M,,0.00,,,0.20M,,,,,,,,
1991-09,4.90M,,,,,-1.60M,,,5.70M,5.70M,0.00,,,,0.20M,1.50M,,0.80M,-1.70M,0.90M,,1.50M,,10.70M,,-3.10M,,-3.10M,,,-19.80M,-22.90M,,,,-0.60M,0.20M,,0.20M,19.70M,19.30M,,0.00,7.10M,,0.00,,,0.20M,,,,,,,,
1991-06,4.40M,,,,,-1.70M,,,5.50M,5.50M,0.90M,,,,-0.10M,-5.20M,,4.10M,-0.30M,2.00M,,0.60M,,9.60M,,-2.60M,,-2.60M,,,-85.90M,-88.50M,,,,19.20M,47.60M,,47.60M,29.60M,96.40M,,0.00,17.50M,,0.00,,,47.60M,,,,,,,,
1991-03,3.90M,,,,,-1.90M,,,3.50M,3.50M,1.50M,,,,,-1.80M,,-0.80M,-2.30M,0.50M,,-4.40M,,2.60M,,-1.30M,,-1.30M,,,-20.80M,-22.10M,,,,-2.10M,0.40M,,0.40M,10.60M,8.90M,,21.60M,-10.60M,,0.00,,,0.40M,,,,,,,,
1990-12,3.70M,,,,,-1.50M,,,3.60M,3.60M,0.00,,,,0.10M,0.20M,,-0.70M,-0.30M,0.90M,,0.10M,,6.00M,,-1.10M,,-1.10M,,,65.20M,-33.00M,,,,3.30M,0.90M,,0.90M,20.10M,24.30M,,0.00,-2.70M,,0.00,,,0.90M,,,,,,,,
1990-09,3.60M,,,,,-0.60M,,,3.60M,3.60M,0.80M,,,,-0.10M,-1.40M,,1.90M,-0.20M,-0.20M,,0.10M,,7.40M,,-1.30M,,-1.30M,,,-12.50M,-13.80M,,,,-2.50M,0.10M,,0.10M,21.60M,19.20M,,0.00,12.80M,,0.00,,,0.10M,,,,,,,,
1990-06,3.40M,,,,,-0.80M,,,3.70M,3.70M,0.40M,,,,0.10M,-0.40M,,1.20M,0.00,-0.90M,,-0.10M,,6.70M,,-1.50M,,-1.50M,,,-27.00M,-28.50M,,,,2.80M,0.20M,,0.20M,27.40M,30.40M,,0.00,8.60M,,0.00,,,0.20M,,,,,,,,
1990-03,3.10M,,,,,-0.50M,,,3.70M,3.70M,2.00M,,,,,3.00M,,-1.70M,-0.50M,-0.50M,,0.30M,,8.60M,,-1.20M,,-1.20M,,,-35.50M,-36.70M,,,,4.20M,0.50M,,0.50M,22.50M,27.20M,,3.80M,-0.90M,,0.00,,,0.50M,,,,,,,,
1989-12,3.10M,,,,,-0.50M,,,3.80M,3.80M,0.20M,,,,0.00,-2.70M,,3.10M,273.20M,-274.90M,,-1.30M,,5.30M,,-1.10M,,-1.10M,,,-282.00M,-283.10M,,,,-4.90M,2.00M,,2.00M,,279.40M,,0.00,1.60M,,0.00,,,2.00M,,,,,,,,
1989-09,2.90M,,,,,-1.30M,,,3.70M,3.70M,0.00,,,,0.10M,-1.20M,,-0.20M,-21.20M,22.10M,,-0.50M,,4.90M,,-2.30M,,-2.30M,,,-9.90M,-12.20M,,,,7.50M,0.10M,,0.10M,,7.60M,,0.00,0.30M,,0.00,,,0.10M,,,,,,,,
1989-06,2.80M,,,,,-1.60M,,,3.60M,3.60M,0.40M,,,,-0.20M,-0.70M,,1.30M,-255.00M,254.20M,,-0.20M,,4.80M,,-2.70M,,-2.70M,,,-0.40M,-3.10M,,,,-2.30M,0.10M,,0.10M,,-2.20M,,0.00,-0.50M,,0.00,,,0.10M,,,,,,,,
1989-03,2.60M,,,,,-1.00M,,,3.50M,3.50M,0.40M,,,,,1.40M,,-3.40M,-1.00M,1.50M,,-1.50M,,4.00M,,-8.30M,,-8.30M,,,-0.10M,-8.40M,,,,0.10M,0.10M,,0.10M,,0.20M,,6.60M,-4.20M,,0.00,,,0.10M,,,,,,,,
