,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-12,28.71M,,,,6.065M,0.419M,6.484M,6.484M,-2.781M,,,,,0.669M,5.292M,2.342M,-5.179M,,6.718M,0.744M,9.917M,-0.005M,42.99M,-5.742M,0.086M,-5.656M,,-0.766M,-0.042M,-6.561M,,,-0.852M,11.93M,,11.93M,,-6.289M,,2.332M,7.119M,33.66M,43.55M,,77.29M,11.93M,,,,,
2005-09,28.52M,,,0.727M,6.112M,0.322M,6.434M,6.434M,8.243M,,,,,-1.829M,5.904M,-2.206M,-5.93M,,10.14M,-0.599M,7.314M,-0.708M,48.70M,-5.088M,,-5.088M,,0.00,0.013M,-5.275M,,,-26.65M,16.90M,,16.90M,,-6.182M,,-3.917M,-18.54M,8.787M,24.88M,,33.66M,16.90M,,,,,
2005-06,28.93M,,,-1.465M,6.411M,0.328M,6.739M,6.739M,-4.317M,,,,,3.997M,-16.10M,-2.744M,9.426M,,6.563M,4.437M,1.584M,1.46M,36.93M,-5.995M,-0.025M,-6.02M,,0.00,0.029M,-6.156M,,,-29.50M,4.668M,,4.668M,,-6.148M,,2.094M,-30.18M,8.191M,0.595M,,8.787M,4.668M,,,,,
2005-03,23.64M,,,0.738M,6.958M,0.325M,7.283M,7.283M,3.171M,,,,,,-13.32M,-0.736M,1.721M,,-1.798M,-4.437M,-18.57M,,16.27M,-5.707M,0.025M,-5.682M,,-0.425M,,-6.107M,,,-4.781M,4.004M,,4.004M,,-6.07M,,-2.396M,-9.243M,7.274M,0.917M,,8.191M,4.004M,,,,,
2004-12,22.66M,,,-4.239M,6.746M,1.013M,7.759M,7.759M,4.532M,,,,,4.266M,12.26M,-0.266M,-1.694M,,-2.09M,,13.14M,,48.12M,-6.292M,,-5.765M,,0.237M,-0.345M,-5.873M,,,-42.30M,4.409M,,4.409M,,-6.07M,,2.633M,-41.33M,6.36M,0.914M,,7.274M,4.409M,,,,,
2004-09,23.22M,,,4.239M,7.184M,0.911M,8.095M,8.095M,3.293M,,,,,-1.501M,-1.024M,-4.077M,-2.393M,,12.16M,,4.669M,,42.01M,-5.046M,,-5.046M,,-9.75M,-0.047M,-14.84M,,,-19.33M,1.155M,,1.155M,,-6.048M,,-2.578M,-26.80M,5.989M,0.371M,,6.36M,1.155M,,,,,
2004-06,22.83M,,,,7.092M,0.81M,7.902M,7.902M,1.814M,,,,,5.139M,-7.464M,-3.273M,9.167M,,-3.414M,,-4.984M,,32.70M,-4.411M,,-4.411M,,-120.82M,0.062M,-125.17M,,,84.68M,9.267M,,9.267M,,-4.669M,,1.347M,90.62M,7.832M,-1.843M,,5.989M,9.267M,,,,,
2004-03,17.69M,,,,6.976M,0.797M,7.773M,7.773M,1.143M,,,,,-7.904M,-9.729M,-1.668M,6.817M,,5.336M,,0.756M,,19.46M,-5.348M,,-5.348M,,-40.65M,0.33M,-45.67M,,,24.65M,8.017M,,8.017M,,-4.628M,,-2.55M,25.49M,8.552M,-0.72M,,7.832M,8.017M,,,,,
2003-12,16.20M,,,,6.17M,0.564M,6.734M,6.734M,4.809M,,,,,-5.418M,15.57M,4.816M,-5.718M,,-7.45M,-8.139M,-0.924M,,21.41M,-6.704M,3.436M,-3.268M,,0.209M,-3.326M,-6.385M,,,-13.22M,2.323M,,2.323M,,-4.605M,,0.871M,-14.63M,8.163M,0.389M,,8.552M,2.323M,,,,,
2003-09,16.51M,,,,6.877M,0.787M,7.664M,7.664M,2.056M,,,,,,9.90M,3.964M,-3.433M,,5.284M,1.284M,17.00M,,43.23M,-5.207M,,-5.207M,,-3.787M,0.132M,-8.862M,,,-31.18M,6.284M,,6.284M,,-4.577M,,-2.586M,-32.06M,5.856M,2.307M,,8.163M,6.284M,,,,,
2003-06,16.94M,,,,6.817M,0.785M,7.602M,7.602M,2.22M,,,,,0.495M,-11.86M,-2.612M,6.06M,,4.493M,6.855M,2.932M,,30.19M,-4.615M,-3.037M,-7.652M,,-10.38M,3.194M,-14.83M,,,-18.33M,4.021M,,4.021M,,-4.551M,,1.588M,-17.27M,7.772M,-1.916M,,5.856M,4.021M,,,,,
2003-03,12.70M,,,,7.282M,0.773M,8.055M,8.055M,1.402M,,,,,-0.495M,-6.736M,-1.544M,3.302M,,0.181M,,-4.797M,,16.86M,-3.792M,3.037M,-0.755M,,-8.00M,,-8.755M,,,-0.70M,0.548M,,0.548M,,-4.551M,,-2.582M,-7.285M,6.952M,0.82M,,7.772M,0.548M,,,,,
2002-12,12.17M,,,,6.161M,0.719M,6.88M,6.88M,4.077M,,,,,,10.90M,3.111M,-2.601M,,-13.07M,,-1.661M,,22.10M,-6.221M,,-2.287M,,-5.392M,,-7.679M,,,-11.56M,0.006M,,0.006M,,-4.544M,,2.543M,-13.55M,6.088M,0.864M,,6.952M,0.006M,,,,,
2002-09,14.79M,,,2.928M,6.921M,0.666M,7.587M,7.587M,2.44M,,,,,,2.122M,1.951M,-1.895M,,1.872M,,4.05M,,31.79M,-4.069M,,-4.069M,,-64.00M,,-68.07M,,,41.23M,0.538M,,0.538M,,-4.542M,,-2.558M,34.67M,7.692M,-1.604M,,6.088M,0.538M,,,,,
2002-06,15.61M,,,-1.347M,6.982M,0.806M,7.788M,7.788M,2.825M,,,,,,-9.038M,-1.807M,6.543M,,10.10M,,5.795M,,30.67M,-4.66M,,-4.66M,,-5.538M,,-10.20M,,,-72.18M,54.57M,,54.57M,,-4.332M,,2.448M,-19.50M,6.721M,0.971M,,7.692M,54.57M,,,,,
2002-03,11.54M,,,-1.581M,7.039M,0.811M,7.85M,7.85M,0.25M,,,,,,-2.973M,2.991M,4.978M,,0.787M,,5.783M,,23.85M,-4.385M,,-4.385M,,,,-4.385M,,,-12.00M,1.48M,,1.48M,,-4.303M,,-2.891M,-17.71M,4.972M,1.749M,,6.721M,1.48M,,,,,
2001-12,4.304M,,,-5.661M,5.772M,4.602M,10.37M,10.37M,-3.586M,,,,,,16.19M,8.755M,-5.138M,,3.335M,,23.14M,,22.53M,-5.348M,,-3.54M,,-2.533M,,-6.073M,,,-16.82M,0.845M,,0.845M,,-4.296M,,2.435M,-17.84M,6.352M,-1.38M,,4.972M,0.845M,,,,,
2001-09,8.184M,,,0.00,7.158M,4.545M,11.70M,11.70M,1.191M,,,,,,2.151M,2.485M,2.531M,,4.196M,,11.36M,,32.44M,-5.181M,,-5.181M,,-0.125M,,-5.306M,,,-27.06M,3.161M,,3.161M,,-4.272M,,-2.458M,-30.63M,9.85M,-3.498M,,6.352M,3.161M,,,,,
2001-06,12.99M,,,0.00,6.526M,4.412M,10.94M,10.94M,1.719M,,,,,,2.406M,8.211M,-5.48M,,-0.767M,,4.37M,,30.02M,-5.807M,,-5.807M,,-23.13M,,-28.94M,,,-0.832M,2.915M,,2.915M,,-4.257M,,2.625M,0.451M,8.317M,1.533M,,9.85M,2.915M,,,,,
2001-03,7.229M,,,5.661M,6.898M,4.384M,11.28M,11.28M,0.524M,,,,,,3.26M,2.781M,0.88M,,-11.12M,,-4.199M,,20.50M,-5.303M,,-5.303M,,-106.51M,,-111.81M,,,95.69M,2.08M,,2.08M,,-4.236M,,-2.318M,91.21M,8.415M,-0.098M,,8.317M,2.08M,,,,,
2000-12,13.54M,,,,,,8.726M,8.726M,1.081M,,,,,-3.96M,4.054M,-1.167M,0.082M,,5.82M,,8.789M,,28.17M,-6.914M,,-5.367M,,-0.144M,,-5.511M,,,-20.52M,1.169M,0.00,1.169M,,-4.215M,,2.47M,-21.10M,6.851M,1.564M,,8.415M,1.169M,,,0.00,,
2000-09,16.56M,,,,,,9.472M,9.472M,-0.025M,,,,,,7.888M,1.917M,-8.088M,,-1.078M,,0.639M,,26.65M,-5.258M,,-5.258M,,0.00,,-5.258M,,,-13.67M,0.50M,0.00,0.50M,,-4.211M,,-2.667M,-20.05M,5.508M,1.343M,,6.851M,0.50M,,,0.00,,
2000-06,17.53M,,,,,,9.485M,9.485M,0.488M,,,,,4.904M,-7.487M,-3.163M,1.718M,,-10.99M,,-19.92M,,12.48M,-4.219M,,-4.219M,,-34.37M,,-38.59M,,,28.01M,0.761M,0.00,0.761M,,-4.203M,,2.626M,27.20M,4.414M,1.094M,,5.508M,0.761M,,,0.00,,
2000-03,15.81M,,,,,,9.021M,9.021M,-0.463M,,,,,-4.904M,-4.564M,0.003M,4.688M,,4.281M,,4.408M,,23.88M,-4.348M,,-4.348M,,,,-4.348M,,,-11.65M,0.432M,-0.046M,0.386M,,-4.152M,,-2.596M,-18.01M,2.895M,1.519M,,4.414M,0.432M,,,-0.046M,,
1999-12,13.90M,,,,,,8.60M,8.60M,0.60M,,,,,0.30M,6.30M,-0.30M,-0.30M,,6.10M,,10.70M,,34.10M,-3.80M,,-3.80M,,,,-3.80M,,,-30.50M,0.00,0.00,0.00,,-4.10M,,2.40M,-32.20M,4.90M,-1.90M,,2.90M,0.00,,,0.00,,
1999-09,14.50M,,,,,,9.20M,9.20M,0.40M,,,,,-0.20M,0.70M,1.50M,-1.40M,,0.60M,,1.40M,,25.30M,-5.90M,,-5.90M,,,,-5.90M,,,-16.10M,1.40M,0.00,1.40M,,-4.10M,,-2.60M,-21.40M,0.00,-2.00M,,4.90M,1.40M,,,0.00,,
1999-06,14.10M,,,,,,8.40M,8.40M,2.80M,,,,,1.10M,-2.40M,-0.10M,-0.10M,,-3.90M,,-6.50M,,19.90M,-53.00M,,-53.00M,,,,-53.00M,,,36.70M,1.50M,0.00,1.50M,,-4.20M,,2.10M,36.10M,0.00,3.00M,,0.00,1.50M,,,0.00,,
1999-03,11.90M,,,,,,8.60M,8.60M,-0.10M,,,,,-1.00M,-5.50M,3.70M,-1.30M,,0.60M,,-2.50M,,16.90M,-4.10M,,-4.10M,,,,-4.10M,,,-4.80M,,-0.10M,-0.10M,,-4.10M,,-2.60M,-11.60M,2.70M,1.20M,,0.00,,,,-0.10M,,
1998-12,11.70M,,,0.00,,,7.90M,7.90M,1.10M,,,,,0.20M,4.70M,-1.00M,6.00M,,-3.50M,,2.30M,-0.30M,22.90M,-4.50M,0.00,-4.50M,,,,-4.50M,,,-24.50M,3.30M,,3.30M,,-3.90M,,2.50M,-22.60M,0.00,-4.20M,,2.70M,3.30M,,,,,
1998-09,14.30M,,,-0.60M,,,8.80M,8.80M,0.60M,,,,,0.10M,5.70M,1.90M,-3.70M,,1.20M,,5.10M,-0.20M,28.10M,-3.80M,17.40M,13.60M,,,,13.60M,,,-33.90M,-0.90M,,-0.90M,,-4.00M,,-1.80M,-40.60M,0.00,1.10M,,0.00,-0.90M,,,,,
1998-06,23.90M,,,-8.80M,,,8.70M,8.70M,1.80M,,,,,-0.20M,0.40M,1.50M,-2.50M,,-2.50M,,-3.10M,4.20M,26.50M,-123.50M,22.30M,-101.20M,,,118.10M,16.90M,,,-47.80M,0.90M,,0.90M,,-4.00M,,6.60M,-44.30M,0.00,-0.90M,,0.00,0.90M,,,,,
