,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-12,166.14M,166.14M,96.10M,70.04M,37.10M,,,1.346M,,,,45.82M,24.22M,,,1.346M,,21.55M,8.017M,13.54M,,,13.54M,12.69M,32.94M,8.726M,24.22M,0.2,0.0,,0.1874,0.2,0.1956,0.0,,0.1833,0.1956,67.06M,69.02M,0.0622
2000-09,176.22M,176.22M,99.58M,76.64M,36.59M,,,-0.172M,,,,46.06M,30.58M,,,-0.172M,,26.12M,9.557M,16.56M,,,16.56M,16.67M,40.05M,9.472M,30.58M,0.2489,0.0,,0.2505,0.2489,0.24,0.0,,0.2416,0.24,66.92M,69.52M,0.0622
2000-06,185.26M,185.26M,105.76M,79.50M,38.26M,,,0.356M,,,,47.74M,31.76M,,,0.356M,,28.05M,10.52M,17.53M,,,17.53M,17.31M,41.24M,9.485M,31.76M,0.2578,0.0,,0.2545,0.2578,0.2533,0.0,,0.2501,0.2533,67.48M,69.32M,0.0622
2000-03,176.66M,176.66M,99.99M,76.68M,37.69M,,,-0.499M,,,,46.71M,29.96M,,,-0.499M,,25.30M,9.487M,15.81M,,,15.81M,16.12M,38.98M,9.021M,29.96M,0.2356,0.0,,0.2402,0.2356,0.2311,0.0,,0.2357,0.2311,66.74M,67.92M,0.0622
1999-12,167.10M,167.10M,97.00M,70.10M,35.10M,,,0.30M,,,,43.70M,26.40M,,,0.30M,,22.30M,8.40M,13.90M,,,13.90M,13.71M,35.00M,8.60M,26.40M,0.2083,0.0,,0.2055,0.2083,0.2038,0.0,,0.2011,0.2038,66.55M,68.47M,0.0622
1999-09,169.90M,169.90M,97.80M,72.10M,35.40M,,,0.10M,,,,44.60M,27.50M,,,0.10M,,22.90M,8.40M,14.50M,,,14.50M,14.44M,36.70M,9.20M,27.50M,0.218,0.0,,0.217,0.218,0.2135,0.0,,0.2126,0.2135,66.51M,67.90M,0.0622
1999-06,161.50M,161.50M,91.10M,70.40M,35.00M,,,0.10M,,,,43.40M,27.00M,,,0.10M,,22.80M,8.70M,14.10M,,,14.10M,14.04M,35.40M,8.40M,27.00M,0.2135,0.0,,0.2126,0.2135,0.2091,0.0,,0.2082,0.2091,66.03M,67.43M,0.0622
1999-03,156.50M,156.50M,89.30M,67.20M,35.00M,,,0.10M,,,,43.60M,23.60M,,,0.10M,,19.20M,7.30M,11.90M,,,11.90M,11.84M,32.20M,8.60M,23.60M,0.178,0.0,,0.177,0.178,0.178,0.0,,0.177,0.178,66.87M,66.87M,0.0622
1998-12,152.10M,152.10M,88.30M,63.80M,32.70M,,,,,,,40.60M,23.20M,,,,,18.80M,7.10M,11.70M,0.00,,11.70M,11.70M,31.10M,7.90M,23.20M,0.1727,-0.0046,,0.1727,0.1281,0.1727,-0.0046,,0.1727,0.1281,69.06M,69.06M,0.06
1998-09,159.40M,159.40M,99.70M,59.70M,32.20M,,,,,,,32.20M,27.50M,,,,,22.10M,8.40M,13.70M,0.60M,,14.30M,13.70M,36.30M,8.80M,27.50M,0.2091,0.0089,,0.2091,0.218,0.2046,0.0089,,0.2046,0.2135,65.60M,66.96M,0.06
1998-06,169.50M,169.50M,96.10M,73.40M,34.20M,,,-0.10M,,,,42.90M,30.50M,,,-0.10M,,24.40M,9.30M,15.10M,8.80M,,23.90M,15.16M,39.20M,8.70M,30.50M,0.2313,0.1335,,0.2323,0.3648,0.2224,0.129,,0.2234,0.3515,65.51M,68.00M,0.06
