,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-06,,9.373B,11.40B,20.77B,1.603B,1.642B,3.245B,,,,545.00M,543.00M,1.131B,1.76B,28.00B,0.00,807.00M,1.372B,1.218B,3.397B,-1.22B,2.177B,38.00M,291.00M,329.00M,,133.00M,822.00M,3.711B,31.71B,,3.683B,107.00M,3.79B,523.00M,4.313B,,,,,,2.727B,3.52B,1.133B,9.218B,,,806.00M,1.336B,2.142B,727.00M,2.869B,12.09B,,6.831B,12.71B,,77.00M,19.62B,,AOR,Restated
2008-03,,9.07B,10.38B,19.45B,1.593B,2.027B,3.62B,,,,364.00M,549.00M,1.06B,1.695B,26.74B,0.00,796.00M,1.199B,1.118B,3.113B,-1.151B,1.962B,38.00M,300.00M,338.00M,,131.00M,929.00M,3.735B,30.47B,,4.154B,105.00M,4.259B,522.00M,4.781B,,,,,,2.416B,3.242B,1.321B,9.634B,,,675.00M,1.409B,2.084B,700.00M,2.784B,12.42B,,6.342B,11.64B,,69.00M,18.05B,,AOR,Restated
2007-12,,9.162B,9.286B,18.45B,1.939B,2.483B,4.422B,,,,459.00M,417.00M,993.00M,1.45B,26.19B,0.00,774.00M,1.113B,1.044B,2.931B,-1.061B,1.87B,38.00M,311.00M,349.00M,,267.00M,781.00M,3.85B,30.04B,,5.366B,57.00M,5.423B,565.00M,5.988B,,,,,,2.095B,2.852B,1.478B,10.54B,,,780.00M,1.193B,1.973B,727.00M,2.70B,13.24B,,6.046B,10.68B,,74.00M,16.80B,,AOR,Restated
2007-09,,9.352B,6.034B,15.39B,1.637B,2.392B,4.029B,,,,346.00M,417.00M,782.00M,749.00M,21.96B,0.00,762.00M,1.06B,1.019B,2.841B,-1.009B,1.832B,38.00M,299.00M,337.00M,,385.00M,212.00M,3.391B,25.35B,,4.97B,488.00M,5.458B,518.00M,5.976B,,,,,,1.391B,1.936B,1.114B,9.28B,,,619.00M,849.00M,1.468B,67.00M,1.535B,10.82B,,5.368B,9.101B,,63.00M,14.53B,,AOR,Restated
2007-06,,7.118B,6.649B,13.77B,1.41B,1.491B,2.901B,,,,251.00M,441.00M,687.00M,698.00M,18.74B,0.00,727.00M,928.00M,907.00M,2.562B,-936.00M,1.626B,38.00M,237.00M,275.00M,,93.00M,241.00M,2.902B,21.65B,,3.66B,462.00M,4.122B,487.00M,4.609B,,,,,,1.063B,1.514B,666.00M,6.992B,,,673.00M,561.00M,1.234B,17.00M,1.251B,8.243B,,5.149B,8.199B,,56.00M,13.40B,,AOR,Restated
2007-03,176.00M,7.095B,5.482B,12.58B,928.00M,739.00M,1.667B,,,,208.00M,475.00M,640.00M,462.00M,16.03B,0.00,685.00M,776.00M,843.00M,2.304B,-895.00M,1.409B,38.00M,240.00M,278.00M,,68.00M,185.00M,2.682B,18.71B,,2.403B,444.00M,2.847B,479.00M,3.326B,,,,,,922.00M,1.286B,627.00M,5.485B,,,535.00M,414.00M,949.00M,16.00M,965.00M,6.45B,,4.848B,7.381B,,32.00M,12.26B,,AOR,Restated
2006-12,334.00M,7.159B,4.71B,11.87B,1.621B,1.492B,3.113B,,,,303.00M,250.00M,648.00M,481.00M,16.66B,0.00,674.00M,727.00M,799.00M,2.20B,-838.00M,1.362B,38.00M,146.00M,184.00M,,66.00M,185.00M,2.797B,19.46B,,3.885B,446.00M,4.331B,539.00M,4.87B,,,,,,924.00M,1.282B,1.007B,7.337B,,,504.00M,376.00M,880.00M,16.00M,896.00M,8.233B,,4.594B,6.611B,,23.00M,11.23B,,AOR,Restated
2006-09,,6.392B,3.718B,10.11B,1.252B,1.593B,2.845B,,,,270.00M,208.00M,607.00M,469.00M,14.51B,0.00,626.00M,689.00M,760.00M,2.075B,-794.00M,1.281B,38.00M,139.00M,177.00M,,21.00M,175.00M,2.696B,17.20B,,3.39B,388.00M,3.778B,582.00M,4.36B,,,,,,718.00M,1.042B,820.00M,6.443B,,,381.00M,383.00M,764.00M,14.00M,778.00M,7.221B,,4.355B,5.607B,,22.00M,9.984B,,AOR,Restated
2006-06,235.00M,8.013B,1.163B,9.176B,1.089B,1.005B,2.094B,,,,213.00M,167.00M,491.00M,350.00M,12.49B,0.00,611.00M,621.00M,722.00M,1.954B,-757.00M,1.197B,38.00M,37.00M,75.00M,,83.00M,185.00M,2.623B,15.11B,,2.513B,,2.513B,487.00M,3.00B,,,,,,709.00M,978.00M,867.00M,5.023B,,,423.00M,324.00M,747.00M,14.00M,761.00M,5.784B,,4.249B,5.065B,,16.00M,9.33B,,AOR,Restated
2006-03,477.00M,6.346B,1.88B,8.226B,861.00M,1.123B,1.984B,,,,204.00M,97.00M,459.00M,316.00M,11.29B,0.00,485.00M,612.00M,634.00M,1.731B,-726.00M,1.005B,69.00M,41.00M,110.00M,,163.00M,194.00M,2.625B,13.91B,,2.108B,,2.108B,451.00M,2.559B,,,,,,634.00M,984.00M,716.00M,4.456B,,,460.00M,300.00M,760.00M,13.00M,773.00M,5.229B,,4.014B,4.673B,,-5.00M,8.682B,,AOR,Restated
2005-12,233.00M,4.15B,4.557B,8.707B,1.331B,1.082B,2.413B,,,,244.00M,,471.00M,327.00M,12.16B,0.00,361.00M,584.00M,602.00M,1.547B,-692.00M,855.00M,69.00M,24.00M,93.00M,,156.00M,165.00M,2.019B,14.18B,,2.896B,,2.896B,451.00M,3.347B,,,,,,630.00M,630.00M,919.00M,5.06B,,,430.00M,298.00M,728.00M,13.00M,741.00M,5.801B,,3.815B,4.57B,,-5.00M,8.38B,,AOR,Restated
2005-09,127.00M,3.491B,4.77B,8.261B,895.00M,417.00M,1.312B,,,,165.00M,,331.00M,231.00M,10.30B,0.00,361.00M,551.00M,569.00M,1.481B,-664.00M,817.00M,69.00M,27.00M,96.00M,,186.00M,117.00M,1.216B,11.52B,,1.779B,196.00M,1.975B,409.00M,2.384B,,,,,,501.00M,527.00M,409.00M,3.487B,,,308.00M,281.00M,589.00M,12.00M,601.00M,4.088B,,3.564B,3.925B,,0.00,7.428B,,AOR,Restated
2005-06,158.00M,3.094B,4.432B,7.526B,827.00M,274.00M,1.101B,6.00M,2.00M,185.00M,193.00M,,334.00M,222.00M,9.376B,0.00,355.00M,558.00M,496.00M,1.409B,-645.00M,764.00M,80.00M,29.00M,109.00M,,132.00M,107.00M,1.112B,10.49B,,1.53B,,1.53B,363.00M,1.893B,,,,,,467.00M,467.00M,595.00M,3.123B,,,283.00M,251.00M,534.00M,10.00M,544.00M,3.667B,,3.299B,3.575B,,9.00M,6.821B,,AOR,Restated
2005-03,,2.254B,4.803B,7.057B,888.00M,354.00M,1.242B,1.00M,,163.00M,164.00M,,297.00M,247.00M,9.007B,0.00,354.00M,542.00M,474.00M,1.37B,-628.00M,742.00M,80.00M,33.00M,113.00M,,136.00M,113.00M,1.104B,10.11B,,1.773B,,1.773B,340.00M,2.113B,,,,,,427.00M,427.00M,648.00M,3.352B,,,132.00M,231.00M,363.00M,10.00M,373.00M,3.725B,,3.195B,3.255B,,6.00M,6.386B,,AOR,Restated
2004-12,,2.475B,3.973B,6.448B,865.00M,332.00M,1.197B,,,156.00M,156.00M,,281.00M,240.00M,8.322B,0.00,353.00M,545.00M,454.00M,1.352B,-617.00M,735.00M,80.00M,16.00M,96.00M,,117.00M,92.00M,1.04B,9.362B,,1.737B,,1.737B,340.00M,2.077B,,,,,,398.00M,398.00M,588.00M,3.224B,,,122.00M,217.00M,339.00M,9.00M,348.00M,3.572B,,2.911B,2.965B,,-3.00M,5.79B,,AOR,Restated
2004-09,200.00M,2.969B,2.495B,5.464B,774.00M,276.00M,1.05B,,,,101.00M,,231.00M,209.00M,7.055B,0.00,351.00M,501.00M,446.00M,1.298B,-591.00M,707.00M,80.00M,17.00M,97.00M,,111.00M,80.00M,995.00M,8.05B,,1.451B,,1.451B,252.00M,1.703B,,,,,,342.00M,342.00M,472.00M,2.651B,,,113.00M,202.00M,315.00M,8.00M,323.00M,2.974B,,2.514B,2.67B,,-15.00M,5.076B,,AOR,Restated
2004-06,,3.12B,1.846B,4.966B,629.00M,223.00M,852.00M,1.00M,,71.00M,72.00M,,227.00M,169.00M,6.286B,0.00,350.00M,470.00M,432.00M,1.252B,-568.00M,684.00M,80.00M,19.00M,99.00M,,74.00M,80.00M,937.00M,7.223B,,1.061B,,1.061B,241.00M,1.302B,,,,,,470.00M,470.00M,244.00M,2.155B,,,256.00M,,256.00M,,256.00M,2.411B,,2.369B,2.564B,,-18.00M,4.812B,,AOR,Restated
2004-03,,3.158B,1.436B,4.594B,585.00M,173.00M,758.00M,1.00M,0.00,62.00M,63.00M,,216.00M,153.00M,5.784B,0.00,350.00M,514.00M,390.00M,1.254B,-567.00M,687.00M,85.00M,21.00M,106.00M,,81.00M,77.00M,951.00M,6.735B,,991.00M,,991.00M,213.00M,1.204B,,,,,,432.00M,432.00M,225.00M,1.98B,,,265.00M,,265.00M,,265.00M,2.245B,,2.107B,2.503B,,-10.00M,4.49B,,AOR,Restated
2003-12,,3.724B,1.067B,4.791B,586.00M,201.00M,787.00M,3.00M,1.00M,85.00M,89.00M,,218.00M,144.00M,6.029B,0.00,350.00M,497.00M,374.00M,1.221B,-537.00M,684.00M,85.00M,22.00M,107.00M,,83.00M,68.00M,942.00M,6.971B,,1.085B,,1.085B,204.00M,1.289B,,,,302.00M,302.00M,406.00M,406.00M,271.00M,2.382B,,,259.00M,,259.00M,,259.00M,2.641B,,1.96B,2.457B,,-31.00M,4.33B,,AOR,Restated
2003-09,,3.396B,1.17B,4.566B,766.00M,184.00M,950.00M,2.00M,4.00M,50.00M,56.00M,,190.00M,125.00M,5.887B,0.00,350.00M,467.00M,357.00M,1.174B,-505.00M,669.00M,85.00M,24.00M,109.00M,,88.00M,62.00M,928.00M,6.815B,,1.154B,,1.154B,191.00M,1.345B,,,,304.00M,304.00M,368.00M,368.00M,239.00M,2.357B,,,235.00M,,235.00M,,235.00M,2.592B,,1.926B,2.394B,,-35.00M,4.223B,,AOR,Restated
2003-06,,3.507B,1.038B,4.545B,568.00M,106.00M,674.00M,1.00M,0.00,37.00M,38.00M,,176.00M,113.00M,5.546B,0.00,348.00M,440.00M,336.00M,1.124B,-485.00M,639.00M,85.00M,27.00M,112.00M,14.00M,75.00M,55.00M,895.00M,6.441B,,880.00M,,880.00M,195.00M,1.075B,,,,307.00M,307.00M,331.00M,331.00M,195.00M,2.025B,,,218.00M,,218.00M,,218.00M,2.243B,,1.935B,2.35B,,-19.00M,4.198B,,AOR,Restated
2003-03,,3.41B,1.116B,4.526B,492.00M,129.00M,621.00M,,,,41.00M,,168.00M,112.00M,5.468B,0.00,346.00M,418.00M,312.00M,1.076B,-457.00M,619.00M,85.00M,29.00M,114.00M,28.00M,78.00M,54.00M,893.00M,6.361B,,921.00M,,921.00M,199.00M,1.12B,,,,310.00M,310.00M,294.00M,294.00M,188.00M,2.007B,,,215.00M,,215.00M,,215.00M,2.222B,,1.919B,2.331B,,-36.00M,4.139B,,AOR,Restated
2002-12,,2.612B,1.85B,4.462B,497.00M,,497.00M,1.00M,,43.00M,44.00M,,177.00M,204.00M,5.384B,0.00,344.00M,411.00M,291.00M,1.046B,-441.00M,605.00M,85.00M,31.00M,116.00M,28.00M,,136.00M,885.00M,6.269B,,817.00M,,817.00M,228.00M,1.045B,,,,,,278.00M,278.00M,182.00M,1.595B,320.00M,320.00M,238.00M,,238.00M,,558.00M,2.153B,,1.84B,2.317B,,-40.00M,4.116B,,AOR,Restated
2002-09,,2.252B,2.085B,4.337B,565.00M,142.00M,707.00M,9.00M,,36.00M,45.00M,,166.00M,133.00M,5.388B,0.00,342.00M,434.00M,281.00M,1.057B,-436.00M,621.00M,85.00M,34.00M,119.00M,39.00M,89.00M,42.00M,910.00M,6.298B,,911.00M,,911.00M,205.00M,1.116B,,,,,,240.00M,240.00M,209.00M,1.658B,316.00M,316.00M,229.00M,,229.00M,,545.00M,2.203B,,1.826B,2.325B,,-49.00M,4.095B,,AOR,Restated
2002-06,,1.246B,3.06B,4.306B,626.00M,,626.00M,4.00M,2.00M,28.00M,34.00M,,164.00M,313.00M,5.443B,0.00,341.00M,387.00M,242.00M,970.00M,-381.00M,589.00M,66.00M,33.00M,99.00M,48.00M,,114.00M,850.00M,6.293B,,904.00M,,904.00M,224.00M,1.128B,,,,,,222.00M,222.00M,246.00M,1.718B,316.00M,316.00M,193.00M,,193.00M,,509.00M,2.227B,,1.808B,2.37B,,-104.00M,4.066B,,AOR,Restated
2002-03,,1.159B,3.15B,4.309B,644.00M,,644.00M,,,26.00M,26.00M,,161.00M,274.00M,5.414B,0.00,339.00M,393.00M,223.00M,955.00M,-368.00M,587.00M,,,81.00M,79.00M,,103.00M,850.00M,6.264B,,987.00M,,987.00M,217.00M,1.204B,,,,,,192.00M,192.00M,196.00M,1.709B,311.00M,311.00M,230.00M,,230.00M,,541.00M,2.25B,,1.747B,2.338B,,-62.00M,4.014B,,AOR,Restated
2001-12,,1.946B,2.421B,4.367B,498.00M,,498.00M,0.00,,23.00M,23.00M,,171.00M,213.00M,5.272B,0.00,338.00M,393.00M,203.00M,934.00M,-361.00M,573.00M,66.00M,9.00M,75.00M,101.00M,,101.00M,850.00M,6.122B,,830.00M,,830.00M,232.00M,1.062B,,,,,,173.00M,173.00M,242.00M,1.579B,315.00M,315.00M,262.00M,,262.00M,,577.00M,2.156B,,1.706B,2.298B,,-28.00M,3.966B,,AOR,Restated
2001-09,,2.31B,2.026B,4.336B,466.00M,,466.00M,1.00M,,10.00M,11.00M,,169.00M,161.00M,5.143B,0.00,337.00M,437.00M,186.00M,960.00M,-396.00M,564.00M,66.00M,10.00M,76.00M,128.00M,,110.00M,878.00M,6.021B,,801.00M,,801.00M,218.00M,1.019B,,,,,,184.00M,184.00M,227.00M,1.518B,317.00M,317.00M,266.00M,,266.00M,,583.00M,2.101B,,1.693B,2.26B,,-22.00M,3.92B,,AOR,Restated
2001-06,,2.121B,2.097B,4.218B,598.00M,,598.00M,0.00,0.00,19.00M,19.00M,,173.00M,240.00M,5.248B,0.00,337.00M,253.00M,137.00M,727.00M,-380.00M,347.00M,,146.00M,146.00M,146.00M,,184.00M,823.00M,6.071B,,847.00M,,847.00M,254.00M,1.101B,,,,,,,,399.00M,1.614B,317.00M,317.00M,282.00M,,282.00M,,599.00M,2.213B,,1.673B,2.194B,,3.00M,3.858B,,AOR,Restated
2001-03,,2.138B,2.006B,4.144B,637.00M,,637.00M,1.00M,,9.00M,10.00M,,183.00M,371.00M,5.345B,0.00,337.00M,255.00M,129.00M,721.00M,-390.00M,331.00M,,135.00M,135.00M,151.00M,,168.00M,785.00M,6.13B,,961.00M,,961.00M,226.00M,1.187B,,,,,,,,429.00M,1.795B,317.00M,317.00M,280.00M,,280.00M,,597.00M,2.392B,,1.599B,2.133B,,6.00M,3.738B,,AOR,Restated
2000-12,,1.737B,2.328B,4.065B,441.00M,,441.00M,2.00M,3.00M,16.00M,21.00M,,231.00M,168.00M,4.926B,0.00,332.00M,253.00M,129.00M,714.00M,-389.00M,325.00M,,,,447.00M,,288.00M,1.06B,5.986B,,637.00M,,637.00M,330.00M,967.00M,,,,,,,,488.00M,1.637B,311.00M,311.00M,326.00M,,326.00M,,637.00M,2.274B,,1.581B,2.09B,3.00M,41.00M,3.712B,,AOR,Restated
2000-09,,1.191B,2.836B,4.027B,953.00M,,953.00M,1.00M,2.00M,30.00M,33.00M,,162.00M,252.00M,5.427B,0.00,324.00M,351.00M,131.00M,806.00M,-387.00M,419.00M,,,,786.00M,,171.00M,1.376B,6.803B,,1.157B,,1.157B,257.00M,1.414B,,,,,,105.00M,105.00M,238.00M,1.933B,300.00M,300.00M,463.00M,,463.00M,,763.00M,2.696B,,1.578B,2.285B,76.00M,244.00M,4.107B,,AOR,Restated
2000-06,,1.344B,2.482B,3.826B,967.00M,,967.00M,1.00M,,4.00M,5.00M,,162.00M,197.00M,5.157B,0.00,322.00M,266.00M,133.00M,721.00M,-407.00M,314.00M,,,,1.236B,,225.00M,1.775B,6.932B,,1.04B,,1.04B,295.00M,1.335B,,,,,,,,348.00M,1.873B,300.00M,300.00M,583.00M,,583.00M,,883.00M,2.756B,,1.526B,2.115B,150.00M,535.00M,4.176B,,AOR,Restated
2000-03,,1.662B,1.947B,3.609B,940.00M,,940.00M,2.00M,,8.00M,10.00M,,131.00M,222.00M,4.912B,0.00,321.00M,269.00M,133.00M,723.00M,-409.00M,314.00M,,,,1.544B,,237.00M,2.095B,7.007B,,1.111B,,1.111B,252.00M,1.363B,,,,,,,,312.00M,1.853B,300.00M,300.00M,639.00M,,639.00M,,939.00M,2.792B,,1.569B,1.915B,150.00M,731.00M,4.215B,,AOR,Restated
1999-12,,1.586B,2.074B,3.66B,892.00M,,892.00M,5.00M,0.00,10.00M,15.00M,,131.00M,211.00M,4.909B,0.00,324.00M,270.00M,131.00M,725.00M,-407.00M,318.00M,,,,2.14B,,219.00M,2.677B,7.586B,,1.174B,,1.174B,273.00M,1.447B,,,,,,,,331.00M,1.965B,300.00M,300.00M,907.00M,,907.00M,,1.207B,3.172B,,1.495B,1.682B,150.00M,1.237B,4.414B,,AOR,Restated
1999-09,,1.326B,1.90B,3.226B,681.00M,,681.00M,4.00M,3.00M,13.00M,20.00M,,143.00M,215.00M,4.285B,0.00,323.00M,281.00M,125.00M,729.00M,-411.00M,318.00M,,,,339.00M,,219.00M,876.00M,5.161B,,812.00M,,812.00M,275.00M,1.087B,,,,,,,,378.00M,1.549B,300.00M,300.00M,208.00M,,208.00M,,508.00M,2.057B,,1.499B,1.499B,150.00M,106.00M,3.104B,,AOR,Restated
1999-06,,1.773B,1.333B,3.106B,896.00M,,896.00M,1.00M,0.00,6.00M,7.00M,,137.00M,152.00M,4.298B,0.00,320.00M,323.00M,124.00M,767.00M,-454.00M,313.00M,,,,,,408.00M,721.00M,5.019B,,792.00M,,792.00M,298.00M,1.09B,,,,,,,,357.00M,1.539B,300.00M,300.00M,210.00M,,210.00M,,510.00M,2.049B,,1.49B,1.388B,150.00M,92.00M,2.97B,,AOR,Restated
1999-03,,1.358B,1.564B,2.922B,804.00M,,804.00M,2.00M,2.00M,14.00M,18.00M,,154.00M,194.00M,4.092B,0.00,326.00M,381.00M,124.00M,831.00M,-501.00M,330.00M,,,,,,513.00M,843.00M,4.935B,,791.00M,,791.00M,285.00M,1.076B,,,,,,,,391.00M,1.544B,955.00M,955.00M,261.00M,,261.00M,,1.216B,2.76B,,822.00M,1.185B,150.00M,168.00M,2.175B,,AOR,Restated
1998-12,,1.221B,1.357B,2.578B,913.00M,,913.00M,10.00M,3.00M,12.00M,25.00M,,166.00M,185.00M,3.867B,0.00,340.00M,356.00M,129.00M,825.00M,-481.00M,344.00M,,,,,,381.00M,725.00M,4.592B,,655.00M,,655.00M,378.00M,1.033B,,,,,,,,371.00M,1.484B,954.00M,954.00M,231.00M,,231.00M,,1.185B,2.669B,,787.00M,1.05B,150.00M,86.00M,1.923B,,AOR,Restated
1998-09,,1.481B,819.00M,2.30B,955.00M,,955.00M,32.00M,5.00M,41.00M,78.00M,,182.00M,183.00M,3.698B,0.00,338.00M,357.00M,129.00M,824.00M,-476.00M,348.00M,,,,,,243.00M,591.00M,4.289B,,719.00M,,719.00M,337.00M,1.056B,,,,,,,,365.00M,1.52B,954.00M,954.00M,173.00M,,173.00M,,1.127B,2.647B,,783.00M,898.00M,150.00M,-39.00M,1.642B,,AOR,Restated
1998-06,,1.203B,790.00M,1.993B,915.00M,,915.00M,54.00M,8.00M,67.00M,129.00M,,192.00M,146.00M,3.375B,0.00,352.00M,472.00M,134.00M,958.00M,-593.00M,365.00M,,,,,,301.00M,666.00M,4.041B,,573.00M,,573.00M,435.00M,1.008B,,,,,,,,290.00M,1.389B,953.00M,953.00M,213.00M,,213.00M,,1.166B,2.555B,,742.00M,792.00M,150.00M,,1.486B,,AOR,Restated
1998-03,,1.285B,538.00M,1.823B,807.00M,,807.00M,87.00M,6.00M,164.00M,257.00M,,201.00M,125.00M,3.213B,0.00,402.00M,493.00M,136.00M,1.031B,-616.00M,415.00M,,,,,,335.00M,750.00M,3.963B,,523.00M,,523.00M,473.00M,996.00M,23.00M,,,23.00M,23.00M,,,269.00M,1.384B,953.00M,953.00M,238.00M,,238.00M,,1.191B,2.575B,,740.00M,691.00M,150.00M,,1.388B,,AOR,Restated
1997-12,,1.193B,434.00M,1.627B,902.00M,,902.00M,99.00M,5.00M,300.00M,404.00M,,233.00M,207.00M,3.373B,0.00,402.00M,516.00M,151.00M,1.069B,-640.00M,429.00M,,,,,,324.00M,753.00M,4.126B,,655.00M,,655.00M,531.00M,1.186B,24.00M,,,24.00M,24.00M,,,367.00M,1.669B,952.00M,952.00M,261.00M,,261.00M,,1.213B,2.882B,,649.00M,636.00M,150.00M,,1.244B,,AOR,Restated
1997-09,,1.23B,229.00M,1.459B,1.035B,,1.035B,141.00M,15.00M,281.00M,437.00M,,259.00M,234.00M,3.424B,0.00,453.00M,570.00M,172.00M,1.195B,-709.00M,486.00M,,,,,,323.00M,809.00M,4.233B,,685.00M,,685.00M,586.00M,1.271B,25.00M,,,25.00M,25.00M,,,423.00M,1.818B,951.00M,951.00M,264.00M,,264.00M,,1.215B,3.033B,,648.00M,589.00M,150.00M,,1.20B,,AOR,Restated
1997-06,,1.018B,212.00M,1.23B,1.207B,,1.207B,175.00M,23.00M,336.00M,534.00M,,307.00M,215.00M,3.493B,0.00,460.00M,646.00M,180.00M,1.286B,-746.00M,540.00M,,,,,,308.00M,848.00M,4.341B,,812.00M,,812.00M,575.00M,1.387B,127.00M,,,127.00M,127.00M,,,281.00M,1.91B,951.00M,951.00M,284.00M,,284.00M,,1.235B,3.145B,,476.00M,750.00M,,,1.196B,,AOR,Restated
1997-03,,1.273B,186.00M,1.459B,1.149B,,1.149B,220.00M,19.00M,270.00M,509.00M,,303.00M,222.00M,3.642B,0.00,461.00M,653.00M,181.00M,1.295B,-739.00M,556.00M,,,,,,289.00M,845.00M,4.487B,,840.00M,,840.00M,647.00M,1.487B,133.00M,,,133.00M,133.00M,,,254.00M,2.011B,952.00M,952.00M,282.00M,,282.00M,,1.234B,3.245B,,472.00M,806.00M,,,1.242B,,AOR,Restated
1996-12,,1.174B,633.00M,1.807B,1.492B,,1.492B,176.00M,24.00M,288.00M,488.00M,,324.00M,308.00M,4.419B,0.00,484.00M,665.00M,178.00M,1.327B,-734.00M,593.00M,,,,,,260.00M,853.00M,5.272B,,820.00M,,820.00M,625.00M,1.445B,180.00M,,,180.00M,180.00M,,,307.00M,2.044B,950.00M,950.00M,336.00M,,336.00M,,1.286B,3.33B,,442.00M,1.514B,,,1.942B,,AOR,Restated
1996-09,,1.552B,193.00M,1.745B,1.496B,,1.496B,213.00M,43.00M,406.00M,662.00M,,342.00M,270.00M,4.515B,0.00,480.00M,680.00M,188.00M,1.348B,-750.00M,598.00M,,,,,,251.00M,849.00M,5.364B,,791.00M,,791.00M,555.00M,1.346B,186.00M,,,186.00M,186.00M,,,351.00M,2.003B,949.00M,949.00M,354.00M,,354.00M,,1.303B,3.306B,,439.00M,1.634B,,,2.058B,,AOR,Restated
1996-06,,1.359B,,1.359B,1.292B,,1.292B,387.00M,59.00M,615.00M,1.061B,,401.00M,341.00M,4.454B,0.00,506.00M,711.00M,189.00M,1.406B,-791.00M,615.00M,,,,,,276.00M,891.00M,5.345B,,,,,,,,,,,,,,,,,,,,,,,5.345B,,,,,,,,AOR,Restated
1996-03,,500.00M,92.00M,592.00M,1.366B,,1.366B,535.00M,196.00M,735.00M,1.466B,,479.00M,374.00M,4.277B,0.00,518.00M,789.00M,197.00M,1.504B,-812.00M,692.00M,,,,,,265.00M,957.00M,5.234B,,817.00M,,817.00M,490.00M,1.307B,,,,352.00M,352.00M,,,487.00M,2.273B,303.00M,303.00M,602.00M,,602.00M,,905.00M,3.178B,,420.00M,1.641B,,-5.00M,2.056B,,AOR,Restated
1995-12,,824.00M,276.00M,1.10B,1.944B,,1.944B,707.00M,250.00M,990.00M,1.947B,,302.00M,258.00M,5.551B,0.00,516.00M,789.00M,199.00M,1.504B,-792.00M,712.00M,,,,,,290.00M,1.002B,6.553B,,1.431B,,1.431B,284.00M,1.715B,,,,498.00M,498.00M,,,367.00M,2.705B,,,,,,,1.054B,3.759B,,404.00M,2.38B,,10.00M,2.794B,,AOR,Restated
1995-09,,756.00M,196.00M,952.00M,1.931B,,1.931B,841.00M,291.00M,643.00M,1.775B,,251.00M,315.00M,5.224B,0.00,504.00M,783.00M,205.00M,1.492B,-781.00M,711.00M,,,,,,296.00M,1.007B,6.231B,,1.165B,,1.165B,291.00M,1.456B,461.00M,,,461.00M,461.00M,,,277.00M,2.325B,303.00M,303.00M,702.00M,,702.00M,,1.005B,3.33B,,398.00M,2.464B,,,2.901B,,AOR,Restated
1995-06,,1.168B,508.00M,1.676B,1.553B,,1.553B,690.00M,188.00M,489.00M,1.367B,,286.00M,309.00M,5.191B,0.00,486.00M,789.00M,225.00M,1.50B,-809.00M,691.00M,,,,,,230.00M,921.00M,6.112B,,1.048B,,1.048B,189.00M,1.237B,,,,406.00M,406.00M,,,390.00M,2.178B,303.00M,303.00M,803.00M,,803.00M,,1.106B,3.284B,,356.00M,2.419B,,53.00M,2.828B,,AOR,Restated
1995-03,,1.375B,611.00M,1.986B,1.633B,,1.633B,429.00M,161.00M,394.00M,984.00M,,350.00M,208.00M,5.161B,0.00,481.00M,757.00M,216.00M,1.454B,-791.00M,663.00M,,,,,,226.00M,889.00M,6.05B,,854.00M,,854.00M,208.00M,1.062B,,,,627.00M,627.00M,,,416.00M,2.243B,304.00M,304.00M,789.00M,,789.00M,,1.093B,3.336B,,339.00M,2.331B,,44.00M,2.714B,,AOR,Restated
1994-12,,1.148B,439.00M,1.587B,1.599B,,1.599B,455.00M,167.00M,462.00M,1.084B,,269.00M,179.00M,4.718B,0.00,489.00M,738.00M,235.00M,1.462B,-801.00M,661.00M,,,,,,154.00M,815.00M,5.533B,,956.00M,,956.00M,307.00M,1.263B,,,,209.00M,209.00M,,,334.00M,1.935B,304.00M,304.00M,732.00M,,732.00M,,1.036B,2.971B,,309.00M,2.27B,,-17.00M,2.562B,,AOR,Restated
