,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-09,1.443B,1.443B,1.062B,381.00M,278.00M,117.00M,-6.00M,3.00M,26.00M,23.00M,395.00M,-14.00M,26.00M,3.00M,23.00M,-69.00M,23.00M,-60.00M,-15.00M,-45.00M,-45.00M,6.75M,-28.00M,29.00M,-57.00M,,-0.0023,,0.00,0.0003,-0.0023,,-0.0023,,0.00,0.0003,-0.0023,,20.09B,20.09B,0.00,,AOR,Restated
2002-06,1.429B,1.429B,1.038B,391.00M,272.00M,106.00M,0.00,2.00M,29.00M,27.00M,378.00M,13.00M,29.00M,2.00M,27.00M,-1.00M,27.00M,39.00M,7.00M,32.00M,32.00M,30.36M,69.00M,28.00M,41.00M,,0.0016,,0.00,0.0015,0.0016,,0.0016,,0.00,0.0015,0.0016,,19.96B,20.55B,0.00,,AOR,Restated
2002-03,1.495B,1.495B,1.086B,409.00M,270.00M,111.00M,0.00,3.00M,29.00M,26.00M,381.00M,28.00M,29.00M,3.00M,26.00M,1.00M,26.00M,55.00M,15.00M,40.00M,40.00M,40.00M,87.00M,29.00M,58.00M,,0.0020,,0.00,0.0020,0.0020,,0.0020,,0.00,0.0020,0.0020,,19.79B,20.49B,0.00,,AOR,Restated
2001-12,1.375B,1.375B,953.00M,422.00M,289.00M,113.00M,-24.00M,3.00M,34.00M,31.00M,402.00M,20.00M,34.00M,3.00M,31.00M,2.00M,31.00M,53.00M,15.00M,38.00M,38.00M,38.72M,84.00M,28.00M,56.00M,,0.0020,,,0.0020,0.0020,,0.0020,,,0.002,0.0020,,19.67B,20.02B,0.00,,AOR,Restated
2001-09,1.45B,1.45B,1.013B,437.00M,268.00M,116.00M,0.00,2.00M,43.00M,41.00M,384.00M,53.00M,43.00M,2.00M,41.00M,0.00,41.00M,94.00M,28.00M,66.00M,66.00M,65.30M,124.00M,28.00M,96.00M,,0.0034,,-0.0000,0.0034,0.0034,,0.0034,,-0.0000,0.0034,0.0034,,19.65B,19.65B,0.00,,AOR,Restated
2001-06,1.475B,1.475B,1.041B,434.00M,281.00M,122.00M,0.00,4.00M,51.00M,47.00M,403.00M,31.00M,51.00M,4.00M,47.00M,9.00M,47.00M,87.00M,26.00M,61.00M,61.00M,53.29M,117.00M,26.00M,91.00M,,0.0031,,0.00,0.0027,0.0030,,0.0030,,0.00,0.0027,0.0030,,19.53B,20.10B,0.00,,AOR,Restated
2001-03,1.431B,1.431B,1.046B,385.00M,292.00M,101.00M,0.00,5.00M,60.00M,55.00M,393.00M,-8.00M,60.00M,5.00M,55.00M,15.00M,55.00M,62.00M,19.00M,43.00M,43.00M,39.53M,89.00M,22.00M,67.00M,,0.0022,,0.00,0.0020,0.0021,,0.0022,,0.00,0.0020,0.0021,,19.38B,19.76B,0.00,,AOR,Restated
2000-12,1.007B,1.007B,1.028B,-21.00M,297.00M,102.00M,0.00,5.00M,64.00M,59.00M,399.00M,-420.00M,64.00M,5.00M,59.00M,66.00M,59.00M,-295.00M,-88.00M,-207.00M,-195.00M,-247.70M,-266.00M,24.00M,-290.00M,,-0.0110,,0.0006,-0.0131,-0.0104,,-0.0110,,0.0006,-0.0131,-0.0104,,18.88B,18.88B,0.00,,AOR,Restated
2000-09,1.87B,1.87B,1.403B,467.00M,282.00M,101.00M,0.00,6.00M,59.00M,53.00M,383.00M,84.00M,59.00M,6.00M,53.00M,92.00M,53.00M,229.00M,59.00M,170.00M,170.00M,108.38M,253.00M,18.00M,235.00M,,0.0093,,0.00,0.0059,0.0093,,0.0084,,0.00,0.0053,0.0084,,18.31B,20.24B,0.00,,AOR,Restated
2000-06,1.825B,1.825B,1.282B,543.00M,278.00M,97.00M,0.00,5.00M,55.00M,50.00M,375.00M,168.00M,55.00M,5.00M,50.00M,52.00M,50.00M,270.00M,70.00M,200.00M,200.00M,162.96M,300.00M,25.00M,275.00M,,0.0110,,0.00,0.0090,0.0111,,0.0099,,0.00,0.0080,0.0098,,18.20B,20.26B,0.00,,AOR,Restated
2000-03,1.945B,1.945B,1.396B,549.00M,287.00M,92.00M,0.00,,,49.00M,379.00M,170.00M,,,49.00M,100.00M,49.00M,319.00M,86.00M,233.00M,233.00M,159.96M,191.00M,21.00M,170.00M,,0.0128,,0.00,0.0088,0.0129,,0.0114,,0.00,0.0078,0.0114,,18.16B,20.38B,0.00,,AOR,Restated
1999-12,2.343B,2.343B,1.736B,607.00M,319.00M,90.00M,-98.00M,5.00M,47.00M,42.00M,409.00M,198.00M,47.00M,5.00M,42.00M,34.00M,42.00M,274.00M,91.00M,183.00M,183.00M,158.96M,299.00M,20.00M,279.00M,,0.0101,,0.00,0.0088,0.0102,,0.0092,,0.00,0.0080,0.0091,,18.04B,19.98B,0.00,,AOR,Restated
1999-09,1.336B,1.336B,952.00M,384.00M,235.00M,82.00M,-18.00M,5.00M,42.00M,37.00M,317.00M,67.00M,42.00M,5.00M,37.00M,21.00M,37.00M,125.00M,14.00M,111.00M,111.00M,96.79M,149.00M,19.00M,130.00M,,0.0059,,,0.0051,0.0059,,0.0042,,,0.0035,0.0057,,17.57B,19.79B,0.00,,AOR,Restated
1999-06,1.558B,1.558B,1.131B,427.00M,243.00M,80.00M,0.00,,,24.00M,323.00M,104.00M,,,24.00M,101.00M,24.00M,229.00M,26.00M,203.00M,203.00M,113.47M,123.00M,19.00M,104.00M,,0.0125,,,0.0070,0.0125,,0.0107,,,0.0061,0.0107,,16.13B,19.56B,0.00,,AOR,Restated
1999-03,1.53B,1.53B,1.127B,403.00M,239.00M,76.00M,-9.00M,,,19.00M,315.00M,88.00M,,,19.00M,46.00M,19.00M,153.00M,18.00M,135.00M,135.00M,94.41M,112.00M,24.00M,88.00M,,0.0088,,,0.0062,0.0088,,0.0075,,,0.0054,0.0075,,15.27B,19.40B,0.00,,AOR,Restated
1998-12,1.71B,1.71B,1.228B,482.00M,279.00M,76.00M,0.00,16.00M,32.00M,16.00M,355.00M,127.00M,32.00M,16.00M,16.00M,26.00M,16.00M,169.00M,17.00M,152.00M,152.00M,123.22M,208.00M,23.00M,185.00M,,0.01,,,0.0081,0.01,,0.0085,,,0.0070,0.0085,,15.15B,19.27B,0.00,,AOR,Restated
1998-09,1.556B,1.556B,1.139B,417.00M,235.00M,73.00M,,15.00M,29.00M,14.00M,308.00M,109.00M,29.00M,15.00M,14.00M,-9.00M,14.00M,114.00M,8.00M,106.00M,106.00M,108.79M,152.00M,23.00M,129.00M,,0.0071,,,0.0072,0.0071,,0.0062,,,0.0064,0.0062,,15.12B,26.45B,0.00,,AOR,Restated
1998-06,1.402B,1.402B,1.042B,360.00M,216.00M,83.00M,,,,8.00M,299.00M,61.00M,,,8.00M,40.00M,8.00M,109.00M,8.00M,101.00M,101.00M,63.94M,93.00M,32.00M,61.00M,,0.0068,,,0.0043,0.0068,,0.0058,,,0.0039,0.0058,,14.90B,19.24B,0.00,,AOR,Restated
1998-03,1.405B,1.405B,1.056B,349.00M,223.00M,75.00M,,,,8.00M,298.00M,51.00M,,,8.00M,,8.00M,59.00M,4.00M,55.00M,55.00M,55.00M,79.00M,28.00M,51.00M,,0.0038,,,0.0038,0.0038,,0.0034,,,0.0034,0.0034,,14.78B,16.34B,0.00,,AOR,Restated
1997-12,1.578B,1.578B,1.225B,353.00M,234.00M,79.00M,,16.00M,22.00M,6.00M,313.00M,40.00M,22.00M,16.00M,6.00M,1.00M,6.00M,47.00M,,47.00M,47.00M,47.00M,91.00M,28.00M,63.00M,,0.0033,,,0.0033,0.0033,,0.0029,,,0.0029,0.0029,,14.33B,15.66B,0.00,,AOR,Restated
1997-09,1.614B,1.614B,1.294B,320.00M,259.00M,94.00M,-137.00M,,,-5.00M,353.00M,-33.00M,,,-5.00M,-123.00M,-5.00M,-161.00M,,-161.00M,-161.00M,-24.00M,-188.00M,41.00M,-229.00M,,-0.0112,,,-0.0016,-0.0112,,-0.0112,,,-0.0016,-0.0112,,14.29B,14.29B,0.00,,AOR,Restated
1997-06,1.737B,1.737B,1.389B,348.00M,307.00M,101.00M,,,,4.00M,408.00M,-60.00M,,,4.00M,,4.00M,-56.00M,,-56.00M,-56.00M,-56.00M,-38.00M,22.00M,-60.00M,,-0.0039,,,-0.0039,-0.0039,,-0.0039,,,-0.0039,-0.0039,,14.17B,14.17B,0.00,,AOR,Restated
1997-03,1.601B,1.601B,1.298B,303.00M,348.00M,516.00M,-155.00M,,,8.00M,864.00M,-561.00M,,,8.00M,-155.00M,8.00M,-708.00M,0.00,-708.00M,-708.00M,-553.00M,-531.00M,30.00M,-561.00M,,-0.0504,,,-0.0393,-0.0504,,-0.0504,,,-0.0393,-0.0504,,14.07B,14.07B,0.00,,AOR,Restated
1996-12,2.129B,2.129B,1.732B,397.00M,372.00M,149.00M,,,,4.00M,521.00M,-124.00M,,,4.00M,,4.00M,-120.00M,0.00,-120.00M,-120.00M,-120.00M,-99.00M,25.00M,-124.00M,,-0.0086,,,-0.0086,-0.0086,,-0.0086,,,-0.0086,-0.0086,,13.95B,13.95B,0.00,,AOR,Restated
1996-09,2.321B,2.321B,1.81B,511.00M,359.00M,146.00M,28.00M,,,-82.00M,505.00M,6.00M,,,-82.00M,116.00M,-82.00M,40.00M,15.00M,25.00M,25.00M,7.50M,-19.00M,6.00M,-25.00M,,0.0020,,,0.0007,0.0020,,0.0018,,,0.0005,0.0018,,13.95B,13.95B,0.00,,AOR,Restated
1996-06,2.179B,2.179B,1.776B,403.00M,364.00M,155.00M,,,,65.00M,519.00M,-116.00M,,,65.00M,,65.00M,-51.00M,-19.00M,-32.00M,-32.00M,-32.00M,-94.00M,22.00M,-116.00M,,-0.0023,,,-0.0023,-0.0023,,-0.0023,,,-0.0023,-0.0023,,13.86B,13.86B,0.00,,AOR,Restated
1996-03,2.185B,2.185B,2.606B,-421.00M,404.00M,150.00M,-207.00M,,,7.00M,554.00M,-975.00M,,,7.00M,-207.00M,7.00M,-1.175B,-435.00M,-740.00M,-740.00M,-609.63M,-929.00M,46.00M,-975.00M,,-0.0535,,,-0.0441,-0.0535,,-0.0535,,,-0.0441,-0.0535,,13.85B,13.85B,0.00,,AOR,Restated
1995-12,3.148B,3.148B,2.673B,475.00M,441.00M,153.00M,,,,10.00M,594.00M,-119.00M,,,10.00M,,10.00M,-109.00M,-40.00M,-69.00M,-69.00M,-69.00M,-77.00M,42.00M,-119.00M,,-0.005,,,-0.005,-0.005,,-0.005,,,-0.005,-0.005,,13.78B,13.78B,0.0011,,AOR,Restated
1995-09,3.003B,3.003B,2.382B,621.00M,378.00M,171.00M,0.00,15.00M,24.00M,9.00M,549.00M,72.00M,24.00M,15.00M,9.00M,14.00M,9.00M,95.00M,35.00M,60.00M,60.00M,51.16M,133.00M,23.00M,110.00M,,0.0043,,,0.0037,0.0043,,0.0043,,,0.0037,0.0043,,13.97B,13.97B,0.0011,,AOR,Restated
1995-06,2.575B,2.575B,1.847B,728.00M,404.00M,168.00M,6.00M,16.00M,32.00M,16.00M,572.00M,156.00M,32.00M,16.00M,16.00M,-8.00M,16.00M,164.00M,61.00M,103.00M,103.00M,107.40M,217.00M,37.00M,180.00M,,0.0075,,,0.0078,0.0075,,0.0075,,,0.0078,0.0075,,13.80B,13.80B,0.0011,,AOR,Restated
1995-03,2.652B,2.652B,1.957B,695.00M,386.00M,143.00M,,10.00M,26.00M,16.00M,529.00M,166.00M,26.00M,10.00M,16.00M,-66.00M,16.00M,116.00M,43.00M,73.00M,73.00M,115.79M,155.00M,29.00M,126.00M,,0.0053,,,0.0084,0.0053,,0.0053,,,0.0084,0.0053,,13.74B,13.74B,0.0011,,AOR,Restated
1994-12,2.832B,2.832B,2.018B,814.00M,415.00M,132.00M,17.00M,7.00M,19.00M,12.00M,547.00M,267.00M,19.00M,7.00M,12.00M,20.00M,12.00M,299.00M,111.00M,188.00M,188.00M,173.54M,344.00M,38.00M,306.00M,,0.0138,,,0.0128,0.0138,,0.0138,,,0.0128,0.0138,,13.62B,13.62B,0.0011,,AOR,Restated
1994-09,2.494B,2.494B,1.816B,678.00M,346.00M,142.00M,0.00,13.00M,16.00M,3.00M,488.00M,190.00M,16.00M,13.00M,3.00M,-8.00M,3.00M,185.00M,70.00M,115.00M,115.00M,119.35M,244.00M,46.00M,198.00M,,0.0086,,,0.0089,0.0086,,0.0086,,,0.0089,0.0086,,13.46B,13.46B,0.0011,,AOR,Restated
1994-06,2.15B,2.15B,1.576B,574.00M,333.00M,135.00M,127.00M,9.00M,9.00M,0.00,468.00M,106.00M,9.00M,9.00M,0.00,117.00M,0.00,223.00M,85.00M,138.00M,138.00M,66.22M,273.00M,41.00M,232.00M,,0.0104,,,0.0050,0.0104,,0.0104,,,0.0050,0.0104,,13.31B,13.31B,0.0011,,AOR,Restated
1994-03,2.077B,2.077B,1.578B,499.00M,330.00M,134.00M,,8.00M,8.00M,0.00,464.00M,35.00M,8.00M,8.00M,0.00,-7.00M,0.00,28.00M,11.00M,17.00M,17.00M,20.64M,74.00M,38.00M,36.00M,,0.0013,,,0.0016,0.0013,,0.0013,,,0.0016,0.0013,,13.32B,13.32B,0.0011,,AOR,
1993-12,2.469B,2.469B,1.877B,592.00M,375.00M,152.00M,,,,,527.00M,65.00M,,,,,,65.00M,25.00M,40.00M,40.00M,40.00M,108.00M,43.00M,65.00M,,0.0030,,,0.0030,0.0030,,0.0030,,,0.0030,0.0030,,13.10B,13.11B,0.0011,,AOR,Restated
1993-09,2.141B,2.141B,1.591B,550.31M,378.81M,164.54M,-0.144M,,,25.82M,543.35M,6.959M,,,25.82M,-28.14M,25.82M,4.639M,1.564M,3.075M,3.075M,3.170M,-229.68M,42.36M,-272.04M,,0.0003,,,0.0003,0.0003,,0.0003,,,0.0003,0.0003,,13.06B,13.23B,0.0011,,,Restated
1993-06,1.862B,1.862B,1.256B,606.00M,417.64M,174.17M,-320.86M,,,2.931M,591.81M,14.19M,,,2.931M,-320.86M,2.931M,-303.74M,-115.42M,-188.32M,-188.32M,10.62M,55.63M,41.44M,14.19M,,-0.0146,,,0.0008,-0.0146,,-0.0146,,,0.0002,-0.0146,,12.95B,13.49B,0.0011,,,Restated
1993-03,1.974B,1.974B,1.172B,801.90M,591.70M,,9.80M,,,,632.80M,169.10M,,,,9.80M,,178.90M,68.00M,110.90M,110.90M,104.82M,211.90M,42.80M,169.10M,,0.0082,0.00,,0.0078,0.0082,,0.0082,0.00,,0.0078,0.0082,,13.50B,13.50B,0.0011,,,
1992-12,2.000B,2.000B,1.189B,810.92M,409.86M,160.28M,,,,19.44M,570.14M,240.78M,,,19.44M,,19.44M,260.23M,98.89M,161.34M,161.34M,161.34M,280.19M,39.40M,240.78M,,0.0119,,,0.0119,0.0119,,0.0119,,,0.0119,0.0119,,13.57B,13.57B,0.0011,,,Restated
1992-09,1.768B,1.768B,1.170B,597.90M,21.26M,,,,,,466.20M,131.71M,,,,-37.24M,,157.44M,59.87M,97.57M,97.57M,97.57M,250.03M,59.98M,190.05M,,0.0072,,,0.0072,0.0072,,0.0072,,,0.0072,0.0072,,13.56B,13.61B,0.0011,,,Restated
1992-06,1.740B,1.740B,911.70M,828.50M,570.30M,,11.30M,,,,627.40M,201.10M,,,,11.30M,,212.40M,80.70M,131.70M,131.70M,124.69M,258.30M,57.20M,201.10M,,0.0096,0.00,,0.0091,0.0096,,0.0096,0.00,,0.0091,0.0096,,13.66B,13.66B,0.0011,,,
1992-03,1.716B,1.716B,910.20M,805.80M,545.10M,,7.50M,,,,595.40M,210.40M,,,,7.50M,,217.90M,82.80M,135.10M,135.10M,130.45M,260.70M,50.20M,210.40M,,0.0098,0.00,,0.0095,0.0098,,0.0098,0.00,,0.0095,0.0098,,13.76B,13.76B,0.0011,,,
1991-12,1.863B,1.863B,999.60M,863.00M,550.60M,,5.10M,,,,600.40M,262.60M,,,,5.10M,,267.80M,101.80M,166.00M,166.00M,162.84M,312.40M,49.80M,262.60M,,0.0121,0.00,,0.0119,0.0121,,0.0121,0.00,,0.0119,0.0121,,13.67B,13.67B,0.0011,,,
1991-09,1.507B,1.507B,794.30M,712.70M,533.50M,,9.80M,,,,591.40M,121.30M,,,,9.80M,,131.00M,49.80M,81.20M,81.20M,75.13M,179.20M,57.90M,121.30M,,0.0059,0.00,,0.0055,0.0059,,0.0059,0.00,,0.0055,0.0059,,13.79B,13.79B,0.0011,,,
1991-06,1.529B,1.529B,774.90M,753.70M,789.10M,,3.30M,,,,842.50M,-88.80M,,,,3.30M,,-85.60M,-32.50M,-53.10M,-53.10M,-55.15M,-35.30M,53.50M,-88.80M,,-0.0039,0.00,,-0.0041,-0.0039,,-0.0039,0.00,,-0.0041,-0.0039,,13.52B,13.52B,0.0011,,,
1991-03,1.598B,1.598B,772.70M,825.00M,592.50M,,25.00M,,,,638.40M,186.60M,,,,25.00M,,211.50M,80.40M,131.10M,131.10M,115.60M,232.50M,45.90M,186.60M,,0.0096,0.00,,0.0085,0.0096,,0.0096,0.00,,0.0085,0.0096,,13.60B,13.60B,0.0011,,,
1990-12,1.676B,1.676B,767.70M,907.80M,632.30M,,14.40M,,,,679.40M,228.40M,,,,14.40M,,242.70M,92.20M,150.50M,150.50M,141.57M,275.50M,47.10M,228.40M,,0.0114,0.00,,0.0108,0.0114,,0.0114,0.00,,0.0108,0.0114,,13.17B,13.17B,0.0011,,,
1990-09,1.354B,1.354B,591.40M,762.70M,561.30M,,20.90M,,,,622.10M,140.60M,,,,20.90M,,161.40M,62.90M,98.50M,98.50M,85.75M,201.40M,60.80M,140.60M,,0.0073,0.00,,0.0064,0.0073,,0.0073,0.00,,0.0064,0.0073,,13.56B,13.56B,0.0010,,,
1990-06,1.365B,1.365B,578.30M,786.50M,554.30M,,14.10M,,,,604.20M,182.30M,,,,14.10M,,196.40M,76.60M,119.80M,119.80M,111.20M,232.20M,49.90M,182.30M,,0.0086,0.00,,0.0080,0.0086,,0.0086,0.00,,0.0080,0.0086,,13.98B,13.98B,0.0010,,,
1990-03,1.346B,1.346B,565.30M,780.90M,537.40M,,16.90M,,,,581.70M,199.20M,,,,16.90M,,216.10M,84.30M,131.80M,131.80M,121.49M,243.50M,44.20M,199.20M,,0.0093,0.00,,0.0086,0.0093,,0.0093,0.00,,0.0086,0.0093,,14.19B,14.19B,0.0010,,,
1989-12,1.493B,1.493B,668.50M,824.90M,587.10M,,14.60M,,,,634.90M,190.00M,,,,14.60M,,204.60M,79.80M,124.80M,124.80M,115.89M,237.80M,47.80M,190.00M,,0.0086,0.00,,0.0080,0.0086,,0.0086,0.00,,0.0080,0.0086,,14.56B,14.56B,0.0010,,,
1989-09,1.384B,1.384B,,,,,,,,,,-3.266B,,,,,,,,161.00M,161.00M,,-3.266B,,-3.266B,,,,,,,,,,,,,,14.14B,14.14B,0.0009,,,
1989-06,1.248B,1.248B,,,,,,,,,,1.248B,,,,,,,,96.10M,96.10M,,1.248B,,1.248B,,0.0066,0.00,,0.0066,0.0066,,0.0066,0.00,,0.0066,0.0066,,13.89B,13.89B,0.0009,,,
1989-03,1.247B,1.247B,,,,,,,,,,1.247B,,,,,,,,56.40M,56.40M,,1.247B,,1.247B,,0.0039,0.00,,0.0039,0.0039,,0.0039,0.00,,0.0039,0.0039,,14.31B,14.31B,0.0009,,,
1988-12,1.405B,1.405B,,,,,,,,,,1.405B,,,,,,,,140.50M,140.50M,,1.405B,,1.405B,,0.0098,0.00,,0.0098,0.0098,,0.0098,0.00,,0.0098,0.0098,,14.29B,14.29B,0.0009,,,
1988-09,1.169B,1.169B,,,,,,,,,,-2.282B,,,,,,,,108.00M,108.00M,,-2.282B,,-2.282B,,,,,,,,,,,,,,13.75B,13.75B,0.0007,,,
1988-06,993.10M,993.10M,,,,,,,,,,993.10M,,,,,,,,91.30M,91.30M,,993.10M,,993.10M,,0.0064,0.00,,0.0064,0.0064,,0.0064,0.00,,0.0064,0.0064,,14.62B,14.62B,0.0007,,,
1988-03,867.20M,867.20M,,,,,,,,,,867.20M,,,,,,,,79.70M,79.70M,,867.20M,,867.20M,,0.0055,0.00,,0.0055,0.0055,,0.0055,0.00,,0.0055,0.0055,,13.95B,13.95B,0.0007,,,
1987-12,1.042B,1.042B,,,,,,,,,,1.042B,,,,,,,,121.40M,121.40M,,1.042B,,1.042B,,0.0082,0.00,,0.0082,0.0082,,0.0082,0.00,,0.0082,0.0082,,14.06B,14.06B,0.0007,,,
1987-09,786.50M,786.50M,,,,,,,,,,-1.503B,,,,,,,,71.70M,71.70M,,-1.503B,,-1.503B,,,,,,,,,,,,,,14.12B,14.12B,0.0005,,,
1987-06,637.10M,637.10M,,,,,,,,,,637.10M,,,,,,,,53.50M,53.50M,,637.10M,,637.10M,,0.0036,0.00,,0.0036,0.0036,,0.0036,0.00,,0.0036,0.0036,,14.03B,14.03B,0.0005,,,
1987-03,575.30M,575.30M,,,,,,,,,,575.30M,,,,,,,,33.90M,33.90M,,575.30M,,575.30M,,0.0023,0.00,,0.0023,0.0023,,0.0023,0.00,,0.0023,0.0023,,14.03B,14.03B,,,,
1986-12,662.30M,662.30M,,,,,,,,,,662.30M,,,,,,,,58.50M,58.50M,,662.30M,,662.30M,,0.0041,0.00,,0.0041,0.0041,,0.0041,0.00,,0.0041,0.0041,,14.26B,14.26B,,,,
1986-09,510.80M,510.80M,,,,,,,,,,-1.118B,,,,,,,,32.90M,32.90M,,-1.118B,,-1.118B,,,,,,,,,,,,,,14.03B,14.03B,,,,
1986-06,448.30M,448.30M,,,,,,,,,,448.30M,,,,,,,,32.30M,32.30M,,448.30M,,448.30M,,0.0023,0.00,,0.0023,0.0023,,0.0023,0.00,,0.0023,0.0023,,14.26B,14.26B,,,,
1986-03,408.90M,408.90M,,,,,,,,,,408.90M,,,,,,,,31.80M,31.80M,,408.90M,,408.90M,,0.0023,0.00,,0.0023,0.0023,,0.0023,0.00,,0.0023,0.0023,,14.03B,14.03B,,,,
1985-12,533.90M,533.90M,,,,,,,,,,533.90M,,,,,,,,56.90M,56.90M,,533.90M,,533.90M,,0.0041,0.00,,0.0041,0.0041,,0.0041,0.00,,0.0041,0.0041,,13.84B,13.84B,,,,
1985-09,409.70M,409.70M,,,,,,,,,,-1.361B,,,,,,,,22.30M,22.30M,,-1.361B,,-1.361B,,,,,,,,,,,,,,13.85B,13.85B,,,,
1985-06,374.90M,374.90M,,,,,,,,,,374.90M,,,,,,,,-17.20M,-17.20M,,374.90M,,374.90M,,-0.0012,0.00,,-0.0012,-0.0012,,-0.0012,0.00,,-0.0012,-0.0012,,13.78B,13.78B,,,,
1985-03,435.30M,435.30M,,,,,,,,,,435.30M,,,,,,,,10.00M,10.00M,,435.30M,,435.30M,,0.0007,0.00,,0.0007,0.0007,,0.0007,0.00,,0.0007,0.0007,,13.78B,13.78B,,,,
1984-12,698.30M,698.30M,,,,,,,,,,698.30M,,,,,,,,46.10M,46.10M,,698.30M,,698.30M,,0.0034,0.00,,0.0034,0.0034,,0.0034,0.00,,0.0034,0.0034,,13.60B,13.60B,,,,
1984-09,477.40M,477.40M,,,,,,,,,,-947.00M,,,,,,,,30.90M,30.90M,,-947.00M,,-947.00M,,,,,,,,,,,,,,13.56B,13.56B,,,,
1984-06,422.10M,422.10M,,,,,,,,,,422.10M,,,,,,,,18.30M,18.30M,,422.10M,,422.10M,,0.0014,0.00,,0.0014,0.0014,,0.0014,0.00,,0.0014,0.0014,,13.44B,13.44B,,,,
1984-03,300.10M,300.10M,,,,,,,,,,300.10M,,,,,,,,9.10M,9.10M,,300.10M,,300.10M,,0.0007,0.00,,0.0007,0.0007,,0.0007,0.00,,0.0007,0.0007,,13.56B,13.56B,,,,
