,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-06,24.10M,,,,,,-2.40M,,36.80M,36.80M,8.50M,,,5.00M,30.90M,-19.10M,-58.70M,-2.20M,-36.30M,,-85.40M,-13.40M,,-36.40M,-0.30M,-36.70M,,-8.20M,48.70M,3.80M,,,,6.10M,4.40M,,4.40M,,0.00,,-8.80M,1.70M,,30.10M,-7.90M,,22.20M,,4.40M,,,,,,,,
2006-03,12.90M,,,,,,0.60M,,38.40M,38.40M,7.10M,,,-11.80M,-15.50M,5.30M,18.50M,6.30M,7.50M,,22.10M,69.30M,,-67.00M,0.30M,-66.70M,,8.20M,-0.20M,-58.70M,,,,-7.50M,0.80M,,0.80M,,-4.20M,,-0.70M,-11.60M,,31.10M,-1.00M,,30.10M,,0.80M,,,,,,,,
2005-12,5.20M,,,,,,40.10M,,32.40M,32.40M,-23.70M,,,-13.60M,-32.90M,17.80M,8.70M,12.50M,-11.90M,,-5.80M,34.60M,,-137.30M,0.40M,-136.90M,-10.10M,,8.10M,-146.90M,,,,70.60M,203.00M,,2.60M,,-2.10M,,-0.10M,71.00M,,72.40M,-41.30M,,31.10M,,203.00M,,,,,,,,
2005-09,112.70M,,,,,,-139.00M,,40.60M,40.60M,-28.50M,,,96.90M,3.70M,-11.50M,5.60M,0.70M,30.20M,,28.70M,111.40M,,-71.30M,5.90M,-65.40M,-8.50M,,5.60M,-68.30M,,,,4.10M,-2.50M,,-2.50M,,-2.20M,,-11.90M,-12.50M,,41.80M,30.60M,,72.40M,,-2.50M,,,,,,,,
2005-06,-25.10M,,,,,,-9.00M,,40.40M,40.40M,27.70M,,,-54.40M,27.60M,-4.10M,6.50M,-0.10M,-3.30M,,26.60M,6.20M,,-48.20M,-0.40M,-48.60M,7.30M,,-11.90M,-53.20M,,,,50.70M,2.20M,,2.20M,,-2.30M,,-3.10M,47.50M,,41.30M,0.50M,,41.80M,,2.20M,,,,,,,,
2005-03,8.10M,,,,,,1.70M,,14.30M,14.30M,7.20M,,,-1.10M,7.40M,-3.00M,-10.30M,2.60M,-0.30M,,-3.60M,26.60M,,-18.90M,0.40M,-18.50M,1.20M,,-3.80M,-21.10M,,,,-2.20M,1.20M,,1.20M,,-2.10M,,0.30M,-2.80M,,38.60M,2.70M,,41.30M,,1.20M,,,,,,,,
2004-12,0.70M,,,,,,16.00M,,14.20M,14.20M,9.20M,,,0.70M,-14.30M,-6.10M,-0.40M,1.70M,-11.30M,,-30.40M,10.40M,,-23.80M,2.40M,-21.40M,,,-216.40M,-237.30M,,,,94.40M,3.70M,,3.70M,,-2.10M,,-0.50M,95.50M,,170.00M,-131.40M,,38.60M,,3.70M,,,,,,,,
2004-09,11.10M,,,,,,-1.40M,,13.40M,13.40M,23.40M,,,5.90M,-10.90M,2.60M,5.70M,-2.70M,34.90M,,29.60M,82.00M,,-27.10M,0.60M,-26.50M,,,-38.80M,-65.30M,,,,-1.40M,0.80M,,0.80M,,-2.20M,,-0.40M,-3.20M,,156.50M,13.50M,,170.00M,,0.80M,,,,,,,,
2004-06,9.20M,,,,,,5.20M,,13.10M,13.10M,4.00M,,,2.00M,-5.30M,-2.70M,5.80M,0.90M,-21.90M,,-23.20M,10.30M,,-37.30M,1.40M,-35.90M,,,-2.70M,-38.60M,,,,-1.60M,0.80M,,0.80M,,-2.20M,,-0.80M,-3.80M,,188.60M,-32.10M,,156.50M,,0.80M,,,,,,,,
2004-03,3.40M,,,,,,-0.80M,,12.80M,12.80M,-0.70M,,,,5.50M,-5.20M,-0.90M,-2.10M,28.00M,,25.30M,40.00M,,-29.00M,0.50M,-28.50M,,,-7.10M,-35.60M,,,,51.00M,2.10M,,2.10M,,-2.20M,,-2.10M,48.80M,,135.40M,53.20M,,188.60M,,2.10M,,,,,,,,
2003-12,-5.20M,,,,,,-6.80M,,16.20M,16.20M,-6.20M,,,15.80M,-1.50M,-0.50M,-1.10M,0.80M,-18.60M,,-20.90M,-7.10M,,-32.80M,6.40M,-26.40M,,0.00,-5.40M,-31.80M,,,,-55.30M,1.50M,,1.50M,,-2.10M,,,-55.90M,,230.20M,-94.80M,,135.40M,,1.50M,,,,,,,,
2003-09,4.30M,,,,,,-2.50M,,16.20M,16.20M,0.70M,,,-3.40M,3.70M,-0.60M,10.90M,10.50M,-5.10M,,19.40M,34.70M,,-20.80M,0.90M,-19.90M,,32.70M,-6.80M,6.00M,,,,-1.40M,1.50M,,1.50M,,-2.50M,,,-2.40M,,191.90M,38.30M,,230.20M,,1.50M,,,,,,,,
2003-06,-0.50M,,,,,,2.10M,,16.00M,16.00M,0.10M,,,-4.40M,-7.80M,0.70M,-10.40M,-11.60M,7.70M,,-21.40M,-8.10M,,-18.30M,0.20M,-18.10M,,,-38.50M,-56.60M,,,,-1.70M,193.70M,,193.70M,,0.00,,0.60M,192.60M,,64.00M,127.90M,,191.90M,,193.70M,,,,,,,,
2003-03,13.60M,,,,,,-16.40M,,15.90M,15.90M,7.00M,,,-0.80M,9.60M,-2.10M,-1.80M,15.60M,7.90M,,29.20M,48.50M,,-12.10M,7.50M,-4.60M,,,1.00M,-3.60M,,,,-0.80M,1.60M,,1.60M,,-0.10M,,-0.60M,0.10M,,19.00M,45.00M,,64.00M,,1.60M,,,,,,,,
2002-12,20.40M,,,,,,-17.60M,,16.10M,16.10M,20.10M,,,-5.00M,-6.30M,-1.40M,7.20M,-6.00M,-27.70M,,-34.20M,-0.20M,,-14.80M,0.60M,-14.20M,,0.00,0.40M,-13.80M,,,,-0.60M,2.60M,,2.60M,,0.00,,-4.50M,-2.50M,,35.50M,-16.50M,,19.00M,,2.60M,,,,,,,,
2002-09,10.60M,,,,,,-12.50M,,15.80M,15.80M,2.80M,,,-0.10M,21.10M,-4.70M,-1.50M,1.20M,3.50M,,19.60M,36.20M,,-24.00M,-30.00M,-54.00M,,31.70M,-2.90M,-25.20M,,,,-6.90M,4.00M,,4.00M,,-0.10M,,4.00M,1.00M,,23.50M,12.00M,,35.50M,,4.00M,,,,,,,,
2002-06,14.50M,,,,,,-15.90M,,14.60M,14.60M,-2.10M,,,9.50M,-1.80M,-2.30M,-0.10M,7.90M,-3.70M,,0.00,20.60M,,-21.70M,38.20M,16.50M,,,-33.30M,-16.80M,,,,-32.90M,1.60M,,1.60M,,0.00,,-5.80M,-37.10M,,56.80M,-33.30M,,23.50M,,1.60M,,,,,,,,
2002-03,11.70M,,,,,,-13.00M,,14.90M,14.90M,1.00M,,,-0.50M,-0.60M,-0.40M,-8.70M,26.70M,6.10M,,23.10M,37.20M,,-17.40M,9.30M,-8.10M,,,30.90M,22.80M,,,,-30.50M,2.10M,,2.10M,,-0.10M,,0.60M,-27.90M,,24.70M,32.10M,,56.80M,,2.10M,,,,,,,,
2001-12,11.10M,,,,,,-5.10M,,14.40M,14.40M,15.50M,,,19.10M,10.40M,0.90M,-0.50M,-26.90M,7.00M,,-9.10M,45.90M,,-66.00M,3.10M,-62.90M,42.20M,,-0.90M,-21.60M,,,,-26.50M,3.30M,,3.30M,,0.00,,-3.30M,-26.50M,,26.90M,-2.20M,,24.70M,,3.30M,,,,,,,,
2001-09,9.00M,,,,,,-6.10M,,14.70M,14.70M,5.40M,,,-1.30M,-5.10M,0.90M,2.30M,2.40M,-6.80M,,-6.30M,15.40M,,27.00M,8.80M,35.80M,-42.20M,,0.10M,-6.30M,,,,-1.60M,4.00M,,4.00M,,-0.10M,,-3.10M,-0.80M,,18.60M,8.30M,,26.90M,,4.00M,,,,,,,,
2001-06,4.70M,,,,,,-7.70M,,14.50M,14.50M,4.70M,,,-3.20M,4.00M,2.10M,1.60M,3.00M,-22.70M,,-12.00M,1.00M,,-27.00M,5.70M,-21.30M,13.90M,,-6.80M,-14.20M,,,,4.70M,0.80M,,0.80M,,0.00,,-2.30M,3.20M,,28.60M,-10.00M,,18.60M,,0.80M,,,,,,,,
2001-03,5.90M,,,,,,-5.40M,,14.40M,14.40M,4.80M,,,,-5.30M,2.20M,-8.50M,2.20M,3.50M,,-5.90M,13.80M,,,0.50M,0.50M,-13.90M,,-0.20M,-13.60M,,,,7.10M,0.80M,,0.80M,,-0.10M,,-0.90M,6.90M,,21.50M,7.10M,,28.60M,,0.80M,,,,,,,,
2000-12,3.60M,,,,,,367.40M,,13.70M,13.70M,-0.30M,,,-6.00M,-15.20M,0.20M,17.20M,1.90M,6.20M,,10.30M,24.90M,,,-1.10M,-1.10M,-25.50M,,-0.70M,-27.30M,,,,-10.80M,0.10M,,0.10M,,0.00,,4.40M,-6.30M,,30.20M,-8.70M,,21.50M,,0.10M,,,,,,,,
2000-09,26.00M,,,,,,-32.90M,,13.80M,13.80M,23.40M,,,4.60M,5.00M,-0.10M,-14.90M,0.50M,-1.30M,,-10.80M,24.10M,,,2.90M,2.90M,-24.50M,,-1.30M,-22.90M,,,,3.90M,-5.30M,,-5.30M,,0.00,,-3.70M,-5.10M,,34.10M,-3.90M,,30.20M,,-5.30M,,,,,,,,
2000-06,166.40M,,,,,,-161.30M,,14.40M,14.40M,-5.00M,,,2.40M,-4.60M,5.20M,-1.80M,-0.50M,23.30M,,21.60M,38.50M,,,2.40M,2.40M,-34.20M,,-0.20M,-32.00M,,,,-18.40M,7.90M,,7.90M,,-0.10M,,0.40M,-10.20M,,37.80M,-3.70M,,34.10M,,7.90M,,,,,,,,
2000-03,193.20M,,,,,,-187.30M,,14.20M,14.20M,5.00M,,,,12.00M,1.20M,-16.20M,2.30M,-34.70M,,-35.40M,-10.30M,,,1.30M,1.30M,-20.30M,,-0.60M,-19.60M,,,,61.90M,15.20M,,15.20M,,-4.70M,,-16.60M,55.80M,,11.90M,25.90M,,37.80M,,15.20M,,,,,,,,
1999-12,91.30M,,,,,,211.80M,43.00M,99.90M,99.90M,-9.90M,,,-125.90M,-3.80M,4.10M,12.40M,-7.40M,10.30M,37.10M,52.70M,6.80M,,65.60M,1.90M,67.50M,,,-4.40M,-43.10M,,,,,,,,,0.20M,,42.90M,-20.20M,,68.40M,-56.50M,,11.90M,,,,,,,-50.60M,,,
1999-09,87.30M,,,,,,-76.00M,-14.30M,-14.30M,-14.30M,-0.50M,,,62.70M,-2.60M,5.70M,14.70M,4.50M,8.90M,-37.10M,-5.90M,53.30M,,-30.40M,0.50M,-29.90M,,,-0.60M,-30.50M,,,,,,,,,-4.40M,,-38.10M,-42.50M,,88.10M,-19.70M,,68.40M,,,,,,-39.00M,16.00M,,AOR,
1999-06,76.10M,,,,,,-55.60M,-7.60M,-7.60M,-7.60M,5.20M,,,13.70M,42.60M,0.20M,-20.90M,-6.90M,-13.60M,10.20M,11.60M,43.40M,,-11.30M,0.20M,-11.10M,,19.50M,12.50M,20.90M,,,,,,,,,-4.50M,,7.40M,2.90M,,42.50M,67.20M,,88.10M,,,,,,39.00M,17.30M,,AOR,
1999-03,68.60M,,,,,,-23.00M,-21.10M,-21.10M,-21.10M,15.00M,,,43.70M,-36.60M,-3.50M,-1.70M,7.70M,35.60M,-10.20M,-8.70M,74.50M,,-23.90M,0.20M,-23.70M,,-19.50M,-1.30M,-44.50M,,,,,,,,,-8.90M,,-5.80M,-14.70M,,27.20M,15.30M,,42.50M,,,,,,,17.30M,,AOR,
1998-12,30.10M,,,,,,0.50M,53.40M,126.90M,126.90M,-11.40M,,,-111.40M,-9.30M,-2.90M,-8.30M,9.30M,22.00M,,10.80M,45.50M,,-32.00M,0.70M,-31.30M,,-50.80M,27.20M,-54.90M,,,,,,,,,0.00,,65.50M,8.70M,,27.90M,-0.70M,,27.20M,,,,,,,,,AOR,
1998-09,55.20M,,,,,,19.10M,-18.70M,-18.70M,-18.70M,12.30M,,,107.10M,1.00M,-4.80M,2.00M,0.10M,1.10M,-62.30M,-62.90M,112.10M,,-32.70M,2.30M,-30.40M,,7.90M,-30.80M,-53.30M,,,,,,,,,-4.40M,,-35.30M,-39.70M,,8.80M,19.10M,,27.90M,,,,,,,-36.20M,,AOR,
1998-06,58.70M,,,,,,-16.00M,-17.90M,-17.90M,-17.90M,11.00M,,,21.10M,-4.50M,-1.00M,-1.20M,-5.90M,-2.10M,23.70M,9.00M,65.90M,,-25.10M,3.30M,-21.80M,,-27.80M,-1.50M,-51.10M,,,,,,,,,-4.50M,,-21.20M,-25.70M,,19.70M,-10.90M,,8.80M,,,,,,,13.10M,,AOR,
1998-03,46.20M,,,,,,-3.60M,-16.80M,-16.80M,-16.80M,11.30M,,,-21.40M,-17.10M,0.10M,-5.30M,-11.70M,-21.00M,38.60M,-16.40M,-0.70M,,-15.10M,1.90M,-13.20M,,12.60M,5.30M,4.70M,,,,,,,,,-8.90M,,-8.90M,-17.80M,,33.50M,-13.80M,,19.70M,,,,,,,23.10M,,AOR,
1997-12,-116.20M,,,,,,14.90M,56.20M,131.40M,131.40M,-30.60M,,,93.90M,-3.30M,-1.50M,31.30M,-0.20M,-24.10M,-12.00M,-9.80M,83.60M,,-25.50M,1.60M,-23.90M,,-41.80M,-4.50M,-70.20M,,,,,,,,,0.20M,,-229.30M,-23.30M,,43.40M,-9.90M,,33.50M,,,,,,-44.50M,-50.80M,,AOR,
1997-09,41.80M,,,,,,-4.30M,-19.30M,-19.30M,-19.30M,3.30M,,,40.50M,-10.80M,3.10M,7.60M,2.60M,-0.60M,6.20M,8.10M,70.10M,,-24.00M,1.50M,-22.50M,,-24.80M,0.80M,-46.50M,,,,,,,,,-4.40M,,6.10M,1.70M,,18.10M,25.30M,,43.40M,,,,,,25.60M,25.70M,,AOR,
1997-06,31.80M,,,,,,-1.20M,-18.40M,-18.40M,-18.40M,3.20M,,,36.10M,-4.40M,0.70M,1.60M,-1.50M,6.80M,5.80M,9.00M,60.50M,,-16.30M,1.80M,-14.50M,,-306.30M,293.40M,-27.40M,,,,,,,,,-3.70M,,-25.90M,-29.60M,,,-4.80M,,18.10M,,,,,,18.90M,25.10M,,AOR,
1997-03,28.50M,,,,,,-9.40M,-18.50M,-18.50M,-18.50M,7.50M,,,26.20M,-10.50M,0.20M,-19.20M,-3.10M,17.90M,,-14.70M,19.60M,,-16.80M,2.50M,-14.30M,,34.50M,-285.40M,-265.20M,,,,,,,,,-7.30M,,244.60M,237.30M,,22.90M,,,,,,,,,,,,AOR,
1996-12,32.50M,,,,,,61.10M,57.90M,134.00M,134.00M,10.50M,,,-166.80M,-2.40M,-3.40M,-68.50M,-8.20M,64.80M,,-17.70M,53.60M,,-33.70M,183.40M,149.70M,,-2.70M,24.00M,171.00M,,,,,,,,,0.00,,-88.10M,-224.20M,,,-8.90M,,22.90M,,,,,,,,,AOR,
1996-09,76.10M,,,,,,-56.50M,-19.70M,-19.70M,-19.70M,4.20M,,,130.00M,1.80M,2.90M,7.50M,23.20M,-1.90M,-83.20M,-49.70M,84.40M,,-37.00M,1.00M,-36.00M,,-3.70M,-23.50M,-63.20M,,,,,,,,,-7.00M,,-2.40M,-9.40M,,10.70M,21.10M,,,,,,,,-88.30M,-29.50M,,AOR,
1996-06,22.40M,,,,,,-5.20M,-19.20M,-19.20M,-19.20M,2.80M,,,13.70M,7.00M,-1.10M,7.90M,-35.10M,-3.40M,21.40M,-3.30M,11.20M,,-28.80M,1.60M,-27.20M,,-15.20M,3.00M,-39.40M,,,,,,,,,-3.90M,,33.00M,29.10M,,9.80M,0.90M,,10.70M,,,,,,22.30M,11.50M,,AOR,
1996-03,19.90M,,,,,,0.60M,-19.00M,-19.00M,-19.00M,1.10M,,,-27.30M,-8.90M,2.10M,-13.10M,14.10M,-59.50M,61.80M,-3.50M,-28.20M,,-44.50M,1.00M,-43.50M,,-3.80M,-0.20M,-47.50M,,,,,,,,,-3.90M,,57.60M,53.70M,,31.80M,-22.00M,,9.80M,,,,,,66.00M,18.00M,,AOR,
1995-12,171.90M,,,,,,51.90M,107.50M,182.50M,182.50M,39.80M,,,-333.10M,23.70M,2.30M,125.80M,16.20M,-24.60M,-60.60M,82.80M,195.80M,,25.80M,1.60M,27.40M,,-43.60M,328.50M,312.30M,,,,,,,,,0.00,,-97.90M,-490.90M,,14.60M,17.20M,,31.80M,,,,,,-20.00M,-64.90M,,AOR,
1995-09,28.90M,,,,,,-4.00M,-38.00M,-38.00M,-38.00M,17.80M,,,54.50M,-22.30M,1.30M,24.20M,-7.20M,-17.50M,26.80M,5.30M,64.50M,,-53.10M,2.50M,-50.60M,,-7.60M,3.50M,-54.70M,,,,,,,,,-3.30M,,-3.90M,-7.20M,,12.00M,2.60M,,14.60M,,,,,,8.30M,23.30M,,AOR,
1995-06,8.50M,,,,,,-4.50M,-36.60M,-36.60M,-36.60M,-3.90M,,,106.30M,6.90M,1.00M,-4.00M,-7.50M,36.70M,-26.40M,6.70M,76.50M,,-53.00M,3.60M,-49.40M,,-11.20M,-43.70M,-104.30M,,,,,,,,,-3.40M,,23.90M,20.50M,,19.30M,-7.30M,,12.00M,,,,,,5.10M,13.80M,,AOR,
1995-03,27.40M,,,,,,-43.40M,-32.90M,-32.90M,-32.90M,45.40M,,,10.90M,-10.70M,-3.30M,-44.80M,-1.50M,5.40M,58.10M,3.20M,10.60M,,-40.80M,2.20M,-38.60M,,-32.10M,-8.80M,-79.50M,,,,,,,,,-3.20M,,78.70M,75.50M,,12.70M,6.60M,,19.30M,,,,,,6.60M,27.80M,,AOR,
1994-12,16.90M,,,,,,17.60M,86.30M,205.40M,205.40M,-11.40M,,,-197.00M,-15.10M,5.30M,25.90M,-1.60M,-0.80M,2.60M,16.30M,47.80M,,-71.50M,3.50M,-68.00M,,-1.60M,-5.80M,-118.00M,,,,,,,,,-3.30M,,-71.80M,53.80M,,29.10M,-16.40M,,12.70M,,,,,,-3.80M,-55.80M,,AOR,
1994-09,28.60M,,,,,,-6.80M,-30.70M,-30.70M,-30.70M,11.80M,,,73.20M,17.10M,-4.40M,7.40M,2.60M,-10.90M,-10.10M,1.70M,77.80M,,-60.60M,8.00M,-52.60M,,5.80M,1.30M,-45.50M,,,,,,,,,-3.40M,,-9.70M,-13.10M,,9.90M,19.20M,,29.10M,,,,,,2.80M,27.20M,,AOR,
1994-06,31.80M,,,,,,-4.80M,-27.40M,-27.40M,-27.40M,11.50M,,,57.20M,-17.00M,1.70M,5.50M,7.50M,4.70M,-7.10M,-4.70M,63.60M,,-83.10M,3.30M,-79.80M,,-2.70M,-7.90M,-90.40M,,,,,,,,,-3.30M,,29.50M,26.20M,,10.50M,-0.60M,,9.90M,,,,,,-8.60M,6.10M,,AOR,
1994-03,27.60M,,,,,,-6.00M,-28.20M,-28.20M,-28.20M,8.10M,,,43.50M,-20.80M,-1.00M,10.40M,-8.50M,7.00M,14.00M,1.10M,46.10M,,-72.50M,4.40M,-68.10M,,-21.60M,10.00M,-79.70M,,,,,,,,,-3.30M,,40.80M,37.50M,,6.60M,3.90M,,10.50M,,,,,,9.60M,22.50M,,AOR,
1993-12,30.10M,,,,,,2.80M,-27.70M,-27.70M,-27.70M,7.00M,,,55.40M,-12.50M,-1.20M,21.70M,38.40M,-43.00M,,3.40M,71.00M,,142.00M,3.70M,145.70M,,-23.10M,-214.50M,-91.90M,,,,,,,,,-3.20M,,8.60M,5.40M,,,,,,,,,,,,,,AOR,
1993-09,23.30M,,,,,,-8.40M,-27.40M,-27.40M,-27.40M,20.60M,,,61.30M,-22.30M,-7.70M,-0.70M,-5.60M,2.90M,,-33.40M,36.00M,,-42.20M,2.30M,-39.90M,,2.70M,-5.00M,-42.20M,,,,,,,,,-3.30M,,8.70M,5.40M,,,,,,,,,,,,,,AOR,
1993-06,21.50M,,,,,,2.20M,-21.30M,-21.30M,-21.30M,3.00M,,,35.00M,9.50M,-1.70M,18.10M,-35.40M,17.70M,,8.20M,48.60M,,-234.20M,3.50M,-230.70M,,-11.40M,49.30M,-192.80M,,,,,,,,,-3.10M,,118.70M,115.60M,,,,,,,,,,,,,,AOR,
1993-03,22.10M,,,,,,-5.60M,-20.80M,-20.80M,-20.80M,-1.00M,,,42.70M,-3.80M,-3.90M,-18.80M,2.60M,20.10M,,-3.80M,33.60M,,-24.80M,5.10M,-19.70M,,3.90M,-52.00M,-67.80M,,,,,,,,,-3.30M,,73.60M,70.30M,,15.40M,,,,,,,,,,,,AOR,
1992-12,17.20M,,,,,,18.70M,-24.90M,-24.90M,-24.90M,4.90M,,,41.20M,-13.50M,1.10M,16.60M,-4.50M,-12.90M,,-13.20M,43.90M,,-49.80M,2.30M,-47.50M,,20.60M,-55.20M,-82.10M,,,,,,,,,-3.20M,,-63.00M,-66.20M,,,,,,,,,,,,,,AOR,
1992-09,16.20M,,,,,,0.20M,-17.40M,-17.40M,-17.40M,-2.90M,,,34.80M,-14.40M,6.70M,-2.80M,6.70M,12.10M,,8.30M,39.20M,,-47.00M,3.70M,-43.30M,,8.50M,-0.80M,-35.60M,,,,,,,,,-3.30M,,100.70M,97.40M,,,,,,,,,,,,,,AOR,
1992-06,15.90M,,,,,,0.40M,-16.40M,-16.40M,-16.40M,1.80M,,,32.80M,-1.30M,-4.80M,7.40M,-8.40M,-5.00M,,-12.10M,22.40M,,-32.80M,1.90M,-30.90M,,-3.50M,2.40M,-32.00M,,,,,,,,,-3.30M,,-10.30M,-13.60M,,,,,,,,,,,,,,AOR,
1992-03,14.50M,,,,,,0.20M,-15.50M,-15.50M,-15.50M,-1.20M,,,31.00M,-11.40M,,-3.90M,6.20M,-2.50M,,-11.60M,17.40M,,-25.30M,4.70M,-20.60M,,-9.20M,1.50M,-28.30M,,,,,,,,,-3.20M,,12.10M,8.90M,,44.00M,,,,,,,,,,,,AOR,
1991-12,9.90M,,,,,,,-15.30M,-15.30M,-15.30M,-1.60M,,,30.60M,6.50M,-1.40M,3.90M,-8.10M,21.90M,,22.80M,37.40M,,-27.90M,0.60M,-27.30M,,,-2.70M,-30.00M,,,,,,,,,-2.90M,,-53.30M,-56.20M,,,,,,,,,,,,,,AOR,
1991-09,12.30M,,,,,,,-15.30M,-15.30M,-15.30M,5.00M,,,30.60M,-3.20M,1.00M,1.50M,4.40M,7.60M,,11.30M,43.90M,,-21.40M,1.70M,-19.70M,,-0.90M,59.90M,39.30M,,,,,,,,,-2.90M,,-8.80M,-11.70M,,,,,,,,,,,,,,AOR,
1991-06,10.10M,,,,,,,-14.60M,-14.60M,-14.60M,-0.60M,,,29.20M,-9.90M,-9.40M,6.30M,-1.40M,6.10M,,-8.30M,15.80M,,-15.60M,4.90M,-10.70M,,0.00,-2.90M,-13.60M,,,,,,,,,-2.90M,,-8.30M,-11.20M,,,,,,,,,,,,,,AOR,
1991-03,9.60M,,,,,,,-14.10M,-14.10M,-14.10M,2.00M,,,28.20M,-11.30M,,-2.90M,5.10M,-2.30M,,-11.40M,14.30M,,-14.70M,2.50M,-12.20M,,0.90M,-3.30M,-14.60M,,,,,,,,,-2.90M,,0.60M,-2.30M,,32.90M,,,,,,,,,,,,AOR,
1990-12,9.40M,,,,,,,-13.50M,-13.50M,-13.50M,3.10M,,,27.00M,5.40M,,-8.70M,-2.10M,8.40M,,3.00M,23.50M,,-23.20M,6.10M,-17.10M,,-0.80M,-13.60M,-31.50M,,,,,,,,,-3.00M,,6.50M,3.50M,,,,,,,,,,,,,,AOR,
1990-09,13.80M,,,,,,,-13.10M,-13.10M,-13.10M,2.40M,,,26.20M,2.10M,,3.30M,1.40M,7.60M,,14.40M,43.70M,,-19.20M,1.40M,-17.80M,,0.80M,-44.30M,-61.30M,,,,,,,,,-2.80M,,26.00M,23.20M,,,,,,,,,,,,,,AOR,
1990-06,8.70M,,,,,,,-12.80M,-12.80M,-12.80M,1.70M,,,25.60M,5.90M,,-8.70M,-0.60M,-4.00M,,-7.40M,15.80M,,-17.30M,1.00M,-16.30M,,-0.70M,1.30M,-15.70M,,,,,,,,,-2.90M,,1.00M,-1.90M,,,,,,,,,,,,,,AOR,
1990-03,9.50M,,,,,,,-12.70M,-12.70M,-12.70M,,,,25.40M,-16.30M,,-6.90M,1.20M,-5.60M,,-27.60M,-5.40M,,-13.50M,5.30M,-8.20M,,0.70M,-3.60M,-11.10M,,,,,,,,,-2.90M,,0.60M,-2.30M,,52.40M,,,,,,,,,,,,AOR,
