,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-12,148.50M,,148.50M,,,,,,2.00M,,,,504.10M,-6.80M,,,7.80M,,-10.60M,-5.40M,-5.20M,,0.00,,1.20M,-5.20M,-6.40M,9.40M,16.20M,-6.80M,,-0.10,-0.01,0.00,,-0.1193,-0.11,,-0.10,-0.01,-0.0003,,-0.1193,-0.11,,62.08M,62.08M,0.00,,,
2003-09,146.30M,,146.30M,115.20M,31.10M,,,,2.00M,,,,16.20M,14.90M,,,2.70M,,6.00M,1.70M,4.30M,,,,3.30M,4.30M,2.867M,31.10M,16.20M,14.90M,,0.02,0.00,,,-0.0032,0.02,,0.02,0.00,,,-0.0027,0.02,,61.76M,63.14M,0.00,,,
2003-06,146.30M,,146.30M,116.10M,30.20M,,,,1.50M,,,,16.00M,14.20M,,,-1.00M,,1.50M,2.00M,-0.50M,,,,,-0.50M,-1.40M,30.20M,16.00M,14.20M,,-0.03,0.00,,,-0.0446,-0.03,,-0.03,0.00,,,-0.0446,-0.03,,61.65M,61.65M,0.00,,,
2003-03,140.20M,,140.20M,67.00M,73.20M,,50.50M,,1.30M,,,,66.40M,6.80M,,,8.30M,,3.60M,-1.10M,4.70M,,8.90M,,,13.60M,3.92M,22.70M,15.90M,6.80M,,0.08,0.14,0.00,,0.0673,0.22,,0.08,0.14,0.1416,,0.0676,0.22,,61.43M,62.86M,0.00,,,
2002-12,144.20M,,144.20M,,,,,,2.30M,,,,472.90M,13.90M,,,20.00M,,22.20M,1.80M,20.40M,,,,0.00,20.40M,18.29M,30.00M,16.10M,13.90M,,0.33,0.00,,,0.2953,0.33,,0.32,0.00,,,0.2863,0.32,,60.98M,62.63M,0.00,,,
2002-09,138.90M,,138.90M,116.90M,22.00M,,,,6.50M,,,,15.80M,6.20M,,,15.60M,,10.30M,-0.30M,10.60M,,,,0.10M,10.60M,6.70M,22.00M,15.80M,6.20M,,0.17,0.00,,,0.1055,0.17,,0.17,0.00,,,0.1076,0.17,,60.48M,62.45M,0.00,,,
2002-06,139.20M,,139.20M,110.10M,29.10M,,,,0.10M,,,,14.60M,14.50M,,,11.80M,,15.80M,1.30M,14.50M,,,,,11.80M,14.41M,29.10M,14.60M,14.50M,,0.28,-0.04,,-0.0449,0.2785,0.24,,0.23,-0.04,,-0.0449,0.2285,0.23,,60.10M,62.33M,0.00,,,
2002-03,143.90M,,143.90M,66.20M,77.70M,,49.40M,,8.80M,,,,64.30M,13.40M,,,13.70M,,15.80M,4.10M,11.70M,,,,,11.70M,5.184M,28.30M,14.90M,13.40M,,0.20,0.00,,,0.0910,0.20,,0.19,0.00,,,0.0846,0.19,,59.78M,61.84M,0.00,,,
2001-12,151.40M,,151.40M,,,,,,16.90M,,,,468.50M,20.40M,,,20.70M,,15.50M,4.40M,11.10M,,0.00,,,11.10M,-1.003M,34.80M,14.40M,20.40M,,0.19,,0.00,,-0.0247,0.20,,0.18,,-0.0001,,-0.0287,0.19,,56.37M,57.98M,0.00,,,
2001-09,144.60M,,144.60M,110.40M,34.20M,,,,-2.60M,,,3.50M,18.20M,16.00M,,,4.30M,,10.60M,1.60M,9.00M,,,,,9.00M,11.21M,30.70M,14.70M,16.00M,,0.15,0.00,,,0.1876,0.15,,0.15,0.00,,,0.1861,0.15,,58.66M,61.17M,0.00,,,
2001-06,143.20M,,143.20M,115.80M,27.40M,,,,1.10M,,,,14.50M,12.90M,,,6.30M,,4.70M,,4.70M,,,,,4.70M,4.04M,27.40M,14.50M,12.90M,,0.08,0.00,,,0.0687,0.08,,0.08,0.00,,,0.0692,0.08,,58.38M,60.92M,0.00,,,
2001-03,144.00M,,144.00M,123.50M,20.50M,,,,12.20M,,,,14.40M,6.10M,,,12.20M,,3.10M,-3.20M,6.30M,,-0.40M,,,5.90M,-1.02M,20.50M,14.40M,6.10M,,0.11,0.00,0.00,,-0.0156,0.10,,0.10,0.00,-0.0069,,-0.0204,0.10,,58.26M,60.78M,0.00,,,
2000-12,134.80M,,134.80M,118.40M,16.40M,,,,2.90M,,,,13.70M,2.70M,,,2.90M,,-1.80M,-5.40M,3.60M,0.00,,,,3.60M,1.86M,16.40M,13.70M,2.70M,,0.06,-0.04,,0.0008,0.0298,0.02,,0.06,-0.04,,0.0008,0.0306,0.02,,57.54M,59.25M,0.00,,,
2000-09,144.10M,,144.10M,111.60M,32.50M,,,,5.30M,,,,13.80M,18.70M,,,5.30M,,1.50M,-1.10M,2.60M,23.40M,,,,23.20M,-0.58M,32.50M,13.80M,18.70M,,0.05,0.40,,-0.0487,-0.0053,0.40,,0.05,0.39,,-0.0487,-0.0040,0.39,,57.48M,58.86M,0.00,,,
2000-06,144.40M,,144.40M,111.70M,32.70M,,,,10.10M,,,,14.30M,18.40M,,,10.10M,,10.10M,1.30M,8.80M,151.70M,,,,160.50M,0.00,32.80M,14.40M,18.40M,,0.16,2.72,,,0.0021,2.88,,0.15,2.59,,,-0.0027,2.74,,55.72M,57.61M,0.00,,,
2000-03,148.90M,,148.90M,116.70M,32.20M,,,,11.50M,,,,14.20M,18.00M,,,11.50M,,12.00M,1.60M,10.40M,188.70M,,,,193.20M,0.4333M,32.20M,14.20M,18.00M,,0.18,3.40,,-0.1062,0.0006,3.48,,0.18,3.24,,-0.1062,0.0066,3.32,,55.54M,57.48M,0.00,,,
1999-12,151.70M,,151.70M,132.40M,19.30M,,,,-1.00M,,,,361.90M,-342.60M,,,-1.00M,,-9.70M,-2.50M,-7.20M,98.50M,,,,91.30M,-6.458M,-242.70M,99.90M,-342.60M,,-0.1313,1.796,,,-0.1179,1.665,,-0.1313,1.796,,,-0.1179,1.665,,55.70M,55.70M,0.08,,,
1999-09,149.10M,,149.10M,120.20M,28.90M,,,14.30M,6.40M,,,-120.20M,-105.90M,134.80M,,,6.40M,,6.30M,1.70M,4.60M,82.70M,,,,87.30M,-0.0730M,149.10M,-14.30M,134.80M,,0.0839,1.508,,,0.0839,1.592,,0.0839,1.508,,,0.0839,1.592,,,,0.08,,AOR,
1999-06,148.70M,,148.70M,121.40M,27.30M,,,14.40M,3.10M,,,-114.60M,-100.20M,127.50M,,,3.10M,,8.20M,3.00M,5.20M,70.90M,,,,76.10M,3.234M,141.90M,-7.60M,127.50M,,0.0948,1.293,,,0.0948,1.387,,0.0948,1.293,,,0.0948,1.387,,,,0.08,,AOR,
1999-03,385.20M,,385.20M,242.50M,142.70M,,,21.10M,18.10M,,,-242.50M,-221.40M,364.10M,,,18.10M,,113.50M,44.90M,68.60M,,,11.20M,,68.60M,57.66M,385.20M,-21.10M,364.10M,,1.251,,,,1.051,1.251,,1.251,,,,1.051,1.251,,54.85M,54.85M,0.08,,AOR,
1998-12,331.80M,,331.80M,,,,,,-47.00M,,,,836.40M,94.30M,,,,,83.70M,20.20M,-3.30M,,,7.60M,,30.10M,65.76M,221.20M,126.90M,94.30M,,0.5532,,,,1.203,0.5532,,0.5532,,,,1.203,0.5532,,54.85M,54.85M,0.08,,AOR,
1998-09,334.20M,,334.20M,210.10M,124.10M,,,18.70M,14.50M,,,,18.70M,105.40M,,,14.50M,,93.40M,38.20M,55.20M,,,9.40M,,55.20M,46.50M,124.10M,-18.70M,105.40M,,1.014,,,,1.014,1.014,,1.014,,,,1.014,1.014,,,,0.08,,AOR,
1998-06,322.60M,,322.60M,200.30M,122.30M,,,17.90M,21.10M,,,-200.30M,-182.40M,304.70M,,,21.10M,,99.60M,40.90M,58.70M,,,9.70M,,58.70M,46.04M,322.60M,-17.90M,304.70M,,1.079,,,,1.079,1.079,,1.079,,,,1.079,1.079,,,,0.08,,AOR,
1998-03,295.70M,,295.70M,188.50M,107.20M,,,16.80M,11.40M,,,-188.50M,-171.70M,278.90M,,,11.40M,,77.70M,31.50M,46.20M,,,6.70M,,46.20M,39.36M,295.70M,-16.80M,278.90M,,0.8490,,,,0.7233,0.8490,,0.8490,,,,0.7233,0.8490,,54.41M,54.41M,0.08,,AOR,
1997-12,294.30M,,294.30M,,,,,,-226.00M,,,1.180B,1.200B,-404.90M,,,-226.00M,,-94.00M,-2.70M,-141.10M,,,7.60M,0.00,-116.20M,103.31M,-273.50M,131.40M,-404.90M,,-2.150,,,,1.884,-2.150,,-2.150,,,,1.884,-2.150,,54.41M,54.41M,0.08,,AOR,
1997-09,273.60M,,273.60M,169.80M,103.80M,,,19.30M,8.70M,,,-169.80M,-150.50M,254.30M,,,8.70M,,67.20M,25.40M,41.80M,,,6.70M,0.10M,41.80M,36.39M,273.60M,-19.30M,254.30M,,0.7715,,,,0.7715,0.7715,,0.7715,,,,0.7715,0.7715,,,,0.08,,AOR,
1997-06,252.60M,,252.60M,166.20M,86.40M,,,18.40M,8.20M,,,-166.80M,-148.40M,234.80M,,,8.20M,,56.10M,24.30M,31.80M,,,5.90M,0.10M,31.80M,26.88M,253.20M,-18.40M,234.80M,,0.5865,,,,0.5865,0.5865,,0.5865,,,,0.5865,0.5865,,,,0.0666,,AOR,
1997-03,237.80M,,237.80M,163.70M,74.10M,,,18.50M,12.70M,,,,18.50M,55.60M,,,12.70M,,49.90M,21.40M,28.50M,,,4.70M,,28.50M,20.88M,74.10M,-18.50M,55.60M,,0.5273,,,,0.3863,0.5273,,0.5273,,,,0.3863,0.5273,,54.05M,54.05M,0.0666,,AOR,
1996-12,220.90M,,220.90M,,,,,,,,,,585.50M,57.50M,,,,,68.20M,19.90M,16.70M,,,4.50M,,32.50M,32.50M,191.50M,134.00M,57.50M,,0.5647,,,,0.5647,0.5647,,0.5647,,,,0.5647,0.5647,,54.05M,54.05M,0.0666,,AOR,
1996-09,218.20M,,218.20M,138.30M,79.90M,,,19.70M,59.00M,,,,19.70M,60.20M,,,59.00M,,98.60M,22.50M,76.10M,,,4.40M,0.10M,76.10M,30.56M,79.90M,-19.70M,60.20M,,1.312,,,,1.312,1.312,,1.312,,,,1.312,1.312,,,,0.0666,,AOR,
1996-06,206.90M,,206.90M,142.00M,64.90M,,,19.20M,10.50M,,,-142.00M,-122.80M,187.70M,,,10.50M,,38.10M,15.70M,22.40M,,,3.90M,0.10M,22.40M,16.10M,206.90M,-19.20M,187.70M,,0.3851,,,,0.3851,0.3851,,0.3851,,,,0.3851,0.3851,,,,0.0666,,AOR,
1996-03,201.30M,,201.30M,141.80M,59.50M,,,19.00M,7.80M,,,-141.80M,-122.80M,182.30M,,,7.80M,,32.40M,12.50M,19.90M,,,3.00M,,19.90M,15.11M,201.30M,-19.00M,182.30M,,0.3437,,,,0.2609,0.3437,,0.3437,,,,0.2609,0.3437,,57.91M,57.91M,0.05,,AOR,
1995-12,-159.00M,,-159.00M,,,,,,,,,1.211B,1.178B,-667.50M,,,243.40M,,296.80M,114.40M,171.90M,,,3.10M,,171.90M,171.90M,-485.00M,182.50M,-667.50M,,2.634,,,,2.634,2.634,,2.634,,,,2.634,2.634,,57.91M,57.91M,0.05,,AOR,
1995-09,323.30M,,323.30M,216.80M,106.50M,,,38.00M,4.20M,,,-216.80M,-178.80M,285.30M,,,4.20M,,49.10M,20.20M,28.90M,,,3.10M,0.10M,28.90M,26.38M,323.30M,-38.00M,285.30M,,0.4407,,,,0.4407,0.4407,,0.4407,,,,0.4407,0.4407,,,,0.05,,AOR,
1995-06,308.70M,,308.70M,239.10M,69.60M,,,36.60M,5.00M,,,-239.10M,-202.50M,272.10M,,,5.00M,,16.10M,7.60M,8.50M,,,2.60M,0.10M,8.50M,5.50M,308.70M,-36.60M,272.10M,,0.1285,,,,0.1285,0.1285,,0.1285,,,,0.1285,0.1285,,,,0.05,,AOR,
1995-03,302.20M,,302.20M,213.70M,88.50M,,,32.90M,43.70M,,,-213.70M,-180.80M,269.30M,,,43.70M,,78.10M,50.70M,27.40M,,,1.70M,,27.40M,1.18M,302.20M,-32.90M,269.30M,,0.4193,,,,0.0181,0.4193,,0.4193,,,,0.0181,0.4193,,65.35M,65.35M,0.05,,AOR,
1994-12,292.20M,,292.20M,,,,,,,,,1.324B,1.357B,-516.90M,,,,,29.60M,7.40M,16.90M,,,-11.30M,,16.90M,16.90M,-311.50M,205.40M,-516.90M,,,,,,0.2586,0.2617,,,,,,0.2586,0.2617,,65.35M,65.35M,0.05,,AOR,
1994-09,273.40M,,273.40M,185.60M,87.80M,,,30.70M,6.80M,,,-185.60M,-154.90M,242.70M,,,6.80M,,47.00M,18.40M,28.60M,,,1.70M,0.10M,28.60M,24.46M,273.40M,-30.70M,242.70M,,,,,,,,,,,,,,,,,,0.05,,AOR,
1994-06,267.20M,,267.20M,181.20M,86.00M,,,27.40M,5.10M,,,-181.20M,-153.80M,239.80M,,,5.10M,,51.90M,20.10M,31.80M,,,2.30M,0.10M,31.80M,28.68M,267.20M,-27.40M,239.80M,,,,,,,,,,,,,,,,,,0.05,,AOR,
1994-03,265.10M,,265.10M,180.70M,84.40M,,,28.20M,6.00M,,,-180.70M,-152.50M,236.90M,,,6.00M,,45.20M,17.60M,27.60M,,,2.00M,0.10M,27.60M,23.94M,265.10M,-28.20M,236.90M,,,,,,,,,,,,,,,,,,0.05,,AOR,
1993-12,261.50M,,261.50M,171.50M,90.00M,,,27.70M,4.90M,,,,27.70M,62.30M,,,4.90M,,49.80M,19.70M,30.10M,,0.00,2.50M,,30.10M,27.14M,90.00M,-27.70M,62.30M,,,,,,,,,,,,,,,,,,0.05,,AOR,
1993-09,253.30M,,253.30M,171.70M,81.60M,,,23.20M,2.30M,,,,23.20M,58.40M,,,2.30M,,44.40M,21.10M,23.30M,,,2.50M,,23.30M,21.92M,81.60M,-27.40M,58.40M,,,,,,,,,,,,,,,,,,0.05,,AOR,
1993-06,231.70M,,231.70M,164.30M,67.40M,,,21.00M,4.00M,,,,21.00M,46.40M,,,4.00M,,36.40M,14.90M,21.50M,,,2.20M,,21.50M,19.10M,67.40M,-21.30M,46.40M,,,,,,,,,,,,,,,,,,0.05,,AOR,
1993-03,214.60M,,214.60M,148.80M,65.80M,,,20.80M,2.90M,,,,20.80M,45.00M,,,2.90M,,35.40M,13.30M,22.10M,,-6.50M,1.80M,,15.60M,20.29M,65.80M,-20.80M,45.00M,,,,,,,,,,,,,,,,,,0.05,,AOR,
1992-12,199.00M,,199.00M,140.20M,58.80M,,,24.90M,2.60M,,,,24.90M,33.90M,,,2.60M,,26.70M,9.50M,17.20M,,,1.50M,,17.20M,15.53M,58.80M,-24.90M,33.90M,,,,,,,,,,,,,,,,,,0.05,,AOR,
1992-09,189.50M,,189.50M,139.20M,50.30M,,,16.40M,2.30M,,,,16.40M,33.90M,,,2.30M,,25.50M,9.40M,16.10M,,,1.60M,0.10M,16.10M,14.65M,50.30M,-17.40M,33.90M,,,,,,,,,,,,,,,,,,0.05,,AOR,
1992-06,177.80M,,177.80M,132.00M,45.80M,,,16.00M,3.50M,,,,16.00M,29.80M,,,3.50M,,24.20M,8.40M,15.80M,,,1.00M,0.10M,15.80M,13.51M,45.80M,-16.40M,29.80M,,,,,,,,,,,,,,,,,,0.05,,AOR,
1992-03,175.10M,,175.10M,131.30M,43.80M,,,15.50M,2.70M,,,,15.50M,28.30M,,,2.70M,,22.40M,7.90M,14.50M,,,0.80M,,14.50M,12.75M,43.80M,-15.50M,28.30M,,,,,,,,,,,,,,,,,,0.05,,AOR,
1991-12,160.40M,,160.40M,120.10M,40.30M,,,15.30M,2.00M,,,,15.30M,25.00M,,,2.00M,,21.50M,7.80M,13.70M,,,0.70M,0.10M,13.70M,12.43M,40.30M,-15.30M,25.00M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1991-09,157.50M,,157.50M,117.00M,40.50M,,,14.70M,2.30M,,,,14.70M,25.80M,,,2.30M,,19.20M,6.90M,12.30M,,,0.50M,0.10M,12.30M,10.83M,40.50M,-15.30M,25.80M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1991-06,149.70M,,149.70M,111.30M,38.40M,,,14.60M,2.10M,,,,14.60M,23.80M,,,2.10M,,15.80M,5.70M,10.10M,,,0.60M,0.10M,10.10M,8.758M,38.40M,-14.60M,23.80M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1991-03,142.60M,,142.60M,104.80M,37.80M,,,14.10M,1.30M,,,,14.10M,23.70M,,,1.30M,,15.20M,5.60M,9.60M,,,0.40M,0.10M,9.60M,8.779M,37.80M,-14.10M,23.70M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1990-12,132.20M,,132.20M,81.70M,50.50M,,,13.50M,,,,,35.40M,15.10M,,,,,13.00M,3.60M,9.40M,,,-0.20M,0.10M,9.40M,9.40M,28.60M,-13.50M,15.10M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1990-09,136.20M,,136.20M,95.20M,41.00M,,,13.10M,,,,,13.10M,27.90M,,,,,19.50M,5.70M,13.80M,,,0.30M,0.10M,13.80M,13.80M,41.00M,-13.10M,27.90M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1990-06,129.00M,,129.00M,94.10M,34.90M,,,12.80M,,,,,12.80M,22.10M,,,,,13.40M,4.70M,8.70M,,,0.90M,0.10M,8.70M,8.70M,34.90M,-12.80M,22.10M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1990-03,130.60M,,130.60M,95.30M,35.30M,,,12.70M,,,,,12.70M,22.60M,,,,,14.30M,4.80M,9.50M,,,0.60M,0.10M,9.50M,9.50M,35.30M,-12.70M,22.60M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1989-12,124.70M,,124.70M,,,,,,,,,,,-290.50M,,,,,,,10.70M,,,,,21.50M,10.70M,-290.50M,,-290.50M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1989-09,129.30M,,129.30M,,,,,,,,,,,129.30M,,,,,,,9.60M,,,,,9.60M,9.60M,129.30M,,129.30M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1989-06,125.30M,,125.30M,,,,,,,,,,,125.30M,,,,,,,9.30M,,,,,9.30M,9.30M,125.30M,,125.30M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1989-03,124.40M,,124.40M,,,,,,,,,,,124.40M,,,,,,,7.50M,,,,,7.50M,7.50M,124.40M,,124.40M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1988-12,127.80M,,127.80M,,,,,,,,,,,-319.80M,,,,,,,-58.10M,,,,,-58.10M,-58.10M,-319.80M,,-319.80M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1988-09,132.10M,,132.10M,,,,,,,,,,,132.10M,,,,,,,4.50M,,,,,4.50M,4.50M,132.10M,,132.10M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1988-06,124.70M,,124.70M,,,,,,,,,,,124.70M,,,,,,,5.60M,,,,,5.60M,5.60M,124.70M,,124.70M,,,,,,,,,,,,,,,,,,0.045,,AOR,
1988-03,122.90M,,122.90M,,,,,,,,,,,122.90M,,,,,,,1.60M,,,,,1.60M,1.60M,122.90M,,122.90M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1987-12,135.30M,,135.30M,,,,,,,,,,,-285.40M,,,,,,,6.00M,0.00,,,,6.00M,6.00M,-285.40M,,-285.40M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1987-09,126.40M,,126.40M,,,,,,,,,,,126.40M,,,,,,,7.50M,,,,,7.50M,7.50M,126.40M,,126.40M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1987-06,137.50M,,137.50M,,,,,,,,,,,137.50M,,,,,,,3.60M,,,,,3.60M,3.60M,137.50M,,137.50M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1987-03,126.90M,,126.90M,,,,,,,,,,,126.90M,,,,,,,1.70M,,,,,1.70M,1.70M,126.90M,,126.90M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1986-12,130.60M,,130.60M,,,,,,,,,,,-380.00M,,,,,,,-33.20M,-4.90M,,,,-38.10M,-33.20M,-380.00M,,-380.00M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1986-09,115.30M,,115.30M,,,,,,,,,,,115.30M,,,,,,,3.00M,,,,,3.00M,3.00M,115.30M,,115.30M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1986-06,111.20M,,111.20M,,,,,,,,,,,111.20M,,,,,,,0.30M,-12.00M,,,,-11.70M,0.30M,111.20M,,111.20M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1986-03,124.00M,,124.00M,,,,,,,,,,,124.00M,,,,,,,4.50M,,,,,4.50M,4.50M,124.00M,,124.00M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1985-12,120.90M,,120.90M,,,,,,,,,,,-287.90M,,,,,,,5.40M,,,,,5.40M,5.40M,-287.90M,,-287.90M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1985-09,119.30M,,119.30M,,,,,,,,,,,119.30M,,,,,,,11.80M,,,,,11.80M,11.80M,119.30M,,119.30M,,,,,,,,,,,,,,,,,,0.0446,,AOR,
1985-06,119.80M,,119.80M,,,,,,,,,,,119.80M,,,,,,,11.60M,,,,,11.60M,11.60M,119.80M,,119.80M,,,,,,,,,,,,,,,,,,0.042,,AOR,
1985-03,114.60M,,114.60M,,,,,,,,,,,114.60M,,,,,,,21.20M,,,,,21.20M,21.20M,114.60M,,114.60M,,,,,,,,,,,,,,,,,,0.042,,AOR,
1984-12,142.90M,,142.90M,,,,,,,,,,,-269.10M,,,,,,,17.60M,,,,,17.60M,17.60M,-269.10M,,-269.10M,,,,,,,,,,,,,,,,,,0.042,,AOR,
1984-09,122.80M,,122.80M,,,,,,,,,,,122.80M,,,,,,,12.00M,,,,,12.00M,12.00M,122.80M,,122.80M,,,,,,,,,,,,,,,,,,0.03,,AOR,
1984-06,118.60M,,118.60M,,,,,,,,,,,118.60M,,,,,,,10.20M,,,,,10.20M,10.20M,118.60M,,118.60M,,,,,,,,,,,,,,,,,,0.0246,,AOR,
1984-03,116.00M,,116.00M,,,,,,,,,,,116.00M,,,,,,,9.30M,,,,,9.30M,9.30M,116.00M,,116.00M,,,,,,,,,,,,,,,,,,0.0246,,AOR,
