,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-03,,51.18M,107.93M,159.11M,81.76M,,81.76M,31.82M,77.96M,,109.78M,7.507M,,11.25M,,369.40M,0.0,,2.101M,12.09M,,14.19M,-5.36M,8.833M,,24.38M,24.38M,,16.14M,165.14M,214.50M,583.90M,60.67M,,60.67M,19.00M,79.66M,,0.438M,,0.438M,,,13.04M,93.14M,,,,,,,,39.08M,132.22M,0.48M,382.46M,100.68M,28.66M,-0.046M,-3.228M,-3.274M,451.68M
2007-12,,12.44M,63.12M,75.56M,76.12M,5.374M,81.50M,32.29M,65.85M,,98.14M,3.755M,,11.19M,,270.15M,0.0,0.00,,11.19M,2.027M,13.22M,-4.651M,8.567M,,24.07M,24.07M,227.08M,14.01M,0.73M,274.45M,544.60M,56.77M,6.294M,63.06M,19.16M,82.22M,,0.663M,,0.663M,,,,82.88M,,,,,39.56M,39.56M,,39.56M,122.44M,0.479M,353.65M,96.75M,28.66M,,,-0.047M,422.17M
2007-09,,59.07M,196.37M,255.44M,90.05M,,90.05M,24.85M,69.17M,,94.02M,14.64M,,7.049M,,461.20M,0.0,,1.827M,10.82M,,12.64M,-4.239M,8.404M,,23.92M,23.92M,,13.54M,1.227M,47.09M,508.29M,81.20M,,81.20M,15.95M,97.15M,,0.67M,,0.67M,,,,97.82M,,,,,,,,40.19M,138.01M,0.477M,308.55M,89.90M,28.64M,,,,370.28M
2007-06,,55.48M,142.61M,198.10M,111.93M,,111.93M,29.44M,58.06M,,87.50M,6.382M,,5.17M,,409.07M,0.0,,1.24M,9.306M,,10.55M,-3.768M,6.778M,,23.56M,23.56M,,13.81M,1.28M,45.43M,454.50M,91.82M,,91.82M,19.71M,111.53M,,0.59M,,0.59M,,,2.026M,114.15M,,,,,,,,39.35M,153.50M,0.468M,262.75M,66.42M,28.64M,,,,301.00M
2007-03,,71.86M,111.35M,183.20M,75.50M,,75.50M,22.97M,38.61M,,61.58M,4.536M,,3.148M,,327.96M,0.0,,0.749M,8.157M,,8.906M,-3.395M,5.511M,,22.41M,22.41M,,10.93M,1.391M,40.24M,368.21M,51.82M,,51.82M,17.99M,69.81M,,0.212M,,0.212M,,,17.40M,87.42M,0.003M,,0.003M,,,,33.36M,33.37M,120.78M,0.464M,224.44M,51.03M,28.51M,,,,247.42M
2006-12,,35.13M,101.67M,136.80M,54.62M,,54.62M,20.49M,56.52M,,77.01M,0.771M,,5.953M,,275.16M,0.0,,0.647M,7.929M,,8.576M,-3.011M,5.565M,,21.20M,21.20M,,5.001M,1.447M,33.22M,308.37M,34.36M,,34.36M,20.87M,55.23M,,0.299M,,0.299M,,,7.315M,62.84M,0.004M,,0.004M,,,,20.44M,20.44M,83.29M,0.464M,204.24M,48.89M,28.51M,,,,225.08M
2006-09,,43.93M,82.70M,126.63M,68.92M,,68.92M,23.64M,57.04M,,80.68M,1.296M,,6.311M,,283.84M,0.0,,0.662M,8.379M,,9.041M,-3.066M,5.975M,,20.21M,20.21M,,,0.784M,26.97M,310.81M,63.55M,,63.55M,16.03M,79.58M,,0.496M,,0.496M,,,17.65M,97.73M,0.005M,,0.005M,,,,12.18M,12.18M,109.91M,0.463M,182.04M,46.91M,28.51M,,,,200.90M
2006-06,,18.96M,96.04M,115.00M,60.94M,,60.94M,21.84M,28.46M,,50.30M,9.786M,,4.483M,,240.51M,0.0,,0.645M,7.818M,,8.463M,-2.702M,5.761M,,19.08M,19.08M,,,0.832M,25.67M,266.18M,57.77M,,57.77M,5.283M,63.05M,,0.582M,,0.582M,,,,63.63M,0.006M,,0.006M,4.678M,,4.678M,,4.684M,68.32M,0.115M,155.58M,42.98M,0.815M,,,,197.86M
2006-03,,30.54M,67.18M,97.72M,46.30M,,46.30M,13.53M,15.86M,,29.39M,1.298M,,4.626M,,179.34M,0.0,,0.5823M,6.353M,,6.936M,-2.377M,4.559M,,19.09M,19.09M,,,0.8648M,24.52M,203.85M,31.60M,,31.60M,4.600M,36.20M,,0.7898M,,0.7898M,,,11.10M,48.09M,0.0075M,,0.0075M,5.851M,,5.851M,,5.859M,53.95M,0.1138M,127.38M,23.22M,0.8145M,,,,149.90M
2005-12,,61.65M,11.86M,73.52M,28.75M,,28.75M,10.23M,21.17M,,31.40M,1.115M,,5.505M,,140.29M,0.0,,0.579M,5.266M,,5.845M,-2.102M,3.743M,,19.10M,19.10M,,,0.757M,23.60M,163.89M,26.61M,,26.61M,5.828M,32.44M,,0.515M,,0.515M,,,,32.96M,0.01M,,0.01M,5.414M,,5.414M,,5.424M,38.38M,0.113M,106.29M,19.92M,0.815M,,,,125.51M
2005-09,,41.28M,8.652M,49.93M,34.42M,,34.42M,9.788M,19.07M,,28.86M,4.159M,,5.108M,,122.47M,0.0,,0.5375M,5.088M,,5.625M,-1.906M,3.719M,,18.41M,18.41M,,,0.7365M,22.87M,145.34M,29.04M,,29.04M,5.053M,34.09M,,0.7178M,,0.7178M,,,,34.81M,0.0131M,,0.0131M,5.265M,,5.265M,,5.278M,40.09M,0.1129M,87.80M,18.16M,0.8145M,,,,105.26M
2005-06,,33.43M,,33.43M,31.70M,,31.70M,11.63M,16.17M,,27.80M,1.111M,,4.568M,,98.61M,0.0,,0.4338M,4.566M,,5.000M,-1.689M,3.311M,,18.32M,18.32M,,,0.7695M,22.40M,121.02M,26.53M,,26.53M,4.607M,31.14M,,0.6702M,,0.6702M,,,,31.81M,0.1653M,,0.1653M,4.974M,,4.974M,,5.139M,36.95M,0.0562M,67.61M,17.22M,0.8145M,,,,84.07M
2005-03,,30.57M,,30.57M,20.17M,,20.17M,9.782M,14.59M,,23.45M,0.5271M,,3.234M,,77.95M,0.0,,0.3388M,4.187M,,4.526M,-1.727M,2.799M,,18.34M,18.34M,,,0.7370M,21.87M,99.83M,18.69M,,18.69M,2.935M,21.62M,,0.3550M,,0.3550M,,,5.017M,27.00M,0.1681M,,0.1681M,4.755M,,4.755M,,4.923M,31.92M,0.0560M,52.36M,16.31M,0.8145M,,,,67.91M
2004-12,,3.676M,17.30M,20.98M,12.65M,,12.65M,6.45M,15.96M,-0.001M,22.41M,0.639M,,3.709M,,60.38M,0.0,,0.268M,5.042M,,5.31M,-2.346M,2.964M,,18.35M,18.35M,,,0.326M,21.64M,82.02M,14.54M,,14.54M,3.415M,17.96M,,0.437M,,0.437M,,,0.346M,18.74M,0.146M,,0.146M,4.563M,,4.563M,0.001M,4.71M,23.45M,0.056M,43.52M,15.81M,0.815M,,,,58.57M
2004-09,,17.28M,,17.28M,14.32M,,14.32M,8.140M,12.39M,,19.70M,0.3384M,,3.635M,,55.27M,0.0,,0.2617M,5.331M,,5.593M,-2.214M,3.379M,,18.26M,18.26M,,,0.3234M,21.97M,77.24M,17.79M,,17.79M,2.567M,20.36M,,0.4164M,,0.4164M,,,2.932M,23.71M,0.1515M,,0.1515M,3.689M,,3.689M,,3.841M,27.55M,0.0554M,36.19M,14.26M,0.8145M,,,,49.69M
2004-06,,7.473M,,7.473M,13.51M,,13.51M,8.522M,12.06M,,19.61M,0.5425M,,3.661M,,44.80M,0.0,,0.2447M,5.205M,,5.450M,-2.148M,3.302M,,18.27M,18.27M,,,0.2853M,21.85M,66.65M,12.89M,,12.89M,2.950M,15.84M,,0.3275M,,0.3275M,,,3.592M,19.76M,0.3255M,,0.3255M,3.486M,,3.486M,,3.812M,23.57M,0.0541M,30.39M,13.45M,0.8145M,,,,43.08M
2004-03,,2.815M,,2.815M,9.473M,,9.473M,6.836M,11.41M,,17.28M,0.5591M,,2.183M,,32.31M,0.0,,0.2360M,4.660M,,4.896M,-1.982M,2.913M,,18.28M,18.28M,,,0.2652M,21.46M,53.77M,8.419M,,8.419M,2.178M,10.60M,,0.2108M,,0.2108M,,,2.000M,12.81M,0.3336M,,0.3336M,3.297M,,3.297M,,3.631M,16.44M,0.0533M,25.31M,12.78M,0.8145M,,,,37.33M
2003-12,,1.099M,,1.099M,5.373M,,5.373M,6.980M,11.90M,,17.64M,0.4818M,,2.081M,,26.68M,0.0,,0.2300M,5.001M,,5.231M,-2.427M,2.803M,,18.29M,18.29M,,,0.2221M,21.32M,48.00M,6.521M,,6.521M,2.069M,8.590M,,0.2443M,,0.2443M,,,0.6473M,9.482M,0.3581M,,0.3581M,3.108M,,3.108M,,3.466M,12.95M,0.0531M,23.13M,12.68M,0.8145M,,,,35.05M
2003-09,,0.9760M,,0.9760M,10.16M,,10.16M,4.844M,9.737M,,13.61M,0.9140M,,1.145M,,26.80M,,,,,,4.633M,-1.917M,2.716M,,17.76M,17.76M,,,0.2871M,20.76M,47.56M,9.076M,,9.076M,1.145M,10.22M,,0.2322M,,0.2322M,,,0.7094M,11.16M,0.3925M,,0.3925M,2.533M,,2.533M,,2.925M,14.09M,0.0527M,21.90M,12.33M,0.8145M,,,,33.48M
2003-06,,0.7543M,,0.7543M,7.185M,,7.185M,4.180M,9.642M,,13.13M,0.7694M,,1.145M,,22.98M,,,,,,4.354M,-1.917M,2.436M,,17.34M,17.34M,,,0.3130M,20.09M,43.08M,7.493M,,7.493M,1.064M,8.557M,,0.2180M,,0.2180M,,,,8.775M,0.5700M,,0.5700M,2.533M,,2.533M,,3.103M,11.88M,0.0523M,19.81M,12.15M,0.8145M,,,,31.20M
2003-03,,2.209M,,2.209M,6.668M,,6.668M,4.720M,6.956M,,11.03M,0.9408M,,1.145M,,21.99M,,,,3.934M,,3.934M,-1.917M,2.017M,,17.35M,17.35M,,,0.3691M,19.74M,41.73M,6.053M,,6.053M,1.103M,7.156M,,0.2275M,,0.2275M,,,,7.384M,2.593M,,2.593M,2.533M,,2.533M,,5.126M,12.51M,0.0523M,17.83M,12.15M,0.8145M,,,,29.22M
2002-12,,0.5379M,,0.5379M,5.949M,,5.949M,4.267M,8.023M,,11.64M,1.628M,,1.145M,,20.90M,0.0,,0.2906M,3.489M,,3.780M,-1.917M,1.863M,,17.36M,17.36M,,,0.3364M,19.56M,40.46M,4.732M,,4.732M,0.6810M,5.413M,,0.2307M,,0.2307M,,,0.3101M,5.954M,3.606M,,3.606M,2.533M,,2.533M,,6.139M,12.09M,0.0513M,17.20M,11.93M,0.8145M,,,,28.37M
2002-09,,2.912M,,2.912M,5.429M,,5.429M,4.972M,7.567M,,11.89M,1.037M,,0.9492M,,22.22M,,,,,,3.397M,-1.495M,1.902M,,17.35M,17.35M,,,0.4584M,19.71M,41.93M,5.897M,,5.897M,0.8955M,6.792M,,0.2500M,,0.2500M,,,,7.042M,4.784M,,4.784M,1.814M,,1.814M,,6.599M,13.64M,0.0513M,17.12M,11.93M,0.8145M,,,,28.29M
2002-06,,0.1606M,,0.1606M,7.700M,,7.700M,4.908M,7.138M,,11.40M,1.476M,,0.9492M,,21.69M,,,,,,3.410M,-1.495M,1.915M,,17.35M,17.35M,,,0.4974M,19.76M,41.45M,6.688M,,6.688M,0.9755M,7.663M,,0.3267M,,0.3267M,,,,7.990M,4.623M,,4.623M,1.814M,,1.814M,,6.437M,14.43M,0.0513M,15.85M,11.93M,0.8145M,,,,27.02M
2002-03,,0.4514M,,0.4514M,6.204M,,6.204M,4.711M,5.864M,,10.17M,0.9373M,,0.9492M,,18.72M,,,,,,3.428M,-1.495M,1.932M,,17.36M,17.36M,,,0.6785M,19.97M,38.68M,3.724M,,3.724M,1.088M,4.813M,,0.3246M,,0.3246M,,,,5.137M,5.980M,,5.980M,1.814M,,1.814M,,7.794M,12.93M,0.0513M,14.58M,11.93M,0.8145M,,,,25.75M
2001-12,,0.2477M,,0.2477M,4.412M,,4.412M,4.742M,7.615M,,11.96M,0.9742M,,0.9492M,,18.54M,0.0,,0.2831M,3.157M,,3.440M,-1.495M,1.945M,,17.35M,17.35M,,,0.7258M,20.02M,38.56M,3.920M,,3.920M,1.305M,5.224M,,0.3379M,,0.3379M,,,,5.562M,5.851M,,5.851M,1.814M,,1.814M,,7.665M,13.23M,0.0513M,14.17M,11.93M,0.8145M,,,,25.33M
2001-09,,0.5603M,,0.5603M,6.962M,,6.962M,5.170M,6.914M,,11.86M,0.8285M,,0.8816M,,21.10M,,,,,,3.071M,-1.078M,1.993M,,17.57M,17.57M,,,0.7622M,20.32M,41.42M,5.206M,,5.206M,1.229M,6.435M,,0.3905M,,0.3905M,,,0.2268M,7.053M,8.315M,,8.315M,1.274M,,1.274M,,9.589M,16.64M,0.0513M,13.84M,11.70M,0.8145M,,,,24.78M
2001-06,,0.4037M,,0.4037M,7.691M,,7.691M,5.192M,4.951M,,9.949M,0.8053M,,0.8816M,,19.73M,0.0,1.935M,,,,1.935M,,1.935M,,17.68M,17.68M,,,0.7426M,20.36M,40.09M,6.446M,,6.446M,0.8931M,7.339M,,0.3885M,,0.3885M,,,0.5139M,8.242M,7.061M,,7.061M,1.274M,,1.274M,,8.335M,16.58M,0.0513M,12.58M,11.70M,0.8145M,,,,23.52M
2001-03,,0.1936M,,0.1936M,6.326M,,6.326M,4.778M,5.588M,,10.19M,1.004M,,0.8816M,,18.60M,,,,,,1.868M,,1.868M,,16.77M,16.77M,,,0.6804M,19.32M,37.92M,4.028M,,4.028M,0.4964M,4.524M,,0.2366M,,0.2366M,,,0.9355M,5.696M,8.542M,,8.542M,1.274M,,1.274M,,9.816M,15.51M,0.0513M,11.48M,11.70M,0.8145M,,,,22.41M
2000-12,,0.1307M,,0.1307M,6.584M,,6.584M,,,,10.91M,,,,1.705M,19.33M,,,,,,2.941M,-1.078M,1.863M,,16.89M,16.89M,,,0.6657M,19.42M,38.74M,3.682M,,3.682M,,3.682M,,0.2347M,,0.2347M,,,1.767M,5.684M,9.732M,,9.732M,1.274M,,1.274M,,11.01M,16.69M,0.0507M,11.15M,11.67M,0.8145M,,,,22.05M
2000-09,,0.1251M,,0.1251M,,,7.361M,,,,10.78M,,,,1.769M,20.03M,,,,,,2.338M,-1.071M,1.267M,,16.99M,16.99M,,,0.9259M,19.18M,39.21M,5.578M,,5.578M,,5.578M,,0.2645M,,0.2645M,,,1.483M,7.326M,8.804M,,8.804M,1.225M,,1.225M,,10.03M,17.35M,0.0507M,10.94M,11.60M,0.7305M,,,,21.86M
2000-06,,0.1216M,,0.1216M,,,7.193M,,,,8.999M,,,,1.719M,18.03M,,,,,,2.102M,-0.9828M,1.119M,,10.61M,10.61M,,,0.7081M,12.44M,30.47M,5.204M,,5.204M,,5.204M,,1.513M,,1.513M,,,1.147M,7.863M,0.9140M,,0.9140M,1.225M,,1.225M,,2.139M,10.00M,0.0506M,9.576M,11.57M,0.7305M,,,,20.47M
2000-03,,0.1337M,,0.1337M,,,4.244M,,,,9.995M,,,,1.450M,15.82M,,,,,,1.519M,-0.9225M,0.5965M,,10.69M,10.69M,,,0.6116M,11.90M,27.72M,4.552M,,4.552M,,4.552M,,1.235M,,1.235M,,,1.052M,6.840M,0.7027M,,0.7027M,1.225M,,1.225M,,1.928M,8.768M,0.0505M,7.924M,11.57M,0.5899M,,,,18.95M
1999-12,,2.00M,,2.00M,,,3.80M,,,,9.90M,,,,1.30M,17.00M,,,,,,1.40M,-0.90M,0.50M,,10.80M,10.80M,,,0.40M,11.70M,28.70M,5.90M,,5.90M,,5.90M,,0.90M,,0.90M,,,1.20M,8.00M,0.90M,,0.90M,1.20M,,1.20M,,2.10M,10.10M,0.10M,7.20M,11.30M,,,,,18.60M
1999-09,,2.80M,,2.80M,,,4.40M,,,,7.80M,,,,0.70M,15.70M,,,,,,1.50M,-0.90M,0.60M,,10.70M,10.70M,,,0.60M,11.90M,27.60M,6.30M,,6.30M,,6.30M,,1.20M,,1.20M,,,0.90M,8.40M,0.80M,,0.80M,0.80M,,0.80M,-0.10M,1.50M,9.90M,0.10M,6.40M,11.20M,,,,,17.70M
1999-06,,2.90M,,2.90M,,,4.80M,,,,6.50M,,,,0.40M,14.60M,,,,,,1.50M,-0.90M,0.60M,,9.90M,9.90M,,,0.50M,11.00M,25.60M,5.10M,,5.10M,,5.10M,,1.00M,,1.00M,,,1.80M,7.90M,0.60M,,0.60M,0.80M,,0.80M,-0.10M,1.30M,9.20M,0.00,5.10M,11.20M,,,,,16.40M
1999-03,,2.10M,,2.10M,,,3.20M,,,,5.40M,,,,0.30M,11.00M,,,,,,1.50M,-0.90M,0.60M,,9.90M,9.90M,,,0.40M,10.90M,21.90M,3.80M,,3.80M,,3.80M,,1.10M,,1.10M,,,0.70M,5.60M,0.70M,,0.70M,0.70M,,0.70M,,1.40M,7.00M,,3.60M,,,,,,14.90M
1998-12,,3.80M,,3.80M,,,1.80M,,,,5.20M,,,,0.90M,11.70M,,,,,,1.40M,-0.80M,0.60M,,10.00M,10.00M,,,0.30M,10.90M,22.60M,1.90M,,1.90M,,1.90M,,2.10M,,2.10M,,,2.10M,6.10M,1.30M,,1.30M,1.20M,,1.20M,0.10M,2.60M,8.70M,0.00,2.70M,11.20M,,,,,13.90M
1998-09,,4.30M,,4.30M,,,2.50M,,,,4.20M,,,,0.50M,11.50M,,,,,,1.40M,-0.80M,0.60M,,10.10M,10.10M,,,0.20M,10.90M,22.40M,3.30M,,3.30M,,3.30M,,1.60M,,1.60M,,,2.60M,7.50M,2.00M,,2.00M,,,,,2.00M,9.50M,,2.00M,,,,,,12.90M
1998-06,,2.10M,,2.10M,,,2.90M,,,,4.00M,,,,0.20M,9.20M,,,,,,1.30M,-0.70M,0.60M,,10.10M,10.10M,,,0.20M,10.90M,20.10M,2.90M,,2.90M,,2.90M,,0.70M,,0.70M,,,1.90M,5.50M,2.90M,,2.90M,,,,,2.90M,8.40M,,0.90M,,,,,,11.70M
