,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-03,21.09M,,,,1.96M,0.314M,0.014M,0.328M,0.328M,1.317M,,,,0.001M,-17.61M,2.01M,-0.183M,4.989M,,9.871M,,-0.919M,23.78M,-0.548M,,-0.548M,,,-55.32M,-0.144M,-56.01M,,,-0.277M,0.754M,,0.754M,0.642M,1.119M,61.65M,-31.12M,,30.54M,0.754M,,,,
2005-12,18.44M,,,,-0.0966M,0.3054M,0.0259M,0.3313M,0.3313M,-0.2485M,,,,,5.792M,-2.544M,3.044M,-2.423M,,2.457M,,6.326M,24.75M,-0.2617M,0.0004M,-0.2613M,,,-3.209M,-0.7653M,-4.236M,,,-0.2742M,0.1313M,,0.1313M,,-0.1430M,41.28M,20.37M,,61.65M,0.1313M,,,,
2005-09,20.25M,,,,0.2126M,0.2726M,0.0161M,0.2887M,0.2887M,-0.2485M,,,,-0.123M,-2.803M,-1.055M,-3.048M,2.502M,,1.412M,-0.362M,-3.354M,17.02M,-0.4443M,-0.0004M,-0.4447M,,,-8.652M,-0.0957M,-9.192M,,,-0.3168M,0.3407M,,0.3407M,,0.0240M,33.43M,7.854M,,41.28M,0.3407M,,,,
2005-06,15.25M,,,,0.1046M,0.2474M,0.0138M,0.2612M,0.2612M,-1.115M,,,,0.123M,-11.61M,-4.350M,-0.5839M,7.847M,,-2.999M,0.362M,-11.34M,3.282M,-0.4497M,0.1007M,-0.3491M,,,22.60M,-0.0592M,22.19M,,,-0.2216M,0.2017M,,0.2017M,,-0.0199M,7.974M,25.45M,,33.43M,0.2017M,,,,
2005-03,8.845M,,,,0.0464M,0.1836M,0.0142M,0.1978M,0.1978M,0.6660M,,,,,-7.564M,-1.045M,0.1119M,4.145M,,4.191M,,-0.1608M,9.594M,-0.3643M,0.0783M,-0.2859M,,,-5.30M,0.0382M,-5.548M,,,-0.2424M,0.4943M,,0.4943M,,0.2519M,3.676M,4.298M,,7.974M,0.4943M,,,,
2004-12,7.327M,,,,0.3656M,0.2191M,0.0144M,0.2334M,0.2334M,0.7997M,,,,,2.002M,-2.703M,-0.3004M,-3.247M,,-1.438M,,-4.572M,4.154M,-0.3039M,0.0003M,-0.3036M,,,,-0.1071M,-17.71M,,,-0.1826M,0.1363M,,0.1363M,,-0.0463M,17.28M,-13.60M,,3.676M,0.1363M,,,,
2004-09,5.799M,,,,0.2313M,0.1944M,0.0193M,0.2137M,0.2137M,0.2289M,,,,,-1.029M,-0.0883M,0.2042M,4.900M,,-1.042M,,2.944M,9.417M,-0.2528M,0.0088M,-0.2439M,,,,-0.0524M,-0.2963M,,,-0.1272M,0.8130M,,0.8130M,,0.6858M,7.473M,9.806M,,17.28M,0.8130M,,,,
2004-06,5.078M,,,,-0.0004M,0.1689M,0.0193M,0.1882M,0.1882M,-1.288M,,,,,-4.034M,-2.333M,0.0166M,4.471M,,2.363M,,0.4834M,4.461M,-0.3951M,0.0008M,-0.3943M,,,,-0.0259M,-0.4202M,,,-0.0542M,0.6712M,,0.6712M,,0.6170M,2.815M,4.658M,,7.473M,0.6712M,,,,
2004-03,2.183M,,,,-0.0045M,0.1876M,0.0201M,0.2077M,0.2077M,0.0866M,,,,,-4.100M,0.3627M,-0.0773M,1.898M,,1.462M,,-0.4546M,2.019M,-0.3082M,0.0151M,-0.2931M,,,,-0.0506M,-0.3437M,,,-0.0580M,0.0995M,,0.0995M,,0.0415M,1.099M,1.716M,,2.815M,0.0995M,,,,
2003-12,1.226M,,,,0.0206M,0.1680M,0.0253M,0.1933M,0.1933M,,,,,,4.783M,-4.035M,0.1735M,-2.554M,,-0.1717M,,-0.5119M,0.5678M,-0.3272M,0.0510M,-0.2762M,,,,-0.4930M,-0.7692M,,,-0.0224M,0.3466M,,0.3466M,,0.3242M,0.9760M,0.1228M,,1.099M,0.3466M,,,,
2003-09,2.094M,,,,0.00,0.1483M,0.0153M,0.1637M,0.1637M,,,,,,-2.971M,-0.4792M,-0.0748M,1.127M,,1.177M,,-1.222M,1.036M,-0.4276M,0.00,-0.4276M,,,,-0.4066M,-0.8342M,,,-0.1633M,0.1836M,,0.1836M,,0.0203M,0.7543M,0.2217M,,0.9760M,0.1836M,,,,
2003-06,1.977M,,,,0.00,0.1422M,0.0108M,0.1530M,0.1530M,,,,,,-0.5171M,-2.100M,0.1461M,1.896M,,-0.4701M,,-1.045M,1.085M,-0.5612M,0.00,-0.5612M,,,,0.0537M,-0.5075M,,,-2.033M,0.00,,0.00,,-2.033M,2.209M,-1.455M,,0.7543M,0.00,,,,
2003-03,0.6331M,,,,0.0114M,0.1257M,0.0104M,0.1362M,0.1362M,,,,,,-0.7185M,0.6141M,0.2560M,1.321M,,0.5430M,,2.015M,2.796M,-0.3115M,0.0198M,-0.2917M,,,,-0.0349M,-0.3266M,,,-1.016M,0.2182M,,0.2182M,,-0.7979M,0.5379M,1.671M,,2.209M,0.2182M,,,,
2002-12,0.0772M,,,,,0.1332M,0.0155M,0.1487M,0.1487M,,,,,,-0.5205M,0.2493M,-0.0951M,-1.165M,,-0.4002M,,-1.931M,-1.177M,-0.0998M,,-0.0998M,,,,0.1005M,0.0007M,,,-1.198M,0.00,,0.00,,-1.198M,2.912M,-2.374M,,0.5379M,0.00,,,,
2002-09,1.270M,,,,,0.1231M,0.0134M,0.1365M,0.1365M,,,,,-0.0000M,2.271M,-0.4931M,0.2746M,-0.7907M,,0.0846M,,1.346M,2.753M,-0.1095M,,-0.1095M,,,,0.0234M,-0.0861M,,,0.0846M,0.00,,0.00,,0.0846M,0.1606M,2.752M,,2.912M,0.00,,,,
2002-06,1.271M,,,,,0.1187M,0.0129M,0.1316M,0.1316M,,,,,0.0000M,-1.495M,-1.225M,-0.2521M,2.963M,,-0.3995M,,-0.4092M,0.9935M,-0.0832M,,-0.0832M,,,,0.1534M,0.0702M,,,-1.354M,0.00,,0.00,,-1.354M,0.4514M,-0.2908M,,0.1606M,0.00,,,,
2002-03,0.4106M,,,,,0.1189M,0.0128M,0.1317M,0.1317M,,,,,,-1.792M,1.782M,0.0369M,-0.1954M,,-0.2163M,,-0.3848M,0.1575M,-0.1244M,,-0.1244M,,,,0.0473M,-0.0770M,,,0.1153M,0.008M,,0.008M,,0.1233M,0.2477M,0.2037M,,0.4514M,0.008M,,,,
2001-12,0.3276M,,,,0.2272M,0.1135M,0.1285M,0.2420M,0.2420M,,,,,,2.762M,-0.0933M,-0.1457M,-1.499M,,-0.1514M,,0.8730M,2.142M,0.0446M,0.0037M,0.0483M,,,,-0.0823M,-0.0340M,,,-2.450M,0.0286M,,0.0286M,,-2.421M,0.5603M,-0.3127M,,0.2477M,0.0286M,,,,
2001-09,1.259M,,,,0.00,0.1158M,0.1298M,0.2456M,0.2456M,,,,,,0.7291M,-1.914M,-0.0232M,-1.240M,,0.0492M,,-2.399M,-0.8947M,-0.2838M,0.0000M,-0.2838M,,,,0.0788M,-0.205M,,,1.285M,-0.0286M,,-0.0286M,,1.256M,0.4037M,0.1566M,,0.5603M,-0.0286M,,,,
2001-06,1.108M,,,,-0.0114M,0.0839M,0.1515M,0.2355M,0.2355M,,,,,,-1.365M,0.2433M,0.1984M,2.418M,,-0.2216M,,1.274M,2.605M,-0.1880M,0.0228M,-0.1653M,,,,-0.1506M,-0.3159M,,,-2.079M,0.00,,0.00,,-2.079M,0.1936M,0.2101M,,0.4037M,0.00,,,,
2001-03,0.3254M,,,,,0.1232M,0.0977M,0.2209M,0.2209M,,,,,,0.2581M,0.7151M,-0.1803M,0.3459M,,-0.3354M,,0.8033M,1.350M,-0.1027M,,-0.1027M,,,,-0.0246M,-0.1273M,,,-1.188M,0.0286M,,0.0286M,,-1.159M,0.1307M,0.0630M,,0.1936M,0.0286M,,,,
2000-12,0.2097M,,,,0.0374M,,,0.2303M,0.2303M,,,,,,0.7768M,-0.1302M,,-1.896M,0.2024M,0.3556M,,-0.6914M,-0.3034M,-0.2058M,,-0.1934M,,,,0.2348M,0.0414M,,,0.3515M,-0.0000M,-0.0840M,-0.0840M,,0.2675M,0.1251M,0.0055M,,0.1307M,-0.0000M,,-0.0840M,,
2000-09,1.365M,,,,0.0154M,,,0.1792M,0.1792M,,,,,,-0.1684M,-1.779M,,0.3738M,-0.0499M,0.3367M,,-1.287M,0.2733M,-0.2498M,,-0.2498M,,,,-6.688M,-6.938M,,,6.642M,0.0266M,0.00,0.0266M,,6.668M,0.1216M,0.0035M,,0.1251M,0.0266M,,0.00,,
2000-06,1.652M,,,,,,,0.1479M,0.1479M,,,,,,-2.949M,0.9960M,,0.652M,-0.2689M,0.0943M,,-1.475M,0.3248M,-0.5978M,,-0.5978M,,,,-0.0869M,-0.6847M,,,0.4884M,0.00,-0.1406M,-0.1406M,,0.3478M,0.1337M,-0.0121M,,0.1216M,0.00,,-0.1406M,,
2000-03,0.6881M,,,,,,,0.1284M,0.1284M,,,,,,-0.4931M,-0.1004M,,-1.385M,-0.1533M,-0.1024M,,-2.234M,-1.418M,-0.1383M,,-0.1383M,,,,-0.1316M,-0.2699M,,,0.1719M,0.23M,-0.5899M,-0.3599M,,-0.1880M,2.009M,-1.875M,,0.1337M,0.23M,,-0.5899M,,
1999-12,0.80M,,,,0.00,,,0.20M,0.20M,-0.30M,,,,0.00,0.70M,-2.10M,,-0.30M,0.00,0.30M,,-1.40M,-0.70M,-0.20M,,-0.10M,,,,0.10M,0.00,,,-0.20M,,,,0.00,-0.20M,2.80M,-0.90M,,2.00M,,,,,
1999-09,1.40M,,,,0.10M,,,0.20M,0.20M,0.00,,,,-0.30M,0.40M,-1.30M,,1.20M,-0.10M,-0.80M,,-0.60M,0.80M,0.00,,0.00,,,,-1.10M,-1.10M,,,0.30M,,,,0.00,0.30M,2.90M,0.00,,2.80M,,,,,
1999-06,1.40M,,,,,,,0.10M,0.10M,0.00,,,,0.30M,-1.70M,-1.10M,,1.30M,-0.10M,1.00M,,-0.60M,1.20M,0.00,,0.00,,,,-0.20M,-0.20M,,,-0.20M,,,,0.10M,-0.10M,2.10M,0.90M,,2.90M,,,,,
1999-03,0.90M,,,,,,,0.10M,0.10M,0.20M,,,,-0.10M,-1.30M,-0.20M,,1.90M,-0.10M,-1.40M,,-1.10M,0.00,-0.10M,,-0.10M,,,,-0.10M,-0.20M,,,-1.60M,,,,,-1.60M,3.80M,-1.80M,,2.10M,,,,,
1998-12,0.70M,,,,,,,0.10M,0.10M,,,,,-0.10M,0.70M,-1.00M,,-1.40M,0.30M,-0.20M,,-1.60M,-0.20M,0.00,,0.00,,,,,-0.10M,,,0.00,0.00,,0.00,-0.10M,-0.10M,0.00,-0.40M,,3.80M,0.00,,,,
1998-09,1.20M,,,,,,,0.20M,0.20M,,,,,0.10M,0.30M,-0.20M,,0.40M,-0.40M,0.70M,,0.80M,2.30M,-0.10M,,-0.10M,,,,,-0.10M,,,-0.20M,0.10M,,0.10M,0.10M,0.00,2.10M,2.20M,,0.00,0.10M,,,,
1998-06,1.00M,,,,,,,0.10M,0.10M,,,,,-0.20M,-0.60M,-0.50M,,1.10M,0.10M,0.80M,,0.90M,1.80M,0.00,,0.00,,,,,0.00,,,-0.20M,,,,,-0.20M,0.00,1.60M,,2.10M,,,,,
