,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-12,5.24B,5.24B,3.004B,2.236B,,26.00M,126.00M,,,4.237B,4.814B,-2.578B,,,26.00M,,-2.877B,-1.075B,-1.802B,-217.00M,0.00,28.00M,2.00M,-2.019B,-1.818B,-2.578B,,2003-12,-3.930,-2.790,-3.984,-6.720,,2003-12,-3.930,,-3.984,-6.720,303.00M,303.33M,0.8250,,2003-12,,
2003-09,5.549B,5.549B,3.444B,2.105B,,60.00M,127.00M,,,1.218B,1.818B,287.00M,,,60.00M,,-17.00M,-22.00M,5.00M,44.00M,,11.00M,3.00M,49.00M,-31.00M,287.00M,,2003-09,0.00,0.15,-0.1193,0.15,,2003-09,0.00,,-0.1191,0.15,301.67M,302.33M,0.8250,,2003-09,,
2003-06,5.152B,5.152B,3.033B,2.119B,,305.00M,134.00M,,,881.00M,1.453B,666.00M,,,305.00M,,596.00M,195.00M,401.00M,23.00M,,-50.00M,7.00M,424.00M,195.79M,666.00M,,2003-06,1.320,0.06,0.6375,1.380,,2003-06,1.320,,0.6382,1.380,300.67M,301.00M,0.8250,,2003-06,,
2003-03,6.172B,6.172B,4.04B,2.132B,,76.00M,140.00M,,,674.00M,1.245B,887.00M,,,76.00M,,587.00M,195.00M,392.00M,-5.00M,-162.00M,-50.00M,3.00M,225.00M,341.25M,887.00M,,2003-03,1.290,0.00,1.120,0.7500,,2003-03,1.290,,1.120,0.7500,299.00M,299.00M,0.8250,,2003-03,,
2002-12,4.953B,4.953B,3.023B,1.93B,,89.00M,135.00M,,,918.00M,1.393B,537.00M,,,89.00M,,307.00M,98.00M,209.00M,,,-8.00M,3.00M,-52.00M,148.41M,537.00M,,2002-12,0.27,-0.5700,0.0673,-0.30,,2002-12,0.27,,0.0673,-0.30,298.85M,298.85M,0.8250,,2002-12,,
2002-09,3.982B,3.982B,1.788B,2.194B,,126.00M,139.00M,,,1.09B,1.654B,540.00M,,,126.00M,,338.00M,108.00M,230.00M,,,-14.00M,3.00M,230.00M,144.26M,540.00M,,2002-09,0.8100,0.00,0.5016,0.8100,,2002-09,0.8100,,0.5016,0.8100,278.00M,278.00M,0.8250,,2002-09,,
2002-06,3.617B,3.617B,1.423B,2.194B,,215.00M,132.00M,,,823.00M,1.352B,842.00M,,,215.00M,,721.00M,247.00M,474.00M,,,-62.00M,4.00M,474.00M,332.65M,842.00M,,2002-06,1.710,0.00,1.200,1.710,,2002-06,1.680,,1.175,1.680,277.00M,279.76M,0.8250,,2002-06,,
2002-03,3.308B,3.308B,1.317B,1.991B,,102.00M,127.00M,,,852.00M,1.323B,668.00M,,,102.00M,,540.00M,158.00M,382.00M,,,-32.00M,3.00M,382.00M,309.84M,668.00M,,2002-03,1.440,0.00,1.165,1.440,,2002-03,1.440,,1.165,1.440,262.67M,262.67M,0.8250,,2002-03,,
2001-12,3.739B,3.739B,2.259B,1.48B,,418.00M,102.00M,,,1.00B,1.347B,133.00M,,,418.00M,,337.00M,107.00M,230.00M,,0.00,-60.00M,2.00M,225.00M,-55.28M,133.00M,,2001-12,0.8400,0.00,-0.2672,0.8400,,2001-12,0.8400,,-0.2550,0.8400,257.67M,260.53M,0.8250,,2001-12,,
2001-09,4.729B,4.729B,1.563B,3.166B,,37.00M,110.00M,,,1.189B,1.674B,1.492B,,,37.00M,,1.276B,480.00M,796.00M,,,-62.00M,4.00M,796.00M,772.92M,1.492B,,2001-09,3.060,0.00,2.971,3.060,,2001-09,3.030,,2.942,3.030,258.33M,261.39M,0.8250,,2001-09,,
2001-06,15.58B,15.58B,13.31B,2.274B,,37.00M,104.00M,,,964.00M,1.394B,880.00M,,,37.00M,,655.00M,236.00M,419.00M,,,-45.00M,4.00M,419.00M,395.33M,880.00M,,2001-06,1.620,0.00,1.528,1.620,,2001-06,1.590,,1.499,1.590,257.67M,261.01M,0.8250,,2001-06,,
2001-03,16.49B,16.49B,14.00B,2.49B,,87.00M,115.00M,,,877.00M,1.308B,1.182B,,,87.00M,,881.00M,327.00M,554.00M,,-96.00M,-160.00M,4.00M,458.00M,499.29M,1.182B,,2001-03,1.830,0.00,1.610,1.830,,2001-03,1.800,,1.583,1.800,248.33M,252.22M,0.8250,,2001-03,,
2000-12,-18.16B,-18.16B,-19.94B,1.777B,,373.00M,103.00M,,,982.00M,1.388B,389.00M,,,373.00M,,365.00M,81.00M,284.00M,,,-156.00M,5.00M,284.00M,-6.225M,389.00M,,2000-12,1.140,0.00,-0.0334,1.140,,2000-12,1.125,,-0.0484,1.125,247.33M,247.33M,0.8250,,2000-12,,
2000-09,15.28B,15.28B,12.87B,2.413B,,462.00M,111.00M,,,908.00M,1.319B,1.094B,,,462.00M,,1.268B,498.00M,770.00M,,,-31.00M,4.00M,770.00M,489.45M,1.094B,,2000-09,3.120,0.00,1.976,3.120,,2000-09,3.105,,1.968,3.105,245.33M,246.70M,0.8250,,2000-09,,
2000-06,10.93B,10.93B,8.814B,2.112B,,43.00M,102.00M,,,865.00M,1.318B,794.00M,,,43.00M,,520.00M,191.00M,329.00M,,,-89.00M,5.00M,329.00M,301.79M,794.00M,,2000-06,1.320,0.00,1.209,1.320,,2000-06,1.320,,1.209,1.320,245.33M,245.33M,0.8250,,2000-06,,
2000-03,7.236B,7.236B,5.449B,1.787B,,101.00M,102.00M,,,624.00M,1.029B,758.00M,,,101.00M,,643.00M,250.00M,393.00M,,,-31.00M,5.00M,393.00M,331.27M,758.00M,,2000-03,1.590,0.00,1.338,1.590,,2000-03,1.590,,1.338,1.590,244.67M,244.67M,0.8250,,2000-03,,
1999-12,6.221B,6.221B,4.464B,1.757B,,107.00M,80.00M,,,1.768B,1.98B,-223.00M,,,107.00M,,-355.00M,-166.00M,-189.00M,,,-43.00M,5.00M,-189.00M,-253.20M,-223.00M,,1999-12,-0.8100,0.00,-1.073,-0.8100,,1999-12,-0.8100,-0.0179,-1.068,-0.8400,244.29M,248.98M,0.8250,,1999-12,,
1999-09,6.694B,6.694B,4.687B,2.007B,,24.00M,105.00M,,,724.00M,1.123B,884.00M,,,24.00M,,724.00M,283.00M,441.00M,,,-31.00M,5.00M,441.00M,426.38M,884.00M,,1999-09,1.800,0.00,1.740,1.800,,1999-09,1.800,,1.740,1.800,242.22M,242.22M,0.8250,,1999-09,,
1999-06,4.691B,4.691B,3.167B,1.524B,,37.00M,87.00M,,,634.00M,993.00M,531.00M,,,37.00M,,415.00M,127.00M,288.00M,,,-33.00M,5.00M,288.00M,262.32M,531.00M,,1999-06,1.155,0.00,1.049,1.155,,1999-06,1.155,,1.049,1.155,242.67M,242.67M,0.8250,,1999-06,,
1999-03,4.178B,4.178B,2.589B,1.589B,,38.00M,99.00M,,,575.00M,944.00M,645.00M,,,38.00M,,516.00M,209.00M,307.00M,,,-35.00M,5.00M,967.00M,284.20M,645.00M,,1999-03,3.975,0.00,3.881,3.975,,1999-03,3.960,2.717,3.866,3.960,242.00M,242.93M,0.8250,,1999-03,,
1998-12,4.235B,4.235B,2.594B,1.641B,,13.80M,80.70M,,,958.00M,1.139B,502.00M,,,13.80M,,353.00M,129.30M,223.70M,,,-33.90M,4.50M,223.70M,214.95M,502.00M,,1998-12,0.8550,0.03,0.8193,0.8850,,1998-12,0.8400,0.0002,0.8047,0.8700,245.08M,247.90M,0.8250,,1998-12,,
1998-09,5.298B,5.298B,3.479B,1.819B,,45.10M,95.80M,,,617.90M,993.60M,825.80M,,,45.10M,,702.20M,273.50M,428.70M,,,-30.00M,4.90M,428.70M,401.17M,825.80M,,1998-09,1.770,0.00,1.655,1.770,,1998-09,1.770,,1.655,1.770,239.43M,239.43M,0.8250,,1998-09,,
1998-06,4.014B,4.014B,2.474B,1.540B,,33.60M,91.50M,,,633.40M,990.80M,548.80M,,,33.60M,,442.90M,163.40M,279.50M,,,-16.70M,5.10M,279.50M,258.30M,548.80M,,1998-06,1.140,0.00,1.052,1.140,,1998-06,1.140,,1.052,1.140,240.70M,240.70M,0.8250,,1998-06,,
