,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2004-12,1.201B,,,,147.00M,263.00M,263.00M,206.00M,,,,178.00M,-439.00M,,1.378B,,-235.00M,285.00M,50.00M,-24.00M,11.00M,-13.00M,24.00M,,,581.00M,22.00M,-267.00M,-245.00M,,-620.00M,,-284.00M,,5.466B,1.118B,123.00M,6.707B,,22.00M,,,-267.00M,,,
2004-09,935.00M,,,,396.00M,210.00M,210.00M,13.00M,,,,80.00M,80.00M,,1.634B,,-168.00M,16.00M,-152.00M,-113.00M,92.00M,21.00M,-152.00M,,,-16.00M,29.00M,-486.00M,-457.00M,,-590.00M,,-1.063B,,5.042B,419.00M,5.00M,5.466B,,29.00M,,,-486.00M,,,
2004-06,1.584B,,,,12.00M,207.00M,207.00M,-10.00M,,,,3.00M,3.00M,,1.796B,,-182.00M,18.00M,-164.00M,-4.00M,-76.00M,10.00M,-234.00M,,,168.00M,81.00M,-483.00M,-402.00M,,-617.00M,,-851.00M,,4.376B,711.00M,-45.00M,5.042B,,81.00M,,,-483.00M,,,
2004-03,1.127B,,,,128.00M,213.00M,213.00M,-47.00M,,,,-261.00M,-261.00M,,1.16B,,-170.00M,22.00M,-148.00M,-126.00M,88.00M,45.00M,-141.00M,,,981.00M,61.00M,-503.00M,-442.00M,,-602.00M,,-63.00M,,3.362B,956.00M,58.00M,4.376B,,61.00M,,,-503.00M,,,
2003-12,927.00M,,,,238.00M,228.00M,228.00M,-119.00M,,,,229.00M,61.00M,,1.335B,,-247.00M,33.00M,-214.00M,-53.00M,65.00M,149.00M,-53.00M,,,-207.00M,50.00M,-502.00M,-452.00M,,-1.08B,,-1.739B,,3.727B,-457.00M,92.00M,3.362B,,50.00M,,,-502.00M,,,
2003-09,1.223B,,,,83.00M,211.00M,211.00M,150.00M,,,,324.00M,324.00M,,1.991B,,-167.00M,7.00M,-160.00M,-101.00M,-117.00M,12.00M,-366.00M,,,-204.00M,24.00M,-505.00M,-481.00M,,-541.00M,,-1.226B,,3.426B,399.00M,-98.00M,3.727B,,24.00M,,,-505.00M,,,
2003-06,1.362B,,,,134.00M,213.00M,213.00M,-116.00M,,,,-62.00M,-62.00M,,1.531B,,-203.00M,40.00M,-163.00M,-75.00M,-52.00M,-42.00M,-332.00M,,,-397.00M,12.00M,-91.00M,-79.00M,,-545.00M,,-1.021B,,3.123B,178.00M,125.00M,3.426B,,12.00M,,,-91.00M,,,
2003-03,835.00M,,,,160.00M,198.00M,198.00M,-103.00M,,,,-491.00M,-491.00M,,599.00M,,-195.00M,7.00M,-188.00M,-130.00M,74.00M,59.00M,-185.00M,,,715.00M,12.00M,-342.00M,-330.00M,,,,385.00M,,2.26B,799.00M,64.00M,3.123B,,12.00M,,,-342.00M,,,
2002-12,930.00M,,,,44.00M,207.00M,207.00M,171.00M,,,,392.00M,-15.00M,,1.337B,,-269.00M,14.00M,-255.00M,-129.00M,-60.00M,110.00M,-334.00M,,,-219.00M,10.00M,-213.00M,-203.00M,,-993.00M,,-1.415B,,2.647B,-412.00M,25.00M,2.26B,,10.00M,,,-213.00M,,,
2002-09,955.00M,,,,215.00M,201.00M,201.00M,14.00M,,,,-136.00M,-136.00M,,1.249B,,-208.00M,20.00M,-188.00M,-148.00M,178.00M,13.00M,-145.00M,,,-454.00M,12.00M,-177.00M,-165.00M,,-497.00M,,-1.116B,,2.671B,-12.00M,-12.00M,2.647B,,12.00M,,,-177.00M,,,
2002-06,1.29B,,,,-58.00M,203.00M,203.00M,-110.00M,,,,-130.00M,-130.00M,,1.195B,,-199.00M,13.00M,-186.00M,-52.00M,-32.00M,13.00M,-257.00M,,,-17.00M,55.00M,-118.00M,-63.00M,,-497.00M,,-577.00M,,2.268B,361.00M,42.00M,2.671B,,55.00M,,,-118.00M,,,
2002-03,-125.00M,,,,1.052B,195.00M,195.00M,-35.00M,,,,-126.00M,-126.00M,,961.00M,,-175.00M,22.00M,-153.00M,-215.00M,16.00M,23.00M,-329.00M,,,-66.00M,30.00M,-183.00M,-153.00M,,,,-219.00M,,1.866B,413.00M,-11.00M,2.268B,,30.00M,,,-183.00M,,,
2001-12,914.00M,,,,-80.00M,232.00M,232.00M,101.00M,,,,318.00M,-144.00M,,1.057B,,-241.00M,21.00M,-220.00M,-343.00M,185.00M,30.00M,-348.00M,,,-361.00M,9.00M,-58.00M,-49.00M,,-894.00M,,-1.304B,,2.495B,-595.00M,-34.00M,1.866B,,9.00M,,,-58.00M,,,
2001-09,1.074B,,,,-256.00M,186.00M,186.00M,39.00M,,,,-85.00M,-85.00M,,958.00M,,-215.00M,15.00M,-200.00M,-67.00M,14.00M,8.00M,-245.00M,,,-349.00M,30.00M,-87.00M,-57.00M,,-449.00M,,-855.00M,,2.599B,-142.00M,38.00M,2.495B,,30.00M,,,-87.00M,,,
2001-06,1.118B,,,,0.00,199.00M,199.00M,-38.00M,,,,99.00M,99.00M,,1.378B,,-176.00M,38.00M,-138.00M,-24.00M,-32.00M,-2.00M,-196.00M,,,-669.00M,40.00M,-65.00M,-25.00M,,-448.00M,,-1.142B,,2.616B,40.00M,-57.00M,2.599B,,40.00M,,,-65.00M,,,
2001-03,863.00M,,,,46.00M,186.00M,186.00M,-46.00M,,,,-332.00M,-332.00M,,717.00M,,-137.00M,17.00M,-120.00M,-217.00M,-168.00M,106.00M,-399.00M,,,453.00M,85.00M,-67.00M,18.00M,,,,471.00M,,1.819B,789.00M,8.00M,2.616B,,85.00M,,,-67.00M,,,
2000-12,242.00M,,,,769.00M,201.00M,201.00M,46.00M,,,,600.00M,-252.00M,,1.006B,,-162.00M,28.00M,-134.00M,-113.00M,-58.00M,76.00M,-229.00M,,,-1.09B,88.00M,-3.00M,85.00M,,-844.00M,,-1.849B,,2.945B,-1.072B,-54.00M,1.819B,,88.00M,,,-3.00M,,,
2000-09,1.067B,,,,-96.00M,129.00M,129.00M,32.00M,,,,216.00M,216.00M,,1.348B,,-152.00M,6.00M,-146.00M,-1.00M,64.00M,66.00M,-17.00M,,,-843.00M,93.00M,-7.00M,86.00M,,-421.00M,,-1.178B,,2.843B,153.00M,-51.00M,2.945B,,93.00M,,,-7.00M,,,
2000-06,926.00M,,,,46.00M,226.00M,226.00M,-21.00M,,,,-115.00M,-115.00M,,1.062B,,-192.00M,8.00M,-184.00M,-210.00M,-111.00M,-19.00M,-524.00M,,,250.00M,66.00M,-15.00M,51.00M,,-420.00M,,-119.00M,,2.454B,419.00M,-30.00M,2.843B,,66.00M,,,-15.00M,,,
2000-03,-58.00M,,,,765.00M,217.00M,217.00M,-54.00M,,,,-701.00M,-701.00M,,169.00M,,-227.00M,3.00M,-224.00M,-73.00M,-113.00M,15.00M,-395.00M,,,1.098B,84.00M,-108.00M,-24.00M,,,,1.074B,,1.611B,848.00M,-5.00M,2.454B,,84.00M,,,-108.00M,,,
1999-12,-45.00M,,,,858.00M,183.00M,183.00M,78.00M,,,,470.00M,-87.00M,,987.00M,,1.493B,21.00M,1.514B,-1.876B,-62.00M,-56.00M,-480.00M,,,-133.00M,48.00M,-6.00M,42.00M,,-440.00M,,-531.00M,,1.502B,-24.00M,133.00M,1.611B,,48.00M,,,-6.00M,,,
1999-09,787.00M,,,,-82.00M,209.00M,209.00M,64.00M,,,,167.00M,167.00M,,1.145B,,-2.03B,12.00M,-2.018B,797.00M,-139.00M,-115.00M,-1.475B,,,14.00M,24.00M,0.00,24.00M,,-388.00M,,-350.00M,,2.213B,-680.00M,-31.00M,1.502B,,24.00M,,,0.00,,,
1999-06,942.00M,,,,118.00M,215.00M,215.00M,-30.00M,,,,169.00M,169.00M,,1.414B,,-304.00M,6.00M,-298.00M,-568.00M,-91.00M,3.00M,-954.00M,,,555.00M,48.00M,-4.00M,44.00M,,-414.00M,,185.00M,,1.593B,645.00M,-25.00M,2.213B,,48.00M,,,-4.00M,,,
1999-03,747.00M,,,,226.00M,185.00M,185.00M,-15.00M,,,,-806.00M,-806.00M,,337.00M,,-228.00M,6.00M,-222.00M,-229.00M,-50.00M,-11.00M,-512.00M,,,520.00M,48.00M,-5.00M,43.00M,,-338.00M,,225.00M,,1.648B,50.00M,-105.00M,1.593B,,48.00M,,,-5.00M,,,
1998-12,597.00M,,,,43.00M,174.00M,174.00M,-63.00M,,,,628.00M,78.00M,,829.00M,,-251.00M,25.00M,-226.00M,-427.00M,-71.00M,-313.00M,-1.037B,,,493.00M,106.00M,-104.00M,2.00M,,-391.00M,,104.00M,,1.746B,-104.00M,6.00M,1.648B,,106.00M,,,-104.00M,,,
1998-09,888.00M,,,,-83.00M,151.00M,151.00M,24.00M,,,,-23.00M,-23.00M,,957.00M,,-202.00M,9.00M,-193.00M,-536.00M,372.00M,11.00M,-346.00M,,,-18.00M,59.00M,-580.00M,-521.00M,,-360.00M,,-899.00M,,2.027B,-288.00M,7.00M,1.746B,,59.00M,,,-580.00M,,,
1998-06,1.191B,,,,-182.00M,168.00M,168.00M,11.00M,,,,-52.00M,-52.00M,,1.136B,,-225.00M,14.00M,-211.00M,-259.00M,204.00M,-27.00M,-293.00M,,,195.00M,66.00M,-585.00M,-519.00M,,-373.00M,,-697.00M,,1.888B,146.00M,-7.00M,2.027B,,66.00M,,,-585.00M,,,
1998-03,857.00M,,,,65.00M,152.00M,152.00M,-10.00M,,,,-553.00M,-553.00M,,511.00M,,-185.00M,6.00M,-179.00M,-206.00M,-79.00M,-21.00M,-485.00M,,,738.00M,71.00M,-294.00M,-223.00M,,-356.00M,,159.00M,,1.737B,185.00M,-34.00M,1.888B,,71.00M,,,-294.00M,,,
1997-12,817.00M,,,,-64.00M,176.00M,176.00M,437.00M,,,,-730.00M,-777.00M,,589.00M,,-317.00M,17.00M,-300.00M,-311.00M,-150.00M,-2.00M,-763.00M,,,796.00M,41.00M,-305.00M,-264.00M,,-692.00M,,-160.00M,,2.11B,-334.00M,-39.00M,1.737B,,41.00M,,,-305.00M,,,
1997-09,1.011B,,,,-199.00M,149.00M,149.00M,-44.00M,,,,399.00M,399.00M,,1.316B,,-304.00M,10.00M,-294.00M,-154.00M,574.00M,42.00M,168.00M,,,-1.004B,33.00M,-552.00M,-519.00M,,-348.00M,,-1.871B,,2.552B,-387.00M,-55.00M,2.11B,,33.00M,,,-552.00M,,,
1997-06,1.314B,,,,-503.00M,163.00M,163.00M,150.00M,,,,100.00M,100.00M,,1.224B,,-263.00M,29.00M,-234.00M,-534.00M,245.00M,66.00M,-457.00M,,,300.00M,41.00M,-187.00M,-146.00M,,-347.00M,,-193.00M,,1.935B,574.00M,43.00M,2.552B,,41.00M,,,-187.00M,,,
1997-03,987.00M,,,,-289.00M,138.00M,138.00M,-163.00M,,,,231.00M,231.00M,,904.00M,,-209.00M,15.00M,-194.00M,-101.00M,871.00M,-24.00M,552.00M,,,-688.00M,35.00M,-218.00M,-183.00M,,,,-871.00M,,1.433B,585.00M,-83.00M,1.935B,,35.00M,,,-218.00M,,,
1996-12,762.00M,,,,-272.00M,273.00M,273.00M,-273.00M,,143.00M,,304.00M,186.00M,,819.00M,,-308.00M,37.00M,-271.00M,-68.00M,-324.00M,-20.00M,-683.00M,,,256.00M,50.00M,-569.00M,-519.00M,,-623.00M,,-886.00M,,2.166B,-750.00M,17.00M,1.433B,,50.00M,,,-569.00M,,,
1996-09,967.00M,,,,-34.00M,125.00M,125.00M,87.00M,,-143.00M,,-3.00M,-3.00M,,999.00M,,-302.00M,21.00M,-281.00M,-370.00M,958.00M,-144.00M,163.00M,,,-137.00M,18.00M,-315.00M,-297.00M,,-311.00M,,-745.00M,,1.774B,417.00M,-25.00M,2.166B,,18.00M,,,-315.00M,,,
1996-06,1.05B,,,,-88.00M,123.00M,123.00M,75.00M,,7.00M,,-175.00M,-175.00M,,992.00M,,-235.00M,7.00M,-228.00M,-109.00M,-20.00M,23.00M,-334.00M,,,165.00M,24.00M,-331.00M,-307.00M,,-313.00M,,-455.00M,,1.582B,203.00M,-11.00M,1.774B,,24.00M,,,-331.00M,,,
1996-03,713.00M,,,,-5.00M,112.00M,112.00M,-34.00M,,-7.00M,,-126.00M,-126.00M,,653.00M,,-145.00M,16.00M,-129.00M,-98.00M,65.00M,-34.00M,-196.00M,,,258.00M,32.00M,-306.00M,-274.00M,,,,-16.00M,,1.167B,441.00M,-26.00M,1.582B,,32.00M,,,-306.00M,,,
1995-12,648.00M,,,,8.00M,225.00M,225.00M,143.00M,,57.00M,,245.00M,-54.00M,,1.027B,,-229.00M,-1.00M,-230.00M,-231.00M,-177.00M,-126.00M,-764.00M,,,31.00M,24.00M,-379.00M,-355.00M,,-552.00M,,-876.00M,,1.773B,-613.00M,7.00M,1.167B,,24.00M,,,-379.00M,,,
1995-09,802.00M,,,,-61.00M,118.00M,118.00M,10.00M,,-61.00M,,407.00M,407.00M,,1.215B,,-250.00M,18.00M,-232.00M,-46.00M,62.00M,-8.00M,-224.00M,,,59.00M,14.00M,-515.00M,-501.00M,,-278.00M,,-720.00M,,1.638B,271.00M,-136.00M,1.773B,,14.00M,,,-515.00M,,,
1995-06,898.00M,,,,-20.00M,109.00M,109.00M,5.00M,,17.00M,,-271.00M,-271.00M,,738.00M,,-230.00M,5.00M,-225.00M,-46.00M,48.00M,-21.00M,-244.00M,,,565.00M,25.00M,-462.00M,-437.00M,,-280.00M,,-152.00M,,1.276B,342.00M,20.00M,1.638B,,25.00M,,,-462.00M,,,
1995-03,638.00M,,,,-5.00M,110.00M,110.00M,-1.00M,,-13.00M,,-381.00M,-381.00M,,348.00M,,-228.00M,22.00M,-206.00M,-15.00M,244.00M,-17.00M,6.00M,,,-113.00M,23.00M,-440.00M,-417.00M,,,,-530.00M,,1.386B,-176.00M,66.00M,1.276B,,23.00M,,,-440.00M,,,
1994-12,567.00M,,,,-10.00M,120.00M,120.00M,43.00M,,-15.00M,,-40.00M,89.00M,,794.00M,,-309.00M,69.00M,-240.00M,-36.00M,15.00M,49.00M,-212.00M,,,211.00M,7.00M,-649.00M,-642.00M,,-502.00M,,-933.00M,,1.753B,-351.00M,-16.00M,1.386B,,7.00M,,,-649.00M,,,
1994-09,708.00M,,,,-56.00M,98.00M,98.00M,-1.00M,,34.00M,,350.00M,350.00M,,1.133B,,-205.00M,13.00M,-192.00M,-124.00M,93.00M,-51.00M,-274.00M,,,-206.00M,21.00M,-141.00M,-120.00M,,-34.00M,,-360.00M,,1.221B,499.00M,33.00M,1.753B,,21.00M,,,-141.00M,,,
1994-06,758.00M,,,,61.00M,102.00M,102.00M,8.00M,,20.00M,,-36.00M,-36.00M,,913.00M,,-179.00M,10.00M,-169.00M,-144.00M,56.00M,-29.00M,-286.00M,,,116.00M,23.00M,-236.00M,-213.00M,,-283.00M,,-380.00M,,959.00M,247.00M,15.00M,1.221B,,23.00M,,,-236.00M,,,
1994-03,521.00M,,,,-5.00M,91.00M,91.00M,8.00M,,2.00M,,-274.00M,-274.00M,,343.00M,,-185.00M,17.00M,-168.00M,-7.00M,-66.00M,-24.00M,-265.00M,,,216.00M,18.00M,-166.00M,-148.00M,,-187.00M,,-119.00M,,998.00M,-41.00M,2.00M,959.00M,,18.00M,,,-166.00M,,,
1993-12,466.00M,,,,49.00M,97.00M,97.00M,-81.00M,,45.00M,,,,,630.00M,,-218.00M,-129.00M,-347.00M,,-744.00M,786.00M,-305.00M,,,15.00M,7.00M,-118.00M,-111.00M,,-240.00M,,-336.00M,,0.00,-11.00M,-31.00M,0.00,,7.00M,,,-118.00M,,,
1993-09,590.00M,,,,129.00M,90.00M,90.00M,38.00M,,21.00M,,,,,868.00M,,-184.00M,105.00M,-79.00M,,-43.00M,6.00M,-116.00M,,,-306.00M,17.00M,-126.00M,-109.00M,,-221.00M,,-636.00M,,0.00,116.00M,-9.00M,0.00,,17.00M,,,-126.00M,,,
1993-06,678.00M,,,,-275.00M,85.00M,85.00M,-35.00M,,298.00M,,,,,751.00M,,-189.00M,7.00M,-182.00M,,-38.00M,-99.00M,-319.00M,,,163.00M,106.00M,-329.00M,-223.00M,,-222.00M,,-282.00M,,0.00,150.00M,9.00M,0.00,,106.00M,,,-329.00M,,,
1993-03,454.00M,,,,-13.00M,88.00M,88.00M,16.00M,,-286.00M,,,,,259.00M,,-209.00M,17.00M,-192.00M,,38.00M,9.00M,-145.00M,,,6.00M,15.00M,-107.00M,-92.00M,,-200.00M,,-286.00M,,956.00M,-172.00M,-10.00M,0.00,,15.00M,,,-107.00M,,,
1992-12,379.10M,,,,42.50M,73.00M,73.00M,-80.20M,,81.20M,277.90M,,285.40M,,781.00M,,-339.70M,-39.80M,-379.50M,,-323.50M,-16.90M,-719.90M,,,791.10M,71.80M,-400.50M,-328.70M,,-368.60M,0.10M,93.90M,,0.00,155.00M,-40.50M,0.00,,71.80M,,,-400.50M,,,
1992-09,540.60M,,,,-37.60M,89.00M,89.00M,25.90M,,6.60M,227.50M,,227.50M,,852.00M,,-341.50M,6.00M,-335.50M,,-287.80M,224.30M,-399.00M,,,-290.10M,18.10M,-154.90M,-136.80M,,-184.20M,-0.20M,-611.30M,,0.00,-158.30M,12.40M,0.00,,18.10M,,,-154.90M,,,
1992-06,581.00M,,,,-31.20M,86.50M,86.50M,-0.60M,,9.80M,-115.10M,,-115.10M,,530.40M,,-220.10M,-187.80M,-407.90M,,123.30M,-4.10M,-288.70M,,,241.20M,8.70M,-258.20M,-249.50M,,-185.20M,0.00,-193.50M,,0.00,48.20M,18.00M,0.00,,8.70M,,,-258.20M,,,
1992-03,383.10M,,,,19.70M,73.40M,73.40M,28.30M,,5.50M,-441.00M,,-441.00M,,69.00M,,-182.00M,268.70M,86.70M,,-34.60M,-4.00M,48.10M,,,206.60M,32.70M,-445.90M,-413.20M,,,0.10M,-206.50M,,1.058B,-89.40M,-48.00M,0.00,,32.70M,,,-445.90M,,,
1991-12,358.40M,,,,-54.60M,16.00M,16.00M,-40.50M,,-25.20M,420.70M,,327.00M,,581.10M,,-214.50M,-6.90M,-221.40M,,12.70M,-121.00M,-329.70M,,,14.50M,11.50M,-166.40M,-154.90M,,-319.30M,75.10M,-384.60M,,0.00,-133.20M,36.80M,0.00,,11.50M,,,-166.40M,,,
1991-09,456.30M,,,,76.20M,76.20M,76.20M,-10.80M,,30.80M,161.30M,,161.30M,,790.00M,,-207.30M,11.60M,-195.70M,,-18.40M,-10.40M,-224.50M,,,-81.10M,9.80M,-115.20M,-105.40M,,-160.00M,-0.10M,-346.60M,,0.00,218.90M,27.30M,0.00,,9.80M,,,-115.20M,,,
1991-06,482.40M,,,,-26.70M,71.50M,71.50M,2.20M,,9.80M,82.30M,,82.30M,,621.50M,,-203.70M,18.70M,-185.00M,,-98.60M,-24.60M,-308.20M,,,174.60M,8.20M,-111.20M,-103.00M,,-160.30M,0.10M,-88.60M,,0.00,224.70M,-33.60M,0.00,,8.20M,,,-111.20M,,,
1991-03,320.90M,,,,20.00M,97.70M,97.70M,-17.00M,,17.90M,-347.70M,,-347.70M,,91.80M,,-166.20M,20.60M,-145.60M,,-114.30M,-2.40M,-262.30M,,,-364.80M,9.90M,-81.30M,-71.40M,,-0.50M,-75.00M,-511.70M,,1.430B,-682.20M,-30.00M,0.00,,9.90M,,,-81.30M,,,
1990-12,294.30M,,,,-62.80M,72.70M,72.70M,-11.10M,,12.60M,216.70M,,92.40M,,398.10M,,-219.10M,8.00M,-211.10M,,-47.40M,18.30M,-240.20M,,,533.50M,12.40M,-228.80M,-216.40M,,-271.70M,,45.40M,,0.00,203.30M,2.90M,0.00,,12.40M,,,-228.80M,,,
1990-09,394.20M,,,,-112.30M,59.70M,59.70M,-19.10M,,85.20M,299.90M,,299.90M,,707.60M,,-134.50M,3.60M,-130.90M,,-91.50M,95.30M,-127.10M,,,-296.40M,-4.60M,1.40M,-3.20M,,-136.20M,0.10M,-435.70M,,0.00,144.80M,45.20M,0.00,,-4.60M,,,1.40M,,,
1990-06,409.90M,,,,-43.00M,50.10M,50.10M,-8.20M,,,-64.50M,,-64.50M,,344.30M,,-132.50M,5.20M,-127.30M,,99.70M,135.80M,108.20M,,,-397.40M,13.30M,-57.70M,-44.40M,,-139.80M,-0.10M,-581.70M,,0.00,-129.20M,4.10M,0.00,,13.30M,,,-57.70M,,,
1990-03,283.50M,,,,-13.10M,61.40M,61.40M,8.10M,,,-506.00M,,-506.00M,,-166.10M,,-106.90M,2.40M,-104.50M,,-3.20M,-72.90M,-180.60M,,,671.10M,8.80M,-246.60M,-237.80M,,-4.90M,,428.40M,,1.096B,81.70M,-19.30M,0.00,,8.80M,,,-246.60M,,,
1989-12,247.70M,,,,-447.90M,48.70M,48.70M,23.60M,,24.50M,526.20M,,276.70M,,173.30M,,-140.00M,16.60M,-123.40M,,2.449B,-851.70M,1.474B,,,-1.634B,11.80M,-357.30M,-345.50M,,-120.20M,,-2.100B,,0.00,-452.10M,18.60M,0.00,,11.80M,,,-357.30M,,,
1989-09,361.30M,,,,-144.30M,46.20M,46.20M,-3.70M,,-0.10M,206.70M,,206.70M,,466.10M,,-124.80M,32.90M,-91.90M,,-843.90M,176.60M,-759.20M,,,957.00M,9.10M,-312.50M,-303.40M,,-121.70M,,531.90M,,0.00,238.80M,-1.40M,0.00,,9.10M,,,-312.50M,,,
1989-06,345.50M,,,,-16.90M,44.40M,44.40M,11.00M,,0.20M,-139.10M,,-139.10M,,245.10M,,-121.40M,2.30M,-119.10M,,-41.40M,44.10M,-116.40M,,,477.50M,5.50M,-254.90M,-249.40M,,-123.70M,0.10M,104.50M,,0.00,233.20M,-26.80M,0.00,,5.50M,,,-254.90M,,,
1989-03,259.80M,,,,4.80M,44.50M,44.50M,6.10M,,-0.10M,-65.00M,,-65.00M,,250.10M,,-76.30M,8.80M,-67.50M,,-29.00M,27.30M,-69.20M,,,125.20M,15.00M,-242.20M,-227.20M,,-125.10M,-0.10M,-227.20M,,1.145B,-46.30M,-13.30M,0.00,,15.00M,,,-242.20M,,,
