,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-09,12.57B,12.57B,12.00B,562.62M,310.58M,16.39M,2.125M,-8.015M,,,,,329.10M,233.52M,,,,-0.457M,,198.33M,76.96M,121.37M,,,,123.20M,126.27M,257.93M,24.41M,233.52M,0.249,0.0041,,,0.2602,0.2531,0.249,0.0,,,0.2594,0.2531,435.38M,471.64M,0.0062
2003-06,12.42B,12.42B,11.86B,560.38M,315.83M,14.70M,1.636M,-4.22M,,,,,332.17M,228.21M,,,,-5.862M,,185.11M,72.56M,112.55M,,,,112.55M,115.11M,246.45M,18.24M,228.21M,0.255,0.0,,,0.2608,0.255,0.2475,0.0,,,0.253,0.2475,441.33M,467.10M,0.0062
2003-03,12.16B,12.16B,11.58B,581.19M,323.56M,15.26M,1.805M,-4.005M,,,,4.005M,344.64M,236.55M,,,,-9.738M,,192.42M,76.01M,116.41M,,,,116.41M,118.84M,255.30M,18.74M,236.55M,0.265,0.0,,,0.2705,0.265,0.2575,0.0,,,0.2627,0.2575,437.75M,463.02M,0.0062
2002-12,12.43B,12.43B,11.91B,521.42M,317.68M,15.80M,1.466M,1.381M,,,,-1.381M,333.57M,187.86M,,,,1.198M,,153.29M,60.55M,92.74M,,,,92.74M,91.90M,206.90M,19.04M,187.86M,0.2175,0.0,,,0.2155,0.2175,0.21,0.0,,,0.2082,0.21,427.16M,453.61M,0.0062
2002-09,11.60B,11.60B,11.07B,528.62M,314.18M,15.84M,1.12M,-3.859M,,,,,331.15M,197.47M,,,,-8.319M,,139.44M,55.37M,94.96M,,,,94.96M,97.29M,215.73M,18.26M,197.47M,0.225,0.0,,,0.2305,0.225,0.215,0.0,,,0.2201,0.215,424.90M,452.54M,0.0062
2002-06,11.62B,11.62B,11.11B,509.93M,304.30M,14.31M,0.43M,-8.147M,,,,,319.04M,190.89M,,,,-7.957M,,155.62M,61.77M,90.22M,,,-3.63M,90.22M,95.14M,207.06M,16.17M,190.89M,0.215,0.0,,,0.2267,0.215,0.205,0.0,,,0.2159,0.205,421.50M,451.56M,0.0062
2002-03,10.94B,10.94B,10.43B,514.49M,304.58M,13.85M,0.551M,-4.741M,,,,,318.98M,195.52M,,,,-4.387M,,158.39M,62.89M,91.87M,,,-3.629M,91.87M,94.73M,211.42M,15.90M,195.52M,0.22,0.0,,,0.2268,0.22,0.21,0.0,,,0.2164,0.21,417.62M,446.82M,0.0062
2001-12,11.07B,11.07B,10.60B,471.43M,297.59M,14.25M,0.80M,-7.497M,,,,,312.64M,158.79M,,,,-9.228M,,118.59M,47.08M,67.88M,,,-3.63M,67.88M,72.40M,175.04M,16.25M,158.79M,0.1625,0.0,,,0.1734,0.1625,0.1575,0.0,,,0.1677,0.1575,414.94M,444.73M,0.0062
2001-09,5.884B,5.884B,5.618B,266.58M,167.02M,7.882M,1.327M,-9.49M,,,,,173.51M,93.07M,,,,-15.78M,,58.93M,23.04M,35.89M,,,,35.89M,41.67M,103.17M,10.10M,93.07M,0.1175,0.0,,,0.1379,0.1175,0.115,0.0,,,0.1336,0.115,283.09M,311.08M,
2001-06,3.519B,3.519B,3.374B,144.94M,79.64M,3.744M,0.461M,-0.903M,,,,,83.84M,61.10M,,,,-2.909M,,50.83M,19.32M,31.51M,,,,31.51M,32.07M,65.88M,4.786M,61.10M,0.15,0.0,,,0.1526,0.15,0.1425,0.0,,,0.1448,0.1425,211.65M,238.31M,
2001-03,3.481B,3.481B,3.330B,151.17M,82.46M,3.68M,0.601M,,,,,,86.74M,64.43M,,,,-1.801M,,50.83M,19.32M,31.52M,,,,31.52M,31.52M,69.72M,5.298M,64.43M,0.15,0.0,,,0.15,0.15,0.1425,0.0,,,0.1425,0.1425,210.80M,237.40M,
2000-12,3.307B,3.307B,3.169B,138.06M,79.64M,,,-0.774M,,,,,84.17M,53.89M,,,,-0.774M,,42.24M,16.05M,26.19M,,,,26.19M,26.67M,58.42M,4.526M,53.89M,0.125,0.0,,,0.1273,0.125,0.1225,0.0,,,0.1247,0.1225,209.42M,218.31M,
2000-09,3.032B,3.032B,2.893B,138.85M,78.53M,,,0.00,,,,,83.04M,55.81M,,,,0.00,,45.16M,17.16M,28.00M,,,,28.00M,28.00M,60.32M,4.511M,55.81M,0.135,0.0,,,0.135,0.135,0.1325,0.0,,,0.1325,0.1325,207.87M,211.08M,
2000-06,2.932B,2.932B,2.802B,129.85M,77.94M,,,1.123M,,,,,82.07M,47.78M,,,,1.123M,,40.52M,15.40M,25.12M,,,,25.12M,24.42M,51.90M,4.126M,47.78M,0.1225,0.0,,,0.1191,0.1225,0.12,0.0,,,0.1167,0.12,206.33M,208.34M,
2000-03,2.842B,2.842B,2.710B,132.02M,76.32M,,,,,,,,80.91M,51.11M,,,,,,39.19M,14.89M,24.30M,,,,24.30M,24.30M,55.70M,4.583M,51.11M,0.1175,0.0,,,0.1175,0.1175,0.1175,0.0,,,0.1175,0.1175,204.85M,204.85M,
1999-12,2.839B,2.839B,2.719B,120.20M,70.20M,,,,,,,,74.40M,45.80M,,,,,,34.80M,13.20M,21.60M,,,,21.60M,21.60M,50.00M,4.20M,45.80M,0.105,0.0,,,0.105,0.105,0.105,0.0,,,0.105,0.105,205.71M,205.71M,
1999-09,2.579B,2.579B,2.453B,126.30M,75.10M,,,,,,,,80.00M,46.30M,,,,,,21.90M,10.90M,11.00M,,,,7.60M,11.00M,51.20M,4.90M,46.30M,0.055,-0.0175,,,0.055,0.0375,0.055,-0.0175,,,0.055,0.0375,204.69M,206.58M,
1999-06,2.468B,2.468B,2.356B,113.00M,67.30M,,,,,,,,71.50M,41.50M,,,,,,34.80M,13.00M,21.80M,,,,21.80M,21.80M,46.39M,4.892M,41.50M,0.1075,0.0,,,0.1075,0.1075,0.0975,0.0,,,0.0975,0.0975,202.92M,206.66M,
1999-03,2.385B,2.385B,2.261B,124.63M,72.24M,,,,,,,,78.15M,46.48M,,,,,,33.68M,13.46M,20.22M,,,,20.22M,20.22M,52.39M,4.908M,46.48M,0.1,0.0,,,0.1,0.1,0.0975,0.0,,,0.0975,0.0975,202.19M,207.37M,
1998-12,2.375B,2.375B,2.263B,112.00M,67.20M,,,,,,,,72.40M,39.60M,,,,,,29.00M,11.10M,17.90M,,,,17.90M,17.90M,44.80M,5.20M,39.60M,0.09,0.0,,,0.09,0.09,0.0875,0.0,,,0.0875,0.0875,198.89M,204.57M,
1998-09,2.876B,2.876B,2.731B,145.10M,83.90M,,,,,,,,91.10M,54.00M,,,,,,3.30M,4.50M,-1.20M,,,,-1.20M,-1.20M,61.20M,7.20M,54.00M,-0.0378,,,,-0.0378,-0.0378,-0.0378,0.0,,,-0.0378,-0.0378,190.71M,233.45M,
1998-06,2.129B,2.129B,2.029B,99.80M,59.00M,,,,,,,,63.10M,36.70M,,,,,,27.00M,10.50M,16.50M,,,,16.50M,16.50M,41.00M,4.30M,36.70M,0.0875,0.0,,,0.0875,0.0875,0.085,0.0,,,0.085,0.085,188.57M,194.12M,
