,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-03,5.386B,5.386B,3.932B,1.453B,993.40M,,,,,,1.072B,381.40M,,,,,,365.70M,144.00M,221.70M,,,3.70M,221.70M,221.70M,460.00M,78.60M,381.40M,0.28,0.0,,0.28,0.28,0.27,0.0,,0.27,0.27,785.60M,822.60M,0.0288
2000-12,5.489B,5.489B,4.060B,1.428B,982.90M,,,,,,1.059B,369.20M,,,,,,349.10M,139.60M,209.50M,,,3.30M,209.50M,209.50M,445.60M,76.40M,369.20M,0.265,0.0,,0.265,0.265,0.255,0.0,,0.255,0.255,784.18M,784.18M,0.0288
2000-09,4.916B,4.916B,3.619B,1.297B,937.70M,,,,,,1.013B,284.70M,,,,,,264.60M,105.90M,158.70M,,,3.80M,158.70M,158.70M,359.70M,75.00M,284.70M,0.2,0.0,,0.2,0.2,0.195,0.0,,0.195,0.195,782.00M,815.00M,0.0288
2000-06,4.943B,4.943B,3.607B,1.336B,928.50M,,,,,,1.002B,333.90M,,,,,,310.90M,124.40M,186.50M,,,3.70M,186.50M,186.50M,407.30M,73.40M,333.90M,0.235,0.0,,0.235,0.235,0.23,0.0,,0.23,0.23,780.60M,816.00M,0.0288
2000-03,4.740B,4.740B,3.440B,1.30B,893.30M,,,,,,965.10M,334.90M,,,,,,318.80M,127.50M,191.30M,,,3.80M,191.30M,191.30M,406.70M,71.80M,334.90M,0.24,0.0,,0.24,0.24,0.235,0.0,,0.235,0.235,782.20M,814.20M,0.0288
1999-12,5.184B,5.184B,3.823B,1.360B,956.90M,,,,,,1.028B,332.40M,,,,,,315.80M,129.50M,186.30M,,,3.90M,186.30M,186.30M,403.50M,71.10M,332.40M,0.235,0.0,,0.235,0.235,0.225,0.0,,0.225,0.225,783.80M,820.20M,0.0288
1999-09,4.312B,4.312B,3.171B,1.141B,851.30M,,,,,,921.40M,219.70M,,,,,,206.00M,84.40M,121.60M,,,3.60M,121.60M,121.60M,289.80M,70.10M,219.70M,0.15,0.0,,0.15,0.15,0.15,0.0,,0.15,0.15,783.60M,796.20M,0.0288
1999-06,4.362B,4.362B,3.172B,1.190B,831.50M,,,,,,900.20M,290.20M,,,,,,275.70M,113.10M,162.60M,,,3.60M,162.60M,162.60M,358.90M,68.70M,290.20M,0.205,0.0,,0.205,0.205,0.2,0.0,,0.2,0.2,782.20M,817.40M,0.0288
1999-03,4.240B,4.240B,3.071B,1.169B,808.20M,,,,,,876.20M,293.20M,,,,,,278.90M,114.30M,164.60M,,,3.60M,164.60M,164.60M,361.20M,68.00M,293.20M,0.205,0.0,,0.205,0.205,0.2,0.0,,0.2,0.2,781.00M,816.40M,0.0288
1998-12,4.191B,4.191B,3.085B,1.106B,775.50M,-20.30M,,,,,839.40M,267.10M,,,,-20.30M,,231.10M,97.20M,133.90M,,,3.80M,133.90M,146.08M,331.00M,63.90M,267.10M,0.17,0.0,,0.1858,0.17,0.17,0.0,,0.1839,0.17,770.35M,877.01M,0.0288
1998-09,3.725B,3.725B,2.730B,995.30M,742.90M,,,,,,803.60M,191.70M,,,,,,176.60M,74.20M,102.40M,,,3.40M,102.40M,102.40M,252.50M,60.80M,191.70M,0.125,0.0,,0.125,0.125,0.125,0.0,,0.125,0.125,792.00M,792.00M,0.0288
1998-06,3.756B,3.756B,2.735B,1.020B,726.40M,-156.10M,,,,,787.60M,232.90M,,,,-156.10M,,55.70M,39.50M,16.20M,,,3.40M,16.20M,109.86M,294.10M,61.20M,232.90M,0.015,0.0,,0.1248,0.015,0.015,0.0,,0.1248,0.015,853.33M,853.33M,0.0275
