,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-06,10.92B,10.92B,5.768B,5.152B,3.683B,24.00M,,,,3.683B,1.469B,,,,24.00M,,1.357B,402.00M,955.00M,,,31.00M,955.00M,938.11M,1.941B,472.00M,1.469B,,0.205,0.00,0.1964,0.205,,0.195,0.00,0.1890,0.195,,1.961B,2.799B,0.205,,,
2003-03,10.66B,10.66B,5.394B,5.262B,3.305B,37.00M,,,,3.305B,1.957B,,,,37.00M,,1.856B,583.00M,1.273B,,,31.00M,1.273B,1.248B,2.344B,387.00M,1.957B,,0.48,0.00,0.4709,0.48,,0.455,0.00,0.4459,0.455,,2.792B,2.792B,0.205,,,
2002-12,11.00B,11.00B,5.49B,5.515B,3.267B,74.00M,,,,3.267B,2.248B,,,,74.00M,,2.179B,685.00M,1.494B,,,31.00M,1.494B,1.443B,2.682B,434.00M,2.248B,,0.565,0.00,0.5454,0.565,,0.53,0.00,0.5119,0.53,,2.594B,2.805B,0.205,,,
2002-09,10.80B,10.80B,5.489B,5.307B,3.128B,103.00M,,,,3.128B,2.179B,,,,103.00M,,2.138B,674.00M,1.464B,,,32.00M,1.464B,1.393B,2.589B,410.00M,2.179B,,0.55,0.00,0.5229,0.55,,0.52,0.00,0.4949,0.52,,2.60B,2.815B,0.205,,,
2002-06,10.17B,10.17B,5.469B,4.70B,3.302B,46.00M,,,,3.302B,1.398B,,,,46.00M,,1.294B,384.00M,910.00M,,,30.00M,910.00M,877.65M,1.903B,505.00M,1.398B,,0.34,0.00,0.3235,0.34,,0.32,0.00,0.3085,0.32,,1.964B,2.824B,0.19,,,
2002-03,9.90B,9.90B,5.07B,4.83B,3.176B,40.00M,,,,3.176B,1.654B,,,,40.00M,,1.548B,509.00M,1.039B,,,31.00M,1.039B,1.012B,2.058B,404.00M,1.654B,,0.39,0.00,0.3804,0.39,,0.37,0.00,0.3604,0.37,,2.811B,2.811B,0.19,,,
2001-12,10.40B,10.40B,5.339B,5.064B,3.20B,200.00M,,,,3.20B,1.864B,,,,200.00M,,1.914B,615.00M,1.299B,,,31.00M,1.299B,1.163B,2.266B,402.00M,1.864B,,0.49,0.00,0.4416,0.49,,0.465,0.00,0.4166,0.465,,2.803B,2.803B,0.19,,,
2001-09,9.766B,9.766B,5.111B,4.655B,2.893B,22.00M,,,,2.893B,1.762B,,,,22.00M,,1.627B,523.00M,1.104B,,,32.00M,1.104B,1.089B,2.144B,382.00M,1.762B,,0.415,0.00,0.4092,0.415,,0.395,0.00,0.3897,0.395,,2.583B,2.802B,0.19,,,
2001-06,9.582B,9.582B,6.203B,3.379B,3.435B,50.00M,,,,3.435B,-56.00M,,,,50.00M,,-193.00M,127.00M,-320.00M,,,30.00M,-320.00M,-350.00M,782.00M,838.00M,-56.00M,,-0.135,0.00,-0.1466,-0.135,,-0.135,0.00,-0.1457,-0.135,,2.591B,2.795B,0.175,,,
2001-03,9.511B,9.511B,5.175B,4.336B,3.034B,227.00M,,,,3.034B,1.302B,,,,227.00M,,1.325B,432.00M,893.00M,,,30.00M,893.00M,740.01M,1.759B,457.00M,1.302B,,0.33,0.00,0.2711,0.33,,0.315,0.00,0.2606,0.315,,2.597B,2.810B,0.175,,,
2000-12,10.18B,10.18B,5.417B,4.765B,3.054B,294.00M,,,,3.054B,1.711B,,,,294.00M,,1.781B,587.00M,1.194B,,,30.00M,1.194B,996.90M,2.184B,473.00M,1.711B,,0.445,0.00,0.3752,0.445,,0.42,0.00,0.3502,0.42,,2.822B,2.822B,0.175,,,
2000-09,9.969B,9.969B,5.307B,4.662B,2.883B,103.00M,,,,2.883B,1.779B,,,,103.00M,,1.703B,548.00M,1.155B,,,31.00M,1.155B,1.085B,2.282B,503.00M,1.779B,,0.43,0.00,0.4033,0.43,,0.41,0.00,0.3852,0.41,,2.614B,2.822B,0.175,,,
2000-06,9.661B,9.661B,5.418B,4.243B,3.298B,157.00M,,,,3.298B,945.00M,,,,157.00M,,885.00M,369.00M,516.00M,,,28.00M,516.00M,421.80M,1.548B,603.00M,945.00M,,0.1868,,0.1508,0.1868,,0.1868,,0.1508,0.1868,,2.612B,2.612B,0.16,,,
2000-03,9.783B,9.783B,5.327B,4.456B,3.136B,51.00M,,,,3.136B,1.32B,,,,51.00M,,1.191B,438.00M,753.00M,,,28.00M,753.00M,720.76M,1.827B,507.00M,1.32B,,0.275,0.00,0.2627,0.275,,0.26,0.00,0.2487,0.26,,2.628B,2.853B,0.16,,,
1999-12,10.59B,10.59B,5.563B,5.025B,3.183B,51.00M,,,,3.183B,1.842B,,,,51.00M,,1.715B,589.00M,1.126B,,,29.00M,1.126B,1.093B,2.405B,563.00M,1.842B,,0.415,0.00,0.4023,0.415,,0.39,0.00,0.3781,0.39,,2.643B,2.813B,0.16,,,
1999-09,9.919B,9.919B,5.206B,4.713B,2.866B,45.00M,,,,2.866B,1.847B,,,,45.00M,,1.745B,598.00M,1.147B,,,30.00M,1.147B,1.117B,2.365B,518.00M,1.847B,,0.425,0.00,0.4138,0.425,,0.40,0.00,0.3897,0.40,,2.633B,2.870B,0.16,,,
1999-06,9.45B,9.45B,5.526B,3.924B,3.047B,72.00M,,,,3.047B,877.00M,,,,72.00M,,790.00M,376.00M,414.00M,,,27.00M,414.00M,370.80M,1.769B,892.00M,877.00M,,0.1466,,0.1303,0.1466,,0.1466,,0.1303,0.1466,,2.640B,2.640B,0.1425,,,
1999-03,9.231B,9.231B,4.944B,4.287B,2.622B,53.00M,,,,2.622B,1.665B,,,,53.00M,,1.55B,510.00M,1.04B,,,28.00M,1.04B,1.004B,2.08B,415.00M,1.665B,,0.38,0.00,0.3666,0.38,,0.36,0.00,0.3477,0.36,,2.659B,2.897B,0.1425,,,
1998-12,9.934B,9.934B,5.375B,4.559B,2.722B,60.00M,,,,2.722B,1.837B,,,,60.00M,,1.731B,589.00M,1.142B,,,29.00M,1.142B,1.102B,2.279B,442.00M,1.837B,,0.42,0.00,0.4051,0.42,,0.39,0.00,0.3764,0.39,,2.660B,2.903B,0.1425,,,
1998-09,9.51B,9.51B,5.182B,4.328B,2.454B,50.00M,,,,2.454B,1.874B,,,,50.00M,,1.767B,600.00M,1.167B,,,25.00M,1.167B,1.134B,2.273B,399.00M,1.874B,,0.43,0.00,0.4176,0.43,,0.40,0.00,0.3886,0.40,,2.665B,2.909B,0.1425,,,
1998-06,9.276B,9.276B,5.306B,3.97B,2.858B,54.00M,,,,2.858B,1.112B,,,,54.00M,,1.013B,326.00M,687.00M,,,26.00M,687.00M,650.38M,1.537B,425.00M,1.112B,,0.13,0.00,0.1201,0.13,,0.13,0.00,0.1201,0.13,,3.694B,3.694B,0.1263,,,
1998-03,8.881B,8.881B,5.228B,3.653B,2.137B,50.00M,,,,2.137B,1.516B,,,,50.00M,,1.432B,471.00M,961.00M,,,26.00M,961.00M,927.45M,1.915B,399.00M,1.516B,,0.345,0.00,0.3325,0.345,,0.325,0.00,0.3136,0.325,,2.690B,2.935B,0.1263,,,
1997-12,9.641B,9.641B,5.322B,4.319B,2.631B,47.00M,,,,2.631B,1.688B,,,,47.00M,,1.594B,548.00M,1.046B,,,26.00M,1.046B,1.015B,2.074B,386.00M,1.688B,,0.38,0.00,0.3685,0.38,,0.355,0.00,0.3445,0.355,,2.692B,2.941B,0.1263,,,
1997-09,9.355B,9.355B,5.208B,4.147B,2.408B,51.00M,,,,2.408B,1.739B,,,,51.00M,,1.669B,582.00M,1.087B,,,26.00M,1.087B,1.054B,2.127B,388.00M,1.739B,,0.395,0.00,0.3827,0.395,,0.365,0.00,0.3537,0.365,,2.697B,2.948B,0.1263,,,
1997-06,8.948B,8.948B,5.522B,3.426B,2.389B,64.00M,,,,2.389B,1.037B,,,,64.00M,,996.00M,385.00M,611.00M,,,26.00M,611.00M,571.74M,1.512B,475.00M,1.037B,,0.18,0.00,0.1671,0.18,,0.165,0.00,0.1524,0.165,,3.048B,3.124B,0.1125,,,
1997-03,8.771B,8.771B,4.918B,3.853B,2.47B,53.00M,,,,2.47B,1.383B,,,,53.00M,,1.33B,449.00M,881.00M,,,26.00M,881.00M,845.89M,1.728B,345.00M,1.383B,,0.315,0.00,0.3021,0.315,,0.295,0.00,0.2832,0.295,,2.726B,2.972B,0.1125,,,
1996-12,9.142B,9.142B,5.095B,4.047B,2.526B,45.00M,,,,2.526B,1.521B,,,,45.00M,,1.432B,488.00M,944.00M,,,26.00M,944.00M,914.34M,1.859B,338.00M,1.521B,,0.335,0.00,0.3241,0.335,,0.315,0.00,0.3050,0.315,,2.729B,2.977B,0.1125,,,
1996-09,8.903B,8.903B,5.002B,3.901B,2.354B,56.00M,,,,2.354B,1.547B,,,,56.00M,,1.491B,512.00M,979.00M,,,26.00M,979.00M,942.23M,1.876B,329.00M,1.547B,,0.35,0.00,0.3366,0.35,,0.325,0.00,0.3127,0.325,,2.735B,2.981B,0.1125,,,
1996-06,8.58B,8.58B,5.26B,3.32B,2.485B,149.00M,,,,2.485B,835.00M,,,,149.00M,,867.00M,313.00M,554.00M,,,25.00M,554.00M,458.79M,1.218B,383.00M,835.00M,,0.17,0.00,0.1380,0.17,,0.155,0.00,0.1237,0.155,,2.973B,3.046B,0.10,,,
1996-03,8.587B,8.587B,5.026B,3.561B,2.368B,75.00M,,,,2.368B,1.193B,,,,75.00M,,1.147B,387.00M,760.00M,,,26.00M,760.00M,710.31M,1.517B,324.00M,1.193B,,0.27,0.00,0.2519,0.27,,0.255,0.00,0.2384,0.255,,2.746B,2.989B,0.10,,,
1995-12,9.09B,9.09B,5.265B,3.825B,2.473B,52.00M,,,,2.473B,1.352B,,,,52.00M,,1.281B,445.00M,836.00M,,,26.00M,836.00M,802.06M,1.68B,328.00M,1.352B,,0.295,0.00,0.2826,0.295,,0.28,0.00,0.2687,0.28,,2.746B,2.992B,0.10,,,
1995-09,9.027B,9.027B,5.211B,3.816B,2.381B,62.00M,,,,2.381B,1.435B,,,,62.00M,,1.374B,478.00M,896.00M,,,26.00M,896.00M,855.57M,1.758B,323.00M,1.435B,,0.32,0.00,0.3053,0.32,,0.295,0.00,0.2815,0.295,,2.746B,2.992B,0.10,,,
1995-06,8.542B,8.542B,5.254B,3.288B,2.545B,44.00M,,,,2.545B,743.00M,,,,44.00M,,667.00M,195.00M,472.00M,,,25.00M,472.00M,440.86M,1.082B,339.00M,743.00M,,0.16,0.00,0.1487,0.16,,0.155,0.00,0.1445,0.155,,2.748B,2.957B,0.0875,,,
1995-03,8.312B,8.312B,4.879B,3.433B,2.376B,5.00M,,,,2.376B,1.057B,,,,5.00M,,938.00M,307.00M,631.00M,,,26.00M,631.00M,627.64M,1.368B,311.00M,1.057B,,0.22,0.00,0.2188,0.22,,0.205,0.00,0.2039,0.205,,2.743B,3.00B,0.0875,,,
1994-12,8.467B,8.467B,4.832B,3.635B,2.445B,94.00M,,,,2.445B,1.19B,,,,94.00M,,1.159B,409.00M,750.00M,,,26.00M,750.00M,689.17M,1.489B,299.00M,1.19B,,0.265,0.00,0.2428,0.265,,0.25,0.00,0.2296,0.25,,2.741B,2.982B,0.0875,,,
1994-09,8.161B,8.161B,4.596B,3.565B,2.311B,101.00M,,,,2.311B,1.254B,,,,101.00M,,1.236B,444.00M,792.00M,,,26.00M,792.00M,727.28M,1.558B,304.00M,1.254B,,0.28,0.00,0.2564,0.28,,0.265,0.00,0.2433,0.265,,2.739B,2.978B,0.0875,,,
1994-06,7.503B,7.503B,4.233B,3.27B,2.429B,127.00M,,,,2.721B,549.00M,,,,127.00M,,561.00M,155.00M,406.00M,,,26.00M,406.00M,314.09M,841.00M,292.00M,549.00M,,0.135,0.00,0.1020,0.135,,0.09,0.00,0.0635,0.09,,2.787B,3.467B,0.0775,,,
1994-03,7.441B,7.441B,3.787B,3.654B,2.31B,-78.00M,,,,2.731B,923.00M,,,,-78.00M,,726.00M,244.00M,482.00M,,,26.00M,482.00M,533.79M,1.344B,285.00M,923.00M,,0.165,0.00,0.1837,0.165,,0.165,0.00,0.1837,0.165,,2.764B,2.764B,0.0775,,,
1993-12,7.788B,7.788B,4.116B,3.672B,2.371B,105.00M,,,,2.650B,1.023B,,,,105.00M,,1.005B,352.00M,653.00M,,,25.00M,653.00M,584.78M,1.303B,280.00M,1.023B,,0.23,0.00,0.2050,0.23,,0.215,0.00,0.1916,0.215,,2.730B,2.921B,0.0775,,,
1993-09,7.564B,7.564B,3.951B,3.613B,2.251B,94.00M,,,,2.528B,1.085B,,,,94.00M,,1.054B,384.00M,670.00M,,,25.00M,670.00M,610.25M,1.362B,277.00M,1.085B,,0.24,0.00,0.2178,0.24,,0.225,0.00,0.2042,0.225,,2.688B,2.867B,0.0775,,,
1993-06,7.365B,7.365B,3.783B,3.582B,5.185B,158.00M,,,,5.506B,-1.924B,,,,158.00M,,-1.976B,-708.00M,-1.268B,,,29.00M,-2.193B,-1.369B,-1.603B,321.00M,-1.924B,,-0.475,-0.34,-0.5101,-0.815,,-0.475,-0.34,-0.5101,-0.815,,2.892B,2.892B,0.0688,,,
1993-03,7.35B,7.35B,4.079B,3.271B,2.238B,110.00M,,,,2.511B,760.00M,,,,110.00M,,760.00M,244.00M,516.00M,,,24.00M,516.00M,441.32M,1.033B,257.00M,760.00M,,0.18,0.00,0.1527,0.18,,0.17,0.00,0.1442,0.17,,2.733B,2.894B,0.0688,,,
1992-12,7.839B,7.839B,4.214B,3.625B,2.435B,99.00M,,,,2.718B,907.00M,,,,99.00M,,895.00M,305.00M,590.00M,,,24.00M,590.00M,524.74M,1.19B,283.00M,907.00M,,0.21,0.00,0.1858,0.21,,0.195,0.00,0.1725,0.195,,2.695B,2.903B,0.0688,,,
1992-09,7.879B,7.879B,4.451B,3.428B,2.436B,78.00M,,,,2.715B,713.00M,,,,78.00M,,670.00M,239.00M,431.00M,,,24.00M,431.00M,380.82M,992.00M,279.00M,713.00M,,0.15,0.00,0.1315,0.15,,0.14,0.00,0.1227,0.14,,2.713B,2.907B,0.0688,,,
1992-06,7.167B,7.167B,4.142B,3.025B,2.338B,202.00M,,,,2.611B,414.00M,,,,202.00M,,497.00M,158.00M,339.00M,,,22.00M,339.00M,201.22M,687.00M,273.00M,414.00M,,0.115,0.00,0.0647,0.115,,0.11,0.00,0.0622,0.11,,2.741B,2.885B,0.0688,,,
1992-03,7.483B,7.483B,4.114B,3.369B,2.414B,172.00M,,,,2.682B,687.00M,,,,172.00M,,725.00M,251.00M,474.00M,,,24.00M,474.00M,361.55M,955.00M,268.00M,687.00M,,0.17,0.00,0.1275,0.17,,0.155,0.00,0.1163,0.155,,2.647B,2.903B,0.0625,,,
1991-12,7.507B,7.507B,4.107B,3.40B,2.271B,90.00M,,,,2.532B,868.00M,,,,90.00M,,821.00M,298.00M,523.00M,,,25.00M,523.00M,465.67M,1.129B,261.00M,868.00M,,0.185,0.00,0.1637,0.185,,0.175,0.00,0.1549,0.175,,2.692B,2.846B,0.0625,,,
1991-09,7.205B,7.205B,3.91B,3.295B,2.148B,64.00M,,,,2.397B,898.00M,,,,64.00M,,842.00M,306.00M,536.00M,,,23.00M,536.00M,495.26M,1.147B,249.00M,898.00M,,0.19,0.00,0.1749,0.19,,0.18,0.00,0.1657,0.18,,2.70B,2.85B,0.0625,,,
1991-06,6.722B,6.722B,3.99B,2.732B,2.089B,125.00M,,,,2.321B,411.00M,,,,125.00M,,441.00M,137.00M,304.00M,,,25.00M,304.00M,217.83M,643.00M,232.00M,411.00M,,0.10,0.00,0.0690,0.10,,0.095,0.00,0.0656,0.095,,2.776B,2.931B,0.0625,,,
1991-03,6.795B,6.795B,3.80B,2.995B,2.16B,113.00M,,,,2.401B,594.00M,,,,113.00M,,624.00M,200.00M,424.00M,,,25.00M,424.00M,347.22M,835.00M,241.00M,594.00M,,0.145,0.00,0.1171,0.145,,0.14,0.00,0.1131,0.14,,2.752B,2.85B,0.0625,,,
1990-12,6.857B,6.857B,3.78B,3.077B,2.031B,72.00M,,,,2.278B,799.00M,,,,72.00M,,759.00M,269.00M,490.00M,,,16.00M,490.00M,443.52M,1.046B,247.00M,799.00M,,0.17,0.00,0.1533,0.17,,0.16,0.00,0.1443,0.16,,2.788B,2.962B,0.0625,,,
1990-09,6.652B,6.652B,3.555B,3.097B,1.963B,70.00M,,,,2.199B,898.00M,,,,70.00M,,863.00M,308.00M,555.00M,,,12.00M,555.00M,509.98M,1.134B,236.00M,898.00M,,0.20,0.00,0.1834,0.20,,0.19,0.00,0.1742,0.19,,2.715B,2.858B,0.0563,,,
1990-06,6.216B,6.216B,3.595B,2.621B,1.926B,80.00M,,,,2.155B,466.00M,,,,80.00M,,409.00M,125.00M,284.00M,,,12.00M,284.00M,228.45M,695.00M,229.00M,466.00M,,0.10,0.00,0.0797,0.10,,0.095,0.00,0.0757,0.095,,2.731B,2.878B,0.0563,,,
1990-03,6.123B,6.123B,3.456B,2.667B,1.859B,85.00M,,,,2.069B,598.00M,,,,85.00M,,595.00M,191.00M,404.00M,,,12.00M,404.00M,346.29M,808.00M,210.00M,598.00M,,0.145,0.00,0.1237,0.145,,0.135,0.00,0.1151,0.135,,2.703B,2.904B,0.0563,,,
1989-12,6.025B,6.025B,3.598B,2.427B,1.759B,214.00M,,,,1.973B,454.00M,,,,214.00M,,543.00M,193.00M,350.00M,,,11.00M,350.00M,212.06M,668.00M,214.00M,454.00M,,0.125,0.00,0.0741,0.125,,0.12,0.00,0.0712,0.12,,2.712B,2.825B,0.0563,,,
1989-09,5.575B,5.575B,,,,,,,,,5.575B,,,,,,,,551.00M,,,,551.00M,,5.575B,,5.575B,,0.21,0.00,0.21,0.21,,0.20,0.00,0.20,0.20,,2.640B,2.640B,0.05,,,
1989-06,5.433B,5.433B,,,,,,,,,-13.93B,,,,,,,,171.00M,,,,171.00M,,-13.93B,,-13.93B,,,,,,,,,,,,2.592B,2.592B,0.05,,,
1989-03,5.43B,5.43B,,,,,,,,,5.43B,,,,,,,,310.00M,,,,310.00M,,5.43B,,5.43B,,0.12,0.00,0.12,0.12,,0.12,0.00,0.12,0.12,,2.701B,2.701B,0.05,,,
1988-12,5.268B,5.268B,,,,,,,,,5.268B,,,,,,,,325.00M,,,,325.00M,,5.268B,,5.268B,,0.12,0.00,0.12,0.12,,0.12,0.00,0.12,0.12,,2.710B,2.710B,0.0438,,,
1988-09,5.267B,5.267B,,,,,,,,,5.267B,,,,,,,,400.00M,,,,400.00M,,5.267B,,5.267B,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,2.710B,2.710B,0.0438,,,
1988-06,4.973B,4.973B,,,,,,,,,-12.57B,,,,,,,,140.00M,,,,140.00M,,-12.57B,,-12.57B,,,,,,,,,,,,2.710B,2.710B,0.0438,,,
1988-03,4.86B,4.86B,,,,,,,,,4.86B,,,,,,,,263.00M,,,,263.00M,,4.86B,,4.86B,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,2.710B,2.710B,0.0438,,,
1987-12,4.839B,4.839B,,,,,,,,,4.839B,,,,,,,,261.00M,,,,261.00M,,4.839B,,4.839B,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,2.707B,2.707B,0.0422,,,
1987-09,4.664B,4.664B,,,,,,,,,4.664B,,,,,,,,356.00M,,,,356.00M,,4.664B,,4.664B,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,2.704B,2.704B,0.0422,,,
1987-06,4.167B,4.167B,,,,,,,,,-12.03B,,,,,,,,-324.00M,,,,-324.00M,,-12.03B,,-12.03B,,,,,,,,,,,,2.704B,2.704B,0.0422,,,
1987-03,4.222B,4.222B,,,,,,,,,4.222B,,,,,,,,188.00M,,,,188.00M,,4.222B,,4.222B,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,2.692B,2.692B,0.0422,,,
1986-12,4.255B,4.255B,,,,,,,,,4.255B,,,,,,,,190.00M,,,,190.00M,,4.255B,,4.255B,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,2.692B,2.692B,0.0422,,,
1986-09,4.356B,4.356B,,,,,,,,,4.356B,,,,,,,,273.00M,,,,273.00M,,4.356B,,4.356B,,0.105,0.00,0.105,0.105,,0.105,0.00,0.105,0.105,,2.692B,2.692B,0.0422,,,
1986-06,3.888B,3.888B,,,,,,,,,-10.25B,,,,,,,,127.00M,,,,127.00M,,-10.25B,,-10.25B,,,,,,,,,,,,2.692B,2.692B,0.0422,,,
1986-03,4.081B,4.081B,,,,,,,,,4.081B,,,,,,,,167.00M,,,,167.00M,,4.081B,,4.081B,,0.065,0.00,0.065,0.065,,0.065,0.00,0.065,0.065,,2.681B,2.681B,0.0407,,,
1985-12,3.865B,3.865B,,,,,,,,,3.865B,,,,,,,,165.00M,,,,165.00M,,3.865B,,3.865B,,0.065,0.00,0.065,0.065,,0.065,0.00,0.065,0.065,,2.681B,2.681B,,,,
1985-09,3.605B,3.605B,,,,,,,,,3.605B,,,,,,,,250.00M,,,,250.00M,,3.605B,,3.605B,,0.095,0.00,0.095,0.095,,0.095,0.00,0.095,0.095,,2.679B,2.679B,,,,
1985-06,3.342B,3.342B,,,,,,,,,-9.234B,,,,,,,,115.00M,,,,115.00M,,-9.234B,,-9.234B,,,,,,,,,,,,2.679B,2.679B,,,,
1985-03,3.35B,3.35B,,,,,,,,,3.35B,,,,,,,,160.00M,,,,160.00M,,3.35B,,3.35B,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,2.676B,2.676B,,,,
1984-12,3.375B,3.375B,,,,,,,,,3.375B,,,,,,,,137.00M,,,,137.00M,,3.375B,,3.375B,,0.055,0.00,0.055,0.055,,0.055,0.00,0.055,0.055,,2.674B,2.674B,,,,
1984-09,3.485B,3.485B,,,,,,,,,3.485B,,,,,,,,223.00M,,,,223.00M,,3.485B,,3.485B,,0.085,0.00,0.085,0.085,,0.085,0.00,0.085,0.085,,2.672B,2.672B,,,,
1984-06,3.251B,3.251B,,,,,,,,,-8.308B,,,,,,,,183.00M,,,,183.00M,,-8.308B,,-8.308B,,,,,,,,,,,,2.672B,2.672B,,,,
1984-03,3.283B,3.283B,,,,,,,,,3.283B,,,,,,,,220.00M,,,,220.00M,,3.283B,,3.283B,,0.085,0.00,0.085,0.085,,0.085,0.00,0.085,0.085,,2.664B,2.664B,,,,
