,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-03,1.614B,,152.00M,475.00M,475.00M,100.00M,,,-34.00M,190.00M,-196.00M,375.00M,,-50.00M,319.00M,2.626B,,-475.00M,1.00M,-474.00M,-177.00M,55.00M,,-596.00M,,,,1.256B,189.00M,-1.947B,-1.758B,-663.00M,,-1.165B,,6.401B,865.00M,-194.00M,7.072B,,189.00M,,,-1.947B,,,
2004-12,1.975B,,96.00M,448.00M,448.00M,200.00M,,,204.00M,-10.00M,-256.00M,-547.00M,,-59.00M,-872.00M,2.051B,,-498.00M,1.00M,-497.00M,-16.00M,105.00M,,-408.00M,,,,1.089B,112.00M,-1.011B,-899.00M,-650.00M,,-460.00M,,4.84B,1.183B,378.00M,6.401B,,112.00M,,,-1.011B,,,
2004-09,1.942B,,122.00M,480.00M,480.00M,145.00M,,,-19.00M,-377.00M,-326.00M,57.00M,,-112.00M,-758.00M,1.912B,,-413.00M,366.00M,-47.00M,-335.00M,-216.00M,,-598.00M,,,,437.00M,105.00M,-622.00M,-517.00M,-685.00M,,-765.00M,,4.232B,549.00M,59.00M,4.84B,,105.00M,,,-622.00M,,,
2004-06,1.049B,,,454.00M,454.00M,-16.00M,,,491.00M,-9.00M,175.00M,384.00M,-23.00M,-89.00M,438.00M,2.416B,,-693.00M,74.00M,-619.00M,-2.078B,-73.00M,,-2.77B,,,,2.759B,125.00M,-1.743B,-1.618B,-674.00M,,467.00M,,4.174B,113.00M,-55.00M,4.232B,,125.00M,,,-1.743B,,,
2004-03,1.528B,,,422.00M,422.00M,125.00M,,,-145.00M,302.00M,-45.00M,396.00M,23.00M,372.00M,1.048B,2.978B,,-521.00M,32.00M,-489.00M,-40.00M,-732.00M,,-1.261B,,,,-276.00M,204.00M,-1.281B,-1.077B,-620.00M,,-1.973B,,4.943B,-256.00M,-29.00M,4.174B,,204.00M,,,-1.281B,,,
2003-12,1.818B,,,450.00M,450.00M,125.00M,,,213.00M,-157.00M,100.00M,-107.00M,,-87.00M,-251.00M,2.355B,,-446.00M,36.00M,-410.00M,-323.00M,-80.00M,,-813.00M,,,,436.00M,144.00M,-772.00M,-628.00M,-622.00M,,-814.00M,,4.049B,728.00M,166.00M,4.943B,,144.00M,,,-772.00M,,,
2003-09,1.761B,,,407.00M,407.00M,108.00M,,,-68.00M,-295.00M,-174.00M,-76.00M,,-57.00M,-602.00M,1.606B,,-364.00M,88.00M,-276.00M,-5.035B,11.00M,,-5.30B,,,,2.767B,89.00M,-274.00M,-185.00M,-623.00M,,1.959B,,5.912B,-1.735B,-128.00M,4.049B,,89.00M,,,-274.00M,,,
2003-06,955.00M,,,472.00M,472.00M,-214.00M,,,-15.00M,-20.00M,165.00M,513.00M,,105.00M,763.00M,1.961B,,-515.00M,21.00M,-494.00M,-10.00M,130.00M,,-374.00M,,,,-974.00M,99.00M,-1.00M,98.00M,-556.00M,,-1.432B,,5.513B,155.00M,388.00M,5.428B,,99.00M,,,-1.00M,,,
2003-03,1.273B,,,387.00M,387.00M,111.00M,,,202.00M,300.00M,-132.00M,350.00M,,-78.00M,440.00M,2.413B,,-351.00M,5.00M,-346.00M,-51.00M,-85.00M,,-482.00M,,,,-857.00M,112.00M,-210.00M,-98.00M,-561.00M,,-1.516B,,5.106B,415.00M,-8.00M,5.513B,,112.00M,,,-210.00M,,,
2002-12,1.494B,,,434.00M,434.00M,24.00M,,,247.00M,-73.00M,16.00M,88.00M,,86.00M,117.00M,2.316B,,-335.00M,55.00M,-280.00M,,-32.00M,,-312.00M,,,,-411.00M,27.00M,-675.00M,-648.00M,-564.00M,,-1.623B,,4.703B,381.00M,22.00M,5.106B,,27.00M,,,-675.00M,,,
2002-09,1.464B,,,410.00M,410.00M,142.00M,,,93.00M,-44.00M,-105.00M,-15.00M,,65.00M,-99.00M,2.01B,,-281.00M,62.00M,-219.00M,,24.00M,,-195.00M,,,,360.00M,31.00M,-350.00M,-319.00M,-565.00M,,-524.00M,,3.427B,1.291B,-15.00M,4.703B,,31.00M,,,-350.00M,,,
2002-06,910.00M,,,505.00M,505.00M,140.00M,,,401.00M,86.00M,385.00M,-377.00M,,261.00M,355.00M,2.311B,,-455.00M,42.00M,-413.00M,-66.00M,255.00M,,-224.00M,,,,-1.139B,46.00M,-129.00M,-83.00M,-524.00M,,-1.746B,,3.061B,341.00M,25.00M,3.427B,,46.00M,,,-129.00M,,,
2002-03,1.039B,,,404.00M,404.00M,134.00M,,,-11.00M,407.00M,-87.00M,185.00M,,183.00M,688.00M,2.254B,,-556.00M,34.00M,-522.00M,-344.00M,-263.00M,,-1.129B,,,,-732.00M,92.00M,-87.00M,5.00M,-524.00M,,-1.251B,,3.193B,-126.00M,-6.00M,3.061B,,92.00M,,,-87.00M,,,
2001-12,1.299B,,,402.00M,402.00M,37.00M,,,-130.00M,-301.00M,134.00M,607.00M,,-200.00M,240.00M,1.848B,,-316.00M,142.00M,-174.00M,-4.987B,41.00M,,-5.12B,,,,4.226B,63.00M,-184.00M,-121.00M,-522.00M,,3.583B,,2.893B,311.00M,-11.00M,3.193B,,63.00M,,,-184.00M,,,
2001-09,1.104B,,,382.00M,382.00M,78.00M,,,207.00M,-96.00M,-273.00M,269.00M,,-342.00M,-442.00M,1.329B,,-352.00M,9.00M,-343.00M,-74.00M,55.00M,,-362.00M,,,,268.00M,36.00M,-168.00M,-132.00M,-525.00M,,-389.00M,,2.306B,578.00M,9.00M,2.893B,,36.00M,,,-168.00M,,,
2001-06,-320.00M,,,838.00M,838.00M,-184.00M,,,297.00M,44.00M,130.00M,899.00M,,299.00M,1.372B,2.003B,,-565.00M,49.00M,-516.00M,-19.00M,-134.00M,,-669.00M,,,,-1.171B,9.00M,-48.00M,-39.00M,-484.00M,,-1.694B,,2.681B,-360.00M,-15.00M,2.306B,,9.00M,,,-48.00M,,,
2001-03,893.00M,,,457.00M,457.00M,61.00M,,,-254.00M,605.00M,-99.00M,-25.00M,,-102.00M,379.00M,1.536B,,-670.00M,266.00M,-404.00M,-88.00M,130.00M,,-362.00M,,,,-907.00M,71.00M,-553.00M,-482.00M,-485.00M,,-1.874B,,3.407B,-700.00M,-26.00M,2.681B,,71.00M,,,-553.00M,,,
2000-12,1.194B,,,473.00M,473.00M,-32.00M,,,122.00M,-250.00M,84.00M,-307.00M,,-100.00M,-573.00M,1.184B,,-624.00M,427.00M,-197.00M,-3.00M,-27.00M,,-227.00M,,,,1.33B,52.00M,-454.00M,-402.00M,-486.00M,,442.00M,,2.001B,1.399B,7.00M,3.407B,,52.00M,,,-454.00M,,,
2000-09,1.155B,,,503.00M,503.00M,53.00M,,,-121.00M,-521.00M,-182.00M,234.00M,,-40.00M,-509.00M,1.081B,,-627.00M,46.00M,-581.00M,-28.00M,24.00M,,-585.00M,,,,786.00M,9.00M,-195.00M,-186.00M,-488.00M,,112.00M,,1.415B,608.00M,-22.00M,2.001B,,9.00M,,,-195.00M,,,
2000-06,516.00M,,,603.00M,603.00M,20.00M,,,-148.00M,42.00M,264.00M,301.00M,,165.00M,772.00M,1.763B,,-932.00M,172.00M,-760.00M,-25.00M,-38.00M,,-823.00M,,,,-1.096B,162.00M,-100.00M,62.00M,-446.00M,,-1.48B,,1.964B,-540.00M,-9.00M,1.415B,,162.00M,,,-100.00M,,,
2000-03,753.00M,,,507.00M,507.00M,125.00M,,,-93.00M,570.00M,-80.00M,-339.00M,,-36.00M,115.00M,1.407B,,-634.00M,138.00M,-496.00M,140.00M,5.00M,,-351.00M,,,,45.00M,65.00M,-790.00M,-725.00M,-450.00M,,-1.13B,,2.044B,-74.00M,-6.00M,1.964B,,65.00M,,,-790.00M,,,
1999-12,1.126B,,,563.00M,563.00M,127.00M,,,120.00M,-292.00M,-66.00M,-1.237B,,-183.00M,-1.778B,158.00M,,-768.00M,11.00M,-757.00M,-285.00M,85.00M,,-957.00M,,,,1.374B,64.00M,-275.00M,-211.00M,-448.00M,,715.00M,,2.123B,-84.00M,5.00M,2.044B,,64.00M,,,-275.00M,,,
1999-09,1.147B,,,518.00M,518.00M,191.00M,,,-1.00M,-256.00M,-294.00M,392.00M,,-350.00M,-508.00M,1.347B,,-684.00M,98.00M,-586.00M,-2.797B,169.00M,,-3.214B,,,,2.707B,45.00M,-601.00M,-556.00M,-452.00M,,1.699B,,2.294B,-168.00M,-3.00M,2.123B,,45.00M,,,-601.00M,,,
1999-06,414.00M,,,892.00M,892.00M,-232.00M,,,347.00M,-171.00M,62.00M,696.00M,,-91.00M,496.00M,1.917B,,-894.00M,74.00M,-820.00M,-20.00M,305.00M,,-535.00M,,,,-15.00M,30.00M,-947.00M,-917.00M,-384.00M,,-1.316B,,2.255B,66.00M,-27.00M,2.294B,,30.00M,,,-947.00M,,,
1999-03,1.04B,,,415.00M,415.00M,114.00M,,,52.00M,405.00M,-89.00M,-111.00M,,-184.00M,21.00M,1.642B,,-804.00M,-76.00M,-880.00M,-10.00M,-122.00M,,-1.012B,,,,147.00M,97.00M,-294.00M,-197.00M,-428.00M,,-478.00M,,2.094B,152.00M,9.00M,2.255B,,97.00M,,,-294.00M,,,
1998-12,1.142B,,,442.00M,442.00M,-23.00M,,,-274.00M,-301.00M,120.00M,69.00M,,-381.00M,-493.00M,794.00M,,-690.00M,299.00M,-391.00M,-107.00M,103.00M,,-395.00M,,,,-292.00M,57.00M,-214.00M,-157.00M,-408.00M,,-857.00M,,2.54B,-458.00M,12.00M,2.094B,,57.00M,,,-214.00M,,,
1998-09,1.167B,,,399.00M,399.00M,81.00M,,,5.00M,-140.00M,-189.00M,138.00M,,-270.00M,-461.00M,1.191B,,-440.00M,137.00M,-303.00M,,70.00M,,-233.00M,,,,1.501B,28.00M,-1.078B,-1.05B,-406.00M,,45.00M,,1.549B,1.003B,-12.00M,2.54B,,28.00M,,,-1.078B,,,
1998-06,687.00M,,,425.00M,425.00M,-1.00M,,,186.00M,-21.00M,196.00M,47.00M,,66.00M,288.00M,1.585B,,-897.00M,54.00M,-843.00M,-64.00M,-48.00M,,-955.00M,,,,325.00M,34.00M,-517.00M,-483.00M,-365.00M,,-523.00M,,1.464B,107.00M,-22.00M,1.549B,,34.00M,,,-517.00M,,,
1998-03,960.00M,,,399.00M,399.00M,-151.00M,,,-292.00M,278.00M,-213.00M,345.00M,,139.00M,549.00M,1.465B,,-591.00M,360.00M,-231.00M,-826.00M,368.00M,,-689.00M,,,,131.00M,70.00M,-452.00M,-382.00M,-365.00M,,-616.00M,,1.305B,160.00M,-1.00M,1.464B,,70.00M,,,-452.00M,,,
1997-12,1.046B,,,386.00M,386.00M,52.00M,,,-34.00M,-117.00M,34.00M,-574.00M,,-130.00M,-787.00M,663.00M,,-528.00M,13.00M,-515.00M,-423.00M,-420.00M,,-1.358B,,,,716.00M,33.00M,-403.00M,-370.00M,-365.00M,,-19.00M,,2.059B,-714.00M,-40.00M,1.305B,,33.00M,,,-403.00M,,,
1997-09,1.087B,,,388.00M,388.00M,-1.00M,,,3.00M,-98.00M,-246.00M,179.00M,,-140.00M,-305.00M,1.172B,,-543.00M,128.00M,-415.00M,-1.956B,163.00M,,-2.208B,,,,1.681B,21.00M,-557.00M,-536.00M,-367.00M,,778.00M,,2.35B,-258.00M,-33.00M,2.059B,,21.00M,,,-557.00M,,,
1997-06,611.00M,,,475.00M,475.00M,-7.00M,,,-78.00M,-21.00M,-11.00M,568.00M,,336.00M,872.00M,1.873B,,-807.00M,236.00M,-571.00M,-29.00M,-216.00M,,-816.00M,,,,-246.00M,31.00M,-594.00M,-563.00M,-331.00M,,-1.14B,,2.421B,-83.00M,12.00M,2.35B,,31.00M,,,-594.00M,,,
1997-03,881.00M,,,345.00M,345.00M,70.00M,,,73.00M,112.00M,42.00M,-229.00M,,93.00M,18.00M,1.387B,,-475.00M,16.00M,-459.00M,0.00,-11.00M,,-470.00M,,,,-95.00M,53.00M,-282.00M,-229.00M,-331.00M,,-655.00M,,2.189B,262.00M,-30.00M,2.421B,,53.00M,,,-282.00M,,,
1996-12,944.00M,,,338.00M,338.00M,20.00M,,,-15.00M,-75.00M,9.00M,788.00M,,-830.00M,-108.00M,1.179B,,-447.00M,29.00M,-418.00M,-111.00M,-87.00M,,-616.00M,,,,-305.00M,29.00M,-352.00M,-323.00M,-333.00M,,-961.00M,,2.595B,-398.00M,-8.00M,2.189B,,29.00M,,,-352.00M,,,
1996-09,979.00M,,,329.00M,329.00M,-109.00M,,,25.00M,-8.00M,-111.00M,-566.00M,,904.00M,219.00M,1.443B,,-400.00M,239.00M,-161.00M,-10.00M,5.00M,,-166.00M,,,,-14.00M,21.00M,-424.00M,-403.00M,-334.00M,,-751.00M,,2.074B,526.00M,-5.00M,2.595B,,21.00M,,,-424.00M,,,
1996-06,554.00M,,,383.00M,383.00M,141.00M,,,,47.00M,311.00M,-206.00M,133.00M,50.00M,335.00M,1.702B,,-704.00M,76.00M,-628.00M,-214.00M,-35.00M,,-877.00M,,,,-355.00M,15.00M,-122.00M,-107.00M,-300.00M,,-762.00M,,2.022B,63.00M,-11.00M,2.074B,,15.00M,,,-122.00M,,,
1996-03,760.00M,,,324.00M,324.00M,23.00M,,,,422.00M,81.00M,-193.00M,42.00M,-128.00M,224.00M,1.331B,,-483.00M,87.00M,-396.00M,3.00M,4.00M,,-389.00M,,,,-176.00M,42.00M,-135.00M,-93.00M,-301.00M,,-570.00M,,1.668B,372.00M,-18.00M,2.022B,,42.00M,,,-135.00M,,,
1995-12,836.00M,,,328.00M,328.00M,75.00M,,,,-4.00M,-6.00M,-499.00M,-103.00M,161.00M,-451.00M,788.00M,,-557.00M,171.00M,-386.00M,-76.00M,-48.00M,,-510.00M,,,,218.00M,17.00M,-110.00M,-93.00M,-300.00M,,-175.00M,,1.589B,103.00M,-24.00M,1.668B,,17.00M,,,-110.00M,,,
1995-09,896.00M,,,323.00M,323.00M,89.00M,,,,-448.00M,-184.00M,-50.00M,-72.00M,-217.00M,-971.00M,337.00M,,-435.00M,68.00M,-367.00M,-71.00M,-252.00M,,-690.00M,,,,275.00M,15.00M,-65.00M,-50.00M,-301.00M,,-76.00M,,2.028B,-429.00M,-10.00M,1.589B,,15.00M,,,-65.00M,,,
1995-06,472.00M,,,339.00M,339.00M,-11.00M,,,,15.00M,-89.00M,-170.00M,436.00M,-9.00M,183.00M,1.048B,,-821.00M,18.00M,-803.00M,8.00M,-78.00M,,-873.00M,,,,-80.00M,14.00M,-99.00M,-85.00M,-265.00M,,-430.00M,,2.258B,-255.00M,25.00M,2.028B,,14.00M,,,-99.00M,,,
1995-03,631.00M,,,311.00M,311.00M,37.00M,,,,271.00M,-203.00M,204.00M,-128.00M,127.00M,271.00M,1.25B,,-459.00M,134.00M,-325.00M,-15.00M,68.00M,,-272.00M,,,,-686.00M,24.00M,-6.00M,18.00M,-266.00M,,-934.00M,,2.184B,44.00M,30.00M,2.258B,,24.00M,,,-6.00M,,,
1994-12,750.00M,,,299.00M,299.00M,90.00M,,,,-87.00M,-29.00M,-204.00M,-184.00M,44.00M,-460.00M,679.00M,,-521.00M,8.00M,-513.00M,-9.00M,-31.00M,,-553.00M,,,,-82.00M,18.00M,-7.00M,11.00M,-266.00M,,-337.00M,,2.429B,-211.00M,-34.00M,2.184B,,18.00M,,,-7.00M,,,
1994-09,792.00M,,,304.00M,304.00M,65.00M,,,,-360.00M,-80.00M,240.00M,-124.00M,-246.00M,-570.00M,591.00M,,-345.00M,150.00M,-195.00M,-607.00M,137.00M,,-665.00M,,,,358.00M,10.00M,-2.00M,8.00M,-265.00M,,101.00M,,2.373B,27.00M,29.00M,2.429B,,10.00M,,,-2.00M,,,
1994-06,406.00M,,,292.00M,292.00M,81.00M,,,,190.00M,96.00M,284.00M,-20.00M,,550.00M,1.329B,,-652.00M,53.00M,-599.00M,,153.00M,-67.00M,-513.00M,,,,-660.00M,-1.00M,-5.00M,-6.00M,-238.00M,,-904.00M,,0.00,-88.00M,37.00M,2.373B,,-1.00M,,,-5.00M,,,
1994-03,482.00M,,,285.00M,285.00M,47.00M,,,,143.00M,-21.00M,-57.00M,121.00M,,186.00M,1.00B,,-429.00M,14.00M,-415.00M,,-10.00M,-58.00M,-483.00M,,,,-274.00M,15.00M,-3.00M,12.00M,-237.00M,,-499.00M,,0.00,18.00M,-6.00M,0.00,,15.00M,,,-3.00M,,,
1993-12,653.00M,,-6.00M,280.00M,280.00M,10.00M,,,,38.00M,60.00M,72.00M,-183.00M,,-13.00M,924.00M,,-409.00M,18.00M,-391.00M,,-3.00M,-170.00M,-564.00M,,,,80.00M,15.00M,-3.00M,12.00M,-238.00M,,-146.00M,,0.00,214.00M,-17.00M,0.00,,15.00M,,,-3.00M,,,
1993-09,670.00M,,6.00M,277.00M,277.00M,58.00M,,,,-331.00M,-110.00M,-201.00M,27.00M,,-615.00M,396.00M,,-351.00M,20.00M,-331.00M,,-117.00M,,-448.00M,,,,190.00M,7.00M,-3.00M,4.00M,-236.00M,,-42.00M,,2.322B,-94.00M,-13.00M,0.00,,7.00M,,,-3.00M,,,
1993-06,-1.268B,,,321.00M,321.00M,-1.011B,,,,-63.00M,57.00M,276.00M,180.00M,,450.00M,1.197B,,-619.00M,2.00M,-617.00M,,,-32.00M,-955.00M,,,,-398.00M,,-6.00M,71.00M,-216.00M,,-543.00M,,0.00,-301.00M,,0.00,,,,,-6.00M,,,
1993-03,516.00M,,,257.00M,257.00M,38.00M,,,,189.00M,85.00M,307.00M,61.00M,,642.00M,1.453B,,-561.00M,87.00M,-474.00M,,,-95.00M,-569.00M,,,,-118.00M,,-7.00M,-7.00M,-212.00M,,-337.00M,,0.00,547.00M,,0.00,,,,,-7.00M,,,
1992-12,590.00M,,,283.00M,283.00M,-202.00M,,,,4.00M,204.00M,-490.00M,41.00M,,-241.00M,430.00M,,-379.00M,634.00M,255.00M,,,3.00M,258.00M,,,,129.00M,,-31.00M,-31.00M,-211.00M,,-113.00M,,0.00,575.00M,,0.00,,,,,-31.00M,,,
1992-09,431.00M,,,279.00M,279.00M,89.00M,,,,-139.00M,-249.00M,-38.00M,-115.00M,,-541.00M,258.00M,,-352.00M,2.00M,-350.00M,,,-14.00M,-364.00M,,,,172.00M,,-11.00M,-11.00M,-211.00M,,-50.00M,,1.776B,-156.00M,,0.00,,,,,-11.00M,,,
1992-06,339.00M,,,273.00M,273.00M,121.00M,,,,-58.00M,442.00M,-60.00M,8.00M,,332.00M,1.065B,,-623.00M,151.00M,-472.00M,,,90.00M,-382.00M,,,,-405.00M,,-14.00M,-14.00M,-208.00M,,-627.00M,,0.00,56.00M,,0.00,,,,,-14.00M,,,
1992-03,474.00M,,,268.00M,268.00M,-11.00M,,,,180.00M,-120.00M,353.00M,115.00M,,528.00M,1.259B,,-457.00M,137.00M,-320.00M,,,-98.00M,-418.00M,,,,-315.00M,,-22.00M,-22.00M,-194.00M,,-531.00M,,0.00,310.00M,,0.00,,,,,-22.00M,,,
1991-12,523.00M,,,261.00M,261.00M,18.00M,,,,137.00M,-222.00M,-211.00M,-146.00M,,-442.00M,360.00M,,-469.00M,2.00M,-467.00M,,,0.00,-467.00M,,,,379.00M,,-7.00M,-7.00M,-194.00M,,178.00M,,0.00,71.00M,,0.00,,,,,-7.00M,,,
1991-09,536.00M,,,249.00M,249.00M,-3.00M,,,,-236.00M,60.00M,-37.00M,-183.00M,,-396.00M,386.00M,,-362.00M,1.00M,-361.00M,,,-1.232B,-1.593B,,,,1.36B,,-6.00M,-6.00M,-192.00M,,1.162B,,1.384B,-45.00M,,0.00,,,,,-6.00M,,,
1991-06,304.00M,,,232.00M,232.00M,-36.00M,,,,-276.00M,176.00M,316.00M,-15.00M,,201.00M,701.00M,,-641.00M,106.00M,-535.00M,,,-44.00M,-579.00M,,,,759.00M,0.00,-584.00M,-584.00M,-198.00M,,-23.00M,,0.00,99.00M,,0.00,,0.00,,,-584.00M,,,
1991-03,424.00M,,,241.00M,241.00M,16.00M,,,,75.00M,-124.00M,177.00M,-39.00M,,89.00M,770.00M,,-477.00M,18.00M,-459.00M,,,12.00M,-447.00M,,,,-164.00M,0.00,-207.00M,-207.00M,-198.00M,,-569.00M,,0.00,-246.00M,,0.00,,0.00,,,-207.00M,,,
1990-12,490.00M,,,247.00M,247.00M,-10.00M,,,,107.00M,-190.00M,-248.00M,1.00M,,-330.00M,397.00M,,-493.00M,53.00M,-440.00M,,,0.00,-440.00M,,,,-551.00M,1.00B,-37.00M,963.00M,-190.00M,,222.00M,,0.00,179.00M,,0.00,,1.00B,,,-37.00M,,,
1990-09,555.00M,,,236.00M,236.00M,-4.00M,,,,-334.00M,-196.00M,60.00M,-116.00M,,-586.00M,201.00M,,-368.00M,5.00M,-363.00M,,,-354.00M,-717.00M,,,,637.00M,,-9.00M,-9.00M,-167.00M,,461.00M,,1.407B,-55.00M,,0.00,,,,,-9.00M,,,
